it	posterior	prior	PP_lik	BD_lik	q_0	q_1	q_2	q_3	q_4	q_5	q_6	q_7	q_8	alpha	k_birth	k_death	RJ_hp	root_age	death_age	tot_length	Ahshislepelta_minor_TS	Akainacephalus_johnsoni_TS	Aletopelta__coombsi_TS	Ankylosaurus_magniventris_TS	Anodontosaurus_inceptus_TS	Anodontosaurus_lambei_TS	Bissektipelta__archibaldi_TS	Cedarpelta_bilbeyhallorum_TS	Chuanqilong_chaoyangensis_TS	Crichtonpelta__benxiensis_TS	Crichtonsaurus_bohlini_TS	Dyoplosaurus_acutosquameus_TS	Euoplocephalus_tutus_TS	Gobisaurus_domoculus_TS	Jinyunpelta_sinensis_TS	Liaoningosaurus_paradoxus_TS	Minmi_paravertebra_TS	Nodocephalosaurus_kirtlandensis_TS	Oohkotokia_horneri_TS	Pinacosaurus_grangeri_TS	Pinacosaurus_mephistocephalus_TS	Saichania_chulsanensis_TS	Scolosaurus_cutleri_TS	Scolosaurus_thronus_TS	Shamosaurus_scutatus_TS	Talarurus_plicatospineus_TS	Tarchia_kielanae_TS	Tarchia_teresae_TS	Tsagantegia_longicranialis_TS	Zaraapelta_nomadis_TS	Ziapelta_sanjuanensis_TS	Zuul_crurivastator_TS	Ahshislepelta_minor_TE	Akainacephalus_johnsoni_TE	Aletopelta__coombsi_TE	Ankylosaurus_magniventris_TE	Anodontosaurus_inceptus_TE	Anodontosaurus_lambei_TE	Bissektipelta__archibaldi_TE	Cedarpelta_bilbeyhallorum_TE	Chuanqilong_chaoyangensis_TE	Crichtonpelta__benxiensis_TE	Crichtonsaurus_bohlini_TE	Dyoplosaurus_acutosquameus_TE	Euoplocephalus_tutus_TE	Gobisaurus_domoculus_TE	Jinyunpelta_sinensis_TE	Liaoningosaurus_paradoxus_TE	Minmi_paravertebra_TE	Nodocephalosaurus_kirtlandensis_TE	Oohkotokia_horneri_TE	Pinacosaurus_grangeri_TE	Pinacosaurus_mephistocephalus_TE	Saichania_chulsanensis_TE	Scolosaurus_cutleri_TE	Scolosaurus_thronus_TE	Shamosaurus_scutatus_TE	Talarurus_plicatospineus_TE	Tarchia_kielanae_TE	Tarchia_teresae_TE	Tsagantegia_longicranialis_TE	Zaraapelta_nomadis_TE	Ziapelta_sanjuanensis_TE	Zuul_crurivastator_TE
0	-678.8006714273064	-17.242978637955964	-478.4483106691796	-183.10938212017084	0.32993546583662325	0.32993546583662325	0.32993546583662325	0.32993546583662325	0.32993546583662325	0.32993546583662325	0.32993546583662325	0.32993546583662325	0.32993546583662325	1.0	1	1	1	131.39459286130875	63.73386683902976	194.0296159878101	75.91398433345873	76.34487673116499	76.65168178739594	71.779091275839	76.30683081878291	72.7166882771899	90.51673928808248	102.80402718079898	114.08051193963882	101.50491335186601	99.32723097927627	86.81281198570902	83.36881269468235	101.8481283188834	103.59111730327065	127.81560750837706	131.39459286130875	75.22994637447887	81.89997414798897	74.93029749524187	80.63925723763616	80.55436705436594	79.45180347154611	84.59143982231767	107.69419465456086	96.64695372537277	82.93382399149807	71.39895380006838	96.68359386979435	72.53192166624304	80.30329892928609	76.04110644173569	75.84639994348221	76.27338247570404	76.59003584329326	66.94652153093166	76.10556691713096	67.20443122338445	90.07655487880196	99.05235080860855	113.91193213563096	87.09452943035517	96.16970658509494	69.53722875822915	73.01124626997738	89.61150845737554	103.48376354444217	126.09078463771715	114.9296861758197	72.0839643504042	74.61098127796964	71.07490001312705	80.14716238920144	69.64215259397805	75.86293262266065	74.00834075348301	104.15879324910676	84.06374228819531	71.70947572676148	63.73386683902976	76.8835028538766	72.40659728208134	72.05160109617385	75.90532037802159
5000	-625.0169190688644	-24.223004298182857	-427.01213339910487	-173.78178137157659	0.29608467683598055	0.3755745947250898	0.20394543769118476	0.09362874969234625	0.3177381780077443	0.20147528896105676	0.5232908277956946	1.1540009598415266	2.3313707727402626	0.4860488688236668	1	2	1.3744359804182764	128.934980563531	65.53746751060027	197.02949842051976	79.90799600963724	76.51854063748914	76.79053634272013	73.86154418600384	76.64396344119436	73.8325190074744	90.18942292316895	104.67562690752177	114.037826369582	104.7502348914435	101.14977721715536	83.51165169978923	83.49772517418157	95.28638025665951	104.59318407925431	128.934980563531	127.18361584633547	75.71781546425383	81.8858060791735	75.22267309334707	81.98427459509489	79.60998659878908	78.68459756274427	81.28559005916975	107.11875680010849	102.83599696376488	83.15776283481675	71.63778610501635	97.82751479370164	72.9341103058166	79.84993820638391	76.61985209484911	75.37306949603128	75.82154523528857	76.60537571209464	67.22192361352035	75.96020459481312	67.51320560615653	90.11379334615577	99.3433911115265	114.00762756527442	88.27507065358432	94.70611649487294	72.94010138382559	73.30358295775694	88.08823393697618	102.09932969707444	126.10526715745375	115.70633564566826	72.05593402496018	75.16096461711541	70.61588280784453	77.8389098231347	70.03607283290796	75.77732322957416	76.63947764912818	104.24437197364603	85.64693882906481	73.16525194799938	65.53746751060027	75.33492166983878	71.90984903697192	71.81076603416366	75.75018249462858
10000	-608.4388804690755	-23.692779781378274	-410.72611801495475	-174.01998267274246	0.32467369365891235	0.4650685749894972	0.25989413473614614	0.2282586841588212	0.594276142238641	0.1954604992223966	0.4418171072258922	1.6093449820412944	1.8668297847774316	0.7076758918620246	1	2	1.2760084831063003	128.51720357630282	67.10975247480684	196.65514655936556	75.92385400280942	76.44663436677311	76.96921972626039	72.89413209691023	76.60086285402119	73.11427466476208	90.25872287763316	103.03702470771606	114.14414794996154	102.1784420807533	100.12306405912051	85.50470755500442	83.57773224714653	96.8206628263276	104.30940896880637	127.60718112793948	128.51720357630282	75.64955779838927	83.39185751827793	74.90556342103194	80.29674372936644	80.61464456220725	78.15773617696283	81.98388028207356	106.91695883235263	96.59825640738738	84.17749395308161	71.74760132479274	100.43337817419518	72.66978587896301	77.63823083544585	76.846064951591	75.78288060175028	76.14399241857586	76.27688285401193	67.10975247480684	76.09353236157463	67.76139496735412	89.9361211382214	92.77593204168213	113.99242070952418	88.0419035611666	94.529942999427	70.43938452965374	73.31470015661644	90.48782767465526	101.0989797627876	126.7819538738071	111.84852801829865	72.17772628200659	73.62036333669494	70.78269824885027	79.16662739183597	71.16445038910075	74.83938499286748	74.01215991812181	102.47226879342587	85.59232997869951	72.42748435648103	67.78881713170159	76.71867898326998	72.04017571097403	72.717482369362	75.46310494769568
15000	-595.474408037701	-22.89946945352889	-395.90108345829765	-176.6738551258744	0.24155442670087568	0.23437154712781522	0.16339908205541473	0.24543805522502127	0.4471270163330696	0.23693521188827496	0.8216523180557161	2.730190031645014	4.380781110701633	0.7164324918981406	1	1	1.851777319611755	131.51223116190587	65.91707817400653	184.2311977309431	76.83703214664361	77.14287233741544	76.67821797670196	71.85900712282941	76.36931914443153	72.51217385260107	91.27088211487944	103.00361521242942	114.62471625719814	101.24613254117159	99.51990548426944	84.36325194717809	83.26878778577994	96.45259829050934	104.61401110280939	127.93797404830832	131.51223116190587	75.17904643719436	81.91321772526611	75.19805078836707	80.31222584929884	79.66672621199089	79.48322658615648	84.38158004625134	108.17351522002623	97.65824873114458	85.11945266474665	70.88801028305433	95.78966693449529	72.61998246929556	78.7075123656797	76.05230772564076	75.82006389408099	75.68975220475195	76.56514652082645	65.91707817400653	75.9390434396356	67.98353503236888	89.77063676936179	97.12518953601821	111.43168907689784	91.1872727249786	96.97173037768705	72.11423476792397	73.3001307347357	90.99764495012407	102.39240785806821	126.8328902252171	114.00605855880274	71.84319732521925	75.08392678711337	71.0873221626734	79.3936033473469	70.58452483472735	75.19664529187335	71.88576661437456	101.59679878583351	85.79870831792594	73.4952314169675	66.28856732246922	83.49240063217489	72.28732424020492	68.46539129170358	75.58038761863364
20000	-587.1813996892323	-26.03624206943056	-386.0711482195605	-175.0740094002412	0.371500951730953	0.27493767904546507	0.6187900420801671	0.8618038409140081	0.5456185963333211	0.5977940372604332	1.153291398379459	3.528692218647038	2.3897753051102493	0.8496047820289618	1	2	1.5228353879201948	130.41994267502903	67.15473490193891	180.91504526098922	75.9457899798535	76.31916099674484	76.88742977790315	72.44497830635862	77.39094402294842	72.3723476122387	90.3085270971254	103.78414794221173	114.21922571154731	100.31496256713399	99.71854426925667	87.8058447421284	83.5367114550344	98.23748292618323	103.5468578952568	130.41994267502903	125.0468723320521	75.11170751001399	82.11318794729836	75.17105163554989	80.19818632822297	81.547522034947	78.0227420185521	87.7107497955182	107.01259849090329	97.30669844060716	83.75471370566518	71.24008154745451	95.85496832385431	72.41746271566961	79.63313847651872	76.17211796677046	75.85917551875627	76.26515341004396	76.52343318922428	67.15473490193891	70.0681917588435	67.63942588452225	89.15148085015417	99.04527623081859	113.73196793944614	89.54900833020034	96.07991744918245	72.74858267961204	72.9920494825316	89.39361640113884	103.49606069275654	126.0957738226539	113.5102014889908	71.87804518890053	73.63247092721873	70.50740694809942	80.1683887063264	69.46881767629772	75.4576973259347	76.77915612793706	103.96145973366879	85.6997563954676	73.15935141523065	67.37667543176325	83.01140357393328	72.20028746322862	72.52525048264577	75.52143455809575
25000	-578.9133759723588	-26.02309326040742	-383.5444658976442	-169.34581681430717	0.77826511746796	0.21392986926680757	1.544482775014616	1.219462576861644	1.6263589665248084	0.2876605757472709	1.498073459554603	3.2265330511563413	4.566746077416398	0.9662687227419424	1	1	2.5634642919504187	127.77090263905183	66.5184475288707	165.7052947374955	75.87348346080192	76.37606432400953	76.73759699362857	71.83796575605955	77.68883575572002	73.1706088062588	91.02571789999496	102.71553996240787	114.04749339221854	99.63567338309649	102.88751011321528	83.35185739781247	83.23214552754392	96.70500741679837	103.5181119183056	127.77090263905183	127.46717103089676	75.35188168070428	82.64928254543932	74.90978642834456	80.50678227428385	81.63793977968707	78.32110909879364	81.29029113311037	108.21077529897855	96.8266989026259	82.9782140267282	71.13301018216323	98.83245327461547	72.97953206841753	78.93034789458892	76.0630862272476	75.85082888206185	76.22074401376247	76.52340293012506	66.5184475288707	74.43950392201474	68.06262795833653	89.86590766922187	99.13373460288449	113.84761332716782	91.28542747551676	96.0582981616287	72.6719042264139	73.15287105756101	90.87878744748706	103.2091981205235	126.73792235896936	112.44061518727024	72.23102177149251	75.2105645676165	70.89046387013114	79.9938572231946	70.79227343487672	74.48557488125601	76.97514519074252	101.24946262138405	85.40580419408593	73.04439782485977	68.11545323222062	83.64810271940789	71.99506409450248	72.86937468705972	75.15318667340698
30000	-583.204326458391	-24.694838845981412	-383.777659079037	-174.73182853337266	0.7890691356708709	0.6565188718585018	1.1430204415300258	1.607152525986801	0.7003979101234781	0.6791495519687933	2.2224927199587357	3.5861975126811947	3.429712560981127	0.9959315644689549	1	1	2.099159782610125	129.63226900679334	64.9646486451853	178.8681988054247	75.92505338576092	76.30720162145114	76.73250055149802	71.83805848969999	76.39004097197571	72.57001607761718	91.35112724651358	103.29005400683614	115.10551569614327	100.25213731493905	103.51330099772547	86.54377356087602	83.55135601129257	96.92329029321671	103.51005662086929	128.66360288548802	129.63226900679334	77.24971365825643	81.85858330736369	74.98675092367084	80.19460986177742	79.69696158801403	78.86381065207426	83.14352326789708	107.93010800537665	96.7070129865031	82.90448608724613	71.69207312859764	95.72939380539955	72.42857838074228	77.34309116158278	75.95548417200092	75.73416302855793	76.2871215663925	76.6220053465663	67.03439528308573	75.99039816420895	67.92516780159012	89.8813661844822	97.84818739707462	112.85857244336277	91.2985439962126	95.23938514905642	72.77570490420419	72.8738422978372	89.40254921808054	103.35251514378419	125.66539039882761	111.02674661869364	72.10237063025598	74.61597248787704	71.06136267849219	79.53719798160179	69.99423776024706	73.13742265078912	76.47117634379035	103.90419622995314	85.81413349663966	73.36987711168986	64.9646486451853	82.65320332084276	72.19023926994416	72.35769419163931	75.9255491788093
35000	-583.5481062165013	-32.91499497749925	-378.0849641118767	-172.54814712712533	1.6191173267655319	1.8036340019804877	1.0156055248306297	1.8145045336505408	0.8045948136456765	0.46842561189352705	2.2016372434071187	4.140752986773767	4.006027171900243	0.8713512620864061	2	1	0.47051438504106535	127.7708789812736	66.96736090512965	173.44171971082682	75.92547498131202	76.35845718855357	76.96562489541826	72.23071618253026	76.48251386117546	73.015902971089	90.25102671781495	103.50619303343116	114.34862130443928	100.75590524584737	100.5687734795518	83.52096771503318	83.65085579722556	97.75556519416203	103.50132282337587	127.7708789812736	125.59437741745505	75.0725891784963	83.81487080518924	75.14520840357534	80.21414377098814	79.99628850087424	78.1767310955883	81.5967269667298	106.88808884425441	96.72148298919376	83.7172963033075	70.99575882307072	96.89510252552274	72.85663530483123	77.92340256650489	76.17941159406399	75.80948803432558	76.27650171636968	76.5343271681614	66.96736090512965	75.8606597343976	68.12465415519476	90.00580445172342	98.30641729495495	113.86271860407584	89.41967312244262	94.30226651213448	68.03372903635223	72.92850206535473	88.88921295992358	103.48973043734478	125.25532745308894	110.89164005310275	72.05784198014577	75.17210798290425	71.05598713659533	79.85914106723973	71.01541086663504	75.7056827421404	76.28429639928412	100.67375991449325	85.27576620975866	72.63886094251997	67.16873442236108	83.2311253809275	72.39479682069422	71.57036159728185	75.89330858399407
40000	-572.6382721953403	-29.879752444973175	-377.93260035042755	-164.82591939993955	1.6298171599255264	0.5916133032912232	0.7442043303728699	1.044336864333092	1.5086433154753631	1.3077999159085991	2.3339099082312544	3.5264417860225032	3.659686956836649	0.9533519271084535	1	2	1.6937566088629405	127.95067595691351	66.49741050952818	165.48089134680436	75.87362792436429	76.60903009482072	76.68191909091375	72.33444402306041	76.50493607943577	72.59969840291625	90.3997149389296	103.28102825012026	114.22281632831644	102.03477599863236	99.62308153025789	85.15485855087938	83.31320395905638	95.40063271672183	103.52424196864494	127.95067595691351	125.0139511963396	75.30507582267634	82.03732647105085	75.10864654282005	80.19772397808414	81.13268087486314	78.27614161078486	81.35502291636206	108.4701940999053	97.36818666815569	85.41531959578397	72.05963283574002	97.50396719925286	72.60588945791662	77.50328768486665	76.03915695771701	75.70502741876797	75.20299785053562	76.32908637873972	66.49741050952818	75.97976775373985	67.97261272027349	89.65741505148853	98.7516660399466	113.61924570624835	90.61348494619085	97.08568021322638	70.56016776091265	72.88605938354314	91.06305280096147	103.30289493008821	125.90754024915107	112.22171763465337	71.90809528719433	72.91669712616181	71.08237778416886	80.09466032836318	70.67735481271825	75.76790192111805	76.18018599564589	103.92251316142094	85.06738500281315	73.01330964451932	68.51253501219894	81.69059356096575	72.40911740273083	72.95248976173791	75.86895422974595
45000	-565.4407118719421	-26.524294633326924	-370.023106795221	-168.89331044339417	1.5077488354734494	0.4253585840178789	0.9894805619525809	1.2363658775355544	1.5491974874630619	0.6049644525855632	1.9797751600938371	4.852717137303399	4.432401133236797	0.8576102978836729	1	1	1.1186037793134607	127.6290084173062	66.81536003100337	161.38455234220953	75.91400023590158	76.43084042100318	76.75209922437983	71.9860646842507	76.84300120752766	72.67931394153362	90.74767017688045	103.38609033782294	114.20979243862988	100.87442239873894	100.22505631586647	84.40921501668602	83.78674252346983	96.21031939135158	103.89618205081987	127.6290084173062	125.18893194480704	75.07147543198452	82.04041834377755	74.95993900465423	80.30443610775394	80.09387152170399	78.35690391226352	82.205790193176	106.7662171286136	96.39294127938915	83.49374671302998	72.85238148122117	95.89721957344162	72.46135195844246	77.12413337576332	75.96054224452249	75.64080944084469	76.16823448801253	76.51773986278118	66.81536003100337	75.9877914322001	67.77505270004026	89.70222130691619	95.44726200130303	113.97354111686431	89.4472823018749	96.98435689820234	69.03751807318196	73.09257212808053	90.21773103149768	102.9241531869372	126.87784217085242	113.65532924820423	71.47213608535259	74.22980611232965	71.05129614876347	80.14225065527569	70.30328703537465	75.86384345896516	75.76958527441563	104.23908756203593	85.7041799252601	73.24123731070173	68.32500727676711	81.63506297115063	72.28028414608268	73.39081821579124	75.8528870574406
