it	posterior	prior	PP_lik	BD_lik	q_0	q_1	q_2	q_3	q_4	q_5	q_6	q_7	q_8	alpha	k_birth	k_death	RJ_hp	root_age	death_age	tot_length	Ahshislepelta_minor_TS	Akainacephalus_johnsoni_TS	Aletopelta__coombsi_TS	Ankylosaurus_magniventris_TS	Anodontosaurus_inceptus_TS	Anodontosaurus_lambei_TS	Bissektipelta__archibaldi_TS	Cedarpelta_bilbeyhallorum_TS	Chuanqilong_chaoyangensis_TS	Crichtonpelta__benxiensis_TS	Crichtonsaurus_bohlini_TS	Dyoplosaurus_acutosquameus_TS	Euoplocephalus_tutus_TS	Gobisaurus_domoculus_TS	Jinyunpelta_sinensis_TS	Liaoningosaurus_paradoxus_TS	Minmi_paravertebra_TS	Nodocephalosaurus_kirtlandensis_TS	Oohkotokia_horneri_TS	Pinacosaurus_grangeri_TS	Pinacosaurus_mephistocephalus_TS	Saichania_chulsanensis_TS	Scolosaurus_cutleri_TS	Scolosaurus_thronus_TS	Shamosaurus_scutatus_TS	Talarurus_plicatospineus_TS	Tarchia_kielanae_TS	Tarchia_teresae_TS	Tsagantegia_longicranialis_TS	Zaraapelta_nomadis_TS	Ziapelta_sanjuanensis_TS	Zuul_crurivastator_TS	Ahshislepelta_minor_TE	Akainacephalus_johnsoni_TE	Aletopelta__coombsi_TE	Ankylosaurus_magniventris_TE	Anodontosaurus_inceptus_TE	Anodontosaurus_lambei_TE	Bissektipelta__archibaldi_TE	Cedarpelta_bilbeyhallorum_TE	Chuanqilong_chaoyangensis_TE	Crichtonpelta__benxiensis_TE	Crichtonsaurus_bohlini_TE	Dyoplosaurus_acutosquameus_TE	Euoplocephalus_tutus_TE	Gobisaurus_domoculus_TE	Jinyunpelta_sinensis_TE	Liaoningosaurus_paradoxus_TE	Minmi_paravertebra_TE	Nodocephalosaurus_kirtlandensis_TE	Oohkotokia_horneri_TE	Pinacosaurus_grangeri_TE	Pinacosaurus_mephistocephalus_TE	Saichania_chulsanensis_TE	Scolosaurus_cutleri_TE	Scolosaurus_thronus_TE	Shamosaurus_scutatus_TE	Talarurus_plicatospineus_TE	Tarchia_kielanae_TE	Tarchia_teresae_TE	Tsagantegia_longicranialis_TE	Zaraapelta_nomadis_TE	Ziapelta_sanjuanensis_TE	Zuul_crurivastator_TE
0	-673.5423597738258	-17.223968987592116	-477.6459605905087	-178.67243019572493	0.3161631935077138	0.3161631935077138	0.3161631935077138	0.3161631935077138	0.3161631935077138	0.3161631935077138	0.3161631935077138	0.3161631935077138	0.3161631935077138	1.0	1	1	1	127.68557015270056	66.78144443576237	183.0293350583925	75.9116297545272	76.42193341702989	76.80902591642781	71.77005319887544	76.29870665123774	72.446223162441	90.24229806975478	103.14766710556331	114.09297295935018	101.82137353273959	99.63174759129262	84.33623038497917	83.89879021022749	97.16624775524058	103.5039627605342	127.68557015270056	125.12008410124766	75.30812163637498	82.92558986167504	74.94953423201694	80.55877114486768	79.9315245352855	78.79179733962266	81.48617670952629	107.61450796461845	96.17857405540217	82.85636277468664	71.9905377360938	118.82873377651077	72.46678067231947	77.37239162340757	76.4101330802037	75.85016831045972	76.20247193318774	76.58624535185453	66.78144443576237	75.98270127930692	68.0423814440497	90.1585790016059	98.78667941670932	114.00802681294026	90.79226743296225	96.71163481642235	72.32136546887646	72.88637327419565	89.11004149545937	103.12514264622398	126.69483790956869	112.57653671084856	71.64063517691172	75.1327922106673	71.0301816967149	79.98071542349051	70.42571650963446	75.4132150332972	76.5168199349266	104.21257188254351	84.67707161437235	70.46941946949502	67.07466443022852	83.2231962610551	72.37982784529301	70.35464422114966	75.79634935817478
5000	-622.3398586568823	-23.93488214820521	-420.21501151396774	-178.18996499470927	0.7862145894624218	0.18629098336203279	0.4112988344106837	0.2891894461974783	0.512926913717497	0.49014048749898703	0.39766173774821395	1.9466023749531112	0.4744079862865873	0.4480569638288435	1	2	2.269873114314519	128.55969630129977	65.23995179560829	191.3820951050472	75.91879748547849	76.35184754211393	76.96968865165407	72.16971165042078	76.47777454296491	73.03118516474984	90.25861774584821	103.25469461551519	114.08405083263233	99.53751926638873	100.3362442978378	83.33452369878506	83.22723348308887	95.32341035479166	104.9262138520645	128.55969630129977	125.05001924455273	75.45321457853115	82.24608902249527	75.10442783321345	80.88778484136172	79.46816857368127	78.432808951573	81.8058776809125	107.9762328272358	98.18440399409769	86.59574700450416	73.27849359528226	109.05837308567618	73.151877759866	79.68656570276818	76.29622685435587	75.84939634591599	76.2895694095516	76.41812074427597	66.49036418613754	74.91969329091967	67.54038231818515	89.89986191612365	98.27840463502687	113.93576177425345	91.53830126958748	95.1001603862731	71.1783003271622	73.15365853364366	90.93970943812046	103.4431460840849	126.73738819312015	115.6683767841953	72.2087081163076	74.53632993890139	70.74391060716546	80.06266265046206	68.21783038874162	75.80647510953908	76.8475958709302	103.98119686833519	85.79251760199932	69.36957187514633	65.23995179560829	80.6190415161563	72.22458673484422	68.73379639785406	73.29065482212586
10000	-577.0449758907928	-26.018321840344264	-380.1601713549138	-170.86648269553473	0.44196117847945726	0.15379700699124899	0.43698233496568745	0.3641235097265973	0.629299153410995	0.6054452333980266	0.8558154938829854	2.7867174435476127	3.1263336508108686	0.42959555849884645	1	2	1.0352982662249848	128.1857582213481	67.09008605176064	181.40087031967218	76.07553384999956	76.59162208437901	76.6849143655763	72.32856924263369	76.40265785223545	72.47312705255597	92.31641655097773	104.34579428678896	114.38985856645279	99.90236082213374	99.83050835205749	84.46448532981994	83.7750331597821	96.51133883143712	103.59931083557879	128.1857582213481	126.9144497882818	75.02757469962945	86.19775166720872	75.33446310868742	80.3613211308309	80.37422994969776	78.08027243716317	81.32203896143182	108.0859716318278	97.58844548235841	86.56482073667712	71.88513955935056	104.2929130070575	72.41372256768908	81.41352495573875	75.97778912262105	75.83432022396661	76.16078439083621	76.48707162734931	67.09008605176064	75.73930962308778	67.714061533287	90.16204016662667	99.11866232268623	113.70596590175552	91.60374656605649	97.10908520524795	69.3025143683646	73.25183580496193	89.76063128365993	103.38851863546414	126.86803087384611	115.26915832964889	72.06954131453307	74.93764352614718	70.96513020962173	80.02840189455019	69.80229086973735	75.33598018451382	76.44539341105285	103.82791941485878	85.38426913200946	72.99017912230362	67.3160984154496	82.15784426212879	72.40784541264809	70.19086601525918	75.88562179691618
15000	-582.9609184526589	-23.493601824937194	-380.8017075090802	-178.66560911864156	0.355957314087453	0.22407478391211783	0.46970908704516695	0.3472345700445142	0.452076160608964	0.32466954022757066	1.253137341349323	4.729570303885697	3.4879162919538516	0.7322671084872545	1	1	0.6822423394947406	127.6588006583588	67.22425347701933	176.82571598672996	76.88170827525742	76.48874380773033	76.77489922892035	71.96131395929108	76.99322934040315	72.43651538295907	90.64113532672877	103.7345357174578	114.10816436016192	102.81787067306875	99.99685338677156	87.47346534100502	84.89396499011724	95.42550582988943	103.65539027824234	127.6588006583588	125.14781102605949	75.88154890037835	82.42869306379977	74.91518232430758	80.27508159648016	80.32759130486033	78.3110092868978	84.3706670342123	106.64091264895681	96.63135020720652	88.51698978057215	71.14258811608143	102.21217606547901	72.4258596920976	78.3798426158494	76.8489948892545	75.76628961423773	76.26266032805488	76.59246019313319	67.22425347701933	76.08926859774479	67.54247965682674	90.16341387923455	98.36089549065521	113.99002975067644	90.23834050314133	97.09083152815491	72.41487590292934	73.21984006953768	90.55857077346998	101.3242876378082	125.29568251452707	114.72476059371496	71.98764310182591	73.93529203384902	71.01411023138364	79.99595257679644	70.3919921969744	76.08281842673512	77.03368251961604	104.2997483883641	85.75473302322516	72.4504430678278	68.45199327837182	81.53965946953942	72.21671235532492	71.64589508051088	75.91306286091528
20000	-588.9982082911145	-33.958645080206516	-383.03035075930325	-172.00921245160464	0.37854366093682784	0.4442191528120976	0.6015131191994119	0.42168632462509775	0.534250188009406	0.43440284395884715	0.3870738800956987	2.70982406968593	4.539356920272078	0.6412801600771	2	2	0.569356562152594	127.88279372715157	67.23236144685673	181.80604441978357	75.92250751727671	76.3421876330957	76.69646755727119	72.48378895720766	76.3876803250062	73.98737533627558	91.99602504444552	103.05921704299274	114.39159734989298	99.86347223477908	99.92336485936592	83.73170127439963	85.84976034086168	98.5058600204097	103.6848918499345	127.88279372715157	124.64003420596967	75.2207203181885	85.09925335366934	75.09527472915202	80.54703008076171	79.48703885346026	78.18050453302007	84.76946623093211	107.68420555204808	96.59085312010178	89.714236374559	70.91672115952427	101.1339944529534	72.54984944246324	77.45653072771569	76.21635371277759	75.6150851812431	76.25847510829904	75.68007330187848	67.23236144685673	76.07043230464419	67.94506349056414	87.13196801398144	98.70351704255366	113.95427940066753	90.33965744759854	96.41949124348314	69.37842254745195	73.22348419303542	90.53988444712863	103.09965928194615	126.66158119939645	113.2200150648934	71.91513684224708	74.9510417416568	71.06205351902936	79.86596654816645	71.1918155738269	75.03473904181627	74.46957882442679	104.09855885868394	84.38979016718085	73.09434667077421	68.37516166822238	83.07328781830273	72.19531492273589	73.36775728065116	75.64671330453673
25000	-593.6111169370398	-29.232996148788008	-389.824400891095	-174.55371989715672	0.35083425693293746	0.40356455267002095	0.2930304796399106	0.5797013548482336	1.441835667136492	0.29973105112024073	0.29427510642399735	3.844905829126776	5.071412683855077	0.9060243685540865	1	2	2.0293108174460786	128.30134040521136	66.11494281194672	196.82634457983636	75.936509633355	76.34477572430045	76.79222429518389	72.30327928571778	76.32776608061648	72.51869273637843	90.23643727176379	103.32488808162633	114.21370745900066	100.70210382639486	99.86503670236486	88.80264765175973	83.38611244729775	95.7659826799082	104.51668604721347	128.30134040521136	124.74411293604963	75.04287690431114	81.81089010959495	75.01441819479086	80.28701206328806	79.40741664538939	78.30162478090998	81.72966549769052	112.52397876477406	97.10170813459554	90.42474972681576	71.24000049402886	102.81034844399021	72.56555340299533	82.52309846296836	76.59495401176255	75.83654164824775	76.1323952465688	75.76595461883481	66.11494281194672	76.11975963405357	66.55905770992808	85.89209081912539	99.0678241761887	114.02979466531927	90.33559922310388	97.00037933900327	72.15471861853311	73.18362662838335	86.61880758565451	102.68556549812746	124.2565741824924	113.06747565282302	71.42452128865129	75.25705817177725	71.0802555755959	80.12190121170954	70.20288249983525	75.61128125315665	73.93802375085758	102.64919798344486	84.26498027008233	73.33625379314269	68.43751861450293	83.67460934417822	71.91388381491221	71.99059277871382	75.91018591331726
30000	-594.592758186174	-27.341502483639005	-390.6792861653788	-176.57196953715618	0.9593151060057608	0.5170288391937837	0.30213334952524545	0.8911256589514134	0.7634971942495693	0.1858398641225579	0.7909010753505314	2.907358780183605	4.144398439752864	0.6882120126677215	1	2	1.6612953596495723	127.96438810179836	65.71042416938964	194.40613668982385	75.97688050173323	76.32640574677936	76.65151078079415	72.67838126492438	77.62877750594119	72.64596088447897	91.72488629828096	104.39020302654215	114.09595488753837	100.24604803068937	99.27337107279799	85.27344025309057	84.53290117405793	95.86682086287288	103.74220226759752	127.96438810179836	125.31844971877614	77.46767989238666	83.26213154018768	74.99851606701824	80.42076378188057	79.50644807093089	78.32832948862296	82.84412591414743	108.18993178392088	96.50748977051212	85.36435896885666	71.69477567173908	105.48585166375781	72.44583118070261	83.51235666895785	75.95023597946117	75.52642807177583	75.20609259557177	76.62349440380859	65.71042416938964	75.50127006299658	67.94698127362268	84.76341755153558	99.28368374174737	112.71779229488135	91.65096566034332	96.10771221354871	70.37491073341667	72.723689069671	91.16560820661154	103.09701145221129	126.75194417877931	110.43280515470836	72.23262975136903	75.1358268705059	71.07951875312301	79.3114694556276	71.00900326467469	75.46788798468123	71.20425013038665	104.0747150025536	85.75097550069064	71.98804021971709	68.01422066009789	83.40679932534114	72.34869532203703	73.43471520054145	75.86629385598573
35000	-582.5054472389878	-38.867025449043325	-374.97308524632075	-168.6653365436237	3.2053886516356904	1.7087063119459927	0.3955944350579584	0.5024644935682288	0.8835926168327263	0.2508926189590632	0.47550294825672307	2.696471452120068	3.642284743235497	0.991761418691449	1	4	1.7821045844606132	128.2158325528453	66.94815812603632	177.75106933578533	75.87190267280486	76.41734228991052	76.64872833654549	71.97988818851603	77.18017201089485	72.36236539962955	90.45131285544699	103.17576671656829	114.26318201699641	99.92816889507766	100.21704620555289	84.35247449966337	83.35132673483415	95.25624918374498	105.8942345603711	127.85911414188097	128.2158325528453	75.29454598058804	84.43652363420208	74.9777797766624	80.24751043742347	80.13346227865803	78.70229503744538	82.31698776230422	106.66197167940784	96.69401898851817	88.85277672136587	72.42480976036985	103.37820404301203	72.62375278784566	80.88493141780081	76.81564125410647	75.82412090735588	76.24708216979805	76.6436490629359	66.94815812603632	75.97282566238411	68.06338455634074	89.84981638839417	98.0575831912427	114.00495556942785	91.55772896622089	96.82018128913761	72.86519501483176	73.20694854265594	88.54394606340894	102.77824560042663	126.2704565794424	113.25540090683364	71.83505272187128	71.92208530900723	71.02819920772059	80.05630936856683	71.19459217744671	75.7628454049811	75.27309447664219	104.23917820003146	85.74176766625705	73.50493115917072	68.49536728405954	83.21772716529337	72.27327629869522	72.9365908393878	75.72855360920381
40000	-601.0061788055469	-30.494257188615265	-394.64811675497947	-175.8638048619522	3.8619584326324103	2.0154010218685614	0.45626400885768265	0.5684226486003634	0.7039389330558177	0.13395074862324055	0.7147442996849964	2.4250905852066054	4.310711934743724	1.0023346961731774	1	2	1.6543239491627137	127.61115718375673	67.07318631781312	186.60792351230435	76.13092947823925	76.45926501367796	77.54220330339218	72.41886789882403	76.64031529412341	76.8026967221958	91.11928741303345	103.94947686543559	114.7532548418574	100.05298203117802	102.4979490965754	84.88460008730476	83.65885778890927	96.88770282147316	103.55499433963634	127.61115718375673	125.37091315141707	77.124366874635	83.17071986364215	75.08835893734377	80.26848761347634	79.40847146550573	79.38666878183737	82.24132289282042	108.10354599528998	96.57606586665405	90.27716161126426	71.76039291666645	104.74152110476292	73.0594997991554	78.1512797044063	76.21006300059817	75.31927412965567	76.1098837181257	76.09139971838826	67.07318631781312	75.75267509399896	68.054733488344	88.55412217209859	98.21571030478228	114.03133553703685	91.0631092122609	95.78858801819206	72.90722254186628	73.32008168262122	89.8348600390226	103.49120614719267	126.67835106236855	114.63107251638202	71.73578793930751	74.77661373443978	70.95339029344099	80.16521474249545	70.74032514618858	75.92955302026753	76.08025561962694	102.72090853528236	84.69493927122811	73.48564510710449	68.47178588438581	81.59460380064581	72.3674506233785	72.74889062559444	75.91328020324775
45000	-589.7427815840927	-26.685399141865858	-385.12111619272275	-177.936266249504	3.7038131218215447	1.7110335573687558	0.46749933479147765	0.4228413890352591	0.5977121927264287	0.14468638941637496	1.6058736273301109	2.796978434516983	4.841318518537508	0.5628019183039077	1	1	0.5382960096408811	127.87872963741249	66.92352340853542	188.97553921937657	76.00922925648727	76.40013118225774	76.84705216635044	77.7966210733195	78.36365037562443	73.32373645179852	90.49395815084443	103.79339876960488	114.34043352960848	100.20332085802829	99.68179941413385	88.33981101061228	85.42817568758278	96.7788777331123	103.51476938657126	127.87872963741249	124.9617786961982	75.3754530374781	84.0492056456835	74.95838611373664	80.22866452594064	82.36443638757055	78.16378069739706	81.50699570232867	109.00881719880483	96.42055966377028	86.07645291686907	72.46208650107067	106.21625444985429	72.86664890393486	77.44546097293839	75.97998567707634	75.78525711344325	76.12663645199274	76.53467575889553	67.15922312411506	75.18341981279357	68.11711709190217	90.08773404634442	99.16663223959958	114.03117797765847	90.86097248641966	97.05103760591096	70.24295514262262	73.12982075244717	88.7200217067365	103.24488198941664	126.83695575545268	112.58009050106575	71.74110439463854	75.2558651647672	71.09044898276368	79.97904559406001	71.05910996810836	75.79529885658332	76.94510673866934	103.85472607396868	85.63137819711956	72.87366473262982	66.92352340853542	81.86839207969544	72.37325992412549	72.23117525513774	75.82241362700509
