it	l_0	l_1	l_2	l_3	l_4	l_5	l_6	l_7	l_8	l_9	l_10	l_11	l_12	l_13	l_14	l_15	l_16	l_17	l_18	l_19	l_20	l_21	l_22	l_23	l_24	l_25	l_26	l_27	l_28	l_29	l_30	l_31	l_32	l_33	l_34	l_35	l_36	l_37	l_38	l_39	l_40	l_41	l_42	l_43	l_44	l_45	l_46	l_47	l_48	l_49	l_50	l_51	l_52	l_53	l_54	l_55	l_56	l_57	l_58	l_59	l_60	l_61	l_62	l_63	l_64	l_65	l_66	l_67	l_68	l_69	l_70	l_71	l_72	l_73	l_74	l_75	l_76	l_77	l_78	l_79	l_80	l_81	l_82	l_83	m_0	m_1	m_2	m_3	m_4	m_5	m_6	m_7	m_8	m_9	m_10	m_11	m_12	m_13	m_14	m_15	m_16	m_17	m_18	m_19	m_20	m_21	m_22	m_23	m_24	m_25	m_26	m_27	m_28	m_29	m_30	m_31	m_32	m_33	m_34	m_35	m_36	m_37	m_38	m_39	m_40	m_41	m_42	m_43	m_44	m_45	m_46	m_47	m_48	m_49	m_50	m_51	m_52	m_53	m_54	m_55	m_56	m_57	m_58	m_59	m_60	m_61	m_62	m_63	m_64	m_65	m_66	m_67	m_68	m_69	m_70	m_71	m_72	m_73	m_74	m_75	m_76	m_77	m_78	m_79	m_80	m_81	m_82	m_83	r_0	r_1	r_2	r_3	r_4	r_5	r_6	r_7	r_8	r_9	r_10	r_11	r_12	r_13	r_14	r_15	r_16	r_17	r_18	r_19	r_20	r_21	r_22	r_23	r_24	r_25	r_26	r_27	r_28	r_29	r_30	r_31	r_32	r_33	r_34	r_35	r_36	r_37	r_38	r_39	r_40	r_41	r_42	r_43	r_44	r_45	r_46	r_47	r_48	r_49	r_50	r_51	r_52	r_53	r_54	r_55	r_56	r_57	r_58	r_59	r_60	r_61	r_62	r_63	r_64	r_65	r_66	r_67	r_68	r_69	r_70	r_71	r_72	r_73	r_74	r_75	r_76	r_77	r_78	r_79	r_80	r_81	r_82	r_83	
0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.42801085168952435	0.42801085168952435	0.42801085168952435	0.42801085168952435	0.42801085168952435	0.42801085168952435	0.42801085168952435	0.42801085168952435	0.42801085168952435	0.42801085168952435	0.42801085168952435	0.42801085168952435	0.42801085168952435	0.42801085168952435	0.42801085168952435	0.42801085168952435	0.42801085168952435	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2217288298098189	0.2217288298098189	0.2217288298098189	0.2217288298098189	0.2217288298098189	0.2217288298098189	0.2217288298098189	0.2217288298098189	0.2217288298098189	0.2217288298098189	0.2217288298098189	0.2217288298098189	0.2217288298098189	0.2217288298098189	0.2217288298098189	0.2217288298098189	0.2217288298098189	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.20628202187970546	0.20628202187970546	0.20628202187970546	0.20628202187970546	0.20628202187970546	0.20628202187970546	0.20628202187970546	0.20628202187970546	0.20628202187970546	0.20628202187970546	0.20628202187970546	0.20628202187970546	0.20628202187970546	0.20628202187970546	0.20628202187970546	0.20628202187970546	0.20628202187970546
5000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4429803849668847	0.4429803849668847	0.4429803849668847	0.4429803849668847	0.4429803849668847	0.4429803849668847	0.4429803849668847	0.4429803849668847	0.4429803849668847	0.4429803849668847	0.4429803849668847	0.4429803849668847	0.4429803849668847	0.4429803849668847	0.4429803849668847	0.4429803849668847	0.4429803849668847	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6175546902295922	0.6175546902295922	0.6175546902295922	0.6175546902295922	0.6175546902295922	0.6175546902295922	0.44827845629711677	0.44827845629711677	0.44827845629711677	0.44827845629711677	0.44827845629711677	0.44827845629711677	0.44827845629711677	0.18786811393794547	0.18786811393794547	0.18786811393794547	0.18786811393794547	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.1745743052627075	-0.1745743052627075	-0.1745743052627075	-0.1745743052627075	-0.1745743052627075	-0.1745743052627075	-0.005298071330232079	-0.005298071330232079	-0.005298071330232079	-0.005298071330232079	-0.005298071330232079	-0.005298071330232079	-0.005298071330232079	0.2551122710289392	0.2551122710289392	0.2551122710289392	0.2551122710289392
10000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.32054917142398676	0.32054917142398676	0.32054917142398676	0.32054917142398676	0.32054917142398676	0.32054917142398676	0.32054917142398676	0.32054917142398676	0.32054917142398676	0.32054917142398676	0.32054917142398676	0.32054917142398676	0.32054917142398676	0.32054917142398676	0.32054917142398676	0.32054917142398676	0.2699295456042649	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6147195308954708	0.6147195308954708	0.6147195308954708	0.6147195308954708	0.6147195308954708	0.6147195308954708	0.6147195308954708	0.6147195308954708	0.6147195308954708	0.6147195308954708	0.6147195308954708	0.2541503103447106	0.2541503103447106	0.2541503103447106	0.2541503103447106	0.2541503103447106	0.2541503103447106	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.29417035947148407	-0.29417035947148407	-0.29417035947148407	-0.29417035947148407	-0.29417035947148407	-0.29417035947148407	-0.29417035947148407	-0.29417035947148407	-0.29417035947148407	-0.29417035947148407	-0.29417035947148407	0.06639886107927617	0.06639886107927617	0.06639886107927617	0.06639886107927617	0.06639886107927617	0.015779235259554325
15000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.29308195458697067	0.29308195458697067	0.29308195458697067	0.29308195458697067	0.29308195458697067	0.29308195458697067	0.29308195458697067	0.29308195458697067	0.29308195458697067	0.29308195458697067	0.29308195458697067	0.29308195458697067	0.29308195458697067	0.29308195458697067	0.29308195458697067	0.29308195458697067	0.29308195458697067	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.34058496131268967	0.34058496131268967	0.34058496131268967	0.34058496131268967	0.34058496131268967	0.34058496131268967	0.34058496131268967	0.34058496131268967	0.34058496131268967	0.34058496131268967	0.34058496131268967	0.1460375210734613	0.1460375210734613	0.1460375210734613	0.1460375210734613	0.1460375210734613	0.1460375210734613	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.047503006725719	-0.047503006725719	-0.047503006725719	-0.047503006725719	-0.047503006725719	-0.047503006725719	-0.047503006725719	-0.047503006725719	-0.047503006725719	-0.047503006725719	-0.047503006725719	0.14704443351350938	0.14704443351350938	0.14704443351350938	0.14704443351350938	0.14704443351350938	0.14704443351350938
20000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.40935304348688883	0.40935304348688883	0.40935304348688883	0.40935304348688883	0.40935304348688883	0.40935304348688883	0.40935304348688883	0.40935304348688883	0.40935304348688883	0.40935304348688883	0.40935304348688883	0.40935304348688883	0.40935304348688883	0.40935304348688883	0.40935304348688883	0.40935304348688883	0.40935304348688883	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5735373666071212	0.5735373666071212	0.5735373666071212	0.5735373666071212	0.9655470935775546	0.9655470935775546	0.9655470935775546	0.9655470935775546	0.9655470935775546	0.9655470935775546	0.14533834676007312	0.14533834676007312	0.14533834676007312	0.14533834676007312	0.14533834676007312	0.14533834676007312	0.14533834676007312	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.16418432312023234	-0.16418432312023234	-0.16418432312023234	-0.16418432312023234	-0.5561940500906658	-0.5561940500906658	-0.5561940500906658	-0.5561940500906658	-0.5561940500906658	-0.5561940500906658	0.2640146967268157	0.2640146967268157	0.2640146967268157	0.2640146967268157	0.2640146967268157	0.2640146967268157	0.2640146967268157
25000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4383055428957873	0.4383055428957873	0.4383055428957873	0.4383055428957873	0.4383055428957873	0.4383055428957873	0.4383055428957873	0.4383055428957873	0.4383055428957873	0.4383055428957873	0.4383055428957873	0.4383055428957873	0.4383055428957873	0.4383055428957873	0.4383055428957873	0.4383055428957873	0.4383055428957873	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6242655631042566	0.6242655631042566	0.6242655631042566	0.6242655631042566	0.6242655631042566	0.6242655631042566	0.6242655631042566	0.6242655631042566	0.6242655631042566	0.6242655631042566	0.1649094586160587	0.1649094586160587	0.1649094586160587	0.1649094586160587	0.1649094586160587	0.1649094586160587	0.1649094586160587	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.1859600202084693	-0.1859600202084693	-0.1859600202084693	-0.1859600202084693	-0.1859600202084693	-0.1859600202084693	-0.1859600202084693	-0.1859600202084693	-0.1859600202084693	-0.1859600202084693	0.2733960842797286	0.2733960842797286	0.2733960842797286	0.2733960842797286	0.2733960842797286	0.2733960842797286	0.2733960842797286
30000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4246450619807771	0.4246450619807771	0.4246450619807771	0.4246450619807771	0.4246450619807771	0.4246450619807771	0.4246450619807771	0.4246450619807771	0.4246450619807771	0.4246450619807771	0.4246450619807771	0.4246450619807771	0.4246450619807771	0.4246450619807771	0.4246450619807771	0.4246450619807771	0.4246450619807771	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.762962853717655	0.762962853717655	0.762962853717655	0.762962853717655	0.762962853717655	0.762962853717655	0.762962853717655	0.762962853717655	0.762962853717655	0.15556585665234385	0.15556585665234385	0.15556585665234385	0.15556585665234385	0.15556585665234385	0.15556585665234385	0.15556585665234385	0.15556585665234385	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.3383177917368779	-0.3383177917368779	-0.3383177917368779	-0.3383177917368779	-0.3383177917368779	-0.3383177917368779	-0.3383177917368779	-0.3383177917368779	-0.3383177917368779	0.26907920532843327	0.26907920532843327	0.26907920532843327	0.26907920532843327	0.26907920532843327	0.26907920532843327	0.26907920532843327	0.26907920532843327
35000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4012795135516216	0.4012795135516216	0.4012795135516216	0.4012795135516216	0.4012795135516216	0.4012795135516216	0.4012795135516216	0.4012795135516216	0.4012795135516216	0.4012795135516216	0.4012795135516216	0.4012795135516216	0.4012795135516216	0.4012795135516216	0.4012795135516216	0.4012795135516216	0.4012795135516216	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.62484419405168	0.62484419405168	0.62484419405168	0.62484419405168	0.62484419405168	0.62484419405168	0.62484419405168	0.62484419405168	0.62484419405168	0.62484419405168	0.30655158738701876	0.30655158738701876	0.30655158738701876	0.30655158738701876	0.30655158738701876	0.30655158738701876	0.30655158738701876	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.2235646805000584	-0.2235646805000584	-0.2235646805000584	-0.2235646805000584	-0.2235646805000584	-0.2235646805000584	-0.2235646805000584	-0.2235646805000584	-0.2235646805000584	-0.2235646805000584	0.09472792616460285	0.09472792616460285	0.09472792616460285	0.09472792616460285	0.09472792616460285	0.09472792616460285	0.09472792616460285
40000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.41502279158977057	0.41502279158977057	0.41502279158977057	0.41502279158977057	0.41502279158977057	0.41502279158977057	0.41502279158977057	0.41502279158977057	0.41502279158977057	0.41502279158977057	0.41502279158977057	0.41502279158977057	0.41502279158977057	0.41502279158977057	0.41502279158977057	0.41502279158977057	0.41502279158977057	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5933790448397305	0.5933790448397305	0.5933790448397305	0.5933790448397305	0.5933790448397305	0.5933790448397305	0.5933790448397305	0.5933790448397305	0.5933790448397305	0.5933790448397305	0.5933790448397305	0.1631698884271976	0.1631698884271976	0.1631698884271976	0.1631698884271976	0.1631698884271976	0.1631698884271976	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.1783562532499599	-0.1783562532499599	-0.1783562532499599	-0.1783562532499599	-0.1783562532499599	-0.1783562532499599	-0.1783562532499599	-0.1783562532499599	-0.1783562532499599	-0.1783562532499599	-0.1783562532499599	0.25185290316257297	0.25185290316257297	0.25185290316257297	0.25185290316257297	0.25185290316257297	0.25185290316257297
45000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5489100260327783	0.5489100260327783	0.5489100260327783	0.5489100260327783	0.5489100260327783	0.5489100260327783	0.5489100260327783	0.5489100260327783	0.5489100260327783	0.5489100260327783	0.5489100260327783	0.5489100260327783	0.5489100260327783	0.5489100260327783	0.5489100260327783	0.5489100260327783	0.5489100260327783	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5925946003629653	0.5925946003629653	0.5925946003629653	0.5925946003629653	0.5925946003629653	0.5925946003629653	0.5925946003629653	0.5925946003629653	0.5925946003629653	0.5925946003629653	0.5925946003629653	0.26886840745606966	0.26886840745606966	0.26886840745606966	0.26886840745606966	0.26886840745606966	0.26886840745606966	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.04368457433018702	-0.04368457433018702	-0.04368457433018702	-0.04368457433018702	-0.04368457433018702	-0.04368457433018702	-0.04368457433018702	-0.04368457433018702	-0.04368457433018702	-0.04368457433018702	-0.04368457433018702	0.2800416185767086	0.2800416185767086	0.2800416185767086	0.2800416185767086	0.2800416185767086	0.2800416185767086
