it	posterior	prior	PP_lik	BD_lik	q_0	q_1	alpha	k_birth	k_death	RJ_hp	root_age	death_age	tot_length	Achelousaurus_horneri_TS	Agujaceratops_mariscalensis_TS	Agujaceratops_mavericus_TS	Albertaceratops_nesmoi_TS	Anchiceratops_ornatus_TS	Arrhinoceratops_brachyops_TS	Avaceratops_lammersi_TS	Brachyceratops_montanensis_TS	Bravoceratops_polyphemus_TS	Centrosaurus_apertus_TS	Chasmosaurus_belli_TS	Chasmosaurus_russelli_TS	Coahuilaceratops_magnacuerna_TS	Coronosaurus_brinkmani_TS	Crittendenceratops_krzyzanowskii_TS	Diabloceratops_eatoni_TS	Einiosaurus_procurvicornis_TS	Eotriceratops_xerinsularis_TS	Judiceratops_tigris_TS	Kosmoceratops_richardsoni_TS	Machairoceratops_cronusi_TS	Medusaceratops_lokii_TS	Mercuriceratops_gemini_TS	Mojoceratops_perifania_TS	Monoclonius_crassus_TS	Nasutoceratops_titusi_TS	Ojoceratops_fowleri_TS	Pachyrhinosaurus_canadensis_TS	Pachyrhinosaurus_lakustai_TS	Pachyrhinosaurus_perotorum_TS	Pentaceratops_sternbergii_TS	Regaliceratops__peterhewsi_TS	Rubeosaurus_ovatus_TS	Sinoceratops_zhuchengensis_TS	Spiclypeus_shipporum_TS	Spinops_sternbergorum_TS	Stellasaurus_ancellae_TS	Styracosaurus_albertensis_TS	Tatankaceratops_sacrisonorum_TS	Titanoceratops_ouranos_TS	Torosaurus_latus_TS	Torosaurus_utahensis_TS	Triceratops_horridus_TS	Triceratops_prorsus_TS	Utahceratops_gettyi_TS	Vagaceratops_irvinensis_TS	Wendiceratops_pinhornensis_TS	Xenoceratops_foremostensis_TS	Yehuecauhceratops_mudei_TS	Achelousaurus_horneri_TE	Agujaceratops_mariscalensis_TE	Agujaceratops_mavericus_TE	Albertaceratops_nesmoi_TE	Anchiceratops_ornatus_TE	Arrhinoceratops_brachyops_TE	Avaceratops_lammersi_TE	Brachyceratops_montanensis_TE	Bravoceratops_polyphemus_TE	Centrosaurus_apertus_TE	Chasmosaurus_belli_TE	Chasmosaurus_russelli_TE	Coahuilaceratops_magnacuerna_TE	Coronosaurus_brinkmani_TE	Crittendenceratops_krzyzanowskii_TE	Diabloceratops_eatoni_TE	Einiosaurus_procurvicornis_TE	Eotriceratops_xerinsularis_TE	Judiceratops_tigris_TE	Kosmoceratops_richardsoni_TE	Machairoceratops_cronusi_TE	Medusaceratops_lokii_TE	Mercuriceratops_gemini_TE	Mojoceratops_perifania_TE	Monoclonius_crassus_TE	Nasutoceratops_titusi_TE	Ojoceratops_fowleri_TE	Pachyrhinosaurus_canadensis_TE	Pachyrhinosaurus_lakustai_TE	Pachyrhinosaurus_perotorum_TE	Pentaceratops_sternbergii_TE	Regaliceratops__peterhewsi_TE	Rubeosaurus_ovatus_TE	Sinoceratops_zhuchengensis_TE	Spiclypeus_shipporum_TE	Spinops_sternbergorum_TE	Stellasaurus_ancellae_TE	Styracosaurus_albertensis_TE	Tatankaceratops_sacrisonorum_TE	Titanoceratops_ouranos_TE	Torosaurus_latus_TE	Torosaurus_utahensis_TE	Triceratops_horridus_TE	Triceratops_prorsus_TE	Utahceratops_gettyi_TE	Vagaceratops_irvinensis_TE	Wendiceratops_pinhornensis_TE	Xenoceratops_foremostensis_TE	Yehuecauhceratops_mudei_TE
0	-835.2206088259048	-12.373450102485682	-625.191643757911	-197.65551496550813	0.5725793386905925	0.5725793386905925	1.0	1	1	1	85.35841891289643	65.67963419585391	126.61236668948797	76.03463835301709	79.93411565503251	79.50738582241742	77.00967172768644	71.52532771937989	71.67002440441689	78.9888505180213	84.07179298754708	69.32561740748723	77.02426482263738	85.35841891289643	82.3948517524811	72.27788552993576	77.53724539690023	73.16955219288657	77.38927200961605	84.39289009970753	67.81188693117443	76.95141164254397	76.82202358899158	79.12343754841234	78.12326717941609	73.67045162148167	82.13984693662952	84.44818692929256	80.68130640356792	69.43466536613376	71.96735315879214	73.61115448023381	70.94626273377443	74.91667753247913	68.43256457314448	75.9643840466373	73.66231161980711	76.67938320360626	83.14408756324477	74.91442057687125	76.91317495982122	71.0861907980391	81.81007337540008	70.75700180388989	70.23252865432826	68.86600627394962	68.03597983113798	76.4185767657201	77.05131316555676	78.99859768241335	78.51716981597293	79.7467938041933	75.84379604620062	76.30758483384763	70.33611102100868	76.65523354491111	69.53625205119701	70.7599811293938	77.61500905853192	76.01385917247443	69.23678245653056	75.80467391668404	71.8758928687839	69.06980574117327	72.18215979378277	76.77978827825086	72.08584292165612	76.32606319935033	77.42474471656512	67.6998787697238	75.41175011263603	74.44679543503482	78.96823006106602	76.81820131169596	73.3879796806934	68.30484514827552	73.72096764115311	80.57976032637625	67.92306649173358	71.10128016648719	72.6873949262814	67.93881705259992	72.93906727371669	68.26240256398184	73.98054779841151	72.40581248110108	76.40594786348562	82.87406064716302	74.78737462081727	75.77268312982889	70.75502156626975	81.7404932956921	66.53410083443657	66.2988682204975	65.67963419585391	65.9990653819312	74.71468840763697	75.46923301391556	78.47793498672075	77.59531165536394	79.34313337831274
5000	-660.214917680041	-22.56876697287578	-442.0774841313357	-195.56866657582952	2.2643665538236655	2.1016363095888275	0.4240893898871774	1	3	1.7206704574987488	85.11567917212237	65.55647625271195	137.22131139196574	76.0340817307693	80.52148497974432	80.56488184289933	77.17275474255644	71.46667355245286	71.440563080365	79.18134266381827	83.19417398086728	69.75461606148913	77.48434697727767	85.11567917212237	84.3287960143342	72.53837759391145	77.36252557630462	73.1886981080734	77.19397701012632	83.56529588193905	67.86790816686289	77.11094389898072	76.68326556852635	79.33494560690539	78.30903110141256	73.68486116421279	80.87962911381533	84.32551536575934	80.76468453195922	69.4138926433848	71.99538761153356	73.56654281452244	70.95833616823671	75.02576669798788	68.26795131771945	77.66254531264201	73.39649403977643	76.59949686461518	84.36434802915679	74.89121517078311	77.01413407451356	72.38961540352462	81.99618359805511	71.15671622421759	70.162059630393	68.8758896922183	68.14030305544718	76.4350810263801	76.91420719166125	79.04942242153834	78.54376688441967	79.89748287634691	75.25676681973302	76.01938710129106	73.82538551645172	76.78395077860276	69.5329250298527	70.44494305640897	75.62026405958883	74.93357608270733	69.17285297851376	75.49763011138494	72.50598781161347	70.12015146156523	72.09524934138793	76.7842210556609	72.07586717350067	76.58099616628981	77.36062719374476	67.72085258069343	75.4780290995713	74.68140989190891	77.88712336155902	77.42408352829753	73.35108888784765	68.24589605175953	73.98534375457935	80.3892113563971	66.85888327014008	70.97612662235369	72.68670246640016	68.0330306367473	73.00757424791361	68.2321975131767	73.39024618322556	71.4638368950425	76.10722870412582	82.86924580997609	74.7566505996904	75.61025532105923	70.95273599184168	80.91377764537272	66.61764754372696	66.38491850762021	66.0803992490623	65.55647625271195	73.71995371997338	76.07368071272465	78.57185450873418	77.47927594655786	78.44806224550511
10000	-593.5071617260762	-27.91028129156711	-381.29816738957675	-184.29871304493236	4.5326404735758175	2.741673788643209	0.5394072173031582	3	2	2.333613829135156	84.34182753310658	65.96241161337488	123.3889211045465	75.86154778846625	80.69556977931649	79.61206243044724	77.0041032452628	71.25959917194923	71.67138016509574	79.25738434653343	82.26213590747653	69.38237181492889	76.99679251913126	83.52396523403992	82.70078305086486	72.24944519557262	77.44717341753869	73.2241998477478	77.17099236840947	84.34182753310658	67.8772192086242	77.17630320238054	76.54304178788473	78.99041676182482	78.28013403054399	73.51401406817591	83.55019729345825	84.09347544934487	80.87087458062902	69.38371070021292	72.00271948556896	73.48815444820382	70.95473363160723	75.41899845682639	68.26887512304903	77.33445081094409	73.14804341474074	76.46233730091426	83.17653857375953	74.92416952614998	77.13986746990298	71.31422497148905	81.90640044716797	70.69356189190079	70.40532600839332	68.90791831972344	68.0978144404791	76.605675328735	76.8998527265831	79.03073542269671	78.49899303824893	79.5697391718263	75.82130010971561	76.0205631754754	73.26247476530331	76.89272343640758	69.5111389633995	70.72249188171081	77.36135529993206	76.09099882222392	69.0650217572048	75.79381355116313	72.4569578238101	73.20731674023789	72.18766401253373	74.83016838410862	71.89821579936708	76.2941057595088	76.50310448957919	67.69439573442781	74.28236050750596	74.45176224892046	78.89414315270392	77.49985063322035	72.8896773357454	69.64846020053145	73.82438455755303	80.47975838505832	68.04153463741886	71.02588392405929	72.688281500092	67.86992035489976	73.0102995193095	68.19086793430681	72.84809790596134	72.11169268936435	76.4465672532523	82.91850428533465	74.71532779016323	75.62032957643108	70.84910134731916	81.5036335005559	66.34256031560324	66.54112507011052	66.00591162882624	65.96241161337488	74.64970748874704	76.05859758801576	78.58278761523263	76.82218723500145	79.41139150260304
15000	-593.0992393666801	-27.59654238198759	-386.3349241922491	-179.16777279244343	5.371442871803	3.6288097436573863	0.4566645545350595	2	2	2.9605550425767584	84.24310037168785	65.99502267740161	122.63521308811289	76.05606104407313	79.74525849730996	79.09973558154195	77.02444974437692	71.59303648015182	71.49697472296764	78.80863900961027	83.0959832819764	69.3289681425886	77.07211082244342	83.05139690157878	82.32485687761321	72.9712822650076	77.55134571461338	73.39746945356397	77.30022671406275	83.41018293253313	68.55218417872145	77.41857633617526	76.49696286210228	79.11245946065202	78.05855158858539	73.43070274349438	84.24310037168785	83.08462166499542	80.74754017121681	69.78440424359202	71.92261719006576	73.96483974663646	71.37694975400657	74.93522289204613	68.46397670172932	76.34862440878561	74.8879958245583	76.46405791884193	83.09584247548408	74.86217713920156	76.89433218155845	71.00035219093421	81.79922781404306	70.6406612519494	70.22666889820844	69.0381898903709	68.03928825526708	76.38867352728	77.09664440290737	79.04032855635361	78.56825327074986	79.54216082843357	75.76469627737318	76.27240733597314	73.48603929534657	76.85833608948565	69.53565256062093	70.57520467934017	76.65313612164111	75.59849465723687	69.17194812954921	75.70909838028302	72.01482124506741	72.82705669314582	72.07788028434548	76.75864141115885	72.08462095197115	76.09881519485505	77.43860233227176	67.5657079022879	75.27920886588682	74.8189515615508	78.84703306605337	77.18756288345875	73.42376265764499	70.94484267944671	73.95220564490198	80.49136263890887	67.73897765855564	71.0100387428495	72.19170358521984	66.37134777253735	73.07041256293206	68.10928497838688	72.50148868902805	71.68853102253445	76.45472407949815	82.52299001432611	74.65730412481138	75.76004992324349	70.16731657017235	81.64954685110972	66.55193779833691	66.40064403117525	66.04305405962315	65.99502267740161	74.66627525837173	75.82261093830745	78.49757506697328	77.48857127358822	79.42345661974653
20000	-566.7896779925402	-27.917978819588498	-360.91207826166857	-177.95962091128314	4.95035322238298	4.6936034673045155	0.4821579163442062	1	3	0.4529486148878835	83.52018342452897	65.51866298518274	121.33107236102678	76.03274374908432	80.68654774833372	79.49164947651744	77.04975461400186	71.22825657414784	71.47702804587448	80.84902516422866	82.47911590957186	69.31505868262965	76.99531876107724	83.0505316057205	82.30226616353502	72.59952122632735	77.42533510734151	73.12373851459373	77.56449231259515	83.52018342452897	68.03232494168658	77.15485176588746	76.92076265033319	79.00987772213021	78.43137410279682	73.43070274349438	82.23570787985025	83.19493509278452	80.76265247123581	69.40799980713456	71.91392838062511	73.48853419548406	70.9593800529891	74.95490598684577	68.50097317949793	75.9575286203544	76.37531603391365	76.47747599806611	82.95547596594405	74.8430394322841	77.3795838957662	71.0856362479009	81.85883722505272	70.87846482875135	70.22554352152363	68.95766098003698	68.0759200254534	76.3879757795293	76.94861700085347	79.09625185956932	78.40728330199185	79.52557598136458	75.80451181518572	76.13790864006572	72.37300904151206	77.00246375747899	69.40772844538151	70.13273814265733	76.17639258152145	75.5127147588679	69.1891247538838	75.719346422494	72.55209712567749	73.33807762736208	71.99630466536728	76.49680576732058	71.97745894975877	76.35573646082615	76.4817149644249	67.7525050127455	75.61633055088289	73.96989362316089	78.97144628357465	76.46037930938867	73.42800262695438	71.18543982338531	73.75841640462703	80.50675600319612	67.96202993288172	71.15429266107327	72.63910210253927	68.01540812185209	73.01322591067526	68.23006669772246	74.04451804324654	72.23474533421656	76.41583187357233	82.91882559641317	74.83448175036209	75.77413629532425	70.75290508727139	81.78066736807362	66.49327791771532	65.51866298518274	65.9664921181143	65.97077496963409	74.47645753072054	75.71559679086171	78.4852020120211	77.52557654592745	79.46901118711183
25000	-559.3126105317855	-23.16809585840123	-360.9484353235241	-175.19607934986016	4.278740092671454	4.988812764492838	0.5580746585352001	1	2	1.391301336532579	84.4993248218162	65.99180552241093	116.65702616440943	75.90379681569323	80.03896824596384	79.59903390562236	77.0978985321287	71.31116659294347	71.65511124471115	81.81464305111648	84.4993248218162	69.39746696246316	77.16585597539536	83.55695101144802	81.67423540293522	72.49974668450182	77.40197980974281	73.11039583439741	77.1109325872379	83.32698251692717	67.99661819283985	77.0421030752368	76.9416199426409	79.05758392637888	78.48479193043778	73.44329467158212	81.78140317093845	83.3713714305959	80.62489854113123	69.5197411242835	71.93559190810308	73.57774921002398	70.99530361770887	74.80097175908458	68.27766506497383	76.05535735184903	74.36003094797358	76.48471553061987	83.17704735847893	74.87045392352528	76.90154720439514	70.96394541261176	81.81903414996904	70.54285365678793	70.58895617170575	68.83502992320302	68.03471724638521	76.43870682653018	76.98754600172144	79.0337916180188	78.41059378286808	79.52644607968254	75.76975607893463	76.13111964729374	73.94010964999943	76.95360443895838	69.61163408558966	70.31875122292755	76.05217190571761	75.65250668698556	68.60025257081452	75.67575177511313	72.24544453821855	73.29268811047719	72.05972070413605	76.7399544430488	72.15717658686691	76.5755294716955	76.90005031426462	67.7514330245972	75.61435436630877	74.55704176366606	78.77378225056982	77.2255655687857	73.42282089736261	72.41116621716452	73.4159152995379	80.5249901696261	67.98055853134916	71.09496736640226	72.63635700003015	68.03779281051	72.99512605324692	68.24504406150402	73.80447347679323	72.40373681917187	76.26414695831888	82.78897495737613	74.65181549370327	75.59688724426313	70.93450792859535	81.53540911794671	66.12295545933051	66.37556708389327	66.06945944438333	65.99180552241093	74.52264488982583	75.60329832758082	78.4541024952891	77.45255648457223	79.45346526776257
30000	-587.719883381166	-21.670748715045303	-386.97674426369525	-179.07239040242547	3.7502301124066335	3.9378604564824027	0.5277606763681418	1	2	1.3876205814665603	83.4893099625955	65.86326410310845	124.21886211295362	76.7682636539821	81.03315700045512	80.33371121420605	77.62412980014304	71.46039891131421	71.42182959429216	79.25577692558787	83.04507977811045	69.3358657836271	77.23827592894537	83.25577476343295	81.8929367542591	72.30313255823695	77.39805201018493	73.34782597200511	77.33004268456673	83.4893099625955	67.80203489886013	76.98299268485557	76.75938101459025	80.03200430701045	78.09907593712822	73.42953586783189	82.09276129767528	83.02497927830072	81.14299515593981	69.6701984184836	71.96180360327953	73.47851955590282	71.34420657099001	75.17758875693828	68.42840882300717	76.05926707772696	73.50185988000415	76.75490092938647	83.11077505823508	74.8822020385972	76.88767396956968	71.14464607119491	81.99853834854349	70.60016184916522	70.37313537718771	68.83866101780653	68.08111851222762	76.88657837541868	77.32635540501448	78.98755325205049	78.88341863871413	79.5296595511178	75.65571282062298	75.63073920596618	73.38423718384233	77.00081414797496	69.3705194616695	70.79394980655654	76.8828684417209	73.52782095905349	69.30293157937656	75.75216770585249	71.56860511258706	73.43055328939869	72.06712329569763	76.59303188651361	72.22079897498736	74.79278846036198	75.75532424617913	67.72393411880411	74.90682120477595	74.29442455086809	78.87015855033357	77.46146820837644	73.42691892517418	71.65893436230013	73.87615345055625	80.61646346355582	68.04339075932329	71.10952500779311	72.63855758113944	68.05770364175879	73.0052533032436	68.21569978787002	73.99262332722535	72.07130159359299	76.40260024021583	82.85515799566566	74.83510874400304	75.73475305367417	70.92434360528613	81.7475635105469	66.46868291334933	66.74121995153212	65.86326410310845	65.93391596485363	73.60173385619849	75.66990515899089	78.5110868016325	77.21987144414554	79.37916694749028
35000	-561.1280019339302	-25.45155993445298	-357.57164066445455	-178.10480133502267	5.2840841159464516	6.065105963649029	0.48088354213015405	1	2	1.0246532763237988	83.76551172425908	66.003924290082	117.05726852801003	75.89240417677422	79.76919980677194	79.03517931427622	77.04099991700484	71.24018834938755	71.42599958713188	79.46056033243254	82.78575691576171	69.34789316914063	77.2905977920169	83.27952855310535	82.66799618631798	72.25234971838582	77.44104897927751	74.61289178736864	77.08217439638211	83.58509661341638	67.86973518651193	77.21376524171401	76.65602249122007	79.07917961371629	80.1225860993383	73.42953586783189	80.41389700158038	83.76551172425908	80.67284209637587	69.82797640582935	71.95702082185878	73.50469914323148	71.0081127425177	74.79961686214571	68.41371339420641	75.94434712275341	73.25641786644157	76.58644366085751	82.93880102238587	74.99408695147493	77.0088595261268	70.97733772712797	81.79321325024912	70.96159166194899	70.62566129006274	68.82646324045012	68.0896079935907	76.63962343851048	76.93419303263582	78.99628457369887	78.51846785004719	79.51375722061093	75.72939684081831	76.12555674719496	71.99679604982657	76.79864885453955	69.20959550867886	70.55222382547706	76.56373626902192	75.26946100815312	69.27497479231572	75.7257939054684	72.13389647087538	73.44075649154382	72.16499176566715	76.7230180653543	72.01478790378881	76.01077390245942	77.427187392694	67.72649938563185	73.86605727921973	74.69184748389337	78.98065994478915	76.7084087638795	73.42691892517418	72.24736044273575	73.89052074758261	80.58643680791367	67.96611733503703	71.1513171574147	72.683952071431	67.74391940512153	72.9592104940755	68.13753358042366	73.4783138710051	72.07575205892061	76.1152166613447	82.90449442689315	74.79516576910424	75.74352579612075	70.90966059427721	81.72193460052543	66.33279997077561	66.18283008798629	66.04586804171925	66.003924290082	74.69573013297469	75.95820758300496	78.56371392146457	77.5709480117418	79.46552775211153
40000	-565.9050017216122	-29.516524729909783	-360.5644491803844	-175.82402781131805	7.206719031514909	4.597399668735329	0.8350599154374783	2	2	2.3509217935714553	85.06777228440606	66.01108292359433	118.65555940777354	75.84816900262996	80.05558449550301	78.88490220471384	77.03092575592571	71.36752709127104	71.39345505974345	79.00503021714368	82.44773279797231	69.80818360470076	77.01525440693466	85.06777228440606	82.18740400691264	72.27080678347252	77.45385984060209	73.21858570605885	77.48461693889894	83.38465829774601	68.03972278646887	77.18080144172306	76.62872506278322	78.98732134482056	78.70874586846612	73.44942222880324	82.65089282066177	83.26913011506319	80.63564246357842	69.37487586103185	72.06090434299333	73.53250510257534	71.19295603456254	74.88283263026375	68.39015385386134	76.64839576281278	73.41305399830443	76.46948906757432	83.12479671207032	74.90278997564454	77.00753716379087	71.00023134465059	81.9327052548691	70.6498203361099	70.35720942640984	68.83601151749734	68.23480194484485	76.35616929465192	77.1576768101437	78.99183785485994	78.73599300135889	79.5204672819246	75.84521521353426	76.20888419807073	72.90181567035467	76.93321743371393	69.14967156479432	70.61719010111992	77.35265990338192	75.60071244006782	69.28163755962296	75.79180288213982	70.8956666612534	73.38965672880211	71.9745412636018	76.7555327499458	71.50972046836124	74.33956637725598	77.38506526360008	67.77874870496241	75.26790068829438	74.10107119265628	78.9614930432955	77.28258167271242	73.24823407330221	70.94405536657274	73.59477797010955	80.54203450055226	67.79906983279238	71.032747134166	72.52429836336776	68.06173970561908	73.04451357987418	68.19730325813879	74.09571996047677	72.30116935486123	76.36958647888217	82.86063669573468	74.64339350702045	75.72142792273118	70.68480093070504	81.72671258102636	66.55923830629382	66.70540741559255	66.08022664200116	66.01108292359433	74.76140540835505	75.73172223021467	78.52747396030172	77.38295565529862	79.11644225291002
45000	-532.0319205246087	-28.838291615266307	-325.45074570375857	-177.74288320558384	9.072993028588206	4.723951417665156	0.7065633092853433	1	2	2.979905695735961	84.62383836337258	65.97401053576807	115.26729021279634	75.84742789274458	80.4239326263682	78.75560696700218	77.00483392351023	71.26081402163587	71.63503161133121	80.75349879967104	82.73669248296441	69.36314021152147	77.00465778723019	83.65375691080854	82.34880111926907	72.28795278295667	77.30064368432406	73.21123549076437	78.05382861135567	84.62383836337258	67.91493828572133	77.17992599610649	76.85300307586066	79.0003804776719	78.21743944563562	73.43135819494192	81.28005735691548	83.26382218685406	80.63620123365378	69.39322430076906	71.91931644278814	73.51964177482343	71.22501360651269	74.8393922357805	68.27144432342172	76.67898836494192	73.18643078422176	76.45918243087188	82.95318816889161	74.86335226690335	76.88528685056312	70.96824697992251	81.84953400552035	70.61289872477589	70.87467999972965	68.869796212629	68.06302295074458	76.3375069507156	76.96508071016896	78.97620568754951	78.58309115677703	79.62973660971862	75.84521521353426	76.10187972649085	73.77027300905581	77.00294710052847	69.60360286977726	70.77706160080163	76.93521880529295	74.81374407317618	69.21986117069345	75.81311175524682	72.17816785512841	73.34728921205605	72.11469080095186	76.61878454574673	71.82614664326226	75.19527290779557	76.92948063450122	67.72750676894319	75.2242471810672	74.78968987013593	78.94393198328171	76.94911175275183	73.41467975323592	71.4541895570317	73.12584820945986	80.60039044675833	67.84008178288218	71.08938674755771	72.62030511894247	67.85120591320049	72.6684173747382	68.24703334058405	74.01851042213164	72.39924334809697	76.45417192269805	82.91201955275545	74.6453798841415	75.65273163129594	70.93221751369919	81.71901117787093	66.60322029855121	66.54690220658259	65.97401053576807	65.97735230001315	74.74961246813798	75.99716192921028	78.53258362183365	77.57345062554892	79.37343770319002
