it	posterior	prior	PP_lik	BD_lik	q_0	q_1	alpha	k_birth	k_death	RJ_hp	root_age	death_age	tot_length	Achelousaurus_horneri_TS	Agujaceratops_mariscalensis_TS	Agujaceratops_mavericus_TS	Albertaceratops_nesmoi_TS	Anchiceratops_ornatus_TS	Arrhinoceratops_brachyops_TS	Avaceratops_lammersi_TS	Brachyceratops_montanensis_TS	Bravoceratops_polyphemus_TS	Centrosaurus_apertus_TS	Chasmosaurus_belli_TS	Chasmosaurus_russelli_TS	Coahuilaceratops_magnacuerna_TS	Coronosaurus_brinkmani_TS	Crittendenceratops_krzyzanowskii_TS	Diabloceratops_eatoni_TS	Einiosaurus_procurvicornis_TS	Eotriceratops_xerinsularis_TS	Judiceratops_tigris_TS	Kosmoceratops_richardsoni_TS	Machairoceratops_cronusi_TS	Medusaceratops_lokii_TS	Mercuriceratops_gemini_TS	Mojoceratops_perifania_TS	Monoclonius_crassus_TS	Nasutoceratops_titusi_TS	Ojoceratops_fowleri_TS	Pachyrhinosaurus_canadensis_TS	Pachyrhinosaurus_lakustai_TS	Pachyrhinosaurus_perotorum_TS	Pentaceratops_sternbergii_TS	Regaliceratops__peterhewsi_TS	Rubeosaurus_ovatus_TS	Sinoceratops_zhuchengensis_TS	Spiclypeus_shipporum_TS	Spinops_sternbergorum_TS	Stellasaurus_ancellae_TS	Styracosaurus_albertensis_TS	Tatankaceratops_sacrisonorum_TS	Titanoceratops_ouranos_TS	Torosaurus_latus_TS	Torosaurus_utahensis_TS	Triceratops_horridus_TS	Triceratops_prorsus_TS	Utahceratops_gettyi_TS	Vagaceratops_irvinensis_TS	Wendiceratops_pinhornensis_TS	Xenoceratops_foremostensis_TS	Yehuecauhceratops_mudei_TS	Achelousaurus_horneri_TE	Agujaceratops_mariscalensis_TE	Agujaceratops_mavericus_TE	Albertaceratops_nesmoi_TE	Anchiceratops_ornatus_TE	Arrhinoceratops_brachyops_TE	Avaceratops_lammersi_TE	Brachyceratops_montanensis_TE	Bravoceratops_polyphemus_TE	Centrosaurus_apertus_TE	Chasmosaurus_belli_TE	Chasmosaurus_russelli_TE	Coahuilaceratops_magnacuerna_TE	Coronosaurus_brinkmani_TE	Crittendenceratops_krzyzanowskii_TE	Diabloceratops_eatoni_TE	Einiosaurus_procurvicornis_TE	Eotriceratops_xerinsularis_TE	Judiceratops_tigris_TE	Kosmoceratops_richardsoni_TE	Machairoceratops_cronusi_TE	Medusaceratops_lokii_TE	Mercuriceratops_gemini_TE	Mojoceratops_perifania_TE	Monoclonius_crassus_TE	Nasutoceratops_titusi_TE	Ojoceratops_fowleri_TE	Pachyrhinosaurus_canadensis_TE	Pachyrhinosaurus_lakustai_TE	Pachyrhinosaurus_perotorum_TE	Pentaceratops_sternbergii_TE	Regaliceratops__peterhewsi_TE	Rubeosaurus_ovatus_TE	Sinoceratops_zhuchengensis_TE	Spiclypeus_shipporum_TE	Spinops_sternbergorum_TE	Stellasaurus_ancellae_TE	Styracosaurus_albertensis_TE	Tatankaceratops_sacrisonorum_TE	Titanoceratops_ouranos_TE	Torosaurus_latus_TE	Torosaurus_utahensis_TE	Triceratops_horridus_TE	Triceratops_prorsus_TE	Utahceratops_gettyi_TE	Vagaceratops_irvinensis_TE	Wendiceratops_pinhornensis_TE	Xenoceratops_foremostensis_TE	Yehuecauhceratops_mudei_TE
0	-792.9696660038762	-12.68937776985261	-581.9667357135023	-198.31355252052128	0.7122590304411809	0.7122590304411809	1.0	1	1	1	86.33127768658358	65.87785047197812	124.28057790290019	75.87778427945958	81.86499809337451	78.85547313815005	77.02067780213036	71.86153389592765	71.505836974085	79.3896478682625	82.49945233495424	69.34257371379769	77.01898209956045	86.33127768658358	83.14481784681998	72.2716473430528	77.30606674252914	73.13744367979852	77.11329561321952	83.660710967542	68.02729579516136	77.05707328472396	76.9937004061268	79.00089400376827	78.04946400064651	74.15721399685917	81.05786976816482	84.27803406413878	80.73033171784343	69.97859840388233	71.99401406549246	73.62205979414746	71.02267875110735	74.91840317394156	68.3131040924689	75.96991596561249	73.17828117365666	76.55105076408626	82.99053375397507	74.89488893742741	76.88530372546421	70.96828657529362	82.2951643334006	70.77935272352015	70.19223704938352	69.19042719475526	68.09302221984329	76.86402523581103	76.90330141407686	79.08790168392733	78.61556102363548	79.50924886131615	75.73314017124791	76.17089679782802	72.08941167262296	76.96538369201537	69.4280163635132	70.78662711803987	77.70690041910704	75.52216616282699	69.26603519526455	75.81172597360828	68.97971154844292	73.1809167320931	72.18418684695878	76.78806548517977	71.74707538788576	76.11101485322853	76.8104483361093	67.74606321426741	75.44553134113343	74.24696990755966	78.96652184721756	76.85276853420957	73.38604001605498	71.86753110669777	73.61732569096024	80.41051813405292	68.02694547687413	71.07145342737114	72.40404726397993	67.94589080456772	73.03537348932744	68.17446119168736	72.2402826348008	72.13378828405831	76.34492023058193	82.90041218624202	74.80601161671443	75.7503962251936	70.933335551732	81.71623966530845	66.45433984556409	66.20351937529941	65.88393353265909	65.87785047197812	74.74151971347985	76.05312055051485	78.52164523598174	77.58841697733695	79.46198383062668
5000	-604.8696380896697	-20.234722056800127	-403.3619899601785	-181.27292607269106	3.0737725008950885	2.86433269006859	0.4918404648557957	1	2	2.248054404274243	83.83730369167237	65.66602279905287	120.58469529279682	75.85465525285784	79.87210152355487	78.74988805815241	77.02266421166182	71.48046415420659	71.48069483924618	79.11368972819228	82.50499619555228	69.3592648691455	77.22146807423051	83.02870426000456	82.15951339971758	72.65042422100274	77.38788894939074	73.13936193737479	77.09174959992218	83.83730369167237	67.90787650815238	77.8598192963754	77.35248433738323	78.98262107499907	78.21315540084291	73.72718824851043	80.59774402407285	83.2653298477421	80.80311260724979	69.43597771302068	71.93229312972501	73.54969678374653	71.09383821409438	74.97470002359726	68.6411790835617	76.17191122407074	73.16264554354163	76.75729550158258	83.0056950784678	74.84486025726677	76.9020875456109	70.97787521321224	82.29893963403141	70.54976278254105	70.43753417292791	68.88691625019571	68.25965639851918	76.53771062933433	77.41466999297401	79.08641138555315	78.42311211969105	79.76604321064144	75.73182450551488	76.23876408650243	72.78815912654368	76.96531565644126	69.54131275984076	70.43160368034583	76.8363868720538	75.4010806255999	68.86580693658733	75.7541551811333	72.29516943450324	73.15388812567896	71.92518143551614	76.09000794755394	71.73809964120625	76.56424255858506	76.51603650570173	67.72360282005992	74.88615695895918	74.63020746541854	78.96927521798658	72.70419740353314	73.06474667524556	72.38946312431058	73.88444900275977	80.34973689621798	67.89248455123399	71.1419295017478	72.67410162595968	67.99115751042505	72.77643921867504	68.12747466261833	74.06328602494084	72.22192773057067	76.34565796924963	82.77094250352283	74.82534870182288	75.49588415123584	70.93997841345191	81.36297179751595	66.334548974519	66.73452929773401	65.98967075390179	65.66602279905287	74.74025025040422	75.8225380778181	78.33418595542634	77.42927225659597	78.07080753410162
10000	-580.3368766541735	-23.66420581317079	-376.3958865576766	-180.27678428332604	4.364262413036152	4.851788713284558	0.45915773496994117	1	2	2.6974697684617817	84.33542086120488	65.95169314383504	121.7071336313256	76.0037035594456	80.14568867169066	79.73181484818436	77.33075383439828	71.30642117321057	71.39702994086879	79.24368662049778	82.74586748809809	69.32738415909802	77.23030603369236	83.61731522979443	82.15562960493763	72.32383404402607	77.37015790011407	73.2967494630402	77.77370952056756	84.33542086120488	67.8485899984195	77.07015004103694	76.88579075329741	79.00311766534739	78.46695626042568	73.48103164026868	83.12906705602946	83.59579183457349	80.63372163413594	69.43644797547503	71.9352905110031	73.47691017825035	71.10423077208695	75.20768124089295	68.2984262255382	75.98005430720028	73.20238254674732	76.61784996729911	82.99454379895258	74.85687347995614	76.90016418405565	71.0227629945161	82.03169365549716	70.72211011315751	70.42378403317886	69.24250040340105	68.04439773928819	76.64842395609975	76.93455333088379	79.02571753696544	78.45436809667943	79.51693541459878	75.84249284208656	76.29775440694351	73.89475822939102	76.81335124583103	69.54564477113779	70.53522250118331	77.3846634643565	74.21957739179183	69.25877227877298	75.7909322206666	72.32311189459834	73.25466196149561	72.18399550457895	76.21820980476372	71.77285045540633	76.28978894969416	76.82862054341871	67.65812851224632	74.78079113229775	74.72489724696136	78.90529675280042	74.24536219044475	72.57752271563687	71.91572740943923	72.98750752826426	80.58448447303736	67.9042901441227	70.77330491007675	72.67658797100142	67.77730582343352	72.96065475485429	68.25761757915463	73.33143299325106	72.2481760958463	76.41554005955639	82.9018622704038	74.73692662508297	75.78724377994257	70.83484146000227	81.55411163741512	66.32537396708616	66.34491092978095	65.95450293568663	65.95169314383504	74.70066762689133	75.97292920258622	78.48821624153427	77.60011990745728	79.48822218055497
15000	-589.3218481912355	-24.109863976627004	-383.6773117524125	-181.534672462196	4.277577821763036	4.386070648452201	0.5649033274563984	1	2	3.6280468530186756	83.78265330625923	65.94056461409275	120.60620586440315	75.8984317813281	79.75930367375861	78.95380430010005	77.05559018917546	71.8529503994014	71.50611157818955	79.2535198917756	82.72947911806078	69.32178151313406	77.4295142773394	83.22155671798816	81.85515538494352	72.2949203814331	77.39229640640754	73.26280066251256	77.16318714730598	83.78265330625923	67.81708236471111	77.39544965187262	76.88611372810955	79.42598327090187	78.06618197509812	73.57831495427493	83.64485816825994	83.05934413870042	80.61875893277617	69.49758549845652	71.97273776285114	73.51144737697457	71.37720270201301	75.00411113298935	68.30527455983652	76.48616991827507	73.49614033525773	76.4841253786893	83.35062934292975	74.90147976845672	76.93932029631065	71.28648403788507	82.18278722627973	71.1138927488655	70.3249720729412	68.82836964018664	68.07934269249554	76.3142707012862	77.14250398151492	79.0668066852141	78.43506619718406	79.53252418129539	75.79072054168438	74.91145008728533	73.84628799654146	77.00020819374741	69.49101829627303	70.69541295367284	77.55982938654704	75.65123228771954	69.26449189825745	75.5830542313829	72.25857799564358	73.44424819864773	72.03100855173246	76.79183614369782	72.11945870330898	75.97902692749743	76.91542499181512	67.59151564873177	75.53738464340158	74.51787793820614	78.95838869322982	75.27848562990502	73.2992987467	70.3575255664764	73.60712100443682	80.60852566992997	67.48933972524873	70.89688634186196	72.6889085835902	67.77983055061058	72.48325034811424	68.20928209819101	72.99340269313029	72.1791109527269	76.30006312282691	82.88114699888806	74.58030706802671	75.6390802458398	70.88580532703313	81.58127564693552	66.59181550715479	66.7233170436042	65.94056461409275	65.96018312349523	74.70304318059429	76.09347099586685	78.32720758396364	76.76086264567259	79.47461696366294
20000	-576.8968513394173	-24.55956055727023	-374.2360549683034	-178.10123581384357	5.0918152664349785	4.92284738161544	0.7291237508146435	1	2	2.9353751876536216	83.54082815443014	65.92750912973223	114.41200794490683	75.86595305395412	80.0145080708302	78.92845317662645	77.02050197832	71.28081585209648	71.43696356679563	78.86167906286178	82.44224262940051	69.5434393323745	77.16469847738095	83.51293699299924	82.05749115936632	72.6713584671258	77.82791887397252	73.54393048496937	80.56730789825814	83.54082815443014	67.86343860419795	77.54672927079493	76.4529690812128	79.0765929866844	78.09812886117871	73.46073516354603	80.15908236774567	83.16488449815876	80.65558687932263	69.38424321179507	71.98479761948195	73.5349589852017	70.95032507869401	74.83689655331645	68.33429206302785	76.14428435508798	73.32225807171352	76.47777272744361	82.99286314246781	74.84910072351757	76.90515667044214	71.27824755502263	82.21773648683212	70.695898124698	70.25470828880825	69.12906392412164	68.38961281421597	76.33380709714362	76.93421537553105	79.01942208836421	78.42731485364682	79.50004461784053	75.81808838138808	76.03209667229861	73.64265678295418	76.9572434836314	69.28116162642378	70.45241296237242	77.40491900498895	76.06358494189926	69.2884043713099	75.75600180819342	71.989768105823	73.4191331007998	71.83169336054661	76.02268511150568	72.08226842521938	76.53296313548712	77.11163436112936	67.6676329544224	75.3700691152427	74.11437923917927	78.68706336613653	77.02761769697463	73.35158742584912	71.4088818283187	73.72758777034193	80.38361361755021	67.3293274174312	71.06931788224276	72.67838927555971	67.872099063136	73.07168528306254	68.13151122222827	73.999030497564	71.9497508645184	76.38494488297816	82.88933777608281	74.82136640822874	75.7748298354127	70.88221926464824	81.62491504893714	66.3870563314923	66.60098835483421	66.05188775095924	65.92750912973223	74.2794239816526	75.94301006195721	78.44486298416648	77.21367809527688	79.49189736602341
25000	-589.533556795762	-31.610515061977345	-375.72254056238364	-182.20050117140102	5.749118239489583	4.64306350523239	0.7970582940385038	2	3	2.2710900072375013	83.61352037650701	66.01130047329438	120.19405722286555	75.86425683261436	80.2600391970676	79.12759803909553	77.43564551472899	71.36558289762938	71.54475351962824	78.87939085563637	82.32519077943265	69.34289688215821	77.04738931966942	83.61352037650701	81.87757420750324	72.39907782315836	77.79270631938074	73.25641041862136	79.73033835854639	83.48448440826303	67.80597155800685	78.08480837507109	77.18130962787642	78.99912860443902	78.62099217219449	73.42964161610772	81.06215277765926	83.35431856593908	80.8347764994228	69.64204445883414	72.07982086585761	73.52256971194784	71.60937575510334	75.06959371230383	68.48544148366626	76.13767079294587	73.20119993625418	76.46155424862721	82.96907496069777	74.89197635546638	76.93127255178287	71.10430142938907	81.84199258616673	70.65254649654946	70.5458976533472	68.87620354240529	68.10213409121727	76.77548423884345	77.07434968534047	78.99950975395757	78.43461559616834	79.78643032437986	75.83820571348004	76.3098718070911	73.77472610876424	76.77800590236194	69.5657643566684	70.66794695473098	76.88458000342531	74.8566596872388	69.30245680849761	75.76757778041318	70.79397742907344	73.4910150176115	71.9766919285822	76.69217157779492	71.28525950146367	75.9858736707539	76.78816919576532	67.50414646080469	75.65206393015136	74.4232772530728	78.77382785501243	76.69710472323125	73.38803673596307	72.24067071120169	73.78024710471334	80.47901860701184	68.01028231184299	71.15015103603294	72.66114980984617	68.04496415687866	72.98026051160963	68.21173035406298	72.59459104183054	72.36450591983892	76.36012955391989	82.75150150997453	74.69700073268824	75.72902101191865	70.74191221785506	81.5316338903041	66.39281313100828	66.40940806743227	66.0641790357779	66.01130047329438	74.43485203497013	75.62762639908773	78.5607908504923	77.20297588928132	79.49083178991748
30000	-599.3877689647196	-27.825304202640403	-389.6711501885567	-181.89131457352255	6.623798077672175	6.9677877509812856	0.8258052162106131	1	2	0.9002328485334548	83.8424105579201	65.87056363506709	122.29685148666307	75.93075713929925	80.21453588952407	78.96619445959152	77.2111228366695	71.2569241152431	71.54246998366212	80.25630666087248	83.80459534580092	69.58370253447933	77.00847097760514	83.42702204181579	81.67774042811921	72.63445355332075	77.40147317230313	73.36370676155204	77.23969716518643	83.54216468717024	67.90946143082158	77.15911978461499	76.77919071194488	79.33343536819554	78.828110690243	73.44520708824697	81.07010775415246	83.02680806292713	80.62127679847356	69.37560104793482	71.9858081730966	73.50411814408301	71.12510288772323	75.06455652137981	68.56228870615466	76.36351460416883	73.30927953435454	76.50891884601228	83.8424105579201	74.89659086995374	76.88612251281141	71.00123416272265	82.04310836838633	71.0019291664756	70.25319514443929	68.83490047660374	68.0615686625871	76.32022234842991	77.54469277903739	79.03273962512438	78.50896954873446	79.50267070190641	75.60098015042286	76.26367162322585	72.48401023794422	77.00209517121918	69.53963109160401	70.64566674254573	77.43920843564051	74.85287171950495	69.28160958830227	75.63729684488716	72.30292845124227	72.32601434613385	70.95818383601042	76.61027598501643	72.19429854991367	76.38089610123622	76.10033899234219	67.62412423756045	74.96978569380423	74.02903885900088	78.89411961078059	77.13743822226661	73.35924371706211	72.14254940471837	73.87471136297268	80.49455439624073	67.91198582006773	71.1430949843271	72.57380424029243	67.98581009836799	73.01037090282522	67.89073225901751	71.71320178566604	71.89673591715997	76.3870556005401	82.55610364500363	74.75549923322623	75.66789325424641	70.79595194780505	81.54457975948964	66.60207291846031	66.58827202845497	65.99061560260039	65.87056363506709	74.10386519410221	76.0410257597282	78.53902040522046	77.31294804243421	79.44000093951105
35000	-581.5893628358418	-33.11750302844703	-368.68863177274955	-179.78322803464528	9.106868666067715	5.624595998816721	0.7625406964580494	2	2	1.3807858703265599	84.18515068629266	65.9303114610452	121.01988610608136	76.0790692456829	80.7805594973707	78.90171418968835	77.15614394236509	71.47314595829194	72.02489888419223	79.28351082231673	83.2518231599271	69.35140874913613	77.01297188993412	84.18515068629266	82.22740822987384	72.33247361180676	77.36416842040335	73.2644561213432	78.26466205194046	83.6182074225392	68.05689306077645	77.83291612929153	76.93567978557593	79.12698420034819	78.88075804350248	73.55180956563547	80.35976363521598	83.90054408661264	80.7248895606934	69.82714321762839	72.09063229534475	73.49131278996532	71.03282428306852	74.80279734586755	68.29801763733815	76.05939634487646	73.15412580171423	76.53959393532281	83.04564752855305	74.85725564424997	76.91639147304227	70.96766769580125	81.8015433103676	70.8443110254874	70.26896976351965	68.86418153023473	68.09683947737484	77.3276180842401	76.92444893144946	79.0061528906211	78.5847728456871	79.53549551175583	75.80849820295235	76.2633031525546	73.37816215981331	76.99177053277678	69.45237894113329	70.00158810291974	77.40332522955178	74.22651429939923	69.05187761608286	75.80510115900483	71.89841035815364	73.28351957217251	72.18747964277335	75.975584026534	72.12952118709147	75.53295644648713	76.81766185575246	67.28510844742976	75.55693055213001	73.71606847618177	78.88870245249954	76.81089392382722	73.21001747425998	71.97658011858694	73.89351931021724	80.61220143149598	67.59303319524686	71.00609679177406	72.69589597358099	67.96577692170519	73.05114582258979	68.20263394289896	72.85335650977294	72.25604555438876	76.44896220808775	82.9131803206887	74.82309168157869	75.78366208662155	70.92394081512073	81.611824392796	66.624492813074	66.43147317851285	66.03323254256426	65.9303114610452	74.598478389949	75.99844372559633	78.45566693408594	77.47017964190603	79.43066463281964
40000	-551.8916971299848	-33.39597061724622	-343.5484747186148	-174.94725179412376	8.945904967744006	5.912475267859473	0.8047642317629875	2	2	3.1977346068952444	85.1795170361509	65.89010386367659	113.96813826734818	75.85635836944552	79.75712126034524	79.23014100854373	77.02403208647736	71.29828188478761	71.41727646533334	79.09442888368193	82.42533933833644	69.32626592851491	76.99898019839162	83.66550753784125	81.67348153078639	72.31213079411233	77.49915917036934	73.11201023081364	77.34622618452622	85.1795170361509	67.84141598244304	76.99854941588148	76.5691846773182	78.99648023133767	78.06069629526516	73.53594789415845	81.69951867192195	83.49664206740958	80.72446540138864	69.82150052746479	71.97102901337847	73.5293757741285	71.05304711112652	74.84809316396682	68.37419660704873	76.29951484385452	73.61634237094833	76.509548630191	82.94009164156104	75.10958387454399	76.90168866344261	71.0120287357588	81.99159483993836	70.56749370815177	70.52171004944982	68.84257113372475	68.02545649666305	76.33670463742371	77.17227062827423	79.04068112569037	78.51805551225519	79.67404498274078	75.84264064265561	75.48017998752746	73.71082017243934	76.9434950973793	69.43738422963055	70.74606818993644	77.49602060172731	75.49818045145614	69.26638504921324	75.74987618912496	72.30871549167888	73.01343549689189	71.94108937044756	76.63523065198153	71.10249801953879	76.34131838786259	75.29231017621385	67.66206496769286	75.40317406474615	74.80128096726314	78.9515960371488	77.51190872520449	73.30935236108428	71.22578357449444	73.89864226686662	80.54550325667088	67.7669230225534	71.16294949810747	72.65697018394518	68.04822492401617	73.04584559711458	68.17418264686206	74.01044934289668	72.0462065517589	76.41132855733974	82.92973065336301	74.6740678838695	75.73929818770546	70.9519186541869	81.740726633535	66.04461037325976	66.53279223961884	66.0589431848734	65.89010386367659	74.65990279468342	75.85274103174362	78.53623059309075	77.37703176466974	79.42151174021271
45000	-549.6241146426586	-28.13939396875854	-347.60980928727423	-173.8749113866258	8.964293950709413	5.061249093802732	0.9061698716656725	1	2	2.0633074572596755	83.9398472145179	65.87938713968157	110.24674550348601	75.86039332126313	79.90184014330335	78.7499815592751	77.15506447752074	71.42133598836153	71.62461539047318	79.28600386019735	82.37083394061871	69.54600685940412	76.99500243111792	83.0866533892376	82.39037755050319	72.30485105002728	77.50671038515218	73.34465353792831	77.404003382932	83.53416175784986	67.80179753476926	77.80743075816243	77.17627726590288	79.0268613198956	78.39609396494033	73.51745593527967	80.24609913368049	83.9398472145179	80.61785307967264	69.45772990927006	71.96509256556553	73.94108893413758	71.08081180111272	74.95130200308144	68.31812081466045	75.98641410139426	73.16296409899172	76.57757546407174	82.9672250023962	74.87425059051364	76.94477354080487	71.07366451330965	81.79428994190306	70.65653682056731	70.21057050451223	68.87732169631784	68.158973578632	76.41871971731258	77.0005900643241	79.0030660956605	78.78858566903405	79.7001072475229	75.83829302983818	76.33129188419203	73.9196187439005	76.91526052799388	69.3751549003272	70.4705946559994	77.28527799845256	75.3462018956214	69.2022698237435	75.79673664390427	71.99991023238687	73.35839430328949	71.77412920241622	76.73731396554359	72.1533587603956	76.51821089139023	77.3010817192382	67.77543578238698	74.04985172421003	74.7442642860626	78.93839709736699	77.11902774058959	73.40580661382856	72.33453748404192	73.5384105986205	80.48516668408571	67.49801855693536	71.10737106147016	72.64218591860455	68.02887669242222	73.07069497677877	68.16712887239868	73.96285446313266	72.24119486013902	76.41372852271218	82.9203410918808	74.78207659923349	75.77670444576987	70.90849298885563	81.78126601495774	66.66301631535569	66.39753731087197	66.06726913832007	65.87938713968157	74.53073002263353	76.00693998377565	78.5778719597665	77.09636472061909	79.44118555745598
