it	posterior	prior	PP_lik	BD_lik	q_0	q_1	q_2	q_3	q_4	q_5	q_6	q_7	q_8	q_9	q_10	q_11	alpha	k_birth	k_death	RJ_hp	root_age	death_age	tot_length	Acheroraptor_temertyorum_TS	Achillobator_giganticus_TS	Adasaurus_mongoliensis_TS	Atrociraptor_marshalli_TS	Austroraptor_cabazai_TS	Balaur_bondoc_TS	Bambiraptor_feinbergi_TS	Boreonykus_certekorum_TS	Buitreraptor_gonzalezorum_TS	Changyuraptor_yangi_TS	Dakotaraptor_steini_TS	Deinonychus_antirrhopus_TS	Dineobellator_notohesperus_TS	Dromaeosauroides_bornholmensis_TS	Dromaeosaurus_albertensis_TS	Graciliraptor_lujiatunensis_TS	Halszkaraptor_escuilliei_TS	Hesperonychus_elizabethae_TS	Hulsanpes_perlei_TS	Itemirus_medullaris_TS	Linheraptor_exquisitus_TS	Luanchuanraptor_henanensis_TS	Mahakala_omnogovae_TS	Microraptor_gui_TS	Microraptor_hanqingi_TS	Microraptor_zhaoianus_TS	Neuquenraptor_argentinus_TS	Novgenus_novsp_TS	Nuthetes_destructor_TS	Pamparaptor_micros_TS	Pyroraptor_olympius_TS	Rahonavis_ostromi_TS	Richardoestesia_gilmorei_TS	Richardoestesia_isosceles_TS	Saurornitholestes_langstoni_TS	Saurornitholestes_sullivani_TS	Shanag_ashile_TS	Sinornithosaurus_haoiana_TS	Sinornithosaurus_millenii_TS	Tianyuraptor_ostromi_TS	Tsaagan_mangas_TS	Unenlagia_comahuensis_TS	Unenlagia_paynemili_TS	Utahraptor_ostrommaysi_TS	Variraptor_mechinorum_TS	Velociraptor_mongoliensis_TS	Velociraptor_osmolskae_TS	Wulong_bohaiensis_TS	Yurgovuchia_doellingi_TS	Zhenyuanlong_suni_TS	Zhongjianosaurus_yangi_TS	Acheroraptor_temertyorum_TE	Achillobator_giganticus_TE	Adasaurus_mongoliensis_TE	Atrociraptor_marshalli_TE	Austroraptor_cabazai_TE	Balaur_bondoc_TE	Bambiraptor_feinbergi_TE	Boreonykus_certekorum_TE	Buitreraptor_gonzalezorum_TE	Changyuraptor_yangi_TE	Dakotaraptor_steini_TE	Deinonychus_antirrhopus_TE	Dineobellator_notohesperus_TE	Dromaeosauroides_bornholmensis_TE	Dromaeosaurus_albertensis_TE	Graciliraptor_lujiatunensis_TE	Halszkaraptor_escuilliei_TE	Hesperonychus_elizabethae_TE	Hulsanpes_perlei_TE	Itemirus_medullaris_TE	Linheraptor_exquisitus_TE	Luanchuanraptor_henanensis_TE	Mahakala_omnogovae_TE	Microraptor_gui_TE	Microraptor_hanqingi_TE	Microraptor_zhaoianus_TE	Neuquenraptor_argentinus_TE	Novgenus_novsp_TE	Nuthetes_destructor_TE	Pamparaptor_micros_TE	Pyroraptor_olympius_TE	Rahonavis_ostromi_TE	Richardoestesia_gilmorei_TE	Richardoestesia_isosceles_TE	Saurornitholestes_langstoni_TE	Saurornitholestes_sullivani_TE	Shanag_ashile_TE	Sinornithosaurus_haoiana_TE	Sinornithosaurus_millenii_TE	Tianyuraptor_ostromi_TE	Tsaagan_mangas_TE	Unenlagia_comahuensis_TE	Unenlagia_paynemili_TE	Utahraptor_ostrommaysi_TE	Variraptor_mechinorum_TE	Velociraptor_mongoliensis_TE	Velociraptor_osmolskae_TE	Wulong_bohaiensis_TE	Yurgovuchia_doellingi_TE	Zhenyuanlong_suni_TE	Zhongjianosaurus_yangi_TE
0	-776.8320669616172	-22.00354910017391	-529.3294217927412	-225.4990960687021	0.947166168564045	0.947166168564045	0.947166168564045	0.947166168564045	0.947166168564045	0.947166168564045	0.947166168564045	0.947166168564045	0.947166168564045	0.947166168564045	0.947166168564045	0.947166168564045	1.0	1	1	1	145.25550637146526	66.09172100721561	128.3490231211109	70.93642792265314	87.65010641215464	66.64662299893824	72.1216711860127	77.35318154390245	71.51087569681208	83.2134438155	81.99672935394476	99.622077403597	128.88202466773197	66.96514261671425	115.60207309877808	68.92097151704925	145.09471788196174	83.6457908139187	122.38049259997449	77.06944100422977	76.37559133907547	82.14398134905325	93.5136561595703	72.33920557406194	71.04902122771699	82.86773086755642	119.42238628735213	119.85202661987954	124.77587772052917	91.11138752108552	92.69007605981722	145.25550637146526	89.60754269121496	75.08325488076687	71.68224361323524	77.4233070260059	87.99630500829996	83.34901283233752	73.52431343627953	129.1640999768256	125.46238211493412	127.00443934942543	129.39351953438182	74.42635228189494	88.13937425547242	92.8339848514607	139.17566107980545	72.1396278894201	75.11608782820541	75.14868047355152	122.24345234827176	110.36863309517074	115.51773885137776	117.26899462105405	70.75160630740366	87.41092210643626	66.32223721616909	69.58863657590719	74.11880824613502	66.12950637865454	81.03413837282453	76.72644976243258	94.56875257572428	128.41906358711165	66.09172100721561	108.58962098047026	68.39030153694858	144.90422227786112	70.23494736760888	122.16799034855192	76.94725264857112	76.07299874728778	81.97395600914705	89.4954994405188	72.09614403905512	70.96428776152729	82.6835461539183	114.34376805638134	119.81212284009085	117.51780162879564	87.73528221567265	91.4363949683647	140.9628840835658	88.96902770982486	70.94979193578963	66.34020538010584	75.82259204327909	75.92018292941823	75.18168249598139	73.3672204744631	129.05018742297094	125.24703793665181	125.47139173363655	129.28586907201407	74.2744601758093	88.11117828626789	86.20703694005672	134.50420697676304	70.0344027349112	71.0487286460659	72.77341721483108	121.86354092994056	110.33405170394032	115.48102194892935	117.00012461731487
5000	-762.7778194280164	-32.042726684483505	-530.3129218400086	-200.42217090352437	1.0253633808906049	1.6304164757184592	1.2904796312450546	0.7287767016870647	0.9847033750540447	2.494676418227328	1.2603839562269514	0.7878388943184931	0.9733226576019036	2.379728717772604	3.2256706178168715	1.07765989041555	1.5096371563334778	2	1	0.9054554460895288	145.14597545220914	64.89692925667399	134.64824100453188	70.87506709190016	87.63074313924716	66.69125906551065	72.3347352636948	75.82066953241687	70.13813004332002	83.84306260069113	82.95565184480544	100.02576212347672	128.6888110979255	66.7847278778454	115.24605964049164	69.5214164684691	145.05169994417744	83.24466307492054	122.42863818157579	77.76295941859017	76.43638181688058	82.2293474091762	93.17572106595361	72.31304395358602	71.45952435950372	82.87571990091593	119.17931881200047	119.83410784043313	124.79480117056012	91.89010825170253	93.21563249355287	145.14597545220914	89.53778308827809	75.07105827757167	72.56344752218199	77.46180416107057	87.46808629634533	83.38664217553145	73.86786523709043	129.3222170147085	125.30335813833997	127.70627777298976	129.46104034885207	74.58363259826653	88.55645067474919	91.94098535348854	140.8446889469989	71.5475608196508	75.246578986897	75.27460336750786	121.95807759096525	110.36739540914786	115.5978982451318	117.57016326019054	70.68768984696592	87.1942615380872	66.19685956723237	69.31603286225248	73.8146554029812	65.25391780189267	81.16621802184171	76.2128365322871	94.74325748235395	127.66074440926182	64.89692925667399	108.58775503847144	68.07766115234038	144.9372298600055	70.22257063466165	122.16884991084297	76.96898622811135	76.03378311572199	81.90302897013402	89.8727838471471	71.36920180491694	70.42095362954001	82.40855639557645	115.6530069317385	119.35225092390932	118.93199888061302	89.3784863196513	91.5707503468251	141.10188218188387	89.52591864208308	70.58739460405337	68.11131688823112	75.46718689405023	75.74106623545022	75.16006068181188	73.12348142642927	128.9668695273415	125.2837596115176	126.11379788987372	129.36776052008642	74.20215900489508	87.81568883739928	86.15678826333627	134.15191545914732	69.47798342457497	70.31803642267742	71.9754426741903	121.7489653979132	109.89616659787913	115.12330436727186	117.16491095282056
10000	-758.396079330818	-32.51494663302154	-526.0330639595783	-199.84806873821822	0.6886278222721764	1.3441558898409447	0.9706334224314302	0.9331689708061234	1.3825443431595346	2.758198138305815	1.76335494029182	1.4244390297068854	0.8050649258454142	1.6878662666067445	2.911272388827789	2.1073124534517422	1.8533751080238485	1	2	1.5992546224828854	145.91611817229486	64.68541603390683	132.01039630806392	70.9290106256827	87.50091639873357	67.22557831098696	71.86090812582495	75.55224624885963	70.58370936825642	83.51954143270679	81.93484720474979	99.0842035886437	129.62947592920688	66.86986966070165	114.98331856095484	68.76787203845161	145.91611817229486	83.28600988363986	122.97150103819463	77.00494771187748	76.40236489910393	82.09800203481981	93.3428487267782	72.24500278161106	71.0013030777073	82.86309737621373	119.17505298524024	120.57651811927289	124.99191503732803	90.741165571742	93.37605810411459	145.6639913884864	89.97590097768408	75.3330882032079	71.85377761252577	77.53484318883372	86.92906223389758	83.20718772821597	73.68167396456292	129.57955595822415	125.37785645054954	127.0424723649556	129.5879241886881	74.7307255207137	88.16507562023159	92.25261259909644	139.25051439896427	72.01879152104708	75.13090614890555	75.28043167689862	122.15338710351404	110.98056361799134	115.65759460110127	117.38054871201346	70.53428948660797	86.25144730765234	64.68541603390683	69.4673502059324	73.49571027292237	66.0042255034664	81.33020690882404	76.26679961084196	94.31771678772795	127.90130504861492	65.88992428411188	108.55401993423915	68.68762667057015	144.70547389324966	70.06458724360039	122.25642993940171	76.99680274346481	75.89930171462333	82.08239956797084	89.87780847981935	71.19448709570786	70.7066169388075	82.75829023483098	115.43369076682686	119.59597048162678	116.9279386365856	89.45384688970672	90.01609220818973	141.43187489982503	88.9078076442215	70.57502633579948	69.53986277011566	75.80475854692166	75.84699329953823	74.69784764419228	73.50890224756071	129.07387943728878	124.67446121360204	126.14179360078556	128.8546472905661	74.1673873291867	88.08758199514116	86.6572704091574	134.30297904434943	70.02740003885154	70.99251270363307	72.90838620710846	121.83153885590421	109.76559809592477	115.25386293258947	116.78334505384954
15000	-767.7308405803944	-26.39192379102514	-538.1492728007881	-203.1896439885811	1.4528338823875793	1.172408209053283	0.5547557750646761	0.7985909920647783	1.1974808451704095	2.6590225271806744	2.043852853931378	1.6795681386418049	0.7561813503934907	2.502168513762433	2.021184272357158	0.9710862910378917	2.149896989331559	1	1	0.987373514931821	145.3431191890577	65.90965102828484	137.4583300769852	71.22795415658122	87.96569100806813	66.67519213362027	71.99200352312015	75.59573440607419	70.83377079616479	83.68463619303	82.202018378356	100.09958111436302	128.8086717064823	67.23359789872764	115.17409336480752	68.90154638431319	144.9684843836596	83.44552361429295	122.45926400689368	77.41226764946829	76.46186019313468	82.43691757396746	93.43233329672198	72.27372683281723	71.06073859023009	82.8893740988809	121.09605538718397	119.90055015263148	124.62090647034265	90.82134514176687	93.63426857755206	145.3431191890577	89.58609665676133	76.02623592318601	72.05738488627856	77.53027150932344	87.3230068468454	83.15781561503618	73.57589173209813	129.1311045273216	125.50170487085539	126.84795335162269	131.66859616005033	74.32993139645022	88.14217928047945	93.06920301599182	139.14556312650186	71.53142412923034	75.16233170479865	75.14094035835335	121.987574730655	111.12827548217626	115.60583295857778	117.29304257397307	70.68071352959936	87.18547379940857	66.31610839907016	69.42403509890444	73.38507877973746	66.11512055409241	79.71885213432414	76.52804654783868	93.74220085101614	128.3828879918739	65.90965102828484	108.59707216056235	68.66875147101098	144.86862010725886	69.66504140431071	122.16691715220239	76.93214224366889	75.9004508472655	81.26488145374778	89.7769919956624	71.62349968061744	70.72475515562195	82.00800617733532	116.02818390378387	119.49467155621564	119.02840626351914	89.37371378646036	91.36882632110114	141.3715649295768	89.50785525892611	70.79935761936463	69.09628331853749	75.71172486852578	74.79586451644317	74.94016780454795	73.4570768336216	128.82384177708315	123.78989027503	126.09002987837664	128.55144415829673	74.054172058545	87.36569743000243	86.57264066410545	134.4141269461112	70.08803709584228	70.64864905130943	71.71147080649746	121.59024527480106	110.18107102886552	115.22412672042472	116.47081827256218
20000	-789.7537269798727	-33.01993108995947	-548.7462826941152	-207.987513195798	1.8938916121963227	1.7510403632555003	0.6957424550509244	1.2645333769863423	1.3273394435577455	1.484665143700806	1.4548330478722866	1.6352014185067085	0.7897470235402542	3.3366754301276926	2.468811078090901	1.0679391954112092	2.4666664204614013	1	2	2.280084123286339	145.03210204411022	64.48079128533776	146.956571369777	71.66156412063926	89.03061420663839	66.72805303768952	71.54376442448304	75.5785256415551	70.0888924272654	83.52949709289514	82.82302343645196	102.26093841797977	128.80689908151476	66.78842184352379	115.06395928234542	69.53182538665205	145.03210204411022	83.45072770279417	122.57495466235906	77.31288789105396	76.37982593715283	82.68931654669815	93.2299938631117	72.35316173201603	71.0723775830065	83.90911923395846	119.10400072234911	119.8304397390155	125.0126959457613	90.9875564890133	93.5678247131304	144.89393067934844	90.43869951523752	75.68462621739401	71.78490381946327	77.51029862926234	87.28244419177506	83.1389083278273	74.25020542414069	130.35610581138167	125.76943282663649	127.03323821051448	129.48608659146012	74.60670604574096	88.23739137455165	91.83882417595325	139.07056701218224	71.85961538631399	75.44638698608864	76.03431190669912	121.9200382526723	111.40467845946887	115.52770663695593	117.47176768753361	70.52797110661677	86.34579069308126	65.50686265251666	69.17169434799959	73.27441541362205	64.48079128533776	81.25154342839603	76.44189898319998	94.21802345796107	128.45375784911187	66.09169928203927	108.51138352504121	68.25419511634428	144.91439927284898	68.66599467906362	122.3232037751778	76.63713258011661	76.07018767714743	80.9502666169807	87.72193759047626	72.13480173450212	70.7449684209003	82.79097129906971	115.63402145487649	119.75648630340507	118.48342996306627	88.58771437863567	91.3960981637578	141.3987981165545	89.32267746974627	65.99490000823661	69.04124403928233	75.70268642787833	75.89920821578457	75.19978666389365	73.27777960360298	128.50056096897399	124.90185951033088	125.72188535966357	129.101758761204	74.24540361692694	87.92486370937947	86.43723424555554	134.46399485776175	69.6826886679913	70.98579480214866	73.25645833621215	121.74484636139132	110.32331361414428	115.4355480047427	116.12833359129083
25000	-783.8128380406255	-28.803326980026455	-545.7949462253649	-209.2145648352341	2.070534505845614	2.6020633101374986	0.9532921019918207	0.6735105028574505	1.6160775392608966	3.0993111878949855	1.4783841371151505	1.5808721821901903	1.2590751970363387	2.1849271536754795	2.3823956090543112	1.0281090816261038	2.603330211226047	1	1	1.2711929002856197	147.9795194894494	64.47261864668162	144.0470286924096	70.89156860981257	88.65608790729428	66.6255757947406	72.21640008203053	75.58433989158755	70.2503840055902	83.96409470387063	82.82908041966864	99.94389132564854	129.02709168104838	67.20821765542452	115.25157124350534	68.75955472268183	145.3191713203732	83.40723213727405	122.42477048342619	77.35416103562105	76.92498271994653	82.24992027363722	93.12099976837028	72.23831192118791	71.6965139392107	83.1418514722882	119.89875618710319	120.37138449439456	125.56589723519512	93.04788755101364	92.86620701041755	147.9795194894494	90.28847251948497	75.08259561534659	71.6415864774343	77.51059718877175	87.29477278332706	83.34755160003681	73.88306292205648	129.66043371114648	125.34975071148783	127.20742243850556	129.41831585696457	75.66767148118039	88.18420083007757	92.28163213309982	139.3542147267466	72.72500382849314	75.12942744697534	75.9461337813271	121.96144839694202	110.34835043894597	115.64280783690484	118.07975151901385	70.45228828959766	87.38830827898353	66.21216375457732	69.36888369610489	74.10523794460612	64.47261864668162	80.53071057006389	76.65260141065664	94.62045049196053	127.78418573668102	65.88614520105793	108.5744547715608	68.73548471730314	144.6984016308472	68.85417625683412	121.85216753388929	76.96449124652679	75.8943106634098	82.06736514231578	89.46568680938478	71.73291577967086	69.83185909750662	82.56515018119407	115.14007870831139	119.22612799723628	119.16203085114405	89.38297406347694	90.7766217044648	140.5544426576719	88.80678494815128	70.49370602007703	69.57568002498287	75.69765031612951	75.7693303651596	75.25937247680069	73.50794158280048	128.65652570476922	125.26711855435461	125.86684475977496	128.7616448790913	74.2808954281416	87.84016076281955	86.50834772620502	134.2480854267814	70.07222143472309	70.53845424813002	72.81851209729894	121.75332884394432	110.32876878612103	115.38648091246957	116.38341150122596
30000	-771.8304712289565	-28.702795663075943	-537.9962420112556	-205.131433554625	1.5509307788128581	2.563750154627033	1.1521793371136144	0.6003651815826426	2.3011732191740326	2.935981191327798	0.7839107259350869	1.0317417157214093	0.44898611528043464	3.492892502871285	2.1837920966082383	1.2817869114579028	4.95353916383319	1	1	5.343612602697392	145.04402835578725	65.45039858444889	138.64636531685025	71.94107042736701	87.66529065885364	66.69977512278098	72.23227233392244	76.11149172734294	70.83461617873921	83.44960314085803	82.034443028503	101.95153730567732	128.60156455214988	66.884253438886	115.07600012781926	69.06200614221063	145.04402835578725	83.31675839648977	122.47833375045663	77.04425246824367	76.73889826685247	82.4595611280065	93.82013805526447	72.20239801905417	71.07332156349274	82.89726325772376	119.07673718285592	119.92919998001501	126.2123605873791	92.25173850661342	93.08665601805906	144.9578694358641	89.5342838168474	76.1508261238063	72.26188583867572	77.6427889475749	87.0154760234597	83.0626300347399	73.87076508348501	129.61696611991124	125.2990818784663	127.60883195390717	130.05466116908687	74.69505504986593	88.14009086582234	92.54454199090273	139.17201778897737	71.81446088391624	76.17300129540345	75.00186599510545	122.20746737653667	110.4132096463107	116.1647452326786	117.19518692661447	70.46323464937359	87.0178762054027	66.27419801288029	68.43062270547901	73.59095528061734	65.88678571730563	81.28724052833434	76.69889550382698	94.37436133958892	127.94787978176934	65.45039858444889	108.54196732786602	68.71911383357161	144.79763653859007	70.22892320982295	122.29503349001047	76.70238695453425	75.794210699949	81.87841595143884	89.39892889856887	72.03719763070607	69.66414791773872	82.65890429658397	115.51372871650182	119.78626964456933	118.9601733598269	88.55372692871262	91.53573739313993	141.3498015492462	89.47195296904572	70.25830845798963	69.23750129410284	75.80896397027477	75.55827149102363	74.97739079474273	72.29424654598603	128.99627120767244	125.27324735865427	125.35082769231248	129.23486462006355	73.88955710843562	86.90946352369532	86.1788096485127	134.60729391650628	70.03810557631842	70.9428917612187	72.54290512023736	121.80309973441878	110.3289461447181	115.43672231960339	117.14851997657519
35000	-742.2851968358316	-34.33316292270252	-513.3720981576611	-194.579935755468	1.475067208067199	2.993623904560025	1.0925449851982145	0.7214565462605181	1.570187072840572	2.075703124156347	1.5779465968528499	1.456511261195914	0.6438595888745712	4.007374872639541	2.139384578151411	1.1185960704115703	2.759758540869681	2	1	1.9479701262875777	145.49667999264187	65.15944136006462	128.96520992185478	71.03153913546684	87.62399702231322	67.42198521483309	71.72919691373241	75.86032614156417	70.48054300526593	83.1862627725678	82.06434680656892	99.98029576993747	128.60111356722956	67.52503754290413	115.05694408873639	69.14403284841691	145.42572286584735	83.36947047283296	122.36603468061989	77.06972097174493	76.55004208451429	82.15746008034755	93.40937799434423	72.55301587676378	71.00016718583471	84.52399269728765	119.30593236223334	119.93112962247051	124.68841136533385	90.98952024770264	92.7169240909295	145.49667999264187	89.74930245977089	75.32470420292705	71.80461099529435	77.51159751631006	87.79537672962728	83.13479087226146	73.63157298447766	129.14962420804986	125.30368288626212	127.14348763350402	129.42562508183536	74.37520714823295	88.64215830381924	92.46112718012884	139.0003418172268	71.59909350919472	75.24583558161848	75.34780110845146	123.30671030780569	110.47678717013677	115.50628933019476	117.17859097122496	69.9747082055447	86.60770320080766	66.23808994325765	69.32989597149712	73.73702062588032	65.30018364074078	81.28138906963703	75.81092705064968	94.63809583058529	128.54083349148183	65.15944136006462	108.57631742780355	68.35675611993027	144.47599069660475	69.98243912466683	122.33031459117261	76.7071353546805	75.87144631566763	81.9482054001124	89.75126664115282	71.682969613015	70.84267912111083	82.62977550033045	115.85668039892812	119.80647261880982	119.0636276040151	89.3258531198616	91.2819470728256	141.2217851249295	89.150529393235	70.57947968942497	69.83070355075857	75.7170578738379	75.83950227318395	75.23006523311527	73.1712060869576	128.73161390933103	125.28832004300939	125.69153560779675	129.34614047890284	74.07420986843258	87.65716279497539	86.41481183429784	134.3727745973747	70.11908307440015	70.86516587865471	73.2003207450663	121.73214688487116	109.38557092114978	115.5032966996118	117.17768382333412
40000	-768.0700518333508	-39.28853436491013	-526.6997911291458	-202.08172633929496	1.3871192919063118	1.4991529802588008	1.234226236372648	0.7320615148531834	1.072941880428507	2.3584806581298383	2.143173182329169	0.9822340721514304	0.7198423160070933	3.5509713309250706	2.9311347645199954	0.8995949417588353	1.7266721597172057	2	2	1.7024833062455702	146.94845677744982	65.88914819715073	138.1714116423837	70.98875387795226	87.47712592894567	66.75363670044285	71.4723799392635	75.92139419734208	70.4170179739309	83.60616713108234	82.99044396093147	100.48285416936612	128.98486659586257	66.84852914518157	116.13601725482972	69.54851754950585	145.1970200669494	83.23280445760997	122.3619070772865	77.18950491328523	76.38256517660074	82.11766549059398	93.2175441803073	72.2549967969444	71.06525770952861	83.62674026993476	119.74285352455688	120.74321306186975	124.711715240246	90.75896540927172	93.26455623674462	146.94845677744982	89.80711312957109	75.25973052960762	71.71096147966719	77.42276758671653	87.05811792770339	83.13152473429108	73.7069597422736	129.15071691098544	125.63911516858872	127.35557888480707	129.59073530977605	75.25248286526254	88.21241618050986	92.81953326666479	139.64807919837784	71.5325120525314	75.14279618589484	75.35758518645235	123.03962342425548	110.34663327914299	115.60331539914637	117.28766107230382	70.07186044303378	87.39628395216334	66.27444647954243	69.52690194755725	73.50313281039845	65.88914819715073	81.26306540823269	76.58840665760597	94.56046797365643	127.24333793238814	65.89349105076633	108.29180864422365	68.367872079033	144.87440023258765	69.59045807066752	122.35275608419968	76.98303510467908	75.98404631810676	82.06343255626209	89.0864235739819	72.08769463578268	70.7677901018455	82.18891519898888	115.1937539327773	119.10099431357574	119.1961489828865	87.7250722276818	91.43590716328859	140.38495428272128	89.07869842792977	70.95541277411459	68.68548671653527	75.72764987988819	75.91763344404389	75.09131375425883	73.43991563130149	129.11200567255682	124.45791408027577	125.76407085609497	128.59866622573995	74.08791767497506	87.84708246648043	86.6472168644437	134.2225149890904	70.11390872987097	70.50024252699045	72.092194803737	121.72290135110684	110.34505797607805	114.90849023461982	117.14571725004551
45000	-769.8836232754218	-42.80014389233388	-525.1383135447471	-201.9451658383408	1.0711556194925063	0.9624900702608935	0.5924651546602043	0.6544863944454714	1.5635616090584898	1.6354025846517524	4.234694435650484	0.6254109026405729	0.4220946806923578	2.6727617228502005	2.591248660609884	1.549348095122318	2.0931296185886454	2	3	2.5662845506702787	145.2332564781337	65.276542184664	131.65462463634526	70.95127502773607	87.65680292842035	67.5519330891092	71.54918034162915	76.31989878581767	70.00911950004566	83.6217668711449	82.9612075095937	102.58258567503027	128.84195579727916	66.84900575105276	114.99012738062963	69.03216620180834	145.2332564781337	83.25586009708658	122.39184523881218	77.0801901769702	76.37483579913808	82.11579699220796	93.13681833952387	72.71232284826948	71.05785253045377	82.8321204463354	119.06292155327138	120.66962360634143	124.71814849647906	91.26533187447163	92.76798064700435	144.9441055888943	90.59057034077985	75.1892800884011	72.89788802916749	77.43422982180114	87.6609821248073	83.06698595419898	73.54343874816996	129.57534601475436	125.33140286368992	126.86344371143234	129.40432594544302	74.31309409308673	88.19418763408642	92.61387568045652	139.02157708495508	71.56313199016445	75.047861285906	74.97605084921763	122.12215486715375	110.45834720799931	115.82346398696852	117.1833609647344	70.80944452218797	87.4285905201922	65.96839670159142	69.47252967203926	73.73677596839146	65.276542184664	81.07972162179509	76.53956507107094	94.73274125479779	128.46660297860222	65.94231713973132	108.56886484415335	68.59717713130549	144.62047502416885	69.64847046424015	121.45518530406784	76.87420028018933	75.98679091035336	81.73730501427256	89.70437546335782	72.12194546575125	70.84633771306324	82.77615203077849	115.66773917366979	119.24802942356392	118.54589134036034	89.37532245446242	91.13578693180081	140.64108798860553	88.91829799423638	70.50009931538725	69.81492856233643	75.67096851079641	75.781064325206	74.22886399002732	73.46536680638508	128.2593552855046	124.92875728281759	126.15808559677366	128.7391142665294	73.18712077211116	88.07967165976304	86.52131840027404	134.2348067334728	69.66193700684163	70.823546655257	73.20815251778335	121.72064921162989	110.33213640842098	115.35709349469107	117.16071083424598
