Species	Status
Acheroraptor_temertyorum	extinct
Achillobator_giganticus	extinct
Adasaurus_mongoliensis	extinct
Atrociraptor_marshalli	extinct
Austroraptor_cabazai	extinct
Balaur_bondoc	extinct
Bambiraptor_feinbergi	extinct
Boreonykus_certekorum	extinct
Buitreraptor_gonzalezorum	extinct
Changyuraptor_yangi	extinct
Dakotaraptor_steini	extinct
Deinonychus_antirrhopus	extinct
Dineobellator_notohesperus	extinct
Dromaeosauroides_bornholmensis	extinct
Dromaeosaurus_albertensis	extinct
Graciliraptor_lujiatunensis	extinct
Halszkaraptor_escuilliei	extinct
Hesperonychus_elizabethae	extinct
Hulsanpes_perlei	extinct
Itemirus_medullaris	extinct
Linheraptor_exquisitus	extinct
Luanchuanraptor_henanensis	extinct
Mahakala_omnogovae	extinct
Microraptor_gui	extinct
Microraptor_hanqingi	extinct
Microraptor_zhaoianus	extinct
Neuquenraptor_argentinus	extinct
Novgenus_novsp	extinct
Nuthetes_destructor	extinct
Pamparaptor_micros	extinct
Pyroraptor_olympius	extinct
Rahonavis_ostromi	extinct
Richardoestesia_gilmorei	extinct
Richardoestesia_isosceles	extinct
Saurornitholestes_langstoni	extinct
Saurornitholestes_sullivani	extinct
Shanag_ashile	extinct
Sinornithosaurus_haoiana	extinct
Sinornithosaurus_millenii	extinct
Tianyuraptor_ostromi	extinct
Tsaagan_mangas	extinct
Unenlagia_comahuensis	extinct
Unenlagia_paynemili	extinct
Utahraptor_ostrommaysi	extinct
Variraptor_mechinorum	extinct
Velociraptor_mongoliensis	extinct
Velociraptor_osmolskae	extinct
Wulong_bohaiensis	extinct
Yurgovuchia_doellingi	extinct
Zhenyuanlong_suni	extinct
Zhongjianosaurus_yangi	extinct
