it	posterior	prior	PP_lik	BD_lik	q_0	q_1	q_2	q_3	q_4	q_5	q_6	q_7	q_8	q_9	q_10	q_11	alpha	k_birth	k_death	RJ_hp	root_age	death_age	tot_length	Acheroraptor_temertyorum_TS	Achillobator_giganticus_TS	Adasaurus_mongoliensis_TS	Atrociraptor_marshalli_TS	Austroraptor_cabazai_TS	Balaur_bondoc_TS	Bambiraptor_feinbergi_TS	Boreonykus_certekorum_TS	Buitreraptor_gonzalezorum_TS	Changyuraptor_yangi_TS	Dakotaraptor_steini_TS	Deinonychus_antirrhopus_TS	Dineobellator_notohesperus_TS	Dromaeosauroides_bornholmensis_TS	Dromaeosaurus_albertensis_TS	Graciliraptor_lujiatunensis_TS	Halszkaraptor_escuilliei_TS	Hesperonychus_elizabethae_TS	Hulsanpes_perlei_TS	Itemirus_medullaris_TS	Linheraptor_exquisitus_TS	Luanchuanraptor_henanensis_TS	Mahakala_omnogovae_TS	Microraptor_gui_TS	Microraptor_hanqingi_TS	Microraptor_zhaoianus_TS	Neuquenraptor_argentinus_TS	Novgenus_novsp_TS	Nuthetes_destructor_TS	Pamparaptor_micros_TS	Pyroraptor_olympius_TS	Rahonavis_ostromi_TS	Richardoestesia_gilmorei_TS	Richardoestesia_isosceles_TS	Saurornitholestes_langstoni_TS	Saurornitholestes_sullivani_TS	Shanag_ashile_TS	Sinornithosaurus_haoiana_TS	Sinornithosaurus_millenii_TS	Tianyuraptor_ostromi_TS	Tsaagan_mangas_TS	Unenlagia_comahuensis_TS	Unenlagia_paynemili_TS	Utahraptor_ostrommaysi_TS	Variraptor_mechinorum_TS	Velociraptor_mongoliensis_TS	Velociraptor_osmolskae_TS	Wulong_bohaiensis_TS	Yurgovuchia_doellingi_TS	Zhenyuanlong_suni_TS	Zhongjianosaurus_yangi_TS	Acheroraptor_temertyorum_TE	Achillobator_giganticus_TE	Adasaurus_mongoliensis_TE	Atrociraptor_marshalli_TE	Austroraptor_cabazai_TE	Balaur_bondoc_TE	Bambiraptor_feinbergi_TE	Boreonykus_certekorum_TE	Buitreraptor_gonzalezorum_TE	Changyuraptor_yangi_TE	Dakotaraptor_steini_TE	Deinonychus_antirrhopus_TE	Dineobellator_notohesperus_TE	Dromaeosauroides_bornholmensis_TE	Dromaeosaurus_albertensis_TE	Graciliraptor_lujiatunensis_TE	Halszkaraptor_escuilliei_TE	Hesperonychus_elizabethae_TE	Hulsanpes_perlei_TE	Itemirus_medullaris_TE	Linheraptor_exquisitus_TE	Luanchuanraptor_henanensis_TE	Mahakala_omnogovae_TE	Microraptor_gui_TE	Microraptor_hanqingi_TE	Microraptor_zhaoianus_TE	Neuquenraptor_argentinus_TE	Novgenus_novsp_TE	Nuthetes_destructor_TE	Pamparaptor_micros_TE	Pyroraptor_olympius_TE	Rahonavis_ostromi_TE	Richardoestesia_gilmorei_TE	Richardoestesia_isosceles_TE	Saurornitholestes_langstoni_TE	Saurornitholestes_sullivani_TE	Shanag_ashile_TE	Sinornithosaurus_haoiana_TE	Sinornithosaurus_millenii_TE	Tianyuraptor_ostromi_TE	Tsaagan_mangas_TE	Unenlagia_comahuensis_TE	Unenlagia_paynemili_TE	Utahraptor_ostrommaysi_TE	Variraptor_mechinorum_TE	Velociraptor_mongoliensis_TE	Velociraptor_osmolskae_TE	Wulong_bohaiensis_TE	Yurgovuchia_doellingi_TE	Zhenyuanlong_suni_TE	Zhongjianosaurus_yangi_TE
0	-786.1152503940897	-21.329323501039756	-537.9781910014007	-226.80773589164926	0.9862249965283829	0.9862249965283829	0.9862249965283829	0.9862249965283829	0.9862249965283829	0.9862249965283829	0.9862249965283829	0.9862249965283829	0.9862249965283829	0.9862249965283829	0.9862249965283829	0.9862249965283829	1.0	1	1	1	145.02574639081072	65.07684813087339	133.03039893332857	71.42483187552627	87.56893570928978	67.09313245035783	71.60604397619949	75.54157128765691	70.87045553710729	83.56158619407657	82.24417712998495	100.48315597124198	128.7051380115023	66.98103273587145	115.09683521767546	69.0018442471972	145.02574639081072	83.5031536660516	122.45260137943828	77.48865271572768	76.58671622921092	82.23324216733943	93.2164666877922	72.28509004470217	71.10003253040952	83.18346729497848	122.46306642948319	119.92255333910151	125.41036764497912	91.08078308083793	92.63764645327215	144.97530427881512	89.56335657486089	76.20896690764125	72.08618179681353	77.46625435438446	87.18410179865845	83.08071212345901	73.54487301673447	129.15016544720058	125.31928706658539	126.8704959256947	129.4923932570597	74.39425337714849	88.6456841512307	92.11428158133687	139.0994521393521	71.61366930583803	75.07258727687807	75.42830117114228	122.05629806372907	110.58146140369043	115.57980202919266	117.2066715297885	70.84437016546251	87.18380315975514	66.25604758305947	69.55841302708369	73.33907971017169	65.7521964074468	80.4840459258644	76.59190148010372	93.37506058448196	128.20892769935458	65.906873728456	108.51773184552323	68.27663762633978	144.89522914537062	70.03184587384571	122.2346184251719	76.97519317273856	76.04288517481474	82.05313691457327	89.60065856829412	72.08158982381975	70.7780109995645	82.77825424117371	115.86862644416739	119.75323315962162	119.1724017228209	88.844151405496	91.44178764495545	140.28497507397927	89.5208930794174	70.6439468506842	65.07684813087339	75.76175277004438	75.70944101931192	75.2261646741287	73.44756062489394	129.05293710697248	124.89271525797572	126.06013029452882	129.28034997991452	73.90475107037305	88.07565545088757	86.73176892158548	134.65581600995398	69.06571957073926	70.60013414124445	72.82587814274538	121.8962616540126	110.33196689275266	115.433801920225	117.14630174495315
5000	-775.5640083225034	-23.57734281855004	-546.5471000795363	-205.43956542441697	1.0076307455169904	0.9048344278762824	0.7344308315853587	0.8109126000829988	0.4931718163490506	1.8612622952522038	1.9173000303687107	0.6126041345615425	0.5826047089269513	1.368284766872739	1.639400460813724	1.3769212780775824	1.173151083155076	1	1	1.75869709820528	145.20101176436654	65.20427984067479	139.52475571032457	70.98379690815224	87.6581545912394	66.77552939400852	71.47671975978528	75.8829853859451	70.10407470233875	84.29145789934056	83.4738290786513	99.2630714156996	128.86894088175038	66.76830313114347	115.76635599855527	68.81031992018211	145.20101176436654	84.09790466966349	122.77068623332748	77.16633166044576	76.85210667084274	82.67495283675947	93.59074813537718	72.40538632461896	71.12382758600177	82.95662010808097	120.55284742700512	120.03416739724875	124.96246152541755	91.07469051780598	92.95292732586212	145.09027879620467	89.779091626648	75.12835258538644	71.95600253215274	77.60037402354178	87.17755506253229	84.03879474693865	74.08627861225463	129.1238196613105	125.32120898365851	127.16624913065179	129.5339451534314	74.33044448848842	88.24930807572717	92.62257256209328	139.50302695476614	71.92696690443202	75.54305107964738	75.6033401516944	121.91688833931792	110.42497266869593	115.85044407216515	118.16458969131496	70.75224176042587	87.33837331132985	65.81009044012693	69.1307035637091	74.16149517989898	65.20427984067479	81.15568141953774	75.00098079584747	94.23385224610429	128.49446818022113	65.91513365219971	107.95477046085168	68.49603315046723	144.8074547172113	69.71155974949673	122.14287218592044	76.84354802751042	75.71491321135764	81.72142442169415	89.39558045754809	71.57653719395073	70.8226315524825	82.62411690555867	114.98317712297144	119.41075257858662	118.85884371019954	89.43058526704378	90.42623625350572	141.48734684636	89.49912922138766	70.07395167351756	68.77470789022529	75.82534220319538	75.7331362808566	75.23148927943046	73.17225583656672	128.67991619236818	125.2953393269104	126.10845817706985	129.3128299241164	74.28560336732077	87.53959582757557	85.82799193097166	134.5511592820104	70.07847038818642	70.92755484269749	72.32922734311528	121.7697565416727	110.27713462804073	114.13171452408669	116.12256055823072
10000	-794.4166271940547	-33.74591804765297	-550.6296884760048	-210.04102067039696	1.5439646972225847	1.612834125438122	0.6042487087770854	0.7120361741021177	0.9625058837749648	2.761316097141875	3.190057129441076	1.4011716867526864	0.6466471684593562	2.042333956768393	2.651145866772739	1.2877812438021718	1.5340881205856323	2	1	2.481176735943501	144.96790897218006	65.34836662933202	147.94801592515154	70.84935316147423	87.53506022770515	67.33443193233313	72.01446750878817	75.63612207153831	70.37880640695683	83.608344464083	82.2430587100103	98.9258594523092	128.69649251485487	66.73954947652082	115.09842239604976	68.79636291327229	144.95100106742822	84.59092721092183	122.51333865867562	77.206932473296	76.41666482690106	82.12033774355815	93.27994258481208	72.50887586290295	72.00776442877805	83.94162793057501	119.9049634694568	120.32554671109776	125.3288855542108	91.25462668825108	92.68642907240447	144.96790897218006	89.72544850043754	78.08070983555172	71.68116633335111	77.54078894601356	87.23064798369947	84.10071116291802	74.01936804689109	129.6834647685681	125.39929340831706	127.59919005440123	129.53730049531396	74.58802147885368	90.5340447967057	92.76237087433	139.35626556203488	71.69258708987854	75.72294664355809	76.39269642765034	122.65938061413426	110.36225534143288	116.21071561061646	117.2246978826149	70.80842368482001	87.2876031949224	65.93900256786453	66.78110610982992	74.12209346931115	65.540956396159	80.76005584403855	76.15836748237217	94.46039800350752	128.48899785547596	65.34836662933202	108.67107659566187	68.34562999788048	144.54677830537307	70.07739656702731	121.98146335270003	76.84224528778049	75.90420479649335	82.064161165273	88.37629738003008	71.68284655399891	70.73215784059263	82.29923941602019	115.94231696874897	119.80905016157395	118.52167367217194	88.84841756253837	91.28318963472863	141.54589527546352	89.52646917509732	69.81638155242155	65.6006443859958	75.75268730603337	75.87906474429784	75.19815245646025	73.33331439716328	128.71243044056914	125.24629832808776	125.69915854489611	129.16336193302206	74.2225136023439	87.31457151486298	85.35037706471358	134.57114027156567	69.99867592297497	70.65537287211576	72.46163553187503	121.63098334693922	110.21503930138032	115.4836219227727	117.01685403618839
15000	-757.4662957253872	-45.47820179336505	-516.5348574906739	-195.45323644134828	1.2074422125323598	1.2385473454683233	0.19933502491148436	1.4909077536435034	1.7932445361024354	1.9189888229073684	3.4072336713698905	1.0125393687238042	0.5090201187141354	3.3441404421736345	2.6812208421173285	1.9957932533074183	2.1173252380909915	1	4	1.9841302541159713	145.4003619440672	65.52492998994303	131.2182884205393	70.8838746368785	87.47891305237889	66.70549250678121	71.49812076710656	75.45578833504744	70.24363800794285	83.40089931573276	81.94799772508657	99.38947237955774	128.59045300291191	66.9806304841512	115.21135339900711	68.82276166507167	145.4003619440672	84.35920860414384	122.59592683362243	77.44789067604214	76.38860732281265	82.32056852600866	93.5447199907352	72.56283780832275	71.07915256542474	83.82941045877682	119.68957779355279	119.82378447453802	124.63209718588341	91.29712382622749	92.60955244442953	145.08899522619635	89.5877276041565	75.83470352638241	72.04723385854098	77.4371440895416	88.03772854391826	83.03944269911023	73.73713386370618	129.1340821025055	125.80243406759932	127.6303096101222	130.30781234342356	74.33982814609605	88.16246124568265	91.80852618839648	139.13861603860948	71.66982968338371	75.09461950248932	75.78880922905108	121.93923432352827	110.36820783829904	115.58878888966905	117.22181343418804	70.73871499520902	87.47164259799717	65.52492998994303	69.43441412641074	72.24085557209744	66.13432895225573	80.91054334052839	75.9823005659287	93.70235537498822	127.92300413448855	66.00675667617372	108.28106633631414	68.71200563866971	144.8681541831259	69.83374572439716	122.2640053031281	76.79615438027366	75.68851715300008	81.98297304117472	89.77117751791307	72.04463097996576	70.94361259623044	82.31814867014575	114.80198094719813	119.81854859448978	118.33947721183984	89.24729395251659	91.1461707867491	141.19197983693778	89.52172745366634	70.67905593939491	68.85388740094102	75.27310290120225	75.88930566196127	75.10316374134419	73.20708153302007	129.10459317489074	125.19516945439798	125.46359000275355	128.1853174349814	74.17378586314719	87.98472972393571	86.72530980434895	134.63552412666905	70.1424307567242	70.7028567636858	73.0487293713656	121.8845349788527	110.26167878036188	114.6187394627842	117.0036058557796
20000	-788.0534507666182	-27.687205224904318	-548.2297911442653	-212.13645439744857	1.0120909691584807	2.7787651698832105	0.27013435679510095	2.1088405175316947	1.4026945679170049	1.85559653751	0.8873429369581033	1.178054495528867	0.9702481886419804	2.1942779317949688	2.6990050558364476	1.6551062579372202	1.6503750066150364	1	1	0.7267813392976337	146.98150086088205	65.43127660596551	148.09398989274592	70.88011973737274	88.55932278451043	68.10377728958932	72.16660634388245	75.7987013995098	70.29622287951133	84.2735835220998	82.11239398079886	101.20289134275573	128.58442437832463	68.40187652004462	115.07140885391622	68.8672063214508	145.1633093196277	83.62985102952071	122.37790718234619	77.19350910685384	76.4115732455012	82.15887426040811	94.02117280273141	72.34987926597152	71.07758909749768	83.14307954224368	119.57868394754843	120.06251802152549	124.69759343631131	90.98622337713974	92.60892073629448	146.98150086088205	89.63952606735988	75.49777901825816	72.30188822432038	77.49069158545431	87.73946098966637	83.04202556366319	74.3505761406635	129.1233865110809	125.58609995137707	130.2893065837382	129.97692976818206	74.35388261751903	89.03520103639976	92.19353840821228	139.5434688323394	71.77746663607543	74.98684467082695	75.03401751721974	121.95714981960933	110.6067139689604	116.25116586860973	117.20900150215884	70.211937370156	86.89532202891439	65.83207691318589	69.4596439395177	73.37723263879575	65.43127660596551	80.38874186432936	76.61406535023137	92.86229280315439	128.35608609808614	65.75225376967978	108.5994634322804	68.1889560805627	144.79354965955346	69.87518755951524	121.81884279251966	76.88151601415598	75.514114935966	82.0439851463335	87.37133903812449	72.06423752416663	70.93036553959716	82.67455888405748	115.23782252345134	119.65169127466795	118.94422738973971	88.20070792281163	90.76116201769698	141.40732508828674	87.7706867400751	70.43663096568595	69.69363743305483	75.52903166752304	75.19137633458655	75.2220964530355	73.34604245759573	129.09749670356857	124.99363474172094	126.08718982481189	129.30313905748474	73.98242485724755	88.13142706596582	86.70941820348602	134.5567712222077	70.02074514169914	70.89283699642334	72.48901990037608	121.89819336057847	110.06038822516035	114.61579666496745	116.4848857523612
25000	-776.8671705806622	-28.580889340166863	-541.9743144866227	-206.31196675387264	1.5332093041947625	1.739434333894243	0.486512539633211	1.81313101518113	1.1386884356433522	4.58874964457848	0.8048453851471378	0.8079497204621477	1.1733151335896794	2.1721923912362135	2.1391509351291633	1.3605422641868852	5.541250052908888	1	1	1.7530365086131188	145.51906895146496	66.0389237653033	141.55994079308942	71.19286493813551	87.64620792495927	67.1491218105832	71.49319150767329	75.54196196488971	70.18491177511072	83.36896204072679	82.33767124956591	99.05039911297499	130.73989194906758	67.40207783309417	114.99538958616583	71.5314709694552	144.95355352719957	83.58002051057942	122.36287388013324	77.01502260932061	78.31036152507387	82.11685447194985	94.0444285449682	72.50366040003539	71.21255047030215	82.85118460515282	119.12963616967318	120.2940123346402	125.38821130209323	91.60921353242055	92.75142672591721	145.51906895146496	89.5613714533584	75.07372968603741	73.18756168203615	78.0516659280326	88.09703411578386	83.59590914120687	73.71735132105114	129.80556552296912	125.65192916085246	127.16829581996069	129.40550652008685	74.36918489786129	88.56081801280722	94.53608197740076	138.99202451892324	71.59474126840561	75.32634123184555	75.10464621071308	122.40205499612347	110.34539258491421	115.70026317810023	117.35183029033747	70.71325458276436	87.42941555558092	66.14128128332888	69.15789778523782	74.02149851697605	66.13282049480047	80.8157780213027	76.54707967781492	94.21283088216748	128.53647359644313	66.0389237653033	108.67518464161897	68.4278871520387	144.92014520778923	69.82887828798387	122.27943084963324	76.92119515233708	75.36507035745078	82.07937243489647	89.50194277592732	72.11999611902405	70.67059164445425	82.79278079718048	115.50166977301546	119.56132180438622	118.49925339164248	88.85831587807326	91.56462171291889	140.57403956282593	89.36156516256571	70.76081284446362	69.47602185791406	75.36596125770507	75.46771770512582	74.69045673432956	73.2283711087208	128.9593806502907	125.25033583576511	126.18070798460364	129.35802969638266	74.15732596348575	87.5488314167608	86.1634604588907	133.09402395087315	69.75178721240839	70.48195301003302	72.0427849122277	121.153896922759	110.3257166794821	114.48121314771433	117.12625473162642
30000	-767.900182102449	-32.364027072362454	-530.9375945578905	-204.59856047219603	1.6005971170956705	0.668693584907556	0.14601051842452886	1.4871834462603057	1.2175518518630688	2.6895119790035658	1.7114076523328419	0.9269399625010233	0.7926267174580782	3.3461227077226265	1.974657365971514	1.1770525531213405	1.5310260052008209	1	2	1.3798003834333201	144.94662852344743	63.9722750039828	139.09537015657253	71.85192354311587	87.57913548182219	67.05389164524303	71.51084852950717	75.72106171976417	70.76188693779866	84.2066541198513	83.16105085503338	99.1589637544513	130.21670902985792	67.03171525606717	115.01528259488876	68.73896865579644	144.94662852344743	83.53362842481296	122.52229257351193	77.07061621973813	76.50281281243855	82.18295950542812	93.2901703160881	72.38572083430284	71.01723764931623	83.4019349447407	119.61031019254129	121.00585433907143	125.21315126460415	91.74704986973553	93.05538507008613	144.84428135680994	90.20817742255666	75.10222013402702	73.56368292458363	77.53252202036023	87.60491369524917	83.33765082151476	73.58569152484652	129.31017666331672	125.92310434233315	126.88570053303384	130.55033972496983	74.3392651149204	88.90362969912562	92.37475629883416	139.51477109826283	71.55174075830114	75.00035663955963	75.23299987864488	122.36935247514444	111.09593456020419	115.83081813602166	117.1958463227073	70.0861707846948	87.44631820860054	65.31648768093893	69.53069913689043	73.9914206703275	66.00200545366197	81.12398866717695	76.48842203327031	94.12257089535278	127.90726790973468	63.9722750039828	108.52813380811874	68.73609571875792	144.94302932038403	70.16496865626186	122.03791310751105	76.43428550578224	75.91900809127753	82.05474129391744	89.75816084534243	71.87641102788587	70.85617648484512	82.52496918877975	116.01674498446643	119.76645920336297	119.18918211950765	89.3633192196986	91.16509914135978	141.411390165455	89.34807114002166	70.78635159219768	68.59877400256326	75.8318319465094	75.76066852646599	75.18857291145613	73.48647458566741	128.87334914576226	123.93577994829367	125.39226081773522	128.502885389823	74.254072257917	87.48084051914029	86.53732052675923	134.19113976680768	69.90066338695773	70.817196671523	72.41011373147974	121.90183109134999	110.19158215699429	115.08984897350204	117.04306323554326
35000	-782.7908280019604	-45.170360958231946	-527.9345890212248	-209.68587802250363	1.1378688166361233	2.108225524021916	0.1743612465457434	0.9005023441427294	1.683725880106645	2.1257623593493813	1.8554040114643733	1.130681185259549	0.4805434554485294	3.898125086073151	3.530868728743142	0.7921486762678053	1.0538659266989907	2	3	1.8378136887135978	145.13025375487382	65.75774170230567	145.50061485424226	70.85135708592671	87.95640255475485	66.67631313338228	71.67072435000334	76.97424054501414	70.58933667879788	83.58085092272414	82.8679146807478	100.60569062685585	131.81328924827747	67.4724576138448	115.23071234234811	69.04907511246604	145.13025375487382	83.40369800802924	124.20211775765112	77.06122712172255	76.69530017913873	82.08864320309667	93.12847096725244	72.25458870120264	71.6591777135287	82.87585292259254	119.68735778488542	120.10617729021722	124.76160992600197	90.89839706201212	93.12406051151433	145.01412401489918	89.58763062975005	75.65344343852804	71.75018313418356	77.64823368488095	88.31008506544815	83.2075636067886	73.74917908755671	130.00076111563925	125.29952685473339	127.88580160956458	130.45474313997738	74.76487537145695	88.51491702326818	92.06919314496128	139.32035099823307	72.00447200347223	75.13774133000308	75.09227253863556	122.75357498643187	110.54386601299181	115.51594853140395	117.31436581179398	70.84125051600607	87.36762021979679	66.04500471020395	69.05940870051313	73.13825084852124	65.75774170230567	80.37325762831183	75.10656582788548	91.84325681209428	128.25043406423615	66.01804653678148	108.47503024670986	68.59566398224977	144.9066013731371	70.17944001190398	122.19667779741587	76.59281642774722	76.05370621212933	82.08671095171101	89.58619461700424	72.10499153771191	69.62547478112172	82.68370481658451	114.71418069803893	119.69249259867385	118.87087621276518	89.37545864603098	90.8427298626449	141.16344166316074	89.46985613442013	69.60997262038843	69.55405029469985	75.81437420416925	75.23296665238428	75.16520044608615	73.35495062848506	129.0574535297631	125.29442665120322	126.10526314105968	129.30866609848553	74.2214034122381	88.11221740668873	86.62804857793981	134.28647942479083	69.73488942371975	69.83394910718502	72.617045251943	121.68746021721127	110.26152550891513	115.47571604590702	116.1345912981419
40000	-766.4292997277535	-34.69551899511356	-531.255389257762	-200.47839147487787	0.8337356205351287	1.3896049002670503	0.4381429831586584	1.2040128035703004	1.5922136493966348	1.6711388741551851	2.1410944458156864	0.9253924434104865	0.5153070490500506	4.876055287441189	2.204715907472265	1.0967891750997867	1.6707905891153334	1	2	0.5244257230482781	145.00394517930386	65.70592109601002	137.82981284895538	71.31206925360753	87.5913373142925	66.86780946980393	71.6288593461865	76.68560496676314	70.27754683571823	83.47209096041642	81.96387623766033	99.3183285808774	132.36704311328793	66.91839554276865	115.26343481926396	69.20812121028312	145.00394517930386	83.20655141525087	123.00890837797276	77.10283112889269	76.41344765843941	82.58051680776924	93.18205787980412	72.26245259175248	70.9993112673423	83.40136163757724	119.09603119302243	120.84848716875202	126.00253627520574	91.65048192831578	92.7009658398942	144.96371791248853	89.60043181826659	75.67282634686457	71.90965117382565	77.45749455733913	88.00158227197558	83.12030813944736	73.57437215841709	129.8211093445864	125.90336082044433	126.99112693784556	129.3996097996619	74.35112162653469	88.62849600001324	93.57919472845046	139.9373541315615	71.93356421546632	75.63375480478467	75.07066201540778	122.02092613470073	110.36484370683704	115.58517026806005	117.20813215529822	69.766077709512	87.17566325939019	66.14244724533198	69.38558891958473	72.45529255412275	65.70592109601002	81.1892924429922	76.48562984497252	94.46737243788439	128.27963846391248	65.88831544542131	108.4999696851856	68.70761801701252	144.78916956307253	70.26213902811512	121.99721472145932	76.99689328444155	75.66066846284215	81.6451205463496	89.85929280130168	72.00743008872576	70.96945639623274	82.67555385816209	115.86613686236849	119.61673170703091	118.59753322610223	89.3625257702934	90.54566073536284	140.84176041048363	89.31459862334982	70.06841710827179	69.22817302263917	75.54099146791368	75.84071405615289	75.04217328910804	73.42953877552651	129.0598102276764	124.5810338356452	125.0958877544282	129.36911784998705	74.28115659535472	87.8688285595505	86.44759796210819	134.49101958477036	69.86760509553984	70.66528122092255	73.02567422488792	121.74225120945643	110.29361455811548	115.17794079349795	116.95986182096739
45000	-757.8125643266856	-32.10360655459021	-525.4510416509206	-200.25791612117473	2.1088420340773517	0.9794843852134784	0.949026794925705	1.092769367187574	2.13243610425261	2.4998564000214043	2.010922779135347	1.2072459203491335	1.710154972519398	5.198537753723951	2.714440898104639	1.381822587675151	3.851751474329233	1	1	1.9372406979727264	145.01673970425472	65.2545476654284	131.89780666171168	70.847170947815	87.64563987735562	67.08119022745487	71.47519967350848	75.4566389827926	71.10634099579707	83.21457137443421	82.03123541727338	100.13478018511219	129.97085405315858	67.65021786261532	115.04617221457197	68.84581266290424	145.00588213252817	83.44956330630919	122.60924027551405	77.14243132998479	76.40719933589804	82.75550639431445	93.62620313111775	72.29488282118163	71.01305011762996	82.82378256349297	119.32825567934889	119.8441905511716	124.67485875539441	90.79215678319903	92.69813098687115	145.01673970425472	89.57531841191924	75.38644333643977	71.87768693823566	77.54081928036766	87.74627715353621	83.0755799520264	73.84380289192407	129.31714328188534	125.41647996416773	127.4740292771915	129.94801921684515	74.40028973891475	88.50057261691437	92.18011118121306	139.29765080648454	71.61103494972375	75.08546328376369	75.11191831816978	121.92857245915984	110.43609865770227	115.63490666207255	117.2707742251252	70.58869793080697	86.81635342159949	65.2545476654284	69.13954516910725	73.08244197779358	65.83352264806075	81.06544952241741	75.83887253227344	93.6388539129586	128.21625118913437	65.89630323793763	108.60008305278508	68.3412674417589	142.94444506819553	70.24390000165467	122.23896354978298	76.58368127433606	76.0603508143052	81.52449362596349	89.68176059447399	71.92420537867577	70.97364826003039	82.82125098684206	114.72019978517004	119.66941048544595	118.87345473074876	89.01034067409637	91.49356354760214	141.45854225645976	89.4998382763831	70.6390010266134	69.25660586486306	75.81450427369663	75.99213737942911	75.05420391449658	73.27531193918348	128.68624489279293	123.98620425493363	125.71738869249626	129.15131847033769	74.12159433953707	88.06855980379629	86.01299983653438	134.5998935329895	70.19127318245546	70.97108015633856	73.05454238584022	121.6801500310897	110.33803285071535	115.0431129578414	117.06068548686638
