it	posterior	prior	PP_lik	BD_lik	q_0	q_1	q_2	q_3	alpha	k_birth	k_death	RJ_hp	root_age	death_age	tot_length	Acristavus_gagslarsoni_TS	Adelolophus_hutchisoni_TS	Adynomosaurus_arcanus_TS	Amurosaurus_riabinini_TS	Anasazisaurus_horneri_TS	Angulomastacator_daviesi_TS	Aralosaurus_tuberiferus_TS	Arenysaurus_ardevoli_TS	Augustynolophus_morrisi_TS	Barsboldia_sicinskii_TS	Blasisaurus_canudoi_TS	Bonapartesaurus_rionegrensis_TS	Brachylophosaurus_canadensis_TS	Canardia_garonnensis_TS	Charonosaurus_jiayinensis_TS	Corythosaurus_casuarius_TS	Corythosaurus_intermedius_TS	Edmontosaurus_annectens_TS	Edmontosaurus_regalis_TS	Eotrachodon_orientalis_TS	Glishades_ericksoni_TS	Gryposaurus_latidens_TS	Gryposaurus_monumentensis_TS	Gryposaurus_notabilis_TS	Hadrosaurus_foulkii_TS	Hypacrosaurus_altispinus_TS	Hypacrosaurus_stebingeri_TS	Jaxartosaurus_aralensis_TS	Kamuysaurus_japonicus_TS	Kazaklambia_convincens_TS	Kerberosaurus_manakini_TS	Kritosaurus_navajovius_TS	Kundurosaurus_nagornyi_TS	Lambeosaurus_lambei_TS	Lambeosaurus_magnicristatus_TS	Lapampasaurus_cholinoi_TS	Latirhinus_uitstlani_TS	Magnapaulia_laticaudus_TS	Maiasaura_peeblesorum_TS	Naashoibitosaurus_ostromi_TS	Nanningosaurus_dashiensis_TS	Nipponosaurus_sachalinensis_TS	Olorotitan_arharensis_TS	Orthomerus_dolloi_TS	Pararhabdodon_isonensis_TS	Parasaurolophus_cyrtocristatus_TS	Parasaurolophus_tubicen_TS	Parasaurolophus_walkeri_TS	Probrachylophosaurus__bergei_TS	Prosaurolophus_maximus_TS	Sahaliyania_elunchunorum_TS	Saurolophus_angustirostris_TS	Saurolophus_osborni_TS	Secernosaurus_koerneri_TS	Shantungosaurus_giganteus_TS	Tanius_laiyangensis_TS	Tsintaosaurus_spinorhinus_TS	Ugrunaaluk_kuukpikensis_TS	Velafrons_coahuilensis_TS	Wulagasaurus_dongi_TS	Zhanghenglong_yangchengensis_TS	Acristavus_gagslarsoni_TE	Adelolophus_hutchisoni_TE	Adynomosaurus_arcanus_TE	Amurosaurus_riabinini_TE	Anasazisaurus_horneri_TE	Angulomastacator_daviesi_TE	Aralosaurus_tuberiferus_TE	Arenysaurus_ardevoli_TE	Augustynolophus_morrisi_TE	Barsboldia_sicinskii_TE	Blasisaurus_canudoi_TE	Bonapartesaurus_rionegrensis_TE	Brachylophosaurus_canadensis_TE	Canardia_garonnensis_TE	Charonosaurus_jiayinensis_TE	Corythosaurus_casuarius_TE	Corythosaurus_intermedius_TE	Edmontosaurus_annectens_TE	Edmontosaurus_regalis_TE	Eotrachodon_orientalis_TE	Glishades_ericksoni_TE	Gryposaurus_latidens_TE	Gryposaurus_monumentensis_TE	Gryposaurus_notabilis_TE	Hadrosaurus_foulkii_TE	Hypacrosaurus_altispinus_TE	Hypacrosaurus_stebingeri_TE	Jaxartosaurus_aralensis_TE	Kamuysaurus_japonicus_TE	Kazaklambia_convincens_TE	Kerberosaurus_manakini_TE	Kritosaurus_navajovius_TE	Kundurosaurus_nagornyi_TE	Lambeosaurus_lambei_TE	Lambeosaurus_magnicristatus_TE	Lapampasaurus_cholinoi_TE	Latirhinus_uitstlani_TE	Magnapaulia_laticaudus_TE	Maiasaura_peeblesorum_TE	Naashoibitosaurus_ostromi_TE	Nanningosaurus_dashiensis_TE	Nipponosaurus_sachalinensis_TE	Olorotitan_arharensis_TE	Orthomerus_dolloi_TE	Pararhabdodon_isonensis_TE	Parasaurolophus_cyrtocristatus_TE	Parasaurolophus_tubicen_TE	Parasaurolophus_walkeri_TE	Probrachylophosaurus__bergei_TE	Prosaurolophus_maximus_TE	Sahaliyania_elunchunorum_TE	Saurolophus_angustirostris_TE	Saurolophus_osborni_TE	Secernosaurus_koerneri_TE	Shantungosaurus_giganteus_TE	Tanius_laiyangensis_TE	Tsintaosaurus_spinorhinus_TE	Ugrunaaluk_kuukpikensis_TE	Velafrons_coahuilensis_TE	Wulagasaurus_dongi_TE	Zhanghenglong_yangchengensis_TE
0	-984.0054518552959	-13.811512525411102	-695.6085567085036	-274.5853826213812	0.4933404352968619	0.4933404352968619	0.4933404352968619	0.4933404352968619	1.0	1	1	1	89.91894761987706	63.919366199080585	199.48485050821404	78.98899816054134	76.48727754032112	70.70567346330878	71.38507152978869	73.40203682918154	79.94669423888892	82.23248040907646	67.54935046415528	74.8590914111395	72.49718050563855	71.8686166524191	75.05096798275633	83.94888970592766	67.4580569675334	72.67601293774781	76.55007371974774	75.72158745721677	68.30829690410822	83.74171624813826	86.10927061554074	82.96145609058651	82.34719675762261	76.5684166147626	76.95890426154284	80.21427346840304	74.30724634916913	83.80161308353912	89.91894761987706	71.603138894058	85.86811612137942	71.30001079577971	74.69915966572671	72.32498083500214	77.51915742806631	75.53365107364124	74.80214596426696	72.45651287399238	74.02581980801465	82.89053774549035	74.33860826556635	69.96390041252452	81.06094985344686	72.0796128957749	71.43793111807067	67.23148394101324	76.45048567204186	74.59247960107594	76.88819219409304	79.98359675738587	78.57306361168307	71.1671445046415	72.33690269348467	75.50611572978941	81.95903455065618	81.22202101254166	77.78969846384368	81.99218875430618	70.63143468272956	71.71581885081007	71.64273668134209	86.12868402914205	76.19929496629491	76.08394764594351	70.0283273863124	65.91111373097361	73.28689274861465	79.84603464500452	81.97082891436551	65.9704038649219	65.93710061060932	72.4310563368744	69.72402470020556	66.1419419781225	72.21793468259385	66.55966395624868	68.82272873205582	75.90770666356137	75.13100567538554	66.02606837922636	73.70926448066754	85.84025213169943	82.84902127632444	81.71942574381715	75.36303346744367	75.76434411911532	78.44341487586199	63.919366199080585	74.52044768974159	84.22502296494325	71.42673526740741	85.77772906838412	68.18853056316203	71.46064999330325	65.59611668484578	75.5173493446758	74.9685261799333	74.71891362108578	72.30257114378924	73.48675871373977	75.35070629581682	74.00283547246	67.7009409808094	81.01392361412604	65.61004641104579	64.18473456192905	66.3432148874216	74.6809809909804	73.07599618500718	75.80948744865	73.9266570996751	75.77856702736831	70.63381974128255	69.30189415370995	65.31139435467904	69.20673783158165	73.052533035962	77.77758833279005	71.7618877071281	69.18563835544217	71.49329627537588	66.15308356366424	85.44634948860512
5000	-850.9454573993648	-19.165249662441692	-570.5885533906699	-261.19165434625324	0.856871344340589	0.3787088756186967	1.923598654392975	1.4116255273317677	0.33499520515195025	2	1	1.3159323685186388	90.11757833063342	64.68271526525503	197.56114951179393	79.02494428214936	76.26156612763275	70.69498472406802	71.90310412213776	73.45565862906237	80.53046033228924	82.76929271085231	67.54674478961817	72.24141492639802	72.60972742475028	72.2196170073561	74.71726686241259	83.58926533838653	67.41973513795342	72.4771877551862	76.58433964387453	75.71706758541733	68.15084846215048	84.05656134666421	86.67717578187366	85.03241141001789	82.21963420056768	78.25107986958726	76.98380007033904	81.64590862419091	73.98393146551093	83.57557635340291	90.11757833063342	71.92792869605458	86.59537513286992	72.30465655314558	74.24465457550345	72.2418624717513	77.59217125978518	76.19225912174319	74.99997515023826	72.45893891045682	74.19618373714309	81.89452998567175	74.68214752086644	70.68657374695098	81.1225946623114	70.64865763090795	71.45448818827329	67.22894527506654	76.07770207281771	74.63787961203819	77.9021967074851	78.7135899931454	78.43332757151306	71.2292889360195	72.15779308345077	74.31286578910282	81.43845471386247	79.84126130816365	78.2608795274861	82.1599730063906	70.74441494926361	71.65908446120964	71.5314186885078	85.96868458221562	77.94666330169315	76.23677650204975	69.76315388772377	65.74981987599648	71.26962390677431	79.65082409037147	81.48972899685472	66.01489560896938	67.34526988590694	71.89850255310743	68.9199719420509	67.18287379458494	71.95583740176245	66.55848297412882	69.0535547851892	75.88629711175967	74.80983249543567	66.02756010375225	73.01751008825585	86.00662492129108	82.25554019330673	81.82493278699232	73.09546635687596	75.71584944513734	77.88315561895357	66.98180195479601	74.83491381318612	85.03761968790718	70.10049863407478	84.9945847984181	68.14583596088907	71.23765349339091	66.65013761804933	75.3889949119341	74.8530818788339	74.24599791157017	72.10274748366952	73.31888464509514	74.65094691336303	74.06086749471979	67.22590732598074	80.64647250494868	64.68271526525503	64.95300225711901	66.33505811041717	75.02379098337494	73.06606055460149	75.80571517008079	76.97568280220213	75.91601194170862	70.71267486109946	69.28933820926522	68.4897718986368	71.67157935178511	72.38570496635776	77.29852234720369	71.20728443899766	69.0485621204882	71.5549968820516	66.560654269037	85.42366933466874
10000	-790.4105384845952	-27.116959190060008	-519.112452618824	-244.1811266757112	1.5289473112742402	0.28110408853236113	2.721473717161221	2.3791161958806133	0.7977620960596317	2	2	1.8591194980550718	89.04296699704557	65.53520707220584	193.35831158672738	78.93168303926886	76.66516892420687	70.53928118043387	72.95654665843618	73.3307369250185	80.19141144343092	82.2901556400226	67.59765556326377	73.67336230262403	72.4716618374764	72.428320801455	75.67107846861884	84.80324676479482	67.39059353932177	71.96494563938994	76.6655337016961	75.78347295101365	68.0066777134288	83.7405246602556	86.0486888871289	82.99766040964772	82.46083980382676	76.58031282816692	77.0291212726149	80.73596021219778	74.1997473657168	83.4518121142049	89.04296699704557	71.51257568826567	85.81790261433173	71.18013921915383	74.21107505859732	71.94113268677151	77.40257644235874	76.31845443713742	74.88027186233435	72.65734152039055	74.27613466874053	81.99441262553097	74.3016186463292	70.2775607380478	81.15000425568364	69.95040203492103	72.01083616654881	67.30834118423245	76.05966869131862	74.50104351739859	78.20084621144555	79.06020916731336	78.56808529884896	71.68962916210288	72.07968333617934	75.22227492424756	83.01566406052693	81.09743947982311	78.25465655448592	81.91741021934556	70.62531994803435	71.87316682594992	72.45895696235873	86.11838835176889	77.47006622291723	75.84882524221912	70.30860440350858	66.02404586551465	73.2982932411973	79.63052705595659	81.99144363608886	65.90156933042468	66.3845508254349	72.44320578865609	68.54040146389593	70.12790691289413	71.42117176979473	66.35823527013993	68.07889575201605	75.71597565193704	75.1219684123666	65.99100691085512	72.58941739425337	86.04588080306686	82.75365645872019	81.89691861142765	75.22781180573507	75.8059653031022	78.36205701478562	67.11716108340416	75.00182030963997	83.94760656898026	71.49805692383433	85.7915029283662	67.88799456891614	71.29230525084066	66.28212906411457	75.46790466952017	74.52363540833423	74.62674518585261	72.06016837677035	73.49599265955521	75.24402408752549	74.20945948688116	66.22513813546587	80.64190706641658	65.53520707220584	66.28119714044531	66.26474143097373	75.07655350017598	72.7695170106069	75.53450055132004	76.9978182038389	75.096601810677	70.51970864400435	69.24936329601734	66.85173694590915	70.62149754790524	71.66771317022656	77.64411701318747	72.09152435258123	69.07618840311521	71.23724286169352	65.93546206355396	85.12143467873902
15000	-798.7770721944572	-29.23756856414565	-526.9024398965691	-242.63706373374237	1.4174318424152796	0.5367881379858281	4.021805334796983	2.7411588873791968	0.9727116728427806	2	2	0.9991337615283968	90.71044397798704	65.78532883235177	190.20883648174436	79.88052715143128	76.57991880458697	71.01264276885276	71.71375630192216	73.47546432448345	79.9003671069018	82.06918229619714	67.59446522334798	71.75859702922513	72.55692228672119	72.39902395539373	74.95504890592842	84.17896703298034	67.51682933260604	72.0388496886846	76.65448371684295	75.68295971697684	68.29578302643917	84.0360670862632	86.17377318749283	82.96550611965074	83.34981526990249	77.3359223417892	76.95136044399389	80.09388600422211	74.20019914257543	83.39710732524644	90.71044397798704	71.58706645884067	86.02205282242645	71.01293198802549	74.63771381928377	71.88598957676402	77.40538489018742	75.59064998511172	75.30545857633084	72.36157941748107	74.23079549718429	82.30306559458649	74.26315195339714	71.27468778408843	81.1243663268159	70.69288894684692	72.17788873056982	67.24328915254341	76.73604388348728	74.53216612111602	78.8605643479465	78.54990080965251	78.44723675812558	71.17342566912046	71.97935996212104	74.81874523113483	82.55586391325168	79.9261052318932	77.81419187658925	81.80934424651706	70.82586130059852	71.84052146043096	71.79632007772449	85.91102632004828	77.97074915248938	76.14645026164719	70.07408036067993	65.9373910041597	73.18601169075669	79.81731853770083	81.72761302234046	65.87049641001342	66.82092606934836	72.43644799329317	69.53767342669697	69.72287631583117	72.2265106215619	66.50411939083749	68.37608849482731	75.90580965317568	74.93276907693577	65.8480736846952	73.90087191793846	85.5397506927708	82.85016249991709	81.0643539184986	73.27980442882722	75.77715337628217	78.49511926170462	67.27659833572069	74.5116150682941	83.61453298325746	71.28444788450085	85.7037179259188	66.74650976623298	71.53066676035303	66.02487071672809	75.45753447994439	75.10568933986625	73.33849795300678	72.32949428376136	72.83503965439573	75.40017377513817	73.79816578461505	67.6105515627477	81.00637329504595	65.78532883235177	66.32851503164504	66.12486728715595	74.76648703667851	73.015947302308	75.79239207664891	76.46757695545828	75.41242307421616	70.42823740067347	69.39018149561058	66.5335506273189	71.70242922235961	73.13579827324004	77.63881491463337	72.16464195658051	69.159472694848	71.51983356113539	66.05948029048136	85.01559295134172
20000	-787.1797540090948	-33.05693533049464	-515.0641305468711	-239.05868813172913	0.8983470581372011	0.4847906915208135	3.215684026815919	4.386417645218938	1.1671109194231921	3	2	2.0488706953263094	89.0952985029297	65.47304817755737	188.65084742469324	80.22617253028632	76.45146774085187	70.534359072451	71.75126465849146	73.32352671995915	80.09996676851958	82.61300000311095	67.56482332177819	73.74729982193713	72.47233121105653	71.95591641026826	74.7856826273694	84.33049971611702	67.38627138996898	73.06062936814168	76.58876918734359	75.69864969304997	68.12790376041362	83.87258934564173	86.40832881451702	83.28701482597958	82.2991738584401	77.41554150914001	76.98504694684861	81.65446793779691	73.88451342991533	84.03879994059184	89.0952985029297	71.97473435105756	85.8235415540466	71.11843647993355	74.50020590788229	71.81399000012253	77.45733492932847	75.45103540174975	74.73750811478702	72.40811317355318	74.12929862168907	82.30614316779705	74.25522239187534	70.20132142845448	81.66878488154751	71.71264748036553	71.64363908077402	67.7914197355212	76.53745452304452	74.98020557573577	77.10767267079869	78.8380022706104	78.40519906647357	71.73494463422182	72.15693364632787	75.73811185955692	81.3282077843587	80.55279829859359	77.88715435852691	81.7536604019656	70.90410568707935	71.64320019175592	71.81844757650273	86.06229045851983	77.91628862783372	76.11857669085546	70.49754249539005	65.67175720015784	73.13375107912209	79.85944492443305	82.02905753500393	65.76794911664288	65.81191279321735	72.450957584423	69.82203963321298	69.05850047184994	71.96651726452862	66.52664726758479	69.0405253566368	75.9101151858207	74.93165277865594	66.06002634439164	73.45717166526097	85.96047860823829	82.89536663314294	81.93544493760504	75.43519182854855	75.71104920016815	78.3022640079509	66.77524852023082	75.05486859620693	83.42860403264062	71.44332354641284	85.77918927770763	68.15323397946999	71.26208133285263	66.6281310116384	75.4358856870643	74.9500640951729	74.63476629753877	72.1833672550107	73.41755951846791	75.42865866136633	74.2213411399688	66.46035495789806	80.97386054126257	65.98105470188771	66.19541465305592	65.47304817755737	74.60256962823034	72.98608688563513	75.17375770850056	76.9259874916649	75.58315298252973	70.39259540387016	69.21252797311769	66.21021476427391	71.55697283039112	72.76157936194834	77.66637848274654	72.06546757997619	69.14627631392234	71.5160617288818	66.12559864303823	85.37471439996587
25000	-769.1560946290625	-35.03946987188861	-506.962942184334	-227.1536825728399	0.8722454915571685	0.4096784256698593	3.599662531387791	2.6826844269239736	1.542789063672397	2	4	2.6938811937759635	89.08266568678695	65.46358088096663	184.9920575046661	78.99354065245565	76.65877513048798	71.4194749457052	71.46848334567433	73.34421428540509	80.25925205744156	82.08134184721008	67.5817946283447	71.69192750570346	72.5485154015476	71.80911580126778	74.55137180764973	83.56523921713607	67.67851588163096	72.30818324699443	76.57241484879667	75.69352568936996	67.98086971833091	83.62181748048482	86.06083005670281	82.94784657024024	82.23366429862409	76.73106371433498	76.94370049975646	80.10175177528514	74.10413982124356	83.64069840609608	89.08266568678695	71.538335126246	85.85748853116696	71.70147553545216	74.36017945530658	72.43288582509285	77.48027918324003	75.79377011535115	74.74615460245766	72.50544724785165	74.01831937829355	82.02736154726661	74.24027700266772	71.84152179326178	81.02793560801368	70.95288972250745	71.37238791065194	67.40376847032933	76.09128735945828	74.53823071918471	77.45282244498563	80.00621286585238	78.42223864354443	71.57037061801904	72.01757185624872	74.76510036913004	82.1284191321404	80.51119799299181	77.78766517990738	81.88443794557621	70.98319427319869	71.59091782074944	72.17250357719767	87.01920994472604	78.1794557936836	75.8214895072969	70.2049529636546	65.900983277955	73.23239808225483	79.76302576510464	81.93645463766872	66.0092904131937	66.42179045173413	72.40739330072637	69.77675951528067	69.70311567488906	72.25252845085653	66.27995100858455	69.02858879397668	75.88225041693224	75.08041505559808	65.9759526118546	73.712284013061	85.7593046917455	82.94247350591282	79.99765819851875	75.10468138184436	75.77039698004458	78.43807251382098	66.46999896479767	74.07110152025103	84.9764760141303	71.46156067319184	85.6536459237346	68.11752282209733	70.92997365598004	66.5208172107674	75.45348799528662	73.76905031199621	74.19327865087203	72.33207491178733	73.46541438259315	75.36985558299715	74.09403022936603	65.46358088096663	81.02629765567778	65.84726538558043	66.38224233818329	66.37763469229468	74.83071518824167	71.82271269880535	75.70900959219485	76.8499825672269	75.52826991263052	70.67931310175369	69.3905910476575	66.23340007621862	71.72776883937932	72.41343769498631	77.75924881370449	72.11099710279795	69.2309319357066	71.56065303350604	66.50949946504146	85.0110267355135
30000	-816.4788840102838	-26.41717606752155	-534.0466226475805	-256.01508529518173	1.7406689167797222	0.43585888129007067	2.2581089941398362	2.13849039967093	0.7310381011528273	2	2	0.7106067832909685	89.09436818762256	63.7169906097157	198.806720142363	79.2273702967639	76.61696431764707	70.79972301066014	72.05583246885789	73.33656150695072	80.28816085481012	82.25398256606633	67.46180626239291	71.73757521309243	72.74601768819929	71.86831260022304	74.55117866188857	83.92241046568442	67.43667258365939	72.28591698679539	76.56910781642817	75.89924234575568	67.9612949268982	85.70992522415719	86.08750720835276	82.95242893320247	83.14162718606762	76.92375555825907	76.9391170515704	80.24613325976887	74.29310474254936	84.22903941895892	89.09436818762256	71.82100326143002	86.60953414831161	71.09543313830814	74.07471834469361	72.39150872608423	77.75800999490393	75.43123935636261	75.18342516008376	72.39054658799614	74.03318721380072	82.19499537182926	74.38768156965155	69.78809825998832	81.10600628224643	70.41568384422303	72.79909200678816	67.25452857969915	76.21283739605825	74.53246450830123	77.11976632626894	78.83759974939153	78.75275043732792	71.21208598972966	71.9522079536843	75.05682943531802	82.30793744640368	80.90163561870702	77.79687075822994	82.51648501749062	70.80796966926842	71.84636875283812	74.59298525839347	86.8742443568966	77.75749276949142	75.95656271244832	70.47792956059122	65.98491595902061	73.22620005662284	79.85111935212332	81.90328988407167	65.989255045557	66.15608613949463	72.06224497879906	69.91080071532005	68.11592702281948	72.04686231713468	66.27343922161623	68.70931087883143	75.71171998861328	75.10334940543186	66.00617822755363	73.40061253602657	85.74289097369707	82.91480693677515	81.32173582731137	74.73102545552928	75.73358821252121	78.49904753350053	67.2825021316824	74.9475384366155	85.15716407720181	71.19286548947754	85.24778549408093	67.44534750595206	70.51186437247075	66.47149920425646	75.41516972466219	74.65607922144747	74.71714644468649	72.18425974187579	73.46102934546076	74.28168959567044	74.10834032228178	65.48472673308518	80.88262815049028	65.71017448524431	66.03531471939746	66.39482834733245	74.89716583868584	72.9618273114482	75.55708032798069	75.97819195181985	75.90143590136904	70.61677050096604	69.22631310951229	63.7169906097157	70.59620357211563	72.4283584239827	77.77718873861946	71.08888678901192	69.27534770438169	71.07677111240342	66.20752242722604	85.40374814811578
35000	-812.1345805647086	-31.72103426142792	-531.2922729578833	-249.1212733453974	0.3419211965478872	0.5404558904270922	3.132641268075509	4.230499417165911	0.4615364240917701	2	3	3.018091815743933	89.4250967421472	65.64204123242698	197.7337928460559	79.17912463148876	76.50854931225048	70.59380115357226	71.89202573446926	73.44570913312712	79.90375064243956	82.11635080844263	67.69512351699359	74.1022778542731	73.09016326425237	71.92958945355188	74.6226420914942	83.84539751328103	67.44253598292983	72.2829083747464	77.10429753436325	75.7411719267042	67.97428901074947	87.0750794185435	87.10435927986506	82.9779502415218	82.41519064819586	76.83551715105138	76.88748761732892	80.89151204510293	74.72567789649239	83.34905991414942	89.4250967421472	71.55422693819241	85.81630647271989	75.03772858850718	74.1262690058272	71.85972780470726	77.40353428455884	77.1990105001626	74.79848556569051	72.85619492621771	74.24115024211402	82.92927612276718	74.24569073433129	73.19176355439981	81.1305925092774	70.24879429913078	71.47883713858256	67.74608196193374	76.57607578996604	74.5831750747513	76.88970454685295	78.76899802602401	78.52036596275671	72.00768558435558	72.03684444786961	73.78796634513287	82.24335497202625	81.53390344775951	77.91460023179413	82.17836996367383	70.78581714621019	71.6571321929943	74.24815852958957	86.38369753868558	77.6509106645332	75.60424513580546	70.32208971633665	65.64204123242698	73.16244483718769	78.99292802932402	82.03642006560496	65.96235282919666	67.23443494740927	72.22352350124554	69.82449181028986	69.85308230886433	72.24558012784858	66.5024336818825	69.07634045194268	75.68723174700015	75.12619644646985	65.9998682374284	73.6481373771943	85.92803776479836	82.82726552381507	81.59115371826972	75.32735292281939	75.67545536494083	78.37717217330608	67.1170328639491	74.59557729285571	84.79403610849637	71.50125792624863	85.8101941721619	67.63800669263271	71.47841796914386	66.68063224412909	75.2454582826942	74.916354093041	74.67275081003203	72.08708561873232	73.36382497227802	75.08255939267252	73.64104314580258	65.95018914509836	80.93230495261575	66.02524519816775	65.78254330285257	66.01349364350236	74.83899507451812	72.65567137476371	75.67464899042345	77.07863370235847	75.85737566002157	70.30945609801368	69.23988322769185	67.9671699874331	71.84649306545202	73.13042314994627	77.58688473629542	72.20792642107804	69.2110818174806	71.56221539117377	65.92475710921008	84.46155224812722
40000	-821.9363149973476	-29.077597310797096	-539.2795064383878	-253.57921124816278	0.2711246903865903	0.38923670387937415	2.9192409749848887	4.416501333518636	0.9443828334088336	2	2	2.453918550510098	89.28516416458704	65.92144438359092	212.7397154608932	79.90381316193756	76.26339982549864	70.60459169815013	71.4673109780717	73.399943941114	80.10022549551246	82.12363674092418	67.81252433729551	74.06049674858471	72.49760908138828	72.14714821884401	76.2148002111081	83.98844004259408	67.39570753458241	72.3430099514563	76.53625742460864	75.69222572046932	68.40790862324071	86.80594487489996	86.87159816041884	82.98074957807722	82.26503837089187	76.59614199263831	77.09166798876025	80.12025746573171	74.1166583415549	83.55673671094368	89.11321513071447	71.52989246748236	85.87602820185715	72.61462009817676	74.44571839607656	73.96745059468653	77.3978357310948	76.1050744251524	74.72592858709793	72.39926699421598	74.02582945647167	82.1814661142874	74.27715585391535	72.04375488426247	81.05996500799621	69.85365161571515	73.48743975940098	67.7879064192528	78.37691154349515	74.54657524923546	76.99837643322897	78.35152252797415	79.16692198643831	71.14778873137548	72.413573303723	74.53425021354012	84.25385147389802	80.21206142330342	77.88076586358044	82.7364050877747	70.73112036631748	71.62781835135027	73.5224000243549	89.28516416458704	76.9131059248661	74.6343216952788	70.32046237307243	66.07441300841495	73.23437133859507	79.47010818500459	81.57923428637949	65.92144438359092	66.34452209864361	72.44591439895373	69.54952219333602	68.34255595189919	71.98553554803313	66.03566874255164	68.99127453907738	75.68299679449335	75.0401223631438	65.93551719123101	73.90691437457951	85.95433133585523	82.5607157727807	79.74242895911803	74.51264329139497	75.71549761674649	78.44239144578751	66.90346443341173	74.90427785871682	85.17810843079272	71.49344752858171	85.71331471285816	67.59396590247286	68.69256659604466	66.1908429410299	75.42213708660731	74.8453346045313	74.72428649512952	71.91168047372484	73.34053058861527	75.49068531404262	74.08070012180102	66.27506961387002	80.96690063324037	66.02605945293453	66.21883867102213	66.40918651989506	74.54164660359106	72.99544789763353	75.52988940585723	75.39692435330352	75.85350978862502	70.53617755414857	69.38762061977513	68.34534092872839	70.13170876107755	72.87303218044705	77.78020323778343	71.65657174241595	69.13334810979428	71.57240380535184	66.17310635470295	83.67749110505251
45000	-803.3585849874283	-29.339226951371728	-527.8099885659138	-246.20936947014275	0.15765420246296655	0.4473791013156129	3.5191220661478093	2.9151642268601528	0.8867609237575302	2	2	0.8035828266665561	89.69905716404358	65.55884836219738	197.25463579925486	78.87060742288638	76.41689996247256	70.63352746365965	71.72286654038126	73.39382789937913	80.5638951050736	82.30348546728406	67.89365164558005	74.59144927794128	72.69063999270676	71.9620394042884	74.6117797686027	83.98677060697159	67.56434187287347	72.51508872836523	76.53526370209322	75.90978496989916	68.45566127057987	84.89820786926974	86.44039866330125	82.98450476460009	83.40416479176096	76.6806089074505	77.01118706222951	80.01270299044933	73.84312224453929	83.53584090967117	89.69905716404358	72.08039760994592	86.42805741790147	71.2829893300766	74.45662091512773	73.54774008966398	77.40505819742708	75.46870241939345	74.7868459744927	72.6794424208911	74.02742209498288	82.21008809957986	74.23693085444401	71.79621542846262	81.24669498315	70.77463190173168	73.2636127541285	67.23435398381847	76.12630232833455	74.84880712842829	77.03170161144627	78.63878190605293	78.59711799264637	71.13949214779137	71.95547166745415	74.20538951511966	84.20583328560848	79.78980519147619	77.85268133958223	82.20792752010695	70.6528944104853	71.72583237384627	72.06896204705426	86.54363772649181	77.52274428203296	75.97469909803738	70.2789367792303	66.13667116525097	73.10232833811803	79.35659987359894	81.8634979472851	65.9937993009816	66.31950076722562	72.45081088114388	69.69136775423043	69.79945973520638	66.95859170406555	66.0221096996016	68.53361811184836	75.80820065143436	74.98410927625137	65.93771342781812	73.6370501858152	85.01485940101654	82.88239279574721	81.72222882289553	75.29176226479052	75.76132126437128	78.47802059380376	67.25679167353904	75.10310916515215	84.16766436062183	71.37639922987492	85.70616387151753	68.18922836580941	71.09292482226172	65.61693513669867	75.343704956037	75.0703111446186	74.60170242673749	72.30573499960643	73.25808092133582	75.34796144388324	74.22977642582352	66.45716314566408	81.00248035814353	65.95985242587004	65.55884836219738	66.32023162430528	74.73885401635525	72.199511856862	75.41375671634971	77.1150740278192	75.84125454063978	70.68967988015213	69.36816939392105	68.40802829874325	71.69416544845608	72.51523225691159	77.38240355452902	71.54465491065646	68.95399096030947	71.41911699349437	66.36537964404603	85.256451855498
