it	posterior	prior	PP_lik	BD_lik	q_0	q_1	q_2	q_3	alpha	k_birth	k_death	RJ_hp	root_age	death_age	tot_length	Acristavus_gagslarsoni_TS	Adelolophus_hutchisoni_TS	Adynomosaurus_arcanus_TS	Amurosaurus_riabinini_TS	Anasazisaurus_horneri_TS	Angulomastacator_daviesi_TS	Aralosaurus_tuberiferus_TS	Arenysaurus_ardevoli_TS	Augustynolophus_morrisi_TS	Barsboldia_sicinskii_TS	Blasisaurus_canudoi_TS	Bonapartesaurus_rionegrensis_TS	Brachylophosaurus_canadensis_TS	Canardia_garonnensis_TS	Charonosaurus_jiayinensis_TS	Corythosaurus_casuarius_TS	Corythosaurus_intermedius_TS	Edmontosaurus_annectens_TS	Edmontosaurus_regalis_TS	Eotrachodon_orientalis_TS	Glishades_ericksoni_TS	Gryposaurus_latidens_TS	Gryposaurus_monumentensis_TS	Gryposaurus_notabilis_TS	Hadrosaurus_foulkii_TS	Hypacrosaurus_altispinus_TS	Hypacrosaurus_stebingeri_TS	Jaxartosaurus_aralensis_TS	Kamuysaurus_japonicus_TS	Kazaklambia_convincens_TS	Kerberosaurus_manakini_TS	Kritosaurus_navajovius_TS	Kundurosaurus_nagornyi_TS	Lambeosaurus_lambei_TS	Lambeosaurus_magnicristatus_TS	Lapampasaurus_cholinoi_TS	Latirhinus_uitstlani_TS	Magnapaulia_laticaudus_TS	Maiasaura_peeblesorum_TS	Naashoibitosaurus_ostromi_TS	Nanningosaurus_dashiensis_TS	Nipponosaurus_sachalinensis_TS	Olorotitan_arharensis_TS	Orthomerus_dolloi_TS	Pararhabdodon_isonensis_TS	Parasaurolophus_cyrtocristatus_TS	Parasaurolophus_tubicen_TS	Parasaurolophus_walkeri_TS	Probrachylophosaurus__bergei_TS	Prosaurolophus_maximus_TS	Sahaliyania_elunchunorum_TS	Saurolophus_angustirostris_TS	Saurolophus_osborni_TS	Secernosaurus_koerneri_TS	Shantungosaurus_giganteus_TS	Tanius_laiyangensis_TS	Tsintaosaurus_spinorhinus_TS	Ugrunaaluk_kuukpikensis_TS	Velafrons_coahuilensis_TS	Wulagasaurus_dongi_TS	Zhanghenglong_yangchengensis_TS	Acristavus_gagslarsoni_TE	Adelolophus_hutchisoni_TE	Adynomosaurus_arcanus_TE	Amurosaurus_riabinini_TE	Anasazisaurus_horneri_TE	Angulomastacator_daviesi_TE	Aralosaurus_tuberiferus_TE	Arenysaurus_ardevoli_TE	Augustynolophus_morrisi_TE	Barsboldia_sicinskii_TE	Blasisaurus_canudoi_TE	Bonapartesaurus_rionegrensis_TE	Brachylophosaurus_canadensis_TE	Canardia_garonnensis_TE	Charonosaurus_jiayinensis_TE	Corythosaurus_casuarius_TE	Corythosaurus_intermedius_TE	Edmontosaurus_annectens_TE	Edmontosaurus_regalis_TE	Eotrachodon_orientalis_TE	Glishades_ericksoni_TE	Gryposaurus_latidens_TE	Gryposaurus_monumentensis_TE	Gryposaurus_notabilis_TE	Hadrosaurus_foulkii_TE	Hypacrosaurus_altispinus_TE	Hypacrosaurus_stebingeri_TE	Jaxartosaurus_aralensis_TE	Kamuysaurus_japonicus_TE	Kazaklambia_convincens_TE	Kerberosaurus_manakini_TE	Kritosaurus_navajovius_TE	Kundurosaurus_nagornyi_TE	Lambeosaurus_lambei_TE	Lambeosaurus_magnicristatus_TE	Lapampasaurus_cholinoi_TE	Latirhinus_uitstlani_TE	Magnapaulia_laticaudus_TE	Maiasaura_peeblesorum_TE	Naashoibitosaurus_ostromi_TE	Nanningosaurus_dashiensis_TE	Nipponosaurus_sachalinensis_TE	Olorotitan_arharensis_TE	Orthomerus_dolloi_TE	Pararhabdodon_isonensis_TE	Parasaurolophus_cyrtocristatus_TE	Parasaurolophus_tubicen_TE	Parasaurolophus_walkeri_TE	Probrachylophosaurus__bergei_TE	Prosaurolophus_maximus_TE	Sahaliyania_elunchunorum_TE	Saurolophus_angustirostris_TE	Saurolophus_osborni_TE	Secernosaurus_koerneri_TE	Shantungosaurus_giganteus_TE	Tanius_laiyangensis_TE	Tsintaosaurus_spinorhinus_TE	Ugrunaaluk_kuukpikensis_TE	Velafrons_coahuilensis_TE	Wulagasaurus_dongi_TE	Zhanghenglong_yangchengensis_TE
0	-1091.253772640572	-13.663641637732125	-779.4830063756642	-298.1071246271756	0.3461627630865336	0.3461627630865336	0.3461627630865336	0.3461627630865336	1.0	1	1	1	97.96337418693102	62.50747513420234	222.3530866185241	78.9289252775312	76.3676566828566	70.57135041817061	71.35526694275151	73.45181086977426	79.96786365989486	82.12950632296068	67.51682628361702	80.87154607856048	72.7121646842173	72.1073842917844	75.96964502862642	85.43047836632556	67.66220021037489	72.49226255897918	76.54829358421519	75.80372074423458	67.95709419980396	83.77147358686003	86.07902026121788	83.00365895740438	82.35246908605063	76.52601856057746	77.2522467038949	80.01436026057202	74.12359071576239	83.51259475108806	97.96337418693102	71.68738796006593	86.12697231687812	71.48973126162365	74.26641873090627	71.89803291075427	77.41318218192313	75.48743139746034	75.11384479630014	72.36956269802911	74.05335361241968	82.48661478474678	74.25263862897314	69.75434780265084	81.28928023267054	71.47745578071869	71.51027152072697	67.2167432110815	76.07507563226754	74.66383355229551	77.38399019535895	78.84872108463622	79.31754040776448	71.24662945284892	72.06719320898931	75.73613699279147	81.63749323350055	84.0058500053637	77.86123265027449	83.28604087129779	70.99477867435316	71.75569226796743	74.66802901736384	86.40732590168687	78.0068124425856	76.24353506821777	70.52108135309435	64.72183829257992	73.28559991978629	79.80226760720282	81.57428233557553	65.96862639110468	67.3485383185085	72.14625248004717	69.10646461666377	67.34402896281239	71.32869756003964	66.46179507235945	68.97333036579835	75.87566769418703	75.01683015829126	66.00428836941776	73.71863903490963	85.77313850102283	82.68812628451082	81.61669111124641	75.22380460581711	75.71487480192656	78.4935748842181	67.25211356787861	74.95178083874734	85.08948144739864	70.97532092824973	85.76453520440566	68.19109034570555	71.45596668257278	66.14674101145924	75.51665672238227	75.01719910318629	74.66642670265975	72.18073821136092	73.33441334778065	75.29835124219328	74.2043228631933	67.76111977141296	80.87846853346768	64.26244881846097	66.27438793439316	66.46762237180052	75.01827967152903	73.029966282772	75.59401124526691	76.9538380357607	75.73120713308279	70.46995376129011	69.3335272913277	66.81722334444594	62.50747513420234	71.69355276458478	77.76751409966732	70.75607621426438	68.88487091220419	71.41151888340697	64.02136056769928	85.30020241106533
5000	-854.7536361367972	-25.78217283593737	-557.0653100655104	-271.9061532353495	0.4127153920755121	0.3434361790468725	1.8519858905981514	2.355373182053284	0.5790974502237073	2	2	3.7864059828959977	98.47618944800108	62.99551344135001	227.65398373012363	78.93643798728567	76.38885408893331	70.55860563339846	72.98739999327232	73.41491028511236	79.94736864464706	83.3553824589749	67.423033509542	79.02416357452638	72.46401353498032	72.22652762698293	75.49462489972908	87.20273181957364	67.41258997124264	72.07131927955837	76.60970581093028	75.7762828557281	68.21056767485705	83.66302168269918	88.528112388323	83.88868313070387	82.3463826608959	76.61146128773065	77.30128876295035	80.06870508282678	73.98785828400742	83.90808762761348	98.47618944800108	71.56841792781186	86.14331079456947	72.58363965890547	74.27323903003392	73.65674954823292	77.52253999019953	76.8983641542093	74.7266674609186	72.5608699279986	74.32982810720173	82.21711627940063	74.92425278873135	70.2020458756345	81.18838091790339	70.43866854231604	72.34164319563871	67.18726086490109	76.26917301313821	74.74814349308437	76.9130427657119	78.63438618839676	78.34803596136138	71.61190483780325	72.047536433067	74.13820873525985	82.07744126494154	80.0809876740372	77.81333495579057	82.0421291334563	70.61705497464142	71.67418659525201	75.47383882870204	86.34758391535279	77.90693646745015	76.2475693832398	70.5133554147465	64.94560317096332	73.13150484097122	78.95702964383982	81.2395355662598	66.03375312862354	66.60183414995792	72.414744475321	69.6985856731123	69.9208286210763	72.28826585232156	66.39373730374909	68.97655512656706	75.88253250300474	75.00069217410416	65.82349578917675	73.02106057446434	85.40749259430235	82.74911120255358	81.73923063076667	74.79594185807824	75.76974985120194	78.30202742622423	67.13841006558665	74.71484625526263	85.06034302955928	71.4855704602831	85.10154493562257	68.1874205669738	71.45258428851527	66.28031327611578	75.323455985036	74.57473171581071	74.714922566345	71.8145078186479	73.23142499840888	74.57793414574212	73.60241546215266	67.4605085971831	80.88412235168983	65.7540998679762	65.93715096269177	66.48474844410174	74.91858829716121	72.80761824255704	75.50385442672533	76.09231124403283	75.93021952437479	69.71495362246363	68.82290985677261	68.47688771989588	62.99551344135001	71.48513023146867	76.65485122898451	71.32920507288544	69.26969339953712	70.3358764268301	65.0060752391165	85.34439291956957
10000	-853.3351818558937	-31.631801048581956	-556.3818559201716	-265.3215248871402	0.3527008311724374	0.3188225987679726	3.765839002687338	3.2842334296278692	0.8907765227560333	3	2	1.5510242030297239	95.58887764975407	63.438697969039936	213.6154468296063	78.99637188466544	76.44404957548214	70.53163073409453	72.08386531846006	73.68590818382616	80.08988561326522	82.71266140849406	68.36180902246232	76.46840207066764	72.53570513824661	71.85150159455236	74.61753975631927	84.87077683163429	67.6742011226959	72.66449281187975	76.60823547837603	75.76187160323548	67.94825233534166	83.70778149328075	88.12032595585643	83.59137137927013	82.53829370954442	76.54930495052213	77.32935362536539	80.50298894688468	73.94733327625377	83.36874427216674	95.58887764975407	71.67989460825319	85.95117260594812	71.14657937466387	74.26297225514593	72.59593695338607	77.53420284296055	75.41507635796965	74.76254584533359	72.77070066984938	74.15922882314868	82.27319630917518	74.26794931776924	69.95708123406742	81.23486921254647	70.17908399691174	72.33084179077264	67.34758558297621	76.3512129941643	74.58898000203482	77.11218598861755	78.35981763396067	78.56423041798277	71.96202477247392	72.20655667920919	75.79178701870036	81.45841680859688	80.0772951948066	77.8654398495174	81.73265955070617	70.88679220362546	71.73779061919043	73.19264854301974	86.00367418965712	77.9057473615031	75.87525087365668	70.50696003364402	66.00384302639026	73.16908427584798	78.37991879520693	82.01426103186078	65.32721276767128	66.43047002740526	72.05041747210807	69.49587749340225	67.59457312355094	70.7312173448001	66.32836874897072	68.98746049682337	75.90264717160623	74.8736201904889	65.80553597248232	73.77174465041703	85.91793238266163	82.36063649196352	81.80555483328924	74.98073986104146	75.78154698570157	77.76616662142033	66.97723620643201	74.82798722490213	84.67541912797164	71.46034864788292	85.67746472687404	68.1657491438821	71.47505792099716	65.8644387811342	75.52045334064637	74.52930552164617	74.29843355556703	72.18507694400016	73.08957420932471	73.86330692404493	74.22338749499382	67.62158139484228	80.99776746967059	66.01595216627354	64.79043738717372	66.49572982426056	74.88618625865209	73.01289383847913	75.4095775207335	75.71714539247064	73.98405026620838	69.32525560636446	69.38490570136682	68.57485063549683	63.438697969039936	72.65608353924526	77.75362488460854	72.22451648403639	68.93601926729586	71.51515929707527	66.49880104821747	85.45725540440782
15000	-801.1281564364482	-33.03090189551617	-525.5551048168961	-242.54214972403588	1.1620528833528432	0.4544917166470815	2.898798294167761	2.5644185489965268	0.5702784371836322	3	2	3.7391334174372917	92.07745602790017	65.2106954380932	208.69591660683227	79.19707170067925	76.36101042224047	71.17132159445103	71.65454285262626	73.38550960271873	79.90071364227774	82.04279341761843	67.52522927926606	77.78788030529385	72.47586944121264	72.46645747843577	77.62001433008267	83.81010314597428	67.41061264860998	72.09710861863479	76.63077106752726	75.672166438613	67.95528966738999	84.78876696694881	86.18544038331922	83.00822241050086	82.44108503011482	77.12182481512524	77.20338470027414	80.97655685196987	74.11111943294196	83.57355934816493	92.07745602790017	71.6934783361415	85.8620101199198	70.96336209780563	74.07749419717545	72.11501138413038	77.43132410684547	75.4070421387091	74.76305963748165	72.43774955410336	74.6003599637053	81.84246806974946	74.46031932135372	70.00312020437434	81.12461950761048	72.24952540998159	72.05745194730713	67.29062138271843	76.19759153580338	74.59831322763426	77.2216141740243	78.63570021340311	78.3692384697022	72.14432458792037	72.06830945806226	74.10042266468162	81.55188678794865	79.82353370473332	78.05763920613988	81.83284665785276	70.64343413011484	71.80834598230945	71.7773233875021	86.10637450958183	78.0259751932246	76.18818812541092	70.41029245654885	65.95203070871955	73.15375955979253	79.89429375709938	82.03103233119604	65.9334649370749	66.46018827195653	72.03326911389686	68.05239015943103	65.97585758743821	72.08984664006253	66.26578018515703	68.66701034951868	75.64512982074905	75.11843572573528	66.05780443959026	73.8877194244476	84.65671184607055	82.6603312574918	81.55815343989784	75.26371536232237	75.68959816744855	78.0683639362648	66.69570923516791	74.82710108512958	82.28623621101248	71.12720286818055	85.44886016624021	67.64110939598096	71.50968998020802	65.96235050232896	75.4028694247294	74.9679786947871	74.72393253740378	72.28208714858644	73.1139605890677	74.78079450752664	73.94880999966358	66.06567881766955	80.62380018861415	65.2106954380932	66.03068148041449	66.44979401558516	75.0211257977725	72.94910730044248	75.33450731614863	76.85683468745955	75.758490476798	69.67265844551162	69.35634893588406	68.41503405797285	65.80826830621223	72.89258406584352	77.7336627229638	72.07215429561936	69.19199764448827	71.33636939169843	65.94158128234733	84.09247128050883
20000	-795.1623325047126	-32.21043205047029	-511.3844141779054	-251.56748627633687	1.006926844832714	0.7836450275589225	2.9279353387246347	3.386003764956732	0.5683559978997348	3	2	1.1549908433615963	90.6641665791135	64.53666700691568	203.9037572313581	78.83553126344238	76.37359377336429	70.6354019421746	71.76295205425122	73.4041021162741	79.9328325879592	82.03936996798733	67.52153940281467	74.74630731536716	72.54108798388518	72.5767509213284	77.37994990461183	83.51410078569286	67.45389261242435	72.04706087759973	76.60520990841438	75.7438204621817	68.0723500070589	84.2004934795648	86.24445622996257	82.95124045064468	82.26264143716244	76.79110790331457	77.11651389034647	80.05423743210636	73.88397152619852	85.21578526704475	90.6641665791135	71.51969336345662	85.87593516277335	71.7308461349731	74.30040153545356	72.31154218820076	77.40054384941689	75.47737350080199	74.76852057420972	72.35785285878761	74.3358103065271	81.88189219014056	74.36356716668914	72.14629077201485	81.05022656751547	70.28236422099579	72.2543226699292	67.35141280182373	77.1645543803897	74.53109498488786	77.35949497104112	78.48562410867271	79.18583416009345	71.40620549896153	72.39170163878781	74.00643553590376	81.46042975507753	79.96935480453686	77.82404532391115	81.75699927455719	70.83873033866698	71.71359651419691	71.74562286965005	86.37572523188747	78.08041898222095	75.86921591788516	70.34140321201379	66.05833924179477	73.30137411206842	79.47482354170315	82.03630822614764	66.0049231514174	65.8918191525124	72.41875650636227	69.79408253854996	66.0297589299297	72.00410903433475	66.30295559992705	68.93727356027932	75.82855857949285	75.04784748003101	66.06873312478076	73.62318737221851	83.59213158131051	82.92603164974864	81.62048815219855	74.8395850386905	75.75199400320383	77.91228760983769	67.1955684869111	74.93531122824176	81.89873060307887	71.49968342771933	85.58420378263258	67.27960557801701	71.39280061794743	65.2057324982993	75.35766397765809	74.68050506067642	74.66675574846438	72.31618229705718	73.42647672407611	74.61703175507625	74.1919312633442	66.5707772304768	80.25853264601776	65.6029867393913	65.86247400358876	66.51885983761805	75.04066739441433	72.81684571534471	75.76065504125177	77.13602845377919	75.92584422969124	70.43431876333813	69.32295094168468	67.73537671538885	64.53666700691568	73.1043401319484	77.67774801973448	72.03989755331241	69.27967865076964	71.55028577645194	65.79841783295105	85.31281407393554
25000	-819.966266825955	-38.97041216257133	-529.594817835915	-251.40103682746872	0.5040616819149585	0.4962919113700735	3.0350788312075028	4.111804873676553	0.8493910223835921	4	2	0.9792389033219573	89.06014885490815	65.64921368831537	201.58796915211585	79.66668803894984	76.90429129968818	70.5306860504183	72.54635178416831	73.3420368361587	80.13634511927951	82.0691587775128	67.65021115967122	73.89927824257317	72.5174901160541	72.84663741678537	77.30518636398482	83.87625336113159	67.66791873641937	72.52082565399778	76.70905264819913	75.70202113297806	68.14057317615237	84.20579765823364	87.57937860349188	82.95649296079607	82.26037763655725	76.69239920675375	76.98537551256673	80.19193339273446	74.5602070209596	83.33234939719286	89.06014885490815	71.56210314073593	86.84828546826186	71.74629913910016	74.53801304747856	72.69806281179949	77.5445440873673	75.72722209369498	75.01585914694473	72.85753262734758	74.00204989473184	82.0163404894231	74.43996182002027	72.85228361222468	81.36775474168337	70.16401585348703	71.42654895306374	67.33696795011055	76.18600565570163	74.65040567538885	76.94218017941444	78.74702558899585	78.58992048940291	71.198431659933	72.15174038305362	74.79764202037939	82.66556426282375	80.35084798513022	77.92588950241415	81.80697341662659	70.7030131936054	71.64609715727629	72.5993172327421	86.21372597533099	77.58758269868125	76.00976870901985	70.48034140440723	65.65122991692196	73.04252644535609	79.42886659345334	81.54370869293977	65.70620398582098	67.11797114196177	72.43296079840081	69.89537581090666	68.81376664805963	72.29900363268085	66.5405672046448	68.98865339086711	75.90314137616535	75.10627216763083	66.04593874526967	73.85122920515526	85.07061491996349	82.87000672943967	81.74003817709519	74.58013875093216	75.71456675949868	78.14455494906575	65.64921368831537	74.77641679202405	84.21947627913369	71.30079125859888	85.1848931974734	66.148607592844	71.22573223244558	66.67445299163911	75.42669047762777	75.07267605401677	74.68702795540055	71.93945662877356	73.440593118785	75.23329050851093	74.04610812212546	65.65950948568872	80.68473584863978	65.94438501375765	66.24467998478158	66.44384671715795	74.53818752526989	73.07767892730995	75.58726153884598	77.12385013916328	75.95879150637805	70.5297932429514	68.86085172049802	67.80301053683058	66.6507624135167	73.11498841847472	77.69848511062584	71.90342580027277	69.07632927780784	71.52264286595705	66.25936397649234	85.31308645942309
30000	-780.6871673892093	-30.659100209981027	-511.5724963506254	-238.4555708286029	0.2831708222086753	0.4190664922000675	4.213797030943725	5.245254498164456	0.9103482781443478	2	2	2.3460164995213186	90.42469989533993	65.01106416219231	197.6864619701089	78.87876293687901	76.4858096016381	70.75770092848916	71.82487428944484	73.33357598735216	79.94305550143012	82.4536684152567	67.97668310348811	72.48984285486505	72.55925754266286	72.05514385210085	75.96307173310728	84.13718859984235	67.94566688401547	72.14242935830417	76.53364598830791	75.88845218570522	67.95775933131534	84.24138918483843	86.0938752639317	82.94752462837288	82.21060372724902	76.67985398363342	76.900858944267	80.22004538718525	74.08419133827178	83.33319519733548	90.42469989533993	71.6290642191335	86.39504503737086	71.27896948137249	74.26351335926805	73.20540842493459	77.4634937225691	75.48917533245395	74.7946950654966	72.36435657507404	74.06702399301126	82.0156458956919	74.56684640848289	71.23968634838477	81.23645014973691	70.5668864775875	71.5522441374595	67.39863051662182	76.53335880972399	74.50690435787219	77.09033927114947	78.71288112530684	78.54276197655741	71.52348534704265	71.9539391320245	74.65532856763406	81.72240500330746	80.24941266217193	77.81284670022201	82.46108440582043	70.6605422646748	71.5954698985004	72.42376257931382	85.92345347169163	78.1019540928608	76.24302724384438	70.46476977983797	66.1202028615969	73.1128962385889	79.86490340285151	81.96040076785151	65.99755561801456	67.26854580001039	72.3629241650137	69.39751418140331	69.45015096855114	71.3826264789326	65.99018238333959	68.78389394383893	75.84857769338919	75.11358635055673	65.94726765280645	72.4340493652547	85.87087442378561	82.86158514092034	81.90567860253549	75.45618275012241	75.70110303870702	78.16541288999976	67.27520508706179	74.24178832715197	85.09065642411457	71.45198826774507	85.2104433333952	65.86362398087806	71.31009611206653	66.09330700302459	75.32416164676451	74.64307410221356	74.10524233816952	72.3455266498405	73.38050815768871	75.41555588657472	74.22904075945343	65.99351314214285	80.95138880152759	65.52564183569395	65.92157250257941	66.49330255158263	75.03498847360517	73.09520505196008	75.46795322382272	75.88221060325326	75.57010290292904	70.61575083163956	69.26778100362533	65.01106416219231	65.85315191661633	70.46395716592978	77.64713555212433	72.09590307547366	68.73016699753775	71.5369150023178	66.34052008267174	85.38716660220216
35000	-819.6420627323408	-40.49606225276068	-532.2585181586941	-246.88748232088608	0.4098878503381956	0.33483785133016397	3.404308282029511	5.099405280170076	0.8514204568972209	2	5	2.9804151029490176	90.18661045385694	64.60332690038547	193.16179588444413	79.33564030539874	76.87964358654878	70.53266876021064	71.32724352536508	73.42883557948184	79.92133101574223	82.05268758818607	67.43786495130524	71.83742321536978	72.49938512792573	71.77262622502539	75.49040136600874	84.56355212919995	67.49206808680177	71.99492235936206	76.54936013537711	75.8228747254116	68.13046257754954	83.80497850675395	86.23652320877596	83.5423667792868	82.16833922471903	76.51646511799888	76.90037266054361	80.03195185398714	74.1059170273938	83.37116262572337	90.18661045385694	71.55383242895113	85.98324639669444	71.9504737654836	74.07390225152356	75.2118024532593	77.45707612809882	75.4062232678925	74.86299857861762	72.4392387962897	74.24456797004535	82.04134616160177	74.2470275579062	71.32850960184685	81.40306510439838	69.88358308149702	71.55797372545867	67.3903040950293	76.76991853518987	74.68026549170953	77.63488408727066	78.47086738120407	78.73939900181469	72.426401897253	72.25761206486506	74.02535914155862	81.46959041416369	80.58974105829311	77.88632220181499	82.0486418296928	71.29386693094881	71.9660559904566	71.53902499096132	86.00121588039757	77.78056357960692	76.06280768986336	70.44785278486134	65.72284187271055	73.02697984579288	79.56977771070113	81.87383277690333	65.63628913810608	67.21087181083126	72.38987096335207	68.78871977601763	68.70141747168665	72.37168964226785	66.37619511374996	68.48973063648965	75.87440406026185	75.02472837570208	65.77875392474103	73.85828516671218	85.65760590582778	82.94066902795038	81.79768629438937	75.3282940727806	75.54611765580086	78.34953421339624	67.18245121288723	74.30217758606325	85.10041351795981	71.15344734152708	85.74006754414356	66.91953529903041	71.51247552127941	66.69051936936465	75.429902026441	74.85652480178929	74.27202643386858	72.24908073661291	73.4207117998418	75.10476897029876	74.13825765676822	67.5707288720339	81.0091007023417	65.64644266418544	66.26064834329291	66.37996907639517	75.07091066623896	72.85911424985686	75.53954402501887	77.0821572173977	75.79827428124042	70.68526577826366	69.06958553219003	66.58798441610405	64.60332690038547	72.63738327381543	77.5270976359229	71.25238310762587	67.86803143829127	71.54321683841043	66.5153577861412	85.42181896352301
40000	-785.1934122327042	-29.757426394937156	-512.8293232929867	-242.6066625447803	0.577273119429372	0.5980285748307276	4.459663315194495	4.069428677467729	1.0871780264502013	2	2	1.0234023226534654	89.08465442220019	65.81621638069663	191.35621576805408	78.88174388576535	76.3370245467494	70.67841839684903	71.35001984684651	73.49710291309651	80.29352005028605	82.03871202510912	67.4517783810124	72.23406320329956	72.68004802270183	71.73685241519975	75.21450532129988	84.39608681967718	67.78631955191985	72.70090959484463	76.64718184289913	75.66998299323085	68.01737807683445	83.98082194940355	86.31527214690914	83.00876644940118	82.26283483938693	76.68794194832967	77.06465573535485	80.25610351518574	73.84225166075437	84.23413057948916	89.08465442220019	71.5574568645921	87.372212796308	71.14894561911007	74.62116602468373	74.11208802709898	77.42758194562576	75.42493398284469	74.79103460013123	72.67423619312	74.0092045029963	81.87978979167882	74.3859139823613	69.88820085335952	81.47764398659523	71.6350368349652	72.22536735699862	67.32545345170435	76.30910729756873	74.82128982464798	78.71492808585371	78.7484506609019	78.54105490216872	71.17924389734594	72.38323733798212	73.95838615233187	81.6830608030189	80.10611859659721	77.91719358646795	82.67247550294631	70.58653632075554	71.69422966218043	71.56608625066953	86.52560896286441	78.08421848984322	76.181461679897	70.52424379998659	66.04254281207659	73.27870549098317	79.69669406436489	82.03363100750086	65.98400687695084	66.32398504337968	72.41865499734689	69.19824680197601	68.50798325740236	72.23266881408139	66.52006362193266	68.904453297866	75.9080368830455	75.0576106107561	66.01583285354785	73.32499751156794	85.68756049018663	82.87944444483183	81.66567199149699	75.33054932539505	75.61984977122692	77.33888857439914	67.20013264447624	74.81327844124769	83.28222373532029	71.48589441600247	85.45872466482172	65.90212746110939	71.52088941373303	66.05555354428569	75.30815738794377	75.03173879578418	74.47663252355758	72.3451747759296	73.39547780067974	75.34457051046893	74.1404620863006	66.5197830535874	80.99450019118866	65.81621638069663	66.16760429312731	66.50872753850075	74.84496533801259	72.70955417201483	75.39117597004389	77.08990142614245	75.88750279092994	70.26320790748385	68.35136472776108	67.39175890984413	69.2672053556873	73.02089495708005	77.75944812163343	71.93765333243957	69.07366270560482	71.56786789926207	66.21677041267489	85.05533382703864
45000	-804.997565879669	-31.91852880192235	-533.0890191267019	-239.9900179510447	0.38775039214124896	0.6688732222583746	3.5508686518912427	2.942974499032785	0.7885875965027215	2	3	1.3934157979783484	90.30842610602038	65.48090939126291	194.13701127249925	78.85554169290816	76.3296310354582	70.73909533791075	71.47836342556893	73.52258262137869	79.95200682268786	82.17733848907977	67.93149502665848	72.20423036222734	72.90820200069695	71.74045697992605	76.18345624710405	84.48789982214309	67.39151717067125	72.32875961540928	76.84437475169513	75.8385288958506	67.98612570000812	84.15173284802795	86.10572534184433	83.1519284129962	82.57433711734708	76.60847301913105	77.28785296251547	80.91903633303413	73.97870818066122	84.33296561828283	90.30842610602038	71.50711058171348	86.44020814356685	71.85765249950259	74.21433982218001	71.97908516647674	77.45113000783243	75.49951160916072	74.89542919692093	72.9937152105437	74.23222983660364	82.27781146064089	74.26741621613148	70.65960877868883	81.29047952470962	69.73733497914374	71.73292118354927	67.59719331082879	76.51487241324223	74.72931519975093	76.94002733070427	79.43196769531032	78.99640851815738	71.35880234509708	72.08704910535496	73.98837751304762	81.35516030762876	79.6395504531523	77.93584077067554	81.99989583694173	70.71984690924396	71.87559361854785	72.23455557000952	86.25789626059682	78.11622993769812	76.20458440713098	70.46950905406311	65.99684236673188	73.26863133656092	79.79359517221077	81.973360969902	65.95401296841789	65.48090939126291	71.78766060692865	69.46399954947232	68.84513397394507	72.38916503162201	66.41410665460316	68.7333280108566	75.83562123354716	75.12994193200632	66.06748878617572	73.7416821316248	85.746821393505	82.83939642646585	81.91250816108382	75.44331387690227	75.70541385253358	78.2358531637793	66.15364833954973	74.5703394084051	85.17787940159604	71.05089678518364	85.73889769562682	66.30919270211714	70.89126082444338	65.64318312011835	75.17524120543193	74.80181541429116	73.72768836178992	72.06425935611757	73.4337448386681	75.23868062976926	74.21518592570004	67.78459192159023	80.99434670199597	66.06578586503419	66.33188202441326	66.20715223337554	74.9982317607024	73.00694283999557	75.51744862433094	76.2553605009726	75.82401523782951	70.46056547133249	69.33834506725958	67.56517474101442	66.28490184649297	72.0266108347582	77.77545316994149	71.89659656173833	69.21763500064608	71.37168829386493	66.2427549470773	83.97360999819462
