Species	Status
Achelousaurus_horneri	extinct
Acheroraptor_temertyorum	extinct
Achillobator_giganticus	extinct
Acristavus_gagslarsoni	extinct
Adasaurus_mongoliensis	extinct
Adelolophus_hutchisoni	extinct
Adynomosaurus_arcanus	extinct
Agujaceratops_mariscalensis	extinct
Agujaceratops_mavericus	extinct
Ahshislepelta_minor	extinct
Akainacephalus_johnsoni	extinct
Albertaceratops_nesmoi	extinct
Albertavenator_curriei	extinct
Albertosaurus_sarcophagus	extinct
Aletopelta__coombsi	extinct
Alioramus_altai	extinct
Alioramus_remotus	extinct
Almas_ukhaa	extinct
Amurosaurus_riabinini	extinct
Anasazisaurus_horneri	extinct
Anchiceratops_ornatus	extinct
Anchiornis_huxleyi	extinct
Angulomastacator_daviesi	extinct
Ankylosaurus_magniventris	extinct
Anodontosaurus_inceptus	extinct
Anodontosaurus_lambei	extinct
Aralosaurus_tuberiferus	extinct
Archaeornithoides_deinosauriscus	extinct
Arenysaurus_ardevoli	extinct
Arrhinoceratops_brachyops	extinct
Atrociraptor_marshalli	extinct
Augustynolophus_morrisi	extinct
Aurornis_xui	extinct
Austroraptor_cabazai	extinct
Avaceratops_lammersi	extinct
Balaur_bondoc	extinct
Bambiraptor_feinbergi	extinct
Barsboldia_sicinskii	extinct
Bissektipelta__archibaldi	extinct
Bistahieversor_sealeyi	extinct
Blasisaurus_canudoi	extinct
Bonapartesaurus_rionegrensis	extinct
Boreonykus_certekorum	extinct
Borogovia_gracilicrus	extinct
Brachyceratops_montanensis	extinct
Brachylophosaurus_canadensis	extinct
Bravoceratops_polyphemus	extinct
Buitreraptor_gonzalezorum	extinct
Byronosaurus_jaffei	extinct
Caihong_juji	extinct
Canardia_garonnensis	extinct
Cedarpelta_bilbeyhallorum	extinct
Centrosaurus_apertus	extinct
Changyuraptor_yangi	extinct
Charonosaurus_jiayinensis	extinct
Chasmosaurus_belli	extinct
Chasmosaurus_russelli	extinct
Chuanqilong_chaoyangensis	extinct
Coahuilaceratops_magnacuerna	extinct
Coronosaurus_brinkmani	extinct
Corythosaurus_casuarius	extinct
Corythosaurus_intermedius	extinct
Crichtonpelta__benxiensis	extinct
Crichtonsaurus_bohlini	extinct
Crittendenceratops_krzyzanowskii	extinct
Dakotaraptor_steini	extinct
Daliansaurus_liaoningensis	extinct
Daspletosaurus_horneri	extinct
Daspletosaurus_novsp	extinct
Daspletosaurus_torosus	extinct
Deinonychus_antirrhopus	extinct
Diabloceratops_eatoni	extinct
Dineobellator_notohesperus	extinct
Dromaeosauroides_bornholmensis	extinct
Dromaeosaurus_albertensis	extinct
Dynamoterror__dynastes	extinct
Dyoplosaurus_acutosquameus	extinct
Edmontosaurus_annectens	extinct
Edmontosaurus_regalis	extinct
Einiosaurus_procurvicornis	extinct
EK_troodontid	extinct
Eosinopteryx_brevipenna	extinct
Eotrachodon_orientalis	extinct
Eotriceratops_xerinsularis	extinct
Euoplocephalus_tutus	extinct
Geminiraptor_suarezarum	extinct
Glishades_ericksoni	extinct
Gobisaurus_domoculus	extinct
Gobivenator_mongoliensis	extinct
Gorgosaurus_libratus	extinct
Graciliraptor_lujiatunensis	extinct
Gryposaurus_latidens	extinct
Gryposaurus_monumentensis	extinct
Gryposaurus_notabilis	extinct
Hadrosaurus_foulkii	extinct
Halszkaraptor_escuilliei	extinct
Hesperonychus_elizabethae	extinct
Hesperornithoides_miessleri	extinct
Hulsanpes_perlei	extinct
Hypacrosaurus_altispinus	extinct
Hypacrosaurus_stebingeri	extinct
Indet_troodontid	extinct
Itemirus_medullaris	extinct
Jaxartosaurus_aralensis	extinct
Jianianhualong_tengi	extinct
Jinfengopteryx_elegans	extinct
Jinfengopteryx_novsp	extinct
Jinyunpelta_sinensis	extinct
Judiceratops_tigris	extinct
Kamuysaurus_japonicus	extinct
Kazaklambia_convincens	extinct
Kerberosaurus_manakini	extinct
Koparion_douglassi	extinct
Kosmoceratops_richardsoni	extinct
Kritosaurus_navajovius	extinct
