it	posterior	prior	PP_lik	BD_lik	q_0	q_1	q_2	q_3	q_4	q_5	q_6	q_7	q_8	q_9	q_10	q_11	q_12	alpha	k_birth	k_death	RJ_hp	root_age	death_age	tot_length	Albertavenator_curriei_TS	Almas_ukhaa_TS	Anchiornis_huxleyi_TS	Archaeornithoides_deinosauriscus_TS	Aurornis_xui_TS	Borogovia_gracilicrus_TS	Byronosaurus_jaffei_TS	Caihong_juji_TS	Daliansaurus_liaoningensis_TS	EK_troodontid_TS	Eosinopteryx_brevipenna_TS	Geminiraptor_suarezarum_TS	Gobivenator_mongoliensis_TS	Hesperornithoides_miessleri_TS	Indet_troodontid_TS	Jianianhualong_tengi_TS	Jinfengopteryx_elegans_TS	Jinfengopteryx_novsp_TS	Koparion_douglassi_TS	Latenivenatrix_mcmasterae_TS	Liaoningvenator_curriei_TS	Linhevenator_tani_TS	Mei_long_TS	Pectinodon_bakkeri_TS	Philovenator_curriei_TS	Saurornithoides_mongoliensis_TS	Sinornithoides_youngi_TS	Sinovenator_changii_TS	Sinusonasus_magnodens_TS	Stenonychosaurus_inequalis_TS	Talos_sampsoni_TS	Tochisaurus_nemegtensis_TS	Troodon_formosus_TS	Urbacodon_itemirensis_TS	Xiaotingia_zhengi_TS	Xixiasaurus_henanensis_TS	Zanabazar_junior_TS	Albertavenator_curriei_TE	Almas_ukhaa_TE	Anchiornis_huxleyi_TE	Archaeornithoides_deinosauriscus_TE	Aurornis_xui_TE	Borogovia_gracilicrus_TE	Byronosaurus_jaffei_TE	Caihong_juji_TE	Daliansaurus_liaoningensis_TE	EK_troodontid_TE	Eosinopteryx_brevipenna_TE	Geminiraptor_suarezarum_TE	Gobivenator_mongoliensis_TE	Hesperornithoides_miessleri_TE	Indet_troodontid_TE	Jianianhualong_tengi_TE	Jinfengopteryx_elegans_TE	Jinfengopteryx_novsp_TE	Koparion_douglassi_TE	Latenivenatrix_mcmasterae_TE	Liaoningvenator_curriei_TE	Linhevenator_tani_TE	Mei_long_TE	Pectinodon_bakkeri_TE	Philovenator_curriei_TE	Saurornithoides_mongoliensis_TE	Sinornithoides_youngi_TE	Sinovenator_changii_TE	Sinusonasus_magnodens_TE	Stenonychosaurus_inequalis_TE	Talos_sampsoni_TE	Tochisaurus_nemegtensis_TE	Troodon_formosus_TE	Urbacodon_itemirensis_TE	Xiaotingia_zhengi_TE	Xixiasaurus_henanensis_TE	Zanabazar_junior_TE
0	-487.37993081028526	-20.554211110774514	-316.59062315643695	-150.23509654307378	0.6534816126871996	0.6534816126871996	0.6534816126871996	0.6534816126871996	0.6534816126871996	0.6534816126871996	0.6534816126871996	0.6534816126871996	0.6534816126871996	0.6534816126871996	0.6534816126871996	0.6534816126871996	0.6534816126871996	1.0	1	1	1	162.38927865840492	65.70927431307271	84.5788116467974	71.70898602620493	73.72418525726914	162.38927865840492	72.46783594144173	161.2140377194924	70.72488184250892	73.81414802239442	155.66120397560522	123.16518424577917	101.80240136710026	154.08432293268666	111.14192161652144	76.16486496040211	148.1537309904485	76.89242111788329	127.15569106133995	139.32826681387706	75.78164764748573	150.70185195880885	75.89203171317494	134.10375848510375	73.5953860727136	131.1924250550116	68.96017366178475	71.16095479154461	74.95664154802776	113.20158782835256	125.50743756746668	102.84239006105362	76.51337220143854	74.9962726240034	70.05013728084937	80.80601798654979	100.59310700124387	156.34211202234894	73.14221051932513	71.08676451698382	71.11819435615858	71.85229939242082	151.9543031239496	72.18756509374309	161.15273219231034	70.57313213460597	71.42320558151306	155.40063476787103	122.84465427573019	101.50475254293023	153.664167681705	110.91995412868322	73.0969692375275	148.02703390143148	72.63588044649276	120.56480319596105	139.2380340224647	68.54371396881388	150.59915947050456	75.30081446910548	133.98621501335782	73.49990880245508	121.24267345125065	65.70927431307271	70.97962944374962	70.54220257773495	113.14036042041701	122.45435323311209	102.59814292587703	75.68134499226203	73.96873404583914	69.87380713806725	67.25294235388336	94.79817759677223	156.04236892863244	72.82857853872646	69.24011368670166
5000	-471.885780109704	-27.603620686355995	-299.2537228172642	-145.0284366060838	0.48631021953377296	0.4349279618668913	0.8216662658445921	1.3845699862205056	0.8166351548625287	0.2645608180643255	0.5665859222910091	0.5497340470698897	0.5602812356845136	0.7360048191290681	1.0540407048324238	2.1068781047964484	0.7695860808702588	0.8944903823459901	1	2	1.407137539020326	162.56634971992713	65.58429541062877	95.83847017184637	71.63033907978678	74.19876869646738	162.56634971992713	72.29194055181513	161.2227974205947	70.9670082540339	74.60969884212273	157.6358347596039	124.8701388017288	103.09321280145058	153.93982977666008	111.76604685416211	74.55293850937663	148.5652874220482	77.15430463142441	125.1312743580241	139.33827730591975	74.7176924966196	151.05607028792178	76.27732227951103	134.08399426907584	73.71387080141959	127.60975780303161	68.92077065735658	71.19597049318952	74.51670516900786	113.51286463846749	126.4391968247856	102.9228569771873	76.60448228229296	75.07614416625682	70.05083655857162	81.133263520628	101.03085107155736	157.8177283103663	73.08904246670474	71.23576432391634	70.98635048871644	71.1405115599744	152.84956814314452	72.08189205947605	158.81486696043834	70.5513692878767	70.65044943859644	155.40552847412138	122.32801351905871	99.77749359770569	152.72191865744972	110.04875166867534	73.58395605554819	148.04529662395808	72.76342326929867	120.18516396924969	139.3017155991119	72.19619030695175	149.76456241479568	75.27070119201386	132.47362718662038	73.28784596725109	121.78899996300255	65.58429541062877	70.80855054537751	69.86419533155986	113.13535274908523	121.65881882807871	102.7806424650126	75.86825953997774	74.01318011347381	69.90656171033194	67.2234324759675	94.61007739581191	155.6195965714953	72.15788725100161	69.45171622032987
10000	-454.33689734950474	-23.66424687292232	-290.7615071778372	-139.91114329874523	0.7113412770534819	0.37668317929973144	2.4773826817124585	0.9587115326051401	0.5427264830824896	0.33817980828160543	0.7099516284921744	0.546724759476815	0.5160326939952252	0.08463037034801979	0.6830497706978889	2.1727565997640643	1.1018549739017036	1.4597532251498524	1	1	1.046116347623003	162.67782643377777	65.76027401310726	88.6603260730092	72.41494163225396	73.84503002938631	162.67782643377777	72.43767973387938	161.3521627206237	70.64043311364532	74.42242559046181	155.68335190708473	123.50832554241222	101.80669936593905	154.30821620594756	111.55374689674267	74.90098243861725	149.4044363582588	77.4742255338527	125.27694024382866	141.6611651219867	74.32155711889523	150.89812609917752	75.92319614447688	134.1221756491032	74.81446379432707	127.77239632639477	68.66146068261668	71.1767480768419	74.7165545792598	113.53881819431295	125.69365702879638	102.97959235208855	76.6437623165513	75.26985461551638	69.96901390797171	80.82488950384334	100.49968540723039	156.57630912685417	73.05417105366739	71.094361710197	71.00424054234443	71.63916944950155	152.60090385904678	72.00708924339872	160.9327856725206	70.6264898561967	71.47133532629975	154.97906271904853	122.00669836741832	100.77558520276756	153.2161812927555	110.84657920518606	72.45637351389601	148.10029813262793	72.66288588425535	121.59887871112878	139.1432405258802	68.9548104282161	150.49702118843283	75.047584328614	133.83975623543594	73.4705622433039	121.90293103256941	65.76027401310726	71.05240294043634	70.85703356207672	112.9112008034817	121.4831985269113	100.6843528992344	75.86104481467585	73.91972943644316	69.93227585796922	67.16854676353316	95.7121748206799	156.17562105920095	72.8349348431144	69.12580318210271
15000	-442.84241474418087	-26.095929649049435	-276.98364378846054	-139.7628413066709	1.028002967528909	0.25316433207528827	1.2317303972206117	0.841645601145295	1.4914763690606665	0.2148337221656645	0.4808974883146483	1.2388288388417563	0.798385983631678	0.06509934318613331	0.7712363608516716	3.5898289721031174	1.6298369041414391	1.0046743749211897	1	1	1.633608279980874	162.68296479528277	65.58446212140389	87.28999888808869	71.61620639722608	74.16205014681711	162.68296479528277	72.53672987726003	161.30995959825074	70.63061298603472	74.96401145791867	155.4675035294725	123.28940739771865	101.76009811550676	153.7500035791935	111.2564655444	74.50796681232956	148.18094549597103	76.97106835768392	125.0452140128175	140.19779905754666	74.64893887827164	150.76753128807977	75.98776315174351	134.35726205088352	73.59301239573196	128.35155668217374	68.78730784417226	71.08380952769002	74.55869242487019	113.56868472549507	126.02384298325919	102.830845087856	76.4996629367497	75.20836803590713	70.07994082339086	80.88393775677334	100.98359514149638	156.33379231260193	73.83881170505639	70.90212816713412	70.41440908183512	70.54633211168392	152.96303989829582	71.9082249562482	160.98547649008103	70.61234810403982	71.6257977021517	155.23885864535265	122.12886696880958	101.6870473880375	153.5248158868102	110.92036670419449	73.1776987321692	148.11905160348277	72.62766720689444	121.45477595881056	139.20164242304105	71.14380069556395	150.15292018252768	75.15368593884423	133.26250102280272	73.41100744299177	122.142416886221	65.58446212140389	71.0142783448841	69.97406121389285	113.1536398312916	119.79719771742371	101.79820062505513	75.83642582259449	74.02201577254633	69.69258488650307	66.7886388890469	91.80623457215691	155.8690625431809	72.93451957455058	69.65441824725836
20000	-457.43967495180624	-33.950229866671656	-279.33204121982465	-144.15740386530996	1.1450269436937137	0.1875049647176316	0.6119105602050542	0.8284059436553252	1.3250131304604018	0.333004620365237	0.5646278694517822	2.4724500638553444	1.0547752040416765	0.07255434933542143	1.0350956157531988	4.855631806947147	1.95695135226637	0.4291135012796658	2	1	1.3494042631548866	162.49111435682784	65.2950812833064	88.57629987292349	72.89113328178819	74.54634504694423	162.49111435682784	72.27993687901832	161.20299208074022	70.69966412235046	75.25127694335083	155.83782172834015	123.29681286102529	101.93870674154543	154.383876768562	111.03726222934304	74.5052761937798	148.1438940123255	77.18045206354952	125.90663117155496	139.4082309459405	75.62210053064598	150.6433370472461	75.87206208199798	135.53561298245478	73.64270840878045	127.41430630334335	68.80389037274267	71.3487402473738	74.59961271850847	113.23494571511537	125.93725533580562	103.66298222407536	76.44130785835928	74.96481300675909	71.65415978635687	80.90748473922561	101.57066918486048	156.45972912035782	73.03719488149368	71.528668578941	71.07928002412199	69.48958653586426	151.41065205804705	72.21564432457964	160.96830448758524	70.57811513562905	72.13977743730165	155.3655767591772	122.84543128060449	101.68898797548486	153.35778594648573	109.85568389737851	73.64281656079892	148.11633034507196	72.80710257628296	121.69571226690879	138.73039667525737	72.11154759463477	150.58980423943686	75.20490689065731	133.67939696070604	73.47604826357518	121.95868648092313	65.2950812833064	71.02755572574385	70.83963773161071	113.10895093229027	122.3557251595285	101.64459307136983	75.8430348755119	73.20780113911478	69.9055506721055	66.54495113436266	95.47371028645102	156.0684270838229	72.94630463292225	68.03781023385295
25000	-470.6526277079979	-39.171146106891776	-287.2697652664377	-144.21171633466844	1.4932677944934953	0.18943328091476422	0.31711623626492863	0.9143675759442533	1.0269917221863762	0.6035363534532187	0.8238468527884039	2.0311679276824757	0.7339015570107017	0.06833066124266002	1.4253168156053404	4.633759600019865	1.9426401586420843	0.4407257421199143	3	1	2.91300852038807	162.43561151345526	65.45260718295718	94.26209032322527	71.47704002311694	74.34755424137379	162.43561151345526	72.45631344598242	161.21816891516335	71.1895249303631	76.2353738435876	155.47570104962512	123.48708046281729	102.72777283535152	153.82074403712525	111.0297186319431	74.40172041362753	148.9925669801052	76.99136576523942	125.78888641364004	140.69037016473118	75.02283952208056	150.75474450952143	75.89652151736675	135.91232181016443	73.64805346137332	127.72140442848732	68.81891102347848	71.78953376103743	74.49502759320248	113.19751630257556	125.93328335559768	102.98034471391352	76.4776881306591	75.18044959238976	70.38088477507901	80.99640683553524	100.9966897030707	156.40322859887533	73.00866099402822	72.22580946822927	70.44172477251155	71.46190468283915	152.49499557461888	71.606319827338	161.08788304807555	70.01639593951909	72.32286510653142	155.3194348010974	122.74068086558556	101.20851118541306	153.6346772904325	110.49628118680253	73.2238238181974	147.883578143109	72.56429747542916	121.38048382729981	134.0803932962508	70.80382294244161	150.40468046226428	75.28143607653331	133.3307469105343	73.38593661078652	121.42750605230212	65.45260718295718	70.60759676619135	71.11847769129336	111.77520785215634	122.63626769755298	102.7363208645915	75.73962877987262	74.05082797865155	69.78034583284263	66.96432542947231	95.45603972783604	155.57710883693	72.99483916497206	68.85576973945551
30000	-439.7076567700007	-34.272957320761655	-269.4472023176834	-135.9874971315557	1.25954731269092	0.1816676404781886	0.14853160859830586	1.0217034444741608	0.9590699291846901	0.4594008644567628	0.5515614621347023	2.5970454012375535	0.5345159988382173	0.2953758829285243	1.397289431522222	5.2372385510761745	2.6235860624579908	0.9347754000095305	1	2	1.830310184157754	162.60604322258806	65.27280730530777	86.01395242570064	71.48482933219672	74.77294533342808	162.60604322258806	72.33634981957464	161.48475498748354	70.70736357007002	73.93771242716025	155.4919840372533	123.55614798331685	102.44661756828228	153.82470975394622	112.40939652873622	75.28760855966463	148.13653293044217	77.03577146357446	125.29488159807597	141.9654303991139	74.91422318331755	150.6321879005109	75.94560877661904	137.7587562021915	73.56051221560449	128.47475008879044	68.82480841406878	71.12877825627893	74.81345196255354	113.53233909409876	125.68070060020486	102.88452444583069	76.44079933891526	75.14299685614719	70.58550465418799	80.97380451321226	101.27024936545524	156.35307013616037	73.02776357850975	71.54500813759451	71.2176620053738	70.69982710672754	152.56446217875322	71.87871260878049	160.877380393841	70.45084820763157	72.19739447495945	155.40026486146445	123.02273198548743	101.66015938865155	153.72120293303576	110.73363530535921	72.51555731531417	148.0408541505472	72.63327605474385	121.33783803001549	138.0901732912711	72.67335648442062	150.59832633163217	75.20147281887581	133.88041200404518	73.52929835470054	122.28908275263328	65.27280730530777	71.04221264132757	71.05587518561686	112.64644737397107	122.37188760662794	102.73214936620542	75.86989536588005	73.76724330884305	69.33317682604266	66.93427703996268	95.35634444987124	156.2419808456159	72.72867616516052	69.68806229076114
35000	-434.6501314311756	-35.45978917694858	-268.0528726376842	-131.1374696165429	1.033344948942428	0.12929987477032107	0.1700831665161571	0.5114693538545872	1.1696786186294899	0.7105473250170524	0.5854960530027327	3.3080375972718588	1.0426277339215588	0.12322878209012855	1.7353994846337286	5.787547778632813	1.800864564702325	1.7144454196709409	1	2	1.588620871665577	163.20700974531886	65.94725615903883	79.35428023381256	71.84333291431726	73.89535169140233	163.20700974531886	72.36615984458975	162.4340642188321	71.0143046327961	74.1868788604048	155.47865875820224	123.46672910597074	102.11230141424737	153.9989300868026	111.40913643995425	74.50543507798987	148.26188002824713	76.93484298440566	125.37060554978277	140.18082423054412	74.25515936862497	150.73336505530614	75.84767108979456	134.11506484480884	73.55257569149472	127.70751498090723	68.6559271700636	71.158593939716	74.54289205748312	114.0974682520805	125.85969829546067	103.0964962805208	76.58221226850662	74.96597534015166	70.14283885730548	80.9540406305448	101.48810975285434	156.36658472570028	73.1249549035352	71.05165445565282	68.75822367831162	71.81632368707494	152.78219326427936	72.2488456070396	160.59640947682234	70.02054427484343	72.29654080396173	155.36717337730394	122.72926407571312	100.71848874516242	153.61872877862035	110.64639205443694	73.38281153764896	147.4764869869478	72.85117837901959	121.94726871691851	139.1006831866443	72.760894358264	150.20757058417064	75.29808150827488	133.85432417024063	73.5331019148387	121.79818248187566	65.94725615903883	70.91081377773921	71.02129252712854	113.046268277628	122.15749165172191	102.5710664040826	75.84757208102754	74.05821937546202	69.69303924223965	67.34308367509381	95.07149830134077	155.72092094749055	72.89240087207077	69.52032837003011
40000	-454.9213969056415	-35.130844347814914	-285.8059614551971	-133.98459110262945	0.7703040883290495	0.12391839614343501	0.1390146788935355	0.7864088217742804	0.842278038663194	1.0557201418622804	0.6827876829187167	2.6175541015198336	1.1421396030675321	0.05027957535743102	3.1978533957956	3.3676712000122104	2.790436429832941	2.154516861777365	1	2	1.4158542531127172	163.55080924118613	65.9374708038548	83.21823626201342	71.775557534212	73.7856296175856	163.55080924118613	73.30309915831471	161.43399840012202	70.68691550678918	73.94002451510222	155.6487400790687	123.27129412026108	103.55374372031984	153.78404356656907	111.19008720550943	75.2087371600585	148.11959969922455	77.10739597685584	125.190052673053	139.56467385784177	74.40832733773287	150.88985728012634	75.91381373231248	134.68937433690138	73.70893288253986	127.6122486637512	69.06142958552417	71.21299366257365	75.57750747058681	113.2104223524534	125.54364488566203	103.19732448804947	76.7344453239974	74.93101670342233	70.7446223276428	80.81122798276024	101.66576504611304	156.4434347546371	73.04574723793849	71.62652849925215	70.76064217126583	71.42454923857169	153.13937542411324	72.05905795244286	160.21265062027288	70.51279147221071	72.16731325355639	155.40090309503748	123.1083086634157	101.260931327754	152.80341734755578	110.79382627269072	73.48860311119097	147.8147818401549	72.83952570061989	120.15580116503664	139.28603001236866	72.69901553525057	150.22400663877656	75.26180219812238	132.6560890945891	73.02175026501007	122.2663695187946	65.9374708038548	70.90096006576437	70.61626277843804	113.14410881447141	122.58863126754338	102.58554356919181	75.22006562105209	73.86475050505997	69.755532741385	67.33212707984003	95.74021558916381	155.4763172487745	72.96492314740861	69.44037917328802
45000	-425.1095961040214	-28.9032720194198	-263.3748243874744	-132.83149969712724	0.5838186207368804	0.3865657412796745	0.1330045176452435	1.1348710259432062	0.9699497309265688	0.6537278590670986	1.4466237280231844	1.8400158638317206	0.8906449346762575	0.09028396707351333	2.5056232741957087	4.7592446192427476	2.1848700541214447	0.5329038633964891	1	1	0.7613716700563968	162.6107420949371	65.88503689724187	81.3903557072736	72.50007504903587	74.49805979980368	162.6107420949371	72.49528760731197	161.45255860249353	70.63289032684897	73.88273542571272	155.7587788539073	123.1659193415913	101.7261716261164	154.05008987924248	111.33130969440079	75.20939444159183	148.357377649755	76.96378357287423	126.14389016805643	139.49175028119856	74.35367179524803	150.68645157904427	75.89565789621533	134.2127682592494	73.55824842477838	127.78747087240785	68.64985425739745	71.21546919856087	74.72775347954433	114.0442319026595	125.7220726373041	102.84203289018123	76.55842203360947	74.98371430099193	69.96669600449269	80.8984285140808	100.53892284858075	156.52223918635622	73.06561748684732	71.59359458131426	67.37114004811902	71.98197001436768	152.9546116654679	72.08142711615082	160.67441370896404	70.62860058249906	72.00439339692673	155.37201012421795	123.1241569116375	100.6712739665081	152.68536630424853	109.91565473794402	73.09413363465293	148.07590105865455	72.80345381217874	122.32610710863594	139.05837926648175	72.4022820326859	150.59563922938938	75.26322275456158	133.0857056571949	73.48426946414276	120.88593586068447	65.88503689724187	71.04063813726506	71.02310780625061	112.72477241580255	122.67749405180078	102.78987342815307	75.82386690083052	73.82115579424882	69.37841203430635	67.35613519903252	95.13003235672033	156.23038057942364	72.98175696466234	69.30106583441605
