Species	Status
Albertavenator_curriei	extinct
Almas_ukhaa	extinct
Anchiornis_huxleyi	extinct
Archaeornithoides_deinosauriscus	extinct
Aurornis_xui	extinct
Borogovia_gracilicrus	extinct
Byronosaurus_jaffei	extinct
Caihong_juji	extinct
Daliansaurus_liaoningensis	extinct
EK_troodontid	extinct
Eosinopteryx_brevipenna	extinct
Geminiraptor_suarezarum	extinct
Gobivenator_mongoliensis	extinct
Hesperornithoides_miessleri	extinct
Indet_troodontid	extinct
Jianianhualong_tengi	extinct
Jinfengopteryx_elegans	extinct
Jinfengopteryx_novsp	extinct
Koparion_douglassi	extinct
Latenivenatrix_mcmasterae	extinct
Liaoningvenator_curriei	extinct
Linhevenator_tani	extinct
Mei_long	extinct
Pectinodon_bakkeri	extinct
Philovenator_curriei	extinct
Saurornithoides_mongoliensis	extinct
Sinornithoides_youngi	extinct
Sinovenator_changii	extinct
Sinusonasus_magnodens	extinct
Stenonychosaurus_inequalis	extinct
Talos_sampsoni	extinct
Tochisaurus_nemegtensis	extinct
Troodon_formosus	extinct
Urbacodon_itemirensis	extinct
Xiaotingia_zhengi	extinct
Xixiasaurus_henanensis	extinct
Zanabazar_junior	extinct
