it	l_0	l_1	l_2	l_3	l_4	l_5	l_6	l_7	l_8	l_9	l_10	l_11	l_12	l_13	l_14	l_15	l_16	l_17	l_18	l_19	l_20	l_21	l_22	l_23	l_24	l_25	l_26	l_27	l_28	l_29	l_30	l_31	l_32	l_33	l_34	l_35	l_36	l_37	l_38	l_39	l_40	l_41	l_42	l_43	l_44	l_45	l_46	l_47	l_48	l_49	l_50	l_51	l_52	l_53	l_54	l_55	l_56	l_57	l_58	l_59	l_60	l_61	l_62	l_63	l_64	l_65	l_66	l_67	l_68	l_69	l_70	l_71	l_72	l_73	l_74	l_75	l_76	l_77	l_78	l_79	l_80	m_0	m_1	m_2	m_3	m_4	m_5	m_6	m_7	m_8	m_9	m_10	m_11	m_12	m_13	m_14	m_15	m_16	m_17	m_18	m_19	m_20	m_21	m_22	m_23	m_24	m_25	m_26	m_27	m_28	m_29	m_30	m_31	m_32	m_33	m_34	m_35	m_36	m_37	m_38	m_39	m_40	m_41	m_42	m_43	m_44	m_45	m_46	m_47	m_48	m_49	m_50	m_51	m_52	m_53	m_54	m_55	m_56	m_57	m_58	m_59	m_60	m_61	m_62	m_63	m_64	m_65	m_66	m_67	m_68	m_69	m_70	m_71	m_72	m_73	m_74	m_75	m_76	m_77	m_78	m_79	m_80	r_0	r_1	r_2	r_3	r_4	r_5	r_6	r_7	r_8	r_9	r_10	r_11	r_12	r_13	r_14	r_15	r_16	r_17	r_18	r_19	r_20	r_21	r_22	r_23	r_24	r_25	r_26	r_27	r_28	r_29	r_30	r_31	r_32	r_33	r_34	r_35	r_36	r_37	r_38	r_39	r_40	r_41	r_42	r_43	r_44	r_45	r_46	r_47	r_48	r_49	r_50	r_51	r_52	r_53	r_54	r_55	r_56	r_57	r_58	r_59	r_60	r_61	r_62	r_63	r_64	r_65	r_66	r_67	r_68	r_69	r_70	r_71	r_72	r_73	r_74	r_75	r_76	r_77	r_78	r_79	r_80	
0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1973743875233054	0.1973743875233054	0.1973743875233054	0.1973743875233054	0.1973743875233054	0.1973743875233054	0.1973743875233054	0.1973743875233054	0.1973743875233054	0.1973743875233054	0.1973743875233054	0.1973743875233054	0.1973743875233054	0.1973743875233054	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3206420944683701	0.3206420944683701	0.3206420944683701	0.3206420944683701	0.3206420944683701	0.3206420944683701	0.3206420944683701	0.3206420944683701	0.3206420944683701	0.3206420944683701	0.3206420944683701	0.3206420944683701	0.3206420944683701	0.3206420944683701	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.1232677069450647	-0.1232677069450647	-0.1232677069450647	-0.1232677069450647	-0.1232677069450647	-0.1232677069450647	-0.1232677069450647	-0.1232677069450647	-0.1232677069450647	-0.1232677069450647	-0.1232677069450647	-0.1232677069450647	-0.1232677069450647	-0.1232677069450647
5000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.46253945051179823	0.46253945051179823	0.46253945051179823	0.46253945051179823	0.46253945051179823	0.46253945051179823	0.46253945051179823	0.46253945051179823	0.46253945051179823	0.46253945051179823	0.46253945051179823	0.46253945051179823	1.173101256226623	1.173101256226623	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5270162389584273	0.5270162389584273	0.5270162389584273	0.5270162389584273	0.5270162389584273	0.5270162389584273	0.5270162389584273	0.5270162389584273	0.5270162389584273	0.5270162389584273	0.5378819012045567	0.5378819012045567	0.5378819012045567	0.5378819012045567	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.06447678844662907	-0.06447678844662907	-0.06447678844662907	-0.06447678844662907	-0.06447678844662907	-0.06447678844662907	-0.06447678844662907	-0.06447678844662907	-0.06447678844662907	-0.06447678844662907	-0.07534245069275847	-0.07534245069275847	0.6352193550220663	0.6352193550220663
10000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6451990384088524	0.6451990384088524	0.6451990384088524	0.6451990384088524	0.6451990384088524	0.6451990384088524	0.6451990384088524	0.6451990384088524	0.6451990384088524	0.6451990384088524	0.97747551968459	0.97747551968459	0.97747551968459	0.97747551968459	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.43349132651142774	0.43349132651142774	0.43349132651142774	0.43349132651142774	0.43349132651142774	0.43349132651142774	0.43349132651142774	0.5781143666699372	0.5781143666699372	0.5781143666699372	0.4812253971061994	0.4812253971061994	0.4812253971061994	0.4812253971061994	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.21170771189742466	0.21170771189742466	0.21170771189742466	0.21170771189742466	0.21170771189742466	0.21170771189742466	0.21170771189742466	0.06708467173891519	0.06708467173891519	0.06708467173891519	0.49625012257839063	0.49625012257839063	0.49625012257839063	0.49625012257839063
15000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6800107786727054	0.6800107786727054	0.6800107786727054	0.6800107786727054	0.6800107786727054	0.6800107786727054	0.6800107786727054	0.6800107786727054	0.6800107786727054	0.6800107786727054	0.6800107786727054	0.6800107786727054	0.6800107786727054	0.6800107786727054	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.395062062140171	0.395062062140171	0.395062062140171	0.395062062140171	0.395062062140171	0.395062062140171	0.395062062140171	0.395062062140171	1.0704049510441382	1.0704049510441382	1.0704049510441382	1.0704049510441382	1.0704049510441382	1.0704049510441382	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.28494871653253445	0.28494871653253445	0.28494871653253445	0.28494871653253445	0.28494871653253445	0.28494871653253445	0.28494871653253445	0.28494871653253445	-0.3903941723714328	-0.3903941723714328	-0.3903941723714328	-0.3903941723714328	-0.3903941723714328	-0.3903941723714328
20000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4062540037672147	0.4062540037672147	0.4062540037672147	0.4062540037672147	0.4062540037672147	0.4062540037672147	0.4062540037672147	0.4062540037672147	0.4062540037672147	0.4062540037672147	2.128847188974052	2.128847188974052	2.128847188974052	2.128847188974052	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.042819291091862	1.042819291091862	1.042819291091862	1.042819291091862	1.042819291091862	1.1657380449790504	1.1657380449790504	1.1657380449790504	1.1657380449790504	1.1657380449790504	1.1657380449790504	0.7578648090466994	0.7578648090466994	0.7578648090466994	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.6365652873246475	-0.6365652873246475	-0.6365652873246475	-0.6365652873246475	-0.6365652873246475	-0.7594840412118358	-0.7594840412118358	-0.7594840412118358	-0.7594840412118358	-0.7594840412118358	0.9631091439950015	1.3709823799273524	1.3709823799273524	1.3709823799273524
25000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.566404838638422	0.566404838638422	0.566404838638422	0.566404838638422	0.566404838638422	0.566404838638422	0.566404838638422	0.566404838638422	0.566404838638422	0.566404838638422	0.566404838638422	0.566404838638422	0.566404838638422	0.566404838638422	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4388784192226159	0.4388784192226159	0.4388784192226159	0.4388784192226159	0.4388784192226159	0.4388784192226159	0.4388784192226159	0.4388784192226159	0.4388784192226159	0.4388784192226159	0.4388784192226159	0.4388784192226159	0.4388784192226159	0.4388784192226159	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.12752641941580606	0.12752641941580606	0.12752641941580606	0.12752641941580606	0.12752641941580606	0.12752641941580606	0.12752641941580606	0.12752641941580606	0.12752641941580606	0.12752641941580606	0.12752641941580606	0.12752641941580606	0.12752641941580606	0.12752641941580606
30000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.49714639304409813	0.49714639304409813	0.49714639304409813	0.49714639304409813	0.49714639304409813	0.49714639304409813	0.49714639304409813	0.49714639304409813	1.2396087325532137	1.2396087325532137	1.2396087325532137	1.2396087325532137	1.2396087325532137	1.2396087325532137	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5911872896577401	0.5911872896577401	0.6987740364856948	0.6987740364856948	0.6987740364856948	0.6987740364856948	0.6987740364856948	0.6987740364856948	0.6987740364856948	0.6987740364856948	0.6987740364856948	0.6987740364856948	0.6987740364856948	0.6987740364856948	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.09404089661364201	-0.09404089661364201	-0.20162764344159667	-0.20162764344159667	-0.20162764344159667	-0.20162764344159667	-0.20162764344159667	-0.20162764344159667	0.5408346960675189	0.5408346960675189	0.5408346960675189	0.5408346960675189	0.5408346960675189	0.5408346960675189
35000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.21114396370838467	0.21114396370838467	0.21114396370838467	0.21114396370838467	0.21114396370838467	0.7674161184593411	0.7674161184593411	0.7674161184593411	0.7674161184593411	0.7674161184593411	0.7674161184593411	0.7674161184593411	0.7674161184593411	0.7674161184593411	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4384588404754201	0.4384588404754201	0.4384588404754201	0.4384588404754201	0.4384588404754201	0.4384588404754201	0.4384588404754201	1.8732310602904867	1.8732310602904867	1.8732310602904867	1.8732310602904867	1.8732310602904867	1.8732310602904867	1.8732310602904867	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.22731487676703543	-0.22731487676703543	-0.22731487676703543	-0.22731487676703543	-0.22731487676703543	0.328957277983921	0.328957277983921	-1.1058149418311456	-1.1058149418311456	-1.1058149418311456	-1.1058149418311456	-1.1058149418311456	-1.1058149418311456	-1.1058149418311456
40000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6391590713454757	0.6391590713454757	0.6391590713454757	0.6391590713454757	0.6391590713454757	0.6391590713454757	0.6391590713454757	0.6391590713454757	0.6391590713454757	0.6391590713454757	0.6391590713454757	2.041867141465078	2.041867141465078	2.041867141465078	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5252185334507002	0.5252185334507002	0.5252185334507002	0.5252185334507002	0.5252185334507002	0.5252185334507002	0.5252185334507002	0.5252185334507002	0.5252185334507002	0.5252185334507002	0.5252185334507002	0.5252185334507002	0.5252185334507002	0.5252185334507002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11394053789477543	0.11394053789477543	0.11394053789477543	0.11394053789477543	0.11394053789477543	0.11394053789477543	0.11394053789477543	0.11394053789477543	0.11394053789477543	0.11394053789477543	0.11394053789477543	1.516648608014378	1.516648608014378	1.516648608014378
45000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3636618598499671	0.3636618598499671	0.3636618598499671	0.3636618598499671	0.3636618598499671	0.3636618598499671	0.3636618598499671	0.3636618598499671	0.3636618598499671	2.4370526138542172	2.4370526138542172	2.4370526138542172	2.4370526138542172	2.4370526138542172	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.44575838990988426	0.44575838990988426	0.44575838990988426	0.44575838990988426	0.44575838990988426	0.44575838990988426	0.44575838990988426	0.44575838990988426	0.44575838990988426	0.44575838990988426	0.44575838990988426	0.44575838990988426	0.44575838990988426	0.44575838990988426	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.08209653005991718	-0.08209653005991718	-0.08209653005991718	-0.08209653005991718	-0.08209653005991718	-0.08209653005991718	-0.08209653005991718	-0.08209653005991718	-0.08209653005991718	1.991294223944333	1.991294223944333	1.991294223944333	1.991294223944333	1.991294223944333
