it	posterior	prior	PP_lik	BD_lik	q_0	q_1	alpha	k_birth	k_death	RJ_hp	root_age	death_age	tot_length	Albertosaurus_sarcophagus_TS	Alioramus_altai_TS	Alioramus_remotus_TS	Bistahieversor_sealeyi_TS	Daspletosaurus_horneri_TS	Daspletosaurus_novsp_TS	Daspletosaurus_torosus_TS	Dynamoterror__dynastes_TS	Gorgosaurus_libratus_TS	Lythronax_argestes_TS	Nanuqsaurus_hoglundi_TS	Qianzhousaurus_sinensis_TS	Tarbosaurus_bataar_TS	Teratophoneus__curriei_TS	Thanatotheristes_degrootorum_TS	Tyrannosaurus_rex_TS	Zhuchengtyrannus_magnus_TS	Albertosaurus_sarcophagus_TE	Alioramus_altai_TE	Alioramus_remotus_TE	Bistahieversor_sealeyi_TE	Daspletosaurus_horneri_TE	Daspletosaurus_novsp_TE	Daspletosaurus_torosus_TE	Dynamoterror__dynastes_TE	Gorgosaurus_libratus_TE	Lythronax_argestes_TE	Nanuqsaurus_hoglundi_TE	Qianzhousaurus_sinensis_TE	Tarbosaurus_bataar_TE	Teratophoneus__curriei_TE	Thanatotheristes_degrootorum_TE	Tyrannosaurus_rex_TE	Zhuchengtyrannus_magnus_TE
0	-1065.9313433393938	-12.19568661770554	-992.04641093668	-61.68924578500821	0.39926952697576873	0.39926952697576873	1.0	1	1	1	81.00529055363116	65.20348827824593	28.508437692132773	73.97544171121977	71.96003581621206	68.36307407070937	74.25470062453992	75.32041220627684	76.78070981253252	76.74042911848393	78.04301296750437	76.46994227201137	80.58741764230217	68.08585831713981	70.63189723123321	72.10901247622452	75.86670140380211	81.00529055363116	68.06504331688274	73.52737456801849	68.0391775491477	71.89615298439779	68.34730183637724	73.0398356529574	74.50730505933922	75.69508715694508	75.04775316805136	77.65854528134733	74.64488065721207	80.12246753121127	67.99189829396069	65.20348827824593	68.05017361281053	75.53119529102024	79.31738559367587	65.9521924483373	72.2330760215546
5000	-613.3033430973328	-22.217641093219335	-537.5604785104466	-53.525223493666886	1.0194426808233947	2.557051963983634	0.31532290389451034	2	2	1.3708969753287248	80.55240607156206	64.90789977052273	31.461581672195365	74.33994493177596	72.72481864984674	68.48788166899297	74.23356316764021	75.22177772554669	77.14727103888748	77.47666456519205	78.63206127755696	76.5466472874509	80.55240607156206	68.06642730759113	70.20035820047056	72.2724173333933	75.6660964988201	80.20759553401585	68.02546736132749	73.4621599165181	68.05636413526629	71.17679013887681	68.3528812378208	73.14614942542636	74.19363152215455	75.77104115519107	74.99320833357328	77.70977540023028	74.77166906047138	80.41944180915337	67.94249958196554	64.90789977052273	67.94297316183608	75.4353119312193	79.05109324531978	65.98665503494193	71.94459192042363
10000	-453.5116363944943	-33.40615267401297	-365.3627116944431	-54.74277202603827	3.513518237035793	8.495580516445592	0.18853701024204614	2	3	2.4927715165404245	80.51366556203453	65.01132516967866	32.53953025333614	74.14091719329669	71.98034244589144	68.35576308838785	74.24274283481888	75.17091657581808	76.72398772744522	77.04157161124198	78.15034497337133	76.42587213316573	80.51366556203453	68.51371166855324	72.71816347859614	72.13570462963068	76.13763798657445	80.16288955096357	68.00035494443368	73.66957556734101	67.66060848897605	71.9048030463764	68.35340569408469	72.81357625776525	74.49725671684276	75.70947973962657	75.21481795603526	77.94463488043445	74.66813548319026	80.25337208353712	68.04558395644672	65.01132516967866	67.98655529761999	75.44361983903923	78.75860005014354	65.99568076685101	71.28317629158042
15000	-434.7758351869918	-28.017771468617756	-357.79897408850644	-48.959089629867606	4.910975106070927	8.309787586003996	0.22767077043168107	1	2	2.2511546135412592	80.65728078887744	65.93602498327415	27.748353048223365	74.0429873119745	71.98063560459134	68.37348606838289	74.2513141712083	75.10860232180161	76.93124758076007	77.39660584552345	78.08862539192495	76.49947616780285	80.65728078887744	68.10308799054992	70.07583507451234	72.25457543588675	75.61088236181116	80.14727647541466	68.10284076758573	74.45271214294274	67.55021062169222	71.93609928643473	68.3311194312524	73.22702961476035	74.5475973951745	75.47182801940514	75.06778199341485	77.92347182996782	74.80382875033082	80.41654865664268	67.67678050527215	65.93602498327415	68.02287766117004	75.53411664618092	79.63028244436268	65.98734194790923	72.26617866608268
20000	-435.08954463005216	-39.48025750222614	-348.06138492149216	-47.547902206333845	5.279430533666455	9.769854678532763	0.3163554254698348	2	3	1.3441316948990396	80.58952793513262	65.98135601184691	25.817493211081498	73.9596799137833	71.97488582594208	68.41051905068691	74.08784878770135	75.17568155340051	76.96837828701445	76.89463733397025	78.13304109712267	76.50917909379127	80.58952793513262	68.10428581341195	70.18722174001473	72.12139424389777	75.58988351628929	80.16925561254082	68.00271841006577	73.7511073660964	67.97866955055572	71.94030901379463	68.35468478177124	73.13881381186911	74.50409541042896	75.7404728538594	74.5168472164507	77.98833630348177	74.80093151971272	80.42855558821405	68.06327540806565	66.33467480375464	68.01557978126735	75.3738684522865	79.41443033954845	65.98135601184691	72.23685152287285
25000	-410.42807579836415	-25.435110119844893	-335.5844132311283	-49.408552447391	5.212655216894561	9.787454341492221	0.27369911598122876	1	1	1.3654868579513395	80.58498501287333	65.96221171850098	25.609606485299395	73.97865589998953	71.94520756118882	68.3638017359468	74.09389248372754	75.10679686753049	76.79167807970629	76.80327327116454	78.2496250824982	76.4621478725905	80.44420065325448	68.06554434773365	70.23074736140798	72.09206647379013	75.60201135297515	80.58498501287333	68.07276780842554	73.62673243509805	67.95030382715802	71.93923081541884	68.28784481421411	73.25279168408706	74.48943245621474	75.24550202882716	75.15529355778926	78.03209385752335	74.76737882826473	80.4439230426016	68.060599045029	66.13985848881927	68.01774777737063	75.5305624208335	79.25123130596258	65.96221171850098	72.3785221459868
30000	-424.8183133662311	-33.65454287962162	-344.41341423249685	-46.75035625411266	6.159896162906127	9.043933050552049	0.22074822764717555	2	2	2.635274692326746	80.69546396715124	65.41429040063494	27.2791069675896	74.23020455318586	71.96435773065026	68.43450016594996	74.19862093004727	75.10520281927647	76.73118555529135	77.15648528648298	78.08499340651397	76.42145383638425	80.69546396715124	68.06530666642846	70.6265555432146	72.14058729093006	75.59793820516164	80.40956508018061	67.99578862349827	73.6547441188587	67.5865726466674	71.90886047625663	68.29360965830422	73.15026094176163	74.54489240888766	75.66331515029607	75.20790629949802	78.01924251385968	74.75138290212855	80.31164199224037	68.01221885673496	65.41429040063494	68.05566830002692	75.5370941498913	79.61469889423037	65.97715643718813	72.18503478300946
35000	-431.2205361493246	-34.4862324170957	-348.44602630874726	-48.28827742348159	6.197793976759371	9.658470242360574	0.2603256843433264	2	2	2.1906052144640897	80.789536424015	65.92934489575359	28.162704610885555	74.27815263446827	71.94386098114522	68.3722350359548	74.4440628478246	75.1028869023247	76.8530258625334	76.83586452824467	78.04002632307605	76.446400615174	80.789536424015	68.19561999987309	72.5189959442769	72.12178346785323	75.613224161704	80.16412354323846	68.05544462996463	73.5259769463652	67.9747555470969	71.88497499027395	68.27995986817118	73.16682260297645	74.56640487787372	75.45334258163459	75.11031208252105	78.03944872122563	74.70476321816058	80.12864369637478	67.96542406177892	66.53474307534803	68.05577295672423	75.48826496516068	79.59541450547448	65.92934489575359	72.2601235906019
40000	-425.20443681402963	-30.779176313116764	-345.3532780465347	-49.0719824543782	6.07313508461903	9.035807313850878	0.22320439987163082	2	1	1.2277939604452597	80.44554450835149	65.96967748452617	28.14755343185135	73.95835163338324	71.94792403938794	68.48402710643997	74.30390639259346	75.86593467329116	76.73936427676875	76.74537222505516	78.04002632307605	76.48096034838447	80.44554450835149	68.07492793173876	72.51917159766705	72.09984168307933	75.59937973739481	80.2966136898162	68.00888677082379	73.60141921635947	67.93820856695241	71.94347550833874	68.2667663058411	72.52464464843189	74.57269734414817	75.82133791338727	75.07424321832981	77.93752489253585	74.74595221190349	80.42844780470885	68.03814984999578	66.49176103813252	68.00958319590978	75.50429227641506	79.54234909949368	65.96967748452617	72.25498736270922
45000	-431.5760066388287	-29.430250188980878	-352.0592600541886	-50.086496395659196	5.290579793431311	8.419614531008472	0.22228996555878677	2	1	1.3974255383607217	80.44933009275309	65.4581348785119	28.666454347774064	73.99642304712762	71.97909607289294	68.39817734079512	74.56739205735639	75.17875347071241	76.8313632185174	76.86816211984345	78.10899232805774	76.4638245159972	80.44933009275309	68.07567132186439	71.78654143124307	72.1947230026194	75.57282584089062	80.11099383448925	68.02922963041138	73.54925923490305	67.9120340537248	71.88716626335714	68.32053758067244	73.15477711226602	74.56131533803072	75.76864515255586	74.84617558283443	77.96114585534319	74.64527114009863	80.38805258911658	67.96998596980697	65.4581348785119	68.01740644472294	75.52616573751985	79.39408765839038	65.97327921137288	71.7101236443757
