Species	Status
Albertosaurus_sarcophagus	extinct
Alioramus_altai	extinct
Alioramus_remotus	extinct
Bistahieversor_sealeyi	extinct
Daspletosaurus_horneri	extinct
Daspletosaurus_novsp	extinct
Daspletosaurus_torosus	extinct
Dynamoterror__dynastes	extinct
Gorgosaurus_libratus	extinct
Lythronax_argestes	extinct
Nanuqsaurus_hoglundi	extinct
Qianzhousaurus_sinensis	extinct
Tarbosaurus_bataar	extinct
Teratophoneus__curriei	extinct
Thanatotheristes_degrootorum	extinct
Tyrannosaurus_rex	extinct
Zhuchengtyrannus_magnus	extinct
