it	posterior	prior	PP_lik	BD_lik	q_0	q_1	alpha	k_birth	k_death	RJ_hp	root_age	death_age	tot_length	Albertosaurus_sarcophagus_TS	Alioramus_altai_TS	Alioramus_remotus_TS	Bistahieversor_sealeyi_TS	Daspletosaurus_horneri_TS	Daspletosaurus_novsp_TS	Daspletosaurus_torosus_TS	Dynamoterror__dynastes_TS	Gorgosaurus_libratus_TS	Lythronax_argestes_TS	Nanuqsaurus_hoglundi_TS	Qianzhousaurus_sinensis_TS	Tarbosaurus_bataar_TS	Teratophoneus__curriei_TS	Thanatotheristes_degrootorum_TS	Tyrannosaurus_rex_TS	Zhuchengtyrannus_magnus_TS	Albertosaurus_sarcophagus_TE	Alioramus_altai_TE	Alioramus_remotus_TE	Bistahieversor_sealeyi_TE	Daspletosaurus_horneri_TE	Daspletosaurus_novsp_TE	Daspletosaurus_torosus_TE	Dynamoterror__dynastes_TE	Gorgosaurus_libratus_TE	Lythronax_argestes_TE	Nanuqsaurus_hoglundi_TE	Qianzhousaurus_sinensis_TE	Tarbosaurus_bataar_TE	Teratophoneus__curriei_TE	Thanatotheristes_degrootorum_TE	Tyrannosaurus_rex_TE	Zhuchengtyrannus_magnus_TE
0	-905.4923933694788	-12.27977889788444	-826.1410509873849	-67.07156348420949	0.7500830774214415	0.7500830774214415	1.0	1	1	1	80.51252422028563	66.00049202410307	31.399461011410978	73.9560940561201	71.95919184364973	68.50219398765472	74.23908696035278	75.13040641436439	76.86708873085084	77.14574453697823	78.08022410007148	76.43091520944489	80.51252422028563	68.07310909485302	73.95224891866881	72.09258234902093	75.59183571419305	80.41738728105337	68.30479401760554	74.30388145993892	67.55920334082455	71.91916983691877	68.26483607361911	73.12613599472732	74.52134340533875	75.69256452150191	75.1481873465579	78.02098577721645	74.7781436435636	80.43067144989391	67.99271404865543	66.15605382982002	68.03560552886017	75.504987402167	79.61701169029499	66.00049202410307	71.39174196963249
5000	-444.9671235262792	-34.77725638754417	-362.2883189149363	-47.90154822379867	4.462409210636222	11.899575444608004	0.867018800626647	2	2	2.7607498313199974	80.47644196277268	65.9706007704206	26.97662639799637	74.35404109651027	72.04594102646234	68.37377472193918	74.5490502055124	75.20650137801073	76.90932959157308	77.04160739246673	78.22720929931211	76.47840134852095	80.47644196277268	68.18888078518549	70.57810631271215	72.17278324896913	75.81078317927646	80.10268587455813	68.06899161409896	73.44127392746391	68.07795381683232	71.9249211077563	68.2399688348155	73.03260685701753	74.560117823608	75.8127564487131	74.95495648767009	78.02902919490167	74.81296674556471	80.32699525267238	67.94333585723213	66.11867813710639	68.0375157546002	75.45096345275063	79.54145104396964	65.9706007704206	72.21435898171717
10000	-427.2486018617103	-36.706173222206274	-344.27825655508093	-46.26417208442314	7.52813596944663	11.180166871958365	0.5522867347871435	2	2	2.859252609835873	80.55626039400333	65.6978401581225	26.12270806242205	73.9975018785879	71.97017506489067	68.35873308356867	74.52230993915802	75.44777110046611	76.76676734398424	76.6847458919936	78.10488287486224	76.47917658426287	80.55626039400333	68.07479164943746	70.70907876308588	72.14082313536015	75.74757778669749	80.1176669629379	68.04383052587804	73.44594819640153	68.08387453273336	71.91465646679913	68.3362350438018	73.26127817562663	74.5032618040735	75.6674330083011	75.20218451700319	77.91513560397412	74.79191961106304	80.37768412892427	68.06386050092415	65.6978401581225	67.96516562240406	75.33139932430574	79.62402205884659	65.98819718248456	72.32118537376631
15000	-424.65200616731914	-43.25580213584321	-338.6196742023996	-42.77652982907631	5.827477177389125	11.913497326517568	0.5446253853252383	2	3	1.9372418903613016	80.55797508736353	65.99048628299657	25.42210605499696	74.05917969346464	71.98057840231395	68.43472512024105	74.22590118348649	75.15424079126585	76.76370417658323	76.87533977953557	78.09136437862112	76.44247209611635	80.55797508736353	68.06826358448488	70.89525719827816	72.14941138598626	75.62850696513682	80.09858139997746	68.00004299220922	73.41632329630191	68.0133260848828	71.9403801705595	68.34795665045212	73.17344485727556	74.5378046907349	75.59265887947623	74.93201117914191	78.01172609825537	74.8065767657978	80.43768978443238	68.05381314253873	66.70386183355173	68.01636830890293	75.55782251695116	79.49057474533373	65.99048628299657	71.81325948508612
20000	-444.407806005597	-40.018200676175084	-357.1573505109004	-47.23225481852154	7.088999782072014	9.696340326368817	0.46460455898814274	3	2	4.11054156386502	80.47264803605144	66.00180071573024	29.678859214631103	74.17367383565986	71.95263468479195	68.73397269148823	74.18104999777032	75.21040392114848	76.98047312673236	77.37068297741344	78.05822933549635	76.44553582152597	80.47264803605144	68.0834170174498	70.5943212180926	72.13430816362977	75.79713906753138	80.11544492281865	68.01229634884368	74.06397203170653	67.35240918903561	71.93925799076618	68.3280454943512	72.7368622676639	74.46502519719384	75.4593471939305	75.13391210392469	78.02832520893739	74.69563928627043	80.44331265228922	68.056921127484	66.25624948687063	68.02312104213274	75.50648517951109	79.58512587466498	66.00180071573024	70.68950397276305
25000	-422.1442278870513	-36.10297803809209	-334.39358907060046	-51.64766077835873	7.633506835071674	14.191077190630194	0.6673841645035681	1	2	2.1096200701066197	80.69161254285116	65.96585025082783	26.287221471555256	73.97727196397503	71.94710331290011	68.38796666842401	74.14195376379386	75.1860547965681	76.83388588384999	77.09850077996093	78.05857579872287	76.55242833328454	80.54130911926006	68.06625343395703	70.06271009466833	72.08508614387323	75.6104036570508	80.69161254285116	67.99541852625872	73.47116031717617	67.98231231327065	71.94180290647647	68.35481512435662	73.17289943375278	74.56694153559442	75.81111501083696	73.67259078335277	77.97130184201778	74.81400561303282	80.41920653547737	68.05682253492178	66.23953075901261	68.05458502453895	75.54488894944036	79.59229638122417	65.96585025082783	72.25950866688534
30000	-432.28503729857806	-44.55582328456642	-344.99043231160505	-42.738781702406584	7.882318506105887	11.271018407931976	0.5253945446605804	2	3	3.6532248019086877	80.5199096934116	65.83393875960219	25.664374446475875	73.9565223431479	71.97344021071503	68.37500123039796	74.12528764477462	75.17203769783235	76.88113481863023	76.78797175549647	78.04581223412015	76.43323193150502	80.5199096934116	68.17347818450897	70.02412724798003	72.31853658009581	75.64631796518256	80.1164354290739	68.01064222246353	73.50118049220723	67.42288241638704	71.94202332777056	68.3530516046926	73.27646717944259	74.4966759845869	75.66346509295606	75.18827486648046	78.03935947161838	74.70190969103757	80.43992959646255	68.01247630212156	65.83393875960219	67.96099260483784	75.14598923243658	79.61433990941985	66.00097283208521	72.30394436312955
35000	-434.82739595011174	-42.384172881485505	-341.0942865291512	-51.34893653947506	8.277487786964297	11.664637147669058	0.5179623859952598	2	3	4.202468474667854	80.50881303668646	65.94926399724183	27.291684591971418	74.07814944225586	71.99186654174511	68.41439385262933	75.16211169536354	75.18816854288471	76.75140603428805	77.10386867788094	78.04782002646635	76.46152622888438	80.50881303668646	68.09117971553371	70.2575006264868	72.08732205275831	75.59187901409236	80.13138043458606	68.02669673306609	73.43020482425271	68.07554799027383	71.89540584222229	68.33538496109212	73.02697366887861	74.56171638233079	75.76731603330205	74.4861226066041	78.03935947161838	74.81165392002437	80.38530628810312	68.0299688184249	66.31671734035993	68.02545668205556	75.54187176701934	78.88633784282854	65.94926399724183	71.8981992755096
40000	-432.336637632861	-41.638147838594634	-340.4825512357364	-50.215938558529956	8.41876080892845	11.182781691792464	0.5204479543276753	2	2	4.162668780485555	80.4622096393239	65.51229726772439	28.053416158963074	74.19328938007429	72.12767853700348	68.41100003042557	74.08577343046463	75.1822542969637	76.92607065407265	77.35710814158256	78.04052472540474	76.50013297823891	80.4622096393239	68.07556455430992	70.96713465968769	72.12444218900255	75.57174159326762	80.13600056563136	68.01802999155365	73.44361928661506	67.98988526708007	71.93150150143852	68.2475639892959	73.26423619857994	74.57975735075902	75.6191310766671	75.06463700161791	78.03912999687087	74.73265885022424	80.42672385703085	68.06285892910552	65.51229726772439	67.96371067478063	75.56341372102693	78.68168999259979	65.95563870020513	71.93432411965239
45000	-423.4055077521348	-36.6063075463675	-340.89565159582554	-45.90354860994171	6.945970432170075	10.223117445681527	0.5294271835058559	2	2	1.797868623438521	80.51385092233257	65.97247083533051	26.15748995179605	74.64535902864358	71.94803154094417	68.38021231315122	74.20180252380237	75.10293383101772	76.81522047759049	76.73802702466598	78.08676740554044	76.56194589068812	80.49796540445543	68.06400341103345	71.07013813611674	72.09088611693996	75.58528105890196	80.51385092233257	68.03542000183978	73.59186861167495	67.99780853995924	71.93840399982102	68.30400874562322	73.15596437407945	74.51388636739492	75.76359194119271	75.13064924051064	78.03544938047285	74.76750707847184	80.16269245506952	68.0511094310736	66.53194846143839	68.01558159157003	75.55502333539437	79.61836647664728	65.97247083533051	72.2577614934933
