Species	Status
Ahshislepelta	extinct
Akainacephalus	extinct
Ankylosaurus	extinct
Anodontosaurus	extinct
Cedarpelta	extinct
Chuanqilong	extinct
Crichtonsaurus	extinct
Dyoplosaurus	extinct
Euoplocephalus	extinct
Gobisaurus	extinct
Heishansaurus	extinct
Jinyunpelta	extinct
Liaoningosaurus	extinct
Minmi	extinct
Nodocephalosaurus	extinct
Oohkotokia	extinct
Palaeoscincus	extinct
Pinacosaurus	extinct
Platypelta	extinct
Saichania	extinct
Scolosaurus	extinct
Shamosaurus	extinct
Shanxia	extinct
Talarurus	extinct
Taohelong	extinct
Tarchia	extinct
Tianzhenosaurus	extinct
Tsagantegia	extinct
Zaraapelta	extinct
Zhongyuanosaurus	extinct
Ziapelta	extinct
Zuul	extinct
