it	posterior	prior	PP_lik	BD_lik	q_0	q_1	q_2	alpha	k_birth	k_death	RJ_hp	root_age	death_age	tot_length	Achelousaurus_TS	Agathaumas_TS	Agujaceratops_TS	Albertaceratops_TS	Anchiceratops_TS	Arrhinoceratops_TS	Avaceratops_TS	Bison_TS	Brachyceratops_TS	Bravoceratops_TS	Centrosaurus_TS	Ceratops_TS	Chasmosaurus_TS	Coahuilaceratops_TS	Coronosaurus_TS	Crittendenceratops_TS	Diabloceratops_TS	Einiosaurus_TS	Eotriceratops_TS	Judiceratops_TS	Kosmoceratops_TS	Machairoceratops_TS	Medusaceratops_TS	Mercuriceratops_TS	Monoclonius_TS	Nasutoceratops_TS	Ojoceratops_TS	Pachyrhinosaurus_TS	Pentaceratops_TS	Polyonax_TS	Regaliceratops_TS	Rubeosaurus_TS	Sinoceratops_TS	Spiclypeus_TS	Spinops_TS	Styracosaurus_TS	Tatankaceratops_TS	Titanoceratops_TS	Torosaurus_TS	Triceratops_TS	Ugrosaurus_TS	Utahceratops_TS	Vagaceratops_TS	Wendiceratops_TS	Xenoceratops_TS	Yehuecauhceratops_TS	Achelousaurus_TE	Agathaumas_TE	Agujaceratops_TE	Albertaceratops_TE	Anchiceratops_TE	Arrhinoceratops_TE	Avaceratops_TE	Bison_TE	Brachyceratops_TE	Bravoceratops_TE	Centrosaurus_TE	Ceratops_TE	Chasmosaurus_TE	Coahuilaceratops_TE	Coronosaurus_TE	Crittendenceratops_TE	Diabloceratops_TE	Einiosaurus_TE	Eotriceratops_TE	Judiceratops_TE	Kosmoceratops_TE	Machairoceratops_TE	Medusaceratops_TE	Mercuriceratops_TE	Monoclonius_TE	Nasutoceratops_TE	Ojoceratops_TE	Pachyrhinosaurus_TE	Pentaceratops_TE	Polyonax_TE	Regaliceratops_TE	Rubeosaurus_TE	Sinoceratops_TE	Spiclypeus_TE	Spinops_TE	Styracosaurus_TE	Tatankaceratops_TE	Titanoceratops_TE	Torosaurus_TE	Triceratops_TE	Ugrosaurus_TE	Utahceratops_TE	Vagaceratops_TE	Wendiceratops_TE	Xenoceratops_TE	Yehuecauhceratops_TE
0	-1299.175636716663	-12.936231810078569	-1008.9606492465394	-277.2787556600448	0.575857956021344	0.575857956021344	0.575857956021344	1.0	1	1	1	100.9930771341777	60.418268140496146	335.79484339524754	84.46173942189452	67.64131631752687	83.89196745341462	81.13479215819606	84.52424631677539	78.1305918583288	80.90004797603115	66.9441051211606	100.9930771341777	68.14765680339744	84.92058514273054	78.46929914735705	85.5251937161486	72.22148068908815	85.70880606608533	97.63239456845892	76.24294912862929	73.80728982265207	68.62703286722974	74.22314610579603	84.12033852337987	78.90081348135244	77.75110371472515	82.02953948054846	84.22469108508889	81.45701967157628	70.47911271918863	83.96963415163881	86.96156259403435	70.66332860779795	68.87898266040997	85.22210693706596	77.35320414617335	74.88451945295404	72.88732443377225	87.21723004163275	70.47411167461844	73.26738898201413	69.95587532717593	76.1318047536229	68.41302611074474	78.39130816328863	80.6818309323381	78.96639324169446	75.90829499883725	79.8558343774091	64.7809486805088	67.50341742698313	66.04812679334776	67.13852320517908	60.418268140496146	66.40889155706812	80.77806460167224	66.62183434244815	63.97183876326217	67.79309882017043	70.91000014338502	78.32776801338828	70.46234578073441	72.09371818459793	75.88811433979846	70.4455957993081	69.18419250357758	71.87474878779729	68.28951640311428	73.93334686810684	68.38432306942798	78.81784600376183	77.45393721174162	73.48089815299451	71.50257472696933	80.57179836948055	65.57257416977004	67.99430985914549	65.76407578110143	70.46104892982916	68.70559474292943	72.26166601498797	77.2601992393115	74.6339661407387	72.63543291963441	70.40580615212862	70.25603447291248	73.06743356820687	65.44914875156196	66.01797481920008	68.26189142513567	78.2333220210831	72.7670410813573	78.93364409737761	75.79493490791286	79.83941889926948
5000	-1066.5354519045757	-23.096915398830546	-787.8891613743062	-255.54937513143886	0.5987774742964541	1.0113065866246835	6.546688971172053	0.7266704756878104	1	2	1.8677775153855072	98.26401734905487	62.87927515001397	326.44138172078874	88.87042833251499	67.52270358376748	88.0470516216779	83.62774717654793	84.27432681226536	80.71150672436696	80.83664200004715	66.97451698136506	96.14280124923583	67.94782752555601	85.09064699586061	78.94781094825171	84.78115306283183	73.82825342068827	82.81799936562257	98.26401734905487	76.47882326150858	74.30024452752717	68.56800138951448	75.16110325985198	82.07759120350089	79.21299581663249	77.77897427550673	82.12517000373593	84.98595538158865	81.8982681722428	73.19747654830957	83.43655839906413	85.87876817785136	70.65257606430086	68.89614994229879	86.39156656417725	78.15208472723481	74.78496648609614	72.9385135462289	87.47441900911534	70.43359349896112	74.02712315071783	69.88567659961085	76.71597345125423	68.30801762256851	78.33338335473613	80.15226294918719	79.00696829871254	75.92685121156921	79.88174974298607	67.51786215191093	67.47776541823097	65.96068857368886	67.7242379030334	62.87927515001397	70.66899417462238	80.7672555145027	66.56763710516951	69.58418646844483	67.64882566795173	70.91732416290468	78.26434574174193	70.35846865397535	72.19656682479061	76.18414773988994	74.07802984594807	69.68849111001612	72.37905958553331	68.54629359360263	73.77073863663263	70.3608863282521	78.24944826634264	77.27276304854519	75.10492120007812	71.9400311949934	80.18664803208351	65.66135627330205	68.54701013185053	66.45182775937549	70.52026978668032	68.82721962920749	71.99645009563433	77.2452206668148	74.74621475231004	72.50860169323028	70.47636902406889	69.93286072230697	72.51349151106876	66.00389960969746	66.05628144550607	68.29610000359855	77.91716324359292	71.78691461975735	78.19566188773415	75.86294554584761	79.46510757097272
10000	-1051.1331804918743	-23.482335602970444	-776.6228224942795	-251.0280223946245	0.6571981107133652	1.018022964369398	6.69952441048052	0.6894201009830693	1	2	1.8215351363550492	100.29085655212185	63.50552153788321	331.04359439214306	87.70580197215527	67.56749477705681	88.00607517294654	82.28242571633565	84.80928636148933	77.87671060025191	81.30819228233709	66.80250636029638	98.37728690444291	67.96567591173094	85.21664255729394	78.63353638274044	85.05610188255035	72.39371030120469	82.44641820801905	100.29085655212185	76.99511265434387	74.22619324032812	68.59747216753591	76.52533480064692	82.43895627318123	79.00852863075252	77.64565727334696	83.24095704835476	85.15724920873227	81.27861281284534	73.91266103583348	83.0631334771019	85.97712666302276	70.60595778044387	68.85160759052876	85.63386108293693	77.31986817031003	75.1256069464769	72.7358139773197	92.15993557455441	70.3304345701869	74.19509859488191	69.70714957636083	76.46626125666576	68.57078190917332	78.37496209824349	83.18004266148475	78.9830464096932	76.05911342912388	80.35451048099588	70.96141337300482	67.3525581999338	65.63769418896156	69.74129547797126	63.50552153788321	70.37774339405723	80.58014232943289	66.52435368804089	70.86374169614878	67.91250919533057	70.93190642478733	75.95106052819841	70.82459651647534	72.12590471125151	73.28355110597246	72.48996920558956	70.24941286060815	72.63246609835033	68.3383811710706	73.38751213165651	70.95476562583755	77.76848653212521	77.61412016832162	74.91207170265226	71.89119898061433	80.5295725213198	65.77403575558114	68.622307517223	66.74174186602995	70.59897254254848	68.84977200830421	70.69536724663743	77.29268739817554	74.73325916216886	72.64001480814387	70.52461833017476	70.30756634933081	72.95054876493288	66.04592645388865	66.0587023732449	68.16147777130894	77.31111076209318	74.19516968262678	78.70774496917414	75.62070532375508	79.24249649529804
15000	-1059.3549250066224	-30.80288813509638	-785.5986907020816	-242.95334616944444	0.972328710497296	1.068749411719287	5.6893742868254895	0.6582602264068678	3	2	3.9622007827543673	98.70196635562182	65.83783297606261	318.9479425992679	87.99808878430447	67.56059503732683	87.93483949338125	82.4916890046968	84.7593636607585	78.20540312082794	80.84000084814679	66.68318172801206	96.74604602063567	68.00679578244271	84.90207720814445	78.45138392112302	84.70373806979649	72.27857440400363	83.7572543106	98.70196635562182	77.13996145175182	74.18777837832081	68.65080786522383	74.14236735816331	83.15499449310806	78.87882051732461	78.04609526316334	82.3597599935418	84.23531133499246	80.79078771806655	72.22203921411756	83.2228945455998	85.07487439700532	70.77194934519633	68.9480226350779	86.11273827857796	78.25362365349605	74.79153782175793	72.78126596530431	91.74668674776994	70.33865001701317	75.03560105122416	71.02659760516116	76.18954251841556	68.35764444002263	78.9990774337748	81.31277733946392	79.10711007286424	76.22038433542563	79.85660979843773	70.3345596312578	67.44647457737867	65.83783297606261	70.29033042310428	66.93375289521698	70.6032242389678	80.48629930976097	66.64061834099856	71.75297124249064	67.73289302775632	70.82712156665245	77.89906013587611	70.74515334243418	72.17511348200134	73.2779797410656	72.23727649088843	70.18800753334827	72.38453917209652	68.50651935087879	71.95875923103287	71.01722082051023	78.44013671494919	77.40656398958814	75.44004294961061	71.76940546900467	80.7547408817317	65.91438511153183	68.39310339876697	66.22134012880217	70.55798750426084	68.8494217550995	72.14714545803949	76.98311739807181	74.75377383971633	71.61004000236854	70.34626689112663	70.24617275083541	73.00232899722324	65.86246420992612	66.01987306623691	68.28982347103344	78.00835985472511	73.25557472384776	78.32360019245365	75.42990897346378	79.72808147772389
20000	-1041.3326672415621	-22.25681855434353	-773.2147700177957	-245.86107866942302	0.6047494958107703	0.9657417833672468	5.393323925834164	0.7053208326237286	1	2	2.653472437634521	95.89084065506053	65.82403449370744	320.163662629549	92.09770786701093	67.68059851621736	88.21422133893937	81.8842477499764	86.7403616358991	80.21191061795273	80.86833435967577	66.70025501749969	91.83044332011366	68.05774552818889	84.68367837615345	78.40523000358039	86.3206152257799	72.9092301779036	83.59629175300918	95.89084065506053	78.09823334153204	73.79800229233402	68.55260589779657	74.25937717649427	84.1824931747157	78.85181150887202	77.96953984865988	82.6246159838453	84.30900098454204	81.08134319369111	73.67125546015384	82.305928591686	84.98407451504868	70.70100900176352	69.01589759065983	88.24454082568847	77.59968547918135	74.76948180203051	72.81560171283519	90.10092738535087	70.33996878441899	74.35214329924807	70.04111727158202	76.62192850193901	68.34981371922272	78.467285708759	82.54373404994618	79.24894589616306	76.2772885106897	80.09809774352068	71.0857044487553	67.48569038620721	66.01896097246998	69.61139486251217	68.18182034129072	70.49328460609215	80.78789137373583	66.5559906926833	71.88796117769246	67.80867085067366	70.8412875946283	78.28802683891752	70.84312510916202	72.14911946958688	74.4101406823237	73.56572030146303	70.44671459555107	72.15945260239118	68.55014437266395	74.05247341682602	71.24536418691017	78.10756341954679	77.54445307782612	72.5272423029181	71.84924090324952	78.79883266112644	65.82403449370744	68.0177686271618	66.56741499642749	70.56775120677366	68.80140516886028	72.28139300638814	77.2220740868735	74.7674372342484	72.5792874555981	70.15147092986184	70.31129093196652	71.57461962386435	65.96503359869926	65.96632578126676	68.29261064756318	78.16958954747909	73.86012227955574	78.52106796085968	75.6992662489741	79.76756369244968
25000	-1065.8060364176622	-29.60024225151541	-793.8490338215145	-242.35676034463222	0.49222947185059557	0.9512875765429567	5.6249005265424294	0.7717718228344086	2	3	1.9595189994744318	95.16254747640242	65.38858443302246	325.8199547599456	94.8384886540536	68.28084044196751	82.89268768703855	81.64996223361256	87.86629496386169	76.45382844756429	81.55680779862057	66.71780557469262	87.77604169171993	67.93282293524776	86.06692800077667	79.85541709349845	84.94591555705072	72.7279401314903	86.74024216859122	95.16254747640242	76.17674587229676	74.3920817041704	68.58016247918856	74.26710427328109	85.5926731223785	78.9924544191422	77.92999406664487	84.10449993136407	84.58577470648423	82.24426773642101	73.59191249605408	85.47141172988299	85.4506290925632	70.8137626720863	68.92042987609898	87.72069993999568	77.69850767399238	74.82387817630165	73.53727883624663	89.45568465035596	70.44829460864297	73.17045834646625	69.88273581593648	76.75297196425406	68.3208096737911	79.04945431612985	80.1326446513447	79.88254625567417	75.8797123488587	79.92497726117696	70.42543195413018	67.4572985333639	65.85650139655736	69.49960040285072	66.93488051806175	70.75488980957084	80.72526575606089	66.57547025312023	71.59149651748051	67.77775706253686	70.91089572403774	76.7128235076004	70.56242955205391	72.03682187835881	72.45516618138576	71.41720097538868	70.31546793119121	72.365437462659	68.44058314970114	74.01725586798264	71.30065897656371	78.83371255851752	77.18995811790981	74.15681299374711	71.45822448167019	79.58580576660387	65.38858443302246	68.37276721910327	66.38447889573942	70.42798454656176	68.75208950928246	72.5185200539951	77.22287834530049	74.73726708000973	72.44278617137209	70.08841256076197	70.27869234157522	73.14901545745984	65.94867537656633	66.0124256883812	68.30326166260353	78.20233010441379	71.81163233587225	78.4169642813338	75.85934462085535	79.76321678015329
30000	-1073.2989374950678	-25.91676064750209	-800.2602059760342	-247.12197087153152	0.5055908692793332	1.0116046734172477	5.790095893360838	0.7391127532513888	2	2	1.7518913919124075	95.16693968837204	64.31252674624947	333.891970462865	95.16693968837204	67.6975848342458	82.750549166342	82.35700631899549	90.55959797968038	76.71001613996145	81.04444411905017	66.96206968443445	88.56392444631116	67.93424645494501	84.66785904917565	78.46479650611747	85.66084158236083	72.57865656873587	88.22083266476953	94.90797744309918	78.42494456951408	73.80159646227531	68.55777502372243	74.35142025986926	85.04167933789908	78.85147621018538	77.64071172823932	82.19275158179731	88.39950988592499	80.92753704586687	70.53665816475308	83.25811929805214	85.18458495080992	70.76263109574707	68.86261494417153	85.36778972656063	77.5236261565106	75.4860640848258	72.69290540473571	88.67573936271522	70.33124470010216	73.38444460825741	70.2155339584149	76.29201565564185	68.43207445072555	79.28397965045998	82.53003671744712	79.09401215127833	76.88233317464261	80.7251005864818	68.31092537421051	66.81906175523187	64.31252674624947	70.53920118489434	67.85229508161511	70.68227805194597	80.16633034313733	66.08831030725757	70.92941167396249	67.89057444833476	70.74529816193592	72.40819807385044	70.66039721739995	72.18494872051227	73.0226919370773	73.14335951081067	69.68851385311909	72.12710797161458	68.40472565443433	72.60261029073995	70.12669306455525	78.5721489280456	77.60886512667652	73.32166952772036	71.8890152316037	79.79889036061185	65.6614022915686	68.53208482585754	66.73400752267645	70.53360886480297	68.83932803028584	72.27650836570666	77.17567980345088	73.08433261328942	72.34043274067587	70.09346042788205	70.30959681245177	73.02772179040615	66.05978061762043	66.05578458246784	68.18301604749888	78.20525543320674	73.17289154046722	78.85536984118716	75.87330289983078	79.15666948247848
35000	-1079.1533817099948	-28.506706119765617	-808.5215735799688	-242.12510201026043	0.5836735261775609	0.8619729584615868	5.989270974829046	0.49007460643972695	1	3	2.4747589042235623	96.07154936678707	65.87123904424877	341.1462469208456	96.07154936678707	67.53716467418516	82.23075597928559	82.28825272997426	89.94341475898378	81.91598062437197	81.22442376387197	66.72634676382675	86.633922911576	67.92957367329022	85.15545369967313	79.84122509545757	85.12497576435679	72.41170840737422	84.03509229330034	94.89141486575726	79.37940649541814	75.63987867132577	68.56807238666423	74.45831271746621	84.62014477177398	79.57464009202131	78.59520149114645	83.42882431153363	91.1554571531352	80.78668296640551	70.52695904207344	86.75494259348643	84.85332340747618	71.0062103581329	68.86091725531473	85.1054355806734	77.3610107816008	74.79337288113683	73.03487646640751	87.43640013565582	70.3490325417963	73.2185574246862	70.05183494323455	76.43320046397618	68.39071008455043	78.58175947269146	80.44578334034392	79.36950088117517	76.04182025814337	81.45241470828397	71.28718414245068	67.0925763144893	66.02827755566238	70.263669942267	68.01077010731281	69.4455847969088	80.1500381596689	66.2414775176927	71.9206204445295	67.89594540983968	70.87860943455446	72.52122508855065	70.70370600378736	72.1109530850424	73.05739813178882	71.79474255718989	68.98045487399149	72.36196790332832	68.52521844084214	73.3002427734433	70.9142977221715	78.68702418608906	76.71208670045247	73.32990300698462	71.9533169724856	79.02221953234229	66.2148729472496	68.53572567533277	66.71743608639905	70.22921192304659	68.83834408232175	73.25464913304181	76.59593918843663	73.04645899747514	72.51066172282148	69.76031696459692	70.28855078543873	73.14972768733477	65.87123904424877	65.97966382994016	67.82792967489121	78.26849821685258	71.62530860395448	78.01931762801797	74.81553119765849	78.3507979360314
40000	-1081.0559266282455	-22.674493954093055	-812.4843470352222	-245.8970856389302	0.6100236597918269	1.0081282743684532	6.217191477070369	0.4759747656234518	1	2	1.0488681574182839	93.94711863246094	64.75588161564163	342.5314746230224	91.31047597756445	67.8338336703259	83.44829890527475	84.55149651264368	93.94711863246094	79.61290379961893	81.19168492505078	66.754988327382	86.54307631234447	68.00998315159603	84.79559526384274	81.93346123456764	85.13739039165253	72.44955424149876	84.35505957827863	93.06492241802977	76.47081166955836	73.94783010775245	68.56003149494738	75.71911401398562	81.54721890593548	80.42425459214171	77.96988266588724	84.1637481907775	90.89547910713773	80.91672915543765	70.50621366895942	88.62857257654092	85.9809350733651	70.61860745770328	69.06174881673128	85.51627389297073	78.22317605460118	74.77472876112377	73.08147598446617	88.85277099705206	70.32470443329412	73.20043419508113	69.73172529463241	76.12698690447074	68.41572739567076	79.0899509136238	81.14025889545847	79.07988266467106	76.48675195099489	79.97083480831756	70.37020051158994	66.98154345793043	65.2680608910148	70.13836290587905	67.58811083497933	70.3398058117024	80.44418831114805	66.36730961244454	71.90894901838098	67.73865264217703	70.78161868143098	71.37220484320801	70.35142648969611	72.10043383095298	72.28814548985876	73.87597190040947	70.06396630868875	72.33183040413321	68.54251136084724	72.2329312082626	71.28500224337635	73.98559688379369	77.35517179531998	72.52369936403642	71.46964959973388	79.74688895543261	66.20049161801859	67.85997591570558	66.77856649797343	70.5981950452529	68.63517734407881	72.60407508429704	76.9437041397567	74.76296073685037	72.27044261654234	69.99583247858813	70.23961631027068	72.47674298162276	64.75588161564163	66.03841165334956	68.2255477064034	78.14602488824433	74.41246577200818	78.62976205278817	75.0458230345744	79.76329851400497
45000	-1093.803322896575	-21.60123256065345	-820.2850180518598	-251.91707228406187	0.44557742328485417	1.1825228943602148	5.265628523040619	0.48444615598706187	1	2	1.4540885527622605	94.14623512469532	65.813166584492	356.9549283734326	92.75739949294048	67.54447356086713	83.96262531659124	87.62188433131317	88.80462724957964	80.37903374250826	81.62689961349304	66.82102002784067	85.99287745065416	67.96821613830842	86.84789178478698	82.67105094583367	84.87397146023714	72.20012971625614	82.50489782482214	94.14623512469532	76.89953984873094	74.51001027842126	68.5674086236859	74.27469193736701	81.13575063782126	78.87524112852957	78.03117046946866	82.22338944717684	88.81035559473551	81.08044577662189	70.59751618483692	89.64979591708222	91.56937224530412	70.68415084823008	68.93969682368687	86.41213389606732	77.4183980452928	74.85845804732296	75.6761750392996	86.99030902759037	70.37466689012496	73.8256031910413	69.70878979756976	76.76827430518568	68.51610587868818	80.47636014051969	86.39747038556538	79.12083564942733	76.3844011619019	81.06744445986006	70.597077958954	67.42351265856333	66.09324662898057	69.47961758052384	67.7302370382554	70.27720157690086	80.5342997692898	66.56738411907465	70.79610774607126	67.39843808434779	70.93149453017362	71.227642423721	70.19313568816357	72.1752244169059	73.13546964076971	72.47302028729851	70.22877945669721	72.37228745397576	68.08585753258764	73.92679559322089	70.0424106912116	77.02450502615719	77.57782361117104	72.12432940998336	71.7195053427409	78.8057249975696	66.22327403353636	68.66814875093024	66.29011106788107	70.58393546810044	68.79167174011008	72.50664464881655	76.84042437611915	74.2657151985073	71.96687535984132	69.57358836103091	70.30622793656602	72.09813857645499	65.813166584492	66.03384039417283	68.27959387367923	77.63409429978273	70.94359637215942	78.89612038175524	75.47062402783078	79.48534636937569
