Species	Status
Achelousaurus	extinct
Agathaumas	extinct
Agujaceratops	extinct
Albertaceratops	extinct
Anchiceratops	extinct
Arrhinoceratops	extinct
Avaceratops	extinct
Bison	extinct
Brachyceratops	extinct
Bravoceratops	extinct
Centrosaurus	extinct
Ceratops	extinct
Chasmosaurus	extinct
Coahuilaceratops	extinct
Coronosaurus	extinct
Crittendenceratops	extinct
Diabloceratops	extinct
Einiosaurus	extinct
Eotriceratops	extinct
Judiceratops	extinct
Kosmoceratops	extinct
Machairoceratops	extinct
Medusaceratops	extinct
Mercuriceratops	extinct
Monoclonius	extinct
Nasutoceratops	extinct
Ojoceratops	extinct
Pachyrhinosaurus	extinct
Pentaceratops	extinct
Polyonax	extinct
Regaliceratops	extinct
Rubeosaurus	extinct
Sinoceratops	extinct
Spiclypeus	extinct
Spinops	extinct
Styracosaurus	extinct
Tatankaceratops	extinct
Titanoceratops	extinct
Torosaurus	extinct
Triceratops	extinct
Ugrosaurus	extinct
Utahceratops	extinct
Vagaceratops	extinct
Wendiceratops	extinct
Xenoceratops	extinct
Yehuecauhceratops	extinct
