it	posterior	prior	PP_lik	BD_lik	q_0	q_1	q_2	alpha	k_birth	k_death	RJ_hp	root_age	death_age	tot_length	Achelousaurus_TS	Agathaumas_TS	Agujaceratops_TS	Albertaceratops_TS	Anchiceratops_TS	Arrhinoceratops_TS	Avaceratops_TS	Bison_TS	Brachyceratops_TS	Bravoceratops_TS	Centrosaurus_TS	Ceratops_TS	Chasmosaurus_TS	Coahuilaceratops_TS	Coronosaurus_TS	Crittendenceratops_TS	Diabloceratops_TS	Einiosaurus_TS	Eotriceratops_TS	Judiceratops_TS	Kosmoceratops_TS	Machairoceratops_TS	Medusaceratops_TS	Mercuriceratops_TS	Monoclonius_TS	Nasutoceratops_TS	Ojoceratops_TS	Pachyrhinosaurus_TS	Pentaceratops_TS	Polyonax_TS	Regaliceratops_TS	Rubeosaurus_TS	Sinoceratops_TS	Spiclypeus_TS	Spinops_TS	Styracosaurus_TS	Tatankaceratops_TS	Titanoceratops_TS	Torosaurus_TS	Triceratops_TS	Ugrosaurus_TS	Utahceratops_TS	Vagaceratops_TS	Wendiceratops_TS	Xenoceratops_TS	Yehuecauhceratops_TS	Achelousaurus_TE	Agathaumas_TE	Agujaceratops_TE	Albertaceratops_TE	Anchiceratops_TE	Arrhinoceratops_TE	Avaceratops_TE	Bison_TE	Brachyceratops_TE	Bravoceratops_TE	Centrosaurus_TE	Ceratops_TE	Chasmosaurus_TE	Coahuilaceratops_TE	Coronosaurus_TE	Crittendenceratops_TE	Diabloceratops_TE	Einiosaurus_TE	Eotriceratops_TE	Judiceratops_TE	Kosmoceratops_TE	Machairoceratops_TE	Medusaceratops_TE	Mercuriceratops_TE	Monoclonius_TE	Nasutoceratops_TE	Ojoceratops_TE	Pachyrhinosaurus_TE	Pentaceratops_TE	Polyonax_TE	Regaliceratops_TE	Rubeosaurus_TE	Sinoceratops_TE	Spiclypeus_TE	Spinops_TE	Styracosaurus_TE	Tatankaceratops_TE	Titanoceratops_TE	Torosaurus_TE	Triceratops_TE	Ugrosaurus_TE	Utahceratops_TE	Vagaceratops_TE	Wendiceratops_TE	Xenoceratops_TE	Yehuecauhceratops_TE
0	-1311.749884336478	-13.830431058204795	-938.062654775555	-359.85679850271833	0.9966515098271402	0.9966515098271402	0.9966515098271402	1.0	1	1	1	100.49372445240887	60.45726254806541	359.2242367153561	93.72598110921935	67.55147893621634	82.2476141205887	100.49372445240887	85.17365577200624	85.75850101892951	80.86450501473463	66.68739809628592	91.38141679102978	68.08556541831767	85.10786784021572	78.40181179649387	84.7130337994477	72.31350004390131	84.63392779505533	90.0998363823284	78.82575968659225	74.67941196508565	68.55663322415776	74.14776223636957	97.48342081865646	78.9885354683824	77.65014562471254	84.78829568222766	85.04301067832172	80.87619060763224	70.82875516083608	82.54567985955303	85.24822591616356	70.67296894548011	68.90247717405795	90.17435197189864	77.36460583822438	74.81123204315121	72.7154794758001	86.16987433655683	70.36378417169122	73.40942812538182	69.70071820487753	76.20296742728713	68.33150587091066	78.42517753155158	82.2132391001454	79.30788261347297	75.88900788274772	79.85538215556099	69.02335865570961	67.49032911921111	60.45726254806541	70.07148839736502	68.20812050442187	70.09790316222582	80.74986930707396	66.65399326451919	70.0378608258143	67.90749465235646	70.19926809755368	77.98738763442746	70.37292100621735	72.19519326994785	75.12016068204512	73.12916803114976	66.60501812428755	72.2651672584354	68.27564106292759	74.04488402078115	71.18092086661056	78.83677743959592	77.57230756436526	71.99837903548809	71.24388776040134	80.76094140717309	66.27112691016137	67.87948734016773	63.082474560450066	70.53776945773974	68.76291446230329	70.88085859133867	77.11892304723142	74.69787975342518	72.61760083598554	69.13826441418382	70.30856830170441	73.06161496609815	65.44649427761789	66.02244820064192	67.7222479517241	78.19145921448248	73.48684776951225	78.85057714620562	75.87145483797312	79.75277573219374
5000	-1085.0875454461464	-30.226978999830745	-810.2671847663179	-244.59338167999783	0.7205575999481276	1.179385028611273	5.346764345435631	0.5781278010744615	2	3	1.2885609594155065	102.41988878177702	64.51482151653849	369.5176259229293	91.6969360980989	67.59079495661307	86.04009164645572	102.41988878177702	88.11639095188805	86.6437999565946	81.03001691533434	67.06340811035795	88.06235755059194	67.97528217227887	85.59071224644198	78.43802225805136	85.97299805823332	74.6973591123129	85.79231247801732	87.5672760056411	78.23599339459535	74.33814944104284	68.56072573888613	75.86812006807858	98.04350185202063	79.16460904823056	77.77376250115346	87.52341195138048	83.92325486498743	81.38282483844674	70.65210481747906	85.46061349338768	86.22605718474924	70.62170607085815	68.99029086871582	87.24363665496148	77.34374331927162	75.55429111191575	72.6914699430212	85.02526808606599	70.65193649007566	74.96517495181835	70.098024437223	76.4430136536647	68.31579620386994	79.21386888534316	80.09011833214292	79.89896105960842	77.14349455920329	80.12434097201468	70.52965879685983	67.49251975542685	64.51482151653849	70.23000329612881	68.2881047561681	70.42874019832546	80.09384679619058	66.61726275115016	71.09061888600104	67.88602435335314	70.77055783005585	78.25137852167109	70.35388633872215	72.03499497358423	73.25063338795165	72.9087871499092	66.44772979132745	72.52446448690512	68.54324933930722	73.31340937986577	71.54152916709738	78.71531246527832	77.40657067315196	73.05181958723524	71.93073676496377	79.33908771032404	66.03744787418107	67.90008224745243	65.83740534898574	70.57356449849648	68.3860307160648	71.84843024765067	77.16217910911493	73.02543337520007	72.27852576466917	70.42564962564502	70.26704914298996	72.96683063963378	65.83457661586915	65.98149546012347	68.30014486510161	77.89790086035573	73.13385098897794	77.69902365920545	74.39678775139441	79.24012870536674
10000	-1089.017364789978	-33.0965753293116	-809.6572242527891	-246.26356520787726	0.7282922675092832	1.2155900678093439	6.349432649773769	0.57353609520912	1	4	1.5725210181869598	105.43420282593885	63.597352755270485	358.3832926829382	88.00593383972522	67.5339470584842	83.60060945829622	105.43420282593885	87.22308565689856	85.5386649768722	81.16427960955683	66.7207550008668	88.05447148174676	67.9813294103787	84.82488167331309	78.89507230305298	84.90557561328845	72.60481589307591	83.37918835847229	89.54138756620353	77.26865143788896	73.8778088847531	69.12230129923054	74.46606676066816	98.34416410665696	79.1419342919444	78.05174155341285	85.67145155533629	85.22108539002245	81.05258358242261	70.94230254308563	82.62403855972757	84.88125257598217	70.80443191508283	69.05279290528654	86.21863203584057	77.96420443999342	75.09934559549232	73.8509924238593	87.0593847473854	70.67806925786472	73.3743579038827	69.89607120232925	76.28806315403567	68.51129497828576	78.45143300936046	80.63474074423462	80.02338868605669	77.24668354443304	79.96736658651395	70.81906615014435	67.50098141446021	63.597352755270485	69.01848655882286	68.26111874505467	69.76740453489167	80.57297482099486	66.63948073117461	71.16720815889111	67.74777651990988	70.85839364179797	78.1432769504565	70.62131123639088	72.17860354285177	70.40373174406838	72.48268912456336	67.88232045472307	72.4184039889715	68.36597304417211	73.82187306564833	70.25860837306068	77.97106327773098	75.51591541906268	74.45765388866478	71.6778806344726	80.70012809560512	65.02768743107781	67.85850052710957	66.76061414816957	70.59217596813819	68.81445603498526	72.31543136575999	76.86734946282316	72.87703277957439	72.09267215193195	70.25158154702207	70.31152975047004	72.80301679159234	65.95065265835873	66.01259797507691	68.24496903225226	78.03163737731582	72.6479517770093	78.24066589588034	74.72295147092389	79.53839269697428
15000	-1075.6081220535716	-27.367849214549192	-801.6841403574867	-246.55613248153577	0.7048940874183474	1.0824461965259242	5.637530458911516	0.6261627440927292	1	3	1.5579563959822107	106.54995673981445	65.24500294670575	359.812855019723	84.39240762544041	67.550211930426	84.07295920616542	106.54995673981445	94.01311155910233	84.40414587986427	81.62117341663301	66.67342720596984	86.24205938279225	67.95318676626943	85.52666799495655	79.85472168532297	84.73311213212406	72.91481670990791	83.4669219283358	89.24398416304042	78.7470414673428	76.60407876908884	68.57397939644552	74.14699477204186	98.03827629229382	79.04947986976119	78.01616764108057	82.18176190200879	85.50500636610172	81.51242169528	72.00380751420413	82.99994455154203	85.39357572356194	70.80989057152944	68.8874316686403	88.35152538740773	77.31346586179417	74.79734047780467	72.74870833318711	86.4235200582605	70.41548770092459	73.76991709268614	69.74839910588854	76.24497164371937	68.3672190724928	78.48966411939512	81.20051458075716	79.52082535076165	78.02136807028651	80.10352021169557	69.21924730883653	67.42389923583416	66.13678438930532	70.6255389620201	68.19370151680955	70.399550889619	79.35584566580832	66.66946370575536	71.90696269015427	67.74987262577719	70.81366973315232	78.14792891194357	70.80546686642242	71.94016790534808	71.15756035075547	72.21628439976755	67.72408997743052	72.25676644881324	68.4977014944831	73.89853651446823	70.12243067996737	78.1295778662275	77.59272565374376	75.22958978776705	71.95596375550474	78.47692734633135	65.24500294670575	68.34658801813711	66.72459536953116	70.22452854640397	68.74913720886562	72.01878904776483	77.2562316881156	74.64545038301561	72.61079203500059	70.27566085077	70.15436667586513	72.6732815878925	65.8770624007484	65.88521038898529	68.11787495375627	77.78739491916707	72.1193405790072	78.85234916384852	75.4459002221806	77.73050290661952
20000	-1069.673921657202	-31.657473261884952	-796.0756729611664	-241.94077543415074	0.6331545923738362	1.0917228361280709	5.587316919739785	0.5661666226467886	2	3	1.3573231027982724	106.29348720265843	65.64087509420025	360.58026165285526	85.73625142353563	67.56680614220214	86.17540906209742	106.29348720265843	92.86132064925012	85.60650063403183	80.84424787294728	66.72466002223852	87.74245808824124	67.93859501531553	85.93140683845556	78.85587494264671	84.7885237341689	72.53776985375734	85.20353773484996	86.73558411789729	76.45997688998983	76.11742366374956	68.55362706798505	74.1288355917435	97.4200896212627	79.27033413841804	77.76803361641512	84.33847118816553	84.11982325654127	80.80438562266059	70.58995858342921	84.96248864318441	85.52386666872262	70.64903481293105	68.89401084844462	89.2725999128031	77.40466980650649	75.4089503247016	73.06285699840315	85.89447587118451	70.38159448055842	73.61636947340855	69.83628058957815	76.33073616856636	68.50280363506914	80.14290335681096	81.91865955833612	79.97513904605687	75.9215674844671	82.02963823353787	71.39828555621621	67.43220522759029	66.03011753833177	70.81483946720071	68.04968704477425	70.11951244868041	79.74578689833257	66.64960814491661	71.6174713644248	67.84119654797306	70.89882933803545	77.76908146123804	70.64654264879805	72.0643656344924	71.35635848879998	71.9520288452644	70.534978891772	72.58568914087479	68.54699304856533	74.0880936455851	71.33043819846033	78.37430218766615	76.28559819308067	74.40323484817125	71.78385895742043	79.70209279589615	65.85208681034551	68.24170743802851	66.67532948859127	70.52061243449695	68.8098039224555	71.69603773811973	77.04714771869594	73.91800476093925	72.56627682180897	70.2340833605296	70.22362873885864	73.13798296812053	65.64087509420025	65.99202308813877	68.26627453619525	77.91990288706153	70.87595595908051	78.95212963505394	74.65812220680998	77.01259466497834
25000	-1046.8124667281645	-27.833648015693797	-778.6203254725141	-240.35849323995672	0.4208431633396574	1.1433958216496185	6.3237858447899535	0.6511639406369709	1	3	1.7999815884517654	102.53679238761983	62.68544876532851	344.72076522863176	81.28829211231039	67.5427561053829	90.00479947685528	102.53679238761983	91.52842483049716	87.91724743238815	81.88230761912413	66.72229008100906	86.62969275272303	67.92750669391135	85.53349613406195	78.9556103367507	86.2683883716223	73.29481963439089	84.18080844618045	86.10360267242017	76.37891111651186	73.82109941926143	68.60032540373312	74.37680201727356	95.23899720734971	78.87800278685283	77.68499028861555	82.33179639821681	85.39358209692485	81.01229577587084	70.39980260373694	82.93532138233871	87.3271767795258	70.66627718934174	68.85259282090563	89.72474309252561	77.2981559453449	75.1421964958765	73.55023933646943	85.5778791153188	70.38880977684438	73.19631835261843	69.71977146358672	76.19100983237884	68.305887671834	78.32502976304436	81.72450591961231	79.67251875442663	77.8466165058415	80.1371610224037	70.02704202422892	67.38163452177928	65.96471784909063	70.10852640840373	68.20171652185509	70.54043194662474	79.45037033675845	66.65519764049466	71.94518320732442	67.89845828496517	70.92494478234741	78.01443575718245	70.6935386891868	72.12415843853556	72.06588687847574	71.80245617538452	70.34319766492952	72.05167604970515	68.22906908658418	74.05945604253414	71.36186926980713	78.76789971157922	77.58459033914377	73.59653687553222	71.91769778798063	80.13445142718192	62.68544876532851	68.51844298788173	66.54811050676483	70.57706792543152	68.84679785591521	73.2630258287209	77.17503029818877	73.90349879028683	71.92767097032124	70.58188244131787	70.29505345927352	73.0776947850433	65.76390591997328	65.96267244329499	68.2163963356666	78.27857537144826	73.20153361883627	78.36094746313482	75.45717916774846	79.8088075410091
30000	-1095.1570443295159	-29.574164835350633	-818.8733297183052	-246.70954977586018	0.972338810611483	0.9784656500381775	5.8506952216737265	0.8395698170883903	1	3	4.720103692009639	102.403952541776	65.69561919089149	348.1032198724056	79.32837223419497	67.71262932156576	91.54651925856435	102.403952541776	89.42415342814333	88.27626848994463	80.92959442634282	66.78400893531351	85.9673688400457	67.92488855663716	84.73925223651914	78.95134173708696	84.89116898327427	73.64591240116891	83.08665118449012	85.18602484620443	76.93438650616017	74.81090938170304	68.73522879502352	74.12636558762073	94.90019400151805	79.6158188896435	77.69788540020083	82.49737348476128	84.09648860448088	84.68229001090728	70.61290127874953	83.07733085261741	85.70454041505634	70.99286222354878	68.86319200332166	87.15070129516667	77.41293913600822	75.40694306617748	73.67339084744734	86.10104062251436	70.34604718110656	73.29712970585648	71.08273209339572	76.72307360952516	68.46517545338895	81.48047532366587	83.10798215055777	78.96248642788728	77.46966717923075	80.79299007811791	70.88421810898872	67.39016416288139	66.09576028872725	69.96043811566095	68.15594245142871	69.60362202550026	79.23575918132487	66.5506683869912	69.11109600111382	67.90676308628693	70.69892841575411	77.73083734457822	70.7807652472075	72.01263324712887	76.59963597410541	72.85175179469992	70.20309228406437	72.29704361184392	68.36948267216825	72.33893346081508	71.21243703624738	78.63166209872594	77.43288909504257	75.22407459147495	71.4854905721295	79.14495226137512	65.69561919089149	68.61790245693084	66.63770777550565	70.3506885335231	68.81380197160597	71.24043408310317	77.2101152615443	71.96915850338443	72.3289410998016	70.23083533946061	70.25813363283295	72.64060231999976	65.87031387055532	65.90849976374658	68.23748509779084	76.65909966992606	73.12671393330794	78.91519198131543	75.76546070995897	79.1296824427758
35000	-1085.386512245231	-28.03481975761936	-812.7335558543614	-244.6181366332503	1.2415681600836104	1.0517866710696486	6.42642654359331	0.7314625498543477	1	3	2.4977613593176935	102.97765898412474	65.705694469186	359.8356440383645	78.31268404395591	67.53206383555721	94.88692866252481	102.97765898412474	91.63214433574407	86.21946920237588	81.23807055102033	66.82059768800201	86.51030201101885	67.96705853773122	84.83657309359046	78.69195777836278	85.65358455841785	72.55011551659975	83.03254511489395	84.80833352245035	77.9497712954528	76.24635960788285	68.641855744496	74.59234550882822	93.22319687920604	79.12103238322099	78.6776157341378	85.09025429972907	85.04200541756181	87.46537224507829	71.41000541432668	83.73270015152787	86.16028623488747	70.60807721333664	68.86220513266197	90.1711247631304	77.76560557734317	74.81531671260218	72.73269109210345	87.86800304345702	70.35000311443608	73.95877507159643	69.75848990152105	76.19092953956424	68.4005972512105	78.30198298844562	82.02656700427809	79.21768714103655	76.13324257687978	81.23593561678678	70.35608755317531	67.3806241308131	65.705694469186	68.7296753967721	68.228059358752	70.11703277249963	79.42272112317616	66.00024704432961	70.54932349018527	67.79440213912022	70.82428536247288	78.26283395604169	70.49785078328371	72.05364672238319	75.78545398960162	73.14518406019972	68.0514864362604	72.52415531619425	68.51239007461812	74.03243048060568	70.18399171797937	78.08871519625852	76.53033750976856	75.27727893807707	71.65736399944487	79.69830633532045	66.13184216264877	68.05771513527637	66.50248309656317	70.59820375599315	68.75902266293653	68.45077929249577	77.05832157837727	74.64399290876719	72.45582673247294	70.02335422512962	70.2668145308946	72.96601092854885	66.03896119588657	65.97325579191723	68.03042818074123	78.27607551361744	74.00314053176142	78.10977904987271	75.69890038620544	78.12999203810567
40000	-1087.3642621439583	-28.561769945298707	-809.7396114159321	-249.06288078272746	0.8591180967582933	1.1774471681688392	5.800290815808483	0.8692631811226676	1	3	1.03470525429457	103.77064833670342	65.6510151580419	356.75375036173955	79.33916028156987	68.06902967881896	96.50234756756944	103.77064833670342	91.72019815368088	87.18001596457508	82.14423250767351	66.69725904676338	87.95721272619159	67.92209404851248	85.02846870512415	78.81375899691437	84.8648690459185	72.2960869874286	84.05162600585989	84.50048852809178	77.89826382450335	73.83483642489927	68.56773104555072	74.27779409596279	96.94869713646905	78.96263993927575	77.77672791955997	82.493325609834	84.64744733075355	82.08238564158374	70.50946844961223	84.10200845600122	85.27123820166086	71.17979643505556	68.90959011735892	91.39945634703273	77.33133428109677	76.90899238776845	73.68080754096678	86.56956279583795	70.52990980845185	73.33308664416941	70.18608988142167	76.25661989890199	68.39477853137602	78.41769989133776	80.12961811417941	79.13363700662612	75.87945825364963	80.4714028362803	71.11267929265136	67.24645194691597	65.6510151580419	70.4228190463058	67.81117666200089	70.57124628525249	79.31981446866544	66.31149818169261	71.14773745748504	67.89913592292905	70.8586293590827	74.5951282014142	70.80211992941345	72.07041174342964	73.47374588307825	71.79040994726745	67.65957354173608	72.26859353927951	68.54620490477781	73.57500164428404	71.5456029654701	78.62618728728908	75.29924353453727	74.7479846053664	71.89082843160914	78.81151401160763	66.10773236405005	68.55085252889661	66.75903137186862	69.94779288868429	68.83236672827316	73.10477093624624	77.08390901253182	74.66845901385385	72.22180964181793	70.29093989331196	70.17480977997502	73.11959306314442	65.9437729651278	65.9929954424527	68.2290189194421	77.7205271896498	74.32173102803586	78.23535991667978	75.63665903072898	79.19126540047995
45000	-1088.2572379224846	-33.48411401315414	-809.8873836514891	-244.88574025784135	0.8147171190175632	0.9148259290592763	5.834377239517063	0.7445553791879801	1	4	1.3506304076888525	105.1975991214432	65.41463183313725	374.74469732526126	78.90936907146913	67.55681780168003	97.07396705769187	105.1975991214432	92.72490604752315	82.79744763287975	81.4721664612808	66.88513987633488	91.09395925434484	67.93824609062398	85.04921322795097	78.78998327875986	85.97589333559256	72.26182571140723	87.13099294836056	86.11797494770293	77.03420445663049	74.23730476211144	68.59194636329808	75.15865173426147	97.32988959767839	80.10970328290887	77.75585432858041	84.22172746140771	86.07866932473121	80.9791760971303	71.41319087893092	82.56301610065287	86.11322167752307	70.74474630040119	68.89135567784983	93.86505560949948	77.3886228828737	75.08057245039386	74.3867914395235	88.19213607569127	70.32873403147866	73.28276475945874	70.64441525461255	76.24823260433382	68.46902307842879	78.4380409429235	80.22071795892478	79.09418614758323	76.0485778588404	80.41547070928836	71.06134181065148	67.50898820387322	65.98842847671466	69.31829739041515	66.337916469469	70.15983316262485	78.830381803618	66.65966067474277	71.60532841054385	67.80219965262079	70.67406420133541	72.64009002986727	70.83735330656086	71.99294841527242	73.63922030764357	72.57367791230537	69.92058244657476	72.58432435492229	68.32748344742096	73.13102841147504	70.52364976732704	78.65172575891064	77.48573914105147	74.4602059227776	71.84735823527741	80.5710332312029	65.54466166517086	68.2885773117396	66.1263438853212	70.59194774062942	68.7377187425613	71.67154267943043	77.14289075407163	73.35128846604758	72.633986365781	70.51134267091835	70.19024254672351	73.15865263692187	65.41463183313725	66.05422750183256	68.09500405573142	76.8489532382677	72.72543828984045	78.88883893126503	75.55003230681703	78.89762182032842
