it	posterior	prior	PP_lik	BD_lik	q_0	q_1	q_2	q_3	q_4	q_5	q_6	q_7	q_8	q_9	q_10	q_11	q_12	alpha	k_birth	k_death	RJ_hp	root_age	death_age	tot_length	Acheroraptor_TS	Achillobator_TS	Adasaurus_TS	Atrociraptor_TS	Austroraptor_TS	Balaur_TS	Bambiraptor_TS	Boreonykus_TS	Buitreraptor_TS	Changyuraptor_TS	Dakotaraptor_TS	Deinonychus_TS	Dromaeosauroides_TS	Dromaeosaurus_TS	Graciliraptor_TS	Halszkaraptor_TS	Hesperonychus_TS	Hulsanpes_TS	Itemirus_TS	Linheraptor_TS	Luanchuanraptor_TS	Mahakala_TS	Microraptor_TS	Neuquenraptor_TS	Nuthetes_TS	Pyroraptor_TS	Rahonavis_TS	Richardoestesia_TS	Saurornitholestes_TS	Shanag_TS	Sinornithosaurus_TS	Tianyuraptor_TS	Tsaagan_TS	Unenlagia_TS	Utahraptor_TS	Variraptor_TS	Velociraptor_TS	Yurgovuchia_TS	Zapsalis_TS	Zhenyuanlong_TS	Zhongjianosaurus_TS	Acheroraptor_TE	Achillobator_TE	Adasaurus_TE	Atrociraptor_TE	Austroraptor_TE	Balaur_TE	Bambiraptor_TE	Boreonykus_TE	Buitreraptor_TE	Changyuraptor_TE	Dakotaraptor_TE	Deinonychus_TE	Dromaeosauroides_TE	Dromaeosaurus_TE	Graciliraptor_TE	Halszkaraptor_TE	Hesperonychus_TE	Hulsanpes_TE	Itemirus_TE	Linheraptor_TE	Luanchuanraptor_TE	Mahakala_TE	Microraptor_TE	Neuquenraptor_TE	Nuthetes_TE	Pyroraptor_TE	Rahonavis_TE	Richardoestesia_TE	Saurornitholestes_TE	Shanag_TE	Sinornithosaurus_TE	Tianyuraptor_TE	Tsaagan_TE	Unenlagia_TE	Utahraptor_TE	Variraptor_TE	Velociraptor_TE	Yurgovuchia_TE	Zapsalis_TE	Zhenyuanlong_TE	Zhongjianosaurus_TE
0	-2257.945390530434	-20.16053071891448	-1937.5584621059452	-300.2263977055745	0.3228138273820399	0.3228138273820399	0.3228138273820399	0.3228138273820399	0.3228138273820399	0.3228138273820399	0.3228138273820399	0.3228138273820399	0.3228138273820399	0.3228138273820399	0.3228138273820399	0.3228138273820399	0.3228138273820399	1.0	1	1	1	155.18904875343097	61.37277569512184	338.1446662629695	69.75212991050644	88.34854917583841	69.40447080927399	84.79036386875218	79.91710968136378	70.25809535315076	90.05304265470096	78.37416267282063	96.38354165538458	123.32148952103829	66.76007097452587	137.9203431015392	144.6102949470707	99.52565378694676	123.1526192313023	79.63118579478946	81.8292322654509	78.57137825074113	94.2991587104783	73.18769217062338	79.69660646335944	81.82039122691504	125.61507847077881	92.1917895151051	145.15060847303513	86.21836835831641	66.47113901122569	155.18904875343097	84.91450747530806	102.99118448543526	125.26225786316222	126.94887692408473	79.28661391428274	94.51896282211229	129.0750509271345	70.93141214227317	86.43686206752557	126.54153338094216	81.21407121434096	128.65046489002773	116.68552148705214	69.65955121065149	88.21780594515106	69.34781919465996	66.3743322663257	76.00425133362158	61.37277569512184	74.21658490534412	76.86264585267119	96.36722023959086	123.22482144873038	66.6471281157403	97.63947074661372	144.55519086380193	65.42269791498055	123.11465518758426	78.98615174269582	71.56808298358726	77.97035229542361	88.32739989821205	73.08347442249044	79.58213475524639	81.25187912159994	112.9381086643283	92.12515352445543	139.9309811830575	63.59105384546773	66.35422172754477	66.00477015296906	65.72738284406574	102.66237406949288	122.61594115215686	126.65243675074886	79.2108681142996	91.53583929378841	124.0623341533837	67.68777404820909	69.92288791113872	125.9829209200104	65.93941066234667	128.533629449367	116.48175353250143
5000	-1822.8876965668958	-33.28142962038027	-1542.3240465541803	-247.28222039233515	0.16156844435608142	0.2918138366398074	0.3064960419716692	0.44864516629351997	0.2793876856862723	0.2765788505122356	0.13948003134383405	0.30909239706025526	0.22155871641806874	0.2184546452868659	1.1614012521804853	2.592195785492043	1.825701251686473	0.49785274644565564	2	2	2.204789479904818	156.29624622592175	64.63518953266873	356.6693559376291	69.72279302314602	90.64020650730615	69.43715102861977	84.60185265031305	79.83426848796599	72.62608138391725	84.41811964547107	78.23530251613693	96.92940617542494	123.56922517415676	66.93830935106091	137.23475992865812	145.68724005436962	99.75450079957257	123.67052644766898	79.03650660687391	80.9277186164396	78.40342581879467	93.9458141553774	73.1501478300864	80.02455481449276	81.35462331791295	124.71856384895294	99.13034970151213	146.9138007676842	83.82096599348554	66.54646630476282	156.29624622592175	85.02215133588963	103.34823424196688	125.7122495752117	127.1742651031454	79.33195803313811	96.03959027460618	129.32066654415033	71.89917970615728	85.94554665571667	126.75321896176928	85.70153021402356	128.82338021609158	117.53993344265173	69.42751164394787	86.20872581966734	69.3236142684801	66.33178587007774	76.12323965819417	65.29269262096508	73.88492090508073	75.1438560597412	96.21375816310258	122.8040745124137	66.60039779176033	98.75792968377473	143.84833408732788	65.89318394091204	122.51695100629074	78.98341326449278	71.42895536889081	77.23006854916706	89.71504646515177	73.03910008724417	79.53600990616017	81.2074081060007	110.92046438924795	91.94929943196827	140.803685833424	64.63518953266873	66.29856785905659	66.04338635221787	65.83234937343589	102.60612934784628	123.52927580093304	125.79350178770316	78.73701717319933	93.05792563317738	124.41836880799156	66.23864998121344	69.75877058322594	124.94006218760407	65.99891406707671	128.49725841002848	113.941681212112
10000	-1793.0492808684016	-34.475856412165456	-1512.1154994508684	-246.45792500536777	0.14018855952903533	0.17503582174553492	0.25147435549568664	0.3074460723317101	0.13261844851511748	0.15320086660577267	0.18535735458315214	0.4299939598048056	0.2410597736003388	0.4635666938501926	1.2671327350147243	3.02562074652084	4.242549122487059	0.7055777661522881	1	2	0.7905935075968401	157.59537415146582	65.88816394239393	370.992866232236	69.70658232410437	89.78562505625776	69.4239238179716	84.72494961937119	83.0581767904846	73.14205987684107	87.11303576061603	78.71565814698924	97.51705321624965	123.53583472523673	66.78457243246245	141.40308908908628	144.67205105685827	99.61010694987789	125.456743555879	79.88005156566653	80.72533417525416	78.09733159556593	93.98453903441288	73.40590441081153	79.63663599251616	81.4474975663665	126.18266797283545	96.01161581075135	145.60398512533013	81.81403972395083	66.52912358333714	157.59537415146582	85.36349775099555	104.69198362343167	125.20634815290909	126.98234653883698	79.30712228260666	95.34959739563729	130.40740183516766	71.58841220408395	89.06994288079525	126.28549466198456	82.63663777612376	128.92998462110788	116.55455910965308	69.66110043622325	86.53973256093559	69.36965476542267	66.3793755499298	73.83779366067434	66.09594027202102	73.23273291233359	76.27055038959584	94.75834875650418	123.13508063826761	66.198906236614	98.25088711931522	143.10661105727917	65.90470353085115	123.11134168361096	78.75922958363165	72.45827495198613	78.05684028775559	88.73856542939394	73.07029183928024	79.58397942989167	81.08029167121656	109.3831729256513	91.67023261726305	139.13559024688624	66.2396404891947	66.26198900261487	66.14470354004506	65.88816394239393	101.32301679854106	123.52712062621725	126.5349378361091	79.20762128659887	91.67772468921501	122.56743374366036	67.11826714398993	70.5720301612865	123.52415480884108	66.2172511085864	125.87898012698469	116.47176187083437
15000	-1759.9351398101774	-40.40380850314902	-1481.8067612814193	-237.72457002560895	0.11994179491901362	0.06355445101571283	0.13760086909216823	0.20583994903462444	0.1288399028559615	0.19402002568919005	0.17227254213602147	0.8220091134751425	0.2656987789688476	0.1843192171706775	0.6286156423624013	2.7541475699705193	3.4862661434767417	0.6290398601202777	2	2	3.001702504508793	155.103127306476	65.68907507864138	355.52895727432974	69.67565549446907	88.41267388853161	69.41110188106809	83.8265781662555	81.97585676607362	70.41502386616736	87.56380173238821	78.3305662149845	96.3816719815931	123.43929953146116	66.73429733498904	142.71646044974437	145.4254533209549	100.63735115243303	127.09448052201382	79.30119585608685	82.96075935454972	78.12691552486554	94.0069336861015	73.15075413562145	79.60679934216961	81.33141139078674	125.29134031234841	92.22326768772038	146.357674614946	82.96833198471806	66.64266960737801	155.103127306476	85.3901131729695	103.94550589961999	127.14995672861137	127.86995897466484	79.33316521441068	94.33965474511876	129.67007754888309	72.29143105459328	88.51506968355972	126.33312911737167	82.76942548404057	128.94493528795283	118.09525739054618	69.64205625491924	88.19656221360182	69.34302191878346	66.18809983837795	75.60057095643523	66.2558154723088	73.86150836212714	76.06086454747461	96.38035751648367	123.13549968801948	66.41921258902694	99.05724139060675	144.04882397120673	65.68907507864138	123.03118782928641	78.96306558425974	72.02669475775558	78.04643674295767	86.10622203824418	73.09434170040313	79.25453925289497	81.3166242494035	112.49810013340284	92.1683855905737	139.75251651340852	66.0965256164405	66.25858363502657	66.04218584219534	65.92866914537697	101.3294868123687	120.43914035320338	126.76064195803147	78.66633638022725	92.48253976875996	124.78898175618214	67.92271709086	69.85099927944077	125.26341228968148	66.32860749854308	128.4998391823921	115.43468533557527
20000	-1795.5982723341813	-34.68602141873126	-1514.2986143983628	-246.61363651708712	0.15799693553408212	0.05727555603191084	0.06792228915556901	0.1777622579906485	0.11921010507539653	0.15981135112122755	0.1623155787721917	1.717710541446694	0.30011982938136256	0.3413769626844195	1.0106818435663472	2.92112460357941	4.347471742371092	0.7394993258580909	1	2	1.2448530698529274	155.10856332004101	63.95307006044461	371.0093721484059	69.89974737900275	88.7276178037379	69.5099058260498	86.83128877976938	78.93833654008047	69.96206323396142	86.57274529632676	80.1567383742921	96.51734759462579	125.00992220728628	66.85912446947637	137.1467704410565	145.01032064758238	102.72315669476943	124.38662232996083	80.1177889395589	86.56261004708101	79.38739769197501	93.95774493614977	73.16635566448728	79.73193416971854	81.39274833579424	125.12817851847984	93.00917158251814	145.2067477237438	86.46534455996564	66.63214018427738	155.10856332004101	84.93937038024536	106.32459059397954	125.81790752014388	127.77213773354381	80.218579061497	94.57448945917876	128.5990561031018	70.97427608467203	89.74438828668094	127.25777714949426	82.43558190218357	131.33490488795286	117.10207980224828	69.61232232050097	86.58394487223472	69.30618988957275	65.69959490989444	73.41934028279367	66.25067539490878	74.35594644284326	77.31232852018137	96.08395895388487	122.70091199022178	66.27467479148527	99.47558901549563	144.53271716704143	66.10903226888256	122.84158763619124	78.67157237899835	71.5660857591172	77.93874426486825	88.72400233676373	72.95666718488246	79.49321956546359	81.23876452521229	110.78921167989066	91.20848644299144	139.55121924768198	63.95307006044461	66.16778015271939	66.16429617629515	65.97870460232998	101.5285984277236	123.13947136925931	124.43624268141083	78.78398909537255	91.99078385396678	124.43103707228991	66.8728993918738	70.46847204465182	125.96121048305083	66.06561399951025	127.03004602260658	114.53519683277686
25000	-1777.333186378789	-33.189100338826776	-1509.084405944341	-235.05968009562116	0.2881952121667913	0.07058003167807918	0.09110061858005185	0.3894748723571485	0.11603772320441542	0.3073620976320138	0.2338087828812673	0.9731547594057781	0.18921899266455292	0.38370124411119266	0.6263714062401519	2.487048964287176	2.967710681055116	0.680071260392995	1	2	1.0172923876017532	157.0949784829722	65.74082924477298	363.8908075867386	69.70069853516732	92.4257151121728	69.38290953777725	83.74266293669095	78.61222771544658	70.7558600900082	84.14064522184655	78.9496573370962	97.03655866516716	125.99665256630861	66.77756715950981	137.64579977871168	144.59410419266226	100.2192377590884	123.18305511159306	79.05719088200415	84.26723041684657	78.30810769743286	94.49329676906117	73.68422977288947	79.69274868271296	81.49757902916832	128.07147614467914	92.19783143699756	145.16003626091822	87.6986802071855	66.7538789524965	157.0949784829722	85.64978179064725	102.77869320880887	125.8304426172297	128.4826088347292	79.29394374601175	95.30175272121022	130.7097947694558	73.0571823504659	89.89596822370784	126.89081596637993	81.99501507816156	129.0397446099854	116.80776039180597	69.59290949707503	87.46936393862381	69.3690081385485	65.9814891978027	75.79097009850338	66.25437198698387	72.83480051050486	77.04762574238482	96.34127950937769	122.95927441183836	65.97567800831973	99.06910809704318	144.57597456596253	66.1072066821371	122.9367969231802	78.9039338493402	70.99820132884189	77.6052132942056	88.2713611411837	72.77898366116884	79.55129306856678	81.05885754945007	113.017362980073	90.79944045711753	138.41028797895297	66.12749538853541	66.27381787939882	66.15680208776222	66.05063955016918	101.17230689011059	123.40964296642744	125.68107571975737	79.06303461171032	91.78960300152283	123.27892315471604	65.84174413432038	70.60386727550123	125.86048815257041	65.74082924477298	127.08769995625396	115.1445505457567
30000	-1801.694737931607	-35.05135124499973	-1530.2719320826845	-236.37145460392276	0.2721564310010766	0.07475735294429886	0.0602086393767799	0.38052642017499505	0.18939656854736692	0.20594404897549853	0.22022840515528416	1.0963249989514445	0.2493038969203272	0.3393874645099813	0.7935956733085275	3.016764958852505	3.184045740900951	0.8801356385893964	1	2	1.5764058320585046	160.0711935624396	65.57619856202346	382.0020257941669	70.31865135708006	88.50175937341002	69.56438937633945	85.43716375208422	78.69573934239435	71.58234791576288	85.46601318817173	79.49688054241702	97.38953816402423	124.50951409807163	67.21652288434686	139.72946822529536	144.87862024841803	99.50154604319938	123.66665049196217	79.01713825495615	88.35163279179866	78.651312005012	94.49212027728241	73.49001800981216	80.14780686955932	81.55128717042038	127.19727985220283	92.86749684777939	146.22674494614134	85.78186293123699	67.2192824364997	160.0711935624396	84.95426913339752	103.07786906606228	128.1376561088003	128.02842043080497	79.35826188532468	96.0979652060528	129.15669527544839	76.96291870959307	86.38663540782284	127.19207609726706	83.66096586527946	128.7573876117273	117.38548261240165	69.4641277707548	88.24075172368417	69.21438416765727	66.09752517260651	72.67730393360513	65.87833648289862	74.76185869026382	76.43097666865188	95.99504760168945	118.60535305706229	66.04343323643519	99.3739413931997	144.5442756483993	65.90281062666739	123.06384991285772	78.81704234407589	70.42413555520731	77.58829117362124	87.87616751192536	72.48963064335963	79.44875255431316	81.31325342119311	112.86698255886452	90.8729671277505	140.80942046488627	65.57619856202346	65.93531521696323	65.83333540226589	65.94116083939348	100.48970405715859	123.22756358551695	123.28628467877549	79.2188075774687	93.08101892322267	124.83928712728839	65.85147135728712	69.96095150371822	125.36350052321478	65.91912523933799	128.48947502547028	116.36073951319825
35000	-1767.5880985558902	-35.07218878549925	-1496.9011047129156	-235.61480505747522	0.20227690627592929	0.12256049165717278	0.09648601157490722	0.25740957220199345	0.2238323522626347	0.2679229677448106	0.21397711991927962	0.9110326165551875	0.29244780160531925	0.15794591409247796	0.8390229693939615	3.476758041623696	3.618897242779168	0.705438686248261	1	2	2.240900779568306	156.631607478394	65.96142332426425	362.9872833507282	69.67493939438147	88.63602188435217	69.52864195470688	85.35792073384444	78.085571310699	70.63435506038863	84.0609789068524	78.78772920526895	96.74629271875556	124.20900117213056	66.90031432464744	138.14510684917025	144.64019166143686	101.59668919498478	125.18288989345697	79.13951162120426	88.34912066232	78.1582347742534	94.39228488273959	73.31591322775628	79.67454397162405	81.45958567544581	124.68295770021935	92.49270051989504	146.38112709315294	84.28809378935182	66.5180174052854	156.631607478394	85.68620547324493	105.59807461945972	126.00403793178128	128.34808569005227	79.24356294296899	94.45152163614759	130.5139803803757	73.2930818322563	86.12564402478473	127.0317145460089	81.39190865753572	129.36718640277033	117.0566776963312	69.64705885443428	88.18391186392837	69.21125780936472	66.14178949681339	71.98344861844414	66.16544419503674	73.94325268257407	76.8759796940856	95.22692717931761	122.80835465617862	66.2313305256284	99.56371807237994	143.1761314881826	66.09402556020169	121.95585207195438	78.92884147527565	71.52762999463725	78.0226681428575	89.62865440235376	72.68003581428961	79.34516694942563	81.32245027622183	113.03547474631684	91.22269061322719	137.24293926924062	66.00727230174138	66.17507627655156	66.1064500665611	65.96142332426425	100.97124204556773	122.63596070107171	126.49209153880095	79.23886799995856	93.1179393906846	121.87055855345226	67.53475574224184	70.634984726187	125.22412836357603	66.1554495415821	126.5491559310048	113.95435059409151
40000	-1787.8768054402733	-34.21500405202068	-1508.2940779208666	-245.36772346738599	0.21255824753533037	0.12749747589669125	0.14333050944634673	0.3421873172410041	0.14094465184885308	0.19635948650598392	0.2598571584713853	0.7782674289760837	0.44222983145181677	0.09893634441390711	1.3599038063814133	2.5900606118772456	4.077382143071821	0.7948638465518637	1	2	0.770145425595788	154.95886974359942	65.38679980240629	376.1709969081004	69.70091528343282	88.46696804676682	69.39298547171445	83.08623452739216	80.79199536513298	70.48714291730764	83.742327127672	78.71611908660496	96.61108328428068	128.52347063550718	66.86410820051128	137.3240849683173	145.69301300802385	105.0271516051715	123.2395796599092	79.15626933669483	90.38439484473847	78.09245864693095	95.02824075798652	73.30893254598193	80.0517369042629	81.37657326141749	124.87388157334519	92.25442004472879	145.12202236761922	85.83305621364829	67.0847187677972	154.95886974359942	85.09647127347486	104.13496563820985	125.72935682783198	127.38199316282066	79.28290923425836	96.20037093475086	131.2933034655661	71.9016836176579	85.7120212499692	126.83594672575698	81.21211041672359	128.84737128774674	117.26367826297843	69.5754021369578	88.21383650516093	69.3537962293969	66.07305150063596	74.11333026114981	65.38679980240629	70.56645844735255	77.12874129776267	96.31316169388265	122.8967793299266	66.6598117812885	99.69922767585285	144.291178035622	65.9228877532235	120.56227756757208	78.91430490816398	69.22743040267869	77.66925668673792	87.33492083386216	72.68052904658211	79.487068677161	79.86244107929078	112.90503622002959	90.68019663594168	138.1916170837776	66.0979839198392	66.26796905985084	66.12740288247251	65.98931678769958	99.73260926498041	123.34085580426567	126.32758473686809	79.1222803264807	91.51098037613112	125.1437546203935	66.48169293273546	70.46345735724763	118.92726854501234	66.19222930336767	128.60288948892702	115.87612238745278
45000	-1802.1823883918385	-34.76713448411583	-1524.1667165121376	-243.24853739558512	0.29877191842456985	0.18056365663054824	0.06711264430360475	0.26418056314721733	0.14585786416380894	0.2578081250541226	0.25672871770920386	0.9341895227038938	0.44269279740152856	0.04295460775519533	1.1822182651946118	3.1810789082205186	3.7185205594227724	0.7667320971810397	1	2	2.266128145650819	157.13507668110762	65.71975522224184	397.7502338947446	69.81694272482837	89.3085773049673	69.48570308273075	83.27813115487787	79.93148009792614	70.2763706939881	84.37290278850962	79.13646332194052	97.2457250345271	128.19905253224292	66.83230840309963	137.5368211439723	145.31701064696756	113.02038832580426	123.55543682979535	79.11604582283572	88.14970267621707	78.89288944293864	93.93631050846756	73.40606075517665	79.71141270278231	81.3358998449565	127.19184671192457	94.7597770471261	147.62287950895714	87.81141399526386	68.11060227714896	157.13507668110762	85.2318801071681	107.37743938444629	127.15471840858953	127.8908402909842	79.53269426645403	95.33980650989166	128.6830822586031	72.70506184007282	87.09705098592892	126.9398016760706	83.07162010067611	128.78904198874983	118.31683045560935	67.92292632394232	88.33480688148785	69.23029704802481	65.71975522224184	76.04957062722625	66.08898618741662	68.43963144137079	77.26909963550567	95.3680056139076	120.4899607148573	66.03259570482798	99.47950939207648	143.53214020596735	66.05707593725052	122.43467367334296	78.89583744466513	72.02874335450062	77.68468509656863	89.64920522175429	72.79463300823495	79.55196462864579	81.2729512997537	112.32707358883536	90.9324581058606	139.62717769573916	65.96852760574183	66.1923714314204	66.12250575145056	66.04197292597148	101.99202396373626	122.68268824629877	126.45175595623645	78.97541281138801	92.68224374672977	124.82161527914064	65.97933219251561	70.70467737093756	119.92120274262084	65.79509103204397	127.50156674689505	115.82611458244862
