occurrence.genus_name	status	ma_max	ma_min
Velociraptor	extinct	84.9	70.6
Balaur	extinct	70.6	66.043
Tianyuraptor	extinct	130	125.45
Deinonychus	extinct	122.46	109
Deinonychus	extinct	125.45	99.7
Deinonychus	extinct	122.46	109
Deinonychus	extinct	122.46	109
Richardoestesia	extinct	98.8	98
Richardoestesia	extinct	98.8	98
Dromaeosaurus	extinct	80.9	76.2
Saurornitholestes	extinct	80.9	76.2
Richardoestesia	extinct	80.9	76.2
Richardoestesia	extinct	80.9	80.7
Dromaeosaurus	extinct	80.9	80.7
Saurornitholestes	extinct	80.9	80.7
Richardoestesia	extinct	80.9	76.2
Saurornitholestes	extinct	80.9	76.2
Saurornitholestes	extinct	75.5	75.3
Richardoestesia	extinct	75.5	75.3
Dromaeosaurus	extinct	80.9	76.2
Saurornitholestes	extinct	80.9	76.2
Richardoestesia	extinct	80.9	76.2
Richardoestesia	extinct	74.7	74.5
Hesperonychus	extinct	74.7	74.5
Richardoestesia	extinct	84.9	70.6
Saurornitholestes	extinct	78	77.8
Saurornitholestes	extinct	81.3	76.2
Richardoestesia	extinct	81.3	76.2
Richardoestesia	extinct	81.3	76.2
Saurornitholestes	extinct	76.4	76.2
Richardoestesia	extinct	76.4	76.2
Saurornitholestes	extinct	80.9	76.2
Richardoestesia	extinct	67.3	67.1
Richardoestesia	extinct	70.6	66.043
Richardoestesia	extinct	70.6	66.043
Dromaeosaurus	extinct	70.6	66.043
Richardoestesia	extinct	66.9	66.7
Richardoestesia	extinct	70.6	66.043
Richardoestesia	extinct	70.6	66.043
Richardoestesia	extinct	70.6	66.043
Richardoestesia	extinct	70.6	66.043
Richardoestesia	extinct	70.6	66.043
Dromaeosaurus	extinct	70.6	66.043
Saurornitholestes	extinct	70.2	70
Richardoestesia	extinct	70.2	70
Saurornitholestes	extinct	70.2	70
Saurornitholestes	extinct	70.2	70
Dromaeosaurus	extinct	70.2	70
Saurornitholestes	extinct	70.2	70
Richardoestesia	extinct	70.2	70
Saurornitholestes	extinct	70.2	70
Richardoestesia	extinct	69.4	67.5
Richardoestesia	extinct	70.6	66.043
Richardoestesia	extinct	67.7	67.5
Richardoestesia	extinct	67.7	67.5
Richardoestesia	extinct	67.7	67.5
Richardoestesia	extinct	70.6	66.043
Richardoestesia	extinct	70.6	66.043
