Species	Status
Acheroraptor	extinct
Achillobator	extinct
Adasaurus	extinct
Atrociraptor	extinct
Austroraptor	extinct
Balaur	extinct
Bambiraptor	extinct
Boreonykus	extinct
Buitreraptor	extinct
Changyuraptor	extinct
Dakotaraptor	extinct
Deinonychus	extinct
Dromaeosauroides	extinct
Dromaeosaurus	extinct
Graciliraptor	extinct
Halszkaraptor	extinct
Hesperonychus	extinct
Hulsanpes	extinct
Itemirus	extinct
Linheraptor	extinct
Luanchuanraptor	extinct
Mahakala	extinct
Microraptor	extinct
Neuquenraptor	extinct
Nuthetes	extinct
Pyroraptor	extinct
Rahonavis	extinct
Richardoestesia	extinct
Saurornitholestes	extinct
Shanag	extinct
Sinornithosaurus	extinct
Tianyuraptor	extinct
Tsaagan	extinct
Unenlagia	extinct
Utahraptor	extinct
Variraptor	extinct
Velociraptor	extinct
Yurgovuchia	extinct
Zapsalis	extinct
Zhenyuanlong	extinct
Zhongjianosaurus	extinct
