it	posterior	prior	PP_lik	BD_lik	q_0	q_1	q_2	q_3	q_4	q_5	q_6	q_7	q_8	q_9	q_10	q_11	q_12	alpha	k_birth	k_death	RJ_hp	root_age	death_age	tot_length	Acheroraptor_TS	Achillobator_TS	Adasaurus_TS	Atrociraptor_TS	Austroraptor_TS	Balaur_TS	Bambiraptor_TS	Boreonykus_TS	Buitreraptor_TS	Changyuraptor_TS	Dakotaraptor_TS	Deinonychus_TS	Dromaeosauroides_TS	Dromaeosaurus_TS	Graciliraptor_TS	Halszkaraptor_TS	Hesperonychus_TS	Hulsanpes_TS	Itemirus_TS	Linheraptor_TS	Luanchuanraptor_TS	Mahakala_TS	Microraptor_TS	Neuquenraptor_TS	Nuthetes_TS	Pyroraptor_TS	Rahonavis_TS	Richardoestesia_TS	Saurornitholestes_TS	Shanag_TS	Sinornithosaurus_TS	Tianyuraptor_TS	Tsaagan_TS	Unenlagia_TS	Utahraptor_TS	Variraptor_TS	Velociraptor_TS	Yurgovuchia_TS	Zapsalis_TS	Zhenyuanlong_TS	Zhongjianosaurus_TS	Acheroraptor_TE	Achillobator_TE	Adasaurus_TE	Atrociraptor_TE	Austroraptor_TE	Balaur_TE	Bambiraptor_TE	Boreonykus_TE	Buitreraptor_TE	Changyuraptor_TE	Dakotaraptor_TE	Deinonychus_TE	Dromaeosauroides_TE	Dromaeosaurus_TE	Graciliraptor_TE	Halszkaraptor_TE	Hesperonychus_TE	Hulsanpes_TE	Itemirus_TE	Linheraptor_TE	Luanchuanraptor_TE	Mahakala_TE	Microraptor_TE	Neuquenraptor_TE	Nuthetes_TE	Pyroraptor_TE	Rahonavis_TE	Richardoestesia_TE	Saurornitholestes_TE	Shanag_TE	Sinornithosaurus_TE	Tianyuraptor_TE	Tsaagan_TE	Unenlagia_TE	Utahraptor_TE	Variraptor_TE	Velociraptor_TE	Yurgovuchia_TE	Zapsalis_TE	Zhenyuanlong_TE	Zhongjianosaurus_TE
0	-2313.691663187358	-20.80445099907252	-1797.9236506557716	-494.9635615325135	0.6350263076469095	0.6350263076469095	0.6350263076469095	0.6350263076469095	0.6350263076469095	0.6350263076469095	0.6350263076469095	0.6350263076469095	0.6350263076469095	0.6350263076469095	0.6350263076469095	0.6350263076469095	0.6350263076469095	1.0	1	1	1	155.33553400107644	58.36923882412921	360.2971471273877	69.73876963307536	88.42180447748545	69.4919271727385	85.23333781026868	78.4317351705051	70.0487650331663	93.36382914061873	78.88929361944109	96.4241134753452	123.34737926012764	66.8068372816632	138.03218247791153	144.97859418769275	99.37007111318817	123.21138743220428	79.02991038191708	79.8074210416418	78.11901070691744	95.02329782453569	73.30112617912171	79.60047100720537	81.48542318135966	126.18970043473192	92.22049866914115	145.295997529528	80.48843780848887	66.50213678622731	155.33553400107644	84.94597447024657	102.72955549819794	125.39429543913528	126.7892459964905	79.34701721714131	95.73823581696331	128.93985023224133	70.87482661806771	85.68072511149015	126.12834271239304	81.43205149436162	128.674329138153	116.57582804031398	69.66317253375135	88.3366309783656	69.26702322646624	63.827601125974105	75.36650532537541	64.58710670886688	58.36923882412921	76.83810597476716	96.16416812050005	122.97893258270616	66.66506943964355	99.16147376193115	144.31558405029415	65.96135251110367	123.10932595109156	78.95999230046077	69.46616477674606	78.04829232132118	85.66576759098231	72.99906189931562	79.54979238918315	81.2531964416222	112.90406558912397	92.147664127742	140.08621648358607	64.39421366627082	66.34909606369767	66.15652510579552	65.82581386964202	102.64289379725565	123.1856171735791	126.77153265815872	79.24007027429488	92.2977397821114	121.48062315495241	66.19936016200947	70.72513922835937	126.02279663280916	59.07465513971187	128.55713769570374	116.5274040557311
5000	-1855.8510977237017	-22.144106421442206	-1568.407802891647	-265.2991884106125	0.3146727829881238	1.0831580072594793	0.30117743365052324	0.32221854104102005	0.43593771696499733	0.23903198524133865	0.37759415916809314	0.7603793417361562	0.3903587760218583	0.48903026810462213	0.4023255820210333	1.8806730785568473	2.1877478636146632	0.43400154336613356	1	1	0.8552332018169297	155.1773414125325	62.31245950899735	373.7849053351596	69.68652717320698	88.79509416888236	69.4109382211252	83.59286181481819	79.1050445478494	70.68325081878109	90.38102459317741	78.30948021406219	96.64485258941907	123.92766084866479	66.95751547910564	137.71913293175996	145.78882168192533	100.55462712115758	124.63625002377795	79.0164746216735	79.72869751436588	78.78606462570646	95.15751468070607	73.35833548037887	80.20670403698168	81.34862656802389	124.46009967873593	92.20778335448705	147.8744306868322	84.58908554713908	68.16094932793241	155.1773414125325	85.43378084214038	102.70789673756396	126.54152012548815	126.81690699197972	80.22355094603158	94.43200261328911	130.28435831489537	70.89738070128509	86.95502999952797	126.26086542346293	79.70011255868714	129.32962776626817	119.00236628839724	69.53748028735	87.5023733352053	69.34556907668374	64.77286374319829	75.3800160465572	66.06164182802975	62.31245950899735	77.51840023986853	96.19448533807872	121.5684516791766	66.55795060219486	98.94005381737078	144.4424891369611	65.10407522599326	123.05129993222546	78.96706091865146	71.50692100834111	76.55277743597499	88.73668139288023	72.95143682777146	77.6613769561328	81.306029776381	112.40783416739106	92.10936596819862	136.21033148706744	65.67550079951528	66.1079163283741	65.99839401147786	65.50831726193957	102.65484817889742	121.02299332172515	125.52215618510056	78.66806351511687	90.91528062502755	125.19957056822568	65.76217687186794	70.17094401618975	126.01759782685764	62.372250928973116	127.43719383447059	115.33305372662578
10000	-1837.8572520597484	-34.214759888541884	-1544.760515253787	-258.8819769174195	0.18247185991535272	1.01068540289375	0.291510365725035	0.18871898947502844	0.27518506301358203	0.11543839233347454	0.19785375913972442	0.8775345856424749	0.24630591160515647	0.33265273686090446	0.46580022583861175	2.6060689527358467	2.3122960177850707	0.3560018267665142	2	2	1.2610063906585922	155.51425456308658	58.26910367901328	380.20583445265174	69.8883104766121	89.6930531728084	69.3823942482446	84.9267047151432	78.64295210713034	70.01495640592249	91.05692092423466	78.35513242673396	97.60660495669143	123.68788210933414	66.70884301304667	137.10600173337855	144.66767783901537	99.82690853149258	123.9681618139027	79.05247220938527	80.09312825904895	79.07600030976188	94.03404140967217	73.37529946001663	80.00764257457354	81.39564353899729	124.8195611738186	92.49184960617818	150.52317126918874	81.86690787158771	66.63557397741137	155.51425456308658	86.82225502121828	102.94105580667387	125.02363872948816	127.23029341257374	79.31848667453725	94.3573008853609	129.2547837402615	70.55588192167326	86.18997283761752	126.8393858774511	79.9083655669675	129.39064192653342	116.76311195796713	69.3541258276409	84.65780710378644	69.27878565371742	64.36887690094083	75.03453487719709	65.12880907455207	58.26910367901328	77.59230132090502	95.28782028756716	122.80768220226095	66.54976817718713	99.70678738846026	144.43111052623854	65.50919372121521	122.58765532026602	78.87055927523427	71.68478665887119	77.02474885459787	88.45923734704448	72.9199917757469	79.43637304150754	80.94939556550023	110.69474609752936	91.03541675628107	138.13739940679974	64.69721019830763	62.97983264079792	66.00326743720333	65.88564617981261	100.8302492876496	121.19764453988395	123.77986469999074	78.37516628836704	91.34769342472354	122.51427586722743	67.89066412577836	70.74490386530138	125.47689177581918	63.57575339838669	128.2928279171038	115.4384821156758
15000	-1814.566997899914	-24.678644026350042	-1519.7782673658357	-270.1100865077283	0.16908531895784346	0.30849330898269256	0.11994202281561069	0.16203432512652588	0.10882851540952719	0.24069970968263596	0.2387327100375413	0.8515685305265299	0.1605616624948354	0.18901049962462424	0.5473119822131709	2.3127174448033654	2.954622989678789	0.3473838566867899	1	1	0.5265967171145418	155.49333593914292	55.26959135438575	401.8343086121563	69.81318742400308	92.51758676512182	69.88995816303448	88.63248560730165	78.38209730549106	70.23625205046109	89.73562394109241	78.93047469988306	97.0747553467852	123.30460372022239	66.76525633297454	137.1410654430139	145.98958313542772	101.13552280188247	123.3134735903124	79.14481309777648	82.13515476450229	78.58810445535437	93.96101900164905	74.1803874786836	79.7154151028787	81.46128953322898	126.26969049114854	92.6632551298275	146.85575336656848	81.18743840005806	66.52307939756567	155.49333593914292	85.00446797015871	107.56202379873757	126.73335291202248	130.3634190013644	79.54775276787316	95.06518092783668	129.50495687926485	70.27143112575574	88.81539533025698	128.89625003567622	79.78861315401122	131.26454452907183	117.75363873313889	69.49986432738487	85.97480181481241	68.69132147955169	65.69436232983317	76.00942636116903	65.4005792241466	55.26959135438575	77.67944375900325	96.2927918867405	122.3101453156076	66.55343993606137	98.09443667785047	144.2693521591816	65.88527112081533	122.83837202902819	78.76253791267979	72.41614089720878	77.90245189958002	89.25221166591297	72.84624543007648	79.55421008604964	81.32102888001387	106.4019760112502	91.69797204229405	140.61178261479262	64.13734584725465	66.32514033971954	66.11894563545229	66.00015627452461	101.49849290758875	119.41085857762756	121.8963152381068	79.18731325681702	92.37787622428912	125.2743535949327	67.35767382992168	70.16208448151215	122.23707265903433	64.24120509315593	127.37859261579621	114.94419724724072
20000	-1811.165443737443	-25.686798611843713	-1516.3066943852234	-269.1719507403759	0.0968259117157572	0.2597015202144403	0.07433043955604268	0.11090145305915156	0.15793467139872644	0.187060599437027	0.18097184535977168	0.657960792290957	0.13513838173265683	0.19052233505793284	1.0402842820038285	2.336447130879339	3.2758153010586666	0.26362511325686055	1	1	1.6085156922920947	155.32721395916778	58.94692672126979	399.12436011656445	69.76188995248589	94.09700634819623	69.59465245288149	87.94985796905493	78.29179043617262	72.25345446117585	85.06315909690109	78.44501790193395	97.23508752901387	124.91050236774099	66.81271864374806	138.03684351921643	146.8543721761258	101.57438829038617	123.34580140264652	78.99329116299356	84.44659783734667	78.29990213629397	94.79920138123032	73.20008769277207	79.73831099823062	82.0199702909699	124.71721655130482	92.72001804277323	145.78440001888552	83.73711508791447	66.56413315848367	155.32721395916778	85.75149928174956	107.40272884065034	126.82799873851936	131.73531292670964	79.28308919297423	94.68070731939201	128.63754458653676	71.7067107174921	85.62760620844043	128.7342604470019	79.89009408963493	129.47351462126286	116.59583565026537	69.59830330316885	87.32718256711851	68.65820036733223	67.1167078808253	75.80296029530649	66.1394831505079	58.94692672126979	77.18574303909544	94.71116670099968	122.66971354399523	66.67680277410112	99.05004928951112	143.54825152253397	65.61459988045674	121.79730673229581	78.93444155734424	69.49502618979041	77.255131245076	87.53384573765314	72.80005867020964	79.13838862650562	80.96690961639078	107.6054828426363	91.44592563298659	139.6458798600741	65.11142541937969	66.05603500798985	66.14052176159252	66.03860496570313	102.64849772405688	120.52382366534476	119.1906150339813	79.21024320832014	93.14289116816474	122.20117423525238	65.97580910429564	70.33563920442558	126.05903107415678	64.89374826674035	128.60832443844944	115.99567134507329
25000	-1798.6575671704236	-31.5855506823754	-1510.6672559165813	-256.4047605714668	0.051424767266817877	0.16588015882831406	0.08852326020432004	0.0504926454453456	0.1915854613649449	0.22915085367594115	0.13587360217248756	1.0655398656560227	0.255198153649387	0.1600541234651883	0.7521609785130852	2.05033689257746	2.9876543413024876	0.2786619485663157	1	2	0.9080778972243937	157.0790614012109	62.669899615227905	398.1941893856285	69.6871039257665	93.98539985093608	69.38081691924982	83.34190934170049	78.5146143761677	70.09799648732397	84.27863616712652	78.53953512231452	96.48017011971544	124.81925099518094	66.80376644862524	139.88741013375977	145.47472446347265	104.90318199983952	123.42568039153387	79.03322306767414	84.68035512380607	79.37925426099105	93.97292620607796	73.40328164763221	79.68203089072385	81.42377577706411	124.82027507995421	93.63150196286009	148.5779760845956	87.35999940537533	66.76291777624351	157.0790614012109	85.31946818998901	105.25671853881606	125.8636191158553	132.46465351381718	79.25394038147945	94.47165987551168	130.99125057376526	71.058952941277	87.59401477604581	127.76562898069199	80.20741422106374	129.95092904699607	117.46617991670828	69.46706281055054	88.00607309302681	69.37054699665853	66.87382636642259	73.70372834936458	65.40300739337323	62.669899615227905	76.81258515781022	95.72337809572576	121.87741899339483	66.58936307227793	98.96251292129455	143.8122818890281	65.6787264162072	123.09902230402356	78.8860064061574	72.10054090798982	77.60948724494033	88.87120824445198	73.0071110153267	79.52036328089444	81.32774306421341	110.3604752910146	91.00975850148835	139.0798159460208	65.83963126407937	66.01765846558814	65.97507755709175	66.02849919006216	102.29868197869608	118.13065632126293	123.69582248229109	78.49099258991718	92.92888968240071	118.62353516852839	68.04188312277563	70.58338709067604	125.50210824211943	65.41911284747816	127.36140984686648	114.13772688659269
30000	-1788.1785225147094	-35.64823651056984	-1516.1716450683741	-236.35864093576538	0.033700186433097995	0.1276454123439802	0.04971587679635397	0.08519489462063744	0.18813165667424847	0.18955882433506382	0.17796303073596217	0.7383699528743755	0.22514246800482915	0.1738948104935555	1.5893780638866142	2.289620544888794	2.8726336201485263	0.3277159763491182	1	2	2.436064579127323	156.80531260099096	65.79018195878649	385.76550501931297	70.28563517703196	91.44159871874137	69.6395435681013	84.73363717623477	78.75151734063226	72.04421249435234	85.34230787248914	78.33438066477132	96.74956648193145	123.57772369619525	67.0314735597	137.2201546985155	146.7299430667686	101.85363675182867	123.75861052261571	79.13333120302605	82.43545529234588	78.1947821762821	94.67783047664284	73.91517250377589	79.64357340939964	81.44308281239385	125.57804055457686	93.13792299295113	145.89622308698387	85.49852667503059	66.76975402248002	156.80531260099096	85.42032437211901	102.69846437010273	130.6824854813566	127.44523642753501	79.42722519207578	94.36743336801942	128.76446412902496	71.93193524638686	85.76520880908045	133.71915546122605	79.86692557703508	129.0778207633799	119.19854813480616	68.4023298536235	85.93152709455295	69.33863845107308	65.85866485153431	69.80376528381811	66.10538382898142	69.35231326102607	77.45483737666225	95.5265839752742	122.33502603045878	65.92718852719167	99.32052365562265	144.2583200784802	66.12711671208127	123.07760785448488	78.97326141659363	72.23131460001477	78.02228397164755	89.01033565693506	72.22511632086082	79.57944604808537	81.14006942241531	109.08793418322459	89.62337881943213	140.43491073094438	66.08049402739486	65.90353489742003	65.90724290637971	66.03076665508911	102.3882529596959	119.36976344905557	124.68967080657971	79.13228856613844	91.28840234986367	122.2877511980038	65.79018195878649	70.59202139542029	124.08241175970812	66.06887097469325	128.59653523910436	115.86660476127203
35000	-1781.6756699620828	-37.16986101538994	-1504.4337957728817	-240.07201317381123	0.02882641918945377	0.08072024629400722	0.04128997666464693	0.06777082443660888	0.12277694426796487	0.15352985772657746	0.19750725068180358	0.5848808778948289	0.24966155124473374	0.12848044993495558	0.8523346039234218	2.4005754318269994	3.1781308830110238	0.27932399154577914	1	2	2.0136639032913797	159.0436298971613	65.61584620377683	389.6360327441762	69.83665171666905	93.35648937478764	69.37375331005786	85.87579668202478	79.08909380030818	72.11508333424308	83.70877829368172	78.46938126729323	96.38358291869596	123.64575005760851	66.78656771105017	138.1562496389653	146.36801419048763	99.40443077414177	123.94865824328308	79.22235165101074	83.27854940899893	78.05768999711711	95.11231178341316	73.48445699890215	79.81833286656456	81.76230339422307	127.0237313752981	92.33213346295491	145.12397993304546	82.4619242867553	66.911180786687	159.0436298971613	85.06490604908532	102.95572775736179	126.68031895166149	127.85994118272586	79.28780800178845	96.19180994896955	130.01828703350427	76.59864595791596	86.30027709919743	134.49768895528754	80.34504688673627	131.9457079704606	122.27831213957374	69.65687926932787	88.05275336416798	69.18449003780705	65.77635604698885	71.8137655830628	66.04258208429354	72.73852001799816	77.24397616144154	96.31565612790305	122.46624089575445	66.16718956372296	98.99878385110533	141.52065724009674	65.91280352364339	122.63256094535402	78.93763289302268	70.16369991245257	78.05144817274046	87.16850624108525	72.73510577359522	79.09418621858262	81.19901030694118	111.28077639618711	88.65091268172365	140.25480446366504	66.15992209897739	65.61584620377683	66.1590926704804	66.05853377297393	101.93192183669808	120.76549874971859	126.39779937199846	79.21261451537084	90.7081352275472	125.02952229850342	67.82618868251377	70.30641302054259	122.9762264247378	66.07183689518259	127.9885806523768	115.27187215145962
40000	-1785.2025317250198	-31.659018166107497	-1504.821524956888	-248.72198860202434	0.017911978545145944	0.1045891674866159	0.04392118796748696	0.05933734749499513	0.11895202333561809	0.20208927096026896	0.2571741310476314	0.7618187391426616	0.2353747642946651	0.14907716431953524	0.7224740614133783	2.0802044138176776	2.452914075931672	0.30061398964243213	1	2	1.2366732718112896	158.8860633690481	65.53535279791026	380.8560479936006	69.83485918315768	92.84144921777813	70.12086932961294	85.22178245259892	80.28901565809952	70.51410075660895	83.6441463217487	79.77103296227757	96.53855135946426	123.41665928063733	66.74635603118885	140.90437875127793	152.51738896709773	99.92037896744313	123.13778665806298	79.0951080927837	82.30707350998381	78.25044619083756	94.14504719485127	73.34040677028673	79.8220040762056	81.74562968860072	125.60893468420949	92.49926102755957	146.40947879853886	82.4599112458069	66.69686722009781	158.8860633690481	85.42264059553807	102.97943736173657	125.50678400239232	128.05415493296917	79.25928308925067	94.69108600415858	129.8176660208425	75.610765038208	86.26996559894799	134.4828736118205	81.97257609793019	131.59890306004334	123.76088689582295	69.52504027397008	85.94541768608386	69.34234864617717	65.8843621026771	74.65802231681508	66.04136387741046	74.115523015837	77.60696339608783	95.6085907101954	122.81103552885763	66.52803837152645	99.5188267652664	143.81262752804082	66.05084002567541	123.10378564137095	78.836156695449	72.56145846356806	77.86399053617772	89.45785388339326	73.02421848145227	79.57499587404362	81.30321334631418	113.00190705119257	91.8284925611125	140.75220985507156	65.53535279791026	66.16605006645582	66.1115317087115	65.88814944320563	97.28635266045262	120.75725912028483	126.1432143228437	79.22104099996334	91.7479155310329	124.26187232939083	67.6270776032999	69.93913748579459	124.7916987421306	66.11638336567297	128.43568308361503	116.46996018739408
45000	-1796.442825205841	-35.935887925275544	-1516.2042978083507	-244.30263947221488	0.05234976510511202	0.11369593679133098	0.040598127128030355	0.04959651704665999	0.07849979695212936	0.16954499246174196	0.22747920422509962	0.4333972606974094	0.1205188460200605	0.1688027263988665	0.7399743667425983	2.44711515876487	2.532842880357069	0.28362488046426165	1	2	0.9603961392045132	155.7318756634126	65.91833722435275	393.6751534491917	69.8073375637074	92.59232165648491	69.53676194435099	83.75483476623911	79.31448954685597	73.17759471814908	84.44354414694698	78.77928118815738	99.13183151906262	123.98661008889174	66.89521272975206	140.32772601243502	149.26096322964136	99.46685906456871	125.99957524328045	79.17813498850525	81.50327932657785	78.06813742587904	94.40728984083384	73.3423127334792	79.74538496759729	81.70676363431818	125.00635513295093	95.06999862205659	145.1522096166734	80.59047966221301	67.98672191449435	155.7318756634126	85.01870616867085	103.22698864078356	125.50266341691881	126.79539175585367	79.36227663451432	98.28109135180468	129.37653195493886	71.04588157599184	88.97572670000291	136.92508064213155	84.4486474356324	130.34749126718322	121.10317524673708	69.46466160042675	88.28835341860012	68.60719919513546	65.92768571938265	74.58446674934838	65.9483314625986	75.22418744419919	77.25123712144443	93.9800851336597	122.62121839498523	66.69596678160839	99.4931813837144	144.11554687934643	65.91833722435275	123.02420320108908	78.90348182540774	70.95050670817501	77.97215298502478	89.45434362580353	72.87064546892009	79.35056835550677	81.24051585545664	112.62711575565615	91.18764966475653	140.73799371372732	66.14192993527189	65.99596948788432	65.95557110165967	66.02420678569382	92.55843467364208	123.34868317966004	126.75057681467658	78.8632432524125	91.82877940009543	125.19406531651795	65.99755376538437	70.22994363972799	123.62715840290774	65.95613219276751	124.47873262971996	111.30777004313933
