it	posterior	prior	PP_lik	BD_lik	q_0	q_1	q_2	q_3	q_4	q_5	q_6	alpha	k_birth	k_death	RJ_hp	root_age	death_age	tot_length	Acristavus_TS	Adelolophus_TS	Adynomosaurus_TS	Amurosaurus_TS	Anasazisaurus_TS	Anatotitan_TS	Angulomastacator_TS	Aralosaurus_TS	Arenysaurus_TS	Augustynolophus_TS	Barsboldia_TS	Blasisaurus_TS	Bonapartesaurus_TS	Brachylophosaurus_TS	Canardia_TS	Charonosaurus_TS	Cionodon_TS	Corythosaurus_TS	Diclonius_TS	Edmontosaurus_TS	Eotrachodon_TS	Glishades_TS	Gryposaurus_TS	Hadrosaurus_TS	Huaxiaosaurus_TS	Hypacrosaurus_TS	Hypsibema_TS	Jaxartosaurus_TS	Kamuysaurus_TS	Kazaklambia_TS	Kerberosaurus_TS	Kritosaurus_TS	Kundurosaurus_TS	Laiyangosaurus_TS	Lambeosaurus_TS	Lapampasaurus_TS	Latirhinus_TS	Lophorhothon_TS	Magnapaulia_TS	Maiasaura_TS	Mandschurosaurus_TS	Microhadrosaurus_TS	Naashoibitosaurus_TS	Nipponosaurus_TS	Olorotitan_TS	Orthomerus_TS	Pararhabdodon_TS	Parasaurolophus_TS	Parrosaurus_TS	Probrachylophosaurus_TS	Prosaurolophus_TS	Pteropelyx_TS	Rhinorex_TS	Sahaliyania_TS	Saurolophus_TS	Secernosaurus_TS	Shantungosaurus_TS	Thespesius_TS	Trachodon_TS	Tridigitichnus_TS	Troodon_TS	Tsintaosaurus_TS	Tyrannosauropus_TS	Ugrunaaluk_TS	Velafrons_TS	Willinakaqe_TS	Wulagasaurus_TS	Acristavus_TE	Adelolophus_TE	Adynomosaurus_TE	Amurosaurus_TE	Anasazisaurus_TE	Anatotitan_TE	Angulomastacator_TE	Aralosaurus_TE	Arenysaurus_TE	Augustynolophus_TE	Barsboldia_TE	Blasisaurus_TE	Bonapartesaurus_TE	Brachylophosaurus_TE	Canardia_TE	Charonosaurus_TE	Cionodon_TE	Corythosaurus_TE	Diclonius_TE	Edmontosaurus_TE	Eotrachodon_TE	Glishades_TE	Gryposaurus_TE	Hadrosaurus_TE	Huaxiaosaurus_TE	Hypacrosaurus_TE	Hypsibema_TE	Jaxartosaurus_TE	Kamuysaurus_TE	Kazaklambia_TE	Kerberosaurus_TE	Kritosaurus_TE	Kundurosaurus_TE	Laiyangosaurus_TE	Lambeosaurus_TE	Lapampasaurus_TE	Latirhinus_TE	Lophorhothon_TE	Magnapaulia_TE	Maiasaura_TE	Mandschurosaurus_TE	Microhadrosaurus_TE	Naashoibitosaurus_TE	Nipponosaurus_TE	Olorotitan_TE	Orthomerus_TE	Pararhabdodon_TE	Parasaurolophus_TE	Parrosaurus_TE	Probrachylophosaurus_TE	Prosaurolophus_TE	Pteropelyx_TE	Rhinorex_TE	Sahaliyania_TE	Saurolophus_TE	Secernosaurus_TE	Shantungosaurus_TE	Thespesius_TE	Trachodon_TE	Tridigitichnus_TE	Troodon_TE	Tsintaosaurus_TE	Tyrannosauropus_TE	Ugrunaaluk_TE	Velafrons_TE	Willinakaqe_TE	Wulagasaurus_TE
0	-1510.0583754624206	-15.644294687022573	-1072.835352065565	-421.57872870983306	0.41720873244410406	0.41720873244410406	0.41720873244410406	0.41720873244410406	0.41720873244410406	0.41720873244410406	0.41720873244410406	1.0	1	1	1	117.54952436065241	53.247943422314215	512.821398823622	83.0627036422653	74.1609775122817	67.85030188286063	68.6612728900231	71.19271134390391	69.01893016839855	84.07116993534622	71.28632667941977	70.37226401298662	66.75589360801148	66.62155606493856	66.81664305950412	83.76888460062835	88.88822846356997	70.22869166991862	69.85105474506307	110.69364623945738	83.91270905324865	88.88499098973212	83.85038924070649	85.44353492419681	78.69453184082778	84.90122941491379	85.25064364393553	75.49338966153681	83.82716172209308	85.55433851619262	85.92566367409233	67.80101139544539	88.97758695485766	68.7463507494333	86.07389225310527	69.25740065768903	80.74511519236825	83.09822444014304	76.41527515123732	74.12754800296274	71.63640300161954	83.80544228927552	94.2430393086874	114.02459611916532	78.48231076201499	78.26246646569031	78.2222324395326	67.25756917935996	68.31651165829648	68.86475537516618	84.77308167522702	68.8427778042342	79.78061831835855	86.2109779459339	83.11724993647161	79.61588227983803	66.38053899210708	84.6349436346144	79.334802938548	92.89531267290683	66.47491673398602	117.54952436065241	66.34196557078582	85.30108230726334	85.1957532451686	99.86233802469751	68.46080750060246	83.56368724423287	78.41082146563828	67.58186421461569	74.08734571180625	73.75768103217193	67.42782207151541	68.51334912528932	70.98695577070922	63.84793729250283	83.89559863922678	71.20475839377161	70.17223696268408	66.37185116718757	66.57298642765748	66.62105019344374	83.12387404300868	70.91283034243627	69.98410194743265	69.78233237057773	68.39950712761787	70.6295023981573	69.33285145416015	66.08900818878426	85.07656961351303	78.31731062286595	69.00714219146393	67.23651029798202	74.5866508113501	67.18720707568485	53.247943422314215	85.79074247928457	67.47677106224208	88.7030308166121	68.29985619178767	66.23451672546379	68.86657410895687	80.57844747967272	70.1358145565424	76.24627978334837	73.87102151843025	71.1820212462691	74.86491340203209	70.38348666933139	66.23946665412906	78.3776334504045	78.20307560005935	77.9777531976767	67.10985545864833	66.18277543100983	66.75154846578037	70.39048717914531	68.74756519184898	79.55175314003311	67.95054345595067	82.99779132046743	79.5815933896129	66.18520396577138	65.91139637700394	67.40283553478746	64.40552957492832	66.29106773519882	64.534561999485	66.21651049407143	84.9467113962549	72.60333530967075	79.89810781139715	68.31727469422673	83.31642080786348	78.31437422979678	67.49355603785315
5000	-1496.7292729223996	-21.832342361221855	-1078.444601497921	-396.4523290632567	0.2782160106885689	0.28169671033472105	0.326451050470136	0.47616056133067886	0.891781513956458	0.582707728716208	1.4364882816427236	1.0735003169084556	1	2	0.8123344038063554	118.07391309315226	52.79782295209977	554.9501528955316	87.56748526202858	74.39265007367185	68.62646184395997	70.2674450160576	71.16216164136752	69.2388127734854	84.14260455176226	71.44980192441436	70.62888895295733	66.86636078356992	66.61825014203043	67.14776915439461	83.7551714017566	86.22706063912005	70.4463373286935	69.91714628683944	106.92551090347591	84.18676490775765	87.05658085542457	84.45659319395932	85.95931187612184	79.076073814573	85.05883885243131	86.2133047744866	74.78674614577288	83.71630202750829	88.73811831583141	85.88218924455282	67.99293370345332	91.49538011616181	68.43833460046045	85.60005900494443	69.23798869377254	85.78211952652401	82.95113688137955	77.389850323101	74.63139728012253	71.88846284493897	83.90790319164732	91.8537059485383	113.31999400818634	78.60468879104909	79.28372211320008	78.9784531572649	69.91546776371868	68.17296710841053	69.18416010705	86.12387155517794	68.85383056445829	79.96254624532473	85.26339163742509	83.20146825761537	79.59400402353933	66.51419394109782	85.96079191254688	78.7228392341122	92.11451799555374	67.73576855244652	118.07391309315226	67.14631499702033	85.52318843201172	83.59479657755338	99.40807154958294	68.50889762019007	84.3562352320262	78.3713105684024	67.67648177603542	76.06147486696557	73.79531234823975	67.57382000537204	67.90428447663756	71.04793198366568	65.31272645188447	83.64837346458243	71.20906804896211	70.30045587631615	66.3860347732038	66.60619398268975	65.37580187950088	81.29141427530112	71.1045419454119	69.79155496960546	69.82948435664552	68.82252619124888	70.25846978954846	69.41242534354065	66.07804742940651	81.11613199579658	77.53677096015653	69.38894449817525	67.3554523966019	74.70790081208216	67.18116281826991	52.79782295209977	85.21780877196295	66.75916155990322	88.51935205261756	68.10822436209847	66.51513433577637	68.99790964488473	80.3395251816311	70.40695244695745	75.58579643842734	71.62000988475809	70.46322223657914	75.57130654294605	69.48924688510735	65.80400901331957	77.30060201426602	77.43508048529216	77.50887203518694	66.63187686778869	65.98127655842218	66.19789982527402	70.24764921559783	67.6611805102437	78.59797928581462	64.05162380738156	83.04957121306569	79.52026628637735	66.15790370186595	65.56036433763757	66.61884617218101	64.26941803514318	66.12099490612735	65.77039850700773	65.37487782199231	84.66784960593625	71.872912891313	80.78571053101025	67.92233522503203	80.86086141085711	78.21961795527172	67.21799126670355
10000	-1504.992993723428	-21.401367243530963	-1089.9559187548543	-393.6357077250427	0.24692182987647404	0.9306889162070681	0.34509182981695474	0.34237065824330115	0.7563200524523616	0.5849074475738694	1.3057805976340127	0.9545548089431906	1	2	1.7292595438053016	116.64562232536106	52.272225786449646	549.7879823125339	87.37577581221093	73.92585362188835	67.83753910353514	71.23166212718792	71.16978545408176	69.93985949883569	84.35096827591686	71.28007367631886	73.37195081832182	67.81732423877507	67.19737110892697	66.64728587930594	83.90660780221	86.36502313739446	70.36555520089148	69.93845102991052	106.55523843157599	85.35229886808153	85.6206356234598	83.95601162865816	86.45279078808174	78.79756378781272	84.85959360360597	84.7164956638855	74.95219569845173	84.1335012765817	85.70623157046137	86.10847352823744	67.93433513013584	92.30019327076405	68.53275340416958	86.24921884862897	69.74387859507507	82.45362631878476	82.88638636043551	77.59335758351527	74.56847878047046	71.68834388491449	83.32390873458071	85.75296206216122	112.10911872088757	79.52250938234563	78.5736041866026	78.9619440678771	67.74508805727265	68.05722276723743	68.85677629503334	85.0019650427272	69.05888165499447	80.11460169633551	85.08290499075075	83.35229585927414	79.62376167601842	66.53328690868794	85.51213003070814	80.87523751017879	88.45551069441511	66.48733362636852	116.64562232536106	66.76635131415097	85.22677456815705	83.80739004441101	98.39672438922732	68.9761833760081	84.23904398659354	78.36766515456812	68.4114824568929	75.68892696721807	72.04870189723303	67.53932229455964	68.08415148111192	69.73379038654056	61.22687601028923	82.86539279369907	71.00901822614443	69.3592973960515	65.98355472473693	66.28129479515052	66.3786142309481	81.9580751148267	71.2563812964841	70.07770718579509	67.50148506002166	68.04660728431108	70.24901607555447	66.2426098541804	65.86610366588128	84.91516849367407	77.44453128075162	69.30888312933894	67.20386425839581	74.14944046463364	67.23023086600655	52.272225786449646	85.46833712082157	67.55197259478105	86.81082901545199	68.37201107698219	66.51861715915214	68.88371843670406	79.06316019399642	70.4624113057786	75.73551772042929	73.85036494795472	70.85371157705106	74.52325995111458	70.70955289643739	69.09088310146889	77.83918762470023	78.02670694350071	76.30147612096007	67.17275862509793	65.78294235527308	66.45148106411342	70.7034390071319	67.77276930803941	78.35741632623204	67.56030013883962	82.98429748774954	78.88690179034086	66.04980781846399	65.18041631596365	64.0720298586161	65.1831524364919	66.37392859783564	64.92522989412426	66.10335135139559	83.87272856331859	71.84067373432696	78.34397001124316	67.69112873003664	79.99309556685917	75.41887593628799	67.22930497373835
15000	-1466.0968620081926	-26.70163212372652	-1069.1163530583042	-370.2788768261619	0.21520785457828373	0.6607563020281937	0.3605865682954628	0.24370150897347784	1.1604806354272577	0.6465126220227285	1.6454063345604595	1.1754292955998855	2	2	1.1742516170477924	118.30731221454617	59.47119678803581	524.464075557005	81.89473347712945	74.85053701485073	67.87950318836283	69.47331894780847	71.47897742314385	69.07000853685513	84.25242492249747	72.0532192868193	70.68411880419568	66.66887398432952	66.62504274496125	66.64992862546168	85.27349578492209	84.46967498215407	70.13047087113029	70.52903961981981	103.98746471268443	84.19240399106731	87.62890580513577	84.03072579710766	85.45488988950638	78.65495578996482	85.7721527745072	85.61006963153179	75.69448396265382	84.19835354117738	84.5996639335035	86.24827322260496	67.69221866280533	89.71159921651292	68.83967648637842	86.35159176576595	70.29431060039745	80.71881954081258	82.78829237683465	77.17243176180209	75.54031341268151	72.4033076478711	83.04876848498506	85.4926857328149	109.77405992830826	80.46459367669402	78.48689916281141	78.32785115078289	67.24129752920138	68.35850894158048	68.7654528315705	85.26263924796736	69.01630635797288	79.60546543773697	88.98713095509264	83.23671677059448	79.61982127636603	66.35623574126775	84.69425115198835	82.2316726349922	89.64147478755343	66.69416797875223	118.30731221454617	66.54050965905579	85.1562320299061	83.34349414835654	100.18133830771589	69.53318077360359	85.59999952947885	78.54803245083755	67.58091002100892	78.06759774855317	73.71714777972363	64.74900009063997	68.34680010992315	69.63365208206022	65.16519023550971	82.33934815672426	69.68175374166091	70.25327072588426	66.3887825553946	66.32569514595463	66.41578286689727	82.49318538983687	70.30969120015654	68.70663726825121	68.85546460119266	68.49314087455764	70.39534336755302	69.24848860018194	66.06095134806985	85.37934246367838	78.55280941179959	67.33194618566522	67.28497211065438	73.00313638785296	67.17894368844833	59.47119678803581	85.50722673220828	67.51583248817018	86.64490732726811	67.9632145187662	66.38627987575344	68.25551947916026	80.60894911956433	70.48646493080822	75.7731396696787	73.77051035408894	70.47945032620002	74.47622562612833	70.26018109485796	68.55464151050577	72.7653878511928	77.21595350266148	77.84044449895278	67.1737859736769	65.88866866783799	66.71007437721474	70.41470692201506	68.64218254215388	79.2919407904044	67.89505672788734	82.36151837084532	78.07356631220622	66.1500717175019	66.10445927143863	67.84229844014803	64.96717578730323	66.27685755554192	64.58310188409168	65.70179722939694	84.87172887535641	71.90079874929226	78.3408337156692	68.4140388575647	79.69295330170836	78.32965635527168	67.22033383893353
20000	-1459.2113943024297	-35.77210178622098	-1077.1642036479207	-346.2750888682881	0.29778293776940595	0.3111225201756388	0.2936797833063935	0.08168477236791959	1.6602782733213093	0.767115683338673	1.468982670587827	1.0865769207430924	4	2	3.2018156694634343	116.01081156291833	62.96850836394431	511.55328402775035	82.48202824932287	74.64829555727466	68.07070899751709	68.69153586258368	72.9916619076053	69.56506935980431	84.33331331212625	71.60792164384549	70.59501805613209	67.10035083043209	67.47350045735858	66.6801788267729	83.5307341141765	84.0824588976729	72.89653154898541	71.54013818728083	104.34732737307344	83.81392438659982	86.09247010748729	84.61039072678535	85.46837616230367	78.71037262581866	84.86235157685184	84.72941563474873	75.65436513998148	84.13056721045083	84.15738235798273	87.20581307575151	68.6779821021096	93.30302889644699	68.78489535824261	86.61638023586278	69.42139661394967	80.91241526128829	83.85571602226987	76.61216420571623	75.02004991315468	72.16368242686879	86.39350255041175	85.84823073979368	108.16353279979894	78.63012148290002	78.27926849376564	79.59697465254138	67.23454257034506	67.66468655948181	69.11292964738271	84.76946172284364	68.78331855304863	79.69750522082	90.03251454768571	84.23503982348977	79.64474466066115	66.26961284496373	84.5958903987455	78.89901560933127	84.20198089650552	66.73383395560644	116.01081156291833	67.43557381368905	85.3620131370775	84.31431184717903	97.80403048282224	69.15254708450242	83.69969765737234	78.60983872357258	67.83372026823574	77.94389030110466	73.6866401626104	66.95751711099179	68.57479481119488	70.78660832930326	65.81834475268715	83.86058810636887	70.51419597334959	69.88810504522266	65.68785868901391	66.54079651051315	66.55634743661653	82.22718322849036	70.62971630685908	69.99223405127624	69.74803460437641	68.72902989714485	70.64580173022155	70.41907522681163	65.96947135311197	84.80813210930972	78.46495499633673	68.84089856965997	67.25096042695814	72.91180929779487	66.80129376634643	64.56201239598032	85.230586159484	67.04299149029623	88.29001376066559	67.98844408208039	66.1490825497407	69.13299594255196	80.34947282133788	70.50340763759391	76.12693593301306	73.63695431945273	71.35643664213536	76.08436029795465	70.79450807413498	68.42758619388634	72.87168201264217	76.14875379255221	78.07232615884936	67.19791871073345	65.59256539868228	66.84628014547017	70.42892922447007	68.40606680181948	79.19254024397794	67.01494625725442	81.16943585357055	79.3877440350911	62.96850836394431	66.15673680693448	68.60581561899693	64.29363025770324	65.75753672161372	65.99314781098138	66.07467317996644	84.68526388172624	70.68502385187631	73.10491393880993	66.58018487671526	81.69994828375407	76.72909338352775	67.30214479673087
25000	-1408.5709151336912	-36.775874099801385	-1032.5330072901838	-339.26203374370607	0.3006442715980605	0.2564377201124528	0.275781556356973	0.10108473682901795	1.9484509374922006	0.8025391026266461	2.0360266594180256	1.0587232701143057	4	2	4.296386758147747	113.39547123876835	65.3784051682194	486.23997552416535	81.78088484888451	74.39800160882471	67.99427866493433	69.27000889468695	71.16396111241203	69.63845121055581	85.41942803097008	72.29004352007614	70.35937008592256	66.83899038619052	66.62188042549144	66.91412712200768	83.47706114589145	84.34957488722314	70.10719584041645	70.17506178952652	103.25646346573791	83.98471384622971	84.80388291748179	84.05819689524705	85.47505800283544	78.61160192416992	84.62386124475627	84.89057329416023	74.78940714653531	84.45331793194215	86.22072221664648	85.99651674767205	67.69314580163515	89.02748643023993	68.61311024060339	86.36479232905855	69.18945893752134	80.83206867328342	83.08993013850836	76.35401138683041	74.1225651864633	71.74493377433672	83.92385095921078	85.37226010664592	107.60998827142498	80.08859838757888	78.42033742526944	78.25349659863382	68.00569762938105	67.53423755749921	69.13436392661755	84.89502852332085	69.0032368335107	79.5942671050766	87.73963454935407	84.44976703749064	80.86556376882176	66.22905737670551	87.81571809437241	81.22979206439537	88.07690208033239	66.68636930853518	113.39547123876835	66.38561781994581	87.93600036425025	85.4062385066556	98.01440783161335	69.358468740972	83.63908463820067	79.03949151507031	67.54696378946169	77.32792995587826	73.0833805630083	67.42519825276227	68.0329901967522	71.1375855649366	65.74032827536465	83.16558173013303	70.92048013637054	69.96695422234939	66.54102346459399	66.06866314389694	66.49888253328416	83.32200552395705	71.03452215863284	69.95794080939959	69.76965138611972	68.16745392105095	70.63213745241136	69.99997216011556	65.56071470381137	85.28899004986177	78.56979310396248	69.39173859900392	67.3110540952295	74.76124497741685	67.24718553042871	66.35706313049631	84.38991221537609	66.28120348888615	88.71724916724973	68.05065510169743	66.07696734287578	68.64213505960129	80.46067128176372	70.45608391595258	76.25678187356225	73.85930755888418	71.16582971936877	74.52861261161496	70.41469709966724	69.4040607400327	76.1008760668845	77.00520578062248	77.89795929497667	67.11122644516449	66.12561773728449	65.85360349257543	70.40587580994132	68.77690179332092	78.5113545960182	67.95476025525096	81.53798157932594	78.5916486317227	66.16314458704602	66.12870134844921	68.73643200297614	65.3784051682194	66.3724036557707	66.00546768206868	66.20423735054439	85.00389292255196	70.4625237300142	74.89152988910921	68.19751185460916	81.93563965641461	77.78252288283109	67.28401759940505
30000	-1406.5185283718636	-36.60403581011833	-1039.334247129615	-330.58024543213014	0.2042397391631708	0.34173148998772235	0.3479977016477762	0.11979627437989383	1.0486078791882008	0.8272802991552538	2.078060947555374	1.0509658958331305	4	2	4.701525625473714	112.92867165047883	64.46364152911529	488.129545766358	84.07614658097188	74.86349138288111	68.2647581278391	68.65336357627572	71.95889430400332	69.44392563408309	84.32978244456997	71.36212731790718	70.33869957163625	67.36769152730491	67.38334309654124	67.22284260939222	83.46902242482317	84.08521095732155	70.53360559231123	70.95895213684568	101.06138816845186	84.02176196593676	84.42564788593224	84.01652319823344	85.82290659041418	80.9227330553809	85.28445082468068	86.67793716002537	75.00098524014759	83.77471602054933	84.23218487216025	85.89529979257094	68.06163329321797	88.9624536253486	68.50653973637274	85.6059748555779	69.41078609772389	80.64040629872318	82.7490973746329	76.42162244589571	74.44559278213009	73.28835724381548	83.38803309415279	85.32488957962471	107.34487392212527	79.92512274554761	79.3501238327202	78.40410259555797	67.28943867748073	68.35062891814226	70.20863170837953	85.09587424699913	68.87609240102398	80.65798109044778	88.88970519104096	83.94838120560064	82.4650061500929	66.34509834289182	85.750138738247	79.40776242049746	85.57582460796945	66.47446809984193	112.92867165047883	66.25259372519568	85.14705512072646	85.65041231325846	97.35610087400094	68.5947183296977	83.72240786530266	78.863585357348	67.55694364743182	77.24005441995902	73.77589488564483	67.52058082277027	68.63797207776301	69.89028009992295	64.46364152911529	83.92682189642098	69.80294268106346	70.32814675489942	66.07441572276497	66.21103238425759	66.62989784864592	83.22326225608938	69.7164777164309	70.02892869361663	69.55251613273636	69.04949827440423	70.65596579310828	69.33926584654785	65.9988615360158	84.6473538705964	76.48605374110278	68.70219442435153	67.25481817317618	74.7488048662728	67.18133276658345	68.49620599706586	84.90738171727249	67.3782272323648	87.79095513774959	68.35672266340381	66.12404332707986	68.95910265693398	80.62151653992075	69.87949225291325	76.17313134650337	72.43343067997691	69.88344591329694	75.94314812799563	70.31784597742512	69.20093965942493	78.06841344539421	78.22267213752531	77.51961179693971	67.11657260457005	66.13310821873688	66.41894440686622	70.33482903739286	68.74658027808796	79.57315349427131	67.93729654728502	82.81654820867423	76.4936801792724	66.04622844212078	65.91612311838387	68.02156788247379	65.86234933473841	66.40121265506825	65.22058770080855	66.2231289840627	85.0875866792903	67.05795349045913	74.74468653525872	68.38919789902126	83.35121016784925	77.8566798028434	67.44344900711417
35000	-1389.6849463401309	-41.904866071769334	-1031.3567006730716	-316.4233795952898	0.29180501412984855	0.6887576047643633	0.25708001825635096	0.11286143673528459	1.4242316473169205	0.6579173069264987	1.8866540321381826	1.3203905410931878	4	3	3.0378138688131817	115.44288199779827	65.58686628892848	485.38149939705795	83.47430472937235	74.0694906866071	68.42753546818432	68.6982368354421	71.17579958289923	69.0947508582589	83.94653697494458	71.30786334827805	70.36880390518013	67.08771323226415	66.63471030763986	67.86228748927736	84.0101426041637	84.32981568501309	70.10099377246277	70.0514250277804	102.54277758357736	84.24330210669726	83.96703918286292	84.41454885619886	85.53015158808424	79.07551020282277	84.76844471325776	85.15363527261223	75.61748506289561	83.71035092439395	85.26886011935784	86.34209829899793	67.6439237258107	89.27361814041606	68.80438648263096	85.93249972933843	69.1836472333782	80.73582258151318	83.59596381133586	76.99532397548626	74.12521468214258	72.80339304506475	83.94135548413738	85.18513057488833	109.63801884398488	78.5847678424643	78.46797426309897	78.14872421952444	67.81564367059343	67.53992493468853	69.2900211324161	85.42244750949288	68.78338737653861	80.81441564812337	86.59225195030659	83.48400178455812	80.5487253622253	66.34770638128855	84.66507112206052	79.45972607858147	85.71642243627059	67.00151628405933	115.44288199779827	66.25321215925594	85.17238333534668	86.44983568501065	96.60777662303664	68.47735376174337	84.0382454479934	78.44656187335507	68.02855615249807	75.44672154331127	73.61026010064039	67.58567758628132	68.49267980951014	71.08607917573849	65.58686628892848	83.48241185851288	70.0581182475956	70.28321769327484	66.3246248417527	66.27335634781352	66.17679942085243	80.60117772856599	70.48313196442703	70.0047181936207	69.3882005704244	67.43694413443585	70.52069737013363	71.25998214735102	65.92251846435158	85.35910682347291	77.87946128739259	68.9490864990631	67.19933713570761	73.65687236031549	67.25494660551593	70.55437129953829	84.70246363080182	67.62610133098516	88.73630038967264	68.26951578086201	66.24479131043475	68.84054111800778	80.38390606778593	70.2468999237908	75.98318377387548	72.66018687545296	71.23425918953012	75.9716714630604	70.32304227927753	68.31501743501629	77.3368393621343	77.49780496815083	77.93340941167614	67.15735096914851	65.77843733566488	66.26130704493926	70.31337737082927	68.77801267575332	79.13433517584639	67.70448663708859	82.9005745385944	77.22291826714566	65.88876180992845	66.16647109776413	68.59843252418318	65.83987323227602	66.32532772873758	65.93332151047314	66.15874824612341	85.03674766745623	68.25912473194504	70.60253978141341	68.29272772392483	81.81222812116832	77.96093532458907	66.04160904088951
40000	-1407.9635856413336	-43.374459665183004	-1053.8689742588238	-310.72015171732687	0.17339322728075393	0.5808373106442172	0.2591250103883085	0.048272864132216466	1.2984268953558573	0.7344420113085521	2.1469921371068748	1.2695409838855143	4	3	4.1120937738648795	114.67307987813825	65.74994303479869	498.5911024195585	84.29166525719901	74.0301385143502	68.2452834021332	69.05796062439492	72.11771170281155	69.66079904458846	84.67131720983896	72.01810930273648	70.37473374720487	66.83396458397681	66.9863242106516	67.13095023412362	83.37988298926744	84.58896837402125	70.09450276144264	70.00185897178777	101.90004765648233	83.96355303188831	83.22446646006142	84.58191219025733	85.75809332870533	79.21862560224619	84.64430201665577	84.86216263934723	75.23882124924239	83.63922424984412	84.92203204216419	87.22943181523333	67.67465346179095	89.77008372106354	69.10674750233112	85.53398305736597	69.47631337131469	81.02876129986574	83.4832090505043	76.99100057450732	74.00114882782731	71.80843486991381	83.60452811548119	85.02604501134165	109.5606149646196	79.84824355134572	81.59519234290252	78.5361604139727	67.36977990630751	69.22523917539584	69.19995353182281	85.0394222688422	68.934898197495	80.24183596419353	88.1413739346461	83.300685343834	79.80333909572029	66.22197188559758	84.88336720893678	79.11656797706277	83.61372226612906	67.21140575601764	114.67307987813825	66.29174095888096	85.57023315969519	87.67095777401829	98.22836534964554	68.72686471420839	83.99063761066401	79.51455478774496	67.6055215114141	76.57973330121136	73.71196379027508	66.20902414251442	68.16657917206734	71.1138954017872	66.02958432825969	83.11908445559644	71.01796140004996	70.1215618695618	66.47793449577954	66.23351709413409	65.99768290760527	80.76673565109051	70.54539834613774	70.06080591702026	69.56765536980093	66.2288451570665	70.62527067291374	71.21322408741065	65.87031282746302	85.39432299254302	78.56049254931193	68.96365317025693	66.18272095890194	74.08811405115486	66.87858778481353	70.93942506691008	85.6631951856332	67.36724645386087	87.27275248403996	68.10621525075578	66.27547229120891	69.13852072529062	80.55758779300471	70.64908604592688	75.8603792443838	73.8221451742552	70.133501278678	74.2218108197678	69.64256228052164	69.28261736372659	74.03481191686099	77.63340090256494	76.56262245293355	66.58776948328966	65.98175672775517	66.30414476035318	70.38643699597839	68.67660239987977	78.69368888127948	66.2259806841348	82.69818281680698	79.47804502177846	66.12891314945715	65.75546020855067	68.44604764896607	65.74994303479869	66.27848713344841	65.87593702017084	66.16266297556132	84.83250253292653	69.41678797936589	69.51802688313605	68.26862609899744	82.29927617960973	77.57579243401004	67.46729351035108
45000	-1417.8570115678056	-42.658069363618246	-1052.5615838510043	-322.6373583531829	0.2178620827475463	0.3181752126973421	0.18284104976183296	0.05165505673627876	0.8179387611372244	0.607961869062408	1.385114183941139	1.164983655053814	4	3	1.9334385823862106	117.85446800539485	65.29256563993962	516.6507137541698	83.61561817214401	74.05579683298296	67.85569543637841	68.79500806563229	71.68603764023075	69.09954746710888	84.32232318649699	74.27727911831651	70.46497112745318	66.77240175985817	68.11270207651165	66.64709604651554	84.03224874740148	85.0943224769572	70.14742005571193	69.85886812095994	101.79146899512199	84.24762344595894	84.42305082269965	83.76935121407129	85.54483191955214	82.2438242450909	85.2636037781607	85.09742960910361	75.70562794953752	84.58708126626502	84.18174839399543	85.87987747080831	67.69744632517592	89.22419030902014	68.6229655407201	85.53547238770473	69.4604394163814	80.64827335693961	83.81985640700503	77.91236859142775	76.17634898435195	71.56647667851537	85.148908024121	85.16646702468886	108.6047597324222	79.60730900209778	80.99916676929573	78.18811540897089	67.72975102721442	67.73992627092952	68.79814559550769	85.0155151762406	69.19574830468183	79.75027117113595	88.95069895206584	83.85707788520251	81.53450731823182	66.23061416960519	87.42081645941552	80.30939294947227	83.83669435584976	67.00726183311316	117.85446800539485	66.25588108460953	85.1541097950988	89.38762260308499	98.2866098821446	68.46473479152337	84.34217696377885	78.34458902621486	67.55904884780725	76.87781358358852	73.72588846081311	66.82859638299823	68.5248736019849	70.39035358996409	65.29256563993962	83.55081767970908	70.98273076107563	68.69488519799357	66.13987860609657	66.09289714479984	66.46918834231556	81.952205484416	67.9946918731024	69.95808641309506	69.80178393017903	66.97140960093127	70.65760008929826	71.2018868708375	65.69847512318597	85.36819183853261	78.54830857366885	69.26556513409346	67.18530020715524	74.16018506734216	67.09895078896167	71.28123842058096	85.6641232203231	67.05940300514389	87.93029386332395	68.28568822613259	66.20973563316606	68.97645135426154	80.60901818647471	70.56175615407751	72.57739468993107	73.30392349968822	70.73185708583755	76.04636613803426	70.85160437666028	69.12980362862987	74.8689525150004	77.84792813143181	75.40253301956083	66.40868457955831	66.14812415857318	66.19344015741905	69.42477582459448	68.23932189074962	79.24666763734396	67.91198274255333	82.91996477498486	77.71457226778124	66.2167436471102	65.7541955999549	65.63881249686976	65.93526260073837	66.43318692795782	65.57939698351426	65.99018865925785	84.72909327349235	70.05649463621519	68.20558932466497	68.43986856682406	82.54842946756798	78.29161145659029	67.52875930536435
