Species	Status
Acristavus	extinct
Adelolophus	extinct
Adynomosaurus	extinct
Amurosaurus	extinct
Anasazisaurus	extinct
Anatotitan	extinct
Angulomastacator	extinct
Aralosaurus	extinct
Arenysaurus	extinct
Augustynolophus	extinct
Barsboldia	extinct
Blasisaurus	extinct
Bonapartesaurus	extinct
Brachylophosaurus	extinct
Canardia	extinct
Charonosaurus	extinct
Cionodon	extinct
Corythosaurus	extinct
Diclonius	extinct
Edmontosaurus	extinct
Eotrachodon	extinct
Glishades	extinct
Gryposaurus	extinct
Hadrosaurus	extinct
Huaxiaosaurus	extinct
Hypacrosaurus	extinct
Hypsibema	extinct
Jaxartosaurus	extinct
Kamuysaurus	extinct
Kazaklambia	extinct
Kerberosaurus	extinct
Kritosaurus	extinct
Kundurosaurus	extinct
Laiyangosaurus	extinct
Lambeosaurus	extinct
Lapampasaurus	extinct
Latirhinus	extinct
Lophorhothon	extinct
Magnapaulia	extinct
Maiasaura	extinct
Mandschurosaurus	extinct
Microhadrosaurus	extinct
Naashoibitosaurus	extinct
Nipponosaurus	extinct
Olorotitan	extinct
Orthomerus	extinct
Pararhabdodon	extinct
Parasaurolophus	extinct
Parrosaurus	extinct
Probrachylophosaurus	extinct
Prosaurolophus	extinct
Pteropelyx	extinct
Rhinorex	extinct
Sahaliyania	extinct
Saurolophus	extinct
Secernosaurus	extinct
Shantungosaurus	extinct
Thespesius	extinct
Trachodon	extinct
Tridigitichnus	extinct
Troodon	extinct
Tsintaosaurus	extinct
Tyrannosauropus	extinct
Ugrunaaluk	extinct
Velafrons	extinct
Willinakaqe	extinct
Wulagasaurus	extinct
