it	posterior	prior	PP_lik	BD_lik	q_0	q_1	q_2	q_3	q_4	q_5	q_6	alpha	k_birth	k_death	RJ_hp	root_age	death_age	tot_length	Acristavus_TS	Adelolophus_TS	Adynomosaurus_TS	Amurosaurus_TS	Anasazisaurus_TS	Anatotitan_TS	Angulomastacator_TS	Aralosaurus_TS	Arenysaurus_TS	Augustynolophus_TS	Barsboldia_TS	Blasisaurus_TS	Bonapartesaurus_TS	Brachylophosaurus_TS	Canardia_TS	Charonosaurus_TS	Cionodon_TS	Corythosaurus_TS	Diclonius_TS	Edmontosaurus_TS	Eotrachodon_TS	Glishades_TS	Gryposaurus_TS	Hadrosaurus_TS	Huaxiaosaurus_TS	Hypacrosaurus_TS	Hypsibema_TS	Jaxartosaurus_TS	Kamuysaurus_TS	Kazaklambia_TS	Kerberosaurus_TS	Kritosaurus_TS	Kundurosaurus_TS	Laiyangosaurus_TS	Lambeosaurus_TS	Lapampasaurus_TS	Latirhinus_TS	Lophorhothon_TS	Magnapaulia_TS	Maiasaura_TS	Mandschurosaurus_TS	Microhadrosaurus_TS	Naashoibitosaurus_TS	Nipponosaurus_TS	Olorotitan_TS	Orthomerus_TS	Pararhabdodon_TS	Parasaurolophus_TS	Parrosaurus_TS	Probrachylophosaurus_TS	Prosaurolophus_TS	Pteropelyx_TS	Rhinorex_TS	Sahaliyania_TS	Saurolophus_TS	Secernosaurus_TS	Shantungosaurus_TS	Thespesius_TS	Trachodon_TS	Tridigitichnus_TS	Troodon_TS	Tsintaosaurus_TS	Tyrannosauropus_TS	Ugrunaaluk_TS	Velafrons_TS	Willinakaqe_TS	Wulagasaurus_TS	Acristavus_TE	Adelolophus_TE	Adynomosaurus_TE	Amurosaurus_TE	Anasazisaurus_TE	Anatotitan_TE	Angulomastacator_TE	Aralosaurus_TE	Arenysaurus_TE	Augustynolophus_TE	Barsboldia_TE	Blasisaurus_TE	Bonapartesaurus_TE	Brachylophosaurus_TE	Canardia_TE	Charonosaurus_TE	Cionodon_TE	Corythosaurus_TE	Diclonius_TE	Edmontosaurus_TE	Eotrachodon_TE	Glishades_TE	Gryposaurus_TE	Hadrosaurus_TE	Huaxiaosaurus_TE	Hypacrosaurus_TE	Hypsibema_TE	Jaxartosaurus_TE	Kamuysaurus_TE	Kazaklambia_TE	Kerberosaurus_TE	Kritosaurus_TE	Kundurosaurus_TE	Laiyangosaurus_TE	Lambeosaurus_TE	Lapampasaurus_TE	Latirhinus_TE	Lophorhothon_TE	Magnapaulia_TE	Maiasaura_TE	Mandschurosaurus_TE	Microhadrosaurus_TE	Naashoibitosaurus_TE	Nipponosaurus_TE	Olorotitan_TE	Orthomerus_TE	Pararhabdodon_TE	Parasaurolophus_TE	Parrosaurus_TE	Probrachylophosaurus_TE	Prosaurolophus_TE	Pteropelyx_TE	Rhinorex_TE	Sahaliyania_TE	Saurolophus_TE	Secernosaurus_TE	Shantungosaurus_TE	Thespesius_TE	Trachodon_TE	Tridigitichnus_TE	Troodon_TE	Tsintaosaurus_TE	Tyrannosauropus_TE	Ugrunaaluk_TE	Velafrons_TE	Willinakaqe_TE	Wulagasaurus_TE
0	-1491.1655938420122	-15.810044989825583	-1044.1677787102622	-431.1877701419244	0.6252389482064749	0.6252389482064749	0.6252389482064749	0.6252389482064749	0.6252389482064749	0.6252389482064749	0.6252389482064749	1.0	1	1	1	118.87730038507513	54.11164141122253	554.7006549887817	82.26268502969677	73.81592586470003	67.82028703714033	68.6963075666695	71.14730369715765	71.65838243032073	84.00355060168077	71.5821536328823	70.56375870407949	66.7318324539378	66.98075384689307	66.87789254230836	83.46282229318523	88.07589610180207	70.15138841894249	69.92220922256611	114.7803696973914	84.0853487490393	93.3616714184186	83.9927177339298	85.65747992163845	78.6179540380866	85.2421685971785	84.70491263968586	74.7783254163771	86.25543899154366	86.24340837305918	86.35609847412253	67.66950354640228	88.85319506553805	68.52996718038415	85.56752100321557	69.19843834994819	80.79774594789357	84.45523727864934	76.42514266774404	74.01581107828025	71.85412343135673	84.58750559868221	85.24797031087698	118.87730038507513	78.48772777782708	78.30419503573802	78.13641908712484	67.36185347903614	68.04122365876263	68.67880405321779	84.86622154715059	68.82288404415924	79.67466741128618	86.35899383108739	83.12114306499568	79.65743827412554	66.47276705978302	84.61635690851672	93.62064971579814	89.0481136485417	66.48553739799954	113.29662847936751	66.36718328541971	85.14471899767739	84.7344111569047	104.76877375928026	68.58624152925533	83.55882930344477	78.4878497563705	67.5716110522826	77.89132475008891	73.55060302958078	67.68089751819483	68.59814832870374	71.08950067741411	65.90483304618034	83.91028709610461	71.18778334746722	70.32842891022571	66.39331997414426	65.86580429219545	66.5161439799233	83.02804416328459	66.9514022375839	69.99569506201156	69.74253689291524	64.42539799569555	70.60161734353977	58.947137069764615	66.04056099896663	85.28043193444047	78.28071814163793	69.03203064236675	67.3860737839974	74.76777065526215	66.95698634190713	67.44470656306872	85.79064073802256	67.51513687643913	88.83839680768406	68.27391247823633	66.50426091413982	69.12569066265256	80.47284482758701	70.26678777781022	76.26143760707815	73.9793466460289	71.51891004553937	74.3381412932374	68.57023584827326	54.11164141122253	78.27444191448132	78.18153596990196	78.05072435107186	67.14367592067194	66.05860298408057	66.60735262744532	70.10045342107159	68.75895237192121	79.58236031805694	66.15806970684397	82.97848523164804	79.5614053836932	66.07451944585218	65.26346537225149	67.2911454897009	66.10289674588925	66.4012552499317	62.58393938503031	66.1623455729664	84.79959455043698	69.65685139735614	77.01806822070421	68.21782130196054	83.26761089891043	78.29411118591186	67.52383993644429
5000	-1481.9412104432272	-21.747061981215754	-1063.3637983989665	-396.830350063045	0.34767915477085065	0.7495279056344167	0.40996086812251986	0.4298925268104818	1.1026302675826531	0.6386602581075325	1.4227167821985949	0.8113330847549878	1	2	0.8876825275778462	121.0358177866793	54.21874916640794	571.9704996452274	84.15585472235276	74.02973156002464	67.73352067286594	69.59995687558255	71.21378447959404	72.64428917959859	84.01833090637597	71.24978722789942	70.46471958919341	69.26129412228055	68.5661882950532	66.84257220512815	83.36025918359984	86.15388331802627	70.18321345744431	69.8528343453967	115.99389906241544	83.95427052731331	93.27707377798063	84.04007341064685	85.70449944287058	79.01094328528565	84.80698038221676	84.95876285722194	75.04202448940282	83.65765781897913	86.62852069183084	86.65418458966784	67.80997614367696	91.1586120854491	68.79185555847832	85.61187438970947	69.53892267811362	81.14313424404182	82.71475793423909	77.04221431201981	74.09235972489606	73.85431532156656	85.65642856853493	85.06803619085956	121.0358177866793	78.47006743579895	78.91926461242684	78.34767523321314	67.35587994954805	67.78397447019482	68.79827603924126	84.91165515056288	69.13771796948734	79.59406555016093	85.35356316666117	83.10152646650074	80.44499088018526	66.59333259629054	84.55801731133688	91.05145298385466	83.68897835962606	66.94530963521031	115.84231423000811	66.84390086655193	88.88405621784067	83.65121718332405	104.82276524494223	68.60049287882231	83.55350998628505	78.77420852644015	68.35991632237605	77.55255815350542	73.78424154309879	67.67037491366963	68.22593861977097	70.49724593689615	64.84526439795512	83.09488882823335	71.17483433593628	70.01698643420862	65.80787189727577	64.94834222161542	66.02550231979191	83.33393330558569	70.5507678122422	69.73540728819846	69.84115324149285	65.51378934869123	70.5434892698105	66.5944663425504	65.27030269556448	84.10697052161886	78.24328710320195	69.38843323440955	67.04629804133454	74.60671519435994	67.228483159933	71.2912659452613	83.49358627252178	66.76526161594118	88.79901135630196	68.25039410248628	66.23502056172646	69.12760532902081	78.21529353625667	69.55834513468223	75.80873328087371	73.80388210286166	71.27945966775856	74.84662728146183	69.77537755873041	54.21874916640794	77.85754657358676	78.19761052366422	75.72270908312947	67.05966652813395	65.07881724628174	66.69435440629813	70.19961092362661	67.75592049259345	79.55548048012503	67.92070786993764	83.07520874753895	77.75351761495732	65.08785145970957	66.00868737359966	64.97486566218227	65.67234316094195	66.2757239632593	65.62859365324825	66.10074463190647	82.95354231314026	71.7875089926443	75.4449331906739	68.18880719073283	82.56089887305795	76.80965396403305	67.51358104392887
10000	-1455.3090500886867	-22.694337206692445	-1053.8843150021305	-378.73039787986386	0.7810534128028724	1.0616067238687676	0.5726884843342285	0.32432495547630835	1.1670012709356907	0.6721560984183869	1.9292314918705764	0.8053131171888185	1	2	2.226623979076795	123.64567810615574	56.11168040117918	551.22950227354	86.33357969531525	74.04265990702761	68.28763800195672	68.63871353953262	71.20259204221216	69.15280782611532	84.00753849852198	71.30408128583184	70.38721091755637	66.71031950293542	66.95825589606882	66.67962605772796	83.87607994919264	86.73332287927857	70.18985159972128	70.4191272032538	116.0197334841077	83.82410496429495	93.9108809161329	83.859674335126	85.56721065706624	78.65174554778596	84.69302199150977	85.68694585102124	74.88431587395073	84.0722503007965	85.44222903530753	90.4394081978469	68.04604567803877	89.13901355533858	68.64234062416635	86.17786498334699	70.10434823507148	80.9252080864251	82.67366039543278	76.36079674857878	76.51361708246509	73.0268154306182	84.52453133427538	85.63347918401155	123.64567810615574	78.48090355467383	78.31050183474763	78.09763878044994	68.17696028105094	67.97586751651363	69.34897869804445	84.48595082602728	69.40143081095354	79.6393130243064	85.06863790945884	83.52478211457647	79.8875987938045	66.39305446529588	85.063244591731	86.9989061944378	81.15350830178708	66.45350769200861	115.25220504888432	66.25164636451532	85.30511352062304	83.56622359915774	102.96460856889706	68.5920524213736	84.01183280727084	78.59225973244581	67.85233656870327	77.34648722225339	72.19818092925945	67.34493298926867	68.53762220129758	70.5330586029891	65.97011071026044	83.13172148548837	71.0466975441466	69.34227142348131	66.45279069550269	65.5471274625207	66.54575798869007	83.27096893736959	70.57341449146438	69.72889477270013	69.43723700330685	66.76416404638941	69.99865598188902	68.22010080431738	65.98117616346393	82.52134351363915	78.39609856534986	69.31865308593231	67.1652521708071	73.49683514260884	67.1870247139927	70.61639892500662	81.16104685429676	67.61062768711675	87.61195448015339	68.1407990805785	66.40712644758385	68.60494763908797	80.46038464638181	70.34915803334782	75.91686934730967	73.58630903307457	71.15740208692591	73.80485085366597	68.74973169027012	56.11168040117918	78.37828342021143	76.4572348992898	77.99534807523368	67.1266188357171	65.96403396896235	66.79362283006417	70.1155494450772	68.66457972635777	79.43029854154433	67.94203512299376	82.43419057906576	78.13491493310846	65.90787716332616	65.92691483842678	68.60143477932841	65.9658757893493	66.31586489416331	65.31009750344491	66.20504590946096	84.95411932996223	70.79174702544273	76.09460910863649	68.43694585507014	81.5813614389328	77.86210961925934	67.27130766252115
15000	-1437.2637504635686	-27.307484950112197	-1035.8808521343021	-374.07541337915427	0.45154040366216647	0.47473775510440536	0.5634265446763298	0.3833194850624217	0.9848070226825507	0.9999000301871324	1.7970594608537205	0.8281201136513571	1	3	1.3472917535694402	127.81868444096635	57.822978329079106	546.3216524357581	84.94302245856885	74.38755359884753	67.96663143737396	68.68782274262956	71.1778535965042	69.00826359992092	84.38951433138588	71.24535732282335	70.63131990634514	66.71490484533197	66.72279148485742	66.81671968634802	84.10587920379666	87.92323454708227	70.1973919415894	70.24180299095713	118.90556813433298	84.46896395040856	91.05742958045904	83.82857168468932	85.66055588961315	79.61423239407979	84.7896565289554	86.7981400148165	74.77725389610636	83.88138051754666	85.3072707454967	91.79502047768217	67.72599196648189	89.33226797411184	68.40222805131492	85.60797409130643	69.20396775168965	80.67449103126552	82.77754304823539	77.21722346486315	74.41884695173766	71.74866317332895	83.78497480355955	85.1322768770265	127.81868444096635	78.56507082356401	78.66396099493171	78.32875528032471	67.54564988084826	67.951359667609	68.96283585471404	85.57781711027557	69.8117267226991	80.2307750282916	87.19395384163214	83.12428522283307	79.8462592781508	66.34081604060498	85.57116567078901	85.58630529983337	81.25094033707678	66.77013422703898	116.81732898855581	66.37540694237858	85.45050886432702	83.27831544563495	101.55022325494201	68.4857740634311	83.9212629237367	79.74889680329825	67.88780990905542	77.93084399846022	71.83649249579975	67.66339561348266	68.48647688192975	70.79409577264475	65.10464582538853	83.92670896579129	71.19469595487254	70.29764504240975	66.36979210208607	65.85458822764399	65.98532117858532	83.0601484038491	71.16277570211007	69.42289489074022	69.78983838706468	67.39448867146534	70.50634898245131	70.7508206587898	66.07017714904416	84.72482694946507	78.44396225644583	69.35170018816328	65.93137210111571	74.76389194802579	66.69488370849012	70.97305731883242	84.63317891661794	67.44027468098547	88.00940433366561	68.3968078951683	66.10313000503767	69.12536791975508	80.52744467093814	69.88733610768807	75.75599354557052	73.18119368530363	71.47983151057878	75.04934763430147	68.84548813838136	57.822978329079106	78.31424726652307	78.08060291322613	78.08120268819908	67.14919180038144	65.2999136058207	66.75991697309432	69.62480805374294	68.60462655372305	79.50831811999474	67.8071230362826	82.9996646878925	79.52674063625362	66.20702168464824	65.78370128156855	66.4333125938946	62.843565237600764	66.42612204213273	65.89877353278472	66.17700099198429	84.92354109088235	70.08848837604023	74.29201389676744	68.12994025234511	83.40494139000855	77.86793236873346	67.42854935251175
20000	-1468.5565709110172	-27.35476850738612	-1064.0824799972115	-377.11932240641954	0.5677852680227623	0.8298995075317409	0.7942438096706409	0.20459139087971048	0.9318281390483547	0.5800615262074585	1.5299643237906038	0.8025589392305025	1	3	1.2909137950354603	130.2118786756104	60.64022216423164	563.8238420673229	84.21547637103164	75.2569010978996	67.74399800714252	68.82797994847954	71.32350682379783	70.39092989423125	86.00645283388712	71.32030448341256	71.15328994202189	67.08887746788596	67.31054227365968	67.10642370457002	83.5423147230658	84.48123763923398	70.10901466589875	70.08683446226364	117.77138018313404	85.08596745697676	90.9054420340908	83.75922671039295	85.49031397586931	80.39584233645866	90.32401846721515	84.8513167671014	77.52448671870357	83.63433790673068	85.16962168452942	89.84874407613981	67.9637262178692	89.04569633639959	68.42305252840113	85.82497916018505	69.41635136938548	82.34304045396566	82.82514112529563	77.92030330425155	74.49186211049957	71.86098045669719	83.45042858783717	84.97975248468585	130.2118786756104	79.45567590232268	79.69221707095905	78.37988433357704	67.36283722660038	67.57989283084831	68.78118136774512	86.09795616720248	69.27756165631054	79.89642385684823	86.80911169114995	83.7629530428689	80.23325473797412	66.2244889072314	84.59321968835823	87.19439729937123	82.68599892940925	67.13903825942101	115.69695914155034	66.41918306569477	85.64146912907661	83.30176216282626	101.7365297093674	68.88287218552728	84.14103438983258	78.46431494140425	67.56734249715888	75.0741188706239	72.97666724939691	67.51725786200308	68.34959306148079	71.12437683492298	65.11644570083067	82.37310704858194	71.11899159675059	70.28691787377599	66.37083220477277	66.54479333635418	66.259992060797	83.01275007829558	69.97006605963908	70.06151467624123	68.89623827243925	67.96575142150762	70.57259366026011	69.79214222171666	65.81401773078866	85.3458929437439	78.29229036242866	69.3042952037435	67.30732981483314	72.00973908750002	67.05225411174712	71.32949040847416	84.73989098054189	67.13314773601446	88.67638162908798	68.34667197055768	66.39125297682753	69.05982184299334	80.10087043535977	70.50837744240567	75.19936903273263	72.53880377603791	70.94357715853674	75.67993133501155	70.5854999277032	60.64022216423164	76.34539468699563	77.39292993242667	77.99564553717332	67.15725403547478	65.16542510680617	65.23143948475574	70.16734552648461	68.41128170400697	78.72444626925378	67.9461575191406	81.88965741492058	79.23157097561936	66.20050618834665	65.93655456114297	67.5782162168504	61.45567114933186	66.4291140920446	65.77481941081174	65.88446791550558	84.60095987066931	72.16722052936159	74.04604991286386	68.29988995021522	83.30689651313578	77.50035928687514	67.45314163831696
25000	-1485.1100333799645	-27.524928083321846	-1079.5406429010534	-378.04446239558933	0.5750735152166552	1.2270819768389771	0.509645014354877	0.1590947708316795	0.9033721714771699	0.6073453719080935	1.547818014236491	0.8582346744325806	2	2	3.5752216134722996	127.82511173968072	58.896628800213	575.0782782660324	81.76524644040202	74.0412613934941	69.58946498196295	69.20155091988028	72.34680616134123	69.0965754522774	84.70036546186878	71.34011655105354	70.89653540805159	68.77480139651945	67.36804178625502	66.66856550674055	83.76307609490082	85.11214302296487	70.1932392967203	69.85048621349804	118.37137557116853	84.97471778710049	89.27011636679141	83.82847244958276	85.85450768247175	80.38433874206493	89.40606241704151	85.45116432567906	76.23097051580459	84.16634992928148	84.84808319784041	90.60875994016918	68.27892984951957	89.1632748756639	68.4467681521724	86.12446621458841	69.74618348843343	80.94535022137792	82.69640499423788	77.80587932738595	73.98401762145943	73.48451582411118	83.1295527603831	87.60603147089253	127.82511173968072	78.73961835214871	78.38072162746845	78.37376115727965	67.25966977701705	68.27654215183775	69.73038277797413	84.58310033195819	71.50711059469734	81.74815720818862	88.14448046248711	83.52366380338512	79.82468031369704	66.32048432340059	86.3565808818019	84.46211542090012	85.14515582987208	67.73002687965686	112.87963998838698	66.90239415228312	85.4158343706097	88.12719483644179	105.10801176940043	68.8352725336841	84.44564622541829	79.42155024176738	67.59837884719781	77.49840582426827	73.7853549301638	67.09151071513418	68.5825963278545	70.71766397548865	65.6926377811545	82.64662116155371	70.61799558684537	69.78389940953606	65.86310101649956	66.40246242552054	66.59200644883968	82.2566278271436	70.61024573691718	69.32635602329786	69.83856780308274	68.75051231229963	70.16401400790264	70.51426857973642	65.97927547146594	85.38187814872737	78.39469440300863	68.9848991973914	67.29764208422824	74.15903757917555	67.26040621603678	69.8833407589959	85.60631952440386	67.62993976261485	86.00477684483869	68.3702069435262	66.5169172055807	69.03522059679253	80.02404515746836	70.5480875785246	75.43057118565527	73.97538132256749	70.79075865898368	73.26454192884289	67.94233898412355	58.896628800213	78.05143334128968	78.05867723488201	77.65808265029034	65.68317830292324	66.08306067604252	66.83969248352697	70.5790380650986	68.56874713954531	77.05251714726911	67.52798896604028	83.04347069756635	79.08348333415455	65.36388917777703	65.92672302149262	67.43975980468295	65.78934161000436	65.55912965934077	65.7423339594681	65.97340693674727	84.77359360300147	70.11531502518933	72.87413974502465	68.19978011326756	82.6944110669294	76.85558992688411	67.45303821091831
30000	-1465.5040269855892	-26.722656205758607	-1065.60648562248	-373.1748851573507	0.15801779746804154	0.497284466777975	0.28660481442493996	0.12206613657614267	1.0491635423528092	0.6447918916167666	1.4338661321107218	0.848509176682391	2	2	2.459021373010094	122.49333341882134	56.361195906745195	563.5895755511079	81.84159273454786	73.85183602155386	68.30394844922702	68.7128498187958	75.08080189636041	69.26805949783824	84.34855436761232	71.36483436134174	70.40779598567107	66.76938719608633	68.0327339284757	66.6419339149159	84.21106528499148	84.68209550416348	70.17647242628868	70.53421449560157	119.20222511038735	84.15003180204417	86.03695442944084	83.81422116666143	87.6599364212935	79.16957558852336	90.12862696356426	84.8144280658236	75.07902560290563	83.7505855647392	84.40005986805795	86.15055084057938	67.7514406893796	89.66450716215056	68.77367594023094	87.83042238453042	69.27318469340956	81.22408268387396	82.98946677699021	76.3650552051959	74.60564248808686	73.32354033944365	83.80998041377691	90.94929835509454	122.49333341882134	79.41081824632846	78.56910131919946	78.10253722321991	67.26975172633172	67.94294810377322	70.23546893413967	86.79186403566345	68.88354202569377	79.70695396724615	85.09584028685141	83.73369012289562	80.50949351518935	66.38851669898844	87.71248703846972	87.41156947301005	84.48754983093542	66.75872146530202	112.67834482449837	66.3170503576684	85.45712629992012	85.82330987856832	101.00523078280682	69.1331319182138	84.08161711610776	79.57829811473506	68.87691433243396	78.09861254416467	73.64919050506326	67.65331184621564	68.63736529815753	70.43602065094217	65.8047792378594	83.01580483335721	71.15702562816205	69.8530754049442	66.37763833439992	66.6058558134138	65.6202019430447	79.68450187377012	70.48959439500176	69.90600171413178	69.84273070539344	68.13513215023272	70.56327375407609	70.25007237925685	65.87459064805121	85.09121905084788	77.73436159196575	69.28873083651314	66.5391635719408	74.59761409630065	67.21954426305416	70.01891820848765	83.6961315457159	67.62865154447316	86.87087883889342	67.5240154147827	65.80051388213296	68.60275470289072	79.9271894545536	70.12215987964952	75.77220594318439	73.83837767293392	71.20952857903717	74.41226233029991	70.86133988084663	56.361195906745195	78.32593709992858	78.1470061034699	77.90266895241555	67.120061310586	65.88204454954762	66.6154650789963	70.65845723977654	68.7651687723517	79.00284360441356	67.54446183914277	82.50768835993594	77.55692740343603	66.01630767780385	66.03239469484267	68.00827564930717	65.09068407791457	65.18106837619902	65.61906361676536	66.22371452224694	84.2059387442235	69.15904254469113	71.31284492359016	68.07455073913322	82.8450798440131	77.4307529710981	66.0103443948421
35000	-1459.6234085404242	-26.54349209042536	-1065.6181285678485	-367.46178788215025	0.16174487095022266	0.39560006271410475	0.20982645746490752	0.11149739921611335	0.7730963014723751	0.6247627565541775	1.5173515065417935	1.105263141748752	2	2	2.0227094936491903	121.85950946115963	60.50797673591326	568.5570583434088	83.67021153524107	74.02736327025377	68.0560655999246	68.66183448521049	75.0688058216931	69.52509736983436	84.17269427030543	71.89732332496169	70.36518743048698	67.57381347918533	67.42914252429733	66.65794753627635	83.61244042476922	84.65909529239548	70.9726494518667	70.22231951390931	121.85950946115963	84.34042240112929	85.95373313544896	83.84693696219009	88.2668107245219	78.93875474753246	88.63837757419678	85.71823496628491	76.68558879223906	84.05248255587242	85.52133513046186	85.98128019209832	67.71221728227356	88.8558183390845	68.42986463688756	89.35201996333808	69.28926539501273	80.74078705593988	82.92136770472082	76.45348819950259	74.05953217922999	72.98069660567893	83.23507346235893	90.54120493497068	120.45209650184711	80.42088788294083	78.97824315499587	78.20310972613304	67.4666542818126	67.5781827620771	69.39892740856926	86.74414587925278	68.98991932966211	81.22307594687081	85.02782552395776	84.97943181436551	80.19221001505105	67.10478378007525	90.85426323742618	84.31440949036872	87.60741218594988	66.55377270267242	113.85896662391959	66.23277080302813	85.38594203625267	88.44378439297138	99.56294307170562	69.30918323573694	83.56478873173242	80.68439207061151	67.62446118729949	77.54866214657827	73.60668525957252	67.69655992219639	68.34319051919324	70.43120123048541	66.1058302447306	83.75918675202311	70.91644981265185	69.51725425131039	66.17343246801128	65.81756500459575	66.56706910630787	82.7247580309477	70.6047107199396	69.8321583939444	69.65528049547885	68.14323159176328	69.75097967243866	69.24364610724626	65.50616682338668	84.4406126598994	77.76242507486745	68.91209626077115	67.33997238263488	72.26429516400837	66.52893971180211	68.67069511742345	85.7645364781391	67.54357612137599	88.69684945456623	68.19721493168363	65.92410557671765	69.13646002086358	79.75893242948126	70.30167965457811	75.96160647590675	73.50553294732181	70.87852743576809	74.40319318420306	70.67732680670207	60.50797673591326	78.33153011521019	77.69087089270815	77.62577998861424	67.05343570392473	65.95131896315269	66.82344563185393	70.79831279076227	68.73343449997947	79.40145805449102	67.27322074126464	82.64782578467137	79.13397607115266	65.79634412316581	64.61044684808265	68.61318616182854	65.13130392091661	66.28879413994851	65.87167837069994	65.92922618659475	84.5378261526522	70.45503884714694	69.92720978490115	67.30967336447137	83.55141937819563	77.0318062743219	67.50718319848144
40000	-1462.9391374754625	-22.587073088690737	-1067.0377810785828	-373.31428330818903	0.13671994856202277	0.32015077728728847	0.07756611046883885	0.17489227882369104	0.8562141341801601	0.7000584625305887	1.7468174861627561	1.261520667867645	1	2	1.2629711487533797	124.1825534294401	63.8183494033462	563.1365914337767	85.1693027212956	74.01116107620878	68.66090509105172	69.01903379431032	72.04426453175043	69.08197901861392	84.56712038710018	71.30235783167622	70.4094648393945	66.91675403131084	67.26736491279514	67.5106848973881	84.18062920283512	84.19072266302702	70.08983689281641	69.96399399597206	124.1825534294401	83.82988071862827	85.23846557707972	84.49853632681017	88.83483906922719	79.32012288430948	87.68963035099522	84.87126505763965	75.6115542281992	84.63164294317414	87.95303222582737	86.07761132676094	67.88298952573197	88.84998495202072	68.5399729619612	85.66059622343091	69.3432175956561	81.40920912273245	83.07974738037271	78.49622036133708	74.22100197742158	73.87906089571193	84.43099549114562	90.07709156983609	121.87263019744614	78.67216791632943	78.58829806733108	78.18560192893202	69.20226772626647	67.85790291932689	69.82065112029363	86.78475537361078	68.79684007080988	79.74193788257428	85.76352072377723	83.32888068791677	79.87766134460814	66.36424679510984	93.28680039078648	78.72688250992879	85.58865536060318	67.29775474261182	115.074824128814	66.86528417964003	86.95484348714572	84.78526320835249	101.06916584249431	68.55500891245231	83.88395729787689	80.01994714301252	67.636570450049	76.2783788203141	73.76275711923746	67.66457413131957	68.63559963337427	70.9393484713149	65.50949739135217	82.84792299282964	71.1644966919633	70.31494766431851	65.02201458996285	66.2168430572421	63.8183494033462	80.22686759939491	70.92264268192605	70.08671486755904	69.52486913078076	68.94180749724694	70.59019093360618	70.05138138841626	66.0784547364075	82.51081580393667	78.55332416932492	68.99214370323864	67.35480922625653	74.36467434374633	66.83911118016557	70.74246822492103	85.58204649508976	67.29859509890854	88.80121283616236	68.25429024375528	66.21736587799425	68.8961787141872	80.11553813035327	70.11541496214373	74.1094283345068	73.1615190687616	70.7211450261332	75.64388278120201	70.64134743394868	67.26967880171232	75.23994868064273	77.51435999149257	78.04551891756576	66.58865476344167	66.16795318566105	66.6711613680514	70.64529711216989	68.62601128922284	79.48036423933331	67.32138919714771	82.84136454416259	78.46743968772438	65.79094218224871	65.65102196068456	66.45879141288658	65.54684309316718	66.32675486321328	65.9515780711359	64.98345124687371	84.46633301802716	70.65869495748099	69.827913216111	67.96558021176106	83.26461482870403	77.74524686395512	67.43064889609288
45000	-1436.2177583917214	-38.10103870254764	-1046.4273256665404	-351.68939402263345	0.14209102245840025	0.5428620001894131	0.17719216577294034	0.42658105540121954	0.8943459493813044	0.7039635520954237	1.861513703708971	1.4575077800989666	3	3	1.5792197225815676	119.90852393872133	63.99022041233796	547.9542413349135	82.18611061567248	75.75717225445207	67.79111750447727	68.773009325116	71.36989767291878	69.17856774332324	84.0245170693248	71.28210225945716	71.05591487189105	66.86345364339496	66.62494715271431	66.81583733377232	83.36261611930026	84.64907636215653	70.32620478289283	70.0167917688652	119.90852393872133	84.94955148522564	81.7259768262771	84.50965259508777	86.71180167693025	78.59321120131129	88.67331288340425	85.08718994870999	74.77296664006204	84.26061520044591	93.23781228072107	87.28541603416795	67.92335568295009	90.46262581136475	68.47282383586287	87.30208268756682	69.5458273533552	81.33737068099803	82.76800137857919	77.86038676085603	75.4673055512099	72.1196843922361	83.8339436567025	90.63843938689524	119.11945655297149	79.34040390370446	78.49265703626587	78.11488961441613	67.23374879298076	67.61969659832421	68.71747110445486	84.5163848561484	68.81794383747297	79.75276812322602	85.89670118901263	84.1909772631859	79.8240398941096	66.40664475291479	95.15215704919336	81.37463822244429	86.23473834530658	67.40466185817992	114.63486010044028	66.26705307086465	86.00613665401104	87.37763174515706	100.39392143817501	68.51574637642892	84.3055152975331	78.63636782036741	67.63802682542364	77.03112000506925	73.16514788184969	67.27307155268562	67.97908513099627	71.08923057562083	66.01796004705075	83.64497473409044	71.01410659392297	69.89353407600389	66.08376847306131	66.58845141865588	66.44941560563296	82.05065711231295	71.19809641671105	70.01503032507081	69.67415632871318	66.92804601220944	70.6278745766445	70.26642088223642	65.97491843333809	83.28640755233414	78.58212745144937	69.404119914387	67.374364741923	74.74858082340906	67.27238304110705	71.28584481093574	84.89120446651893	67.55983074142124	87.71652014412774	67.98291666916505	66.49967763510035	68.72356879166631	79.86763516393974	70.65406119587416	75.30460389081182	73.95318842833838	71.45815563032454	74.96001758999833	70.42054822641752	69.34462252808102	74.7109107399236	78.00038526125603	77.186356658078	66.95791114512842	65.23113220924196	66.43765192500298	70.76133308896829	68.71138662471394	79.26576326895618	67.60332834964775	81.95855351754932	79.30701407319143	66.21063786394895	66.15899202303626	65.94345693012674	65.72177743286476	66.20601896653733	63.99022041233796	66.06751300799098	84.59871962627435	70.1101689632568	69.87440833473089	67.91178424874573	82.64654599439055	78.20115383223279	67.52764123983172
