Species	Status
Achelousaurus	extinct
Acheroraptor	extinct
Achillobator	extinct
Acristavus	extinct
Adasaurus	extinct
Adelolophus	extinct
Adynomosaurus	extinct
Agathaumas	extinct
Agujaceratops	extinct
Ahshislepelta	extinct
Akainacephalus	extinct
Albertaceratops	extinct
Albertosaurus	extinct
Alioramus	extinct
Almas	extinct
Amurosaurus	extinct
Anasazisaurus	extinct
Anatotitan	extinct
Anchiceratops	extinct
Angulomastacator	extinct
Ankylosaurus	extinct
Anodontosaurus	extinct
Aralosaurus	extinct
Archaeornithoides	extinct
Arenysaurus	extinct
Arrhinoceratops	extinct
Atrociraptor	extinct
Augustynolophus	extinct
Austroraptor	extinct
Avaceratops	extinct
Balaur	extinct
Bambiraptor	extinct
Barsboldia	extinct
Bison	extinct
Blasisaurus	extinct
Bonapartesaurus	extinct
Boreonykus	extinct
Borogovia	extinct
Brachyceratops	extinct
Brachylophosaurus	extinct
Bradycneme	extinct
Bravoceratops	extinct
Buitreraptor	extinct
Byronosaurus	extinct
Canardia	extinct
Cedarpelta	extinct
Centrosaurus	extinct
Ceratops	extinct
Changyuraptor	extinct
Charonosaurus	extinct
Chasmosaurus	extinct
Chuanqilong	extinct
Cionodon	extinct
Coahuilaceratops	extinct
Coronosaurus	extinct
Corythosaurus	extinct
Crichtonsaurus	extinct
Crittendenceratops	extinct
Dakotaraptor	extinct
Daliansaurus	extinct
Daspletosaurus	extinct
Deinonychus	extinct
Diabloceratops	extinct
Diclonius	extinct
Dromaeosauroides	extinct
Dromaeosaurus	extinct
Dyoplosaurus	extinct
Edmontosaurus	extinct
Einiosaurus	extinct
Eotrachodon	extinct
Eotriceratops	extinct
Euoplocephalus	extinct
Euronychodon	extinct
Geminiraptor	extinct
Glishades	extinct
Gobisaurus	extinct
Gobivenator	extinct
Gorgosaurus	extinct
Graciliraptor	extinct
Gryposaurus	extinct
Hadrosaurus	extinct
Halszkaraptor	extinct
Heishansaurus	extinct
Heptasteornis	extinct
Hesperonychus	extinct
Hesperornithoides	extinct
Huaxiaosaurus	extinct
Hulsanpes	extinct
Hypacrosaurus	extinct
Hypsibema	extinct
Itemirus	extinct
Jaxartosaurus	extinct
Jianianhualong	extinct
Jinfengopteryx	extinct
Jinyunpelta	extinct
Judiceratops	extinct
Kamuysaurus	extinct
Kazaklambia	extinct
Kerberosaurus	extinct
Koparion	extinct
Kosmoceratops	extinct
Kritosaurus	extinct
Kundurosaurus	extinct
Laiyangosaurus	extinct
Lambeosaurus	extinct
Lapampasaurus	extinct
Latirhinus	extinct
Liaoningosaurus	extinct
Liaoningvenator	extinct
Linheraptor	extinct
Linhevenator	extinct
Lophorhothon	extinct
Luanchuanraptor	extinct
Lythronax	extinct
Machairoceratops	extinct
Magnapaulia	extinct
Mahakala	extinct
Maiasaura	extinct
Mandschurosaurus	extinct
Medusaceratops	extinct
Mei	extinct
Mercuriceratops	extinct
Microhadrosaurus	extinct
Microraptor	extinct
Minmi	extinct
Monoclonius	extinct
Naashoibitosaurus	extinct
Nanotyrannus	extinct
Nanuqsaurus	extinct
Nasutoceratops	extinct
Neuquenraptor	extinct
Nipponosaurus	extinct
Nodocephalosaurus	extinct
Nuthetes	extinct
Ojoceratops	extinct
Olorotitan	extinct
Oohkotokia	extinct
Ornithodesmus	extinct
Ornithomimus	extinct
Orthomerus	extinct
Pachyrhinosaurus	extinct
Palaeoscincus	extinct
Pararhabdodon	extinct
Parasaurolophus	extinct
Parrosaurus	extinct
Pectinodon	extinct
Pentaceratops	extinct
Philovenator	extinct
Pinacosaurus	extinct
Platypelta	extinct
Polyonax	extinct
Probrachylophosaurus	extinct
Prosaurolophus	extinct
Pteropelyx	extinct
Pyroraptor	extinct
Rahonavis	extinct
Regaliceratops	extinct
Rhinorex	extinct
Richardoestesia	extinct
Rubeosaurus	extinct
Sahaliyania	extinct
Saichania	extinct
Saurolophus	extinct
Saurornithoides	extinct
Saurornitholestes	extinct
Scolosaurus	extinct
Secernosaurus	extinct
Shamosaurus	extinct
Shanag	extinct
Shantungosaurus	extinct
Shanxia	extinct
Sinoceratops	extinct
Sinornithoides	extinct
Sinornithosaurus	extinct
Sinovenator	extinct
Sinusonasus	extinct
Spiclypeus	extinct
Spinops	extinct
Styracosaurus	extinct
Talarurus	extinct
Talos	extinct
Taohelong	extinct
Tarbosaurus	extinct
Tarchia	extinct
Tatankaceratops	extinct
Teratophoneus	extinct
Thespesius	extinct
Tianyuraptor	extinct
Tianzhenosaurus	extinct
Titanoceratops	extinct
Tochisaurus	extinct
Torosaurus	extinct
Trachodon	extinct
Triceratops	extinct
Tridigitichnus	extinct
Troodon	extinct
Tsaagan	extinct
Tsagantegia	extinct
Tsintaosaurus	extinct
Tyrannosauripus	extinct
Tyrannosauropus	extinct
Tyrannosaurus	extinct
Ugrosaurus	extinct
Ugrunaaluk	extinct
Unenlagia	extinct
Urbacodon	extinct
Utahceratops	extinct
Utahraptor	extinct
Vagaceratops	extinct
Variraptor	extinct
Velafrons	extinct
Velociraptor	extinct
Wendiceratops	extinct
Willinakaqe	extinct
Wulagasaurus	extinct
Xenoceratops	extinct
Xixiasaurus	extinct
Yehuecauhceratops	extinct
Yezosaurus	extinct
Yurgovuchia	extinct
Zanabazar	extinct
Zapsalis	extinct
Zaraapelta	extinct
Zhenyuanlong	extinct
Zhongjianosaurus	extinct
Zhongyuanosaurus	extinct
Zhuchengtyrannus	extinct
Ziapelta	extinct
Zuul	extinct
