occurrence.genus_name	status	ma_max	ma_min
Troodon	extinct	84.9	70.6
Troodon	extinct	80.9	80.7
Troodon	extinct	76	75.7
Troodon	extinct	76	75.7
Troodon	extinct	76	75.7
Troodon	extinct	80.9	76.2
Troodon	extinct	80.9	76.2
Troodon	extinct	80.9	76.2
Troodon	extinct	80.5	80.3
Pectinodon	extinct	67.3	67.1
Pectinodon	extinct	70.6	66.043
Troodon	extinct	68.1	67.9
Pectinodon	extinct	70.6	66.043
Troodon	extinct	70.6	66.043
Troodon	extinct	70.6	66.043
Saurornithoides	extinct	70.6	66.043
Troodon	extinct	70.6	66.043
Troodon	extinct	70.2	70
Troodon	extinct	70.2	70
Pectinodon	extinct	67.7	67.5
Troodon	extinct	70.6	66.043
Pectinodon	extinct	70.6	66.043
Troodon	extinct	70.6	66.043
Troodon	extinct	70.6	66.043
Troodon	extinct	70.6	66.043
Pectinodon	extinct	70.6	66.043
Saurornithoides	extinct	70.6	66.043
Troodon	extinct	66.9	66.7
Troodon	extinct	70.6	66.043
Troodon	extinct	84.9	70.6
Troodon	extinct	83.8	83.6
Troodon	extinct	79.7	79
Troodon	extinct	79.7	79.5
Troodon	extinct	79.7	79
Troodon	extinct	84.9	70.6
Koparion	extinct	155.7	145.5
Troodon	extinct	84.9	70.6
Troodon	extinct	84.9	70.6
Troodon	extinct	70.6	66.043
Euronychodon	extinct	70.6	66.043
Euronychodon	extinct	84.9	70.6
Troodon	extinct	79.7	79
Troodon	extinct	79.7	79
Troodon	extinct	70.6	66.043
Troodon	extinct	84.9	70.6
Archaeornithoides	extinct	84.9	70.6
Borogovia	extinct	84.9	66.043
Byronosaurus	extinct	84.9	70.6
Byronosaurus	extinct	84.9	70.6
Saurornithoides	extinct	84.9	70.6
Troodon	extinct	70.6	66.043
Urbacodon	extinct	130	112.6
Byronosaurus	extinct	84.9	70.6
Troodon	extinct	66.9	66.7
Sinornithoides	extinct	112.6	105.3
Troodon	extinct	79.2	79
Troodon	extinct	79.2	79
Troodon	extinct	79.2	79
Troodon	extinct	79.2	79
Troodon	extinct	79.2	79
Troodon	extinct	80.1	76.2
Troodon	extinct	84.9	70.6
Troodon	extinct	81.3	76.2
Troodon	extinct	81.3	76.2
Troodon	extinct	81.3	76.2
Troodon	extinct	78.8	78.6
Troodon	extinct	80.9	76.2
