Species	Status
Almas	extinct
Archaeornithoides	extinct
Borogovia	extinct
Bradycneme	extinct
Byronosaurus	extinct
Daliansaurus	extinct
Euronychodon	extinct
Geminiraptor	extinct
Gobivenator	extinct
Heptasteornis	extinct
Hesperornithoides	extinct
Jianianhualong	extinct
Jinfengopteryx	extinct
Koparion	extinct
Liaoningvenator	extinct
Linhevenator	extinct
Mei	extinct
Ornithodesmus	extinct
Pectinodon	extinct
Philovenator	extinct
Saurornithoides	extinct
Sinornithoides	extinct
Sinovenator	extinct
Sinusonasus	extinct
Talos	extinct
Tochisaurus	extinct
Troodon	extinct
Urbacodon	extinct
Xixiasaurus	extinct
Zanabazar	extinct
