it	posterior	prior	PP_lik	BD_lik	q_0	q_1	q_2	q_3	q_4	q_5	q_6	q_7	q_8	q_9	q_10	q_11	q_12	alpha	k_birth	k_death	RJ_hp	root_age	death_age	tot_length	Almas_TS	Archaeornithoides_TS	Borogovia_TS	Bradycneme_TS	Byronosaurus_TS	Daliansaurus_TS	Euronychodon_TS	Geminiraptor_TS	Gobivenator_TS	Heptasteornis_TS	Hesperornithoides_TS	Jianianhualong_TS	Jinfengopteryx_TS	Koparion_TS	Liaoningvenator_TS	Linhevenator_TS	Mei_TS	Ornithodesmus_TS	Pectinodon_TS	Philovenator_TS	Saurornithoides_TS	Sinornithoides_TS	Sinovenator_TS	Sinusonasus_TS	Talos_TS	Tochisaurus_TS	Troodon_TS	Urbacodon_TS	Xixiasaurus_TS	Zanabazar_TS	Almas_TE	Archaeornithoides_TE	Borogovia_TE	Bradycneme_TE	Byronosaurus_TE	Daliansaurus_TE	Euronychodon_TE	Geminiraptor_TE	Gobivenator_TE	Heptasteornis_TE	Hesperornithoides_TE	Jianianhualong_TE	Jinfengopteryx_TE	Koparion_TE	Liaoningvenator_TE	Linhevenator_TE	Mei_TE	Ornithodesmus_TE	Pectinodon_TE	Philovenator_TE	Saurornithoides_TE	Sinornithoides_TE	Sinovenator_TE	Sinusonasus_TE	Talos_TE	Tochisaurus_TE	Troodon_TE	Urbacodon_TE	Xixiasaurus_TE	Zanabazar_TE
0	-773.1139023335905	-22.04101857982346	-502.78518036539367	-248.28770338837342	0.9005000676548229	0.9005000676548229	0.9005000676548229	0.9005000676548229	0.9005000676548229	0.9005000676548229	0.9005000676548229	0.9005000676548229	0.9005000676548229	0.9005000676548229	0.9005000676548229	0.9005000676548229	0.9005000676548229	1.0	1	1	1	154.14913957260043	61.57604379329673	215.20588176756706	82.42941377459576	74.97368969221407	84.12940679850371	69.28312410410717	83.91644402403203	124.63180801447686	89.56123736582705	129.58541275192536	75.21081331233027	82.17139448614567	154.14913957260043	122.91297121006464	126.03662525307439	148.58993325453798	132.93324625625146	73.24047066157961	153.55778899884803	122.85265951754246	99.439206908377	74.87696249244371	88.72209406606518	132.25353643263367	123.3008619380752	124.35138020535125	84.31450481382304	75.61280741874783	85.8233817988897	134.68111633117564	75.6291759027866	68.94014324340039	82.13746116785279	74.88409549102306	83.76026713416772	68.85644807825645	78.18774442216721	124.52520617983183	67.21038657688342	129.31131850865017	74.42582884124386	82.1056638877209	153.70348036315113	122.82676403870897	125.82550500731598	148.1876457408473	132.56837535655552	72.92661463553539	121.39622197521095	122.68940737548556	61.57604379329673	74.68123736717489	66.2494781137925	104.40552055784696	121.78991694677259	124.1891100235501	83.58918170871439	75.32488237455848	65.56081968807891	95.88715910503147	75.29459733558467	68.82848703784923
5000	-682.477600174287	-24.30285202982646	-476.1332953245239	-182.04145281993664	0.601820706065583	0.5337245693684869	1.1492498698154676	1.1634439544377122	1.3154219575448423	1.0281243979445376	0.4468427722461914	1.1148661779334208	1.4115492731817603	1.2611658809048227	1.0651812545686667	1.4771369980112081	1.7704500044745994	0.3421182511096452	1	1	2.0927938746513295	154.07426168606256	63.94712221597566	223.46323587503105	82.59700718877713	75.4011047677532	84.13018222529335	69.18700521662115	86.53816432860062	124.57330720494599	90.70574261403365	130.45737508334742	74.82161809598064	83.01308031177824	154.07426168606256	123.07588229370465	126.0488100252736	148.64135427599132	132.86688795161604	73.26979026945145	152.6398233523623	123.09751861132061	102.29524126181657	75.09320500364946	84.86146155331879	132.69190298566699	123.93353497915258	124.71653664793304	83.95969594255078	75.92624095627913	86.04635609851555	133.63950884977368	75.95864310839785	68.97901613872753	82.27874066500881	74.95686203145394	83.99846345700625	67.71487890737075	76.0713306983655	124.55771964569585	66.10032207729891	128.4254938230756	74.42093396423408	81.8148305377276	153.96122172754812	122.20914821742713	125.8462853598039	148.19332183410555	132.78663264198036	72.8677952412004	123.90857246078133	122.72371905878211	63.94712221597566	73.09648021286534	65.39377145114402	104.138900152037	122.48569456134689	123.46561378958609	83.82525286049123	74.59188064314357	65.96751810377134	96.18755575343275	75.27269392703845	68.56826713396624
10000	-700.4337171678295	-28.49277495908562	-487.84107295742456	-184.09986925131932	0.43303318168045174	0.6272178029278684	1.0643347470312317	0.5602221905782313	0.6292721081888338	0.5346511226206959	0.534788173731016	1.8333159428733046	1.4334307564497766	0.8207689933419196	0.9491966582888424	1.5621383026013307	1.9849845966412372	0.3108164062133228	1	2	2.1141263008329254	156.1522868301388	64.68931964461719	241.88329030339156	82.57500469598594	75.34747170270654	84.43922371208792	69.13477212739446	89.91423075563415	124.59872671820969	89.66230791617197	129.4359522881371	74.81584297848903	82.20974934538904	156.1522868301388	122.92431450553555	126.47498072595339	148.6057991979327	133.39572695943414	73.23543811765026	151.45236740567992	123.04701465966829	101.2491515227669	76.24380417078349	88.87025751634216	134.1331256318421	124.16249985697011	125.2876418877856	83.8992838663614	75.95611086609581	86.11232634266827	137.99993947227154	75.388165287305	68.95070095987685	81.49427147008736	74.17752571591372	83.82763732680128	68.79896390420696	77.19534779947087	124.24473235249768	67.2256121269327	128.367960533583	74.24931463137014	81.75762025841864	153.6818730834033	122.77694504549022	125.96624075453693	147.13865446118888	132.54513172207592	72.4224025246646	118.25607837082102	122.32161803604909	65.54481492883724	74.75343371850872	64.68931964461719	105.06751045809689	121.70416590765724	123.83134447529864	82.24445335719416	75.12151025031878	65.89702804171455	94.34393448155902	75.36644099676435	68.77904134179748
15000	-699.9949426697364	-22.71186211259952	-492.42314077683136	-184.85993978030547	0.47970647448761583	0.66803679749232	0.5528870897836193	0.4579647878419442	0.6055794686371556	1.4089839159544408	0.4236740831179347	1.1403054621982431	1.0861966639651794	0.44128328130654926	0.7503403186841053	1.5999974489752478	2.3620345812191035	0.3453863725537776	1	1	0.9700156984417971	154.4589135476102	65.87695492916335	239.0445943913545	82.3421444690029	75.94621664457239	85.3353777626637	69.96004125686042	84.02633785432039	127.20381431466315	91.84402887727431	129.3838246079471	74.55099431146611	82.22822490847562	154.4589135476102	124.88467360133109	125.97310346666343	149.6831427614873	134.6372176289874	73.19933557943317	148.05883055583496	122.85468059600163	98.49454921568191	74.91603190446516	86.25524321419378	138.7914346279941	125.26560323034367	126.46218331066085	84.1945600754831	76.47734268292761	86.54206115762022	139.6163543845568	75.54793580951579	68.850603060451	81.95248446301095	74.66354740634644	83.92520384119051	68.92598621543094	74.67470021973716	124.35614010619507	66.42917055451757	129.34973568659214	74.46598748999446	81.5103449314066	151.9678781587447	122.85245039485085	125.81442931697876	148.13534644040962	132.04355277094626	72.77661445236552	117.23733852245435	122.28010572597597	66.30135221170877	74.15809712858172	66.4212859523343	107.60770353096608	122.16549496763952	124.11367192897283	83.77146889060766	75.285301970083	65.87695492916335	96.635534803917	74.69271951420183	68.54960850181078
20000	-685.2175293499997	-23.65145627671867	-480.23042806077325	-181.33564501250777	0.11209702562249937	1.391496987653817	0.760147795091557	0.5020943040364673	0.2814836147117626	0.4622599391277217	0.5043151535752511	1.868189832530419	0.5106880362674848	0.23993569368685286	0.8205275396570421	1.9293035543105619	1.9114701545504815	0.3970821926650039	1	1	0.5749967898235766	154.19266517068314	64.78183857213905	222.62130407235915	82.35113928353866	75.11953781372542	86.49028085614047	69.15170453097139	84.00364383707822	126.6337201588852	90.19566306687864	129.85378816752774	74.61200703388299	83.30235471953856	154.19266517068314	123.44867243850533	126.3483890107208	149.7150687800003	133.52453864690784	73.09565829944653	139.490093688524	124.53050119011256	97.89080477523098	75.28851932948693	85.10066446217658	137.39128377589134	129.0926906497591	124.30451350683363	83.87945799955071	76.22710705022197	86.53605441496899	135.45084107448585	75.48992970312923	68.8845596677885	82.26900306988217	74.96410134280316	84.0438214163764	68.82741248143797	77.42374315874835	124.41343400426281	65.9645192028827	126.46245080833383	74.4605885224129	82.00565462110879	153.44414666692742	122.72786907813901	125.30699162825768	145.46226844718902	132.80273996043582	72.95624454608368	123.68341276120499	122.0627619091031	66.4235299048623	74.40185056964059	64.78183857213905	103.7027392174856	122.3695364958332	124.28275605947773	83.735849156446	74.40350900806479	66.00822581297861	95.78271314834747	75.0075196068682	68.79331785249909
25000	-674.1679349733554	-29.170477530219895	-469.0996079196217	-175.89784952351386	0.08380098809562282	1.2259271837850347	0.4901380906092968	0.9478870625198557	0.6915545027316762	0.43344997810331143	0.4452569267638579	1.6797071713458944	0.6589519681686352	0.4835483106649007	1.8097234501486639	1.5581536938010876	1.9514623269036764	0.46098027992601875	2	1	1.2367146093787926	155.6073415678846	65.97807277983705	203.35849090174153	82.37585988328561	75.27879496130356	84.71317416249161	69.19375574455258	84.65033748661189	125.00234242903193	89.42975175133991	129.69664319780287	75.56540879210668	82.15510175879442	155.6073415678846	123.4152515426784	125.98790509110604	149.0333556162358	132.86135258867867	73.0768639537492	134.47204901332472	123.67905793229555	98.8490185288027	75.64139422534811	85.10631362859309	137.15135735085389	123.34035017880144	124.49477989456634	83.87298553698106	75.54237575114797	85.91954132919523	136.52272284078413	75.69387529980854	68.97142535207139	82.25026536151286	74.83631094049642	83.99534007678623	68.83118072548851	77.87830752097432	124.50623819042991	66.22714111267432	127.87994323500945	73.56582422479914	82.14654202453666	152.35249362264128	122.24493712585522	125.94126885730817	146.6823341974208	132.53585372980461	72.74441866750936	123.94660676924157	122.60426909660262	66.17283823746351	74.6850168996744	66.58863185671515	108.07484102406252	122.28238388600616	123.33874774418207	82.74708136785021	75.54033596585144	65.97807277983705	93.2944525429778	75.3659600428789	68.70435866189574
30000	-676.8046043540583	-30.767645628858013	-473.8758197810129	-172.16113894418737	0.14549378167233865	1.5374558337334	0.49403503643868385	1.12639719882206	0.534959585273162	0.44302604610967444	0.21478550882269118	2.1286462102346415	0.5304318881089052	0.5768038826366609	1.2729609476648567	1.9215025174933056	1.8403182810009722	0.4089812751387953	1	2	1.2948048212400758	154.1924146934662	66.01488247224528	210.74492638574534	82.38324106930996	75.351839466373	84.35933294056132	68.94873581531537	85.33091691128209	124.78229282517073	92.83006090188852	129.41765699735802	76.45131223565315	83.65797204494103	154.1924146934662	124.27386578274479	126.99046300238892	148.63805781398008	133.51836186648273	73.22376157261147	135.99774664532734	122.88314026596044	102.76110565855036	75.14700136720272	85.67030242747619	133.80396163626705	123.68029528124586	124.34627567809474	83.85176596365817	75.55123101138088	85.79928855420957	132.80642224038496	75.72827993931828	69.77676619585296	81.79975901384019	74.59570825709508	83.94596681382166	68.92635612956838	75.9674997494558	124.47024254440782	66.34825825500214	129.3438530806673	73.74243403247327	82.12931065155179	153.15570359137882	122.03766451417124	120.03376950773772	148.36373091157827	132.58752883245165	72.77289053573583	120.92009987619527	121.6682719239247	66.80782870600368	74.62456953953217	66.01488247224528	109.20108268399458	122.57486737122649	124.22132476302954	83.82567098227368	75.51282069822535	66.05106254644558	95.67985209383255	75.33368335447891	68.75224898636682
35000	-684.5726521161059	-37.83033408178685	-477.61070532699705	-169.131612707322	0.17377481325761598	3.8928394220966607	0.8631422051388804	0.6909035275136247	0.7809257983610658	0.29125641997008733	0.3878419060875122	1.7205445439580096	0.15705566390501197	0.4626180208175422	1.2768064539890034	1.742996693797832	2.4973485130917807	0.35884520205612613	2	2	2.2265426220203812	154.02765878560328	65.79172131277885	204.6359291214816	82.62984450010362	74.97105760117554	84.47715116237818	69.05748128358294	84.7378889664283	124.59335132644364	96.78702624890646	130.4332973438146	75.06540943449264	83.90237092220262	154.02765878560328	123.18337540293008	126.3571153746613	148.6231404875243	132.82927304799105	73.34535083905482	135.2802020499121	122.96204115673821	100.27181396380995	75.29215405941454	86.09786821594545	132.45882565778132	124.08457280915033	124.89287718730156	84.73214352314739	75.67410166129063	85.95480258438899	132.80028410168921	75.7545792657312	69.20327673857571	81.40699929433131	74.93267600371969	83.94804733662984	68.34298957099087	78.1160478553534	124.50014496571335	67.14132606588998	129.12314302438074	73.08062345762963	81.96277510062924	153.74111589185608	121.89881841915795	124.32684646493836	148.3867885011851	132.80478018778314	72.96810984363906	123.37343823557875	122.62806698931927	65.87289803632967	74.49809325831765	65.79172131277885	108.1842799182535	121.53386404690801	122.88949577800916	83.33537361295326	74.82171925984261	65.97872240623366	96.43113866696844	75.06565059336377	68.75871248200403
40000	-678.8949420290655	-32.07168770489432	-477.8364371208526	-168.9868172033186	0.0958222668222062	2.815079365552965	0.8589231260719724	0.751455153389747	1.242570078489034	0.3055793809660648	0.6343245266944686	1.5345621861191194	0.2234645094514086	0.29752139369586983	0.9579808815439059	1.6096541987375954	2.477961161033792	0.3539633789992865	1	2	1.463993194836282	154.14689918887458	65.978241454643	196.9125999223449	82.70610513364838	74.97995903902763	84.35173188198611	69.10385130242676	83.62826347189831	124.61811591306926	90.8109950380758	129.5210837436059	74.75123160888722	82.2145728364371	154.14689918887458	123.89669513805681	126.09842738635935	149.0031665136764	134.4979876881148	73.27612256195155	136.756228305539	123.30903928833636	101.21252870877795	75.352657645733	85.77286432919465	128.28242719657553	123.39664949939808	124.36629895450923	84.26802493074236	75.59797947761571	86.1008416551607	135.12330516705288	76.54160935868207	69.03510902243235	80.8973492611363	74.80107453853141	83.56574837069802	68.83920013542476	77.66738042534416	124.18087039651904	66.86174773561909	129.02212632377874	73.9791931042365	81.72323238767771	153.3564206611216	122.73935783172354	125.64046497541901	148.04382923163078	132.5914147274303	72.78826012171315	123.59093066496378	118.1865108031492	66.96006445322172	74.58132600744905	65.978241454643	107.43592455486576	122.66549391416896	124.13051098036118	83.6592431334136	75.19105714344073	66.03521648502661	96.9133215175811	75.23363356367209	68.54902715954009
45000	-694.647751118309	-34.05958659291912	-488.58569504386605	-172.0024694815238	0.09099137923303768	2.040754516715616	0.64178775504116	1.8404828184840272	1.1093738681413319	0.3270840381999964	0.7688957225493172	2.6051039317218443	0.1484604198274203	0.33898191958045876	0.8184702958175546	1.202638787459902	2.2303678834643743	0.4114870241876806	1	2	3.6820530628384605	154.49524647059576	64.80107145884907	215.8603768428681	82.38662789317861	75.51386780504508	85.51100637053577	69.06846154937175	87.251207511118	124.57610035382982	89.75793091343303	129.48175586209985	75.32399269175616	82.28242978207304	154.49524647059576	124.95179774857156	126.34126745289309	148.56327248681924	132.9602443266205	73.53645462397154	145.33447193372913	122.80461734392956	100.4516628580332	75.03615898538207	85.87685617162832	124.02970359160226	124.0629086714199	124.36580786447877	83.8613841346774	75.83686014802772	86.0998551309223	136.77206496023433	75.58840586838113	68.90320038523056	82.29254650995722	74.2927956697915	83.78157289811249	67.29099334641924	78.38841090440683	121.79967130623788	64.80107145884907	128.82829223444955	73.49184747953367	81.4271970123713	149.3492085724585	122.8343843786638	125.5857037544702	148.51749029832428	132.80556916421193	72.86755627431714	123.4030187563635	122.36407481051845	65.43968112113944	73.8689338629024	65.84273577295082	105.71629489232161	122.29641982483885	123.19719222718136	83.71690454515274	75.36038458237948	66.05344208937748	95.36364726778008	75.37346056935206	68.81474346188853
