it	posterior	prior	PP_lik	BD_lik	q_0	q_1	q_2	alpha	k_birth	k_death	RJ_hp	root_age	death_age	tot_length	Albertosaurus_TS	Alioramus_TS	Daspletosaurus_TS	Gorgosaurus_TS	Lythronax_TS	Nanotyrannus_TS	Nanuqsaurus_TS	Ornithomimus_TS	Tarbosaurus_TS	Teratophoneus_TS	Tyrannosauripus_TS	Tyrannosaurus_TS	Yezosaurus_TS	Zhuchengtyrannus_TS	Albertosaurus_TE	Alioramus_TE	Daspletosaurus_TE	Gorgosaurus_TE	Lythronax_TE	Nanotyrannus_TE	Nanuqsaurus_TE	Ornithomimus_TE	Tarbosaurus_TE	Teratophoneus_TE	Tyrannosauripus_TE	Tyrannosaurus_TE	Yezosaurus_TE	Zhuchengtyrannus_TE
0	-809.7201533917929	-12.884871632890363	-713.2417025435016	-83.59357921540095	0.2845299049787624	0.2845299049787624	0.2845299049787624	1.0	1	1	1	85.28205044982894	64.53790594818162	100.7780674366159	84.89828698806528	70.72657187267825	83.99879586429513	82.36266821242398	80.4930584237829	69.35054586678226	69.0969137575777	82.09745310584569	82.15481236893889	76.80233617786595	67.32680487136027	82.31936890507922	85.28205044982894	70.97015629342738	66.41837117137851	67.46746165325418	64.69726264215173	64.53790594818162	80.38440375004247	65.31810012982695	68.96967923953449	81.95382671700456	65.44168900856242	73.94643371936766	67.063166971459	65.00043144992793	85.13153756091778	70.77148575972666
5000	-667.5642949824878	-27.791307912813583	-575.0123722900198	-64.76061477965436	0.3977097127625603	0.7306895656523679	2.389562410032594	0.5114477926985046	2	3	4.878612397251924	85.61640021678588	65.61121459311941	114.98289240363434	85.07269633868921	71.05452611408293	84.47626715895159	83.21968142149119	82.32455263389551	69.81039519791531	69.06137081445576	82.2232320579351	82.40591177187753	76.13249940887503	67.60421765677549	82.16021087660938	85.61640021678588	71.53102666296832	65.88020891317463	67.67498784353607	66.13806534157249	66.12516574058824	75.9664182694479	66.14073952981575	69.01489733694028	81.73800524088104	66.06159847108992	65.61121459311941	67.02636078091523	66.07528521920752	85.0277629490436	69.22938569834182
10000	-643.1057718112843	-24.275585175602295	-554.2559170307896	-64.57426960489238	1.1466610464799687	1.1277283016673911	3.794603689934539	0.8373085662150044	2	2	1.1236823535868694	85.42581250276517	65.75214092462718	103.39891461245055	84.54282724836985	71.27520242909448	84.69079101325006	83.44096148670255	82.52046415680799	71.37659474435992	69.14623825911531	83.07496861520322	82.75056438615968	76.01293736443996	67.215613554468	82.51310722934015	85.42581250276517	71.17815407734089	66.9162902253697	67.70709535154343	66.58337585586719	66.24832357942798	79.51931098778874	65.75214092462718	69.01624482657834	81.31974750456662	66.11201668060902	73.73140511187592	67.03001666586394	65.94302336782121	85.06360853606672	70.82272283696068
15000	-648.4999656347543	-24.385500604528445	-567.2006732604539	-56.91379176977193	0.9085939056406072	0.973240882780732	3.5347264912293577	1.0356257091027439	2	2	2.4763965358900735	85.28758288256812	65.91292287319837	113.0350485059236	84.92645267053003	74.25229403955204	84.35785092444047	84.12445553559675	82.49865004061337	69.29729626562022	69.28873472535577	84.38194670496502	84.44387864949285	76.16840397259826	67.65532007837622	84.2003371635314	85.28758288256812	70.84624214172732	66.66942769553081	65.94296864135946	66.17719162845289	66.5166411021324	79.28447080280714	66.2228721887393	68.72336036606545	82.02686570024154	66.18736590627292	72.64023501390552	66.38097528773051	65.91292287319837	85.22268828990848	70.78641179269944
20000	-650.7311046236831	-23.910909385708816	-569.3993969846025	-57.4207982533718	1.0227656475066802	0.7910469707280736	2.402055406956233	0.9844877791137131	2	2	2.875400211468977	85.26973314517659	65.61774803219342	109.17516316490945	84.7384669298424	72.48599956751424	83.8164258577136	83.26511871387777	82.21841160615641	69.28633249637339	69.16471567209548	82.18165053257714	82.86850778850865	76.31414298916549	67.33976557026241	83.03935457501889	85.26973314517659	70.84165159399775	66.49295079605857	65.88252773210253	66.50360872634721	66.35791162788787	79.07864050310137	65.61774803219342	66.96349220367813	81.67847921241523	66.19281870382505	70.839487783304	66.24283490602548	66.07399217450428	85.13702112818292	70.59360034374471
25000	-657.1939698108903	-23.321777036684928	-572.153577332955	-61.718615441250336	1.1238307144741249	0.6737326900786663	2.539470477641972	0.6017704516132163	2	2	2.635471441193565	86.19871088616564	65.93777407544114	112.8772193908215	85.26888897515363	74.82735488365336	85.22496540668546	83.69912411923485	84.02462003038175	71.23201077514068	70.13057752141161	82.99038116761794	82.8836910317813	76.60058631259669	67.26791013749616	83.19983614221994	86.19871088616564	70.8544518580888	66.39738109402067	67.89444600549206	66.34779465995747	66.32286946084494	79.75172732748364	66.17130378976572	68.8051978994793	82.05787967768828	65.93777407544114	73.96496598523734	66.39145716881991	65.99574474505557	84.6620366699714	70.82531129754886
30000	-635.2028805336414	-26.412398688157275	-553.1307069312359	-55.65977491424826	1.552099145496704	1.0139635233166402	3.1829090737403813	0.9388448635108037	2	2	0.8645773235412998	85.24005782717957	65.66591648770662	100.77003409217852	84.72391595337959	70.44781883267996	83.81024727108435	82.41185900987793	82.77535650747342	69.88686897130766	69.0784442714794	82.63010447640171	82.53569948408247	76.22909637809362	67.43214647032215	82.39099289631795	85.24005782717957	71.05314081307002	66.42010108641666	66.6642571788871	66.15213372758919	66.56113798123896	80.11352565301125	65.66591648770662	68.94738818333896	81.83042651620003	65.76352401131356	73.27451223836569	66.45794687302576	66.09377203555219	85.22366004607434	70.70741305185095
35000	-642.8646726032716	-34.5960810630134	-557.3723451152966	-50.89624642496153	1.5541664524942809	1.3520762654111314	3.563292896503008	0.881541272408794	2	3	3.2283911389236515	85.60340798138277	65.96835671051056	114.99900359427352	84.95597604962113	72.86669199251921	85.60340798138277	84.17285599025365	80.53415729446967	72.49320077634465	69.38308426864684	82.09450338671739	83.3136447570156	81.1778288456465	67.41079290553775	82.23083400929546	85.34587865914065	70.8377397304587	66.09530820434915	66.05997359346657	65.98438464590942	66.05600168929249	79.19171952821621	66.01752306823019	68.95883020981407	82.07402122367172	66.00372184582749	72.8992879910917	65.96835671051056	66.07247177635276	85.20410585595604	70.83588671008809
40000	-645.925245160958	-30.1666722797386	-560.4611768186344	-55.297396062584994	1.8083444480864226	0.8947593693921224	2.448916776740676	0.996607366796614	2	3	1.7305322727167942	85.28768403423081	65.32515729096033	103.6650713046096	85.03269822326905	70.9857303652397	83.96014822212085	82.47221469788812	80.5266778962577	69.76729477463587	69.5606625527798	82.29679430249595	82.23822635581969	78.46841129935359	67.1280667436266	82.83774583237482	85.28768403423081	71.08222401468532	65.98353448823201	65.46757374485284	66.12398004142264	66.17431038885995	80.33256185575777	66.16052582971044	68.98913540091301	80.51313745333718	66.16179250364918	73.83863446085118	66.96830555615861	65.32515729096033	85.18005720142337	70.76080179403976
45000	-635.7872234904929	-30.40123049519577	-549.527680446363	-55.85831254893412	1.296705611621282	0.8495781678416285	2.602614643018682	0.8849337634101152	2	3	1.7056974010329076	85.31202047789098	65.66314746530588	99.76357144313465	84.5429827485528	72.06843999075333	83.98419071575873	83.16012832381027	80.46571691340026	71.22268918603739	69.03972776472969	82.34173398301147	82.18195562556798	76.05019844603258	67.15156662484925	82.51509399609006	85.31202047789098	70.84614347956288	66.26123908507044	66.59587952093003	66.60186671956487	65.66314746530588	80.38993675374995	66.39930855287466	68.93651577671723	81.88744973507622	66.22164165661022	73.68649031484355	66.60291750275057	65.94645719872081	85.16585839166245	70.76030815903614
50000	-648.7064810123835	-29.326302769818913	-562.0100834274025	-57.37009481516213	1.4562174040758982	1.1133300100424166	3.0771210412039056	0.8620258165445459	2	3	1.533652214365721	85.28305610493345	65.99535618279882	105.97958832056746	84.54488864159897	71.3470571492057	83.9931633071284	82.48959190469792	82.73227433224893	70.30349382217565	69.23012336035039	83.53185519722912	82.5482065861279	79.34905989032701	68.14233574502185	82.86353691596136	85.28305610493345	70.96633645468167	66.79733217000509	66.81465745101323	66.52712281005533	66.39976204332942	80.08390356847507	66.11405403390151	68.97777776611896	81.01948797386872	66.19187776251337	73.99071582226786	66.958256755461	65.99535618279882	85.03432946791072	70.44075728340178
