accepted_name	status	max_ma	min_ma
Chaoyangsaurus youngi	extinct	152.2	132.6
Protarchaeopteryx robusta	extinct	125.77	119.5
Caudipteryx zoui	extinct	125.77	119.5
Gorgosaurus libratus	extinct	83.6	72.1
Gorgosaurus libratus	extinct	83.6	72.1
Centrosaurus apertus	extinct	83.6	72.1
Gorgosaurus libratus	extinct	83.6	72.1
Gorgosaurus libratus	extinct	83.6	72.1
Gorgosaurus libratus	extinct	83.6	72.1
Albertosaurus sarcophagus	extinct	72.1	66
Albertosaurus sarcophagus	extinct	72.1	66
Albertosaurus sarcophagus	extinct	72.1	66
Albertosaurus sarcophagus	extinct	72.1	66
Albertosaurus sarcophagus	extinct	72.1	66
Isisaurus colberti	extinct	72.1	66
Daspletosaurus torosus	extinct	83.6	72.1
Daspletosaurus torosus	extinct	83.6	72.1
Albertosaurus sarcophagus	extinct	72.1	66
Tyrannosaurus rex	extinct	72.1	66
Tyrannosaurus rex	extinct	72.1	66
Gryposaurus notabilis	extinct	83.6	72.1
Ankylosaurus magniventris	extinct	72.1	66
Bistahieversor sealeyi	extinct	83.6	72.1
Pachycephalosaurus wyomingensis	extinct	72.1	66
Sonorasaurus thompsoni	extinct	106.2	93.9
Mononykus olecranus	extinct	72.1	66
Tarbosaurus bataar	extinct	72.1	66
Orodromeus makelai	extinct	83.6	72.1
Maiasaura peeblesorum	extinct	83.6	72.1
Goyocephale lattimorei	extinct	86.3	66
Tethyshadros insularis	extinct	83.6	72.1
Ichthyornis dispar	extinct	89.8	83.6
Neogaeornis wetzeli	extinct	72.1	66
Alexornis antecedens	extinct	86.3	83.6
Yacoraitichnus avis	extinct	72.1	66
Patagonichnornis venetiorum	extinct	83.6	66
Megaloolithus siruguei	extinct	72.1	66
Amargasaurus cazaui	extinct	125.77	121.4
Telmatosaurus transsylvanicus	extinct	72.1	66
Styracosaurus albertensis	extinct	83.6	72.1
Centrosaurus apertus	extinct	83.6	72.1
Macroolithus rugustus	extinct	72.1	66
Macroolithus rugustus	extinct	72.1	66
Patagopteryx deferrariisi	extinct	86.3	83.6
Neuquenornis volans	extinct	86.3	83.6
Graciliceratops mongoliensis	extinct	100.5	83.6
Bagaceratops rozhdestvenskyi	extinct	83.6	72.1
Gobipteryx minuta	extinct	83.6	72.1
Eolambia caroljonesa	extinct	100.5	93.9
Megaloolithus jabalpurensis	extinct	83.6	72.1
Iguanodon bernissartensis	extinct	125.77	119.5
Prosaurolophus maximus	extinct	83.6	72.1
Maiasaura peeblesorum	extinct	83.6	72.1
Orodromeus makelai	extinct	83.6	72.1
Tyrannosaurus rex	extinct	83.6	72.1
Centrosaurus apertus	extinct	83.6	72.1
Gorgosaurus libratus	extinct	83.6	72.1
Velociraptor mongoliensis	extinct	83.6	72.1
Protoceratops andrewsi	extinct	83.6	72.1
Hypsilophodon foxii	extinct	125.77	121.4
Prosaurolophus maximus	extinct	83.6	72.1
Hypacrosaurus stebingeri	extinct	83.6	72.1
Troodon formosus	extinct	83.6	72.1
Daspletosaurus horneri	extinct	83.6	72.1
Maiasaura peeblesorum	extinct	83.6	72.1
Pachyrhinosaurus lakustai	extinct	83.6	72.1
Convolosaurus marri	extinct	119.5	113
Iguanodon bernissartensis	extinct	125.77	119.5
Mantellisaurus atherfieldensis	extinct	125.77	119.5
Iguanodon bernissartensis	extinct	125.77	119.5
Styracosaurus albertensis	extinct	83.6	72.1
Centrosaurus apertus	extinct	83.6	72.1
Hypacrosaurus stebingeri	extinct	83.6	72.1
Prosaurolophus maximus	extinct	83.6	72.1
Einiosaurus procurvicornis	extinct	83.6	72.1
Einiosaurus procurvicornis	extinct	83.6	72.1
Agujaceratops mariscalensis	extinct	83.6	72.1
Potamornis skutchi	extinct	72.1	66
Sauroposeidon proteles	extinct	121.4	100.5
Dromaeosaurus albertensis	extinct	83.6	72.1
Saurornitholestes langstoni	extinct	83.6	72.1
Troodon formosus	extinct	83.6	72.1
Richardoestesia gilmorei	extinct	83.6	72.1
Dromaeosaurus albertensis	extinct	83.6	72.1
Saurornitholestes langstoni	extinct	83.6	72.1
Troodon formosus	extinct	83.6	72.1
Richardoestesia gilmorei	extinct	83.6	72.1
Avaceratops lammersi	extinct	83.6	72.1
Latirhinus uitstlani	extinct	83.6	72.1
Edmontosaurus annectens	extinct	72.1	66
Macroolithus yaotunensis	extinct	83.6	72.1
Ovaloolithus chinkangkouensis	extinct	83.6	72.1
Elongatoolithus andrewsi	extinct	83.6	66
Edmontosaurus annectens	extinct	72.1	66
Aquatilavipes izumiensis	extinct	125.77	121.4
Triceratops prorsus	extinct	72.1	66
Protohadros byrdi	extinct	100.5	93.9
Vagaceratops irvinensis	extinct	83.6	72.1
Vagaceratops irvinensis	extinct	83.6	72.1
Confuciusornis dui	extinct	125.77	119.5
Mantellisaurus atherfieldensis	extinct	125.77	119.5
Haestasaurus becklesii	extinct	140.6	132.6
Wannanosaurus yansiensis	extinct	72.1	66
Menefeeceratops sealeyi	extinct	83.6	72.1
Agujaceratops mariscalensis	extinct	83.6	72.1
Vorona berivotrensis	extinct	72.1	66
Tenontosaurus tilletti	extinct	109.9	93.9
Tenontosaurus tilletti	extinct	121.4	109.9
Carcharodontosaurus saharicus	extinct	100.5	93.9
Spinosaurus aegyptiacus	extinct	100.5	93.9
Carcharodontosaurus saharicus	extinct	145	100.5
Carcharodontosaurus saharicus	extinct	145	100.5
Acrocanthosaurus atokensis	extinct	121.4	113
Acrocanthosaurus atokensis	extinct	121.4	113
Acrocanthosaurus atokensis	extinct	121.4	113
Carcharodontosaurus saharicus	extinct	113	93.9
Carcharodontosaurus saharicus	extinct	121.4	113
Carcharodontosaurus saharicus	extinct	113	100.5
Carcharodontosaurus saharicus	extinct	113	100.5
Carcharodontosaurus saharicus	extinct	119.5	109.9
Bahariasaurus ingens	extinct	113	93.9
Aegyptosaurus baharijensis	extinct	113	93.9
Bahariasaurus ingens	extinct	106.2	93.9
Carcharodontosaurus saharicus	extinct	106.2	93.9
Spinostropheus gautieri	extinct	106.2	93.9
Aegyptosaurus baharijensis	extinct	106.2	93.9
Aegyptosaurus baharijensis	extinct	145	132.6
Spinostropheus gautieri	extinct	145	121.4
Carcharodontosaurus saharicus	extinct	145	121.4
Deltadromeus agilis	extinct	100.5	93.9
Rebbachisaurus garasbae	extinct	100.5	93.9
Spinosaurus aegyptiacus	extinct	100.5	93.9
Carcharodontosaurus saharicus	extinct	121.4	100.5
Ouranosaurus nigeriensis	extinct	113	100.5
Polacanthus foxii	extinct	125.77	119.5
Carnotaurus sastrei	extinct	72.1	66
Troodon formosus	extinct	83.6	72.1
Orodromeus makelai	extinct	83.6	72.1
Lametasaurus indicus	extinct	72.1	66
Indosuchus raptorius	extinct	72.1	66
Indosaurus matleyi	extinct	72.1	66
Laevisuchus indicus	extinct	72.1	66
Jainosaurus septentrionalis	extinct	72.1	66
Edmontosaurus annectens	extinct	72.1	66
Tyrannosaurus rex	extinct	72.1	66
Maiasaura peeblesorum	extinct	83.6	72.1
Brachylophosaurus canadensis	extinct	83.6	72.1
Troodon formosus	extinct	83.6	72.1
Hypsilophodon foxii	extinct	125.77	121.4
Ornithopsis hulkei	extinct	132.6	119.5
Polacanthus foxii	extinct	125.77	121.4
Telmatornis priscus	extinct	72.1	61.6
Palaeotringa littoralis	extinct	72.1	61.6
Graculavus velox	extinct	72.1	61.6
Tytthostonyx glauconiticus	extinct	72.1	61.6
Histriasaurus boscarollii	extinct	132.6	121.4
Parvicursor remotus	extinct	83.6	72.1
Utahraptor ostrommaysi	extinct	139.8	132.6
Gastonia burgei	extinct	139.8	132.6
Utahraptor ostrommaysi	extinct	139.8	132.6
Moabosaurus utahensis	extinct	139.8	132.6
Moabosaurus utahensis	extinct	139.8	132.6
Gastonia burgei	extinct	139.8	132.6
Eolambia caroljonesa	extinct	121.4	100.5
Animantarx ramaljonesi	extinct	121.4	100.5
Saurornitholestes langstoni	extinct	83.6	72.1
Richardoestesia gilmorei	extinct	83.6	72.1
Tyrannosaurus rex	extinct	72.1	66
Stegopelta landerensis	extinct	100.5	93.9
Magnoavipes lowei	extinct	100.5	93.9
Fuscinapedis woodbinensis	extinct	100.5	93.9
Iberomesornis romerali	extinct	125.77	121.4
Mirischia asymmetrica	extinct	119.5	113
Irritator challengeri	extinct	119.5	113
Claosaurus agilis	extinct	89.8	83.6
Nodosaurus textilis	extinct	100.5	93.9
Variraptor mechinorum	extinct	83.6	72.1
Variraptor mechinorum	extinct	83.6	66
Tarascosaurus salluvicus	extinct	83.6	72.1
Ilokelesia aguadagrandensis	extinct	100.5	89.8
Quilmesaurus curriei	extinct	83.6	66
Giganotosaurus carolinii	extinct	100.5	93.9
Aucasaurus garridoi	extinct	83.6	72.1
Anchiceratops ornatus	extinct	83.6	66
Lurdusaurus arenatus	extinct	113	100.5
Wintonopus latomorum	extinct	100.5	93.9
Wintonopus latomorum	extinct	100.5	93.9
Lirainosaurus astibiae	extinct	83.6	72.1
Psittacosaurus mongoliensis	extinct	139.8	100.5
Enantiornis leali	extinct	72.1	66
Nuthetes destructor	extinct	145	140.6
Echinodon becklesii	extinct	145	140.6
Nuthetes destructor	extinct	145	140.6
Albalophosaurus yamaguchiorum	extinct	125.77	121.4
Pycnonemosaurus nevesi	extinct	100.5	66
Abelisaurus comahuensis	extinct	83.6	72.1
Shamosaurus scutatus	extinct	121.4	100.5
Majungasaurus crenatissimus	extinct	72.1	66
Traukutitan eocaudata	extinct	86.3	83.6
Saurornitholestes langstoni	extinct	83.6	72.1
Saurornitholestes langstoni	extinct	83.6	72.1
Troodon formosus	extinct	83.6	72.1
Saurornitholestes langstoni	extinct	83.6	72.1
Troodon formosus	extinct	83.6	72.1
Saurornitholestes langstoni	extinct	83.6	72.1
Richardoestesia gilmorei	extinct	83.6	72.1
Rajasaurus narmadensis	extinct	72.1	66
Silvisaurus condrayi	extinct	106.2	100.5
Pachyrhinosaurus canadensis	extinct	83.6	66
Latenivenatrix mcmasterae	extinct	83.6	72.1
Deinonychus antirrhopus	extinct	121.4	109.9
Leptoceratops gracilis	extinct	72.1	66
Ichthyornis dispar	extinct	89.8	86.3
Ichthyornis dispar	extinct	83.6	72.1
Ichthyornis dispar	extinct	83.6	72.1
Megalosauropus broomensis	extinct	139.8	121.4
Bisticeratops froeseorum	extinct	83.6	72.1
Austrosaurus mckillopi	extinct	106.2	100.5
Mendozasaurus neguyelap	extinct	89.8	86.3
Appalachiosaurus montgomeriensis	extinct	86.3	72.1
Struthiosaurus austriacus	extinct	83.6	72.1
Pawpawsaurus campbelli	extinct	106.2	100.5
Styracosaurus albertensis	extinct	83.6	72.1
Kritosaurus navajovius	extinct	83.6	72.1
Megaloolithus aureliensis	extinct	72.1	66
Megaloolithus siruguei	extinct	72.1	66
Pinacosaurus grangeri	extinct	89.8	83.6
Tanius sinensis	extinct	89.8	83.6
Phuwiangosaurus sirindhornae	extinct	125.77	121.4
Phuwiangosaurus sirindhornae	extinct	125.77	121.4
Phuwiangosaurus sirindhornae	extinct	125.77	121.4
Phuwiangosaurus sirindhornae	extinct	125.77	121.4
Kinnareemimus khonkaenensis	extinct	125.77	121.4
Phuwiangosaurus sirindhornae	extinct	125.77	121.4
Phuwiangosaurus sirindhornae	extinct	125.77	121.4
Phuwiangosaurus sirindhornae	extinct	125.77	121.4
Phuwiangosaurus sirindhornae	extinct	125.77	121.4
Phuwiangosaurus sirindhornae	extinct	125.77	121.4
Phuwiangosaurus sirindhornae	extinct	125.77	121.4
Siamotyrannus isanensis	extinct	125.77	121.4
Calorckosauripus lazari	extinct	72.1	66
Ligabueichnium bolivianum	extinct	72.1	66
Naashoibitosaurus ostromi	extinct	83.6	72.1
Gideonmantellia amosanjuanae	extinct	125.77	121.4
Abditosaurus kuehnei	extinct	72.1	66
Kritosaurus navajovius	extinct	83.6	72.1
Hesperornis regalis	extinct	83.6	72.1
Macroolithus rugustus	extinct	72.1	66
Macroolithus yaotunensis	extinct	72.1	66
Hesperornis regalis	extinct	83.6	72.1
Pyroraptor olympius	extinct	72.1	66
Fusioolithus baghensis	extinct	72.1	66
Hesperornis regalis	extinct	83.6	72.1
Opisthocoelicaudia skarzynskii	extinct	72.1	66
Tarbosaurus bataar	extinct	72.1	66
Protoceratops andrewsi	extinct	83.6	72.1
Tarbosaurus bataar	extinct	72.1	66
Protoceratops andrewsi	extinct	83.6	72.1
Pinacosaurus grangeri	extinct	83.6	72.1
Protoceratops andrewsi	extinct	83.6	72.1
Tarbosaurus bataar	extinct	72.1	66
Saurolophus angustirostris	extinct	72.1	66
Gallimimus bullatus	extinct	72.1	66
Lirainosaurus astibiae	extinct	83.6	72.1
Lirainosaurus astibiae	extinct	83.6	72.1
Velociraptor mongoliensis	extinct	83.6	72.1
Shuvuuia deserti	extinct	83.6	72.1
Gobipteryx minuta	extinct	83.6	72.1
Byronosaurus jaffei	extinct	83.6	72.1
Citipati osmolskae	extinct	83.6	72.1
Khaan mckennai	extinct	83.6	72.1
Khaan mckennai	extinct	83.6	72.1
Gettyia gloriae	extinct	83.6	72.1
Protoceratops hellenikorhinus	extinct	83.6	72.1
Pinacosaurus mephistocephalus	extinct	83.6	72.1
Charonosaurus jiayinensis	extinct	72.1	66
Tarbosaurus bataar	extinct	72.1	66
Dromaeosaurus albertensis	extinct	83.6	72.1
Saurornitholestes langstoni	extinct	83.6	72.1
Troodon formosus	extinct	83.6	72.1
