Species	Status
Abavornis	extinct
Abavornis_bonaparti	extinct
Abdarainurus_barsboldi	extinct
Abditosaurus_kuehnei	extinct
Abelichnus_astigarrae	extinct
Abelisaurus_comahuensis	extinct
Aberratiodontus_wui	extinct
Abitusavis_lii	extinct
Abydosaurus_mcintoshi	extinct
Acantholipan_gonzalezi	extinct
Achelousaurus_horneri	extinct
Acheralichnus_leonardii	extinct
Acheroraptor	extinct
Acheroraptor_temertyorum	extinct
Achillesaurus_manazzonei	extinct
Achillobator_giganticus	extinct
Acristavus_gagslarsoni	extinct
Acrocanthosaurus	extinct
Acrocanthosaurus_atokensis	extinct
Acrotholus_audeti	extinct
Adamantisaurus_mezzalirai	extinct
Adasaurus_mongoliensis	extinct
Adelolophus_hutchisoni	extinct
Adynomosaurus_arcanus	extinct
Aegyptosaurus	extinct
Aegyptosaurus_baharijensis	extinct
Aeolosaurus	extinct
Aeolosaurus_colhuehuapensis	extinct
Aeolosaurus_rionegrinus	extinct
Aepyornithomimus_tugrikinensis	extinct
Aerosteon_riocoloradensis	extinct
Afromimus_tenerensis	extinct
Ageroolithus	extinct
Ageroolithus_fontllongensis	extinct
Agujaceratops	extinct
Agujaceratops_mariscalensis	extinct
Agustinia_ligabuei	extinct
Ahshislepelta_minor	extinct
Ajkaceratops_kozmai	extinct
Ajnabia_odysseus	extinct
Akainacephalus_johnsoni	extinct
Alamitornis_minutus	extinct
Alamosaurus	extinct
Alamosaurus_sanjuanensis	extinct
Alaripeda	extinct
Alaskacephale_gangloffi	extinct
Albalophosaurus_yamaguchiorum	extinct
Albertaceratops_nesmoi	extinct
Albertadromeus_syntarsus	extinct
Albertavenator_curriei	extinct
Albertonykus	extinct
Albertonykus_borealis	extinct
Albertosaurus	extinct
Albertosaurus_sarcophagus	extinct
Albinykus_baatar	extinct
Alectrosaurus	extinct
Alectrosaurus_olseni	extinct
Alethoalaornis_agitornis	extinct
Aletopelta_coombsi	extinct
Alexornis_antecedens	extinct
Alioramus_remotus	extinct
Alioramus_sinensis	extinct
Allosaurus	extinct
Almas_ukhaa	extinct
Alnashetri_cerropoliciensis	extinct
Altirhinus_kurzanovi	extinct
Alvarezsaurus_calvoi	extinct
Alxasaurus_elesitaiensis	extinct
Amargasaurus_cazaui	extinct
Amargatitanis_macni	extinct
Amazonsaurus_maranhensis	extinct
Ambiortus_dementjevi	extinct
Amblydactylus	extinct
Amblydactylus_kortmeyeri	extinct
Ampelognathus_coheni	extinct
Ampelosaurus	extinct
Ampelosaurus_atacis	extinct
Amtocephale_gobiensis	extinct
Amurosaurus_riabinini	extinct
Anabisetia_saldiviai	extinct
Anasazisaurus_horneri	extinct
Anatalavis_rex	extinct
Anchiceratops	extinct
Anchiceratops_ornatus	extinct
Anchisauripus	extinct
Anchisauripus_australis	extinct
Andesaurus_delgadoi	extinct
Angaturama_limai	extinct
Angolatitan_adamastor	extinct
Angulomastacator_daviesi	extinct
Aniksosaurus_darwini	extinct
Animantarx_ramaljonesi	extinct
Ankylosaurus	extinct
Ankylosaurus_magniventris	extinct
Anodontosaurus_inceptus	extinct
Anodontosaurus_lambei	extinct
Anomalipes_zhaoi	extinct
Anomoepus	extinct
Anoplosaurus_curtonotus	extinct
Anserimimus_planinychus	extinct
Antarcticavis_capelambensis	extinct
Antarctosaurus	extinct
Antarctosaurus_wichmannianus	extinct
Anzu	extinct
Anzu_wyliei	extinct
Aoniraptor_libertatem	extinct
Apatoraptor_pennatus	extinct
Apatornis_celer	extinct
Appalachiosaurus_montgomeriensis	extinct
Apsaravis_ukhaana	extinct
Apulosauripus_federicianus	extinct
Aquatilavipes	extinct
Aquatilavipes_izumiensis	extinct
Aquatilavipes_swiboldae	extinct
Aquilarhinus_palimentus	extinct
Aquilops_americanus	extinct
Arackar_licanantay	extinct
Aralosaurus_tuberiferus	extinct
Aratasaurus_museunacionali	extinct
Archaeoceratops_oshimai	extinct
Archaeoceratops_yujingziensis	extinct
Archaeopteryx	extinct
Archaeorhynchus_spathula	extinct
Archaeornithipus_meijidei	extinct
Archaeornithoides_deinosauriscus	extinct
Archaeornithomimus_asiaticus	extinct
Archaeornithomimus_bissektensis	extinct
Archaeornithura_meemannae	extinct
Archaeovolans_repatriatus	extinct
Arcovenator	extinct
Arcovenator_escotae	extinct
Arenysaurus_ardevoli	extinct
Argentinosaurus_huinculensis	extinct
Argyrosaurus_superbus	extinct
Aristosuchus_pusillus	extinct
Arkansaurus_fridayi	extinct
Arrhinoceratops	extinct
Arrhinoceratops_brachyops	extinct
Arriagadoolithus_patagoniensis	extinct
Arrudatitan_maximus	extinct
Asiaceratops	extinct
Asiaceratops_salsopaludalis	extinct
Asiahesperornis	extinct
Asiahesperornis_bazhanovi	extinct
Asiamericana_asiatica	extinct
Asianopodus	extinct
Asianopodus_pulvinicalx	extinct
Asianopodus_robustus	extinct
Asteriornis_maastrichtensis	extinct
Astrophocaudia_slaughteri	extinct
Atacamatitan_chilensis	extinct
Atlascopcosaurus_loadsi	extinct
Atrociraptor_marshalli	extinct
Atsinganosaurus_velauciensis	extinct
Aucasaurus	extinct
Aucasaurus_garridoi	extinct
Augustynolophus_morrisi	extinct
Auroraceratops_rugosus	extinct
Australotitan_cooperensis	extinct
Australovenator_wintonensis	extinct
Austrocheirus_isasii	extinct
Austroposeidon_magnificus	extinct
Austroraptor_cabazai	extinct
Austrosaurus_mckillopi	extinct
Avaceratops_lammersi	extinct
Avimaia_schweitzerae	extinct
Avimimus	extinct
Avimimus_nemegtensis	extinct
Avimimus_portentosus	extinct
Avipeda	extinct
Avisaurus_archibaldi	extinct
Baalsaurus_mansillai	extinct
Bactrosaurus	extinct
Bactrosaurus_johnsoni	extinct
Bagaceratops	extinct
Bagaceratops_rozhdestvenskyi	extinct
Bagaraatan_ostromi	extinct
Bahariasaurus_ingens	extinct
Bajadasaurus_pronuspinax	extinct
Balaur_bondoc	extinct
Balochisaurus_malkani	extinct
Bambiraptor_feinbergi	extinct
Banji_long	extinct
Bannykus_wulatensis	extinct
Baotianmansaurus_henanensis	extinct
Baptornis	extinct
Baptornis_advenus	extinct
Barilium	extinct
Barilium_dawsoni	extinct
Barrosasaurus_casamiquelai	extinct
Barrosopus_slobodai	extinct
Barsboldia_sicinskii	extinct
Baryonyx	extinct
Baryonyx_walkeri	extinct
Batyrosaurus_rozhdestvenskyi	extinct
Baurutitan_britoi	extinct
Bauxitornis	extinct
Bauxitornis_mindszentyae	extinct
Bayannurosaurus_perfectus	extinct
Becklespinax_altispinax	extinct
Beg_tse	extinct
Beibeilong_sinensis	extinct
Beipiaosaurus	extinct
Beipiaosaurus_inexpectus	extinct
Beishanlong_grandis	extinct
Bellatoripes_fredlundi	extinct
Bellulia_rectusunguis	extinct
Berthasaura_leopoldinae	extinct
Bicentenaria_argentina	extinct
Bissektipelta_archibaldi	extinct
Bistahieversor_sealeyi	extinct
