it	posterior	prior	PP_lik	BD_lik	q_0	q_1	q_2	q_3	q_4	q_5	q_6	q_7	q_8	q_9	q_10	q_11	alpha	k_birth	k_death	RJ_hp	root_age	death_age	tot_length	Ahshislepelta_minor_TS	Akainacephalus_johnsoni_TS	Aletopelta_coombsi_TS	Ankylosauridae_TS	Ankylosaurinae_TS	Ankylosaurus_TS	Ankylosaurus_magniventris_TS	Anodontosaurus_inceptus_TS	Anodontosaurus_lambei_TS	Bissektipelta_archibaldi_TS	Cedarpelta_bilbeyhallorum_TS	Chuanqilong_chaoyangensis_TS	Crichtonpelta_benxiensis_TS	Datai_yingliangis_TS	Dyoplosaurus_acutosquameus_TS	Euoplocephalus_TS	Euoplocephalus_tutus_TS	Gobisaurus_domoculus_TS	Jinyunpelta_sinensis_TS	Liaoningosaurus_paradoxus_TS	Minmi_paravertebrata_TS	Nodocephalosaurus_kirtlandensis_TS	Oohkotokia_TS	Oohkotokia_horneri_TS	Pinacosaurus_TS	Pinacosaurus_grangeri_TS	Pinacosaurus_mephistocephalus_TS	Platypelta_coombsi_TS	Polacanthinae_TS	Saichania_chulsanensis_TS	Scolosaurus_cutleri_TS	Scolosaurus_thronus_TS	Shamosaurinae_TS	Shamosaurus_scutatus_TS	Talarurus_plicatospineus_TS	Tarchia_TS	Tarchia_kielanae_TS	Tarchia_teresae_TS	Tarchia_tumanovae_TS	Tsagantegia_TS	Tsagantegia_longicranialis_TS	Zaraapelta_nomadis_TS	Ziapelta_sanjuanensis_TS	Zuul_crurivastator_TS	Ahshislepelta_minor_TE	Akainacephalus_johnsoni_TE	Aletopelta_coombsi_TE	Ankylosauridae_TE	Ankylosaurinae_TE	Ankylosaurus_TE	Ankylosaurus_magniventris_TE	Anodontosaurus_inceptus_TE	Anodontosaurus_lambei_TE	Bissektipelta_archibaldi_TE	Cedarpelta_bilbeyhallorum_TE	Chuanqilong_chaoyangensis_TE	Crichtonpelta_benxiensis_TE	Datai_yingliangis_TE	Dyoplosaurus_acutosquameus_TE	Euoplocephalus_TE	Euoplocephalus_tutus_TE	Gobisaurus_domoculus_TE	Jinyunpelta_sinensis_TE	Liaoningosaurus_paradoxus_TE	Minmi_paravertebrata_TE	Nodocephalosaurus_kirtlandensis_TE	Oohkotokia_TE	Oohkotokia_horneri_TE	Pinacosaurus_TE	Pinacosaurus_grangeri_TE	Pinacosaurus_mephistocephalus_TE	Platypelta_coombsi_TE	Polacanthinae_TE	Saichania_chulsanensis_TE	Scolosaurus_cutleri_TE	Scolosaurus_thronus_TE	Shamosaurinae_TE	Shamosaurus_scutatus_TE	Talarurus_plicatospineus_TE	Tarchia_TE	Tarchia_kielanae_TE	Tarchia_teresae_TE	Tarchia_tumanovae_TE	Tsagantegia_TE	Tsagantegia_longicranialis_TE	Zaraapelta_nomadis_TE	Ziapelta_sanjuanensis_TE	Zuul_crurivastator_TE
0	-1344.4498232658125	-19.385032575050936	-962.4793196388622	-362.5854710518994	0.34686852217614916	0.34686852217614916	0.34686852217614916	0.34686852217614916	0.34686852217614916	0.34686852217614916	0.34686852217614916	0.34686852217614916	0.34686852217614916	0.34686852217614916	0.34686852217614916	0.34686852217614916	1.0	1	1	1	149.98458462759027	64.95710178681635	415.8613289798594	83.35507817719531	76.22738528745876	80.91535761837413	126.82748438653846	104.16174755887225	74.79206485254348	72.09246145939913	75.18269554753519	75.47866934938031	91.70084963046018	125.36020527018444	120.67120969507012	102.53649468660574	88.20569569185913	79.14524473237152	84.29884798125218	84.8890590546333	137.76273129363898	104.15672414929317	120.16495171505868	125.85204258620428	83.6325003303747	78.17412346417711	87.03060473449725	149.98458462759027	95.40777324289552	76.10606837426477	82.23967772655085	136.71429312556492	95.72160084262813	73.3780254308085	77.47663746005824	99.49587335067272	117.70925011164077	95.37039531466282	66.19003649414107	77.64964395182017	71.27227354924099	70.92992802771941	95.63541742832618	86.55526839439622	85.64027177657768	74.83441256534061	79.52721684708241	83.15751412511104	76.04437127716247	80.56404209653938	64.95710178681635	72.92799809943342	74.27519112365688	66.07152218324958	73.99819683056255	65.72537762565437	91.25316043646013	105.51340498929446	120.64324123307817	90.99635822562476	87.88194492864267	78.93352761168603	65.9365872622731	72.4315524961942	90.91550689011048	103.96792884083256	120.10338601706736	125.68262185385278	76.84692695110874	78.01631777704772	71.49654299018789	76.68743929752438	72.28448526284419	75.95701997683233	74.17298548048313	136.25511544401365	68.83103791144451	72.12647898773129	71.6817754321456	99.46444573723463	100.22318216813962	82.27188846093435	66.03446774421984	77.26344559936213	71.18788984592065	70.63038423432624	95.09708133050923	86.49342961104763	85.61283370993296	74.5660744635338	79.40976456527335
5000	-1183.5823237320399	-25.65060457945407	-876.7870202101749	-281.14469894241097	0.3738014817662238	0.32723066848676907	0.5432083038435945	0.2537394122898528	0.18178022310180517	0.14383557602447672	0.2343314021878497	0.8543127136633071	0.33749168444629424	0.25165902795212025	1.4904006237744412	0.8934736486911009	0.5026688730353841	1	2	1.101648976369869	145.0254103860054	64.64453478088627	439.63637917042104	84.87466924965855	76.22508520464628	80.76595799896623	125.66854952077556	100.27376298481268	75.3531089535572	72.01797573618404	75.60587773959699	73.86081997877221	91.83385302179965	121.25692344293843	122.50925588436611	106.02498122895165	88.56135790007767	79.1916872801601	83.15759324357619	84.96520846207275	134.72170933937554	106.85465442430778	122.06357169217078	127.47213171602303	83.46186474251557	78.21128775725762	87.09697810474813	145.0254103860054	96.54848693593317	76.3378067038374	82.74871331170009	136.74809919872675	97.55349842189166	73.13164698888133	79.35381306287731	99.5387115602136	117.21343656587351	93.32210979302042	66.26098853906906	77.48871533869399	71.69751698211061	71.58341595634406	99.22712074682326	89.00581335728099	85.90698076341415	75.28393049899748	79.5180588675782	82.51299105210441	75.43916550622835	80.35764240200736	66.29577906066433	73.574525500826	72.04663509822878	65.85017280058267	74.23836639441704	64.64453478088627	91.20622972655218	104.31807105561677	118.86145164210238	92.38939471682507	87.92490989209013	78.30741460655888	66.76471983739584	73.72288797191324	90.27821884224288	103.89433238684856	119.41705502472672	120.77317278430469	76.27728817029971	77.81238601450912	72.74315114189281	75.38112611449685	72.21838446259531	75.1290208116444	74.39015856947438	136.21419762884042	71.66932849534177	72.51342381936935	67.86064814531673	99.3699604381273	98.71693772377904	80.69874877106616	65.22836603500144	76.50405472816287	71.18548228272834	70.33525140066772	95.58909783508722	86.08898541001798	84.484793879802	73.5352526332346	79.12304482158407
10000	-1156.458362956209	-27.022495221261345	-851.3344755702766	-278.101392164671	0.28541496063501115	0.3342889181347192	0.5539856815102883	0.34874884769555453	0.1439506184210038	0.17214843109836714	0.3233239231732767	1.0326896270314854	0.3193599325673798	0.3397360767861607	2.3739724127629676	1.6566283281618805	0.7717466122761816	1	2	2.176638257273376	143.02177910284263	64.38056703213961	422.1560040857005	83.31640440460318	76.13790150345056	80.70028023298613	125.68789200863219	97.83106836099736	74.85813834849522	72.15962497974363	75.19503520387204	74.08664813423962	91.78435233800786	123.36295256337625	120.84853637476128	101.77995752643119	88.71039539191737	79.21353606350092	83.0186412222503	83.28899357660487	130.32013298774228	108.71460837486002	123.46033505942019	129.80275378168855	85.78748378786504	78.07184103130422	85.43331712894845	143.02177910284263	96.52927267686066	76.07145660032744	82.69055133170785	138.10758736878546	98.29716521045597	73.20893694970232	80.38535717375099	100.41095914102318	115.30863880217055	93.52868966837765	66.70945381230484	77.9200995164939	71.95852040015876	71.04450253986816	96.89830978533611	86.52373957193609	85.63618556757119	74.73540317810863	80.48841769157586	83.12898319475916	76.03952325174122	80.65355902614584	65.73655647427533	73.34985555294993	74.61334178688999	65.87112550134951	73.80544797848901	64.38056703213961	91.0966382199754	104.03502389571479	120.02607233643609	92.32768050302133	87.45047324489772	78.6336620319455	66.8041861680742	73.93235180759267	91.35685901203504	103.17537209808793	119.31655977429106	122.5633650058436	77.09497658843362	77.96232810279214	71.81742843644867	73.98920625746543	72.3645373051654	76.03462480851468	74.18505645738392	136.0086242419747	71.92262016792588	72.36725747233793	70.02269327504229	97.52507181370672	99.11191124868482	78.49717938291653	66.10493914415605	76.86722089794196	71.10831747915273	69.88231309070498	95.12425768717232	86.44947359921055	85.28140156758202	74.36606776360156	78.50514170438663
15000	-1175.384148409707	-27.71705618012828	-868.0911392341613	-279.5759529954173	0.18610288881666162	0.26460434022015317	0.7502638306069523	0.20345720009467672	0.13882599193477801	0.12720635222084323	0.2302314883411341	0.8499593703187538	0.4995314405234946	0.8003101062106203	2.3547229291033775	1.918452992996872	0.7542964114249677	1	2	0.9932416629899024	146.09961994083187	64.83133022185727	440.15314509004736	84.35700892360353	76.88855623159438	81.67630425587741	125.43127456820662	94.89468226117759	74.95087774617551	72.50232377693384	75.18304906621961	74.38330595409896	91.67859401374227	123.40742054695966	121.78925569581722	104.70760152915564	88.37256391185464	78.96175188704025	83.78051340174967	83.07979048796396	135.39969874712455	105.59091788519032	121.30946453161125	130.42561313253015	85.08214804975664	78.10136811430644	83.63761340725807	146.09961994083187	96.90195915944462	76.1421806895997	82.1607790948502	136.76795026387856	100.6626675056826	73.33622748748854	79.74939345223402	100.09984502421311	115.40611231806214	94.33918120027849	66.15133231432458	77.33983629130681	71.54534930974971	71.31201743728806	95.71776959285273	88.32061904541808	86.0807983587932	74.83309453553355	80.39486152851552	83.00664412633584	75.8639531088925	80.59517243986785	66.12614656354005	74.18125551720325	74.33134001194112	66.08181757019273	74.21481927239205	64.83133022185727	88.9608659772616	101.61520033671476	119.70528683856914	91.67097356866923	87.85194597104257	78.7479383453566	66.77067476269937	73.95234453412564	91.06071026142533	102.4630670565954	118.41971923082117	124.39219932375359	74.19521839917267	77.5110089029061	71.95987089295367	76.6478696464009	70.66018596157528	75.97895928096187	74.06602245537812	132.9666032165959	71.67688696835404	72.05339023098395	67.79811469263628	96.79218773641651	99.10486415568137	79.06731171128779	66.01094671965875	77.24414701602531	70.93933557605682	70.45399787894831	94.96178529788756	85.6686923805193	85.42626730111405	73.71564896632557	79.05742715914968
20000	-1168.2819705641052	-27.461635113554898	-862.1400533798503	-278.68028207070006	0.18648824345503373	0.40399458334539873	0.8703908423269263	0.5896931794497845	0.13616665064962868	0.09339657143254687	0.11757888944244707	0.9233932226447951	0.6444932404271158	0.6179138337197165	2.098362171765406	1.8472189565075368	0.9744345184951001	1	2	1.3738494452609462	145.38859171896326	65.36097782837658	446.9729716798282	84.4595450528994	76.29300880638506	80.9915675149376	125.9597538336524	94.6931248063133	75.66845406895882	72.3556548467047	75.25226437972022	74.2799215932979	92.00128861340166	121.17211203261557	121.84337830323746	106.43222428054904	91.09288442332304	79.00449815783145	83.78286971114757	85.98068351605595	134.06996782002489	104.23663868189159	125.7268927907942	125.79158336611648	85.53240577045204	78.05429741207902	86.91366163336029	145.38859171896326	96.84760326908989	76.06444698293211	83.75653353384716	137.16663496573568	100.607422763638	73.8813754615697	77.90944950452304	103.00585571572913	118.80159945662196	93.07296103982809	66.49332673544193	77.49393758942728	71.34969066165186	71.27475924148428	95.79256571292412	87.02225925388585	85.90923633002564	74.92838162647125	79.58451083828352	83.13441370101759	76.1117183267642	80.39584654878512	66.15086084985833	73.55181456318341	74.6075524764547	65.88631772240532	72.70155034276289	65.36097782837658	91.42932763541263	105.0171554004354	119.15629346580229	92.15431674386971	87.08638021628852	78.10847448185174	66.99204632856924	71.88608020711563	90.07434986746584	99.10405405136089	119.88702694212573	125.72651124312254	77.51648169865649	78.04055622263867	70.9703621997547	75.33342776503935	72.46229501877961	76.04983836950751	74.70249138510552	133.22292747299116	71.67850418206388	72.11411867805474	73.00735161891099	98.91887541543221	95.79426562138099	76.79981833979888	65.56200771120065	77.09181851059098	71.2076386347368	70.54662805480704	90.28577185899162	86.51783509039609	85.587567980913	74.10310285303174	78.93009851218422
25000	-1159.1500395848473	-28.719162236737763	-854.9069428980838	-275.52393445002576	0.08361629380846755	0.5158566505322518	0.8657111528880431	1.0496930879535178	0.1516268630774809	0.11200282671082891	0.15743512044305735	1.278442414236553	0.44154743604731	0.5626808606635192	2.4893052312771813	2.0523982222462966	0.8149042103000891	1	2	0.883901530127397	144.02449770433208	65.60152250146876	426.4381394375027	84.39338151451206	76.18618108181357	80.8496688360695	125.34942472191936	95.5518897101497	74.7949645271691	72.29210900610477	75.36732661516815	74.29581432046832	92.08167550524568	120.3716519722822	121.97738187774677	109.48479420952498	88.01698922726966	79.09455641118404	84.96263008620573	85.21453968323645	130.97296966528515	104.11449552100991	120.4588935691728	125.84995129520166	84.24237779703965	78.23520884623376	93.40519792504946	144.02449770433208	95.10088462457217	77.42484075020583	83.25767087523704	136.94611204274668	98.16808166703068	73.81495999785174	78.02011184270154	103.5523401355561	117.76168508481301	93.57682754990921	66.25338170574449	78.65633533500886	72.09465465880592	71.2095920746244	95.82891459352777	86.52788625458558	85.70396716484893	75.04813998002805	79.42405474458111	82.99701404319948	75.80160969249036	80.20086370017472	66.35569434516528	76.956794616198	74.6226333618462	65.87282580987369	73.77735331197776	65.60152250146876	91.4366793133419	108.02115659169509	120.52838689816599	92.42912684199739	87.18358130608459	78.92352835715128	66.99563811414401	73.87499327632561	87.11531836937569	101.62936963350221	117.94392238899643	125.5007886969474	77.58894582733454	77.73338150474848	71.62720406235843	76.25472750042282	72.14071560816282	75.6063225951232	74.95240279532712	131.7050103913634	71.92811355922056	70.39478892342495	72.83196685692458	98.93710872187083	97.94847767514574	75.17859226199886	65.7581289974261	76.48576232545831	71.15829906298758	70.79757088606658	95.41703387075505	86.00140332742379	85.4104611947433	74.5477853266452	79.34786882921682
30000	-1152.917883036907	-27.33573530573437	-849.2940709530262	-276.28807677814643	0.22211105133182274	0.459864000217345	0.6473492535273168	0.5597011513234444	0.20852732368619192	0.11745034590240042	0.09848479810035081	0.8781198248010956	0.5563670837370813	0.5795024208224557	2.4840646305162974	1.608487532485714	0.7328964060107868	1	2	2.142779018482629	142.08659035700808	65.72450180131592	432.6839049191458	83.1959741921902	76.14155079296287	80.98368581609188	125.85247176932532	94.55915901030787	74.67830987416347	72.0973987073102	76.06801195522561	74.46341392844793	91.69097690420085	121.94512295356867	125.99388333948558	101.57780662657078	89.8847731492076	79.34714966125678	83.4705216177742	83.44257834455242	128.2509320846733	104.51265773723291	120.15283208304243	129.10110315006585	84.98751508709907	78.14279926748695	90.5930275167853	142.08659035700808	99.34169561425921	76.06774890077632	82.19755515287885	137.59225499552045	97.80004593857788	73.59217986192361	83.5000169366289	102.69937374036967	116.63760388953088	97.84453671807519	66.37046139186974	77.37089083965749	71.76069248877937	71.8190803566493	96.72485964898857	87.57792096704718	85.91874243492435	74.72153847865161	79.55390133917814	82.86942266095332	76.12672702217857	80.6070234491537	66.26313735902906	77.44592158580203	74.54710153284293	66.12438064872889	73.67648209587712	65.72450180131592	91.6362382499556	106.14354131710027	119.91569214214913	89.12974905232316	85.67888667905514	78.06392268800064	65.94699232518157	73.7370886371397	90.58777411853454	103.4052122126365	120.1185302668552	123.71906162221343	77.33391375071906	77.97337485045895	70.81602713792961	76.26404560504831	71.35775624739969	76.00320204572407	73.5100671936237	135.81656108885517	69.7853376939729	72.28130993965632	71.8449207736932	99.021661733385	100.14747069899583	74.36372485289382	66.06148281053792	77.06047017503344	70.7994667045599	70.5091570238225	93.92679659988018	84.51113066130254	84.88169231449811	74.5807443198448	79.30973901231556
35000	-1152.1275601596215	-27.223039163138182	-845.0579743140026	-279.8465466824807	0.4724867208475112	0.3783634054879182	0.27439236892317875	0.45822899350760254	0.08377862700587342	0.13379238501438423	0.19467754476422924	1.16768957068251	0.370896709307557	0.2944408808099799	2.3850003582701866	1.439582308109898	0.7002372896856575	1	2	1.9085577336301727	143.7258502312014	65.7681183136292	436.71727298946684	83.25027567255408	76.42449018062956	80.99351576615891	129.6656189098314	95.18775413700536	75.2295738699902	72.29651380897893	75.16146649459426	74.11745451661402	91.74190668728794	122.3960764300123	123.89359684685647	102.83319579377373	89.98977586802667	78.93951300808493	83.26162661616524	83.08137036316957	128.05842727490116	105.0286598548149	121.48384787965793	125.84767845795045	88.37784590643484	78.11918804517225	88.78204243341816	143.7258502312014	99.81883597623909	76.1752591338304	82.75053086448561	136.69432301143888	95.32746334722637	73.07505735402373	82.26723173012586	100.36177572622434	115.80909270102876	98.15986958505768	66.17680232108798	77.36928241375868	71.3525723771912	70.92349052165989	96.78692204158975	86.7090796822701	86.09587553285273	75.40206468208511	79.48818299284574	83.13905064899895	75.96734303474256	80.51567292126413	66.16600693559248	77.27272574035248	74.62289328796128	65.7681183136292	69.50142992067899	66.00125584652388	91.4265034026477	107.11565126122882	115.55599450063447	92.02713008625763	84.72194493527635	78.93383196576329	66.35764437576955	71.9019559135396	89.72160216272185	103.95849371422463	119.69179291963589	124.95111927293235	77.35552344455836	78.0318044352142	69.07918679305115	75.95544729013908	70.01440401729802	75.62143904088626	74.5834297333331	135.7416009480988	70.05684610712183	72.51592834106725	71.08419558525205	96.68024266963172	99.61280472373414	76.13063357780935	66.06265242558308	77.22467899144638	70.47702818772017	70.91748292424202	94.8814083340634	85.79467786564459	85.53659011976374	73.84648003742748	79.39105730537749
40000	-1169.2009997648925	-32.88733341847365	-859.3954076591754	-276.91825868724345	0.7604647280447622	0.13670767826602834	0.31634659392401887	0.33537909943763416	0.07707357132390745	0.2677774629622714	0.0936234277093047	1.1499071171353799	0.5435452451392285	0.34746039813314006	2.4904399057058892	1.7198863399775404	0.9787876686633298	1	3	2.3345265100872252	141.93236688143946	65.29475597714571	435.10176236708173	83.40965540544221	76.85418698356764	81.02766621693178	129.399451459194	96.24958894489609	74.75518600686908	72.05849248706895	75.16806231169971	73.88309112729523	92.24955362099298	124.80175748918523	124.98083495608157	101.81622826700556	88.25619446885855	79.08326553681094	83.40269946215564	83.76750873452582	131.22260127847682	104.35287679219249	120.81457780880463	127.24156934981617	87.65683849052046	78.33715556662214	88.59748699487848	141.93236688143946	99.46781673980429	76.11613527912866	82.35931918285632	138.50323236058355	94.06844050764474	75.35843098562098	80.52040242839888	99.98218521565073	115.14738856012762	97.7504873746281	66.13790230215356	77.5429519197819	71.28727794312039	71.50336191090405	96.06774142822876	86.7366270035487	86.11811571469858	74.70849597553102	79.83762364540604	83.1734914679869	75.84106166581492	80.24615492662869	66.29302215272645	74.72437148470169	73.9296119400191	66.12339610737995	73.69690112832869	65.29475597714571	91.44206060830652	106.13070366315169	115.20219417217307	88.8705785344903	87.78433267693805	78.19776764396457	67.58432977156872	73.60781984929315	89.82574126263835	103.51488208943861	118.93037608682674	123.52327645324249	77.43086709522142	78.02520591401925	67.78020109574075	76.8036595114692	71.86815491330584	75.84741748337045	74.81233240867832	136.20782636544936	68.16469605782832	72.43131822689848	71.91428926346256	99.15136084544808	100.75142206751113	77.92467927700206	65.56785914533312	76.7489705552045	71.18292096583342	70.46684889785155	94.85377133580748	85.13306472020723	85.14269648795648	74.61396426363042	78.670714192073
45000	-1134.0965202111286	-29.862109445649338	-830.472082775992	-273.7623279894872	1.1264514417669496	0.25832266366148054	0.4133201191705318	0.19828798341332102	0.13244012444613287	0.3063666798947578	0.08906030516900343	1.3707424414034264	0.4407114983803424	0.6205564787327559	3.0409853167607843	2.4055367556014366	1.111491791937817	1	2	0.6146697354382343	144.29023100203193	65.78807978004946	411.26621269654305	83.76168781463865	77.24287194566232	80.70514884105306	127.98787797881891	96.69483455761035	74.68582441903754	72.30670583390818	75.28453250162887	74.01356513533594	92.03355108915329	122.34349353106394	122.08715661920571	104.82458255084697	90.1003826786118	79.04261063516822	84.09940182104239	86.23687183597632	133.16595454357	104.14287759542314	120.34341002776469	126.87566520892817	86.15111048970607	78.06082402204842	89.27169593214713	144.29023100203193	99.89331402087768	76.05601651260555	82.93172569271883	136.953969623847	93.71006280853192	73.50111633746151	77.94149076598633	100.78690061781352	114.41038085395303	93.74978477578672	66.1126464137318	77.40144836559028	71.91362236932743	71.23688390073173	95.59824276017535	86.87647928087532	86.01264943901968	74.78663078361988	79.76097394320605	83.10392252980019	76.0834182212271	80.65680382752416	66.15338599470658	77.26544210111744	74.45118687176956	65.78807978004946	74.24760499199346	65.84005987959651	90.89748868770972	108.80755306391045	115.85793939360941	90.90717770068945	86.26662625395527	78.78531541542822	66.45368133363117	72.86841732142354	90.81749228955621	104.00795053646524	119.57066804526478	123.65840145556707	75.6521141044964	78.04128950164858	70.5654642940112	76.0582607443806	72.41943394745535	76.04859632382654	73.84203488715026	134.4329124283028	72.27100332581522	72.52873713761423	70.9339742031208	98.92711308043478	100.77567608269739	83.06549741963619	66.08157010612494	77.17380911000997	71.00595267707934	70.79175506981692	95.55907819126965	86.3394966209495	85.39818853583412	74.40844349228384	79.3119782007449
50000	-1142.2782077316083	-28.97997103144262	-838.7220499956876	-274.5761867044781	2.040692619789191	0.284623902779075	0.26772909332526146	0.116765539029398	0.11283109954563007	0.1767180155108797	0.11950364363615824	1.6837581174826182	0.23255188631902926	0.7571677701735855	2.442586855922085	1.4440903799197697	0.9721818970382864	1	2	1.6854188387924807	145.01833583172132	65.38960884163198	420.76814434225287	83.22281295506717	76.8431315040193	80.75677325674691	125.7700643417845	95.26799187001284	74.63384900731296	72.03291012466745	75.38449098311396	74.32567428921068	91.8576502898073	120.68712990366224	121.7512283016403	102.967657718859	88.05436914886614	78.95297494928548	83.32384115537594	88.44285758429072	132.33061828330125	104.47945661366789	120.66522105389004	129.90663266052863	85.23702452903916	78.37463432701166	86.78581958633555	145.01833583172132	100.75562038687124	76.18977771349192	82.31455807276468	138.11394281236	95.47074881440494	73.1107058561976	78.36098355132299	100.35283645802348	115.17082034705962	93.57356718241115	66.48408521282653	77.31534774606271	71.46577099956411	70.92816850691207	96.4421783250969	86.54235668360364	86.05523093929037	74.82228315729303	79.90239105597112	83.07797457594492	75.91633311355243	80.61815846543037	66.063631179758	75.72648444636354	74.360776962185	66.12658585135931	73.18299207921629	65.80130015378326	91.5517051446491	106.50720425785764	118.19859727874487	92.43366762799725	87.3906465989919	78.4348455942322	65.38960884163198	73.76798751295638	91.23666311366729	103.23727516617134	119.54297800452527	122.01606746485427	77.43074522759451	77.96103566340163	72.24476923413451	76.43999044248021	72.27786721006261	75.99692535489241	73.88591097168596	135.83503963443144	71.5936024016546	72.30864405861102	67.7564553298135	95.77768046277949	94.00093532615001	81.25891443092783	66.1098306185492	77.24180601121107	71.23991517296605	70.90997366298781	94.1768303757233	86.38983697354827	85.48344071941175	73.59294841815607	79.18179861344778
55000	-1155.9589016279779	-28.759556402043405	-844.903670419686	-282.29567480624837	2.2318249169974806	0.5333869386472057	0.2502788028490448	0.10598658232206203	0.17152211228920802	0.16867692502644244	0.07869124881291027	1.1273327466918177	0.5289994585758075	0.5437592451991567	2.3539109727187237	1.5143199602456934	0.5510486296218263	1	2	2.2664565834621215	142.61260227866111	65.8709274851825	430.97619604410437	84.10828816405005	76.13935554911792	80.74156880289623	126.27504742265273	96.18996822925784	74.6474169001697	72.37773115805562	76.10880807284684	73.88742706068754	92.03558230563472	120.82511365744665	120.69659516660361	103.1211309660858	88.02966205550406	79.261530159749	83.12134859266408	84.38145222700085	134.2044783997747	105.84121031355274	122.73396013815614	128.0465822207007	87.2712208250305	78.1721694327272	83.76179375266508	142.61260227866111	101.0586993043558	76.630209553314	83.48436124788434	138.2249901715308	97.16509168954948	73.71107869690246	78.76627601076675	100.35464570613526	119.23332045868241	97.87622472100541	66.38409390371983	77.35321049266435	71.33091250470149	71.69641727053347	96.28134318761583	86.53883835136827	86.3521166297518	74.78318995939931	79.46162043595189	82.4882122085835	76.11750363465599	80.25474404752407	66.26076144357847	77.51561822256414	74.62101813380386	66.14677350175674	74.0629281138196	65.8709274851825	91.47187840760846	106.86132768884696	120.01711545744047	90.44744853844945	87.85252820052457	78.8635163126702	67.49893569530448	73.24602249441696	90.79762954546473	102.43240580248107	119.80381206460042	120.76937283628577	77.55210337709211	77.94369627252874	70.74924155652435	75.76316904809929	72.23255297895925	75.91969535613126	75.0232470190214	134.6735124740643	68.18319737146471	72.1397381883784	67.08174206513306	98.94476520329617	94.73393683443085	83.3847947667328	65.892951153533	77.240280853334	69.13557998818715	70.84657517597988	95.25173610232743	85.34145390511704	85.15475795618215	74.3032751455808	79.41000547575942
60000	-1177.5797474756032	-27.803735006386997	-863.8155421002152	-285.9604703690011	1.727670939918878	0.3045661681157734	0.15304689383095757	0.19539939534978526	0.12003677114891127	0.3565581619406406	0.12044384039895346	1.0062825026725641	0.41935763316706876	0.5098845922638787	2.131678801285566	1.7823451873883545	0.8013601335365798	1	2	1.4025454444247398	144.0400632821997	65.1991094859057	449.65605381806813	84.3857105733133	76.30832070964078	80.99846111430331	128.14475228158486	94.99083042097975	75.20380963031805	72.01965254778943	77.89174643891756	74.6466850945145	91.77570977629182	121.94030037742068	122.22165826571805	102.23392127621014	90.19455074826452	78.99309748392773	85.10070472144375	86.11678473859105	132.23663782137194	105.2874382832904	120.63474591854595	127.26862757352143	87.60394166909569	78.46799192550938	89.89150008041672	144.0400632821997	100.32046360113782	76.6345081362232	85.69173404592078	138.84449091367628	95.1265214373072	73.26155197325032	79.5691145001935	100.36046633892082	121.0057550771466	96.23606379835593	66.11236238344496	77.33545189031811	71.53054552985914	70.96641018332205	98.47912240575901	88.08818021616926	85.83190778161335	74.7743014249454	79.84535366888767	83.13365834186293	75.92150595789029	80.1618358595123	66.15162804221245	76.7292001446738	74.29670592562859	65.8597621049267	73.95072539612411	66.00819336125555	91.57868162660948	109.70151164815898	120.48493504474625	88.02961294774934	87.69464301312863	78.93284939272152	65.46663868114905	73.04378949551322	90.42767281189788	103.77998504310578	119.8486330000707	125.12953644232006	75.22037507424807	78.04121895164246	72.02687815001666	72.05335983448211	72.39263307214999	75.8538727790795	74.74504604127767	135.02614662917455	70.2160206790265	72.34213424155408	68.6590594815535	99.46750434851701	93.94028660221868	82.97811806018485	65.1991094859057	76.95627452652992	70.82060697277942	70.32881262178277	93.8064325612494	83.5645578381624	85.33331314991342	74.28859035218872	79.3638385066688
65000	-1145.6703020879836	-29.007790675302097	-840.3670121832914	-276.29549922939	1.4889031190503377	0.5006419384048538	0.2444822722259859	0.1590661621139513	0.16999671715553766	0.2436222427408739	0.06870083249283863	1.1495311852443464	0.4052191544796971	0.5942474516039411	2.67257203446929	1.671421923700333	1.1879742393073296	1	2	0.6460795193964497	142.84037555433156	65.56746306629009	434.2662200754739	83.34592806812563	76.3103654556814	80.76448414745772	125.53408266970347	94.59320367679386	74.63361009634032	72.01336846996001	75.28747869317154	73.80111222190538	91.69175907269731	121.06896142550649	120.66947922305775	102.23573672233633	89.06255217265068	78.99093260235651	85.30129104424391	86.51708263560165	133.64864875719252	104.89778776180079	120.39309173689341	126.31605703965549	88.14929507754599	78.12611311837179	91.37796936641631	142.84037555433156	97.93273453773185	76.0551859777124	85.52638468317075	137.3483533701796	93.73810181837075	74.76486401489592	77.4136612016722	100.16607522793271	121.94655749426059	99.00867141215801	66.1291925935516	77.5741656289908	71.82860809660089	71.58702218862015	95.65225219692225	87.98944206574849	87.32398084928164	74.74588423569026	79.62406921165618	83.15335385001124	76.11038279500941	80.65356372021044	66.19839936775676	76.23964374039797	74.55329266410018	65.56746306629009	73.8683728330355	65.85397341070578	91.61670636742312	108.03579160495198	120.15144986663795	89.19669121421734	86.51981490151462	77.97660184263208	67.55654562353973	73.3677226762199	89.16296794198803	103.69956046258997	117.29283592954984	125.53757407699062	76.67332749261668	77.87422426843102	70.28496062669588	76.22397500743422	71.36075989912823	76.04173968480816	74.66288801811581	135.26101024568632	70.7328494041052	72.38943126994893	68.92415191821684	97.07715600885999	93.69561490491407	82.46752452587172	66.07771918265668	76.67644740291901	70.61356903567454	70.69733556613663	95.54796974493209	85.20323090647629	85.1705080904568	74.31354367456032	79.3771087050529
