Species	Status
Ahshislepelta_minor	extinct
Akainacephalus_johnsoni	extinct
Aletopelta_coombsi	extinct
Ankylosauridae	extinct
Ankylosaurinae	extinct
Ankylosaurus	extinct
Ankylosaurus_magniventris	extinct
Anodontosaurus_inceptus	extinct
Anodontosaurus_lambei	extinct
Bissektipelta_archibaldi	extinct
Cedarpelta_bilbeyhallorum	extinct
Chuanqilong_chaoyangensis	extinct
Crichtonpelta_benxiensis	extinct
Datai_yingliangis	extinct
Dyoplosaurus_acutosquameus	extinct
Euoplocephalus	extinct
Euoplocephalus_tutus	extinct
Gobisaurus_domoculus	extinct
Jinyunpelta_sinensis	extinct
Liaoningosaurus_paradoxus	extinct
Minmi_paravertebrata	extinct
Nodocephalosaurus_kirtlandensis	extinct
Oohkotokia	extinct
Oohkotokia_horneri	extinct
Pinacosaurus	extinct
Pinacosaurus_grangeri	extinct
Pinacosaurus_mephistocephalus	extinct
Platypelta_coombsi	extinct
Polacanthinae	extinct
Saichania_chulsanensis	extinct
Scolosaurus_cutleri	extinct
Scolosaurus_thronus	extinct
Shamosaurinae	extinct
Shamosaurus_scutatus	extinct
Talarurus_plicatospineus	extinct
Tarchia	extinct
Tarchia_kielanae	extinct
Tarchia_teresae	extinct
Tarchia_tumanovae	extinct
Tsagantegia	extinct
Tsagantegia_longicranialis	extinct
Zaraapelta_nomadis	extinct
Ziapelta_sanjuanensis	extinct
Zuul_crurivastator	extinct
