it	posterior	prior	PP_lik	BD_lik	q_0	q_1	q_2	q_3	q_4	q_5	q_6	q_7	q_8	q_9	q_10	q_11	alpha	k_birth	k_death	RJ_hp	root_age	death_age	tot_length	Ahshislepelta_minor_TS	Akainacephalus_johnsoni_TS	Aletopelta_coombsi_TS	Ankylosauridae_TS	Ankylosaurinae_TS	Ankylosaurus_TS	Ankylosaurus_magniventris_TS	Anodontosaurus_inceptus_TS	Anodontosaurus_lambei_TS	Bissektipelta_archibaldi_TS	Cedarpelta_bilbeyhallorum_TS	Chuanqilong_chaoyangensis_TS	Crichtonpelta_benxiensis_TS	Datai_yingliangis_TS	Dyoplosaurus_acutosquameus_TS	Euoplocephalus_TS	Euoplocephalus_tutus_TS	Gobisaurus_domoculus_TS	Jinyunpelta_sinensis_TS	Liaoningosaurus_paradoxus_TS	Minmi_paravertebrata_TS	Nodocephalosaurus_kirtlandensis_TS	Oohkotokia_TS	Oohkotokia_horneri_TS	Pinacosaurus_TS	Pinacosaurus_grangeri_TS	Pinacosaurus_mephistocephalus_TS	Platypelta_coombsi_TS	Polacanthinae_TS	Saichania_chulsanensis_TS	Scolosaurus_cutleri_TS	Scolosaurus_thronus_TS	Shamosaurinae_TS	Shamosaurus_scutatus_TS	Talarurus_plicatospineus_TS	Tarchia_TS	Tarchia_kielanae_TS	Tarchia_teresae_TS	Tarchia_tumanovae_TS	Tsagantegia_TS	Tsagantegia_longicranialis_TS	Zaraapelta_nomadis_TS	Ziapelta_sanjuanensis_TS	Zuul_crurivastator_TS	Ahshislepelta_minor_TE	Akainacephalus_johnsoni_TE	Aletopelta_coombsi_TE	Ankylosauridae_TE	Ankylosaurinae_TE	Ankylosaurus_TE	Ankylosaurus_magniventris_TE	Anodontosaurus_inceptus_TE	Anodontosaurus_lambei_TE	Bissektipelta_archibaldi_TE	Cedarpelta_bilbeyhallorum_TE	Chuanqilong_chaoyangensis_TE	Crichtonpelta_benxiensis_TE	Datai_yingliangis_TE	Dyoplosaurus_acutosquameus_TE	Euoplocephalus_TE	Euoplocephalus_tutus_TE	Gobisaurus_domoculus_TE	Jinyunpelta_sinensis_TE	Liaoningosaurus_paradoxus_TE	Minmi_paravertebrata_TE	Nodocephalosaurus_kirtlandensis_TE	Oohkotokia_TE	Oohkotokia_horneri_TE	Pinacosaurus_TE	Pinacosaurus_grangeri_TE	Pinacosaurus_mephistocephalus_TE	Platypelta_coombsi_TE	Polacanthinae_TE	Saichania_chulsanensis_TE	Scolosaurus_cutleri_TE	Scolosaurus_thronus_TE	Shamosaurinae_TE	Shamosaurus_scutatus_TE	Talarurus_plicatospineus_TE	Tarchia_TE	Tarchia_kielanae_TE	Tarchia_teresae_TE	Tarchia_tumanovae_TE	Tsagantegia_TE	Tsagantegia_longicranialis_TE	Zaraapelta_nomadis_TE	Ziapelta_sanjuanensis_TE	Zuul_crurivastator_TE
0	-1220.6234637006257	-21.204422259075564	-909.9952962298711	-289.42374521167915	0.9636545945094946	0.9636545945094946	0.9636545945094946	0.9636545945094946	0.9636545945094946	0.9636545945094946	0.9636545945094946	0.9636545945094946	0.9636545945094946	0.9636545945094946	0.9636545945094946	0.9636545945094946	1.0	1	1	1	153.43454377690466	62.57024563394974	412.9483614400963	83.30268667478387	76.46089240222682	80.78067715638795	125.77301698334786	93.35210734652735	74.74468793843404	72.35422554913609	75.6129041671526	74.22795400093989	91.83940976245663	122.85066888149314	120.6626396636893	104.23602446443705	88.05292151562635	79.01764518176633	83.63102366029257	84.28094338657169	118.31605257967412	104.07879565708863	120.29280281968343	125.79050836139822	85.34705457472414	78.24283916038988	83.80201053404588	153.43454377690466	98.50535750757626	76.47487867295703	83.88884496786227	136.88680058485562	109.62369222109574	73.85548515441307	78.70838125316824	99.56224437467081	120.47951562686596	93.39740092111263	66.29322197301224	77.3489138104854	71.37141492552668	70.99970820387034	95.62679262697529	86.7068838179352	85.62840547053406	74.61618396609904	79.70149307160023	83.17609987595509	76.04303217027235	80.45477745849507	66.0157791534741	76.16733069444184	74.50083316533038	66.0798355277283	74.05912422938077	62.57024563394974	91.18405229523138	106.62886390865454	120.60592260933547	89.2977200783346	87.82502533456788	78.72656373098654	66.62600748699604	73.29026025558306	89.86771752726744	103.95529280522989	120.12934524812155	125.52047477930492	77.46111410550607	77.90076176535999	72.32396200068088	67.31159290165236	72.43676090712803	75.88631923154712	74.04185605638263	135.98727237668453	72.1426622644022	72.03349065871569	70.38444095219701	99.06829872131485	99.45286296194766	81.42991038040762	66.0943802871331	77.15738195092447	71.2112882061946	70.88413014723467	95.5555590995514	86.24682244752381	85.53324815818806	74.52417444644308	79.41969991393754
5000	-1192.2562036785146	-28.534826061269722	-885.6023428002799	-278.1190348169649	0.5257668025207203	1.8284257938982225	0.5141952434200991	1.7100411893842076	0.34419270646085376	0.5783545151385553	0.5132464710967324	1.0598308453943024	1.0263568695756815	0.808356020441637	2.8417143498393616	1.4315219926723546	1.014297067819833	1	2	1.367843156918996	150.65054342904776	64.79276020976317	425.6290408808864	83.23689304205286	76.92082437458481	80.89093308230095	125.43182540081366	94.50668102606679	75.23825008683171	72.04674807272391	79.75649709803237	74.17940469852019	92.38385972029708	122.0246989576342	120.71449215996807	103.48738501770309	88.51427616156673	79.13433840902628	83.01166431977775	84.70400542372322	116.2306123453452	104.05173021405058	122.15919773896483	126.10334048093632	84.68051260423192	78.22714739117487	84.50007646599313	150.65054342904776	97.59612726526287	76.08266226892219	84.2876300650894	137.38837992159452	103.7319816189331	75.2901590452458	78.48821234437362	100.5159980513613	115.8118995372115	94.04230211509439	66.14940122106023	79.07260420637039	71.44718125365667	71.0860871571689	95.870943824167	86.53931042131754	85.65906209387948	74.64334798643385	79.47644024878078	82.50442818188561	75.48530178021772	80.53115512567994	65.98326348714518	76.2759407726693	74.55121290603594	65.94317167027296	73.80708873475136	65.92210574803349	91.05799951713169	106.48085660196307	119.18543759741465	88.99942989864886	87.12052548863403	78.93253704174172	67.53083186147751	71.0659992027378	88.61094086745175	102.76100831721953	116.65982413526521	125.32839940146475	75.26894504592653	76.97491032229986	72.16167897498528	64.79276020976317	71.15732310941948	76.02900476084896	74.75732234644302	135.28210151945223	71.78539455812546	72.45240133371213	71.2555685808432	99.37588940475197	98.67125236627955	84.06714958317734	66.00678500185195	75.46860921072768	69.82525464381735	70.34139671733	95.45330167134063	86.20294622210176	84.44807769813178	74.5939594678143	79.22713639941963
10000	-1169.9290979872994	-30.138777936634778	-859.9448544459913	-279.84546560467334	1.0386634511666801	3.5622661008464296	0.6032675020959719	0.7646697405551217	0.23334815175978166	0.2974801440210229	0.2653765236967063	1.2328125833066832	0.8546501576878018	1.0450549885506093	2.4594898915035275	2.0866554593331252	0.8943619471377409	1	2	1.207621599020684	147.72257949864826	64.86838184428387	414.72116696907165	83.3536217404374	76.56128263830004	80.70095925397774	126.1112634423823	94.80533257678455	74.82038979759719	73.15362548487192	79.54397725054191	74.21888659145861	93.09142231086955	120.40805611853771	121.4759711296184	103.32105719460088	88.16472886059853	79.24259188588569	83.20010815086576	83.18321580845719	115.45153183753568	105.83985647163804	121.94536375209145	125.75221025808025	84.23520583963179	78.10652826638814	83.95841304176241	147.72257949864826	96.14197323905069	76.12209970284493	82.92959072345226	137.2712603756242	103.23868158543416	73.42433717446922	78.15583645590026	100.32406015656873	114.53405834999795	95.44335266341324	66.78579742260185	77.31225232059504	71.29176570463551	71.77546687676242	95.6907632581336	86.89835916277787	86.00064473346997	74.99218376030669	79.47199898356189	82.46703478411924	76.04121448022084	80.60519391582005	66.34311879248581	76.20294679669003	74.58872871838197	65.89678198244683	74.04923877774438	65.50312570602985	89.1579120592751	108.24181595968066	120.22295072959784	91.49434960539003	87.3826854649515	78.70197760881733	66.42767711120068	71.89010312309442	84.22992171338099	103.18358220302456	114.095654843984	124.94218392145338	77.4495112917254	77.98822775089072	72.34262170226009	64.86838184428387	72.30265279743452	76.02115268757089	74.69655119720431	136.049119669204	71.67405073951615	72.31665226478907	72.57787221840448	94.8759751378566	100.46964487269406	82.90895468218632	65.84245602179269	76.94294631981236	71.19351086094541	70.45734575752232	93.93550345720139	85.98174111094696	85.52649786994667	74.34019065896766	79.02173567114481
15000	-1173.073203021506	-29.886323720291756	-872.5876729183002	-270.5992063829141	1.6564738682188151	2.5109610674546174	0.5122849707035938	0.5963843205316164	0.08283230977308158	0.3104088551965125	0.19844120102823776	1.4159649091276418	0.6287018073602055	0.70895152028302	2.2757843466029115	1.1127722760360481	0.9834117041746736	1	2	0.58171228171485	144.18903028011252	64.57406882852656	399.60576262746736	83.66648315034787	76.20300656966081	80.68411113328631	125.39813049979044	93.84753292883163	75.515825686699	72.05826933650991	78.74480842932279	74.37264727751389	92.1927665137744	121.4998412239912	122.27068098096497	104.29754794032145	88.48334398860945	79.5320576675141	83.6036579757012	83.48090972378891	113.18294709008966	105.18031405865871	122.89255198961727	125.957061494118	85.2489915736574	78.0937731535025	86.41251992381584	144.18903028011252	97.0157226156352	76.10662572775648	82.53443533921345	139.455736491717	105.94385813592811	73.11943810375206	78.23741368479367	100.74830639529333	114.52024538791476	93.34391988729739	66.29737526936073	77.53896022870771	71.93940141818554	71.00665025252314	96.27638220728575	86.67755826915538	85.77378107325555	76.0339139479612	79.72606654443143	83.02065485595098	74.50016636958861	80.67434546061656	65.57444361719855	77.46295265776665	74.56837311939839	65.70218511161318	73.27626050055508	64.57406882852656	89.77961101338748	109.18213342071374	119.35555470820513	90.4442135616848	87.84351153488343	76.87138313949188	67.5254821011624	73.51157861061674	87.53374538601585	103.84931433332127	119.7441889908073	124.90591632053213	77.50526813076962	77.30405037410712	72.03844427519607	75.95888137097614	72.26085153598115	74.84185138851514	74.20860331401077	135.49069411866654	71.05059119168008	72.36721581283231	72.56569293190545	96.99457527976318	99.88944198873176	84.04888023148611	66.03234894659549	76.78764548818967	70.50049510322864	70.62843664558571	95.21969544476592	85.608735989659	85.40293695540792	73.90820796103233	79.1852108217779
20000	-1149.943800892042	-36.54326373628069	-850.5349946761303	-262.8655424796309	1.9119137640907415	1.4745059544114445	0.4039891665739982	0.6093160967696687	0.13265533297153473	0.21874209988349033	0.1441353342405001	1.3585363313053498	0.9652079181337074	0.6618657171774339	1.9852421189205776	2.259515583898481	0.8862168371244524	1	3	1.0038616456886464	142.5448247749042	65.63265892073174	392.5462716005727	84.74317419563563	76.31391253166865	81.11416887536049	125.48703650752591	95.3289557751324	75.26488362578833	72.07940906489935	75.81587726935706	74.55326023607438	91.95703014779075	123.5787570372419	126.62617623898403	101.79212874187951	88.01596040444039	79.05623994140696	83.37395649128548	83.32800880902833	109.24628553748062	104.03089203668904	120.88984282136785	126.16471694757011	85.28885789534277	78.18561964352332	88.0127046681498	142.5448247749042	98.51318201926708	76.05870457338163	82.36258906349423	137.20645594426543	103.24235956428409	73.40004617033924	77.36753234737061	99.47766771952392	114.69968740450904	93.430085729874	66.1474146637893	77.50885949704735	71.40386566549147	71.38034716249271	104.46496472683401	87.66640133212255	85.84389657905521	74.75885453953087	79.59817285405646	81.30244335171685	76.0882986933322	80.64491381040673	66.01018027549529	77.33747594880523	74.0830135779156	65.63265892073174	73.53923213794151	65.82655644045144	90.97124121434219	109.43035844652637	120.57532715896049	91.62859751096396	87.09951154342427	78.23848522443934	67.39714544471127	73.8148370820141	82.82305322084464	103.91142552834519	119.41107602713859	124.07199222422959	76.61609532414528	77.7457008040299	71.86278256339878	75.90069513708539	72.16636029381635	75.75141637090721	74.3423982025906	135.81845581612149	72.31021913772902	72.43675161346667	71.78906559092664	99.45987856758808	100.29087446767885	84.16854453512144	65.9699466455842	77.25278533421351	70.7333493036847	70.91235307636772	95.22740807691804	86.13253873377967	84.81291954510448	74.4114547153614	78.82767853632777
25000	-1173.26570758204	-34.85462549634455	-860.3160333064382	-278.09504877925724	2.0796128192902024	1.0919749097896783	0.4117184228193751	0.6741429797359316	0.09078376974385312	0.10312182085547691	0.14902948543547592	1.5226225109667382	0.48177279124514566	0.7371285077791014	2.6644949845854407	2.0686626587456147	0.883881812504101	2	2	2.3910699555922506	143.87338503553283	65.26826749963375	411.14169025837816	83.19609611769	76.40942980836942	80.71807597606245	126.07222525660066	95.40648195768458	75.02096760991739	72.16276021835883	75.28495856804732	73.81995133669467	92.80154080443633	123.53694570898621	126.72130656750629	102.74317278475489	92.59114320364775	78.99716036953708	84.66203880337117	84.13833934943541	109.68673833080207	105.00307453970508	120.2805366319407	127.38324377317934	84.26328040289951	78.05148473060957	87.37881930327654	143.87338503553283	100.99729390958304	76.34500492258688	82.37171349005801	137.4680928095919	102.0112718547627	73.6206455006565	77.95901244527359	99.58051431841523	114.5233637415386	93.59219744660398	66.77699166211748	77.69126122553475	71.37686635712842	70.92580949057053	102.73700250577943	88.0832599141825	86.03971653321585	75.31199168068434	79.45047257064965	83.07896170590274	75.68428989400883	80.29161647003708	65.96384952723817	77.2830259545539	74.59837908259156	65.26826749963375	73.97384334800975	66.05661399384735	91.25559480450272	109.52960533306083	118.06969680475058	91.65417113964718	87.43935511912021	78.88142107771677	65.90902861835401	72.97695112106601	84.11203623464233	102.43731711590664	119.12843024368365	124.18383362135957	77.4874497155272	78.03831238393317	71.79779034313603	74.03055653347822	72.3015088483088	75.12278545856404	73.6416992942258	134.8876628129662	72.26967491918488	72.24656641567289	72.29070605881813	98.25916779177312	100.62474881099502	84.02999435953053	65.7833961953273	76.98069179545229	70.66736707499528	70.88950902060583	93.35665248781116	86.07572340754713	83.79939467321694	74.55510241031199	79.01119978858577
30000	-1145.1227795794616	-33.74877366060173	-840.0965522744489	-271.277453644411	1.937049176578032	0.9092854398662856	0.32589843768567534	1.0466058280181714	0.14584097174989252	0.10540708169626593	0.15270078919986213	1.9788903446013506	0.7272901456093764	0.8203577806719502	1.9766151531907343	1.549382354227335	0.9256290858835359	2	2	2.0564254427367348	143.70576612655447	64.84788307076221	396.3245420142985	83.30931274942876	76.45750302108152	81.32479807159869	125.47771034893019	100.49600859051432	74.62985231835779	72.01454249487828	75.49079754514118	73.83523392651516	91.95380449217137	120.85001202840571	124.15184071071685	101.88398245953198	87.99151028589523	78.98950045986356	84.06835541849898	83.8047957846433	111.30871879496088	104.252417314653	120.78140479818724	126.33014955596806	84.4577451559742	78.25807970465954	89.29782713890363	143.70576612655447	97.252980811347	76.39146118102151	84.11540662148118	137.20044772506054	101.13210226240125	73.28385533292078	77.9490557378598	100.80505403074457	118.68069861965989	94.20756235649445	66.22622579697527	77.36783152808225	71.41205069076918	72.23216839036554	95.60799382469594	86.53838916163863	86.99156899146503	75.6226447981601	79.52732102527858	82.86018059800949	75.71899098738461	80.59717522898546	66.16670263341592	75.94477925532385	74.58321275081465	66.09478649035728	72.8078415452237	65.67897005672076	91.49573919088519	109.73230891884154	117.04063614856423	92.35787302906874	87.9772399487747	78.86779818473967	66.76433189938973	72.48700798006955	84.71586504983325	103.6429810591251	119.3308353532629	125.05000545951727	77.54822212168594	77.28851178234066	72.42249653205909	73.50750763025191	71.98236568146996	75.80968849994892	74.4232838836643	136.2326075280409	71.77261374302684	72.34562849412711	72.05309029060092	98.87944585952644	99.68358304643347	82.57237606618277	64.84788307076221	77.25344832041239	71.13601964662989	70.89227789212597	95.58515556534836	86.49557867670133	85.54251805853669	74.50527166264672	78.64711034732652
35000	-1138.141744009387	-27.844115242763554	-838.3384844374692	-271.9591443291541	0.8441146377627118	0.591814615775616	0.20284708033951102	0.9093051825977454	0.07389506717878205	0.1290512143155592	0.12793571267094492	1.118332516278956	0.398893233946528	0.6325635726816917	2.287329899200711	1.8658062951083314	0.8779317449104068	1	2	1.4941914315113616	142.38986356483068	65.50195136345901	394.0243757303397	84.55181979166937	76.68311218894509	80.6828547715194	125.69180595836534	102.54186566592445	74.6447490741491	73.89094544770134	75.23225084259678	74.49359137486773	92.91632238852495	122.35186489083716	120.84464393325734	101.96509792237144	88.01644658528109	79.09900765996794	84.27156069708568	83.03156141215597	116.16968025455112	105.69343118253082	120.34289009395526	126.03749952553211	84.4729142063664	78.17506684776241	88.74017743238319	142.38986356483068	95.643965350763	76.07387097070485	82.14353413499043	138.1749518708012	96.99752162588868	73.17868275959077	77.73069485251719	99.62927467347312	114.56313615328082	94.35442691268095	66.86945008531627	77.3579934184079	71.24864413005757	71.10277411425349	97.50645108170255	86.94101431275982	87.39633417381333	74.67777647242659	79.85020588934438	83.02213312745403	76.04160143333128	80.34903387782883	66.34697062035502	71.63701363333765	74.57913988776325	65.93858615313223	74.01562531743804	65.90817580274204	91.64520688897198	109.88197476794619	120.04627201749406	92.39371100569501	87.75419245340261	78.86914755079447	67.34018177304608	70.68739408861029	87.10089912088162	100.15095600284894	119.61696663239717	125.64490967130665	75.962249249435	77.95283088624073	72.48241319590981	76.31990430902857	71.27615045522656	75.98723878419693	74.47357103523956	134.91217127280242	72.07267000454819	72.5302315544199	72.89164770561462	97.89275869304917	100.18367405692175	81.80451676704084	65.50195136345901	77.28496838879865	71.15246123123109	70.55633896709398	95.28285067091214	86.4658697519625	84.82058454906284	74.45872986940066	79.11147637719303
40000	-1150.5458026330891	-33.640446962335425	-845.2647842816503	-271.64057138910346	0.715580195091029	1.2720276646443087	0.26934850992633047	0.7520251981430665	0.09612210364925942	0.13507660941254504	0.18002768330874988	1.7496114314774525	0.5130437775317214	0.5765929951139006	2.6515814111645852	1.6015595636067737	0.8405296282975699	1	3	1.759698971126805	142.3184177546084	65.90519777532793	388.5506452017025	83.37665438123	76.1787631793259	80.83282540852642	125.51063753242614	103.82487347821488	74.74285930823851	72.17402310382344	77.1397274042997	74.16311457640965	91.80365398410238	121.03093571987083	121.70305108110891	102.06097731614047	88.134563900849	79.69839601255734	83.18204211069738	83.58583057290856	113.57807742174654	105.70514461881028	121.09642987546287	125.83244108428472	84.65088678800406	78.10641933177682	87.1346446495764	142.3184177546084	94.8775084302833	76.27136733651987	82.84406982652875	136.94016295708897	95.74661251104092	73.66651252351443	78.91610227975606	100.05209193432987	116.45886296592855	93.61301195912058	66.16491093464961	77.33351164735488	71.27405090760257	71.62534357982167	97.76592982156211	86.75748185068473	86.68470916556633	74.86512607836028	80.28636755274007	82.13044151680302	75.89443898187245	80.59911685916492	66.3462412977659	77.16984048805013	74.48535755728162	66.0622006622821	74.10844380827456	65.90519777532793	91.561548028517	105.80476880242423	119.08573385743216	92.05091493522572	87.40561559196874	78.86282252233255	66.42219171284964	72.64140495525777	87.28865165139693	103.03807265937215	119.27302283588654	125.68559173422035	76.9487822181016	78.02529798929216	71.66567537037761	76.34869515869867	70.76870941799649	75.43431227739183	74.76067555483102	135.7022839171969	72.35061328741959	72.37930689719953	72.91112394296275	94.72828748081045	99.92540284731705	84.16056966647467	66.09908101363438	77.09209886228759	70.08548656650471	70.26786877514803	95.28715736553548	86.43436297160268	84.48250283309159	74.2243135167447	79.25425349142482
45000	-1155.1971624047692	-27.6394370561442	-851.0533636330766	-276.50436171554827	1.2421286723927407	0.5266167783672662	0.6337265455364319	1.4575060558309951	0.19220465063913997	0.19201785821112546	0.34605821799454195	1.4558612772627109	0.5132397123583499	0.7504810632254901	2.5401260275988444	1.2775837341971517	0.7071682562488397	1	2	1.690850306836447	142.23293783587923	64.70415481746954	407.91190906336226	83.30644659254251	76.33283403751909	80.68074748839959	125.36785441165445	105.38934076350903	74.97146472301124	72.47963833815149	75.52875732706111	74.35804370931737	91.72559305408663	120.57925065665718	121.93784737716871	105.178192616319	90.55654452111851	78.95668216934698	83.05921379088592	84.04229694883986	113.33561859034212	104.78355435685762	122.83217164846806	125.76334476473008	83.48913884881013	78.29319776553452	87.57851363036833	142.23293783587923	98.8849080764729	76.09846006250628	82.96213783367925	136.69133218313524	96.89583630046515	73.23666380356181	78.94687731805529	100.72345044940315	114.91997131110288	99.47059525240822	66.12180891122783	77.87335473777584	72.03460317115155	70.95197640726985	98.04618457835133	87.16822922920673	86.34403643700756	74.81678104073835	79.53049050280553	83.04139932866347	75.92554843521295	80.04010432546544	66.0480382955594	76.8254341312608	74.49304232134934	65.9620837360213	74.06970275154609	64.70415481746954	91.19009635131839	108.36043329030505	120.29767647314374	92.34097776979742	87.73441805972426	78.93380636511625	67.33721154630847	73.08753214882248	88.06937991290502	101.5230425212162	119.01543110139592	123.4171246326295	77.3624103987167	77.78181781543641	72.53255460510024	75.03056587111922	70.22785194796647	76.02674501241721	69.62256951906491	136.23427288182341	71.05984122070542	72.2550902996515	72.50565307315976	99.1266217520668	99.98232186712701	82.42366885915709	65.52268873648245	77.22461443999556	70.46042010350055	70.89638679596385	94.04529884199758	86.51454276568083	83.60688729875764	74.32626319854214	79.37928888987742
