accepted_name	status	max_ma	min_ma
Centrosaurus apertus	extinct	83.6	72.1
Styracosaurus albertensis	extinct	83.6	72.1
Centrosaurus apertus	extinct	83.6	72.1
Ceratopsidae	extinct	72.1	66
Ceratopsidae	extinct	83.6	72.1
Chasmosaurus	extinct	83.6	72.1
Centrosaurus apertus	extinct	83.6	72.1
Chasmosaurus	extinct	83.6	72.1
Pachyrhinosaurus lakustai	extinct	83.6	72.1
Styracosaurus albertensis	extinct	83.6	72.1
Centrosaurus apertus	extinct	83.6	72.1
Einiosaurus procurvicornis	extinct	83.6	72.1
Einiosaurus procurvicornis	extinct	83.6	72.1
Agujaceratops mariscalensis	extinct	83.6	72.1
Avaceratops lammersi	extinct	83.6	72.1
Ceratopsidae	extinct	72.1	66
Triceratops prorsus	extinct	72.1	66
Vagaceratops irvinensis	extinct	83.6	72.1
Vagaceratops irvinensis	extinct	83.6	72.1
Menefeeceratops sealeyi	extinct	83.6	72.1
Agujaceratops mariscalensis	extinct	83.6	72.1
Triceratops	extinct	72.1	66
Ceratopsidae	extinct	83.6	72.1
Triceratops	extinct	72.1	66
Anchiceratops ornatus	extinct	83.6	66
Pachyrhinosaurus canadensis	extinct	83.6	66
Pentaceratops	extinct	83.6	72.1
Pentaceratops	extinct	83.6	72.1
Bisticeratops froeseorum	extinct	83.6	72.1
Ceratopsidae	extinct	83.6	72.1
Chasmosaurus	extinct	83.6	72.1
Ceratopsidae	extinct	72.1	66
Styracosaurus albertensis	extinct	83.6	72.1
Monoclonius	extinct	83.6	72.1
Centrosaurinae	extinct	83.6	72.1
Ceratopsidae	extinct	83.6	72.1
Triceratops	extinct	72.1	66
Pentaceratops sternbergii	extinct	83.6	72.1
Pentaceratops sternbergii	extinct	83.6	72.1
Ceratopsidae	extinct	72.1	66
Ceratopsidae	extinct	72.1	66
Ceratopsidae	extinct	72.1	66
Ceratopsidae	extinct	72.1	66
Ceratopsidae	extinct	72.1	66
Torosaurus latus	extinct	72.1	66
Ceratopsidae	extinct	72.1	66
Ceratopsidae	extinct	72.1	66
Ceratopsidae	extinct	72.1	66
Ceratopsidae	extinct	72.1	66
Ceratopsidae	extinct	72.1	66
Ceratopsidae	extinct	72.1	66
Ceratopsidae	extinct	72.1	66
Ceratopsidae	extinct	72.1	66
Ceratopsidae	extinct	72.1	66
Ceratopsidae	extinct	72.1	66
Ceratopsidae	extinct	72.1	66
Ceratopsidae	extinct	72.1	66
Ceratopsidae	extinct	72.1	66
Ceratopsidae	extinct	72.1	66
Ceratopsidae	extinct	72.1	66
Ceratopsidae	extinct	72.1	66
Ceratopsidae	extinct	72.1	66
Triceratops horridus	extinct	72.1	66
Ceratopsidae	extinct	72.1	66
Ceratopsidae	extinct	72.1	66
Ceratopsidae	extinct	72.1	66
Ceratopsidae	extinct	72.1	66
Ceratopsidae	extinct	72.1	66
Ceratopsidae	extinct	72.1	66
Ceratopsidae	extinct	72.1	66
Ceratopsidae	extinct	72.1	66
Ceratopsidae	extinct	72.1	66
Ceratopsidae	extinct	72.1	66
Ceratopsidae	extinct	72.1	66
Ceratopsidae	extinct	72.1	66
Ceratopsidae	extinct	72.1	66
Ceratopsidae	extinct	72.1	66
Ceratopsidae	extinct	72.1	66
Ceratopsidae	extinct	72.1	66
Ceratopsidae	extinct	72.1	66
Ceratopsidae	extinct	72.1	66
Ceratopsidae	extinct	72.1	66
Ceratopsidae	extinct	72.1	66
Ceratopsidae	extinct	83.6	72.1
Ceratopsidae	extinct	83.6	72.1
Ceratopsidae	extinct	83.6	72.1
Ceratopsidae	extinct	83.6	72.1
Ceratopsidae	extinct	72.1	66
Ceratopsidae	extinct	72.1	66
Ceratopsidae	extinct	72.1	66
Ceratopsidae	extinct	72.1	66
Ceratopsidae	extinct	72.1	66
Ceratopsidae	extinct	72.1	66
Ceratopsidae	extinct	72.1	66
Ceratopsidae	extinct	72.1	66
Ceratopsidae	extinct	72.1	66
