Species	Status
Achelousaurus_horneri	extinct
Agujaceratops	extinct
Agujaceratops_mariscalensis	extinct
Albertaceratops_nesmoi	extinct
Anchiceratops	extinct
Anchiceratops_ornatus	extinct
Arrhinoceratops	extinct
Arrhinoceratops_brachyops	extinct
Avaceratops_lammersi	extinct
Bisticeratops_froeseorum	extinct
Bravoceratops_polyphemus	extinct
Centrosaurinae	extinct
Centrosaurus	extinct
Centrosaurus_apertus	extinct
Ceratopsidae	extinct
Ceratopsipes_goldenensis	extinct
Chasmosaurinae	extinct
Chasmosaurus	extinct
Chasmosaurus_belli	extinct
Chasmosaurus_russelli	extinct
Coahuilaceratops_magnacuerna	extinct
Coronosaurus_brinkmani	extinct
Crittendenceratops_krzyzanowskii	extinct
Diabloceratops	extinct
Diabloceratops_eatoni	extinct
Einiosaurus_procurvicornis	extinct
Eotriceratops_xerinsularis	extinct
Furcatoceratops_elucidans	extinct
Judiceratops_tigris	extinct
Kosmoceratops_richardsoni	extinct
Machairoceratops_cronusi	extinct
Medusaceratops_lokii	extinct
Menefeeceratops_sealeyi	extinct
Monocloniinae	extinct
Monoclonius	extinct
Monoclonius_crassus	extinct
Nasutoceratops_titusi	extinct
Nasutoceratopsini	extinct
Navajoceratops_sullivani	extinct
Ojoceratops_fowleri	extinct
Pachyrhinosaurinae	extinct
Pachyrhinosaurus	extinct
Pachyrhinosaurus_canadensis	extinct
Pachyrhinosaurus_lakustai	extinct
Pachyrhinosaurus_perotorum	extinct
Pentaceratops	extinct
Pentaceratops_sternbergii	extinct
Regaliceratops_peterhewsi	extinct
Rubeosaurus_ovatus	extinct
Sierraceratops_turneri	extinct
Sinoceratops_zhuchengensis	extinct
Spiclypeus_shipporum	extinct
Spinops_sternbergorum	extinct
Stellasaurus_ancellae	extinct
Styracosaurus_albertensis	extinct
Tatankaceratops_sacrisonorum	extinct
Terminocavus_sealeyi	extinct
Titanoceratops_ouranos	extinct
Torosaurus	extinct
Torosaurus_latus	extinct
Torosaurus_utahensis	extinct
Triceratops	extinct
Triceratops_horridus	extinct
Triceratops_prorsus	extinct
Utahceratops_gettyi	extinct
Vagaceratops_irvinensis	extinct
Wendiceratops_pinhornensis	extinct
Xenoceratops_foremostensis	extinct
Yehuecauhceratops_mudei	extinct
