accepted_name	status	max_ma	min_ma
Saurornitholestes	extinct	72.1	66
Velociraptor	extinct	83.6	72.1
Velociraptor mongoliensis	extinct	83.6	72.1
Dromaeosaurinae	extinct	119.5	113
Dromaeosaurus albertensis	extinct	83.6	72.1
Saurornitholestes langstoni	extinct	83.6	72.1
Richardoestesia gilmorei	extinct	83.6	72.1
Dromaeosaurus albertensis	extinct	83.6	72.1
Saurornitholestes langstoni	extinct	83.6	72.1
Richardoestesia gilmorei	extinct	83.6	72.1
Saurornitholestes	extinct	83.6	72.1
Saurornitholestes	extinct	83.6	72.1
Acheroraptor	extinct	72.1	66
Richardoestesia	extinct	72.1	66
Dromaeosaurus	extinct	72.1	66
Utahraptor ostrommaysi	extinct	139.8	132.6
Utahraptor ostrommaysi	extinct	139.8	132.6
Saurornitholestes langstoni	extinct	83.6	72.1
Richardoestesia gilmorei	extinct	83.6	72.1
Dromaeosauridae	extinct	119.5	113
Dromaeosauridae	extinct	72.1	66
Velociraptorinae	extinct	72.1	66
Richardoestesia	extinct	72.1	66
Variraptor mechinorum	extinct	83.6	72.1
Variraptor mechinorum	extinct	83.6	66
Dromaeosauridae	extinct	83.6	72.1
Nuthetes destructor	extinct	145	140.6
Nuthetes destructor	extinct	145	140.6
Dromaeosauridae	extinct	125.77	121.4
Saurornitholestes langstoni	extinct	83.6	72.1
Saurornitholestes langstoni	extinct	83.6	72.1
Saurornitholestes langstoni	extinct	83.6	72.1
Saurornitholestes langstoni	extinct	83.6	72.1
Richardoestesia gilmorei	extinct	83.6	72.1
Deinonychus antirrhopus	extinct	121.4	109.9
Dromaeosauridae	extinct	83.6	72.1
Saurornitholestes	extinct	83.6	72.1
Dromaeosauridae	extinct	83.6	72.1
Saurornitholestes	extinct	83.6	72.1
Dromaeosauridae	extinct	72.1	66
Dromaeosauridae	extinct	72.1	66
Dromaeosauridae	extinct	72.1	66
Pyroraptor olympius	extinct	72.1	66
Richardoestesia	extinct	72.1	66
Richardoestesia	extinct	72.1	66
Richardoestesia	extinct	72.1	66
Velociraptor mongoliensis	extinct	83.6	72.1
Velociraptor	extinct	83.6	72.1
Richardoestesia	extinct	83.6	72.1
Saurornitholestes	extinct	83.6	72.1
Dromaeosauridae	extinct	83.6	72.1
Dromaeosaurus albertensis	extinct	83.6	72.1
Saurornitholestes langstoni	extinct	83.6	72.1
Dromaeosaurus	extinct	72.1	66
