Species	Status
Acheroraptor	extinct
Acheroraptor_temertyorum	extinct
Achillobator_giganticus	extinct
Adasaurus_mongoliensis	extinct
Asiamericana_asiatica	extinct
Atrociraptor_marshalli	extinct
Austroraptor_cabazai	extinct
Balaur_bondoc	extinct
Bambiraptor_feinbergi	extinct
Boreonykus_certekorum	extinct
Buitreraptor_gonzalezorum	extinct
Changyuraptor_yangi	extinct
Dakotaraptor_steini	extinct
Daurlong_wangi	extinct
Deinonychus	extinct
Deinonychus_antirrhopus	extinct
Dineobellator_notohesperus	extinct
Dromaeosauridae	extinct
Dromaeosauriformipes_rarus	extinct
Dromaeosaurinae	extinct
Dromaeosauroides_bornholmensis	extinct
Dromaeosaurus	extinct
Dromaeosaurus_albertensis	extinct
Dromaeosaurus_explanatus	extinct
Graciliraptor_lujiatunensis	extinct
Halszkaraptor_escuilliei	extinct
Hesperonychus_elizabethae	extinct
Hulsanpes_perlei	extinct
Imperobator_antarcticus	extinct
Itemirus_medullaris	extinct
Kansaignathus_sogdianus	extinct
Kuru_kulla	extinct
Linheraptor_exquisitus	extinct
Luanchuanraptor_henanensis	extinct
Mahakala_omnogovae	extinct
Microraptor	extinct
Microraptor_gui	extinct
Microraptor_hanqingi	extinct
Microraptor_zhaoianus	extinct
Natovenator_polydontus	extinct
Neuquenraptor_argentinus	extinct
Nuthetes	extinct
Nuthetes_destructor	extinct
Pyroraptor_olympius	extinct
Rahonavis_ostromi	extinct
Richardoestesia	extinct
Richardoestesia_asiatica	extinct
Richardoestesia_gilmorei	extinct
Richardoestesia_isosceles	extinct
Saurornitholestes	extinct
Saurornitholestes_langstoni	extinct
Saurornitholestes_sullivani	extinct
Saurornitholestinae	extinct
Shanag_ashile	extinct
Shri_devi	extinct
Sinornithosaurus	extinct
Sinornithosaurus_millenii	extinct
Tianyuraptor_ostromi	extinct
Tsaagan_mangas	extinct
Unenlagia_comahuensis	extinct
Unenlagia_paynemili	extinct
Unenlagiinae	extinct
Utahraptor	extinct
Utahraptor_ostrommaysi	extinct
Variraptor_mechinorum	extinct
Vectiraptor_greeni	extinct
Velociraptor	extinct
Velociraptor_mongoliensis	extinct
Velociraptor_osmolskae	extinct
Velociraptorichnus	extinct
Velociraptorichnus_sichuanensis	extinct
Velociraptorichnus_zhangi	extinct
Velociraptorinae	extinct
Wulong_bohaiensis	extinct
Ypupiara_lopai	extinct
Yurgovuchia_doellingi	extinct
Zapsalis	extinct
Zhenyuanlong_suni	extinct
Zhongjianosaurus_yangi	extinct
