Species	Status
Acheralichnus_leonardii	extinct
Acristavus_gagslarsoni	extinct
Adelolophus_hutchisoni	extinct
Adynomosaurus_arcanus	extinct
Ajnabia_odysseus	extinct
Amurosaurus_riabinini	extinct
Anasazisaurus_horneri	extinct
Angulomastacator_daviesi	extinct
Aquilarhinus_palimentus	extinct
Aralosaurus_tuberiferus	extinct
Arenysaurus_ardevoli	extinct
Augustynolophus_morrisi	extinct
Barsboldia_sicinskii	extinct
Blasisaurus_canudoi	extinct
Bonapartesaurus_rionegrensis	extinct
Brachylophosaurus_canadensis	extinct
Canardia_garonnensis	extinct
Charonosaurus_jiayinensis	extinct
Corythosaurini	extinct
Corythosaurus	extinct
Corythosaurus_casuarius	extinct
Corythosaurus_intermedius	extinct
Edmontosaurus	extinct
Edmontosaurus_annectens	extinct
Edmontosaurus_regalis	extinct
Eotrachodon_orientalis	extinct
Euhadrosauria	extinct
Gryposaurus	extinct
Gryposaurus_alsatei	extinct
Gryposaurus_latidens	extinct
Gryposaurus_monumentensis	extinct
Gryposaurus_notabilis	extinct
Hadrosauridae	extinct
Hadrosaurinae	extinct
Hadrosaurus	extinct
Hadrosaurus_foulkii	extinct
Huallasaurus_australis	extinct
Hypacrosaurus	extinct
Hypacrosaurus_altispinus	extinct
Hypacrosaurus_stebingeri	extinct
Jaxartosaurus	extinct
Jaxartosaurus_aralensis	extinct
Kamuysaurus_japonicus	extinct
Kazaklambia_convincens	extinct
Kelumapusaura_machi	extinct
Kerberosaurus_manakini	extinct
Kritosaurini	extinct
Kritosaurus	extinct
Kritosaurus_navajovius	extinct
Laiyangosaurus_youngi	extinct
Lambeosaurinae	extinct
Lambeosaurini	extinct
Lambeosaurus	extinct
Lambeosaurus_clavinitialis	extinct
Lambeosaurus_lambei	extinct
Lambeosaurus_magnicristatus	extinct
Lapampasaurus_cholinoi	extinct
Latirhinus_uitstlani	extinct
Lophorhothon_atopus	extinct
Magnapaulia_laticaudus	extinct
Maiasaura	extinct
Maiasaura_peeblesorum	extinct
Malefica_deckerti	extinct
Mandschurosaurus	extinct
Mandschurosaurus_amurensis	extinct
Minqaria_bata	extinct
Naashoibitosaurus_ostromi	extinct
Nipponosaurus_sachalinensis	extinct
Olorotitan_arharensis	extinct
Ornatops_incantatus	extinct
Pararhabdodon	extinct
Pararhabdodon_isonensis	extinct
Parasaurolophus	extinct
Parasaurolophus_cyrtocristatus	extinct
Parasaurolophus_tubicen	extinct
Parasaurolophus_walkeri	extinct
Probrachylophosaurus_bergei	extinct
Prosaurolophus	extinct
Prosaurolophus_maximus	extinct
Rhinorex_condrupus	extinct
Saurolophinae	extinct
Saurolophus	extinct
Saurolophus_angustirostris	extinct
Saurolophus_osborni	extinct
Secernosaurus_koerneri	extinct
Shantungosaurus	extinct
Shantungosaurus_giganteus	extinct
Tlatolophus_galorum	extinct
Tridigitichnus_inopinatus	extinct
Tsintaosaurus	extinct
Tsintaosaurus_spinorhinus	extinct
Ugrunaaluk_kuukpikensis	extinct
Velafrons_coahuilensis	extinct
Wulagasaurus_dongi	extinct
Yamatosaurus_izanagii	extinct
