Species	Status
Achelousaurus_horneri	extinct
Acheralichnus_leonardii	extinct
Acheroraptor	extinct
Acheroraptor_temertyorum	extinct
Achillobator_giganticus	extinct
Acristavus_gagslarsoni	extinct
Adasaurus_mongoliensis	extinct
Adelolophus_hutchisoni	extinct
Adynomosaurus_arcanus	extinct
Agujaceratops	extinct
Agujaceratops_mariscalensis	extinct
Ahshislepelta_minor	extinct
Ajnabia_odysseus	extinct
Akainacephalus_johnsoni	extinct
Albertaceratops_nesmoi	extinct
Albertavenator_curriei	extinct
Albertosaurinae	extinct
Albertosaurus	extinct
Albertosaurus_sarcophagus	extinct
Aletopelta_coombsi	extinct
Alioramus_remotus	extinct
Alioramus_sinensis	extinct
Almas_ukhaa	extinct
Amurosaurus_riabinini	extinct
Anasazisaurus_horneri	extinct
Anchiceratops	extinct
Anchiceratops_ornatus	extinct
Angulomastacator_daviesi	extinct
Ankylosauridae	extinct
Ankylosaurinae	extinct
Ankylosaurus	extinct
Ankylosaurus_magniventris	extinct
Anodontosaurus_inceptus	extinct
Anodontosaurus_lambei	extinct
Aquilarhinus_palimentus	extinct
Aralosaurus_tuberiferus	extinct
Archaeornithoides_deinosauriscus	extinct
Arenysaurus_ardevoli	extinct
Arrhinoceratops	extinct
Arrhinoceratops_brachyops	extinct
Asiamericana_asiatica	extinct
Atrociraptor_marshalli	extinct
Augustynolophus_morrisi	extinct
Austroraptor_cabazai	extinct
Avaceratops_lammersi	extinct
Balaur_bondoc	extinct
Bambiraptor_feinbergi	extinct
Barsboldia_sicinskii	extinct
Bissektipelta_archibaldi	extinct
Bisticeratops_froeseorum	extinct
Blasisaurus_canudoi	extinct
Bonapartesaurus_rionegrensis	extinct
Boreonykus_certekorum	extinct
Borogovia_gracilicrus	extinct
Brachylophosaurus_canadensis	extinct
Bravoceratops_polyphemus	extinct
Buitreraptor_gonzalezorum	extinct
Byronosaurus	extinct
Byronosaurus_jaffei	extinct
Canardia_garonnensis	extinct
Cedarpelta_bilbeyhallorum	extinct
Centrosaurinae	extinct
Centrosaurus	extinct
Centrosaurus_apertus	extinct
Ceratopsidae	extinct
Ceratopsipes_goldenensis	extinct
Changyuraptor_yangi	extinct
Charonosaurus_jiayinensis	extinct
Chasmosaurinae	extinct
Chasmosaurus	extinct
Chasmosaurus_belli	extinct
Chasmosaurus_russelli	extinct
Chuanqilong_chaoyangensis	extinct
Coahuilaceratops_magnacuerna	extinct
Coronosaurus_brinkmani	extinct
Corythosaurini	extinct
Corythosaurus	extinct
Corythosaurus_casuarius	extinct
Corythosaurus_intermedius	extinct
Crichtonpelta_benxiensis	extinct
Crittendenceratops_krzyzanowskii	extinct
Dakotaraptor_steini	extinct
Daliansaurus_liaoningensis	extinct
Daspletosaurus	extinct
Daspletosaurus_horneri	extinct
Daspletosaurus_torosus	extinct
Daspletosaurus_wilsoni	extinct
Datai_yingliangis	extinct
Daurlong_wangi	extinct
Deinonychus	extinct
Deinonychus_antirrhopus	extinct
Diabloceratops	extinct
Diabloceratops_eatoni	extinct
Dineobellator_notohesperus	extinct
Dromaeosauridae	extinct
Dromaeosauriformipes_rarus	extinct
Dromaeosaurinae	extinct
Dromaeosauroides_bornholmensis	extinct
Dromaeosaurus	extinct
Dromaeosaurus_albertensis	extinct
Dromaeosaurus_explanatus	extinct
Dynamoterror_dynastes	extinct
Dyoplosaurus_acutosquameus	extinct
Edmontosaurus	extinct
Edmontosaurus_annectens	extinct
Edmontosaurus_regalis	extinct
Einiosaurus_procurvicornis	extinct
Eotrachodon_orientalis	extinct
Eotriceratops_xerinsularis	extinct
Euhadrosauria	extinct
Euoplocephalus	extinct
Euoplocephalus_tutus	extinct
Furcatoceratops_elucidans	extinct
Geminiraptor_suarezarum	extinct
Gobisaurus_domoculus	extinct
Gobivenator_mongoliensis	extinct
Gorgosaurus	extinct
Gorgosaurus_libratus	extinct
Graciliraptor_lujiatunensis	extinct
Gryposaurus	extinct
Gryposaurus_alsatei	extinct
Gryposaurus_latidens	extinct
Gryposaurus_monumentensis	extinct
Gryposaurus_notabilis	extinct
Hadrosauridae	extinct
Hadrosaurinae	extinct
Hadrosaurus	extinct
Hadrosaurus_foulkii	extinct
Halszkaraptor_escuilliei	extinct
Hesperonychus_elizabethae	extinct
Huallasaurus_australis	extinct
Hulsanpes_perlei	extinct
Hypacrosaurus	extinct
Hypacrosaurus_altispinus	extinct
Hypacrosaurus_stebingeri	extinct
Imperobator_antarcticus	extinct
Itemirus_medullaris	extinct
Jaxartosaurus	extinct
Jaxartosaurus_aralensis	extinct
Jianianhualong_tengi	extinct
Jinfengopteryx_elegans	extinct
Jinyunpelta_sinensis	extinct
Judiceratops_tigris	extinct
Kamuysaurus_japonicus	extinct
Kansaignathus_sogdianus	extinct
Kazaklambia_convincens	extinct
Kelumapusaura_machi	extinct
Kerberosaurus_manakini	extinct
Kosmoceratops_richardsoni	extinct
Kritosaurini	extinct
Kritosaurus	extinct
Kritosaurus_navajovius	extinct
Kuru_kulla	extinct
Laiyangosaurus_youngi	extinct
Lambeosaurinae	extinct
Lambeosaurini	extinct
Lambeosaurus	extinct
Lambeosaurus_clavinitialis	extinct
Lambeosaurus_lambei	extinct
Lambeosaurus_magnicristatus	extinct
Lapampasaurus_cholinoi	extinct
Latenivenatrix_mcmasterae	extinct
Latirhinus_uitstlani	extinct
Liaoningosaurus_paradoxus	extinct
Liaoningvenator_curriei	extinct
Linheraptor_exquisitus	extinct
Linhevenator_tani	extinct
Lophorhothon_atopus	extinct
Luanchuanraptor_henanensis	extinct
Lythronax_argestes	extinct
Machairoceratops_cronusi	extinct
Magnapaulia_laticaudus	extinct
Mahakala_omnogovae	extinct
Maiasaura	extinct
Maiasaura_peeblesorum	extinct
Malefica_deckerti	extinct
Mandschurosaurus	extinct
Mandschurosaurus_amurensis	extinct
Medusaceratops_lokii	extinct
Mei_long	extinct
Menefeeceratops_sealeyi	extinct
Microraptor	extinct
Microraptor_gui	extinct
Microraptor_hanqingi	extinct
Microraptor_zhaoianus	extinct
Minmi_paravertebrata	extinct
Minqaria_bata	extinct
Monocloniinae	extinct
Monoclonius	extinct
Monoclonius_crassus	extinct
Naashoibitosaurus_ostromi	extinct
Nanuqsaurus_hoglundi	extinct
Nasutoceratops_titusi	extinct
Nasutoceratopsini	extinct
Natovenator_polydontus	extinct
Navajoceratops_sullivani	extinct
Neuquenraptor_argentinus	extinct
Nipponosaurus_sachalinensis	extinct
Nodocephalosaurus_kirtlandensis	extinct
Nuthetes	extinct
Nuthetes_destructor	extinct
Ojoceratops_fowleri	extinct
Olorotitan_arharensis	extinct
Oohkotokia	extinct
Oohkotokia_horneri	extinct
Ornatops_incantatus	extinct
Pachyrhinosaurinae	extinct
Pachyrhinosaurus	extinct
Pachyrhinosaurus_canadensis	extinct
Pachyrhinosaurus_lakustai	extinct
Pachyrhinosaurus_perotorum	extinct
Papiliovenator_neimengguensis	extinct
Pararhabdodon	extinct
Pararhabdodon_isonensis	extinct
Parasaurolophus	extinct
Parasaurolophus_cyrtocristatus	extinct
Parasaurolophus_tubicen	extinct
Parasaurolophus_walkeri	extinct
Pectinodon	extinct
Pectinodon_bakkeri	extinct
Pentaceratops	extinct
Pentaceratops_sternbergii	extinct
Philovenator_curriei	extinct
Pinacosaurus	extinct
Pinacosaurus_grangeri	extinct
Pinacosaurus_mephistocephalus	extinct
Platypelta_coombsi	extinct
Polacanthinae	extinct
Probrachylophosaurus_bergei	extinct
Prosaurolophus	extinct
Prosaurolophus_maximus	extinct
Pyroraptor_olympius	extinct
Rahonavis_ostromi	extinct
Regaliceratops_peterhewsi	extinct
Rhinorex_condrupus	extinct
Richardoestesia	extinct
Richardoestesia_asiatica	extinct
Richardoestesia_gilmorei	extinct
Richardoestesia_isosceles	extinct
Rubeosaurus_ovatus	extinct
Saichania_chulsanensis	extinct
Saurolophinae	extinct
Saurolophus	extinct
Saurolophus_angustirostris	extinct
Saurolophus_osborni	extinct
Saurornithoides	extinct
Saurornithoides_mongoliensis	extinct
Saurornitholestes	extinct
Saurornitholestes_langstoni	extinct
Saurornitholestes_sullivani	extinct
Saurornitholestinae	extinct
Scolosaurus_cutleri	extinct
Scolosaurus_thronus	extinct
Secernosaurus_koerneri	extinct
Shamosaurinae	extinct
Shamosaurus_scutatus	extinct
Shanag_ashile	extinct
Shantungosaurus	extinct
Shantungosaurus_giganteus	extinct
Shri_devi	extinct
Sierraceratops_turneri	extinct
Sinoceratops_zhuchengensis	extinct
Sinornithoides	extinct
Sinornithoides_youngi	extinct
Sinornithosaurus	extinct
Sinornithosaurus_millenii	extinct
Sinovenator_changii	extinct
Sinusonasus_magnodens	extinct
Spiclypeus_shipporum	extinct
Spinops_sternbergorum	extinct
Stellasaurus_ancellae	extinct
Stenonychosaurus_inequalis	extinct
Styracosaurus_albertensis	extinct
Talarurus_plicatospineus	extinct
Talos_sampsoni	extinct
Tamarro_insperatus	extinct
Tarbosaurus	extinct
Tarbosaurus_bataar	extinct
Tarchia	extinct
Tarchia_kielanae	extinct
Tarchia_teresae	extinct
Tarchia_tumanovae	extinct
Tatankaceratops_sacrisonorum	extinct
Teratophoneus_curriei	extinct
Terminocavus_sealeyi	extinct
Thanatotheristes_degrootorum	extinct
Tianyuraptor_ostromi	extinct
Titanoceratops_ouranos	extinct
Tlatolophus_galorum	extinct
Tochisaurus_nemegtensis	extinct
Torosaurus	extinct
Torosaurus_latus	extinct
Torosaurus_utahensis	extinct
Triceratops	extinct
Triceratops_horridus	extinct
Triceratops_prorsus	extinct
Tridigitichnus_inopinatus	extinct
Troodon	extinct
Troodon_formosus	extinct
Troodontidae	extinct
Tsaagan_mangas	extinct
Tsagantegia	extinct
Tsagantegia_longicranialis	extinct
Tsintaosaurus	extinct
Tsintaosaurus_spinorhinus	extinct
Tyrannosauridae	extinct
Tyrannosaurinae	extinct
Tyrannosaurus	extinct
Tyrannosaurus_mcraeensis	extinct
Tyrannosaurus_rex	extinct
Ugrunaaluk_kuukpikensis	extinct
Unenlagia_comahuensis	extinct
Unenlagia_paynemili	extinct
Unenlagiinae	extinct
Urbacodon	extinct
Urbacodon_itemirensis	extinct
Utahceratops_gettyi	extinct
Utahraptor	extinct
Utahraptor_ostrommaysi	extinct
Vagaceratops_irvinensis	extinct
Variraptor_mechinorum	extinct
Vectiraptor_greeni	extinct
Velafrons_coahuilensis	extinct
Velociraptor	extinct
Velociraptor_mongoliensis	extinct
Velociraptor_osmolskae	extinct
Velociraptorichnus	extinct
Velociraptorichnus_sichuanensis	extinct
Velociraptorichnus_zhangi	extinct
Velociraptorinae	extinct
Wendiceratops_pinhornensis	extinct
Wulagasaurus_dongi	extinct
Wulong_bohaiensis	extinct
Xenoceratops_foremostensis	extinct
Xixiasaurus_henanensis	extinct
Yamatosaurus_izanagii	extinct
Yehuecauhceratops_mudei	extinct
Yezosaurus_mikasaensis	extinct
Ypupiara_lopai	extinct
Yurgovuchia_doellingi	extinct
Zanabazar_junior	extinct
Zapsalis	extinct
Zaraapelta_nomadis	extinct
Zhenyuanlong_suni	extinct
Zhongjianosaurus_yangi	extinct
Zhuchengtyrannus_magnus	extinct
Ziapelta_sanjuanensis	extinct
Zuul_crurivastator	extinct
