it	posterior	prior	PP_lik	BD_lik	q_0	q_1	q_2	q_3	q_4	q_5	q_6	q_7	q_8	q_9	q_10	alpha	k_birth	k_death	RJ_hp	root_age	death_age	tot_length	Albertavenator_curriei_TS	Almas_ukhaa_TS	Archaeornithoides_deinosauriscus_TS	Borogovia_gracilicrus_TS	Byronosaurus_TS	Byronosaurus_jaffei_TS	Daliansaurus_liaoningensis_TS	Geminiraptor_suarezarum_TS	Gobivenator_mongoliensis_TS	Jianianhualong_tengi_TS	Jinfengopteryx_elegans_TS	Latenivenatrix_mcmasterae_TS	Liaoningvenator_curriei_TS	Linhevenator_tani_TS	Mei_long_TS	Papiliovenator_neimengguensis_TS	Pectinodon_TS	Pectinodon_bakkeri_TS	Philovenator_curriei_TS	Saurornithoides_TS	Saurornithoides_mongoliensis_TS	Sinornithoides_TS	Sinornithoides_youngi_TS	Sinovenator_changii_TS	Sinusonasus_magnodens_TS	Stenonychosaurus_inequalis_TS	Talos_sampsoni_TS	Tamarro_insperatus_TS	Tochisaurus_nemegtensis_TS	Troodon_TS	Troodon_formosus_TS	Troodontidae_TS	Urbacodon_TS	Urbacodon_itemirensis_TS	Xixiasaurus_henanensis_TS	Zanabazar_junior_TS	Albertavenator_curriei_TE	Almas_ukhaa_TE	Archaeornithoides_deinosauriscus_TE	Borogovia_gracilicrus_TE	Byronosaurus_TE	Byronosaurus_jaffei_TE	Daliansaurus_liaoningensis_TE	Geminiraptor_suarezarum_TE	Gobivenator_mongoliensis_TE	Jianianhualong_tengi_TE	Jinfengopteryx_elegans_TE	Latenivenatrix_mcmasterae_TE	Liaoningvenator_curriei_TE	Linhevenator_tani_TE	Mei_long_TE	Papiliovenator_neimengguensis_TE	Pectinodon_TE	Pectinodon_bakkeri_TE	Philovenator_curriei_TE	Saurornithoides_TE	Saurornithoides_mongoliensis_TE	Sinornithoides_TE	Sinornithoides_youngi_TE	Sinovenator_changii_TE	Sinusonasus_magnodens_TE	Stenonychosaurus_inequalis_TE	Talos_sampsoni_TE	Tamarro_insperatus_TE	Tochisaurus_nemegtensis_TE	Troodon_TE	Troodon_formosus_TE	Troodontidae_TE	Urbacodon_TE	Urbacodon_itemirensis_TE	Xixiasaurus_henanensis_TE	Zanabazar_junior_TE
0	-1036.5734580968547	-18.652104844537092	-719.0588422545252	-298.86251099779247	0.379354919063399	0.379354919063399	0.379354919063399	0.379354919063399	0.379354919063399	0.379354919063399	0.379354919063399	0.379354919063399	0.379354919063399	0.379354919063399	0.379354919063399	1.0	1	1	1	134.95690259661515	49.106041410241446	294.8225851233384	87.2891593158664	82.44848650872187	78.66413103537299	69.19528692981254	77.57204012018724	73.41002783933841	124.60395180952077	134.95690259661515	77.39642682133736	119.76754165306416	122.98322509693054	85.59507033638178	121.62689216184815	77.45359009280364	124.0239439810737	77.56983070132212	100.27083814144788	71.63734040732525	82.97910099540039	106.39939128256837	83.29704226704901	111.82953317312266	108.71389351034041	127.01192059058152	124.12046872595415	83.5770744227846	83.14738117656137	68.30093043259525	71.22509208753686	84.28655904200421	83.63076953671045	125.51595932400953	127.37748064722567	98.5132844885608	89.13548678650129	72.0175040017147	63.20375596186879	82.42501695918922	78.52814881004286	68.67813071792132	77.18229981879479	72.86776101756742	124.41990042897102	134.43403255595618	77.35318374468419	119.63065383119877	122.64336475790368	74.77837533804777	121.37841336150278	77.40998490065266	120.09933310106693	77.48435970455895	49.106041410241446	63.185830094363	82.43156341162155	59.39240541113523	67.63222485222676	111.38009122379052	108.64409276722824	121.12105988721683	123.45425402378854	65.7849026442301	83.01873405101496	68.22513037368202	71.19088994100373	65.95698921318689	66.25432948887271	65.73549712038493	118.64976926851293	98.16776089025853	88.98643998808635	71.8862518460801
5000	-931.145507703484	-35.5451182472276	-688.9904029346382	-206.60998652161823	0.27926042255990724	0.3867609548926057	0.4922704415369308	0.19993551164706938	0.30133645420976324	0.6909121663279376	0.2469927376588021	0.22142176083209553	0.6500294059502144	1.3246622702252295	1.5028710994458214	0.9968429852146751	3	2	2.318814213827875	136.3691873639787	53.692351757757976	305.1251339916987	88.14896754995223	82.54203300230728	78.71190538098116	68.99826510144821	77.49724481604902	73.45539468098598	125.02181427516669	136.3691873639787	77.49514220729756	120.45132871511362	124.41762714550705	86.6931751767013	125.5826880882277	77.93288010449226	124.62239791034688	78.81099282304862	98.19749758569341	72.57898382264459	84.17400199175749	100.36706666704778	84.46321013343179	112.31874201350308	108.98519821147607	126.01023236222802	124.69948657967365	83.98759436218485	84.97894219035842	69.89244333042102	71.51439382394746	84.86022664090802	83.69878642504652	124.34892917440692	125.43775543411351	99.03417451692933	90.23232491902324	71.92321357460284	66.47652372227235	82.41534277427114	78.13749285261898	68.23287294844798	77.43947289088419	72.80917633354284	123.37421295826977	134.61862809359465	77.3517845126937	117.1886813465527	119.37178480270437	74.8244124724686	120.48617584140517	77.31508086338947	121.26061372426031	76.95186197927869	53.692351757757976	65.53179397518144	81.83369446468421	64.89036662379836	68.6298141331268	110.4200841226449	108.34015096030726	119.08742689672823	123.90287248006024	65.96885416931254	82.96996009227335	68.05165559443937	70.63833929834966	65.65334036487636	66.25449991094948	66.24028712602471	118.28985296997627	94.06080671108721	88.77302089943419	71.84582344163618
10000	-929.626945664443	-41.94498506166331	-679.6502517816955	-208.0317088210843	0.4552809935815689	0.4180313309196705	0.437552260796601	0.45769857515013906	0.17126144404564148	0.45332159418005324	0.2977382614246928	0.2880133624379368	0.31029614835320757	1.117361879139034	1.2184467240333507	1.0157224739691708	3	3	1.0947375166465547	134.73144892695984	55.5219631213056	303.564231850489	86.53215605136832	82.46658179350851	78.64940238396721	69.03012563634199	78.18449949220731	73.43501702095533	124.65186609732199	134.73144892695984	78.01479092578492	120.39601780111921	124.36907033608064	85.47580520837683	121.72802429121637	77.74193856813028	124.30811952684563	79.40678409051885	99.77276344016529	73.11074723673265	83.69626963811086	98.32299567011658	83.70325648680792	112.15764210525812	110.58878839432897	125.54292585489372	124.71832339413253	89.27756391738977	85.14386011592198	69.27295057968405	71.27717320014645	86.87162806658908	83.83510332933031	124.41965969055941	126.35265214231981	98.34329147737074	89.30758326067276	71.94938944022729	65.62089409512798	82.43709501611707	78.49787252600085	68.62799523255248	77.08015019286077	72.56067079332058	124.41442932503972	134.6841675431787	76.67573829216067	119.25132651257755	122.46401573706682	74.1145911400868	121.20047445988985	76.66317001658136	121.35621098386085	76.88216711543207	55.5219631213056	63.11190653927813	82.74314232714887	67.28329761091223	66.46836650481299	110.84125072160732	102.81656767537248	118.08537967095796	123.33868617500295	64.13835562311937	82.4401868013869	68.14151128709614	70.5891520428844	65.43874524154337	66.27290086309765	66.25541753048023	119.16517970221561	98.20952630257042	87.9820918916729	71.84738712665289
15000	-930.9239110030303	-30.500612256726054	-680.7960914825278	-219.62720726377643	0.18729478692445775	0.2919885737933335	0.5937352434828281	0.35200798169000386	0.1594790745367149	0.35538697550790516	0.396984812432214	0.19039507799583544	0.22402609012784075	1.1575213782717682	1.2061612830651904	0.9220887150654488	3	1	1.7881329989610244	136.16925601682732	54.332843752864214	316.2624343872749	85.06964883909409	82.63703156400187	78.55446583187116	69.85682332236632	77.6682593250043	73.26229972526592	124.91301618813519	136.16925601682732	77.39721863968587	119.83650923495817	123.01304182829632	83.8761104335536	122.85450440833831	77.73142061924268	124.65822736410827	77.57596988755812	101.79480274538118	73.48238165242242	83.31541737801035	103.90597090695465	88.74316677096073	112.43443143568739	108.94859987223519	125.80551565844046	124.77735201556075	90.71203064905947	83.6245109014203	70.14444032032984	71.24401474648218	84.67978845065186	83.84322779744328	125.52511784314095	125.34995244642211	99.7730347228467	89.10359922671773	72.90501907602757	66.45165641070892	82.43069764094778	78.55173690544973	66.91683562875836	77.36254713620114	71.79351137069344	124.41020653636672	134.61308236889423	77.13395211819572	119.59517720389404	121.83945107285649	75.10784968292384	120.13054835362651	76.92892268139344	121.43394317345292	76.87321322142877	54.332843752864214	61.939686438689805	81.94306942687211	65.45267230470263	65.47341899665243	111.35997449253888	104.11289882446853	120.52543959626358	122.38457396999223	65.75673052595371	83.09047077310754	68.12157634058003	70.85129880020285	65.86907299976255	66.49018496433325	66.20599539022272	118.79499461019894	97.5901907775216	85.80373491563945	71.25158405086859
20000	-922.2003034139283	-25.07110922850321	-678.670591710163	-218.45860247526207	0.3300726556055409	0.2911882679648616	0.9156336553387694	0.24966346892901803	0.24349415073476094	0.29608460898655226	0.21837812135184362	0.1645113237683652	0.26057176690395345	1.2430135183410054	1.3008718785761182	1.072050261631979	2	1	1.890796709271274	135.60182256102135	62.33834583517345	312.86574232021866	84.44392057198777	82.54757541928451	81.68225133333438	68.99359662888078	77.49516803714468	73.20566291457034	125.23486362231078	135.60182256102135	77.42905951797115	119.6953374864755	123.06601128753381	88.32163700613829	122.645123700226	77.93033673011178	123.76563227225758	77.62792363497591	99.00839598756026	71.47350029106566	83.5156664282016	108.30700999790335	90.22741445290329	111.96030933073513	109.34025975108179	125.5561558351818	124.17391827840424	89.56714658835577	84.64008286557652	68.38693496294512	71.45633488734785	84.38639771175785	86.42754040904428	124.25712021516962	125.2593721841951	98.68723513208171	92.70870292968289	71.96651156138445	65.17434490845521	81.89473969886721	78.35793302212304	68.96260856043502	77.19826887344074	72.80248133075106	124.53456405810715	133.93707452657907	77.21678400705035	119.57386117011289	120.03090169021847	74.81636910509631	117.31294095572343	77.3326609841412	121.53452044547835	77.41826019732407	62.33834583517345	62.40572818736387	82.84460372213859	66.00329674204932	66.11678322421982	110.96025657399461	107.4417795861402	121.26389625101599	123.27585093094346	64.92003215695665	82.99756436764184	67.66419481180661	70.49195757110529	64.89411374994503	66.22885563535367	66.34077835444783	118.74761105553343	97.72980579606096	87.20512825080655	70.15729386798348
25000	-932.9241295590584	-37.529987567192606	-679.6165483831513	-215.77759360871448	1.197812346575906	0.803529502197116	0.9251261267604327	0.31691333509452996	0.11936802098056229	0.39094161487829504	0.09646107244468376	0.11884267717023439	0.6076826653401087	1.1654683551525413	1.629663837266477	1.1077462633870976	2	3	3.8477798120522633	134.7952644786267	63.26046158865236	321.57233128900305	88.44800416578151	82.9419765109526	79.72364087488953	69.2106590549898	77.51337114688114	74.10372847544716	124.69173409433185	134.7952644786267	77.78143517885162	126.63545705607963	124.71037208342393	84.14899055642923	123.65561415218055	78.95201351480101	123.80127015832282	77.81318606769301	100.32002269494456	72.21164785120402	82.98860251205001	114.22355359933592	84.79771417699634	111.88013813658569	109.47709389715386	125.62669786447115	124.88701584147606	86.53472743971805	83.58854621146247	68.25658421079993	71.43925105360599	84.49172850093224	84.32587893751074	124.80330990117585	125.58365825734816	98.39771449088576	89.068210174903	75.32023862195085	66.23130831523	82.36401505936517	78.17788826972053	68.92861856530845	77.32858472609529	71.12049542287234	124.58765471630419	134.63678957089533	77.09884356326421	118.64228599249525	120.9352213973678	74.54577528666421	118.96866628220678	77.08971719698145	120.45630913561143	77.40583208742858	63.26046158865236	65.67274433829178	82.89014993291975	66.71112851279831	65.98159819500266	109.75996196737134	100.29552318400154	120.91226594754862	123.45751700528416	65.95234650715221	82.47540860483434	68.21493144425997	71.01720698018384	66.02391175131393	66.35399789133571	65.6321857275198	115.48174134607225	98.28894623633292	87.5573250950421	71.11936281146109
30000	-923.5603808252943	-38.77161678523789	-671.0959833534282	-213.6927806866281	1.1360069645829958	0.627033872168639	0.9226190464203857	0.2784044014977929	0.13953276262546432	0.42432499536819773	0.08943405489342945	0.11390324928539952	0.2457510047166767	1.3325380900896413	1.6300091688951595	1.4853150309154044	3	2	1.8703209069764182	135.4223384709504	65.57975025557448	322.5362707432145	88.69400981064366	82.52977977508614	78.55896151560226	69.03575123787725	79.060103043356	73.67236518858995	124.59291221646941	135.4223384709504	77.38996466705605	124.81075726569465	124.33507839233852	85.49263264002967	126.01163375803162	77.45409139838229	124.49212417725975	77.82293860348649	101.18507328701762	71.38718004640762	84.89777813563853	113.56109157879959	85.9800823520838	113.75331589425055	109.8540723827693	125.6701165636398	124.3240573137127	83.57128951677771	83.38909707655813	69.66342087879367	72.07607024244872	85.34738734711271	84.09830316369221	124.94681215774972	125.28817239827495	99.60015622770793	90.07358800737738	72.29912188466105	65.99312707990799	82.3998708751325	78.50317280729095	68.9710304344384	77.47399971463226	71.9566381866205	124.591577450732	134.6634444019508	77.17003403172286	110.70458377779245	122.46954573385267	74.09507732523949	120.81925800195424	76.88545254248861	116.73604551473493	77.03128122628699	65.88100591677309	65.63198278473602	82.89983179850978	66.36127331582506	66.7402729395807	110.87682186387154	103.03921199882315	121.02951090165809	123.16942683005445	65.57975025557448	82.65483432307249	68.09327992612495	71.17196826999145	65.79138572337253	66.51373262443427	66.39683795368344	117.10306306019864	98.13307416140474	88.37897021920004	71.89498390144676
35000	-925.3097397739472	-43.5054367296753	-683.1775319085835	-198.62677113568827	2.569383681657589	0.6365923482315687	0.6177234119834972	0.12955061120996514	0.0819956692382814	0.5483720321753823	0.13338989111156124	0.098253691698696	0.39028733402499455	0.8782346554005133	1.115990208077345	0.8751053902482925	2	3	3.2370877173905375	134.889646156522	64.7602731242988	327.71436575509705	84.46856064155915	82.48787079215721	78.79836042277061	69.17839050737643	77.73130868474986	73.22558527910921	124.59196113098204	134.889646156522	78.715081166018	123.16031352243954	123.27762110518194	83.74083966170745	124.4711081519607	77.48124830404072	124.53130411909514	77.61992463721666	99.41210627471172	71.81931314746979	86.41117593174488	117.42228421527894	92.25434631651328	112.64732770143222	111.00282546725443	125.75015552474676	124.61468557580302	84.67359720419036	84.72398225840467	68.9562617183586	73.44832551584469	89.251799571033	84.35830119555852	124.75868196903397	125.70126044556207	99.90371215247544	89.43999974335573	72.2197275029893	66.29688812987145	82.12168636522527	78.34867530839693	68.53670287835456	77.04261001270439	72.09698099280507	124.591577450732	134.45853231509273	76.55520776506998	116.16941894480232	121.5489492037494	75.34570002173707	119.24296774266958	77.2544556423477	120.47571174838491	77.12590719557234	65.80884670742957	64.7602731242988	82.31390401098841	65.86941396920317	66.28797200433586	109.45727308661877	105.4309831339292	120.82452965627077	123.5153844741095	65.3801290117403	82.35418667960526	67.88309429333138	70.8721172214286	65.75266690736052	66.388656806042	66.27336227329778	117.9542974276054	96.74850770064806	88.07599554738458	70.26106220640733
40000	-925.9961435574024	-40.57035911262202	-685.1138459023518	-200.3119385424286	2.08835293624396	0.603500015075848	1.1597153214777702	0.2420455089612739	0.05213144396595335	0.5781741714835973	0.09721889766681936	0.07304173939864739	0.18560696035255406	1.0268641634212834	0.9037358151451093	0.8906972369584679	2	3	3.557736000445294	134.82327884828337	64.68922525935884	312.55052056661117	83.59766592696117	82.8550111319769	79.06056562441229	70.91491310890511	78.64583417648765	73.36937209868442	124.85708168489501	134.82327884828337	77.74521481781997	122.6122217100607	122.98626785836416	84.8851997835786	125.39778637603258	78.17498573711025	125.81627187577638	77.5345774707095	102.25203808136538	72.20454676637124	85.19326701650111	114.47123359965504	90.35112950889496	113.32318241553259	108.84014081107712	125.58668067017756	124.8583780544983	86.25601696353564	83.9453398054093	68.41429535759407	71.98590359135899	87.35611879855492	84.85666675985395	124.59092209855694	125.29245370579004	98.58604266602975	89.21968957994177	72.38337791194057	66.51576802953996	82.24916751100332	77.88650031636199	68.89705265374464	77.21670021717993	72.04526048927256	124.18317090703981	134.56109141868714	77.26570263439078	119.46030703662461	122.55154644333929	74.99769915867373	119.9982620966611	76.55884330491917	121.56156642550184	77.36307968507754	67.90037130140504	64.68922525935884	82.14598786994092	66.65154371238457	66.37889006497018	108.9759020897726	108.46828197386733	120.89271254697809	123.62737074667064	66.01997821561434	81.30442117416344	68.1110652682393	70.57330922213053	65.61399097924951	66.49250449138502	65.53871259926565	119.29080506594534	98.1586876636224	88.80537471388479	67.74229853922017
45000	-927.7893798244056	-43.29924423937972	-682.1474365325375	-202.34269905248834	1.5113763324962792	0.6846422170254902	1.37011898717319	0.3043475133530211	0.038574935995182275	0.37522640050586525	0.1463640320416486	0.06140780970459256	0.12946166038219592	1.0232034911781616	1.5079063081989348	0.7391786329637366	2	4	2.894302324546271	134.82979665777322	64.40640997817215	324.5701923631226	85.6417150414326	82.94457710281401	78.57196649450695	69.1988927302328	78.3402184339209	73.14515942245566	124.63827557366334	134.82979665777322	77.72758702093357	120.34764778775374	123.9417144731388	86.30300325137266	122.94855319637608	77.4440535648623	123.94187821778982	77.93376313150044	99.08016312225477	74.59536181601229	82.99723007669168	117.76575985008876	91.37700580455731	112.32719204598826	109.04543311452386	125.67659972910165	124.12256697500635	86.7350863296681	83.35406718170444	68.60967864801479	71.35651957602717	90.87901105685661	84.46920693040265	124.42384332031335	126.18138052343248	98.4701488089871	89.37987044162742	71.91348583423932	65.70432411315633	79.89357792026956	77.96427086575412	68.31930585564187	77.36074486559363	72.18591509427297	124.25035772318994	134.43410708099043	77.10312162158594	119.25421294184082	120.34409284894808	74.25395916704157	116.15522220536138	76.4844931935516	121.32751935944482	76.29331397411174	66.43729681077713	65.44335592678716	82.53697686908086	65.09286253253745	68.61350035004794	108.37469368444488	108.06785822498004	121.43008110227771	121.83311886346974	64.40640997817215	82.70331428454207	65.57413831887706	71.02000424365583	64.95146502247978	66.32984531786964	66.33457070651609	118.04473179080858	96.84189398742716	88.83797589440219	71.88558818299437
