Species	Status
Albertavenator_curriei	extinct
Almas_ukhaa	extinct
Archaeornithoides_deinosauriscus	extinct
Borogovia_gracilicrus	extinct
Byronosaurus	extinct
Byronosaurus_jaffei	extinct
Daliansaurus_liaoningensis	extinct
Geminiraptor_suarezarum	extinct
Gobivenator_mongoliensis	extinct
Jianianhualong_tengi	extinct
Jinfengopteryx_elegans	extinct
Latenivenatrix_mcmasterae	extinct
Liaoningvenator_curriei	extinct
Linhevenator_tani	extinct
Mei_long	extinct
Papiliovenator_neimengguensis	extinct
Pectinodon	extinct
Pectinodon_bakkeri	extinct
Philovenator_curriei	extinct
Saurornithoides	extinct
Saurornithoides_mongoliensis	extinct
Sinornithoides	extinct
Sinornithoides_youngi	extinct
Sinovenator_changii	extinct
Sinusonasus_magnodens	extinct
Stenonychosaurus_inequalis	extinct
Talos_sampsoni	extinct
Tamarro_insperatus	extinct
Tochisaurus_nemegtensis	extinct
Troodon	extinct
Troodon_formosus	extinct
Troodontidae	extinct
Urbacodon	extinct
Urbacodon_itemirensis	extinct
Xixiasaurus_henanensis	extinct
Zanabazar_junior	extinct
