it	posterior	prior	PP_lik	BD_lik	q_0	q_1	q_2	q_3	q_4	q_5	q_6	q_7	q_8	q_9	q_10	alpha	k_birth	k_death	RJ_hp	root_age	death_age	tot_length	Albertavenator_curriei_TS	Almas_ukhaa_TS	Archaeornithoides_deinosauriscus_TS	Borogovia_gracilicrus_TS	Byronosaurus_TS	Byronosaurus_jaffei_TS	Daliansaurus_liaoningensis_TS	Geminiraptor_suarezarum_TS	Gobivenator_mongoliensis_TS	Jianianhualong_tengi_TS	Jinfengopteryx_elegans_TS	Latenivenatrix_mcmasterae_TS	Liaoningvenator_curriei_TS	Linhevenator_tani_TS	Mei_long_TS	Papiliovenator_neimengguensis_TS	Pectinodon_TS	Pectinodon_bakkeri_TS	Philovenator_curriei_TS	Saurornithoides_TS	Saurornithoides_mongoliensis_TS	Sinornithoides_TS	Sinornithoides_youngi_TS	Sinovenator_changii_TS	Sinusonasus_magnodens_TS	Stenonychosaurus_inequalis_TS	Talos_sampsoni_TS	Tamarro_insperatus_TS	Tochisaurus_nemegtensis_TS	Troodon_TS	Troodon_formosus_TS	Troodontidae_TS	Urbacodon_TS	Urbacodon_itemirensis_TS	Xixiasaurus_henanensis_TS	Zanabazar_junior_TS	Albertavenator_curriei_TE	Almas_ukhaa_TE	Archaeornithoides_deinosauriscus_TE	Borogovia_gracilicrus_TE	Byronosaurus_TE	Byronosaurus_jaffei_TE	Daliansaurus_liaoningensis_TE	Geminiraptor_suarezarum_TE	Gobivenator_mongoliensis_TE	Jianianhualong_tengi_TE	Jinfengopteryx_elegans_TE	Latenivenatrix_mcmasterae_TE	Liaoningvenator_curriei_TE	Linhevenator_tani_TE	Mei_long_TE	Papiliovenator_neimengguensis_TE	Pectinodon_TE	Pectinodon_bakkeri_TE	Philovenator_curriei_TE	Saurornithoides_TE	Saurornithoides_mongoliensis_TE	Sinornithoides_TE	Sinornithoides_youngi_TE	Sinovenator_changii_TE	Sinusonasus_magnodens_TE	Stenonychosaurus_inequalis_TE	Talos_sampsoni_TE	Tamarro_insperatus_TE	Tochisaurus_nemegtensis_TE	Troodon_TE	Troodon_formosus_TE	Troodontidae_TE	Urbacodon_TE	Urbacodon_itemirensis_TE	Xixiasaurus_henanensis_TE	Zanabazar_junior_TE
0	-930.7948627408625	-18.744274342137587	-684.7063943568367	-227.34419404188827	0.6477112471042279	0.6477112471042279	0.6154240594142858	0.5571366498306748	0.6477112471042279	0.6477112471042279	0.7018428005549208	0.7491710857787914	0.7718356694122219	0.6477112471042279	0.6658714708300844	1.0	1	1	1	134.80110599151428	59.637322196524444	279.9506629593454	84.02456617009541	82.64543856569588	78.67889475178603	69.09376808327612	77.57560381288323	73.39281379499387	124.65852328312874	134.80110599151428	77.53024537957215	119.77514039349522	122.96205717824782	84.48255943763773	121.58489394011222	77.43624702190003	125.47378881996852	77.51677204703171	97.9477720211165	72.05111103002307	82.93192027219666	105.02855011617915	85.5932756420631	111.82058171728384	108.78925134826169	125.9622667379916	124.1443268399675	85.40293933233349	83.14019219181027	68.23790787827473	71.38124700179803	85.03247891711449	83.7653677819755	124.82688113728817	126.13044449616878	98.32577392735246	89.04346455584992	72.01544998940469	61.28308816346062	82.33166185283049	78.36722224964099	68.89192824657728	77.43680032916345	72.75118457217813	124.54535001868716	134.69148887808524	77.3497057077266	119.66618526895087	122.65149438553871	72.7394690619415	121.39748839056658	77.29913467536788	120.24788820597517	77.48531361329495	59.637322196524444	65.97011066107063	82.522709106676	61.71157157270018	64.49952730767639	111.76128565336337	108.58184243051812	120.12088489487456	124.0379111203618	66.03188731362863	83.07182549073208	68.06202902677629	71.14698419543694	65.81973867216894	66.38489900002679	66.22295815139105	119.33046921744459	98.31556743127283	88.9940542025528	71.89397738126509
5000	-974.6086554605139	-30.340628130810163	-723.0358752424503	-221.23215208725344	0.5793280388329975	1.1460675383689332	1.0578201722129377	0.37657419420582816	0.36162750306094527	0.7823703653036266	0.9606377489185621	0.8064503339486978	0.5409931572829688	1.088116318417095	1.2351899799390589	1.1687493914095803	2	2	1.1247372123819555	134.9204119358075	59.26368069929816	327.02672961127746	84.92096773138245	83.19089262483861	78.57398199697637	69.20672711740772	78.58960811646928	73.30277949365849	124.87362593534432	134.9204119358075	78.32666276495088	119.96654188420686	122.75374995831565	84.95966521686391	121.6037898655397	79.05115718769741	124.64281072209751	77.6228401931278	98.99493511647361	72.17222495071785	85.62878308972005	106.25583076336237	85.25166883232606	112.36703124459034	110.07414874102021	125.59932893785322	124.33122680693664	88.15379553497002	83.47524265086697	68.73687585758391	72.36070040188342	84.13169193107386	83.94614803456975	124.68222904264434	125.75150021218512	98.3598021150981	90.98803786346937	77.44428353981034	60.82068869113984	81.75096750074351	78.48741932620729	66.27451035841425	76.54748041041567	72.47911173027357	122.94437650688954	134.3832632876446	75.9369639995317	119.40717075813106	122.65804468044496	72.08389279761145	121.34366192594867	76.31101087420137	120.77640246095086	76.3191999643432	59.26368069929816	64.95509481383617	82.69689304996628	61.52639973201363	67.45029623314457	110.49346827509993	106.00728306712334	118.69467191247004	123.36943477314121	66.08834782938816	80.8237558848306	68.11913066482627	70.99265289423649	63.99810524947002	66.08102165119456	65.19401734182429	119.27209814363894	98.27444553772463	85.53000196039785	70.83000381404582
10000	-953.7646732315383	-35.133764520691436	-709.8195288965888	-208.81137981425798	0.9184560718185958	0.7578127217965854	1.6968443360570287	0.4514797200298438	0.13144028658871512	0.4907737710731407	0.376445483782478	0.4788108005332516	0.34446716878522154	0.9596657000740391	1.5586126547986976	1.0648951340685529	2	3	2.493931977266332	134.7432816352186	62.03180186155453	332.547778027564	89.21335534462281	83.20622723129375	79.63851669231035	70.87812035530769	77.87106661032954	78.25675149901488	125.23989797493732	134.7432816352186	77.48818780968386	119.89752441183995	124.73130476021913	86.99709395738516	121.79051038282364	77.85854454674397	125.22756092639104	77.5267442621335	98.92924057148463	71.82032809896057	83.06606753841686	108.29794303563442	82.64483028296458	111.8982360515145	111.22994967635987	125.63772624625325	124.66251227565974	84.40010133013119	83.22001452032428	68.6323529524825	71.22514423029891	87.46001978327308	85.17385031933719	124.75746848953335	125.85137748555009	98.40456881884397	90.29544980553803	72.97316770559816	64.82116124827489	82.37479059749958	77.83217991431164	64.51188320293606	77.10250683059047	69.21284896503093	123.70387673813421	134.51023813044134	76.27731006161645	118.53810630673223	121.52794051325336	73.7439535557982	121.43353437593643	76.4336981850102	119.68498115625641	77.49530311724727	65.89188275859424	64.42627206091593	82.45777698825214	62.03180186155453	68.11824521429126	111.55317073772122	97.92279982302091	119.2791613080878	123.60012920952101	66.07367607971011	82.15757299184561	67.52716176063983	71.04416688830212	65.491730361266	65.73228060099298	66.32212928755554	117.51040340730957	97.84925892948449	83.49891065846852	70.90441576424689
15000	-915.4283434718068	-37.70644237574375	-680.7335575887241	-196.98834350733887	1.040670540188799	0.7811142274166698	1.5430821971625954	0.3260802954412134	0.08063321670303783	0.3929738428017618	0.2975104227726469	0.621637972019036	0.139474282668594	1.0807531602464653	1.3186471050909547	1.204589962475967	2	3	1.131854405828491	134.70424212949598	65.41566479817051	307.1060233507572	88.00564582328435	82.6365521832761	79.92665468552718	69.57974798702956	78.91751301689195	80.68518711146756	124.95407044478505	134.70424212949598	77.71093455315021	120.08065094075258	123.28369592785197	88.3126913557374	124.55370784824663	77.44866805563086	124.46991280336533	77.61866700760605	99.4492411959576	71.30085285882528	83.43604869071405	105.5435964694576	82.53527173023696	112.01991306944365	109.61492225233874	125.77124192101506	124.26494381849504	83.65061770550805	83.83364682584352	68.30138826289955	72.1152154580464	87.63236788916743	86.10353138110514	124.78940887150449	125.310118063697	98.54283195011098	92.29125982188839	72.22732673747069	66.8064831452471	81.85498220196476	77.92582604985816	68.84596183731387	77.05622479253823	69.35044180840461	124.12992608775015	134.69503625611014	77.17081479882737	119.30812620249465	121.16409327530445	73.83082126016396	120.07719357318582	77.07770174083568	121.54791322048833	77.38072602280467	67.25154191274888	65.85654449503343	82.88402032065318	65.87025893646546	65.41566479817051	111.51824784616366	105.29903868555272	117.75976664926226	123.36161457687872	66.02596321559402	82.78697345281063	67.72606343652072	70.66266630610713	65.80146115228995	66.4644763199847	66.49095026191118	117.04505447610006	97.89641138390074	88.95989455436784	71.21737844325943
20000	-911.0286345700316	-38.88905086526151	-682.0303054597543	-190.10927824501573	1.3893675032779604	1.9863865666184657	1.8950441526231505	0.21315020268071086	0.06474878597856015	0.35808526547254715	0.1930984543976615	0.4875814618654832	0.13605328913715034	1.2103845443902674	1.5696164664801153	1.5560399449135154	2	3	2.047797538640986	134.95332187927642	65.72375767323882	316.7219945424612	85.76409119237677	82.48128520232441	79.92457712198345	69.22713787260396	77.86268138370184	77.31503435049534	124.59242461304379	134.95332187927642	77.39948015371336	119.80353502280259	124.1640686774519	95.29334692677257	123.35820184410392	77.4260736749212	124.02049785048177	77.52344171531475	99.19069786704686	72.16668544131666	83.74343279260074	107.21999733165288	85.0615689948743	111.82591719531924	112.48673561850623	126.01533999803503	124.4038735792446	84.16754838650282	86.90674936243005	68.72317348505841	71.51899905469816	84.18269807024997	87.64623062723577	124.65470090659375	125.44229497051282	98.39883528594589	89.23958656674965	73.9473141820059	65.92389392288943	82.04296728248032	78.38015409334076	68.84639496380349	75.8497605901216	65.77631918734738	124.5086273592463	134.58398962890536	76.98142560779283	118.58153237879017	121.50387683265312	72.24040071780607	119.59966919523589	77.21420579467484	119.81991311349468	77.27748708673657	66.36065917464236	65.88478331066449	82.91082424312143	65.72375767323882	66.06197996160049	111.33106062476321	107.63162113285821	121.28761461312621	123.86535952439257	65.76876623589976	82.12867086885153	68.21661340088885	70.73319582281255	65.85814419408298	66.30128513467905	66.2147216537002	118.19722371238434	97.61716220202204	88.94412513673974	71.16139827969887
25000	-913.5838764144578	-43.52082111457367	-678.0413460709767	-192.0217092289074	0.6660819004635997	1.5077648727728958	1.9016577395975083	0.2165670884464621	0.05200662723095644	0.2674770285765436	0.23949834833133757	0.9523027525146657	0.17718225588047729	1.2186147808649908	1.3362563237555833	1.1337859854961418	2	4	1.8780296062587776	135.28894717287133	65.3847681497173	300.8985853368038	83.58845138685837	83.17440671827927	79.2812207499685	69.56317249956533	77.49690299952063	79.04590273558205	124.64022496267019	135.28894717287133	77.4499521448746	120.01921543692761	123.72923545022232	91.54005586332761	121.98103654713861	77.56326661887033	123.77044724592619	78.02217409407316	99.61793595002453	72.0855859409056	85.14562442700388	105.58767942241977	84.88535849519482	112.04747433273899	108.70799087527838	125.87262960118473	124.43885522361697	85.8429381797862	83.8404777880528	68.2419162842036	71.21300448077827	85.7290275835553	84.62942190409808	124.25178952926949	125.25216201464983	98.367344781389	89.07732578948314	72.25972963698315	67.08041154595239	82.01126374253516	78.11054114539662	68.56957490515045	76.66846280902914	65.83253524134155	124.56557967665758	134.22508630986547	76.80565323402811	119.65269384250476	120.71721359708229	75.18461203491516	119.66958072680916	76.36811957909164	120.67073916951975	77.0223896645057	66.07810800433528	65.3847681497173	82.0275623878119	65.91767068023387	65.59449515847321	110.18968752392765	108.36625920732067	121.07151347179965	123.35340933507264	66.0098418826156	82.76564205570608	68.2347048313382	70.0051813007212	65.89346838562105	65.99422438992602	66.38706722678555	118.20940280164683	98.22054233871458	88.63621984220744	70.85607333212916
30000	-902.4362974545902	-45.0679085342431	-680.4672680870292	-176.90112083331792	0.5211915711953805	1.2725824378566064	1.8443648361906517	0.35501547959822877	0.07041707014675905	0.2968845894527073	0.2639021876909585	0.6848901878542559	0.23096037225376487	1.0060211489501816	1.6384702828931081	1.087194665092378	2	3	1.346681434969252	134.75598844992447	65.4478156877238	296.1473869247884	84.00712797535809	82.74794100491334	79.9380256537163	69.06085474303408	77.48725799818779	75.0008550506047	124.64001442955359	134.75598844992447	77.52190465182174	120.08348862670803	124.04877138488906	91.06665388045066	122.47059155201202	79.26355906474791	124.06911153480867	78.27797112898746	99.66220851726908	71.41071491064534	82.95714283403785	103.60051847937183	85.87282679266315	113.46135404550465	109.06322481083444	125.6053191552025	124.4403455500229	83.6701425455853	86.55843928152854	68.57250630096924	71.77550602971685	84.85228203915516	83.99908169061698	124.31654246601352	125.27646919432085	99.69139087004244	89.28238069633272	71.94167444317006	67.11410296800962	82.07843873310208	76.38694750680776	67.81543754375566	77.46630143638002	66.60340578165223	124.574079482121	134.69766925764145	77.35339546544954	119.19008965763355	121.57238948388486	75.46837172891722	120.0147986280811	77.1859658509327	119.71236035865405	76.5270921509233	66.08157568280977	65.7748821121612	81.02303913695033	66.02917910410923	65.90215737769866	111.2668154407453	108.66867542135991	121.18360165641899	123.78766880574415	65.4478156877238	82.82026645566889	66.06420732268145	70.70637500248502	65.97373481918082	66.05845182805523	65.98806416318284	118.90572546448085	97.95572632207897	89.03247793118365	71.8715150892677
35000	-908.0405197567659	-39.42646725964845	-678.0377960529614	-190.576256444156	0.5842475545333984	1.2347667907186592	3.871363801198098	0.2632860985518227	0.11606090271303869	0.23026230996484057	0.19634062148158854	0.33654024810678973	0.21863768600838693	1.0306221534606335	1.3051192999867824	1.15009198582864	2	3	1.4444059810678918	134.81526896443387	65.81994340042733	302.0880489568437	83.59013847891127	82.48900682825241	79.64010632196184	69.04325757801217	78.10180015174554	77.97481836345058	124.6701591702533	134.81526896443387	78.2740669217115	119.70569520307932	123.885649455998	95.53124703458465	122.18499415790198	77.44618305405507	125.0878774966368	79.19355312212932	97.95566064387292	73.08481597204198	85.36456509321131	102.91017933481857	84.67462669642852	112.1633533562235	108.92248536971407	125.53178477516825	124.15337326667971	83.90057482868212	84.27940372287789	68.4887475424798	71.46795571766575	85.14633237082083	85.9372265635858	124.50630692467331	125.46844431846347	98.62476727860414	89.67780429781918	72.7308202423835	65.85450973010133	82.39550216039969	76.6700927076585	68.56813259139692	76.97011467258316	66.10123964136667	124.50884045587877	132.9204659474779	77.09492963941624	119.5497029757515	122.31253157349111	74.41103066818326	119.67088952649763	77.19892272637006	118.97246068514764	77.36301543232426	66.05039714157468	66.11349574348687	80.85400207373694	66.90417439329906	65.81994340042733	111.7762690705874	108.63821919762408	120.96037802755963	124.00963919942883	66.09717902343994	82.67678433843207	68.05630886084623	71.09952446560011	65.8883931569799	66.23120668575322	66.02693776482118	119.13679295722838	97.63754823698058	88.46610203829118	71.5293247523463
40000	-924.5224956547054	-42.019095737157116	-695.0394451737311	-187.4639547438171	0.26092682142448625	1.4635964647826476	3.8118689590046513	0.21623376969960892	0.07055529838768555	0.26133573558028295	0.19757726448693028	0.38173528517462396	0.269292528690198	0.9357193995124744	1.0572068549741127	0.7160929934855628	2	3	1.5543874882160411	134.88387366101998	64.62111341893291	324.8837288546206	83.48871302124331	83.44201874780738	78.6267162854778	69.3853036195006	77.86543465438314	75.85622774076448	124.90241271868038	134.88387366101998	78.66838204105412	122.58812142825703	122.73281965776485	98.42809607190756	123.53899654699963	78.93172190844926	125.01081468127256	85.42517449896721	98.18122082240711	71.4577342463939	83.26129908515429	108.74067169100982	86.66213308386662	112.76677693445377	108.87572494570948	125.58197793991444	125.2180090217176	83.95358343427505	85.09937421577882	68.80484477103651	71.87965808604264	84.91356689514794	84.57169446968378	124.91387016062487	125.38782832877365	98.65925962423469	91.64595466339539	71.95443055923862	66.31998263768281	82.1016978168379	78.53394621638732	68.53049356279	77.41860302897994	66.40478200138301	124.31975334355626	134.2793937709557	77.33835830294582	118.7765368277202	122.04031853041741	72.73687209140544	121.14105727843278	77.29417320041601	118.02327480831711	76.79307259203613	66.471061938749	64.62111341893291	81.71778347896665	65.99580082707068	67.65412048491248	111.13935519862355	107.58048436992124	121.24198828918621	123.7378199388336	65.43525290586618	82.9182865283743	66.46579860116131	70.91564098682115	66.00767295811256	66.44318672207613	66.43602048487587	117.93157810117664	97.13285166543257	87.70274959207059	71.81982890636023
45000	-932.2129373574692	-39.043831355582995	-698.0354828122391	-195.13362318964698	0.28765878004607887	0.7606226649675065	4.04196391316732	0.11203593790683626	0.026698125958563745	0.18191165397633385	0.46874063161277535	0.5895514919651411	0.3542774732128783	0.7726081466978348	1.0416806483484407	0.8801028384994569	2	3	3.007637600592659	135.47347227964747	64.78058204569159	324.01063341767383	84.71637510246273	83.32407516261858	78.87827291211268	70.30258118858694	77.6047260622664	76.1489273195449	124.64228247086002	135.47347227964747	77.40679465051356	119.69386805530027	122.95694756886226	98.50214235798877	121.62497970948307	78.39219126855112	124.1158075967668	87.55495072189878	100.22455076892847	73.4514264024315	84.27902267855069	107.34683628577613	82.39420333699614	111.81756169219182	109.72739040140561	125.57768675437161	124.40774381555863	85.17726238707944	83.67186323430711	68.57574908429481	72.50726362903407	84.49504166885252	83.56120968257896	124.51634783955002	125.29003356212081	98.353437804833	91.57308957409653	72.38286081717996	65.57660203386814	82.35145780649472	78.05577217744755	68.41331538501885	77.47619278086601	64.78058204569159	124.59016864247849	134.14912969563125	77.12031310670254	119.6744685467572	122.20402039452532	74.039721541617	121.31609960778772	73.09455706267573	120.30321436163251	77.42159008344666	66.43187615078598	64.87639110578849	81.1291911805887	66.51263899046073	66.35991473318553	111.56903351751743	108.11554646943816	120.17790769216104	123.54099555214674	65.14959382652393	83.11641996600903	66.23656997824317	70.90985366754342	65.68190414824775	66.32573569844227	66.22453625924081	118.42852750909644	98.1091579232777	85.69063163524221	71.50471115334753
