it	posterior	prior	PP_lik	BD_lik	q_0	q_1	q_2	q_3	q_4	q_5	q_6	q_7	alpha	k_birth	k_death	RJ_hp	root_age	death_age	tot_length	Albertosaurinae_TS	Albertosaurus_TS	Albertosaurus_sarcophagus_TS	Alioramus_remotus_TS	Alioramus_sinensis_TS	Daspletosaurus_TS	Daspletosaurus_horneri_TS	Daspletosaurus_torosus_TS	Daspletosaurus_wilsoni_TS	Dynamoterror_dynastes_TS	Gorgosaurus_TS	Gorgosaurus_libratus_TS	Lythronax_argestes_TS	Nanuqsaurus_hoglundi_TS	Tarbosaurus_TS	Tarbosaurus_bataar_TS	Teratophoneus_curriei_TS	Thanatotheristes_degrootorum_TS	Tyrannosauridae_TS	Tyrannosaurinae_TS	Tyrannosaurus_TS	Tyrannosaurus_mcraeensis_TS	Tyrannosaurus_rex_TS	Yezosaurus_mikasaensis_TS	Zhuchengtyrannus_magnus_TS	Albertosaurinae_TE	Albertosaurus_TE	Albertosaurus_sarcophagus_TE	Alioramus_remotus_TE	Alioramus_sinensis_TE	Daspletosaurus_TE	Daspletosaurus_horneri_TE	Daspletosaurus_torosus_TE	Daspletosaurus_wilsoni_TE	Dynamoterror_dynastes_TE	Gorgosaurus_TE	Gorgosaurus_libratus_TE	Lythronax_argestes_TE	Nanuqsaurus_hoglundi_TE	Tarbosaurus_TE	Tarbosaurus_bataar_TE	Teratophoneus_curriei_TE	Thanatotheristes_degrootorum_TE	Tyrannosauridae_TE	Tyrannosaurinae_TE	Tyrannosaurus_TE	Tyrannosaurus_mcraeensis_TE	Tyrannosaurus_rex_TE	Yezosaurus_mikasaensis_TE	Zhuchengtyrannus_magnus_TE
0	-1894.0718870350167	-17.13722703742089	-1696.7820889480713	-180.15257104952457	0.8198030817218573	0.8198030817218573	0.8198030817218573	0.8198030817218573	0.8198030817218573	0.8198030817218573	0.8198030817218573	0.8198030817218573	1.0	1	1	1	122.33481815845214	65.29358885847736	257.6163383168519	76.91039682784648	83.2340811957769	80.99973918759824	71.00847702313158	71.79304207593093	82.42498102833845	84.27449203947803	84.38748236769428	76.41251579645838	77.52532261882577	86.04620994783889	85.90315548374194	80.10583818390012	69.11333500206591	71.76788526993144	89.71620022288597	82.24316623534595	84.42848652039288	122.33481815845214	83.12283064494129	81.751705623513	66.81909927740045	81.58810729094083	85.80128943315022	75.79203477754886	76.76813255639844	67.51245314824816	66.35395933877925	66.2790092384649	71.77920677694117	65.29358885847736	72.7076765282307	71.39266963875112	76.26816890881032	77.18548366193241	66.11820839817563	71.15681072634479	80.05101941839742	68.7609812852477	66.27893127792805	65.55020337748759	70.87222034495022	79.46804755096991	66.18377425301075	71.96668840956401	66.09665832818618	66.5783370219545	65.99495956817219	85.66931383551893	75.6018514653353
5000	-1656.9319626858723	-25.415350082364746	-1470.2166792647404	-161.29993333876723	0.36868566081421583	0.6106497580370789	0.3817944532160075	0.8467793670290941	0.3288751341041841	0.815208562907139	1.8415852738416794	4.3906032230933105	0.3673876129589807	1	2	1.2065737317207146	122.39492701656779	62.831273546664946	269.83644080178993	76.90596337551155	83.07958614601814	80.96544454264662	71.5907190361742	72.42390714352533	82.49812470870054	83.8061667951417	83.62130406897471	76.39394960097647	77.22856288122483	85.27662245849115	83.04182026056671	80.1014186777944	69.1303113860859	71.53227424056834	90.03256866204147	86.28614295768884	86.53448468441393	122.39492701656779	81.96392659336219	83.00112624613736	66.9675587083	81.57430187228569	87.62575515150631	75.83685560471676	76.7930541746142	68.05043987830835	65.86874878573929	65.2583161950005	71.50572372506905	62.831273546664946	72.48374157825084	71.41354971431552	75.66612580463692	77.21737138308964	68.7432297675911	71.75049703060503	79.92112525217108	68.9900220949725	66.2917008560763	65.79653181494513	66.44153874308148	78.30259951745558	66.1929541258483	71.86902972417761	65.9858193298963	66.41220043059134	65.94315400129486	84.7209461260687	75.52768841716643
10000	-1615.0535937265693	-29.865541921557046	-1420.7312497121313	-164.45680209288093	0.21592461813598993	0.12561103279755378	0.409190078410854	0.6496777238091462	0.34531170686388496	0.6199240906031278	3.199695253325077	6.202434342618778	0.6204021690094033	1	2	3.3422701451952936	124.492655525235	65.89736787560116	274.88813055489004	76.8348259885331	86.0537564626578	80.60429859733529	71.1497386372355	71.82326871984678	86.12578080467581	85.63785770355426	82.80553909637268	76.61571878475638	77.23757786672732	86.9993910923384	83.13231725071581	80.71497203983407	69.10992057834171	72.16687803660403	91.88476558331855	85.54587959470365	89.30433514296179	124.492655525235	81.77202010145255	82.24058660214288	66.72574352086572	81.42241591263584	86.39573011031138	75.91658428943016	76.70453314412237	66.70352209580244	66.13799600847865	66.13063041576075	71.62849201999241	68.21839147444751	72.90921502706827	72.20497896651958	76.283676164941	77.18697244782545	67.95568371739583	72.23798868660778	79.45980774420302	69.069160224836	66.19585215254081	65.89736787560116	68.12947504859555	78.55294284752203	66.01211210137868	70.39148981007577	66.14733486455542	66.63360865400055	66.02477749031887	85.59447252932472	75.41394597578183
15000	-1611.5562459679095	-39.83376884921702	-1422.4259254402928	-149.29655167839974	0.19992812336484714	0.11160937069606557	0.2506775496643246	0.49387153493277053	0.14929176787845075	0.9587628576284629	3.5600897807194345	5.653017568861465	0.6168137098653506	3	2	1.488349229155624	123.13872078181602	65.44004730032768	279.2144619014615	76.89884281275889	86.18515015413743	81.68966190714762	73.18741545722436	71.95273417414494	82.6059358860502	84.97297158191112	85.71884177003945	76.44918105450681	77.82796473450503	82.44828554047396	83.16972062240576	80.16673929340304	69.1461869631438	71.59774396420887	91.62774510305016	89.21198058123434	90.05700506884249	123.13872078181602	82.52884014024671	82.3982964197843	66.78633751236421	81.5443105714834	87.84584885695286	75.81598220830125	76.76635586096033	66.70620449673531	66.16809364746958	65.44004730032768	71.63745989560095	66.80045673348884	72.31290417760952	69.85922115800237	76.0671253855848	77.16295015426851	66.81169856835311	72.31727147481496	80.05693150971082	69.05452688512632	66.0755329523101	66.17734383722915	69.584192211586	79.76988885228947	66.17941143571926	71.895766542559	66.04649620729153	66.63841955241178	65.72609756298733	84.97601585445892	75.5275690017799
20000	-1601.2367365220744	-35.07195055209814	-1414.5431481962894	-151.62163777368687	0.13837148578805625	0.12657386855107985	0.20419065799479835	0.5293319563030693	0.23976583791277842	0.6312142446658436	3.1514750187916794	6.572532577060338	0.6006619507286707	2	2	1.2194159165461622	122.29063289664307	65.94177612780844	278.2467633078282	76.85509849715257	84.58124574964437	80.8009647437501	72.86111313001815	71.90102022573119	85.60241923750252	84.07723305171585	88.00122311053877	76.36186252908912	77.75127910486846	83.74520398818312	85.44472426096243	80.61463829513076	69.10947530508412	71.91579938652828	91.81216225062347	91.76890247042505	88.86999730827918	122.29063289664307	85.10593554880165	81.6715024062798	66.73746468757706	81.47267996760421	85.88037297265056	75.8903509240115	76.7734852397379	67.61513322782133	66.4233752081847	65.99719825226462	71.72989353208015	66.6667892910653	71.38683059320626	72.07583632958985	76.34736260146967	76.93092889878976	66.32530201232406	72.561870456551	79.62246465704405	68.85286399258891	66.40776944032969	66.24966085296681	74.67093419616484	78.52056764421197	66.18883376651696	71.97989128450052	66.06946187695063	66.49300127803296	65.94177612780844	85.67579796138311	75.36951001938371
25000	-1591.8391002052233	-30.373063880362665	-1427.0339078373006	-134.43212848756002	0.1911835949267485	0.12243743741225249	0.3846954070019305	0.4731942352409748	0.27497483779537957	0.8186950914591613	3.000416844877932	5.65065122205992	0.5332546199763448	1	2	1.3584176124239093	125.31788121559848	65.99397522980195	288.73172823803105	76.80207788428423	86.5789529737581	80.9298064576212	72.50993947699287	71.80263179303321	82.9956048529221	84.6520809588674	83.29451448431315	76.79105287544564	77.33825012312354	82.12582923128186	84.5997915180964	80.20869431470857	69.24685789263519	71.96680213062801	89.97563974849976	97.57626000646908	88.47336166633157	125.31788121559848	86.69018141067289	81.90966577533847	66.79180891306068	81.79984010539972	87.29697129210979	75.75316412888922	76.69754597321561	66.39145430385693	66.16526164237948	66.2578045856213	71.74294984857505	66.23911227890225	66.32850337202564	71.26612778422785	76.30198292150877	76.92875004810826	66.38568212893485	72.03871740642776	79.80373392382704	68.86953970088102	66.41318909161055	66.29233794717558	72.654393567332	80.0315782284592	66.1803625365329	72.1202381251378	66.08194046127453	66.30231350807237	65.99397522980195	85.71146224906097	75.49697612910043
30000	-1595.9104605980317	-31.88845978460873	-1430.325735633993	-133.69626517942993	0.3347268217161523	0.06448270680638218	0.4477262392330554	0.513127524181778	0.32254648340629133	0.5956084918353638	3.2915789421748296	5.609537094057418	0.6196894964244896	1	2	1.950056017939132	123.41340220800902	65.5779935460212	285.2330260145938	76.91815512833445	82.9393099725731	80.7911964848558	71.53127380927197	72.04845212445073	89.2407013492282	84.30582154180732	86.14263595827639	76.65298306735899	77.80064621358247	83.7186530528887	83.50139385296119	80.0930893933113	69.16169633236039	71.65898124874975	90.93415222526501	94.2732469154361	83.92284815868946	123.41340220800902	86.15750709253533	81.88913124980712	66.9162447340919	81.73803494205276	85.73861677748761	75.85709397641837	76.78448623906202	66.3061743027705	66.33577918188877	66.13603151802305	71.4458006016445	66.29541121342672	65.99482430830074	72.17363161690155	76.18631160362504	77.12505987734592	66.30585106227828	72.23746221568864	79.87900022386249	68.89786360003714	66.31301361526631	66.10928358742831	71.77547941593652	79.73128312481545	66.1917254291367	71.06380117237994	66.07828096745243	66.36366005163582	65.5779935460212	85.39057291514277	75.4134604051388
35000	-1601.5620123171693	-30.685027330117506	-1423.1575598873749	-147.71942509967698	0.2943645120217622	0.1522314329705391	0.3268334268120095	0.4667355028096672	0.3757952245267445	0.6362951553474169	3.0592195826644426	6.001621226149962	0.6288001923850797	1	2	1.6131708715679935	123.16757557600425	65.61095534652623	290.3055681155827	76.84281472956467	87.44959348874389	82.42889583215133	70.93539545577296	72.14910886831787	91.60382622206907	85.48553819805026	85.47529992395602	76.35029271348814	77.63497402026744	85.25619629824126	85.57076030941501	80.6863110200281	69.10344589305102	71.89629418596358	90.00080317140656	93.81721488236022	83.64183631688994	123.16757557600425	82.44679276967462	82.79430284739301	67.1295781584094	82.08920729441188	85.91799139519414	75.66335378333031	76.78390276066611	68.07220765799006	66.02209997721263	66.02586052149982	71.62046139978331	67.43324520794782	66.40670970901442	71.67610117382607	76.33946087065077	76.60295598779379	67.64887396783905	72.54408676676755	80.01154978011937	69.07294864319663	66.33604382776106	66.24203710564065	70.96147617144487	78.02844603029982	66.19467351863379	72.29091403159659	65.79916570560859	66.31767820914517	65.61095534652623	85.57540506777828	75.61457579982984
40000	-1599.467571440693	-32.02139567312458	-1423.322285021667	-144.12389074590146	0.3146363741843403	0.09885436006168123	0.2735017428478372	0.42636085804868007	0.3673630707341688	1.323146577636101	3.297462516543	6.02458547310849	0.595700131270162	1	2	1.1708213041772775	124.02423186413058	65.98365702390063	273.7812807043209	76.81065916267427	83.09621156254431	81.1401085692503	71.82239416961521	72.62392843645931	92.49430390541193	82.55398818142307	84.51997985312987	76.4051653084289	77.81531008959112	83.60617831290804	83.01973138906808	80.65732828040304	69.09064766787206	71.73682643020908	89.87445846363575	89.19181659271462	85.94696368227949	124.02423186413058	84.40374314512273	82.33048924689973	67.0010142768291	81.60506701423617	86.10653758035517	75.71630564665078	76.75457482239776	68.09064397615079	66.17470534507719	65.99761566699846	71.514761492906	68.12707384271638	66.2790508436485	71.78490713047442	76.07596691116089	77.08100828096937	69.41171991759741	72.60301564645737	79.42614926463915	69.0701364391545	66.19891963003832	66.16718453100196	71.4674095817923	79.53919595619854	66.17847582752032	72.37495297086153	66.1294818658123	66.54763082818228	65.98365702390063	85.4786826396036	75.3551876922618
45000	-1614.7526407163832	-30.974927204189953	-1435.2231736637991	-148.55453984839414	0.27235240558810153	0.15080220097472002	0.4763569413447179	0.4606750996571231	0.2575241345385912	0.940212486766726	3.0747664143540607	6.0993039719218505	0.6447040871604724	1	2	1.6770548717202471	125.78598021220279	65.72133785693757	296.19709360398815	76.81555397765081	85.47006938001623	80.94598896666017	74.2340258239524	71.78763264137044	94.73601778382384	84.7688360428687	89.76858794410902	76.36602223356867	77.45769175683323	84.56919738956385	85.30018017413376	80.51518205426589	69.81890898834831	71.47180400763955	93.73305024062992	88.27469374628355	84.70218637683855	125.78598021220279	82.48179769825738	82.173997773319	66.77735799066691	81.44801949331723	86.60658401827183	75.79574174285587	76.39229889270403	67.91968118393808	65.96295687773318	65.72133785693757	71.70487100123685	68.19741854833494	66.18696972725236	70.22630679549985	75.52148486826731	76.68343509433782	68.77107312156772	72.43669737753099	80.00668732825982	68.92152568715176	66.05993447110782	66.07324284377783	74.51031547660118	77.34100074271943	66.17016281644193	72.06544723746808	66.1534727860108	65.92321941806098	65.8569350575117	85.41064386189392	75.39089578111371
