accepted_name	status	max_ma	min_ma
Gorgosaurus libratus	extinct	83.6	72.1
Gorgosaurus libratus	extinct	83.6	72.1
Gorgosaurus libratus	extinct	83.6	72.1
Gorgosaurus libratus	extinct	83.6	72.1
Gorgosaurus libratus	extinct	83.6	72.1
Albertosaurus sarcophagus	extinct	72.1	66
Albertosaurus sarcophagus	extinct	72.1	66
Albertosaurus sarcophagus	extinct	72.1	66
Albertosaurus sarcophagus	extinct	72.1	66
Albertosaurus sarcophagus	extinct	72.1	66
Daspletosaurus torosus	extinct	83.6	72.1
Daspletosaurus torosus	extinct	83.6	72.1
Albertosaurus sarcophagus	extinct	72.1	66
Tyrannosaurus rex	extinct	72.1	66
Tyrannosaurus rex	extinct	72.1	66
Tarbosaurus bataar	extinct	72.1	66
Tyrannosauridae	extinct	83.6	72.1
Tyrannosaurus rex	extinct	83.6	72.1
Gorgosaurus libratus	extinct	83.6	72.1
Tyrannosauridae	extinct	83.6	72.1
Daspletosaurus horneri	extinct	83.6	72.1
Tyrannosauridae	extinct	72.1	66
Tyrannosauridae	extinct	83.6	72.1
Tyrannosauridae	extinct	83.6	72.1
Tyrannosaurus rex	extinct	72.1	66
Tyrannosaurus	extinct	72.1	66
Albertosaurus	extinct	72.1	66
Tyrannosaurinae	extinct	83.6	72.1
Tyrannosaurus rex	extinct	72.1	66
Tyrannosauridae	extinct	125.77	121.4
Albertosaurus	extinct	83.6	72.1
Tyrannosauridae	extinct	83.6	72.1
Tyrannosauridae	extinct	83.6	72.1
Albertosaurus	extinct	83.6	72.1
Daspletosaurus	extinct	83.6	72.1
Tarbosaurus bataar	extinct	72.1	66
Tarbosaurus	extinct	72.1	66
Tarbosaurus bataar	extinct	72.1	66
Tarbosaurus bataar	extinct	72.1	66
Tarbosaurus bataar	extinct	72.1	66
Tyrannosauridae	extinct	83.6	72.1
Tarbosaurus bataar	extinct	72.1	66
Tarbosaurus bataar	extinct	72.1	66
Tarbosaurus	extinct	72.1	66
Tyrannosaurus	extinct	72.1	66
Tarbosaurus	extinct	72.1	66
Tyrannosaurus rex	extinct	72.1	66
Tarbosaurus	extinct	72.1	66
Tarbosaurus bataar	extinct	72.1	66
Tarbosaurus	extinct	72.1	66
Tyrannosaurus rex	extinct	72.1	66
Tyrannosaurus rex	extinct	72.1	66
Tyrannosaurus rex	extinct	72.1	66
Tyrannosaurus rex	extinct	72.1	66
Tyrannosaurus rex	extinct	72.1	66
Tyrannosaurus rex	extinct	72.1	66
Tyrannosaurus rex	extinct	72.1	66
Tyrannosaurus rex	extinct	72.1	66
Tyrannosaurus rex	extinct	72.1	66
Tyrannosaurus rex	extinct	72.1	66
Tyrannosaurus rex	extinct	72.1	66
Tyrannosaurus rex	extinct	72.1	66
Tyrannosaurus rex	extinct	72.1	66
Tyrannosaurus rex	extinct	72.1	66
Tyrannosaurus rex	extinct	72.1	66
Tyrannosaurus rex	extinct	72.1	66
Tyrannosaurus rex	extinct	72.1	66
Tyrannosauridae	extinct	83.6	72.1
Tyrannosauridae	extinct	83.6	72.1
Tyrannosauridae	extinct	83.6	72.1
Tyrannosauridae	extinct	83.6	72.1
Tyrannosaurus rex	extinct	72.1	66
Tyrannosaurus rex	extinct	72.1	66
Tyrannosaurus rex	extinct	72.1	66
Tyrannosaurus rex	extinct	72.1	66
Tyrannosaurus rex	extinct	72.1	66
Tyrannosaurus rex	extinct	72.1	66
Tyrannosauridae	extinct	83.6	72.1
Tyrannosauridae	extinct	83.6	72.1
Tyrannosauridae	extinct	83.6	72.1
Tyrannosauridae	extinct	83.6	72.1
Tyrannosauridae	extinct	83.6	72.1
Tyrannosauridae	extinct	83.6	72.1
Tyrannosauridae	extinct	83.6	72.1
Tyrannosauridae	extinct	83.6	72.1
Tyrannosauridae	extinct	83.6	72.1
Tyrannosauridae	extinct	83.6	72.1
Tyrannosauridae	extinct	83.6	72.1
Tyrannosauridae	extinct	83.6	72.1
Tyrannosauridae	extinct	83.6	72.1
Tyrannosauridae	extinct	72.1	66
Tyrannosauridae	extinct	72.1	66
Tyrannosauridae	extinct	72.1	66
Tyrannosauridae	extinct	72.1	66
