Species	Status
Albertosaurinae	extinct
Albertosaurus	extinct
Albertosaurus_sarcophagus	extinct
Alioramus_remotus	extinct
Alioramus_sinensis	extinct
Daspletosaurus	extinct
Daspletosaurus_horneri	extinct
Daspletosaurus_torosus	extinct
Daspletosaurus_wilsoni	extinct
Dynamoterror_dynastes	extinct
Gorgosaurus	extinct
Gorgosaurus_libratus	extinct
Lythronax_argestes	extinct
Nanuqsaurus_hoglundi	extinct
Tarbosaurus	extinct
Tarbosaurus_bataar	extinct
Teratophoneus_curriei	extinct
Thanatotheristes_degrootorum	extinct
Tyrannosauridae	extinct
Tyrannosaurinae	extinct
Tyrannosaurus	extinct
Tyrannosaurus_mcraeensis	extinct
Tyrannosaurus_rex	extinct
Yezosaurus_mikasaensis	extinct
Zhuchengtyrannus_magnus	extinct
