it	posterior	prior	PP_lik	BD_lik	q_0	q_1	q_2	q_3	q_4	q_5	q_6	q_7	alpha	k_birth	k_death	RJ_hp	root_age	death_age	tot_length	Albertosaurinae_TS	Albertosaurus_TS	Albertosaurus_sarcophagus_TS	Alioramus_remotus_TS	Alioramus_sinensis_TS	Daspletosaurus_TS	Daspletosaurus_horneri_TS	Daspletosaurus_torosus_TS	Daspletosaurus_wilsoni_TS	Dynamoterror_dynastes_TS	Gorgosaurus_TS	Gorgosaurus_libratus_TS	Lythronax_argestes_TS	Nanuqsaurus_hoglundi_TS	Tarbosaurus_TS	Tarbosaurus_bataar_TS	Teratophoneus_curriei_TS	Thanatotheristes_degrootorum_TS	Tyrannosauridae_TS	Tyrannosaurinae_TS	Tyrannosaurus_TS	Tyrannosaurus_mcraeensis_TS	Tyrannosaurus_rex_TS	Yezosaurus_mikasaensis_TS	Zhuchengtyrannus_magnus_TS	Albertosaurinae_TE	Albertosaurus_TE	Albertosaurus_sarcophagus_TE	Alioramus_remotus_TE	Alioramus_sinensis_TE	Daspletosaurus_TE	Daspletosaurus_horneri_TE	Daspletosaurus_torosus_TE	Daspletosaurus_wilsoni_TE	Dynamoterror_dynastes_TE	Gorgosaurus_TE	Gorgosaurus_libratus_TE	Lythronax_argestes_TE	Nanuqsaurus_hoglundi_TE	Tarbosaurus_TE	Tarbosaurus_bataar_TE	Teratophoneus_curriei_TE	Thanatotheristes_degrootorum_TE	Tyrannosauridae_TE	Tyrannosaurinae_TE	Tyrannosaurus_TE	Tyrannosaurus_mcraeensis_TE	Tyrannosaurus_rex_TE	Yezosaurus_mikasaensis_TE	Zhuchengtyrannus_magnus_TE
0	-2065.159662465083	-16.354134767918772	-1857.6695281487273	-191.13599954843676	0.4070353229016352	0.4070353229016352	0.4070353229016352	0.4070353229016352	0.4070353229016352	0.4070353229016352	0.4070353229016352	0.4070353229016352	1.0	1	1	1	122.29478535611618	65.3891887140554	257.65630097026695	76.81468034691126	83.03968313297004	81.29417724050091	75.63761212585445	71.81374676286211	88.51862717362148	84.14471737297686	84.25031938689425	76.39250656247447	77.30392359784571	82.27578429429222	84.69051508298622	80.08604293460128	69.11359192717909	71.6213153098121	90.89905373368597	82.05008593916398	83.24277720220262	122.29478535611618	82.81100239347441	82.39809657243929	66.76252784574815	81.41111900743687	85.83161754211004	75.74738207797806	76.7146946261507	68.07255433572281	66.28186997695	65.50759478686645	71.645120688576	68.04868521363198	72.60301285639407	70.08738377572092	76.33772739368929	77.09359466459307	69.94830682836049	72.53383393111494	79.95790860404769	68.81407555843192	66.13384874386828	66.15053088494793	70.88217153848932	78.90153170509844	66.18216596939953	72.40460423554255	65.3891887140554	66.63844886924714	65.65836417145614	85.27840857777191	75.52376330174408
5000	-1718.2619586310973	-27.315767038475997	-1537.0352038850901	-153.91098770753115	0.6693965561379194	0.249894699389748	1.0619225750890877	0.6539297931614445	0.21999998322054456	0.7161543213676815	1.3880227221714818	1.7871296338631923	0.3328459035750995	2	2	1.9720545933921683	122.68779200085866	65.70842885652125	288.1895868655792	78.76915955646764	86.89471206037703	80.67966230826151	77.66111560324556	72.19502541789117	89.53475045102459	82.85576690236324	82.95860753968165	76.62649852754038	77.59307005449882	85.57205801463861	83.33718896342212	80.2138073075939	69.13279244700229	71.45228912318137	90.54701260246239	87.47583227892628	83.71258705308117	122.68779200085866	83.06996574315863	81.68486032558297	66.85758020748273	81.6160678874923	87.24420180026148	75.9632250253827	74.89631813075296	66.49557646627339	65.75736946912124	65.80328069972796	70.33634874056627	67.23819281355043	72.50981471376217	67.22625035262944	75.98843809024571	76.6818635234493	66.92734411584455	72.22554561493645	79.82237664457843	67.00064023049298	66.33068895394045	65.83946451866476	72.64147768451028	79.86308887998659	66.0291212668628	71.81841375142443	65.70842885652125	66.291762292097	65.99753243619486	83.6070856535277	75.10961843663861
10000	-1615.010622547961	-33.85530507407063	-1437.1878782641838	-143.96743920970653	0.32811920542760226	0.23335493962898252	0.7084821837396172	0.9859698293393918	0.3319580070909479	0.674858622295303	3.062208722839564	7.634471113176549	0.6976151533713393	1	2	3.541022230470662	122.91662658934565	65.79186353398438	276.95255182794705	76.83257652711215	85.69298527034782	80.91995353392946	70.50480405290624	71.99236695562325	85.0078891551024	85.21402873784582	87.90776153199361	76.78977036696318	77.25241665092354	85.20731744081567	84.40919564127877	80.08672872839631	69.17529430992921	74.04586740483138	90.74276482236483	86.52605700453478	85.03684653012935	122.91662658934565	81.73913623178134	83.38893831864962	66.79910938886931	83.60816107064807	88.81087217814591	75.66890339463964	76.6434292652226	67.62309967485405	66.27932624361198	66.34031730676632	71.76493757291435	66.14059132343397	72.02449613955231	69.0659607824357	75.87236848885708	77.02693541814998	69.43326052467602	72.67184206291749	79.56958114993694	69.03722176117878	65.79186353398438	66.33204042902499	71.23365972423973	78.980037102551	66.17487246347336	72.18113608189917	66.07791259141379	66.37542824493701	65.98225255855026	85.08620059297039	75.6150489716087
15000	-1602.5715773392976	-32.21154009784163	-1421.433428006721	-148.926609234735	0.31394258156086546	0.0962521205421985	0.3612479805200422	0.7136214906457419	0.25797158320310104	0.7576374623713791	2.7070132973950267	6.521192299802594	0.8475797055950297	1	2	3.4491907131204855	124.06983920379602	65.77337706753556	270.2737604859297	77.04906590886702	89.49232634474724	81.03195084798801	70.83494171733494	71.86972246315906	85.31002003209848	83.06739202112459	89.07272540819014	76.429824748588	77.46224336245719	82.84713388006226	83.21079601469395	80.2620508403164	69.18930587476333	71.72590679360886	91.43033368583525	85.1924511610269	84.84341623910326	124.06983920379602	81.80769826416065	85.27754493311245	66.74163196334575	81.47846211037455	88.24505645109818	75.6661648365635	76.77828728471445	67.64812047661702	65.79631708404257	66.35735695705912	71.74121574125738	66.09442800258051	71.48831457136006	72.2652637662451	76.30943172904529	77.12443263955676	68.70779939326043	72.07972579743141	79.00219365293493	68.93392197489503	66.0762648549353	66.15156398689335	74.59967155125166	78.22897986454927	66.05772125703494	72.30617121635606	66.0797002630764	66.61292103193473	65.77337706753556	85.4684543855678	75.65261007035117
20000	-1588.9295979678964	-31.651504570729443	-1414.4984854927766	-142.77960790439033	0.14240713171360286	0.07443949071989521	0.6386352893635052	0.41264618364420774	0.6204562922291142	0.8982740192719972	3.458444489360964	6.486298772549524	0.836216272727289	1	2	1.0388939492348603	122.40717577485351	66.0028222743508	264.8040380335924	76.88540447179463	83.9766226207196	82.30718838803894	71.52794066851534	71.83659119746058	83.08429009042713	83.48672251123753	89.77256383174863	76.80061754844833	77.27218329264949	84.6556987873145	83.17043347739084	80.08604685724727	69.13015881167378	71.83525758367006	90.5033709638144	81.87971896715558	87.19647860802534	122.40717577485351	82.1934458187526	86.65756956601092	66.76136198497318	81.85335968100168	86.12950230567743	76.08098335878007	76.46315660996441	66.25798745513424	66.23160794855436	66.20257448061687	71.78176047542728	66.08555853017207	71.65981277174404	71.04697299949494	76.09494317962057	77.21254067773846	69.24036646697881	72.5433080777852	80.08049849532968	69.03593908024402	66.33429734965512	66.14028131100049	73.72218633976256	78.60995785300899	66.12588851983111	71.93732202407362	66.12555283933473	66.44881049719301	66.0028222743508	85.67345309441868	75.62904978235491
25000	-1592.9475397161295	-32.43067575426444	-1419.7295881617636	-140.7872758001015	0.10160822929367122	0.08648627520926377	0.5088313679493667	0.4349692656999124	0.3663375408438351	1.660340007293231	3.4833310172958845	6.589218491669474	0.9148995083144719	1	2	0.9909459512016694	122.60764154493185	65.98361872920752	271.9662775312622	76.86411781544969	84.72398851528025	80.95600742849076	71.37642229832058	71.78944935697626	84.19462573074341	83.94995977320656	89.01838562690877	77.02447314607868	77.23646760637311	86.91487622728069	84.10224470942754	80.19844795581861	69.09963971784617	71.46360359810602	91.42604284882808	84.15897632279318	85.33154082148896	122.60764154493185	83.61755835275288	88.7610976295864	66.94470328730092	81.39477397937738	88.11151825875822	75.66418479221727	76.34253585914881	66.21830190420198	66.23273639866645	66.30760452398611	71.74540952846048	66.36545393314985	72.05271895270877	71.98838203006774	76.20604646744084	77.0863755144675	69.09010356383887	72.64994334706917	79.95222276336543	69.05987729384366	66.1793546375328	66.18746969350518	74.22763761885552	80.01592104306154	66.12457999269664	72.26081346477699	65.98361872920752	66.37918339331053	66.00267411653194	84.66092577495277	75.64457926823293
30000	-1600.0609798993767	-36.45262944513011	-1421.270718407907	-142.33763204633965	0.12708966758209883	0.07188578749271186	0.5464815715526807	0.3397205156676198	0.37620539569110006	1.1352514602567572	2.942052238194775	5.9026499835350945	0.5927565370562909	2	2	1.0403518631848176	122.36966873597393	65.81774451402939	272.72512070654096	76.93260435008057	84.86346871074616	81.38121368955123	71.93606983048448	72.07811932879031	85.6812340457157	83.91054857431988	87.52806175033936	76.39197713942593	77.2881010816987	83.95602317120886	83.04394756493471	80.08196495178629	69.21593378125742	71.4328564451451	94.1358120099849	82.7135503035318	84.00371002434069	122.36966873597393	83.50083821492849	89.91157038882162	66.67408620327298	81.43076775919315	87.51403810062341	75.70968544210842	76.77053408864201	67.57460888700801	66.16505073267732	66.12254316667914	71.6711640079622	66.12272925973132	71.92050200823972	68.39916985934111	76.186895266609	77.00711477380035	70.01469328725545	72.570476401126	79.98548776372367	68.82614713871634	66.36080447203302	66.06982632873186	73.74395802637503	78.0870782463426	66.19053184693689	71.82210371300854	65.96863669584043	66.35541352686603	65.81774451402939	85.62791568758976	75.5796011924579
35000	-1594.6453932131308	-32.43076856339976	-1422.5622021946253	-139.65242245510558	0.20536279365419588	0.046752438452176096	0.3122070813341388	0.4815533142212169	0.39845054685292225	1.1009208164568567	3.2865990338294173	5.931569231970072	0.5976372444034531	1	2	0.6023709521641063	123.8674255836924	65.94715997889816	279.7341514464618	77.04190750175783	83.8765077306242	81.16866089375583	71.40566987829853	71.79179239393105	85.44966892078324	89.07414657742025	84.73781006786449	76.79746705972507	77.52104426040403	83.71169091511352	84.21447379242952	80.48565119510062	69.09492707522288	71.59133632283967	95.26031307701777	82.29245438800099	84.26562958869067	123.8674255836924	83.35794925295332	90.66327813470318	66.6684303834219	81.93066628124032	88.17255297351717	75.98138891567298	76.77852419511514	66.3754838923397	66.40338753443055	66.20414198312656	71.77138849988808	66.35727656556773	71.26379330619628	72.17684379571645	76.12478653791955	77.13890580078447	69.39498066852785	72.19169053027811	80.04033793832123	69.08123974190897	66.20259338914121	66.17910455914425	72.27249948894071	77.23336261359904	66.13687364775816	72.1241638664903	66.13188482395199	66.3827472717388	65.94715997889816	85.45936039651131	75.31616069142501
40000	-1604.5183236425112	-33.723348961350574	-1425.6854527420983	-145.10952193906223	0.2300932890181532	0.06749479186631559	0.35021235385412125	0.2950007048650115	0.20408078137454835	0.8287963219606511	3.393873227606411	5.846931303878063	0.804044493505547	1	2	1.8982781692170296	123.22912586377433	65.76348603989304	286.2320980660472	76.97251153212277	83.45192255009395	81.89230209743589	70.93296971696866	71.79656202780353	89.22136750501063	90.47843352581235	84.65674161004671	76.35981437746996	77.4475836194182	83.01087852721908	83.10604930326977	80.13990815135176	69.15518598860483	71.45682571166927	94.63736832426657	82.6147305121771	84.13907370963159	123.22912586377433	82.14868528554122	87.92356028828475	66.82736678227452	81.47742470772653	93.52931656215723	76.2604525120676	76.72414672213185	66.29876644700072	65.86979542190666	66.23585973487423	71.61198952978485	65.76348603989304	70.56357155244838	72.25660128155826	76.2389422975766	77.13822178736794	68.88166517376101	70.73738382253933	80.04024991362103	69.08009619092682	66.33240316782422	66.12886597358502	74.38108401976044	75.31567097793483	66.12135737383335	72.37555215547529	66.1271034277887	66.6463988415229	65.9964136104194	84.14095524479384	75.62748201782296
45000	-1601.6482158231636	-30.924974299078713	-1419.5199823208477	-151.20325920323717	0.24593451810300304	0.044719127077652125	0.41664967200894054	0.3230335946140459	0.20586808315234711	0.7166553307030765	2.8227140447148975	6.165461874097454	0.4783028945300348	1	2	2.293525740033055	122.28299211697706	65.78547662127525	291.58691955245024	76.99548872718191	84.46932595943726	84.37495174046602	74.04569599335728	71.95385199491685	91.70991903751793	89.95972346103474	85.06581956326401	76.4368210738759	77.41445747863918	90.10406168102705	83.87879581026242	80.2618943522015	69.2175126913331	71.67510083500865	94.40765164202325	86.45669685538299	84.23705398881168	122.28299211697706	82.14163485449592	88.69209485144685	66.68444294088994	81.51058738494497	90.78722257574681	75.66480347438961	76.61432244552257	68.0395784075042	66.38222316160152	65.8696603710731	71.77918527511115	68.15974411328813	72.88008200307695	72.24722539386033	76.27636353765978	76.76447612661605	69.37504335941348	72.32299936120778	80.00929852847749	69.03724506731157	66.09947159842974	66.14434687986655	73.85424060052691	79.66414074170157	66.19454985804151	72.04972274781731	65.78547662127525	66.36953923676842	65.97054379140343	85.58885961523492	75.36334268939298
