accepted_name	status	max_ma	min_ma
Chaoyangsaurus youngi	extinct	150.8	132.9
Protarchaeopteryx robusta	extinct	130	122.46
Caudipteryx zoui	extinct	130	122.46
Gorgosaurus libratus	extinct	83.5	70.6
Gorgosaurus libratus	extinct	83.5	70.6
Centrosaurus apertus	extinct	83.5	70.6
Gorgosaurus libratus	extinct	83.5	70.6
Gorgosaurus libratus	extinct	83.5	70.6
Gorgosaurus libratus	extinct	83.5	70.6
Albertosaurus sarcophagus	extinct	72.1	66
Albertosaurus sarcophagus	extinct	70.6	66
Albertosaurus sarcophagus	extinct	83.5	70.6
Albertosaurus sarcophagus	extinct	83.5	70.6
Albertosaurus sarcophagus	extinct	83.5	70.6
Isisaurus colberti	extinct	72.1	66
Daspletosaurus torosus	extinct	83.5	70.6
Daspletosaurus torosus	extinct	83.5	70.6
Tyrannosaurus rex	extinct	72.1	66
Tyrannosaurus rex	extinct	72.1	66
Gryposaurus notabilis	extinct	83.5	70.6
Amygdalodon patagonicus	extinct	180.1	171.6
Camarasaurus grandis	extinct	157.3	145
Camarasaurus supremus	extinct	157.3	152.1
Ankylosaurus magniventris	extinct	72.1	66
Bistahieversor sealeyi	extinct	83.5	70.6
Pachycephalosaurus wyomingensis	extinct	72.1	66
Sonorasaurus thompsoni	extinct	105.3	93.5
Mononykus olecranus	extinct	72.1	66
Tarbosaurus bataar	extinct	72.1	66
Allosaurus fragilis	extinct	157.3	145
Allosaurus fragilis	extinct	157.3	145
Allosaurus fragilis	extinct	157.3	145
Camarasaurus grandis	extinct	157.3	145
Allosaurus fragilis	extinct	157.3	145
Ornimegalonyx oteroi	extinct	2.588	0.0117
Scutellosaurus lawleri	extinct	199.3	182.7
Scutellosaurus lawleri	extinct	199.3	182.7
Orodromeus makelai	extinct	83.6	72.1
Maiasaura peeblesorum	extinct	83.6	72.1
Goyocephale lattimorei	extinct	86.3	66
Efraasia minor	extinct	228	208.5
Tethyshadros insularis	extinct	83.5	66
Anhinga subvolans	extinct	20.43	15.97
Promilio floridanus	extinct	20.43	15.97
Buteo fluviaticus	extinct	33.9	33.3
Hadrogyps aigialeus	extinct	15.97	13.82
Primapus lacki	extinct	56	47.8
Primapus lacki	extinct	56	47.8
Miomancalla wetmorei	extinct	11.62	7.246
Ichthyornis dispar	extinct	89.3	70.6
Neogaeornis wetzeli	extinct	70.6	66
Alexornis antecedens	extinct	86.3	83.6
Yacoraitichnus avis	extinct	72.1	66
Patagonichnornis venetiorum	extinct	70.6	66
Emuarius gidju	extinct	28.4	15.97
Dromaius ocypus	extinct	5.333	2.588
Dromaius novaehollandiae	extinct	3.6	2.588
Dromaius ocypus	extinct	5.333	2.588
Dromaius novaehollandiae	extinct	5.333	0.126
Lithornis vulturinus	extinct	55.8	48.6
Paracathartes howardae	extinct	55.8	48.6
Eocathartes robustus	extinct	47.8	41.3
Neocathartes grallator	extinct	37.2	33.9
Plesiocathartes europaeus	extinct	37.2	28.4
Massospondylus carinatus	extinct	201.3	190.8
Megaloolithus siruguei	extinct	70.6	66
Struthio camelus	extinct	0.0117	0
Struthio camelus	extinct	0.0117	0
Struthio camelus	extinct	0.0117	0
Platalea leucorodia	extinct	2.588	0.0117
Anas acuta	extinct	2.588	0.0117
Ardea cinerea	extinct	2.588	0.0117
Anas crecca	extinct	2.588	0.0117
Platalea leucorodia	extinct	2.588	0.0117
Anas acuta	extinct	2.588	0.0117
Phalacrocorax carbo	extinct	2.588	0.0117
Ardea cinerea	extinct	2.588	0.0117
Phoenicopterus roseus	extinct	2.588	0.0117
Plectropterus gambensis	extinct	2.588	0.0117
Anser albifrons	extinct	2.588	0.0117
Anser fabalis	extinct	2.588	0.0117
Branta bernicla	extinct	2.588	0.0117
Tadorna ferruginea	extinct	2.588	0.0117
Anas platyrhynchos	extinct	2.588	0.0117
Mareca penelope	extinct	2.588	0.0117
Aythya ferina	extinct	2.588	0.0117
Mergus merganser	extinct	2.588	0.0117
Mergus serrator	extinct	2.588	0.0117
Mergellus albellus	extinct	2.588	0.0117
Milvus migrans	extinct	2.588	0.0117
Pandion haliaetus	extinct	2.588	0.0117
Numenius arquata	extinct	2.588	0.0117
Anas crecca	extinct	2.588	0.0117
Aquila chrysaetos	extinct	2.588	0.0117
Platalea leucorodia	extinct	2.588	0.0117
Anas platyrhynchos	extinct	2.588	0.0117
Grus grus	extinct	2.588	0.0117
Struthio camelus	extinct	0.0117	0
Struthio camelus	extinct	0.0117	0
Struthio camelus	extinct	0.0117	0
Struthio camelus	extinct	2.588	0.0117
Struthio camelus	extinct	2.588	0.0117
Struthio camelus	extinct	0.126	0.0117
Struthio camelus	extinct	0.0117	0
Peliperdix lathami	extinct	0.0117	0
Struthio camelus	extinct	2.588	0
Struthio camelus	extinct	2.588	0
Dege hendeyi	extinct	11.608	5.333
Inguza predemersus	extinct	5.333	3.6
Pachyptila salax	extinct	5.333	3.6
Oceanites zaloscarthmus	extinct	5.333	3.6
Inguza predemersus	extinct	5.333	3.6
Pachyptila salax	extinct	5.333	3.6
Oceanites zaloscarthmus	extinct	5.333	3.6
Anas acuta	extinct	2.588	0.0117
Ardea cinerea	extinct	2.588	0.0117
Anser fabalis	extinct	2.588	0.0117
Tadorna ferruginea	extinct	2.588	0.0117
Anas platyrhynchos	extinct	2.588	0.0117
Mareca penelope	extinct	2.588	0.0117
Aythya ferina	extinct	2.588	0.0117
Mergus merganser	extinct	2.588	0.0117
Pandion haliaetus	extinct	2.588	0.0117
Anas crecca	extinct	2.588	0.0117
Platalea leucorodia	extinct	2.588	0.0117
Ardea cinerea	extinct	2.588	0.0117
Anas crecca	extinct	2.588	0.0117
Anas acuta	extinct	2.588	0.0117
Aquila chrysaetos	extinct	2.588	0.0117
Platalea leucorodia	extinct	2.588	0
Anas platyrhynchos	extinct	2.588	0
Grus grus	extinct	2.588	0
Anser albifrons	extinct	2.588	0
Anas acuta	extinct	2.588	0.0117
Phalacrocorax carbo	extinct	2.588	0.0117
Ardea cinerea	extinct	2.588	0.0117
Phoenicopterus roseus	extinct	2.588	0.0117
Anas platyrhynchos	extinct	2.588	0.0117
Mareca penelope	extinct	2.588	0.0117
Mergus serrator	extinct	2.588	0.0117
Mergellus albellus	extinct	2.588	0.0117
Milvus migrans	extinct	2.588	0.0117
Anas crecca	extinct	2.588	0.0117
Plectropterus gambensis	extinct	2.588	0.0117
Platalea leucorodia	extinct	2.588	0.0117
Anas acuta	extinct	2.588	0.0117
Phalacrocorax carbo	extinct	2.588	0.0117
Ardea cinerea	extinct	2.588	0.0117
Anser albifrons	extinct	2.588	0.0117
Tadorna ferruginea	extinct	2.588	0.0117
Anas platyrhynchos	extinct	2.588	0.0117
Mareca penelope	extinct	2.588	0.0117
Aythya ferina	extinct	2.588	0.0117
Mergus merganser	extinct	2.588	0.0117
Mergus serrator	extinct	2.588	0.0117
Mergellus albellus	extinct	2.588	0.0117
Anas crecca	extinct	2.588	0.0117
Megaloolithus jabalpurensis	extinct	83.5	70.6
Iguanodon bernissartensis	extinct	129.4	122.46
Diplodocus longus	extinct	157.3	145
Stegosaurus stenops	extinct	157.3	145
Brontosaurus excelsus	extinct	157.3	145
Allosaurus fragilis	extinct	157.3	145
Camarasaurus lentus	extinct	155.7	150.8
Prosaurolophus blackfeetensis	extinct	83.6	72.1
Maiasaura peeblesorum	extinct	83.6	72.1
Orodromeus makelai	extinct	83.6	72.1
Tyrannosaurus rex	extinct	83.5	70.6
Tyrannosaurus rex	extinct	83.5	70.6
Centrosaurus apertus	extinct	83.5	70.6
Gorgosaurus libratus	extinct	83.5	70.6
Coelophysis rhodesiensis	extinct	201.3	190.8
Kotasaurus yamanpalliensis	extinct	199.3	182.7
Plateosaurus engelhardti	extinct	228	208.5
Plateosaurus longiceps	extinct	228	208.5
Velociraptor mongoliensis	extinct	83.5	70.6
Protoceratops andrewsi	extinct	83.5	70.6
Hypsilophodon foxii	extinct	136.4	122.46
Prosaurolophus blackfeetensis	extinct	85.8	70.6
Hypacrosaurus stebingeri	extinct	85.8	70.6
Troodon formosus	extinct	85.8	70.6
Daspletosaurus horneri	extinct	85.8	70.6
Maiasaura peeblesorum	extinct	83.6	72.1
Pachyrhinosaurus lakustai	extinct	83.5	70.6
Calidris canutus	extinct	3.6	2.588
Iguanodon bernissartensis	extinct	125	113
Mantellisaurus atherfieldensis	extinct	125	113
Iguanodon bernissartensis	extinct	125	113
Struthio camelus	extinct	2.588	0
Struthio camelus	extinct	2.588	0.0117
Struthio camelus	extinct	2.588	0
Styracosaurus albertensis	extinct	83.5	70.6
Centrosaurus apertus	extinct	83.5	70.6
Diplodocus longus	extinct	150.8	145
Camarasaurus lentus	extinct	150.8	145
Struthio camelus	extinct	0.0117	0
Numida meleagris	extinct	0.0117	0
Struthio camelus	extinct	0.0117	0
Numida meleagris	extinct	0.0117	0
Pternistis clappertoni	extinct	0.0117	0
Struthio camelus	extinct	0.0117	0
Numida meleagris	extinct	0.0117	0
Struthio camelus	extinct	0.0117	0
Numida meleagris	extinct	0.0117	0
Phalacrocorax carbo	extinct	0.126	0.0117
Pelecanus rufescens	extinct	0.126	0.0117
Microcarbo africanus	extinct	0.126	0.0117
Anhinga melanogaster	extinct	0.126	0.0117
Ardea alba	extinct	0.126	0.0117
Mycteria ibis	extinct	0.126	0.0117
Anastomus lamelligerus	extinct	0.126	0.0117
Phoenicoparrus minor	extinct	0.126	0.0117
Plectropterus gambensis	extinct	0.126	0.0117
Haliaeetus vocifer	extinct	0.126	0.0117
Numenius phaeopus	extinct	0.126	0.0117
