Species	Status
Aardonyx_celestae	extinct
Abelichnus_astigarrae	extinct
Abelisaurus_comahuensis	extinct
Abydosaurus_mcintoshi	extinct
Acanthis	extinct
Acanthopholis_macrocercus	extinct
Accipiter	extinct
Accipiter_cooperii	extinct
Accipiter_fasciatus	extinct
Accipiter_gentilis	extinct
Accipiter_striatus	extinct
Achelousaurus_horneri	extinct
Achillesaurus_manazzonei	extinct
Acrocanthosaurus	extinct
Acrocanthosaurus_atokensis	extinct
Acrocephalus	extinct
Acrotholus_audeti	extinct
Actitis_macularius	extinct
Adamantisaurus_mezzalirai	extinct
Adelolophus_hutchisoni	extinct
Adeopapposaurus_mognai	extinct
Aechmophorus_occidentalis	extinct
Aegialornis_gallicus	extinct
Aegialornis_wetmorei	extinct
Aegolius_acadicus	extinct
Aegolius_funereus	extinct
Aegypius	extinct
Aegyptosaurus	extinct
Aegyptosaurus_baharijensis	extinct
Aeolosaurus	extinct
Aeolosaurus_colhuehuapensis	extinct
Aeolosaurus_maximus	extinct
Aepyornis	extinct
Aepyornithomimus_tugrikinensis	extinct
Aerosteon_riocoloradensis	extinct
Aethia	extinct
Aethia_barnesi	extinct
Afrovenator_abakensis	extinct
Agapornis	extinct
Agelaius_phoeniceus	extinct
Agialopous_wyomingensis	extinct
Agilisaurus_louderbacki	extinct
Agnosphitys_cromhallensis	extinct
Agriocharis_anza	extinct
Agriocharis_progenes	extinct
Agujaceratops	extinct
Agujaceratops_mariscalensis	extinct
Ahshislepelta_minor	extinct
Aix_sponsa	extinct
Ajancingenia_yanshini	extinct
Alamosaurus	extinct
Alamosaurus_sanjuanensis	extinct
Alauda_arvensis	extinct
Albalophosaurus_yamaguchiorum	extinct
Albertadromeus_syntarsus	extinct
Albertonykus_borealis	extinct
Albertosaurus	extinct
Albertosaurus_sarcophagus	extinct
Alca	extinct
Alca_ausonia	extinct
Alca_grandis	extinct
Alca_stewarti	extinct
Alca_torda	extinct
Alcovasaurus_longispinus	extinct
Alectoris	extinct
Alectrosaurus_olseni	extinct
Alethoalaornis_agitornis	extinct
Alexornis_antecedens	extinct
Alioramus_remotus	extinct
Alioramus_sinensis	extinct
Alle_alle	extinct
Allosaurus	extinct
Allosaurus_europaeus	extinct
Allosaurus_fragilis	extinct
Allosaurus_lucasi	extinct
Alnashetri_cerropoliciensis	extinct
Alvarezsaurus_calvoi	extinct
Alxasaurus_elesitaiensis	extinct
Amazona	extinct
Amazona_leucocephala	extinct
Amazonsaurus_maranhensis	extinct
Ambiortus_dementjevi	extinct
Amblydactylus	extinct
Amblydactylus_gethingi	extinct
Amblydactylus_kortmeyeri	extinct
Ammodramus_henslowii	extinct
Ammodramus_savannarum	extinct
Ampelosaurus	extinct
Ampelosaurus_atacis	extinct
Amphicoelias_altus	extinct
Amtocephale_gobiensis	extinct
Amtosaurus_magnus	extinct
Amurosaurus_riabinini	extinct
Amygdalodon_patagonicus	extinct
Anabernicula	extinct
Anabernicula_gracilenta	extinct
Anabisetia_saldiviai	extinct
Anas	extinct
Anas_acuta	extinct
Anas_chlorotis	extinct
Anas_crecca	extinct
Anas_fulvigula	extinct
Anas_platyrhynchos	extinct
Anas_rubripes	extinct
Anas_schneideri	extinct
Anasazisaurus_horneri	extinct
Anastomus_lamelligerus	extinct
Anatalavis_rex	extinct
Anatotitan_copei	extinct
Anchiceratops	extinct
Anchiceratops_ornatus	extinct
Anchiornis_huxleyi	extinct
Anchisauripus_(Otouphepus)_minor	extinct
Anchisauripus_bibractensis	extinct
Anchisauripus_exsertus	extinct
Anchisauripus_milfordensis	extinct
Anchisauripus_tuberosus	extinct
Anchisaurus_polyzelus	extinct
Ancistrodon	extinct
Andesaurus_delgadoi	extinct
Angaturama_limai	extinct
Angulomastacator_daviesi	extinct
Anhinga	extinct
Anhinga_anhinga	extinct
Anhinga_grandis	extinct
Anhinga_melanogaster	extinct
Anhinga_pannonica	extinct
Anhinga_subvolans	extinct
Animantarx_ramaljonesi	extinct
Ankylosaurus	extinct
Ankylosaurus_magniventris	extinct
Anodontosaurus_inceptus	extinct
Anodontosaurus_lambei	extinct
Anomoepus	extinct
Anomoepus_palmipes	extinct
Anomoepus_pienkovskii	extinct
Anomoepus_scambus	extinct
Anomoepus_tungchuanensis	extinct
Anser	extinct
Anser_albifrons	extinct
Anser_arizonae	extinct
Anser_brachyrhynchus	extinct
Anser_caerulescens	extinct
Anser_fabalis	extinct
Anserimimus_planinychus	extinct
Antarctopelta_oliveroi	extinct
Antarctosaurus	extinct
Antarctosaurus_giganteus	extinct
Antarctosaurus_wichmannianus	extinct
Antetonitrus_ingenipes	extinct
Anthochaera_carunculata	extinct
Anthochaera_chrysoptera	extinct
Anthornis_melanura	extinct
Anthropodyptes_gilli	extinct
Anthropornis	extinct
Anthropornis_grandis	extinct
Anthropornis_nordenskjoeldi	extinct
Anthus	extinct
Anthus_pratensis	extinct
Anticheiropus_hamatus	extinct
Anticheiropus_pilulatus	extinct
Antigone_antigone	extinct
Antigone_canadensis	extinct
Anzu_wyliei	extinct
Aorun_zhaoi	extinct
Apatornis_celer	extinct
Apatosaurus	extinct
Apatosaurus_ajax	extinct
Apatosaurus_louisae	extinct
Aphelocoma_coerulescens	extinct
Appalachiosaurus_montgomeriensis	extinct
Apsaravis_ukhaana	extinct
Aptenodytes_forsteri	extinct
Aptenodytes_ridgeni	extinct
Apteryx_australis	extinct
Apulosauripus_federicianus	extinct
Apus	extinct
Apus_apus	extinct
Aquatilavipes_curriei	extinct
Aquatilavipes_izumiensis	extinct
Aquatilavipes_swiboldae	extinct
Aquila	extinct
Aquila_chrysaetos	extinct
Aquilops_americanus	extinct
Aragosaurus_ischiaticus	extinct
Aramornis_longurio	extinct
Aramus_guarauna	extinct
Archaeoceratops_oshimai	extinct
Archaeorhynchus_spathula	extinct
Archaeornithoides_deinosauriscus	extinct
Archaeornithomimus_asiaticus	extinct
Archaeornithura_meemannae	extinct
Archaeospheniscus	extinct
Archaeospheniscus_wimani	extinct
Archaeotrogon_venustus	extinct
Arcusaurus_pereirabdalorum	extinct
Ardea	extinct
Ardea_alba	extinct
Ardea_cinerea	extinct
Ardea_herodias	extinct
Ardea_polkensis	extinct
Ardenna_conradi	extinct
Ardenna_gravis	extinct
Ardenna_grisea	extinct
Ardenna_pacificoides	extinct
Ardenna_tenuirostris	extinct
Ardeola	extinct
Arenysaurus_ardevoli	extinct
Argentavis_magnificens	extinct
Argentinosaurus_huinculensis	extinct
