it	posterior	prior	PP_lik	BD_lik	q_0	q_1	q_2	q_3	q_4	q_5	q_6	q_7	q_8	q_9	q_10	q_11	q_12	alpha	k_birth	k_death	RJ_hp	root_age	death_age	tot_length	Ahshislepelta_minor_TS	Ankylosauridae_TS	Ankylosaurus_TS	Ankylosaurus_magniventris_TS	Anodontosaurus_inceptus_TS	Anodontosaurus_lambei_TS	Cedarpelta_bilbeyhallorum_TS	Chuanqilong_chaoyangensis_TS	Crichtonsaurus_benxiensis_TS	Crichtonsaurus_bohlini_TS	Dyoplosaurus_acutosquameus_TS	Euoplocephalus_TS	Euoplocephalus_tutus_TS	Gobisaurus_domoculus_TS	Minmi_TS	Nodocephalosaurus_kirtlandensis_TS	Oohkotokia_TS	Oohkotokia_horneri_TS	Pinacosaurus_TS	Pinacosaurus_grangeri_TS	Pinacosaurus_mephistocephalus_TS	Platypelta_coombsi_TS	Saichania_chulsanensis_TS	Scolosaurus_thronus_TS	Shamosaurus_scutatus_TS	Shanxia_TS	Talarurus_plicatospineus_TS	Tarchia_TS	Tarchia_gigantea_TS	Tianzhenosaurus_youngi_TS	Tsagantegia_TS	Zhongyuangosaurus_luoyangensis_TS	Ziapelta_sanjuanensis_TS	Ahshislepelta_minor_TE	Ankylosauridae_TE	Ankylosaurus_TE	Ankylosaurus_magniventris_TE	Anodontosaurus_inceptus_TE	Anodontosaurus_lambei_TE	Cedarpelta_bilbeyhallorum_TE	Chuanqilong_chaoyangensis_TE	Crichtonsaurus_benxiensis_TE	Crichtonsaurus_bohlini_TE	Dyoplosaurus_acutosquameus_TE	Euoplocephalus_TE	Euoplocephalus_tutus_TE	Gobisaurus_domoculus_TE	Minmi_TE	Nodocephalosaurus_kirtlandensis_TE	Oohkotokia_TE	Oohkotokia_horneri_TE	Pinacosaurus_TE	Pinacosaurus_grangeri_TE	Pinacosaurus_mephistocephalus_TE	Platypelta_coombsi_TE	Saichania_chulsanensis_TE	Scolosaurus_thronus_TE	Shamosaurus_scutatus_TE	Shanxia_TE	Talarurus_plicatospineus_TE	Tarchia_TE	Tarchia_gigantea_TE	Tianzhenosaurus_youngi_TE	Tsagantegia_TE	Zhongyuangosaurus_luoyangensis_TE	Ziapelta_sanjuanensis_TE
0	-896.5895486751363	-21.097004870272237	-580.0999135373667	-295.39263026749734	0.7720530122077621	0.7720530122077621	0.7720530122077621	0.7720530122077621	0.7720530122077621	0.7720530122077621	0.7720530122077621	0.7720530122077621	0.7720530122077621	0.7720530122077621	0.7720530122077621	0.7720530122077621	0.7720530122077621	1.0	1	1	1	184.77646333126978	61.30037609222859	361.2251379313605	81.76923397550955	184.77646333126978	72.17794980228832	69.94533116997665	78.88967188598933	80.79325210634214	123.19145291667054	117.84105790450369	93.13208213638616	93.91693785807138	83.54238050537337	84.76569801792735	79.9495609898598	93.84055233225195	102.07961152753037	80.63166145945968	77.47516254806945	86.52642423062278	129.7489106703248	82.06817582760866	77.52162888665751	83.23845445420139	74.74725293201736	74.957885905695	113.38215135950347	89.90590564445206	98.3440729016797	68.18379017579737	85.25418599899226	93.50899274233635	88.33007558215333	96.90327274816833	80.05088125766879	81.57690956009793	61.30037609222859	66.120598609376	65.81792626958863	77.36029154909843	64.65925190330394	106.76934446491767	117.2075012513769	92.88997368675635	93.55587672483952	83.08556218502582	65.85297367832091	74.92428425533406	93.67485732796861	102.05461068911953	76.37869926581794	77.23915346886076	72.0506263094753	62.64922273322056	64.3180598836726	77.50232024348013	73.6753498984646	69.83687053941614	74.84246352431309	96.29509475615578	89.75176868360782	88.320051367382	68.07201336485076	64.09936618825397	93.4228214959521	88.25916326894979	96.72106371523925	79.88053689953267
5000	-801.2674093333859	-30.115752303963752	-549.192215759342	-221.9594412700801	0.32386146077646577	2.1666472890393647	0.5463178049459911	0.7609741422470252	0.3286262210566459	0.7688965866778292	0.2590950759730551	0.9532647526452428	0.33032031754665364	0.7157770476486592	0.9586884153104663	3.4025709518208744	1.7756913351992316	1.1307966422564715	1	2	1.6917626849435918	184.06689631389688	63.450827167766995	370.5276710506627	81.82241362169626	184.06689631389688	72.83834467851493	69.58248627854302	78.99149961281289	81.66349973438258	121.00055127371175	121.12622164585274	93.60803357613598	94.08224284523726	84.86788829377336	85.62886120138528	82.18325882311433	93.9375100218513	102.56426088932317	81.94301160706249	77.62002915522866	87.04155836475103	127.40832027029745	82.75500294570952	77.55998706336136	83.49324131564552	75.48271457328325	75.3959149227408	109.92431115227745	91.06016952562115	96.15101960422642	68.2539389138492	88.4358297623121	93.51173401515715	90.62300914584532	101.24394820756832	79.96521910220818	81.63554269146172	65.91401046449138	66.56139108107625	65.52829025132495	76.81639687543765	66.01563178686109	107.55774549083061	115.5335139843804	92.85591465396101	93.79248870964405	83.07397589938923	65.81486691243929	75.62026317728724	93.17291220737133	101.07928762828239	76.3620349679813	77.23297963497573	69.91083708494482	66.855545421744	64.2751493583182	77.42539362185711	69.26693496741123	69.26830234696929	74.82510028265733	103.94935178736459	87.60554140886747	90.59235412858808	68.1165221547962	63.450827167766995	92.89923776356483	87.69721584075413	95.34068855254073	79.25900910137372
10000	-774.9418039530923	-29.839691565829945	-526.2056834259223	-218.89642896134	0.21538371928822855	0.7788101250585868	0.986944311707768	0.4865063831902352	0.23595813887231604	0.6756268576658669	0.18627151840672784	0.5647918076287196	0.33462485392005886	1.492393130666343	0.6453426077340586	3.3719930648603604	1.9615046465891328	0.798667467256485	1	2	1.1850605404216208	185.04308762722326	60.245377479532735	367.39714608915773	81.88417679280667	185.04308762722326	72.75608358932125	69.57141255099637	79.0162275517198	80.79200208731135	124.8673192889427	117.77953937699705	93.01868500665933	93.89854207011767	83.76865572593115	82.43053120380786	80.16473193330982	95.82280032298888	102.72049852502985	81.5535459224346	77.49304134403027	83.19678546653397	127.23302308407858	86.73230410480653	77.53081590782175	83.4122769246558	75.66184235230051	74.9253300887413	110.46624493795187	89.93582302443689	98.87441314022894	68.37491894814913	90.27807286763792	94.37391412960069	88.3072372068652	97.48806582991385	80.00770536283466	81.7271156042488	65.4772063157911	66.626868054362	63.14896474243845	76.49984400131225	67.41409980685715	108.62159818334784	117.17680417795829	92.80363362349392	90.06299194631796	83.37848365032109	61.82916108237468	74.5153666428005	92.65986176981166	101.54021248645711	76.26188818825266	77.22178895997467	69.71179068773877	72.4196268359745	66.93959888259768	77.4684728247796	71.35906880394549	65.80926337193138	74.5853720725161	104.52460664898109	89.5206620062782	87.62774608633298	67.63572076246058	60.245377479532735	92.3813573068375	88.29371292915489	96.58869979558034	79.90554247626575
15000	-765.9211117214345	-31.391712651128024	-517.6027873319514	-216.92661173835506	0.15206087307863217	0.2567630261796015	0.543650545206394	0.5226723984399972	0.08851657157298964	0.24625117167474478	0.20310507386903956	0.7717029558712297	0.3029250310282628	1.1957964684012583	0.4911093088459132	3.3126396249980132	3.3647131189359256	1.1027616367807496	1	2	2.2805143042322853	188.68351074874997	59.326606332138894	360.07481253700684	81.77495443971848	188.68351074874997	73.74059597268963	70.24452839825157	78.9533820321199	80.7293355948361	119.91781145546324	119.98940928671487	93.95040748168192	93.97499402913373	83.49787809331822	82.62593270051953	80.12861540462966	93.87250290543535	102.20014249615932	84.09920653757382	77.47496521869283	83.05517441655077	125.68876346862828	85.56104411797939	77.64975638136207	85.6363680437861	75.52148909897258	75.35763988442702	113.72640205773607	90.4066631947508	98.06276983265529	68.47830369498136	91.27295609546002	93.62079443180481	89.18704440111212	96.81531494953796	79.94520608558335	81.63940504653335	66.22145171993306	66.89668878157786	65.83190192380654	77.54422633432993	67.3156196699871	107.78535784322524	115.35198131246585	92.31967748033237	91.71460647703329	83.2382748832595	59.326606332138894	75.55818344770118	92.90539584037667	100.25537548276739	76.57794731355315	77.21440222844676	69.5121571526994	72.88446553318063	69.6628241187191	77.09845800259114	73.3344398042657	69.37078219240469	74.86395597658058	105.15624092323696	89.43771127031557	89.45913691055596	68.12011768977898	62.76664761937874	93.38856700370772	86.9004709345936	96.18306867788438	79.93290448664798
20000	-773.4571167845965	-29.82584884331115	-525.1404194379217	-218.49084850336362	0.14255787233858683	0.3214076001409324	0.3408043701250928	0.4176243560287337	0.11705296825138128	0.18036225653210705	0.14713863069216843	0.5727487052747362	0.10306511575497336	1.3560024897191323	0.4497211171664723	2.5210196174717536	1.9907128876241975	1.3359164093114864	1	2	0.984781542663568	190.85640558260906	63.55492656616595	377.4894335072557	82.02911133410012	190.85640558260906	73.40696528667074	69.47435604853536	79.52252152065661	80.76338098245336	122.9551267845104	118.44359819387391	93.22031886625786	94.30482215251766	84.1979675529666	82.5986788710761	80.40186273702533	94.3447833374583	103.65412322885075	83.11868672732062	77.7927208128784	82.95769534899846	126.7074421591798	81.72317462120672	77.53235971526207	87.67067993312264	78.71122340954366	74.99548315698789	117.11675879747135	93.58728030180917	96.04010751013682	68.19651308153965	88.6079977398047	93.67187803608293	88.72738000472489	97.0660701355775	79.97332170628036	81.71955817508484	64.7372541560713	66.07126491621018	65.44171797685462	77.27493050969656	65.67533162806396	108.751824053861	117.46515536810321	91.95387603713762	93.03676458274552	83.33168743016216	63.55492656616595	74.17752832700772	91.37167249624784	101.73616039105788	76.00170777011496	77.0888428146069	69.54455639626062	72.77743184647161	68.48378804777369	77.35287345590373	73.70801913873221	65.54399649449316	74.31128544061764	100.0422308848417	88.58637050040882	89.82676853680604	68.17598707696573	64.23146903646074	93.16438613112835	85.7947741234271	96.01884970283054	79.92837215792017
25000	-758.6927488151205	-29.408582490943537	-513.4347133196894	-215.8494530044875	0.17716585638476479	0.32137747158992774	0.20800507722111972	0.5366526912880436	0.18033081123678313	0.19270357914648767	0.12272000206472068	0.5047320980889325	0.14945209616950494	0.39845526914526774	0.46954827399232074	2.8087092873384276	1.6552732704656545	1.202534420045918	1	2	0.8463446225513702	191.26036710147187	62.25942341053783	363.59041850989723	81.93634172115327	191.26036710147187	72.53006978172158	70.14409321257948	79.10284938420806	80.97934426059044	123.04555994370075	118.33729276604362	92.9552417455655	94.07402601933666	83.47224604890334	83.33062992788344	81.85679312623738	94.08825010122094	104.66326395119732	80.56869779398633	78.73030698513128	85.25547873728387	127.18634604740467	82.84450943903714	77.6163357027625	89.4667143493974	75.2195651731091	75.44398816534445	112.06179432194095	89.97363714936004	96.48812544916463	68.36734961369488	84.29776755248865	93.61023020306496	88.95286926905943	97.14812884854119	79.95302350129697	81.69865951491974	66.02586549636582	66.41602876481899	65.93651275988256	77.32554669494694	66.20521297623756	107.96493433178323	116.12457485743188	92.75846228833245	93.13493325103794	83.39572115448033	63.793382571850316	75.61465511995377	92.2540198370474	101.83152642835852	75.21799844107979	76.572412331992	71.85160867498622	72.56224630549772	68.97426020045309	76.76436073652093	72.78524237151399	62.25942341053783	74.75603600975366	101.42775054437762	87.25568668286999	89.5587452991544	68.07134913502357	67.14629782904541	93.24824511748888	86.03907068720143	96.48382756701446	79.91622149202645
30000	-756.5332388804248	-29.518482739635402	-509.56434537262817	-217.4504107681613	0.16259383961983884	0.3733216084188939	0.2058568080622457	0.6244231423817808	0.1821534347612884	0.13765161919070992	0.23299612615674511	0.6549967847978486	0.19110330194084396	0.4065840441184222	0.490962410612405	2.8094177188161997	2.4081782748297833	0.9204468909113988	1	2	1.1916337639884824	190.46924205031854	65.48753961766633	372.68369054211945	82.11771123999293	190.46924205031854	72.26260118858572	69.8476268234618	79.17630826826924	81.01383923623372	123.12470002572998	119.31463159315412	92.98888163744842	93.92422043818408	83.59217364330804	87.24805258922409	81.76413371181029	93.87958769969114	102.13092374506583	80.1575747458585	77.69963539261956	90.76685586877187	127.4354192434121	82.1715873956608	77.70531878884869	89.43124868188718	77.04065733190232	74.89626886510612	113.07953080833586	91.42912960515591	100.8474279251516	68.2462939720839	88.67788365134247	94.1426364960535	88.29432886429738	99.31218484931435	80.28355250017825	81.69011907446973	66.07313107520162	67.0071872485607	65.94348308552154	75.83057842742467	65.48753961766633	106.07225755325403	117.01243915524032	92.48238882536239	90.23644062292242	83.34424935722313	65.6693313890373	73.5303274299827	92.80089974495091	100.47174612026494	76.25082768154229	77.09297851659582	71.4064886334386	72.64625234934539	70.36576086901019	77.26808426658309	73.24772702021711	70.13223355159153	74.86178004151	104.87229172109205	89.48124920921796	89.9175509393366	67.38026681075641	66.33432638718376	92.16191855041954	88.14577661425268	96.64504010788693	79.92580633727613
35000	-746.6142690980944	-31.907992695294514	-499.20837868077797	-215.4978977220219	0.06908616394477562	0.3928683878696415	0.1256608739735348	0.540370329460117	0.10620875698849779	0.18675772779806832	0.1790143956921413	0.7561651318440085	0.23582787636870753	0.35453081574470297	0.4101206450421732	3.182967561967031	2.198442268348597	0.9681267644042666	1	2	3.6915511111941823	186.84503627741057	64.74684458919431	356.3624552319646	81.84337478880295	186.84503627741057	73.70759785274669	70.65932092241583	81.20736316863004	81.33188623941611	127.60612240300341	118.26625026151594	93.82884370176691	94.385905077989	83.43133220701809	89.4567738490424	80.17648890854052	93.87236360038074	109.26779638911657	81.88640346229268	77.38323956036851	84.71786440844951	121.40086702211198	86.93391469885294	77.53037706289757	84.57003312331275	74.88962349254572	74.95305380574787	109.93535171573008	91.19224247713139	98.85037185388694	68.2278033470485	86.41101446587267	94.05311478114733	88.63663711273927	97.53317929758569	80.67338135504002	81.64982613034404	66.23761117825327	66.60013122402223	65.9481331001665	76.30220556245423	67.06963573555629	108.51886396917223	117.14127298693901	92.68439253646886	91.35546757929107	83.3028170000878	67.1502424226805	74.32600237934564	93.2026335671713	102.0422292471449	76.51082380142451	77.20615963355334	72.02112334403459	72.9613649425158	70.36683551647911	77.51325917036748	73.22316961763613	65.84084688630226	74.85788811708048	105.27176080353456	89.33548703650277	90.54150286216009	68.14354181725827	64.74684458919431	92.65566711185795	88.2497776431767	96.49664991242234	79.82830603399394
40000	-758.0168503160213	-31.363785645431797	-508.73018692809944	-217.92287774249007	0.03574779870526397	0.2642308180232792	0.08118562852492815	0.3776333101998883	0.2609104066569658	0.12501022506919443	0.17437692343201627	0.4028736503116576	0.18153086235902757	0.281042950882404	0.20618877722076712	2.9499779753204365	2.6705374763658054	0.9540361370595359	1	2	2.342637776653306	185.13872196944183	65.87594824996636	374.4824594509911	82.09749248389546	185.13872196944183	72.30928737178938	69.45108684830961	78.82164372920569	83.3051840216844	131.02065286108893	121.46465328939925	93.26741096629331	96.97504749810024	84.41242410267186	94.11231229163985	81.84615350791842	95.27079542835182	105.28826864176942	80.22521641817605	77.48248462306938	86.14981645138728	123.18573081724603	85.33750371550592	77.90290796634571	84.26925610334028	75.70459306493746	74.89205766302995	111.80307265676002	90.02744768713725	96.13235827369355	68.37684840539151	84.32543077572558	93.9269853747602	88.41542267927494	97.58281112397125	79.94970412888911	81.62142925719466	66.06657269981942	66.26962806802034	65.87594824996636	77.58702173100119	66.53396142255633	107.77959524449639	114.13731351748889	92.09263966865515	93.29942520226957	83.26314253355508	67.12921882838114	71.97894622572875	93.71843231573995	101.94510223430238	76.38567549273593	77.05353853887028	68.44544741942136	72.90666665496138	68.72533140810505	75.79569679346307	73.50821439688404	70.67416778852098	74.8151920826613	101.27187893315248	89.50365391178156	89.76918133669902	67.04957465501604	66.08061704997739	91.79641335111441	87.03749131645674	95.99874775013677	79.87245741007645
45000	-761.3722346698527	-43.7055593800867	-503.9680170951395	-213.6986581946265	0.03331191211316617	0.11330976330473641	0.06919255470550059	0.29515984196463724	0.23818568792994213	0.08387452911855083	0.14021098437218854	0.5892007449437832	0.16733054194435476	0.25284660701240846	0.4556019712225821	3.836848274089639	2.8383482761327916	0.8988330932168468	2	3	3.3362433162866934	186.73921426209012	65.50425020036444	396.4478127480674	81.7864653604017	186.73921426209012	73.50011084541099	69.50112266154001	80.52703802101504	83.96639273382763	124.01613147347706	124.13325777540932	93.16349492912704	93.81714858087999	85.18772728872827	99.71092562039948	82.03163686757546	96.25385346127159	105.03572964756765	85.47950166622553	77.65384324900288	90.05720043315274	124.38255138721297	85.92661902342947	78.1333468311454	85.44899167822521	74.76454005498589	74.89017895146652	113.4307583793735	90.52653995148256	96.60738352502169	68.54299715954481	83.09024984281133	93.92224922475239	89.35025120578392	97.69166283800182	79.94604872197549	81.35442324238265	66.27243064474868	66.72696409057812	65.50425020036444	76.28160447675057	66.40764489654977	106.36372200257321	115.91037567791427	92.84572070596906	93.81654437207307	82.68806848443084	65.57449716173323	75.44452976664029	92.44408831679641	100.14930024905709	74.31148079961525	77.11094895571875	70.72991801974231	73.15166407289175	70.44919395108971	77.21441884201667	68.98356851429122	67.6421930517317	74.88016356865894	102.17197701267162	89.70239751785135	88.15019330708863	68.0841241740971	65.78671006319813	93.08382651084614	87.20651582248476	96.56178475606846	79.76210767562388
