accepted_name	status	max_ma	min_ma
Ankylosaurus magniventris	extinct	72.1	66
Ankylosauridae	extinct	83.5	70.6
Ankylosauridae	extinct	70.6	66
Ankylosauridae	extinct	83.5	70.6
Shamosaurus scutatus	extinct	125	100.5
Ankylosauridae	extinct	83.5	70.6
Pinacosaurus grangeri	extinct	83.6	72.1
Ankylosauridae	extinct	83.5	70.6
Ankylosauridae	extinct	83.5	70.6
Pinacosaurus grangeri	extinct	83.5	70.6
Pinacosaurus	extinct	83.5	70.6
Ankylosauridae	extinct	83.6	72.1
Ankylosauridae	extinct	83.6	72.1
Pinacosaurus mephistocephalus	extinct	83.6	72.1
Tarchia gigantea	extinct	83.6	66
Tarchia gigantea	extinct	83.6	66
Tarchia gigantea	extinct	83.6	66
Saichania chulsanensis	extinct	83.5	70.6
Tianzhenosaurus youngi	extinct	100.5	72.1
Ankylosauridae	extinct	83.5	70.6
Ankylosauridae	extinct	83.5	70.6
Ankylosauridae	extinct	83.5	70.6
Ankylosauridae	extinct	83.5	70.6
Ankylosauridae	extinct	83.5	70.6
Ankylosauridae	extinct	83.5	70.6
Oohkotokia horneri	extinct	83.6	72.1
Anodontosaurus lambei	extinct	83.5	70.6
Ankylosauridae	extinct	83.6	72.1
Ankylosauridae	extinct	83.6	72.1
Ankylosaurus magniventris	extinct	70.6	66
Ankylosaurus magniventris	extinct	70.6	66
Ankylosaurus magniventris	extinct	70.6	66
Ankylosaurus magniventris	extinct	72.1	66
Ankylosaurus magniventris	extinct	72.1	66
Ankylosaurus magniventris	extinct	72.1	66
Ankylosauridae	extinct	83.5	70.6
Ankylosauridae	extinct	83.6	72.1
Ankylosauridae	extinct	83.5	70.6
Ankylosauridae	extinct	83.5	70.6
Dyoplosaurus acutosquameus	extinct	83.5	70.6
Ankylosauridae	extinct	70.6	66
Minmi	extinct	105.3	99.6
Euoplocephalus	extinct	83.6	72.1
Ankylosauridae	extinct	83.6	72.1
Ankylosauridae	extinct	83.5	70.6
Ankylosauridae	extinct	83.5	70.6
Euoplocephalus	extinct	83.5	70.6
Ankylosauridae	extinct	145	100.5
Ankylosauridae	extinct	113	100.5
Euoplocephalus	extinct	83.5	70.6
Ankylosaurus magniventris	extinct	70.6	66
Euoplocephalus tutus	extinct	83.5	70.6
Ankylosauridae	extinct	83.5	70.6
Ankylosauridae	extinct	129.4	113
Euoplocephalus	extinct	83.5	70.6
Ankylosauridae	extinct	83.5	70.6
Ankylosauridae	extinct	83.5	70.6
Shanxia	extinct	100.5	66
Anodontosaurus lambei	extinct	70.6	66
Talarurus plicatospineus	extinct	100.5	89.8
Ankylosauridae	extinct	85.8	70.6
Cedarpelta bilbeyhallorum	extinct	125	100.5
Ankylosauridae	extinct	83.6	72.1
Ankylosauridae	extinct	83.6	72.1
Ankylosauridae	extinct	83.6	72.1
Platypelta coombsi	extinct	83.5	70.6
Euoplocephalus	extinct	83.5	70.6
Euoplocephalus	extinct	70.6	66
