Species	Status
Ahshislepelta_minor	extinct
Ankylosauridae	extinct
Ankylosaurus	extinct
Ankylosaurus_magniventris	extinct
Anodontosaurus_inceptus	extinct
Anodontosaurus_lambei	extinct
Cedarpelta_bilbeyhallorum	extinct
Chuanqilong_chaoyangensis	extinct
Crichtonsaurus_benxiensis	extinct
Crichtonsaurus_bohlini	extinct
Dyoplosaurus_acutosquameus	extinct
Euoplocephalus	extinct
Euoplocephalus_tutus	extinct
Gobisaurus_domoculus	extinct
Minmi	extinct
Nodocephalosaurus_kirtlandensis	extinct
Oohkotokia	extinct
Oohkotokia_horneri	extinct
Pinacosaurus	extinct
Pinacosaurus_grangeri	extinct
Pinacosaurus_mephistocephalus	extinct
Platypelta_coombsi	extinct
Saichania_chulsanensis	extinct
Scolosaurus_thronus	extinct
Shamosaurus_scutatus	extinct
Shanxia	extinct
Talarurus_plicatospineus	extinct
Tarchia	extinct
Tarchia_gigantea	extinct
Tianzhenosaurus_youngi	extinct
Tsagantegia	extinct
Zhongyuangosaurus_luoyangensis	extinct
Ziapelta_sanjuanensis	extinct
