it	posterior	prior	PP_lik	BD_lik	q_0	q_1	q_2	q_3	q_4	q_5	q_6	q_7	q_8	q_9	q_10	q_11	q_12	alpha	k_birth	k_death	RJ_hp	root_age	death_age	tot_length	Ahshislepelta_minor_TS	Ankylosauridae_TS	Ankylosaurus_TS	Ankylosaurus_magniventris_TS	Anodontosaurus_inceptus_TS	Anodontosaurus_lambei_TS	Cedarpelta_bilbeyhallorum_TS	Chuanqilong_chaoyangensis_TS	Crichtonsaurus_benxiensis_TS	Crichtonsaurus_bohlini_TS	Dyoplosaurus_acutosquameus_TS	Euoplocephalus_TS	Euoplocephalus_tutus_TS	Gobisaurus_domoculus_TS	Minmi_TS	Nodocephalosaurus_kirtlandensis_TS	Oohkotokia_TS	Oohkotokia_horneri_TS	Pinacosaurus_TS	Pinacosaurus_grangeri_TS	Pinacosaurus_mephistocephalus_TS	Platypelta_coombsi_TS	Saichania_chulsanensis_TS	Scolosaurus_thronus_TS	Shamosaurus_scutatus_TS	Shanxia_TS	Talarurus_plicatospineus_TS	Tarchia_TS	Tarchia_gigantea_TS	Tianzhenosaurus_youngi_TS	Tsagantegia_TS	Zhongyuangosaurus_luoyangensis_TS	Ziapelta_sanjuanensis_TS	Ahshislepelta_minor_TE	Ankylosauridae_TE	Ankylosaurus_TE	Ankylosaurus_magniventris_TE	Anodontosaurus_inceptus_TE	Anodontosaurus_lambei_TE	Cedarpelta_bilbeyhallorum_TE	Chuanqilong_chaoyangensis_TE	Crichtonsaurus_benxiensis_TE	Crichtonsaurus_bohlini_TE	Dyoplosaurus_acutosquameus_TE	Euoplocephalus_TE	Euoplocephalus_tutus_TE	Gobisaurus_domoculus_TE	Minmi_TE	Nodocephalosaurus_kirtlandensis_TE	Oohkotokia_TE	Oohkotokia_horneri_TE	Pinacosaurus_TE	Pinacosaurus_grangeri_TE	Pinacosaurus_mephistocephalus_TE	Platypelta_coombsi_TE	Saichania_chulsanensis_TE	Scolosaurus_thronus_TE	Shamosaurus_scutatus_TE	Shanxia_TE	Talarurus_plicatospineus_TE	Tarchia_TE	Tarchia_gigantea_TE	Tianzhenosaurus_youngi_TE	Tsagantegia_TE	Zhongyuangosaurus_luoyangensis_TE	Ziapelta_sanjuanensis_TE
0	-849.4188829645602	-19.9778926022861	-583.6841780668435	-245.75681229543056	0.36651783344990996	0.36651783344990996	0.36651783344990996	0.36651783344990996	0.36651783344990996	0.36651783344990996	0.36651783344990996	0.36651783344990996	0.36651783344990996	0.36651783344990996	0.36651783344990996	0.36651783344990996	0.36651783344990996	1.0	1	1	1	184.42641652349974	60.232195017313	369.43367320303815	81.81435231459666	184.42641652349974	72.30222038620329	69.9061697645861	78.84730797764743	82.69772398841937	135.80083447292267	117.5957076717313	92.99389075305407	93.84272904987375	83.62865897346285	82.7385564781312	80.77058024139372	93.95622481839315	102.07200635032733	80.48791297253744	77.41070058208855	88.5090674033997	140.8400510074621	84.41101627004556	77.71833184991277	83.8611851563674	76.65518654846252	74.91623809510084	113.80017438556092	89.89045248246907	96.05637921331927	68.34067171802884	83.79209211003074	93.53059557693248	88.54556525290063	96.97026819988383	79.9967436874543	81.40789064568713	65.20370705216207	66.66330017669549	65.98104061918774	77.2157294547957	67.43095762609046	102.91221792732283	117.53123959608035	92.88037551819991	93.67923450006012	83.38888503607946	62.87147586180417	75.81565579522142	93.6399576261448	101.82416516969583	76.39508194348745	77.27572134874778	69.78400575217766	73.64523480845313	70.23971779646614	77.42209693488847	73.58231752614367	70.78571361882535	74.4240965491822	103.70584096047337	89.55585109769427	88.10826561674104	68.0892098019413	60.232195017313	93.38529336100062	88.2386142856171	96.50639665309352	79.87085339568793
5000	-797.7131375404618	-36.812900466774906	-550.7625612900928	-210.1376757835942	0.23207834123218513	0.3206000698442054	0.25996142180846277	0.3459480553053181	0.4196684100638354	0.19030734042580902	0.24996045131543396	0.23761003297571326	0.6235834463681684	0.1918193706896758	0.31399721497106603	0.6525590891181806	0.8505757301067768	2.3021052508328124	3	2	2.2247412921300653	186.41660666915487	60.14367866277674	397.01388476007924	81.78821678293565	186.41660666915487	75.91172536590541	71.02481704323166	79.45732736887821	83.73283292962796	132.78867153175656	118.38600159595451	92.9749658966425	93.8376050513021	83.48295821941522	82.75547043607025	81.37032726234858	94.25920892427094	102.72923652766413	83.04628899356167	77.5062142076458	86.06000756937875	143.63261758229004	82.0476246866309	79.02288875892899	84.66649877747318	74.80980506473392	74.89102625085334	116.8275478212334	89.80824550068581	99.7438724222528	68.51132275653526	86.12352905192215	93.50419364731992	90.19486722333218	97.01235304123905	80.56686050512722	81.69979441095518	65.53663578624545	66.7458897966407	64.62000554876838	77.165924044785	66.40346909068485	104.70994978552781	117.17455846622104	92.38380449294453	93.68547093286068	82.92844671306781	66.59771721728686	74.15753589718662	93.4817068789197	102.04664638023888	75.2014361070305	77.25706397854812	71.80032806177614	71.27386477063986	67.16008342335645	76.50318457241796	73.55452747783188	70.92073880929914	74.87990183586655	101.74975548047367	89.69065791738909	88.18528032703674	67.99795414242772	60.14367866277674	93.18101875785591	87.9143479874744	95.41751320115654	79.70895975053283
10000	-786.1058868119156	-43.881816327701934	-524.1694405910968	-218.05462989311695	0.08355611180577095	0.20829874346230376	0.2576611748747327	0.3261745038851458	0.4773098336768351	0.13483786160843592	0.28948888593739136	0.35999400514497326	0.7297068811132376	0.24031163941636732	0.2533593064349193	2.285721214126971	1.1921433263126135	1.3610770675200128	3	3	2.7958116383669935	185.1452649750845	60.481907107435994	411.4663211306406	81.7746800714907	185.1452649750845	72.4338278766366	69.44029330929554	79.52541426292265	80.88806560630326	134.62710068212053	117.8076107606281	95.97127039291834	94.50409234938162	84.48533299453194	82.5578383209114	79.90345345343144	95.97252948172712	104.16235705589744	81.47945817293726	77.40997002302854	83.82323607905145	141.96195014414107	83.42242672335928	77.94094884987543	85.89703384249523	76.0813919718856	74.93390308409126	117.33410273811731	91.23267907373223	97.31030136413078	69.89860427014209	83.41435320540734	93.81177147705827	88.64762872486759	96.93389593192109	79.9894363183401	81.60011912308579	66.21605723042428	65.72748728219189	64.18600323090581	77.53240300508259	66.14415511523877	101.85745122325163	117.02205069556969	92.27688437195955	93.61944479118392	83.20183564522695	64.21800155375676	75.74940780693278	93.57090671185668	101.04804179038828	76.81696695499437	77.27420837543957	67.81664265275347	72.51521883557196	64.99251344703535	77.44199959151534	71.11801441174383	70.66819359377025	74.86258293227743	97.34431278427286	89.56047887292011	85.31194309678543	65.81711301221763	60.481907107435994	92.14533511800282	84.51417876076557	96.73146506449432	79.87257826817066
15000	-762.759153245621	-35.972697899158184	-508.2906325790711	-218.49582276739164	0.07174678471908995	0.3047433763507668	0.1800502264233327	0.7274598440032208	0.4527446243852508	0.14138691155108757	0.2728316273222933	0.3265392788982008	0.600457041761913	0.23989243097990928	0.1469372780713822	3.1599165529694826	2.5725186756381997	0.968363904583038	1	3	1.6345752209103357	185.99508780849231	62.2351465640048	399.3345533209112	82.02214563159198	185.99508780849231	72.54611931138736	70.0057347541469	79.09937745838089	81.17296972302054	130.8078734935098	117.73555898522635	94.22552474591465	93.87428279098785	84.79333553022214	82.61396359073484	79.93712381819373	94.20663475279946	102.06630100033837	85.09663325647911	77.53290887902932	83.01388900170952	143.33932658893895	87.10365266756038	77.54052283257164	83.9059514666398	74.79839375319905	74.95287992068212	114.94786553929364	90.19467551631013	98.41800517314284	68.23198758894627	83.11283867868933	94.91815513738403	94.76058947439215	96.83457920375147	79.96040555332524	81.42975086673533	66.0933797538586	66.49877691333337	65.90813239317082	77.52780600215475	67.36490270545576	108.62070835322925	115.7204036081933	91.70477294913191	93.70250354006292	82.88187731905562	65.14904641521649	75.84860590686769	93.66472287314402	101.98026142911239	75.54396075938358	77.3494549428243	72.09137652762068	73.58977563618404	66.59086590289817	77.41125769870905	67.3314141840085	69.86415310851616	74.86880906266516	94.99908376227673	84.88468195523939	85.50287542171736	67.94823068376371	62.2351465640048	92.65088241698288	87.91607058656058	96.08100973413417	79.47604032986948
20000	-766.7642056600474	-36.44442025361273	-512.4325634831807	-217.88722192325395	0.08463536382307073	0.46544717846688033	0.17095200000120023	0.6403592116309201	0.969958464212658	0.24560337039262564	0.23461552120508464	0.2887164546945811	0.6054624069484394	0.1239869611975099	0.137842606017269	3.845872977598573	1.9733011233429922	0.9017864387486503	2	2	3.2788222813423227	190.9587476294925	62.45396937972721	395.5011627029914	81.81349944370152	190.9587476294925	72.37605346354174	69.5772008196664	78.73222337533149	81.02417437450431	128.30148385842273	117.6642514642312	94.327885822156	95.42278414325703	84.11981282143135	83.21213011510892	81.39711542095986	96.66946379658776	102.31195524015465	85.52052078840407	77.46427862455141	83.51294468192694	141.88830576020786	81.69129356965074	78.14175062434023	83.1773824463167	80.83043702687137	74.88896069437949	111.33175782444773	90.57653828431893	95.90585677576861	68.67879464151052	83.08287844211966	93.49930706519633	89.40888167660981	97.55710031819069	80.07866142287887	81.70421437697595	65.52384158383923	66.22771746068497	65.58576747352319	77.24226788389431	66.20341610762466	105.30692530929674	117.4960618713918	92.53088796794236	91.47510371351608	83.10789982473314	62.45396937972721	75.36693144221962	93.19158118997066	100.35640022756938	74.98363775282003	77.28391690904068	71.81206476864976	72.9147918914165	67.53724392302196	76.7817486933435	72.71432497519147	69.3432818312346	74.86765871903822	96.07988998422452	87.3687189487846	84.5046979511756	66.99437861940228	66.90890181753288	93.49068570502902	88.13529829721676	94.32546258771221	79.82358056550213
25000	-764.4126941827811	-41.73325958955048	-509.8815852902412	-212.79784930298945	0.0645869319029907	0.39190656505531274	0.12165366827887078	0.4453847130107331	0.3333173876388713	0.3530777427855586	0.22830858622004266	0.28029485639181645	0.7708607671099375	0.09146824523994711	0.08613792416723427	2.8932347195840156	2.5749155164559743	1.0432754518490992	3	2	3.0945815988357497	188.84978006366347	64.81071304033223	388.57344284158825	81.78349720664737	188.84978006366347	72.32625804477304	69.85409739135609	79.83802149061812	86.15516398505386	122.24732009002199	118.15167463540887	93.62014967841917	94.0371354188639	84.25521746311688	84.054235347592	82.17626751334247	93.82763906202884	102.16425335204168	85.45595803076596	77.40980287473867	83.73101931777816	139.38933550706582	84.56397248770264	77.85343961433185	84.0482088206731	75.7335866791534	74.95100497376256	112.30054517905715	89.91837213352568	101.76641639242217	68.41094845319526	83.26214714765534	94.40049237533906	89.31702074605808	97.16315237533654	80.97183939826756	81.65953140744925	66.00427841659852	66.91378913995453	65.61116608834614	77.55694269867249	65.46465024859066	107.65058202777165	114.7452663871212	91.70680757745096	93.45960142476639	82.72286902701782	65.27059320555678	75.85457864065027	93.820914622541	102.05479492432471	76.30650383813918	77.27217188847568	71.92619207483676	72.24017397380278	67.46774526585611	77.5042517327545	71.80413598769465	66.0718293308865	74.15797755304409	96.93879298282867	89.60168235267267	87.38283823416371	68.10528909033269	64.81071304033223	90.47279854151745	88.14803039320886	94.84343648856188	79.86360180226771
30000	-763.669585495766	-42.04419491376949	-508.23288482243345	-213.39250575956305	0.08199910893064773	0.3992489401247105	0.3318489947386148	0.5985127436802393	0.4106092432225685	0.18780332453483045	0.16135378536634956	0.6793022018353275	0.259317825344766	0.08474202722335751	0.07674494872649905	4.000705809584567	2.279806642377804	0.8374060838838702	2	3	2.3176854989444866	187.9786776444946	65.80165514333176	403.659102438892	81.77846667361281	187.9786776444946	72.24212968800009	69.48454863970444	81.97638489654305	81.61773933291505	125.27967767569979	117.63933524667496	92.93701994464128	94.03098954123199	88.18553632674346	83.00225265569486	80.81157523825433	94.77729276828734	106.66713407747069	87.59087686652335	77.51004677892071	84.8830167733695	138.01931805896922	84.43466027437236	77.53392022723501	83.53892110670978	76.26899134148087	75.45563236447713	114.47721431298807	92.12420578295877	103.02144376603407	68.23353827166285	85.9697556044098	95.1296793156693	89.84587163258098	97.17657501368222	79.95423711672578	81.74006689572803	65.80165514333176	66.05934220248872	65.9392531691511	74.50014867668673	66.25541719144292	106.7756993786491	117.20879391068958	92.81434101327399	93.28295341283153	83.16663464397666	66.58164931018952	71.25478414334523	93.29729200457581	99.69175066814809	76.34031320544923	77.22732468227815	67.99579419432231	70.57738967479901	67.69299033327044	77.31395760603586	73.46116639146898	68.71768269811878	74.87540606654356	101.42218883528547	88.04446492347606	89.52202553854089	68.12176312531491	66.16430248513298	92.17632464167986	86.08592286434475	95.87572142261764	79.93304206665891
35000	-760.8176430130173	-31.33279001384487	-508.6705289976155	-220.814324001557	0.009871332526595602	0.2412046590088891	0.282196782991064	0.21405540294633535	0.31003876467146335	0.15863599818058788	0.19865661598609155	0.9825621242919915	0.36507880360404854	0.17326251856052366	0.04824470322669648	2.6673242038576457	2.0292033987856515	0.9708334321658374	1	2	2.066060628069288	189.64935015247494	62.10336588225181	383.47775972132354	81.80916554589243	189.64935015247494	73.9906020476162	69.59976206619469	83.37288303014387	81.07139494411956	122.70209121133924	117.87277983652938	92.96839393497626	94.42868767969448	83.89617676053793	82.88142758084905	81.92743888335283	93.85737199743663	102.98056509579605	80.53922807893218	77.5649059887152	83.29328649459548	134.37322448379894	84.39553388748921	77.80605632612469	83.27772867030964	76.67729756106586	75.00934674656187	110.09503035776373	90.3346766340545	104.05745307944049	68.31315785582541	90.85444732775093	93.9120264255478	88.41504079418323	97.23555244016626	79.95244602753469	81.73661592475004	65.91792644736385	62.325792648503025	65.98984160638305	76.85955864651999	66.39092151282911	108.76781326914947	116.11473777275799	92.43881434974014	93.40004128692864	83.3344929444868	62.10336588225181	72.18581907506524	93.73314848022237	101.64252256710806	73.91664705684765	77.24123640651405	71.46313784964373	72.88041861489181	68.54218750815808	77.48747028444232	70.98717054674746	69.96522905042292	74.82952139766425	101.24901680920362	89.64376928335389	89.76928203179403	67.91552367310659	64.71581113533179	88.35088309755908	88.15270572901402	96.25130066980913	79.33404666692606
40000	-752.8838727457473	-42.74059201049798	-503.71859418055914	-206.42468655469025	0.02242584210410881	0.14000118687539967	0.29536931885450934	0.29240554341614167	0.17764726433853356	0.27504918421301755	0.16798701726431975	0.715437948873363	0.21544571965832468	0.1463574178107936	0.025112596450299417	2.6950919201026937	2.6128560799353244	0.8881018268931511	2	3	1.1486606578482212	189.7727943971129	63.84790019655572	368.0150448058415	82.45064906791029	189.7727943971129	72.52109324109324	69.58138998624216	78.999244551143	80.90649864640196	127.03294907028655	122.37433974030573	93.04927259375296	95.11313742232387	83.44449038406806	82.98032609128421	79.91342725351102	93.83659281845323	103.0603703666623	80.9160957307977	77.38989879820107	87.81500729331295	131.61137323124063	84.70377918719014	77.559173621956	83.45275974906112	75.23944579851378	75.10068354217798	112.25313229734054	90.82326242428567	97.72540527580799	68.50370741200216	89.8091054681977	94.55746394795368	89.79018719113807	96.7653806250841	80.27631526869068	81.03787953544118	65.86666424802691	66.49279947206942	65.81869986825674	76.64202608490216	63.84790019655572	107.54528341626623	116.20703402116274	92.89182318439799	92.90601193517368	83.36475960852125	66.97858829158636	75.71324557939194	93.60062255306627	101.69788879506855	76.27781019840222	77.0511377907412	71.38876118772988	70.56585507249179	68.35428177961859	77.44152909211887	73.45857875575983	70.26314253188424	74.85426021693131	105.21259504563518	89.19051374719191	86.76528521023216	67.92802744321109	66.80689976090231	92.71082040855683	86.77175356521478	96.1894735783798	79.4717555127728
45000	-776.3255914775206	-44.41858067891634	-516.2075442739327	-215.6994665246715	0.026690973949296627	0.2697517710067703	0.1572927133584994	0.3078475049181578	0.2406446681477332	0.21009439091132195	0.09492565965322386	0.42050732578458644	0.10560181226603087	0.12347917195222806	0.05413900388052601	3.4655512159715136	2.2709874563792996	0.9294994332995125	2	3	0.976221218295124	185.54698437891074	62.34974371649328	402.1396382170541	81.92594144912756	185.54698437891074	72.2204519092222	70.05537816137581	78.71929826533405	81.23980035788684	126.95360280442864	120.88509536516072	93.02973371472642	93.94207506812448	89.17382040096685	88.61437096893407	80.44817615557535	95.04121503444495	102.30449381783266	80.29230579850784	79.37822590889017	87.99953833407592	130.53295897594757	89.951627959446	77.61441316601966	86.55297378336279	74.81441794285466	74.98268962634843	113.53943381597855	90.47695207023287	96.94710867189538	68.28113632516184	84.24528979236361	93.6419768712825	90.02873334808496	100.82600277457287	79.97067068043502	81.44250631081462	66.069376909192	62.34974371649328	65.42031306347387	75.78057188895255	67.34546489746918	104.63613439055327	117.53010068798537	92.50120137785422	93.63493339155961	83.10942033747288	66.55513520514312	74.60702948053442	93.70468861639459	101.61615520829716	75.84651300154471	77.05797633765555	71.34549499975958	67.69242232903073	67.38392187108141	77.32530607697612	67.18504739444738	68.01819689414533	74.8671376763774	103.73236704937743	87.99365088099572	85.94622711484311	67.81587530058529	66.95641952918173	92.39939759984314	84.23800921154817	96.39850488663204	79.53201184424297
