it	posterior	prior	PP_lik	BD_lik	q_0	q_1	q_2	q_3	q_4	alpha	k_birth	k_death	RJ_hp	root_age	death_age	tot_length	Achelousaurus_horneri_TS	Agujaceratops_TS	Agujaceratops_mariscalensis_TS	Anchiceratops_TS	Anchiceratops_ornatus_TS	Arrhinoceratops_brachyops_TS	Avaceratops_lammersi_TS	Brachyceratops_TS	Bravoceratops_polyphemus_TS	Centrosaurinae_TS	Centrosaurus_TS	Centrosaurus_apertus_TS	Ceratopsidae_TS	Chasmosaurinae_TS	Chasmosaurus_TS	Chasmosaurus_belli_TS	Chasmosaurus_russelli_TS	Diabloceratops_TS	Diabloceratops_eatoni_TS	Einiosaurus_procurvicornis_TS	Eotriceratops_xerinsularis_TS	Judiceratops_tigris_TS	Kosmoceratops_richardsoni_TS	Mercuriceratops_gemini_TS	Mojoceratops_TS	Monoclonius_TS	Monoclonius_crassus_TS	Ojoceratops_fowleri_TS	Pachyrhinosaurus_TS	Pachyrhinosaurus_canadensis_TS	Pachyrhinosaurus_lakustai_TS	Pentaceratops_TS	Pentaceratops_sternbergii_TS	Rubeosaurus_ovatus_TS	Styracosaurus_albertensis_TS	Titanoceratops_ouranos_TS	Torosaurus_TS	Torosaurus_latus_TS	Triceratops_TS	Triceratops_horridus_TS	Triceratops_prorsus_TS	Triceratops_utahensis_TS	Utahceratops_gettyi_TS	Vagaceratops_irvinensis_TS	Xenoceratops_foremostensis_TS	Achelousaurus_horneri_TE	Agujaceratops_TE	Agujaceratops_mariscalensis_TE	Anchiceratops_TE	Anchiceratops_ornatus_TE	Arrhinoceratops_brachyops_TE	Avaceratops_lammersi_TE	Brachyceratops_TE	Bravoceratops_polyphemus_TE	Centrosaurinae_TE	Centrosaurus_TE	Centrosaurus_apertus_TE	Ceratopsidae_TE	Chasmosaurinae_TE	Chasmosaurus_TE	Chasmosaurus_belli_TE	Chasmosaurus_russelli_TE	Diabloceratops_TE	Diabloceratops_eatoni_TE	Einiosaurus_procurvicornis_TE	Eotriceratops_xerinsularis_TE	Judiceratops_tigris_TE	Kosmoceratops_richardsoni_TE	Mercuriceratops_gemini_TE	Mojoceratops_TE	Monoclonius_TE	Monoclonius_crassus_TE	Ojoceratops_fowleri_TE	Pachyrhinosaurus_TE	Pachyrhinosaurus_canadensis_TE	Pachyrhinosaurus_lakustai_TE	Pentaceratops_TE	Pentaceratops_sternbergii_TE	Rubeosaurus_ovatus_TE	Styracosaurus_albertensis_TE	Titanoceratops_ouranos_TE	Torosaurus_TE	Torosaurus_latus_TE	Triceratops_TE	Triceratops_horridus_TE	Triceratops_prorsus_TE	Triceratops_utahensis_TE	Utahceratops_gettyi_TE	Vagaceratops_irvinensis_TE	Xenoceratops_foremostensis_TE
0	-1797.1414728631341	-14.187687582343091	-1504.6048343680698	-278.3489509127212	0.5101850895940125	0.5101850895940125	0.5101850895940125	0.5101850895940125	0.5101850895940125	1.0	1	1	1	98.06248347665455	60.87377953413971	341.04909785671657	83.77028327882142	66.77023216131252	84.1451913942849	77.24979274401554	68.91436229791859	82.13110247340971	75.396147214683	81.99181537993839	66.36774943675653	77.7196624421364	82.60301349900531	84.54376983046973	90.41705658970108	83.99597125008555	81.40726780453409	80.0314718412386	83.86381737423014	72.4600333407497	82.72842496778723	80.50798536064734	70.02959733988533	82.67824904681095	76.3663754132111	98.06248347665455	83.51004280631331	83.98968413409912	72.81376216923725	66.53775567822821	82.85622212199719	83.25423195947846	77.61965867004047	82.71477629377614	85.25652372868	75.14579688362852	82.9526701213146	81.41401483027543	67.75844900427434	70.0557477023617	72.12679747280286	83.49699888516494	72.15969134625162	69.75413483609073	75.05406518572353	85.98468960652514	75.91675384212915	74.13218876844533	66.52281064111924	70.05522167153188	72.97754232551266	66.33130499126305	81.9215434261882	75.20169229006075	74.75128444075874	66.21764430066496	70.81749549901336	74.75381213998452	70.81463538829992	66.02686186674461	65.91531848597191	74.80436273890277	71.05797383053354	72.28271002513311	72.2692768662133	82.35720675336607	70.81308777021236	69.92558714068512	82.34102528024248	76.33977681616655	60.87377953413971	73.78407727141825	72.51341554912943	70.20804330274115	66.34635533296228	61.29580298978638	68.80769493455043	77.4773547899334	66.4143606118083	68.02045734327403	72.65299687487332	71.02326208756266	81.19338293221344	67.68599518632051	65.91595202903197	66.16082799663167	65.1760779879955	66.9910917329932	69.7304484545416	74.89767663636513	71.86905971780745	75.80674862686962
5000	-1426.7437670889522	-32.183006890327874	-1153.3215967789454	-241.2391634196788	0.2705520905138883	0.21600135841047446	0.29614900905642483	1.4470267353867576	5.808300087961289	0.37496990402043795	2	3	1.9966542370621172	94.44498582483718	63.24392633116502	357.5042885431845	85.9727335657541	66.56513191464387	82.55041025501919	77.28153551876852	69.27477372436161	82.6073051816183	76.20252623859648	85.58487174255743	66.3706073147653	78.70187022385497	84.89843007421193	83.99511443779936	93.08947282865361	85.4178400973388	82.91511554488447	81.75668770472781	85.10998611871656	72.49702533589856	82.52628031324795	80.92527107966133	70.30658525934211	85.28176917269303	76.9165465106067	94.44498582483718	82.91747612751665	82.25217251983644	73.72498727589284	66.84152543560938	83.66571657695911	89.08207119567015	78.81840141912807	83.32739905952151	82.41314049376506	74.28537552339601	83.01090762381475	82.39862232712561	68.47498717931141	70.28411978647242	72.09229439575266	84.12971400021507	72.10597577886992	69.7733097760117	75.6306284742025	86.8484316653921	76.17269112960172	74.96109409923956	66.46352179252973	70.70458984881067	73.1859317538885	66.52021490372766	80.42769175912424	74.8147621198462	74.02379117663384	66.32819758504584	70.81874351205728	74.31309477190446	70.71874766885028	65.95903581573867	66.09259081111185	76.10000465283326	70.73843917402654	72.71707770621283	72.364379764736	81.83866168597366	73.1605642155561	69.58474473744275	81.68808567257662	75.97332402949704	66.36219699241013	71.23387927979148	71.66190307016731	70.52005529246348	66.51091524159807	63.24392633116502	69.08790270773652	76.70645405869158	67.93617028702333	68.28316809789956	72.57297235448388	72.0724695707253	81.06172902123394	67.55811436226493	65.82113302426953	65.47964493557241	66.00800829527347	67.40733997694166	69.6026873642117	74.55928370925366	72.92292684273849	75.82836513016073
10000	-1408.2685806665436	-36.098005461968995	-1133.4374462627222	-238.73312894185233	0.30424370777474957	0.27804004490940665	0.23072216611045582	1.4333339948555737	6.422405270326483	0.3098102669768671	3	3	2.653806279049659	90.55778681972374	65.38051040516956	365.13546804209267	82.99338674318169	66.5776157952576	82.32559121097364	80.35514827571565	68.86808348156818	82.01469008231439	75.40794770167612	87.06067431257999	66.48122241716325	77.5279629078094	89.83623026768699	86.01067682926373	90.55778681972374	84.10894168774126	83.53537775100408	81.30281326766551	83.24015882671787	72.54424704870102	82.60698841033742	80.71890408600807	70.01806856166372	83.19942526584884	77.1936154986579	89.95604489986987	82.78695327686985	87.16311045784106	75.37350138023133	66.53416908272608	83.01297297878271	86.6863880737084	78.42883222005952	84.0043690907871	83.61928584910562	78.01272545147833	84.90438118428904	81.46114061192837	67.72248729770831	70.0671713457043	73.45598922767395	84.40728441494808	73.70692557341351	69.75479342822355	75.40619622555846	86.85539301307588	75.96125295906096	72.90288015685431	66.46858843289905	70.88433914754398	71.4812584024003	65.38640387394025	81.6115924132448	74.19830975895569	72.89338340545406	66.11517213340973	70.42955237550879	74.1945564051794	71.1431484608748	66.06596560499999	66.08566703003156	76.05480373652854	71.57537199492076	70.30822427530421	72.36838202560072	81.99497864612306	75.15324202963848	69.76460911661246	81.99149324037286	75.87339092301434	66.60533268130344	74.74605218364198	71.91450311032298	68.83755413353606	66.43447706675724	67.60628418327548	65.89650450984647	75.22014645609525	67.90632575818258	68.39600440473673	72.86402152514844	72.10599315517288	81.29803529677156	67.69129281763813	65.38051040516956	65.85177989794202	66.18839456394323	65.72846346610608	69.74689709587363	74.7601306146793	72.92800611575244	75.57943421890414
15000	-1390.9153150590882	-38.615175377797385	-1134.8541559664527	-217.44598371483812	0.3111853555233562	0.3485541759993272	0.336001632360538	1.2986077938166158	6.418644877703253	0.30520510762769876	3	3	3.9643137760071	90.50104950064416	65.80158545235858	350.59239975662155	83.27324835955477	66.82888521512308	82.80222626595882	79.92523194642926	68.7620588250022	82.94322950683299	75.29558127010459	83.2767404133856	66.34773753623199	77.74404708622336	88.78317716915433	84.75363190982655	90.50104950064416	83.30347128914399	82.83979230201683	80.18938229692493	83.45568014491666	72.67966726748581	82.80133833893474	83.24673470287993	69.97403666038103	84.46681547562497	76.43565071121098	88.67168928036187	83.3491890514508	83.25297974198337	75.97049386543668	66.65593445423089	82.78992627879126	84.9154127035381	78.11620536471774	83.23618610603141	83.25396458767773	76.11419587890578	84.38297313399538	83.39253991697491	67.75234592196259	69.99142074309621	72.31618021256278	84.01961356970216	72.16477357137771	69.8217485898396	75.00997286752495	89.31473048059976	75.96213872727688	74.53304225594447	66.43304670758346	70.30186599203695	71.65977860788864	66.34907260944512	81.74690017573121	75.0923343581852	70.28121837347955	66.33110394743099	71.347805963933	74.58281092462184	71.16602948306789	66.05260623295604	65.95525246049272	73.43228234411774	71.67253930782095	71.08314634870197	72.27619025344156	81.89191722376549	72.29572248428705	69.68416379612715	81.99857740346606	76.26282775664362	68.77460696992438	72.63632684335442	72.61187909989839	70.98242970249596	66.47135780008912	70.79770776848105	66.94344382719521	76.35843791431182	66.38991879776285	67.49612711072034	73.08601992203309	71.700469481369	79.85477096811198	67.66606479801246	65.80158545235858	66.13713642472382	66.24681324907817	66.76175616342702	69.63255655853781	74.71595276523007	72.57768203146557	74.41835082565883
20000	-1383.5712792260551	-38.801951945891524	-1128.0434465916428	-216.72588068852087	0.33394439976389084	0.1304334688915858	0.20691158590726771	1.3882950930474305	6.615156393542474	0.2782075231920363	3	3	2.83667271245151	90.51249253561299	65.92994186118764	341.34608591637823	83.02540375611785	66.55215195099528	82.90455928165585	79.40143869279214	69.61788988239147	82.24202686180269	75.67465780574507	84.2606152940134	66.41237943956669	77.44751955770607	84.06847231011157	86.43565733048555	90.51249253561299	85.68267883663079	83.79956608233594	81.6505926326174	83.95272226863477	73.30148217088376	83.01509870238809	82.79570931535861	70.00191381949442	82.42952744559639	76.41549859163491	89.60637496884982	85.13251502941898	82.38650791403535	72.91256791618764	66.59491969097402	83.03756001997174	85.45452674708761	78.17944031879232	83.16089990755603	80.08246170000082	75.44193304446834	83.03509952792317	82.0622151448765	67.72655805344098	73.00286042520317	72.15232254540703	83.50382500386345	73.69751266761662	69.78035327646654	75.51692258371222	88.02697394260032	76.56624015648784	74.061184824679	66.51591432574861	70.96353192191476	73.03889128249595	66.45983647564887	81.88534887201239	73.9524266930005	72.45327211257988	66.29880960378523	71.27707881252556	74.72226924750062	70.9371897193035	65.98488080854352	66.14514288958468	73.27481419407204	69.83943787114995	72.83317173984413	72.38717212884563	80.79329980884087	74.76159467961708	69.94866061663184	82.17725558666827	75.60650307395015	66.28772922141263	77.32849752467027	72.06165076437334	69.72577519797875	66.4856036588397	68.505471565752	69.34994506740628	77.20997001070701	67.41931500420306	67.55150401198702	73.02488405846866	71.76427088199809	80.04539760165225	67.5094841603336	66.17842492065347	65.92994186118764	66.1321813890512	66.26886560535496	69.72494292485369	74.90936527695249	72.77143093123436	74.81222030512059
25000	-1385.1939973304732	-39.24286735308445	-1128.4350719756058	-217.516058001783	0.2674589346938558	0.08894841787428788	0.20750759226575916	1.3772953558096563	6.467719222520287	0.38594839152388993	3	3	3.338444731435607	90.7662802350733	66.06788247490127	334.57307662160406	82.89970637265593	66.56476618927294	82.664187591173	77.11315580280434	69.47310182884821	82.1384959928634	75.7228282889039	82.56749823529447	66.63232613608155	80.07556633315124	83.02855507487888	85.03824310418246	90.7662802350733	83.7039983838623	82.5366596158141	81.36599268957075	86.45451532360522	72.4055064055951	82.8120431571707	80.91194315222069	69.98921812660738	83.24070926498031	77.26022047008395	90.56495582812975	82.74939791913391	84.24954592592225	73.129600113312	66.5769996736581	82.46345905938536	82.21450731732321	77.85127635942274	82.66755661300071	82.74364517521333	74.53846007335846	84.8511708535779	82.45150097253358	67.83718210538858	72.95458708841919	72.75775391194638	83.05996886295245	73.3401650041495	69.78148177282863	74.94951327714612	86.84164537670344	75.88587746881194	72.21190596168064	66.4780722729107	69.8870499448053	72.4677703078284	66.27441205920758	81.80624442681042	74.16776172142886	74.1832644290683	66.2848226307909	71.13022717867543	74.65723853624692	71.03432667547688	66.06788247490127	66.14272155087465	74.31146735055572	70.33573234351019	72.04863125967239	72.3568026263305	80.85988653610497	73.04518566356684	69.83036321168998	82.21602892868358	75.81725506333223	67.89000566834832	77.08156800245558	72.54601322272863	69.38009587285005	66.48984135767036	66.42250382848107	69.22187927279496	77.48537243612923	66.17936904200319	68.73474754878654	73.24361900218408	71.9602826624036	80.81309676439257	67.68296031756175	66.24768578506162	66.11915051420506	66.21635325274735	66.40323629014729	69.63850108226747	74.88175388596363	73.2331625303713	73.76644041170128
30000	-1406.5740811893916	-41.55143908514049	-1141.3209489430772	-223.70169316117403	0.3590046906196756	0.05538432071274927	0.2049184100941889	1.2199550731504754	7.073368248550679	0.2896830996684721	3	4	3.1434064249191307	91.18801390660713	65.51287664983926	355.94751995952674	85.321721892413	66.5696944105764	84.88129391753533	76.92812207063903	68.95077130406577	82.7361754939886	75.94817360870141	82.55195074215946	66.35610000111663	79.72166177785233	82.8387881806799	84.34196113074445	91.18801390660713	83.61352649956505	85.02850532837184	83.6223933365081	84.85838084906253	72.81573422162832	85.00117462779254	81.0314982127592	69.96873207665266	85.08374725468343	76.5441322043698	90.86724357372297	82.85394557865584	83.00878225185082	74.91222320203502	66.54912982015395	83.10668306969008	83.00602016835903	77.64067550803804	83.61504436524456	83.35268956298168	75.10020642159175	85.25858310860113	87.8313380960283	67.86703901585844	71.52455252280716	72.57371361992463	84.04847258967914	72.33099297076168	69.79918773614824	76.84546159012588	84.00180088381566	76.09398329694042	74.18991315151426	66.36662604578953	70.44900413291447	71.9717389027409	66.03582359762247	80.93628425058847	74.14136904742388	73.9002865189999	66.08865663869054	70.7803035563852	74.13972981314954	71.16640606163686	66.03589338549277	66.17497323535888	74.05408437136671	68.84948250426478	72.35875097424424	72.21283308667341	81.89111533080843	73.95128224054922	69.8537614626105	81.40626625306886	76.28371406856371	65.90254869007575	74.82227440313241	71.47306272415886	69.7574875193273	66.45298629881911	69.67563249893938	68.41489005631978	77.38400071535779	66.51105988630178	68.19466422228206	72.68036457962016	72.11871858961939	80.5138146826372	67.68623918483722	65.51287664983926	66.16016855219334	65.98566902920416	67.94908644591804	69.53118825654596	73.94700508075658	72.89552171851261	75.33494362710492
35000	-1399.992739415634	-40.37211875511549	-1135.5969939692504	-224.0236266912682	0.30221220067151006	0.06374139081680726	0.2839454521949433	1.2108184980817356	6.846041989648688	0.28569447556996364	3	4	3.368785670366244	91.43645823211334	66.02382555048388	357.78935332372	83.80138762262145	66.95682157348556	84.43664814764668	79.69192421237966	68.7760682158088	84.79458061618114	75.28498812779279	82.9693253207424	66.34096875811008	81.77054129978686	85.42160229111484	83.48440800392767	90.59194661163338	84.05787737343086	83.7278191482945	86.16606565751935	85.78417572798115	72.44359395881047	82.80048601324772	83.3236921505228	70.03339859417889	83.20299610341932	76.61901743800232	91.43645823211334	83.08265607712038	85.16126913087403	73.87413115974164	66.67682824181111	83.92788053734567	82.82205079680676	78.09439304649236	82.75139745086653	83.04019836443558	74.13804758861049	85.73678939384921	87.73976474986614	67.72943981158079	70.36582003797962	72.12714440036528	83.5312464599672	72.23133227723505	69.75233898926206	75.15443373943337	84.65377834626364	76.30181134792454	71.12908951138542	66.37167873975052	71.09548156247153	72.72183187104667	66.08857398607714	81.75167262649741	75.24436251654816	72.87777710732709	66.28465003918946	70.52301483856498	74.53152258814426	71.2632052534174	66.05776601677032	66.02382555048388	74.3354734455264	67.79702678045265	73.05543835419542	72.23959642040447	81.94089693475183	74.33037454373012	69.53617430830914	81.262275563618	74.83238008006477	67.82655811669854	77.19380222328687	72.30614694748772	67.3416566335273	66.50621996580783	69.95412363178252	68.72340079704573	76.82688550344965	67.36058068108534	68.82934427517161	73.02172629763263	72.12784632496643	81.21334935027812	67.63389815837215	66.11058564707601	66.04610931873992	66.02645704030219	67.33302961812417	69.68622056225641	74.67343573933132	73.35189147997923	73.63283287173478
40000	-1384.6173809518943	-41.65328408476757	-1132.453118843401	-210.51097802372578	0.197506516709436	0.042061171622893655	0.16839629264844244	1.0761225998063177	6.574683927603367	0.32505876008543183	4	3	2.6596920843260845	90.41658108341679	65.62813641837427	339.35142742212315	83.20459985870967	66.58348888383169	82.3228202445988	74.85883930519229	69.90572673755676	85.23070558653407	75.99961873041984	83.04148846958441	66.63945941179546	83.2822628844598	85.74994021314416	83.55495630443853	90.41658108341679	83.9353716702127	83.24945907097101	84.71188436453068	83.3144233482334	72.42997368140885	83.19816669096285	85.20574465951431	70.02961103771426	83.92173501849732	76.34980120480515	83.58244400250915	83.06424851467578	83.76770078410789	72.34037982304062	66.61403660738114	83.17303373538368	83.27065962124458	78.20251829326597	83.21023665616056	83.1348281923527	74.33891919703403	84.11175911276881	87.32920978269416	67.81654575662574	70.10006815967391	72.17494556454788	83.01694175862299	73.13311766309681	70.1136393006932	77.00271029662568	84.48218318041664	76.82082993766015	73.30450560448018	66.52976763455784	71.29512858479326	73.0971788943505	65.95791723015468	81.35964788009696	72.4116270603165	71.92058519683845	66.31407473476092	71.38964305540375	74.50494067966726	71.28510344598928	66.02927485386189	66.00121555763802	74.50388561750957	71.51755430030084	70.36366257007519	72.25102174430495	82.19968325419681	74.79055048834363	69.90965233939771	82.10323936478156	75.98816706693894	67.15018874159603	74.52974196129418	72.42270752020491	70.98535785354248	66.48340735063022	70.82695062265323	68.55400187177811	77.21897097869558	66.93414487587442	68.90682837425729	72.91905352998485	72.07718696797916	81.04057900085961	67.61534119257139	65.62813641837427	66.0367284645988	66.23524207445905	68.50591377864352	69.57932051636156	74.04217843938615	71.51802380212095	74.3481554843673
45000	-1370.9492853501047	-39.67350448505204	-1133.0024041461136	-198.27337671893906	0.21945357026255216	0.051199887954491735	0.2466548861088955	1.3261470616027407	6.514230208078804	0.3327984453872464	3	3	3.5608785030408043	90.50681075636459	65.80398715909028	334.62495712690554	82.81502493830227	66.57538201288172	84.00132698342621	75.52175765340849	69.11220379067005	83.25737443311658	75.58861093838192	82.94746396855417	66.72436090761748	82.86471442939806	83.35667643805748	83.59829488530653	90.50681075636459	85.04885204359174	83.63650421002268	84.79218331564367	83.96716239357347	72.46138643632081	82.98452143027622	83.40209820689479	69.9663989871303	84.04869261385605	76.3403537575998	83.75919332668562	83.11860895595505	85.64658761950813	72.6734489434278	66.71796671262213	83.56380373994834	82.98386506852948	77.64676358371989	83.43517475094086	84.98194983520396	74.5633844781266	84.5115910865535	83.13188013703441	68.06270192452315	70.27642523833164	72.73135577406926	83.41757853231935	73.03983481114298	70.06250809875168	75.07403969369372	83.43175673683791	76.10866998799843	73.10122775034549	66.4099542951013	71.26393757962764	72.31682517361172	66.2089001710124	81.7291953124134	73.83535937813623	71.81140876902427	66.2053467740707	68.85513023320202	73.68030488466191	71.29486429224553	65.97425842725048	66.03666292541448	74.07013727043177	71.51403060400605	72.52525360961155	72.24344818967312	82.11753487704195	72.80294974683055	69.94657606386338	81.49910596287495	76.28731101685806	68.84645156153242	75.78415136939266	72.3601910270941	70.88995174687679	66.3346915388014	71.26069366997923	69.32159180442011	77.2970816086198	67.9938893963084	68.52853750275422	72.50890362648228	69.56181145012313	79.09556886956229	67.64389758124311	66.2661803330737	66.16928716416514	65.80398715909028	68.32120208048097	69.71159342492805	74.8437073807214	71.8262335849815	75.7329602514735
