Species	Status
Achelousaurus_horneri	extinct
Agujaceratops	extinct
Agujaceratops_mariscalensis	extinct
Anchiceratops	extinct
Anchiceratops_ornatus	extinct
Arrhinoceratops_brachyops	extinct
Avaceratops_lammersi	extinct
Brachyceratops	extinct
Bravoceratops_polyphemus	extinct
Centrosaurinae	extinct
Centrosaurus	extinct
Centrosaurus_apertus	extinct
Ceratopsidae	extinct
Chasmosaurinae	extinct
Chasmosaurus	extinct
Chasmosaurus_belli	extinct
Chasmosaurus_russelli	extinct
Diabloceratops	extinct
Diabloceratops_eatoni	extinct
Einiosaurus_procurvicornis	extinct
Eotriceratops_xerinsularis	extinct
Judiceratops_tigris	extinct
Kosmoceratops_richardsoni	extinct
Mercuriceratops_gemini	extinct
Mojoceratops	extinct
Monoclonius	extinct
Monoclonius_crassus	extinct
Ojoceratops_fowleri	extinct
Pachyrhinosaurus	extinct
Pachyrhinosaurus_canadensis	extinct
Pachyrhinosaurus_lakustai	extinct
Pentaceratops	extinct
Pentaceratops_sternbergii	extinct
Rubeosaurus_ovatus	extinct
Styracosaurus_albertensis	extinct
Titanoceratops_ouranos	extinct
Torosaurus	extinct
Torosaurus_latus	extinct
Triceratops	extinct
Triceratops_horridus	extinct
Triceratops_prorsus	extinct
Triceratops_utahensis	extinct
Utahceratops_gettyi	extinct
Vagaceratops_irvinensis	extinct
Xenoceratops_foremostensis	extinct
