it	posterior	prior	PP_lik	BD_lik	q_0	q_1	q_2	q_3	q_4	alpha	k_birth	k_death	RJ_hp	root_age	death_age	tot_length	Achelousaurus_horneri_TS	Agujaceratops_TS	Agujaceratops_mariscalensis_TS	Anchiceratops_TS	Anchiceratops_ornatus_TS	Arrhinoceratops_brachyops_TS	Avaceratops_lammersi_TS	Brachyceratops_TS	Bravoceratops_polyphemus_TS	Centrosaurinae_TS	Centrosaurus_TS	Centrosaurus_apertus_TS	Ceratopsidae_TS	Chasmosaurinae_TS	Chasmosaurus_TS	Chasmosaurus_belli_TS	Chasmosaurus_russelli_TS	Diabloceratops_TS	Diabloceratops_eatoni_TS	Einiosaurus_procurvicornis_TS	Eotriceratops_xerinsularis_TS	Judiceratops_tigris_TS	Kosmoceratops_richardsoni_TS	Mercuriceratops_gemini_TS	Mojoceratops_TS	Monoclonius_TS	Monoclonius_crassus_TS	Ojoceratops_fowleri_TS	Pachyrhinosaurus_TS	Pachyrhinosaurus_canadensis_TS	Pachyrhinosaurus_lakustai_TS	Pentaceratops_TS	Pentaceratops_sternbergii_TS	Rubeosaurus_ovatus_TS	Styracosaurus_albertensis_TS	Titanoceratops_ouranos_TS	Torosaurus_TS	Torosaurus_latus_TS	Triceratops_TS	Triceratops_horridus_TS	Triceratops_prorsus_TS	Triceratops_utahensis_TS	Utahceratops_gettyi_TS	Vagaceratops_irvinensis_TS	Xenoceratops_foremostensis_TS	Achelousaurus_horneri_TE	Agujaceratops_TE	Agujaceratops_mariscalensis_TE	Anchiceratops_TE	Anchiceratops_ornatus_TE	Arrhinoceratops_brachyops_TE	Avaceratops_lammersi_TE	Brachyceratops_TE	Bravoceratops_polyphemus_TE	Centrosaurinae_TE	Centrosaurus_TE	Centrosaurus_apertus_TE	Ceratopsidae_TE	Chasmosaurinae_TE	Chasmosaurus_TE	Chasmosaurus_belli_TE	Chasmosaurus_russelli_TE	Diabloceratops_TE	Diabloceratops_eatoni_TE	Einiosaurus_procurvicornis_TE	Eotriceratops_xerinsularis_TE	Judiceratops_tigris_TE	Kosmoceratops_richardsoni_TE	Mercuriceratops_gemini_TE	Mojoceratops_TE	Monoclonius_TE	Monoclonius_crassus_TE	Ojoceratops_fowleri_TE	Pachyrhinosaurus_TE	Pachyrhinosaurus_canadensis_TE	Pachyrhinosaurus_lakustai_TE	Pentaceratops_TE	Pentaceratops_sternbergii_TE	Rubeosaurus_ovatus_TE	Styracosaurus_albertensis_TE	Titanoceratops_ouranos_TE	Torosaurus_TE	Torosaurus_latus_TE	Triceratops_TE	Triceratops_horridus_TE	Triceratops_prorsus_TE	Triceratops_utahensis_TE	Utahceratops_gettyi_TE	Vagaceratops_irvinensis_TE	Xenoceratops_foremostensis_TE
0	-1725.952509127793	-14.482583890045884	-1428.0738116916061	-283.3961135461411	0.7628835493499437	0.7628835493499437	0.7628835493499437	0.7628835493499437	0.7628835493499437	1.0	1	1	1	91.39080434613426	54.50399934463347	365.05781746376056	83.31896580583833	66.65278156848233	83.19032910408775	77.76427717066046	69.3343339569746	82.07611483792195	75.37035463384773	83.96952988172923	66.35754409874569	78.12436849421668	86.85897359174969	84.04445543082876	90.49404931452224	84.04606223709705	85.73738300479386	81.24725435968674	91.39080434613426	72.65990642228071	82.49205683334881	82.76310463867765	69.9586692228291	82.44843367774331	76.45842139983661	83.62048210946497	85.63356321069799	82.86413866315274	72.28604572253604	66.89378596378674	87.6595279179661	83.40643600368992	77.60637233490947	87.41168105605765	82.76561823003712	74.13854696813165	83.48196376307831	81.46605592429061	67.83250795178326	71.36085233990865	72.05314046019299	83.22966534078705	72.30925681193507	69.89151349114125	74.92857160318356	85.77094588295188	75.92158167180395	74.44801064251378	66.33885646132369	69.47815167783556	72.93306744011319	64.21997743768644	81.92343037379982	75.17392370629814	54.50399934463347	66.31304650045205	69.41171626028256	70.36445678749342	71.28337627075254	65.1523048894477	65.83038605203036	75.83103154505099	61.926879212587814	71.39412640636297	72.05696675456232	82.32143716411252	74.34957909786705	69.91278589533071	82.40810951173059	76.2876031601005	69.00576619215049	75.3219904463576	72.44293841091182	70.61156420728004	66.18288321104029	71.22870590171226	69.07010200512791	77.56336411933643	66.37381019007822	68.88164605912729	73.16182863024008	71.69472114983212	81.17196057136289	67.64954627384913	65.7587553141191	66.16581755042561	66.00426293612131	68.5097167136882	69.71531402804295	74.87207392215053	73.11516361852195	75.8674559459156
5000	-1437.7225635801187	-32.248209556212544	-1161.4856092784767	-243.98874474542959	0.8530864470006788	0.5156648788468421	0.6371459640926667	1.1770347002684178	6.150297939060397	0.39608451570332315	2	3	2.006762264675963	91.86518392650824	53.59665299596687	365.53523788304256	86.05072288684187	66.57002785258425	83.22236351228956	74.76659434197326	69.25091272434874	82.44404342073125	75.66847837876064	83.52172150009564	66.39833441915326	78.83725341500487	86.31903540044436	84.15993477705544	91.86518392650824	83.520447704135	81.6135654143435	81.92130120620571	86.87708337735026	72.68237055761806	85.98718517022928	80.85825943057728	70.05119598639328	82.59524668753997	76.86822778285294	85.17929731204342	83.02418280637602	82.47158910876848	73.84456562523891	66.5764939756121	83.14946532873358	82.57724524645167	78.78372716403572	83.00346570781635	84.9546378511912	75.68727817713095	83.79147700547219	81.62067234183402	67.76713638700538	70.13939552219534	72.21982001784748	84.47274537958786	75.89645215040495	69.75289840996759	75.07673682450982	83.79173055737371	76.80382895590182	72.37648102330184	66.24713867681268	70.65064377552635	71.86101246969316	66.0595273782881	81.40018314372122	74.3408642773096	53.59665299596687	66.31094404695554	71.43279815445865	68.54794171034351	71.19145658953441	66.08184896648736	66.15004464634173	74.66252163173118	67.5411512748697	71.17341905355211	72.34337472624208	80.63170877155238	73.7673472608447	69.72231357526506	82.16703931630808	75.49225502900416	72.33219664271545	75.41757989871951	71.46965740201804	67.78816520081847	66.52856263455324	71.34306657642578	68.88999187520237	77.46893968823284	65.36904582958435	68.6493935412844	72.26661604923054	72.08451984670083	81.16415675431885	67.70084558531846	65.88963250049525	65.87577825920626	66.19239171269221	68.1310649125319	69.61300525704152	72.72451181247447	71.54384918987385	74.9074541819436
10000	-1388.5709237580488	-28.365835830810788	-1124.5521582355227	-235.65292969171537	0.6199595698342328	0.4208166302399706	0.362032563879007	1.289080449056333	6.355788976330225	0.38377962721683617	2	2	1.9511971011198792	90.68512165426482	52.98580484390201	346.32965880676403	82.90780064843388	66.58785235920095	84.00604626493666	74.55999920773223	69.72339754553683	83.95498416440553	75.41033712731976	82.10459986700991	66.48579959127204	79.46940599113952	85.2275267252189	83.50906885410878	90.68512165426482	83.98279910284577	80.51166675814801	83.65076110797476	87.33114779106464	73.2436447842513	82.49214452948551	83.5514622908298	70.05643468221703	83.32706939752237	76.37304861860821	83.4380345206224	82.96801901005297	82.42112924563101	75.11137445593678	66.57952035064481	82.85064650673483	84.89953744551293	78.69714746553815	83.6451674092392	82.71508871014849	77.99999044563174	83.82566336976534	81.75755354725489	67.7503470150231	70.05903340528953	72.09573124770644	83.53403605240565	74.9741772613263	69.76990784950718	74.9402654199547	84.56664616116822	76.61155973964452	74.37286420965661	66.5303538962917	70.21581339971817	72.13601587976072	66.89812467862583	81.78571693298437	75.1603782025468	52.98580484390201	66.27173861755287	71.07884136378685	70.84594360713592	71.17897187388742	66.0569045024275	66.12124966047766	76.22803284705245	71.68034493253118	72.83749688168692	72.15741753260188	82.44787757778924	71.91920303817233	69.93120412926389	82.19701478239153	76.25001198774459	71.83779157266018	76.98058818268701	72.5480073514063	70.90772369895201	66.4233472164986	71.27047509999657	65.9679289290308	77.48338317189858	67.9093313865492	68.30621426246836	69.93722490130541	71.868182599951	79.817931582975	67.70097706755006	66.19893788588146	65.95046830814653	66.19720616100547	68.5181819513709	69.65624764659051	74.92768637703419	70.82627127887704	75.51160488067869
15000	-1391.6063291899022	-29.294793508450365	-1128.2329177345612	-234.07861794689074	0.6292948836867511	0.3284256011384559	0.23271906273112344	1.4619558306631595	6.861399659577995	0.32165722035186445	2	2	2.4145171951635955	90.94959927859767	50.49129884435086	342.49226338694115	83.06442425677362	66.70906912706567	83.2121026144868	74.70675269715443	69.74241351427627	82.89957151951265	75.4748207936163	81.66419458108992	66.92870746129964	77.80368323143057	84.19493755548207	84.38046347597874	90.94959927859767	85.10352770362904	80.43190807217279	85.04790252764037	83.43141131757108	73.59872779057967	83.52591884557062	83.71157822737216	69.95036679960307	82.60892064173859	76.61449452100553	82.74109498068893	83.28631664504398	82.1151771012213	72.53930847893808	66.5480503473764	85.03825062520902	84.20708753345107	77.74279116535976	84.26711992762007	83.6880444574447	75.47188983882168	84.79039235899711	82.67817029171371	67.8319831522824	70.10523716674567	73.04280738710833	85.30911805117296	72.62304783527398	69.91952767125483	75.45354099842274	83.66036321428983	75.87539588371278	72.33289010975417	66.45485177492966	70.91437970023799	73.1421798259056	65.25668735339403	81.81945433625592	74.82456116509617	50.49129884435086	66.12132427758003	71.53921903041764	72.4509405683464	71.12991966687349	66.07612233736236	65.99510449384906	75.49217668259305	71.46283015999252	72.67782660232783	71.97170174717023	82.38794954548223	74.36006162908802	69.90537895435443	81.2342347543846	75.9180679749719	72.07910423976612	75.88857729327253	72.60240878535963	70.92612040287086	66.51635319173135	71.34124069658723	65.00368192718969	77.49797440434403	67.20743934692607	68.35895157009418	72.44553211607904	72.03424248949153	80.24753207577344	67.69937433919557	66.19870005269271	66.06669346555118	65.92488797546126	67.81116087134785	69.68577001495028	74.28576251434136	72.57004018157079	75.84723878954057
20000	-1390.214455482941	-30.445508098134738	-1133.6093763420051	-226.1595710428012	1.4072674983921125	0.27276807852823093	0.3264610012230956	1.1448712392557503	6.526756893880379	0.30545490364756755	2	2	0.8860416354318692	90.39708927406762	50.69190883312068	338.58137984685885	84.07890049239168	66.91897212486627	82.6863287817615	74.62275528344816	70.97876629997079	82.02715705193005	75.2692839044248	84.08201814949318	66.36249159337255	77.82827292474366	82.84023867996454	84.22209076848115	90.39708927406762	83.44577854427313	82.41733253101201	83.61357991361045	83.27837996693346	72.5657260984572	82.57196174334747	82.35640030759654	70.02002672739562	83.81357904439402	76.45764244175534	82.8968433813956	84.72053224628439	82.3124727854285	72.4146621549826	66.68213102943702	82.89654585698578	83.09184314504421	77.825394258147	82.76667367346418	82.5707033425292	74.35964591279654	83.29551028449734	82.36556878641755	67.8697503019708	70.0362929573948	72.26526243825604	83.04359582620484	74.3288234507164	69.87676779010707	75.69321574303711	83.48663109343347	77.5775613047608	72.13747316266465	66.48238305291406	71.1688347733001	71.07625792948225	66.85507855424501	81.84517692447946	75.24585426471143	50.69190883312068	66.13529211374977	69.15748085048246	74.12541539315826	71.0601424934146	66.07500103207565	65.97001858251139	75.6289782788543	70.42022113611577	72.67114632747906	72.07775488752866	82.31663540582028	72.19901298223698	69.94282095448149	81.27887659034597	75.80677077170273	72.98868235377486	76.99147217303637	71.439981431122	70.27555953098124	66.53135252599876	70.51081543133625	66.54849989729517	77.45194373724898	67.47410528135632	68.51846689205513	72.06209790164058	72.10904872617442	81.28494711888419	67.69521598212171	65.86398931341044	66.13453911725283	66.09738588129365	67.60852097483277	69.75033626593317	72.92608811505002	72.27813167367167	73.74010494477801
25000	-1399.160103237466	-30.02877814212846	-1133.5648365816082	-235.56648851372938	0.9167968252035248	0.1174966459766114	0.19021234646613733	1.3448412837605184	7.171760646527229	0.2793572735288185	2	2	1.8018070756156819	90.90241393552792	53.30061479253391	344.0235491130652	83.05903307560452	67.392730911704	83.39087272123831	74.59022481014757	70.63337862038853	82.66341962886392	75.99041433205352	82.61023729125988	66.35136093878803	78.28079574347929	83.15742159865242	84.26403117534096	90.90241393552792	83.85690255257789	82.82946501145267	84.20418811495526	83.90403700473924	72.44305692409608	82.68962778567887	80.94019122232916	69.95191156920637	83.0687161423928	76.40426023450419	83.68317927763016	83.96896589688093	81.51797283190068	72.60724290027925	66.56175209551816	84.05311859779859	82.73801304524531	77.75095896047621	82.62865160630027	82.9716029173043	74.66106636545264	87.16103308039449	81.77713576664682	68.1588425278586	70.57445206302951	72.48924768058802	84.44388849907091	76.54716423101625	69.78669883855228	74.93106413632083	84.60345865838045	76.68276197764516	73.83977315117777	66.51379925950982	71.22209219062957	71.85189765754816	65.48908200447998	81.46632811475104	74.76615405911389	53.30061479253391	66.19294019009402	71.01856825036295	74.6771243684864	71.20999426716727	65.95841552600746	65.68710361736187	76.03179127355183	71.22297792820498	72.80790966140304	72.34555369819128	82.04610553938963	72.17591297614715	69.93496935734105	80.75338974727919	75.45326052161619	71.02696681707626	74.76862324449858	72.46011550534296	68.37011301257377	66.52979988304267	70.40053264173399	67.44194451563828	77.4427826518463	66.94352678552276	67.13414056617873	72.31943080707849	72.07242655466129	80.97742780868872	67.604779585459	65.59579437622232	66.0738407000338	66.23403401159321	68.54512082416204	69.64317581478645	74.62352578994597	73.18008887145052	74.49946526632147
30000	-1393.9285415836857	-29.386822624070174	-1128.5727598740007	-235.96895908561487	0.5158940630690175	0.1462974970158083	0.11526733950316043	1.3637274871032312	6.351109204294936	0.31603452595050796	2	2	1.1224626682315868	90.45450138507324	52.69253854775827	349.7745834262858	82.99108889014286	66.55186110667977	83.80511118878188	74.68564964661135	70.9153356250505	81.95318724245605	76.03677452793836	82.03735162356904	66.37028798567265	80.79020708890918	82.84390138966292	86.72773381266575	90.45450138507324	85.4839495515265	82.22993652206605	81.93092507166902	83.39278574162488	73.37989506030881	82.63314660292036	84.15216267017215	70.59515486842547	82.45859348211462	78.24714404175488	83.99458952818092	83.55361557330795	82.06200066893928	72.3759127075925	67.1171908837184	85.55185958496595	82.54128606182944	77.6875505720648	84.6316343602342	84.70175316269568	74.7096537743818	84.513398106143	82.07400481097604	67.70494578693521	71.00434709755457	72.11223017542065	84.37110926979473	72.91485260503416	69.86798782816031	77.06906954795909	83.58132739542381	75.91819601789288	73.05971949743567	66.54810763737842	71.13517337957784	73.18724215920302	66.4049373766174	81.52614310712228	74.49513063069153	52.69253854775827	66.25440110904468	71.4601754352147	72.6210950926637	71.11556998537746	66.05777470882119	65.97432662800163	75.61936434712025	71.18404379691148	73.0975641608549	72.39305413049176	81.50010754688596	74.43963657025363	69.92544197942603	81.61801916048282	75.21784450597772	69.72433670642174	74.07198583218864	72.62758331464057	70.21010960195814	66.40690460367577	67.8723461238044	68.90903750451744	77.59209544234717	67.41326929080479	68.27872859584875	72.64159757903404	72.00229052239116	81.1147160324411	67.6947930839381	65.52419636626786	65.94401119463502	66.11835213190074	68.1468622722325	69.71258140001413	74.1638469974997	71.76318285556276	75.49037827327906
35000	-1379.3834080410236	-28.35451882684928	-1125.494460646925	-225.53442856724928	0.7397228409073006	0.11803495354555422	0.10895490508355422	1.248526501351839	5.599385775663492	0.3461534292208154	2	2	2.1939390541117385	91.05131550626989	53.53697145115291	340.60823996880947	83.787756661746	66.78445709411251	82.74051296263386	74.51012100881168	68.85911950273031	83.53685154690672	75.52883492844573	82.4841826290734	66.47445906761102	83.03072135245267	84.0041302954415	83.75260240978452	91.05131550626989	83.62019049411161	80.78282930967991	82.16306294902992	86.69455146009695	72.82368726383775	82.50311709193214	81.04556200570998	70.09012539783102	82.88581470076225	76.35480852358579	83.10989066751104	83.28188278541576	82.3235015775869	76.14609684911913	66.5513359262634	82.38579196466922	84.17107537829047	79.46446477970372	82.78112775086717	82.46822224170339	74.32490630919017	85.18588348075119	82.12772896308834	67.82509916731472	70.00315261695947	72.25363543384532	83.06347117293342	73.4872432128776	69.98565724612169	74.98401420253698	83.80164949167805	76.55271266206685	74.58234291197813	66.48092355732702	71.26304262796214	72.95881600477188	65.61848476686258	81.71847623171098	75.14860276910206	53.53697145115291	66.18943981327892	71.16847383500966	72.54037671443123	70.72917557935673	66.08791854851458	65.93335586332252	72.51842567781999	70.55828455725353	72.41809267798757	72.24957178736562	82.46494665175959	71.67732724085494	69.9321713530276	82.31693507802412	76.31439242099569	72.5838472016756	72.85018651707094	72.61590784927051	70.61760377370442	66.49007570706667	70.54968791940239	69.09010415830055	76.42629452325986	66.55486801117927	68.16724269857731	73.0540867404869	71.78739785305461	80.15118467684238	67.67279980950346	65.38554990260639	66.14525419974339	66.0607986088193	68.39163074909978	69.48363992686903	74.84270617515415	72.14017870134546	75.71152425137932
40000	-1368.5051245976701	-30.760477807657583	-1114.9461219873583	-222.79852480265436	0.626381395972011	0.1156945977382267	0.10691630975621916	1.4860914255233226	6.873491501477344	0.324526012040325	2	2	1.0948148640856632	91.08774766191662	54.89284467092172	350.1632896349425	82.57219348486933	66.81625774103836	83.37537360675287	75.08417488482876	68.87259540039463	83.1552459957155	76.40079090458688	83.73175186334541	66.35206672856467	83.56885019621984	82.66537447997086	83.86579539645408	91.08774766191662	83.30551235018089	82.58598110817645	85.13753424107682	87.21347790771165	72.84586783185749	83.2810664767342	82.79383245550792	70.01747007874984	82.48838044152234	76.34078841203541	83.76140950759444	83.93253728453718	82.83611557187552	75.19579333238805	66.5399871132674	83.67958395391526	82.75305165067854	77.62162177827376	82.83081887074422	83.96477870010261	74.17782172275982	83.3854031580973	82.63806081611831	67.70363069499783	70.61263421438625	72.3720007916918	82.99415605385202	75.06690961830769	69.76858288318255	75.30209419780225	85.69526168746671	75.87402908534048	73.38998643820992	66.52871806463034	71.22895701118188	72.36918154655083	66.670674539407	81.87895033112366	73.28426171498953	54.89284467092172	66.31121590570622	70.81602697038053	72.50073882084743	70.83867239828015	66.02426060035648	66.15447044194453	73.38628432348062	69.82938687648137	72.68497460329087	72.0107237944579	82.38280075263707	72.63110226520891	69.869607745796	82.40642389349019	76.34006219299154	73.03796448605395	72.58100263124405	71.94506460997444	70.22535952818477	66.52298220885025	71.041112888964	68.92706544407949	76.89272591055001	67.67738406613907	68.7526099060102	73.09897180167057	71.15723571336466	80.60940715791858	67.6475372953865	65.53167752085629	66.1240986879128	66.03544071349702	68.33368467057458	69.71313353568509	73.77886599419953	72.29061366229647	75.74685836487127
45000	-1404.480721577501	-33.98013650482276	-1133.196351518437	-237.30423355424136	0.8137453584273571	0.1273459658467175	0.1575036997209405	1.3789761524275794	6.750404070241979	0.3153211691938013	2	3	1.8718619954921571	91.17833190363747	52.84349137690474	369.17195227395854	83.14715772199733	66.60017361566806	85.05454792776075	74.84632941399396	69.71628860252684	81.94235218402363	75.666694304837	82.68588421320045	66.46054545326913	83.89124873863864	82.59005953901965	83.72918748521506	91.17833190363747	83.75373493462796	84.96598992333516	85.31427748911473	87.00530214324021	72.695580412663	85.28217087820292	82.97013083203434	69.99860744741531	82.76766750447992	77.37930347268028	82.75605583539297	84.27797954474542	84.60816234584678	72.5758491119891	66.53417485833377	83.4199008880661	83.10018649946012	77.862251296791	83.66190468202028	82.62235355450825	76.86415645196898	82.92492860890187	81.65827951791064	68.30666832230597	70.20815080853629	72.06025457000591	89.0787722574533	73.68524716549997	69.7584664212151	75.52812514288506	84.75472448208183	75.94885545169375	72.4532003024769	66.54177273020119	70.09786863710792	72.22181490183623	66.48550562874841	81.9196806766756	72.9713908970898	52.84349137690474	66.25837102657225	69.1201726642499	72.43066458484402	70.30775118880798	66.08603282705849	66.15905160135851	72.75659907863374	71.23935982885331	68.98365458324423	72.21728046914535	82.25405986989969	75.08874032237014	69.82289704923004	81.81706598528993	76.25566995060588	72.49189393058465	71.34538786732843	72.62014896615695	70.37960284373517	66.5225307692068	71.36706278171071	68.71418754017874	75.98452562285824	67.94787458418298	68.26391241230846	71.9048639410456	72.11562037207015	80.62475495386339	67.47262845231474	65.8424227786693	66.14975003462575	66.2168642081975	68.2791575197788	69.73560689439934	74.86793569526647	73.05168257505633	74.43455076049293
