it	posterior	prior	PP_lik	BD_lik	q_0	q_1	q_2	q_3	q_4	q_5	q_6	q_7	q_8	q_9	q_10	q_11	q_12	alpha	k_birth	k_death	RJ_hp	root_age	death_age	tot_length	Atrociraptor_marshalli_TS	Balaur_bondoc_TS	Bambiraptor_feinbergi_TS	Changyuraptor_yangi_TS	Deinonychus_TS	Deinonychus_antirrhopus_TS	Dromaeosauridae_TS	Dromaeosaurinae_TS	Dromaeosaurus_TS	Dromaeosaurus_albertensis_TS	Graciliraptor_lujiatunensis_TS	Hesperonychus_elizabethae_TS	Itemirus_medullaris_TS	Linheraptor_exquisitus_TS	Mahakala_omnogovae_TS	Microraptor_hanqingi_TS	Microraptor_zhaoianus_TS	Neuquenraptor_argentinus_TS	Nuthetes_TS	Nuthetes_destructor_TS	Pyroraptor_olympius_TS	Richardoestesia_TS	Richardoestesia_asiatica_TS	Richardoestesia_gilmorei_TS	Richardoestesia_isosceles_TS	Saurornitholestes_TS	Saurornitholestes_langstoni_TS	Saurornitholestes_robustus_TS	Saurornitholestes_sullivani_TS	Saurornitholestinae_TS	Sinornithosaurus_haoiana_TS	Sinornithosaurus_millenii_TS	Tianyuraptor_ostromi_TS	Tsaagan_mangas_TS	Unenlagia_paynemili_TS	Unenlagiinae_TS	Utahraptor_ostrommaysi_TS	Variraptor_mechinorum_TS	Velociraptor_TS	Velociraptor_mongoliensis_TS	Velociraptor_osmolskae_TS	Velociraptorinae_TS	Zapsalis_TS	Zapsalis_abradens_TS	Atrociraptor_marshalli_TE	Balaur_bondoc_TE	Bambiraptor_feinbergi_TE	Changyuraptor_yangi_TE	Deinonychus_TE	Deinonychus_antirrhopus_TE	Dromaeosauridae_TE	Dromaeosaurinae_TE	Dromaeosaurus_TE	Dromaeosaurus_albertensis_TE	Graciliraptor_lujiatunensis_TE	Hesperonychus_elizabethae_TE	Itemirus_medullaris_TE	Linheraptor_exquisitus_TE	Mahakala_omnogovae_TE	Microraptor_hanqingi_TE	Microraptor_zhaoianus_TE	Neuquenraptor_argentinus_TE	Nuthetes_TE	Nuthetes_destructor_TE	Pyroraptor_olympius_TE	Richardoestesia_TE	Richardoestesia_asiatica_TE	Richardoestesia_gilmorei_TE	Richardoestesia_isosceles_TE	Saurornitholestes_TE	Saurornitholestes_langstoni_TE	Saurornitholestes_robustus_TE	Saurornitholestes_sullivani_TE	Saurornitholestinae_TE	Sinornithosaurus_haoiana_TE	Sinornithosaurus_millenii_TE	Tianyuraptor_ostromi_TE	Tsaagan_mangas_TE	Unenlagia_paynemili_TE	Unenlagiinae_TE	Utahraptor_ostrommaysi_TE	Variraptor_mechinorum_TE	Velociraptor_TE	Velociraptor_mongoliensis_TE	Velociraptor_osmolskae_TE	Velociraptorinae_TE	Zapsalis_TE	Zapsalis_abradens_TE
0	-2703.071850361955	-20.46245581282697	-2171.0880952350794	-511.5212993140485	0.29127848874846807	0.29127848874846807	0.29127848874846807	0.29127848874846807	0.29127848874846807	0.29127848874846807	0.29127848874846807	0.29127848874846807	0.29127848874846807	0.29127848874846807	0.29127848874846807	0.29127848874846807	0.29127848874846807	1.0	1	1	1	170.10453866275586	62.09550542048912	705.2701145664681	72.39409180994637	70.95021740934195	82.69602558258696	128.4201383126862	112.75226108119732	124.78213590984188	156.62459568139786	156.54408359623278	83.73035572502076	99.68640857878538	123.45621271380615	89.30858038735947	93.40515097541673	76.59448172879056	73.90944714239379	117.40867006713444	122.44994624163097	88.81396877801875	140.5620494019165	146.0718120004992	86.14175852762911	153.1764679201122	92.73314557985387	83.23215745087406	82.56052387458118	82.5720850918833	83.47535990835212	81.27242265779208	71.60216065886095	84.7390499790262	124.02545351851816	126.16570694954412	128.9154345037315	82.44449785579647	90.72439731704424	88.86450229551996	130.34232697557198	77.93434001529619	82.10296035145338	83.34362960358796	77.08030335097435	170.10453866275586	70.92431031354157	82.1778463595742	64.93244835968383	70.78550648442823	79.42003640421487	128.2301035390514	99.9595313161111	99.80983374032165	66.01586840657617	62.09550542048912	66.3504703680856	65.8971061711562	123.43590079618272	67.67940593245862	89.649474027922	76.42615015815876	73.74394639299402	116.9949090413145	122.28987725311079	88.66314603665602	140.27454866712196	142.24580213117443	74.22269183820768	65.74695054511105	92.53523609445038	66.05733312659054	65.92402057612878	65.74777019398248	65.70538763741901	70.49335250173942	71.5464760024995	66.0727253298177	123.92926446739905	125.98759733320625	128.7260296655443	82.08409765788501	90.68264710934872	62.44322318799308	122.64196797146067	68.92578148477173	68.82464699331976	72.53361991203434	76.93608720052006	64.8017757965622	64.78876844998891	69.68887655621833
5000	-2245.1046871965	-28.009109198920235	-1918.5448314236812	-298.55074657389855	0.18050123487804323	0.22089395621132568	0.32039839797181346	0.37801396338147764	0.30980771795530476	0.243633189840325	0.10253288294421306	0.10538269316613126	0.3912577808138763	0.2984580121965385	0.3147609852232848	0.9450274384338178	1.6835721048053047	0.6091923336425505	1	2	0.7962365174601486	162.17350710393623	65.18995369996331	726.3978132842773	70.56890554515384	71.25612036873588	85.1020563827866	129.94445460164613	113.10333513227833	125.3508087308319	156.20999652469553	159.96764437310637	84.4924679038686	101.70206304016334	124.17086768499827	87.76619860228571	95.70417473813463	77.62674634970784	73.82888338544868	117.0774109859969	126.75312921617618	89.751177775279	142.28502934460835	146.07987718893992	84.39376935621162	153.08200169733033	95.82864301927818	84.86570969813903	82.11999423240556	82.6360745788913	86.98448677980534	81.70066003166055	71.97726653177129	83.54615239895601	124.86317579081624	126.1645619188326	128.78762189798013	82.57690320305859	91.97791803220348	91.94495907598109	130.77641078913484	77.39273147770454	82.08201105038367	83.56202320913816	78.61707272291429	162.17350710393623	69.16760496940384	78.71068862874566	65.67926939479727	69.669334815776	80.17545075074358	128.29451734710307	100.26887838504892	98.49797409881744	65.69517487070503	66.05448274218989	66.00632582394609	66.40105022930707	123.18657967025545	65.73258845891199	89.08724541828056	76.3170668501426	73.79032855097142	116.5291849622519	121.62993083869458	88.37415547831549	140.033859089233	142.32224025767093	75.18805554210176	65.93421550660327	91.52080496560258	65.94600134869549	65.71585324084276	66.01127216758567	65.78254771161278	70.37239168891637	71.31184188080638	65.73055933409454	123.94346722981903	126.11711498494479	128.5907928139709	80.78052326578448	89.43936098400255	66.44102806349018	118.48922637356063	69.25593657422549	71.61702991351656	72.11334453313582	76.64474102073947	66.41294491585997	65.98083699221031	65.18995369996331
10000	-2213.780013362005	-36.43832017830495	-1900.295215371527	-277.04647781217295	0.24465323511761564	0.25858656210454206	0.17969927069799305	0.18790005210062785	0.3859042882510131	0.2851093893561671	0.18161253998770704	0.14499332784056246	0.30511488603789266	0.3352005844716192	0.280270289784034	1.5641561863646556	2.8962767404790446	1.0906443171157372	2	2	1.991436612640603	161.49107894872844	65.79252513547526	744.4196418695046	74.37616477177744	71.02465737585383	85.66891069507385	132.07857128882438	111.88252079427649	125.14069675186967	156.39597390668575	159.13927518769916	84.25184664512804	102.06480902005042	123.52360462001387	89.17400695055248	92.77303814170068	76.57324974628479	75.15818886895576	117.2135436425915	126.14021620821018	89.23842976652382	145.7450902203842	145.02418634095872	83.19226923611745	155.0809026966734	94.19087808039158	83.32376099482906	82.49953215812803	82.48735647008708	84.41494330929322	84.60253570576798	71.57643208980015	84.04106493233668	125.87270642060479	126.6645767598339	128.84218610374506	83.35563877954094	94.87266642280461	89.65395440165673	129.20167003236006	77.97577375973154	82.35917016097434	85.0061586924987	77.11042436291706	161.49107894872844	69.0266378744902	80.05147285361757	65.87401747034356	70.38068449901779	76.98884682026484	128.3981552027018	99.7119101983771	98.23866505702495	65.99838733135435	65.96758196011761	65.93204162205143	65.79252513547526	123.40606676165346	65.94164197947119	88.67546678677961	76.44886643199644	73.69865037227507	116.50142221325864	118.96899507567997	87.7200628708368	138.5010865745265	142.62758866807792	74.41138653554881	66.00963290212486	86.5278231600609	66.02313034937235	65.89760395730899	66.01145038924065	66.02069579182432	69.84128469190013	71.43135945647514	65.79295446111146	123.06410528791352	124.2851624476345	127.59718473248128	81.67972585734712	88.91898427829175	66.08925122232982	120.7628949177043	70.12498424217965	72.35691074126538	71.82228091376936	76.87852615218063	65.90069320479743	65.90494834170293	65.9354932549895
15000	-2223.718513618434	-31.62475786150941	-1908.2598486381385	-283.8339071187861	0.19522850246973208	0.1993548414636911	0.11684559510167199	0.3080238326909452	0.5281306249212911	0.3375148812073231	0.2830698824190467	0.39086963664304725	0.4178776621799755	0.37454677068458014	0.2105639859146623	1.81345850880314	3.322751423907473	0.8477205868086239	1	2	1.4533294965755945	162.96113684985184	65.46921456287106	761.3972323188714	71.9876581370123	71.032584341811	82.63393811183936	129.5163458038491	113.07048330889519	125.49480738219991	159.46205364276216	161.36609218739602	83.59703834455509	104.4805205686636	123.48775424830377	89.3677534175462	94.75101655810019	76.58245883654713	73.82022019929802	117.19885472470541	123.75292796287731	89.23570901156049	141.99461723680608	149.89189034407661	83.53264192742695	154.25409246575495	92.97630064389422	85.9978638582054	82.16213757692468	84.15870216715041	87.15650270997202	85.12062327429088	71.58030656557393	83.72324143385968	124.99735928407749	127.48785275190421	129.71165567560865	82.71624142320174	97.10477311883577	91.75159296209662	129.56239948469718	77.36923528198739	83.05362202851468	84.18332472629436	77.47424861463789	162.96113684985184	69.05580355095424	78.86181614515989	66.04047905789295	70.66514418864892	76.45777248645616	126.24382563956168	100.43323378783657	99.34008104103044	66.02899814656594	65.56733841063179	65.79411689048517	66.10337580897914	122.51558910552235	65.95577011817186	88.74038597960705	76.25711056506854	73.61233946655204	115.79452798706401	120.36269761083163	88.21547715263185	138.3191689847994	141.76930858870017	74.47963373728035	65.46921456287106	83.80308986807482	65.6348190830156	65.76557674069251	65.52649299619833	65.97945154156675	66.04104123849599	71.5723452908772	66.16349067342901	121.24183747434243	125.60687170172571	127.13449011088179	82.35111777309922	90.59178548037069	66.0410163805002	122.54291430911333	70.22231825554614	72.82189280623713	70.97211534914302	76.54808289030377	65.71958046365474	65.87408093620166	65.96096589014942
20000	-2210.2775165564262	-30.965953492684406	-1893.9681363118968	-285.34342675184485	0.153429498014782	0.1967757059233273	0.15774510207116293	0.15443358504396335	0.7647886643579215	0.31851908605301704	0.27332178111205463	0.3158146564833088	0.45074718418450854	0.40018581690716865	0.1415470505492862	2.1249958276352623	3.406314724863208	0.9854180636547374	1	2	1.2747468068213386	163.7246883380769	65.27807907797659	753.337968831761	71.51495555674151	70.95846798040384	84.21596739315294	128.522279778969	111.62015407128833	125.16083792489235	156.5429885291496	159.76955213535715	83.35020001804976	104.45203100496425	123.83657312394266	89.80161783827717	93.88292464424728	76.67640598501939	73.8548042567461	119.17721491268043	123.21019292098926	88.77175475898194	140.5310556510615	149.25644509757117	85.8572544260734	154.03260548152733	92.92601204171659	85.5379030488175	82.76634788284338	87.4256393317919	87.04406881241354	81.92099715510578	71.6792525197599	83.85248100166731	124.12853144383617	127.50277158773264	128.8082260812533	82.66939152533054	94.82738445950847	90.96554647434309	129.8207441940987	77.48435668772234	82.88102835856668	84.57855634697937	77.51690638755232	163.7246883380769	68.94708278248108	78.84833953518739	65.70700589914262	70.79869223386169	78.65607118938395	128.11219241181053	98.45872836306954	100.25748035687823	66.03743075037244	65.27807907797659	66.04363603750456	66.20454219917059	121.77420144189469	66.17083512035612	86.62182019087263	76.39199054369558	73.79451849309439	116.01233467796104	118.76240031344099	87.29416278264777	140.4091782681919	140.99469291923464	75.14311014094764	66.09320261764994	84.24727029689691	66.12283767967659	65.88650947004997	65.94460752333201	66.00284144231995	65.7570723618673	71.53853897770115	66.22092214152772	123.1549506056118	125.96825734353659	128.62278800420282	81.96478674222791	85.54211370644312	65.89620295203228	122.03149902491785	69.54541269211249	72.41186662349986	71.95437752575786	75.75117283044986	66.13855667913352	66.14795663266615	65.64772336998837
25000	-2222.3025065638576	-31.671734607142906	-1905.2246249041045	-285.4061470526103	0.11745029565941244	0.45360618283968146	0.26579918594601093	0.16535730704491233	0.6407327439353258	0.30236210931247515	0.303986936949341	0.49096715248775763	0.3331781904128002	0.21763475656711795	0.3104014634697907	2.119949172508271	3.4238406871447205	0.9171907893918483	1	2	1.3115144175657052	159.14631881143774	65.55158288696516	763.3104545369432	71.72479429239961	71.12935057769893	86.61626367187209	128.97782717210697	115.67238694664643	125.54246273364046	157.92966507839225	159.14631881143774	83.15116714472111	107.4061541279216	124.32855815038147	88.81890256123545	93.558847256773	76.67424342962629	73.96750258107832	118.31071665698374	122.91122851254255	90.1538882246808	141.0131345481476	146.88196763280857	84.12812441261661	158.1387071737606	94.11291426813126	83.12575525602672	82.06557111501508	87.52863112106864	86.04601948236144	81.65479382294728	71.74827253570442	84.91073532489214	124.73324976346836	126.37529514977857	129.4134269075792	82.56221896343365	97.72428153162487	92.18691395580245	129.15277174478203	76.82420838431254	82.9876117664096	87.9910651152406	77.43336334901636	157.95819953055712	70.40305140015117	78.30908507842612	65.66489640453159	70.83545526327765	78.16222380531931	125.26399214977391	98.82642673631307	100.11830864719516	65.87241826839485	65.78159828759793	66.05790904469545	65.87877009019358	119.95284702393275	65.8086416467019	86.79791107519026	76.06369142615868	73.60470371066515	115.6442555849674	120.89637912980815	88.06569918376266	138.30777558109816	141.40349245923332	78.40498439012217	65.78002974155383	86.27685850946533	65.82210407706742	65.86135481690914	65.66179174239419	65.8910373307771	69.57467455972528	71.49198284231731	66.06827027714078	123.86367729445891	123.87186672502192	128.716825405053	82.13399834592704	84.5677583734876	65.55158288696516	121.32172733673441	69.06941732470167	72.1067293686715	72.34087449775589	76.77025639785721	66.07777578385729	66.00369355848223	65.88252562200134
30000	-2217.507057622763	-39.613977750164395	-1896.1025653209392	-281.7905145516595	0.19574035639059695	0.4034840280567126	0.20016498968523921	0.16801054452729086	0.728701824562691	0.26836308525151203	0.3001509332014129	0.5925535994752724	0.42396430831909393	0.10637631411709748	0.30811507922186177	1.8982877248786074	3.6734423508605465	1.1981974794945665	1	3	1.560684717339182	160.53487145472644	65.2172889773081	750.080651845777	71.12484145457852	70.93526674582952	87.24849881832556	128.490809194184	111.73495461588547	124.75928429839611	158.42089491178675	160.53487145472644	86.75549139542612	106.3780173244974	124.6211669690002	91.96338675789798	92.72009203915358	76.99464174658014	73.82276009192785	117.75958280266487	123.22208608048719	89.33971135649504	142.2997929926176	145.03009884465177	85.02546134174779	156.01942677907897	93.70561924799146	84.36484372940133	82.18028238726792	87.0876992151931	84.19886709661432	85.40926914338641	71.58818845591026	84.16112020092649	125.03802983144398	126.27123045023768	128.8602389925816	82.54271099941941	97.31117612840984	88.1460529194538	129.67784070233492	77.13785245289789	82.38858389585829	86.31272268561513	77.13182885323646	157.8235010673618	69.2803922092995	78.36184530399676	65.5373294452515	70.43635001945965	79.55398133890493	125.67859866801965	99.91011337255439	100.58949814733953	65.91977100587643	66.02961021968993	65.89264588663536	66.0205498994394	120.31345773207822	65.2172889773081	88.11255720661309	76.38689416879309	73.50083642920185	116.45095560544604	121.33250191794956	88.6135576089718	140.42934741192823	139.73400286552857	77.7112431764206	65.99742418664624	83.52367041919459	66.00562471539187	65.55699985740803	65.9994579044418	65.99405601657996	71.01517180900784	71.51549571235306	65.96073946230808	123.63289317021966	126.14265785175893	128.0465562790923	82.41857186514412	86.87580238715961	65.72473998052517	121.93140179300374	66.85856510153614	72.57891870144564	71.2748786105031	76.34886391611178	65.33664237400919	66.0330691753099	65.95708974643954
35000	-2217.540660092128	-39.77730129483014	-1902.0105263176472	-275.7528324796506	0.1867441607953839	0.377606057885646	0.14517036367806344	0.5723601019683073	0.5615166571463778	0.25456431635280435	0.2232370966298861	0.3500865684715563	0.3808135408092129	0.1372622474857788	0.2602216549870077	1.8617017772551432	3.262396154071702	1.11270418053847	2	2	2.7515839145096295	161.02844009344687	65.69010639206086	747.6259567600739	73.57506261482884	70.93295273630477	85.28432502595774	129.46613690488672	113.0643307326412	124.74667632363132	156.4577288178762	161.02844009344687	91.48217404275259	105.15809459819653	125.28220194553496	90.66548980834513	93.40075707697733	77.07285498833961	74.34602587644461	117.67799393176148	122.99659865752872	88.92357322750063	140.74283254298192	146.21531947206378	86.00071794366309	155.52029197780007	92.66236787425993	90.62661075483159	82.20694447711912	84.39433985120162	86.41518964958085	82.12806122993138	73.13942872290646	85.1963589922739	125.20361720679705	126.30704240575393	129.59605640106952	82.5082872251047	94.3390234985776	87.1901147176125	130.07050365691396	78.51791007965977	82.74059335653595	83.48860453792828	77.10108660228698	157.0035621209435	69.92029893336843	78.62497128324043	65.9425976648155	70.65269419550667	80.155903870735	126.96050629750906	100.04458423901907	99.38548634949456	65.98108377325252	66.06801805126504	66.13563659896221	66.12763199664693	123.43761853032538	67.61033702020205	88.49975274700809	76.48746236972903	73.5935379273848	116.7788877760039	118.61563447937766	88.56386369892284	140.1983573495516	140.37029403144905	78.24673570747804	66.08197163459022	86.88010892362558	66.07972136193872	66.11329679871197	65.90646308033915	65.76045391460764	69.94945430686246	71.57103992342002	65.74688908192527	122.87089467837542	123.5969404677554	125.65385321591324	82.05849672914768	90.13364520847594	65.8134597580333	122.69720233377464	65.69010639206086	72.14068982924387	72.5607967256201	76.47775037365349	66.12044308783418	66.05867360633538	65.97662005040411
40000	-2193.397790633259	-40.009204929933915	-1875.5468004915986	-277.8417852117266	0.21984183461381215	0.3730671064199804	0.25744201969217145	0.4282859710148706	0.8890185311657989	0.2264266104515757	0.22029709783660137	0.36451559467951367	0.46611220124339237	0.15482546719439164	0.3254684500545543	1.8927766741749723	3.6179283242616354	1.0225057158200193	2	2	2.583695475965113	161.0589720207657	65.72423356206521	738.8748503667354	70.49154719321757	70.89859575354592	86.50973276379193	128.47646279087735	113.58901420792867	125.01015840639789	156.9302891803762	161.0589720207657	93.99272901468274	104.88507954038285	123.44671339855341	91.84833660849529	93.04246987084565	76.60540944678083	73.99819524721516	119.58392922250175	122.86748442838736	89.67228582961583	140.9714472843174	144.86902802905934	83.23791171474859	153.5389619951646	92.64695096906803	91.71789917992429	82.04386179321267	82.21750538920583	85.2528385361728	86.87404133069617	71.69652806637993	85.79650820295821	124.35469203702432	126.39278439789396	128.76475000999915	82.66006430494828	94.2557867349817	85.30057688516222	131.9832565416654	77.01433595223602	82.69994742702676	83.78860609476327	77.11187489765005	155.60797194960696	68.9121615996246	78.70507283460364	65.92408034818585	70.87149221575086	80.12469346604978	125.45799391773262	100.01338540267714	100.43014106993803	66.04850652237165	65.89222243191149	66.08735682077454	66.25911881608565	123.31907673698363	66.09475469285248	89.5461457837017	76.10971287177496	73.7030736049395	113.89797050414153	121.53142883178552	87.44228037531605	139.92719719551945	141.01340810637325	78.1798035550036	66.11198349647347	85.26064990621408	65.96342114210113	66.02110676482067	66.04762995163166	66.00488740352374	71.30478786206032	71.5677416479484	66.00852707304345	123.38896838362356	122.6461318745333	128.67175849302654	81.97595537034816	86.8994168348285	68.54639628131541	121.516382237893	67.79346034211457	72.71269066753018	71.65100427989516	76.76726810451561	65.94538488931404	66.04428887703153	65.72423356206521
45000	-2212.8425390452126	-31.093783925817473	-1887.3713081703038	-294.3774469490911	0.19596506715677822	0.21376082661959261	0.31642689029861126	0.34162702493341046	0.6859716554490509	0.2012722420863451	0.2908021519457483	0.3830875824426681	0.46983191852723144	0.18519331398147995	0.1567519361081509	2.050854492622289	3.3593516150492393	0.9815252324561305	1	2	1.4095026500108165	157.76708138056927	65.52056592540251	769.2350280000891	70.77374751089268	71.19484092535005	91.03616437683672	128.71886182579388	111.62214205502151	124.9540638737318	156.70868119146058	157.1939396526001	95.32438543243485	106.4169796750212	123.78324010352019	90.66896773091882	93.95487927486197	76.58015699202517	74.51336179419238	117.31922648835004	123.92774998166803	89.45681155012169	141.84670954700553	145.7087339045306	83.64719820992818	153.89148554666272	94.52758684436559	94.26665696666926	82.18324936164055	83.58115920113796	85.50702730360659	87.22232368990642	71.58552093436236	87.9139660490009	124.41308351053542	126.17899512311546	129.30382434838862	82.47399438628022	91.7933019320309	84.91087139682364	130.99852919903384	81.29251531816693	87.17230426494521	89.15935611373742	77.13084348688122	157.76708138056927	68.97441879594376	83.61801391889112	65.52056592540251	70.84701677901383	78.72769092192081	125.14844877231774	100.47717124003071	98.34690339259937	65.9996759025088	65.90610203966513	66.11545905076889	66.613386533995	123.18880042382752	65.94977278952916	89.37038479105598	76.52718409228879	73.81360619794495	116.40717478492417	118.84096280626764	87.55670958429246	137.22368997270968	141.35069294435198	77.11530131289346	66.10051106251753	86.15286265450655	66.09718390705389	66.1018721153533	65.89583274110583	65.98933577910235	70.04057548269259	71.50631742034726	66.14311648724268	123.95214675863745	125.35509409883711	128.33604199756297	82.30582023447883	90.14101456518969	68.09151354887469	122.10263455421864	69.88536527297704	70.51881626244926	71.58626852047749	76.92398916513156	65.90344447232486	66.07342584825575	65.7320399612264
