accepted_name	status	max_ma	min_ma
Dromaeosauridae	extinct	70.6	66
Velociraptor	extinct	83.5	70.6
Velociraptor mongoliensis	extinct	83.5	70.6
Dromaeosauridae	extinct	125	113
Dromaeosaurus albertensis	extinct	83.5	70.6
Saurornitholestes langstoni	extinct	83.5	70.6
Richardoestesia gilmorei	extinct	83.5	70.6
Dromaeosaurus albertensis	extinct	83.5	70.6
Saurornitholestes langstoni	extinct	83.5	70.6
Richardoestesia gilmorei	extinct	83.5	70.6
Saurornitholestes	extinct	83.5	70.6
Saurornitholestes	extinct	83.5	70.6
Saurornitholestes	extinct	70.6	66
Richardoestesia	extinct	70.6	66
Dromaeosaurus	extinct	70.6	66
Utahraptor ostrommaysi	extinct	129.4	125
Utahraptor ostrommaysi	extinct	125.45	122.46
Saurornitholestes langstoni	extinct	83.5	70.6
Richardoestesia gilmorei	extinct	83.5	70.6
Dromaeosauridae	extinct	125	113
Dromaeosauridae	extinct	70.6	66
Velociraptorinae	extinct	70.6	66
Richardoestesia	extinct	70.6	66
Variraptor mechinorum	extinct	83.5	70.6
Variraptor mechinorum	extinct	83.5	66
Dromaeosauridae	extinct	83.5	70.6
Nuthetes destructor	extinct	145	140.2
Nuthetes destructor	extinct	145	140.2
Dromaeosauridae	extinct	139.8	132.9
Saurornitholestes langstoni	extinct	83.5	70.6
Saurornitholestes langstoni	extinct	83.5	70.6
Saurornitholestes langstoni	extinct	83.5	70.6
Saurornitholestes langstoni	extinct	83.5	70.6
Richardoestesia gilmorei	extinct	83.5	70.6
Deinonychus antirrhopus	extinct	125	100.5
Dromaeosauridae	extinct	83.5	70.6
Saurornitholestes	extinct	83.5	70.6
Dromaeosauridae	extinct	83.5	70.6
Saurornitholestes	extinct	83.6	72.1
Dromaeosauridae	extinct	70.6	66
Dromaeosauridae	extinct	70.6	66
Dromaeosauridae	extinct	70.6	66
Pyroraptor olympius	extinct	83.5	66
Richardoestesia	extinct	83.5	66
Richardoestesia	extinct	70.6	66
Richardoestesia	extinct	70.6	66
Velociraptor mongoliensis	extinct	83.6	72.1
Velociraptor	extinct	83.6	72.1
Richardoestesia	extinct	85.8	70.6
Saurornitholestes	extinct	85.8	70.6
Dromaeosauridae	extinct	85.8	70.6
Dromaeosaurus albertensis	extinct	83.5	70.6
Saurornitholestes langstoni	extinct	83.5	70.6
Dromaeosaurus	extinct	70.6	66
Dromaeosauridae	extinct	122.46	109
Richardoestesia	extinct	83.5	70.6
Velociraptorinae	extinct	83.6	66
Dromaeosauridae	extinct	83.6	66
Richardoestesia	extinct	157.3	152.1
Dromaeosauridae	extinct	157.3	152.1
Velociraptorinae	extinct	157.3	152.1
Dromaeosauridae	extinct	129.4	113
Saurornitholestes	extinct	72.1	66
Richardoestesia isosceles	extinct	72.1	66
Saurornitholestes	extinct	72.1	66
Richardoestesia isosceles	extinct	72.1	66
Saurornitholestes	extinct	70.6	66
Richardoestesia isosceles	extinct	70.6	66
Saurornitholestes	extinct	72.1	66
Richardoestesia isosceles	extinct	72.1	66
Richardoestesia isosceles	extinct	72.1	66
Richardoestesia isosceles	extinct	72.1	66
Saurornitholestes	extinct	72.1	66
Richardoestesia isosceles	extinct	72.1	66
Richardoestesia isosceles	extinct	72.1	66
Richardoestesia isosceles	extinct	72.1	66
Richardoestesia isosceles	extinct	72.1	66
Saurornitholestes	extinct	72.1	66
Richardoestesia isosceles	extinct	72.1	66
Richardoestesia isosceles	extinct	72.1	66
Richardoestesia isosceles	extinct	72.1	66
Saurornitholestes	extinct	72.1	66
Richardoestesia isosceles	extinct	72.1	66
Richardoestesia isosceles	extinct	72.1	66
Richardoestesia isosceles	extinct	72.1	66
Saurornitholestes	extinct	72.1	66
Dromaeosauridae	extinct	129.4	113
Dromaeosauridae	extinct	129.4	113
Saurornitholestes langstoni	extinct	83.5	70.6
Dromaeosauridae	extinct	83.5	70.6
Saurornitholestes langstoni	extinct	83.5	70.6
Dromaeosauridae	extinct	83.5	70.6
Saurornitholestes langstoni	extinct	83.5	70.6
Saurornitholestes langstoni	extinct	83.5	70.6
Dromaeosauridae	extinct	83.5	70.6
Saurornitholestes langstoni	extinct	83.5	70.6
Dromaeosauridae	extinct	83.5	70.6
Saurornitholestes langstoni	extinct	83.5	70.6
Dromaeosauridae	extinct	83.5	70.6
Richardoestesia isosceles	extinct	72.1	66
Richardoestesia isosceles	extinct	72.1	66
Richardoestesia isosceles	extinct	72.1	66
Dromaeosauridae	extinct	70.6	66
Dromaeosauridae	extinct	70.6	66
Saurornitholestes langstoni	extinct	83.5	70.6
Saurornitholestes langstoni	extinct	83.5	70.6
Richardoestesia gilmorei	extinct	83.5	70.6
Saurornitholestes langstoni	extinct	83.5	70.6
Richardoestesia gilmorei	extinct	83.5	70.6
Saurornitholestes langstoni	extinct	83.5	70.6
Richardoestesia gilmorei	extinct	83.5	70.6
Saurornitholestes langstoni	extinct	83.5	70.6
Saurornitholestes langstoni	extinct	83.5	70.6
Saurornitholestes langstoni	extinct	83.5	70.6
Saurornitholestes langstoni	extinct	83.5	70.6
Richardoestesia gilmorei	extinct	83.5	70.6
Dromaeosaurus albertensis	extinct	83.5	70.6
Saurornitholestes langstoni	extinct	83.5	70.6
Richardoestesia gilmorei	extinct	83.5	70.6
Richardoestesia gilmorei	extinct	83.5	70.6
Saurornitholestes langstoni	extinct	83.6	72.1
Richardoestesia gilmorei	extinct	83.6	72.1
Saurornitholestes langstoni	extinct	83.5	70.6
Saurornitholestes langstoni	extinct	83.6	72.1
Richardoestesia gilmorei	extinct	83.6	72.1
Saurornitholestes langstoni	extinct	83.5	70.6
Dromaeosauridae	extinct	72.1	66
Dromaeosauridae	extinct	70.6	66
Dromaeosaurus	extinct	70.6	66
Dromaeosauridae	extinct	70.6	66
Dromaeosauridae	extinct	70.6	66
Zapsalis	extinct	70.6	66
Saurornitholestes langstoni	extinct	83.5	70.6
Richardoestesia gilmorei	extinct	83.5	70.6
Saurornitholestes langstoni	extinct	83.5	70.6
Dromaeosaurus albertensis	extinct	83.6	72.1
Saurornitholestes langstoni	extinct	83.6	72.1
Richardoestesia gilmorei	extinct	83.6	72.1
Saurornitholestes langstoni	extinct	83.5	70.6
Richardoestesia gilmorei	extinct	83.5	70.6
Dromaeosaurus albertensis	extinct	83.5	70.6
Saurornitholestes langstoni	extinct	83.5	70.6
Richardoestesia gilmorei	extinct	83.5	70.6
Saurornitholestes langstoni	extinct	83.5	70.6
Richardoestesia isosceles	extinct	70.6	66
Deinonychus antirrhopus	extinct	122.46	109
Saurornitholestes sullivani	extinct	83.5	70.6
Saurornitholestes langstoni	extinct	83.5	70.6
Saurornitholestes langstoni	extinct	83.5	70.6
Saurornitholestes langstoni	extinct	83.5	70.6
Saurornitholestes langstoni	extinct	83.5	70.6
Dromaeosauridae	extinct	83.5	70.6
Saurornitholestes langstoni	extinct	83.5	70.6
Saurornitholestes langstoni	extinct	83.5	70.6
Saurornitholestes langstoni	extinct	83.5	70.6
Saurornitholestes langstoni	extinct	83.5	70.6
Saurornitholestes langstoni	extinct	83.5	70.6
Richardoestesia gilmorei	extinct	83.5	70.6
Richardoestesia isosceles	extinct	83.5	70.6
Saurornitholestes langstoni	extinct	83.5	70.6
Dromaeosauridae	extinct	83.5	70.6
Saurornitholestes langstoni	extinct	83.5	70.6
Dromaeosauridae	extinct	83.5	70.6
Saurornitholestes langstoni	extinct	83.5	70.6
Dromaeosauridae	extinct	83.5	70.6
Saurornitholestes langstoni	extinct	83.5	70.6
Dromaeosauridae	extinct	83.5	70.6
Saurornitholestes langstoni	extinct	83.5	70.6
Zapsalis abradens	extinct	83.5	70.6
Dromaeosauridae	extinct	83.5	70.6
Dromaeosauridae	extinct	83.5	70.6
Neuquenraptor argentinus	extinct	93.5	85.8
Richardoestesia gilmorei	extinct	70.6	66
Richardoestesia	extinct	70.6	66
Saurornitholestinae	extinct	70.6	66
Richardoestesia	extinct	70.6	66
Dromaeosauridae	extinct	70.6	66
Saurornitholestes	extinct	83.5	70.6
Dromaeosauridae	extinct	83.5	70.6
Dromaeosaurinae	extinct	152.1	145
Pyroraptor olympius	extinct	83.5	66
Variraptor mechinorum	extinct	83.5	70.6
Dromaeosauridae	extinct	83.5	70.6
Richardoestesia isosceles	extinct	70.6	66
Dromaeosauridae	extinct	70.6	66
Richardoestesia isosceles	extinct	70.6	66
Dromaeosauridae	extinct	70.6	66
Richardoestesia isosceles	extinct	70.6	66
Saurornitholestinae	extinct	70.6	66
Richardoestesia gilmorei	extinct	70.6	66
Richardoestesia	extinct	70.6	66
Richardoestesia isosceles	extinct	70.6	66
Richardoestesia	extinct	70.6	66
Saurornitholestinae	extinct	70.6	66
Dromaeosauridae	extinct	70.6	66
Richardoestesia gilmorei	extinct	70.6	66
Richardoestesia	extinct	70.6	66
Saurornitholestinae	extinct	70.6	66
Dromaeosauridae	extinct	70.6	66
Richardoestesia	extinct	70.6	66
