Species	Status
Atrociraptor_marshalli	extinct
Balaur_bondoc	extinct
Bambiraptor_feinbergi	extinct
Changyuraptor_yangi	extinct
Deinonychus	extinct
Deinonychus_antirrhopus	extinct
Dromaeosauridae	extinct
Dromaeosaurinae	extinct
Dromaeosaurus	extinct
Dromaeosaurus_albertensis	extinct
Graciliraptor_lujiatunensis	extinct
Hesperonychus_elizabethae	extinct
Itemirus_medullaris	extinct
Linheraptor_exquisitus	extinct
Mahakala_omnogovae	extinct
Microraptor_hanqingi	extinct
Microraptor_zhaoianus	extinct
Neuquenraptor_argentinus	extinct
Nuthetes	extinct
Nuthetes_destructor	extinct
Pyroraptor_olympius	extinct
Richardoestesia	extinct
Richardoestesia_asiatica	extinct
Richardoestesia_gilmorei	extinct
Richardoestesia_isosceles	extinct
Saurornitholestes	extinct
Saurornitholestes_langstoni	extinct
Saurornitholestes_robustus	extinct
Saurornitholestes_sullivani	extinct
Saurornitholestinae	extinct
Sinornithosaurus_haoiana	extinct
Sinornithosaurus_millenii	extinct
Tianyuraptor_ostromi	extinct
Tsaagan_mangas	extinct
Unenlagia_paynemili	extinct
Unenlagiinae	extinct
Utahraptor_ostrommaysi	extinct
Variraptor_mechinorum	extinct
Velociraptor	extinct
Velociraptor_mongoliensis	extinct
Velociraptor_osmolskae	extinct
Velociraptorinae	extinct
Zapsalis	extinct
Zapsalis_abradens	extinct
