it	posterior	prior	PP_lik	BD_lik	q_0	q_1	q_2	q_3	q_4	q_5	q_6	q_7	q_8	q_9	q_10	q_11	q_12	alpha	k_birth	k_death	RJ_hp	root_age	death_age	tot_length	Atrociraptor_marshalli_TS	Balaur_bondoc_TS	Bambiraptor_feinbergi_TS	Changyuraptor_yangi_TS	Deinonychus_TS	Deinonychus_antirrhopus_TS	Dromaeosauridae_TS	Dromaeosaurinae_TS	Dromaeosaurus_TS	Dromaeosaurus_albertensis_TS	Graciliraptor_lujiatunensis_TS	Hesperonychus_elizabethae_TS	Itemirus_medullaris_TS	Linheraptor_exquisitus_TS	Mahakala_omnogovae_TS	Microraptor_hanqingi_TS	Microraptor_zhaoianus_TS	Neuquenraptor_argentinus_TS	Nuthetes_TS	Nuthetes_destructor_TS	Pyroraptor_olympius_TS	Richardoestesia_TS	Richardoestesia_asiatica_TS	Richardoestesia_gilmorei_TS	Richardoestesia_isosceles_TS	Saurornitholestes_TS	Saurornitholestes_langstoni_TS	Saurornitholestes_robustus_TS	Saurornitholestes_sullivani_TS	Saurornitholestinae_TS	Sinornithosaurus_haoiana_TS	Sinornithosaurus_millenii_TS	Tianyuraptor_ostromi_TS	Tsaagan_mangas_TS	Unenlagia_paynemili_TS	Unenlagiinae_TS	Utahraptor_ostrommaysi_TS	Variraptor_mechinorum_TS	Velociraptor_TS	Velociraptor_mongoliensis_TS	Velociraptor_osmolskae_TS	Velociraptorinae_TS	Zapsalis_TS	Zapsalis_abradens_TS	Atrociraptor_marshalli_TE	Balaur_bondoc_TE	Bambiraptor_feinbergi_TE	Changyuraptor_yangi_TE	Deinonychus_TE	Deinonychus_antirrhopus_TE	Dromaeosauridae_TE	Dromaeosaurinae_TE	Dromaeosaurus_TE	Dromaeosaurus_albertensis_TE	Graciliraptor_lujiatunensis_TE	Hesperonychus_elizabethae_TE	Itemirus_medullaris_TE	Linheraptor_exquisitus_TE	Mahakala_omnogovae_TE	Microraptor_hanqingi_TE	Microraptor_zhaoianus_TE	Neuquenraptor_argentinus_TE	Nuthetes_TE	Nuthetes_destructor_TE	Pyroraptor_olympius_TE	Richardoestesia_TE	Richardoestesia_asiatica_TE	Richardoestesia_gilmorei_TE	Richardoestesia_isosceles_TE	Saurornitholestes_TE	Saurornitholestes_langstoni_TE	Saurornitholestes_robustus_TE	Saurornitholestes_sullivani_TE	Saurornitholestinae_TE	Sinornithosaurus_haoiana_TE	Sinornithosaurus_millenii_TE	Tianyuraptor_ostromi_TE	Tsaagan_mangas_TE	Unenlagia_paynemili_TE	Unenlagiinae_TE	Utahraptor_ostrommaysi_TE	Variraptor_mechinorum_TE	Velociraptor_TE	Velociraptor_mongoliensis_TE	Velociraptor_osmolskae_TE	Velociraptorinae_TE	Zapsalis_TE	Zapsalis_abradens_TE
0	-2657.758253668405	-20.32182925303613	-2169.4810050028937	-467.9554194124753	0.2968724838681266	0.2968724838681266	0.2968724838681266	0.2968724838681266	0.2968724838681266	0.2968724838681266	0.2968724838681266	0.2968724838681266	0.2968724838681266	0.2968724838681266	0.2968724838681266	0.2968724838681266	0.2968724838681266	1.0	1	1	1	164.29131147017853	54.772959634416736	704.6339576417931	70.84350968499908	70.96849019420779	82.55998333054535	128.5260561981129	111.48331594998443	125.22545886181474	156.50735688515582	148.40694679324258	82.9517336717574	100.12193249429562	123.47065787181769	85.61698688573472	92.97317782144654	76.62005063204438	73.92198489585454	117.11240761602653	122.40935129860127	88.75449098382967	140.49437358704037	146.42932125979178	83.1843856998321	154.17426098767126	92.68499797668173	83.19957674096653	82.1361532679059	82.14357664758235	83.47822667428117	82.20751501249033	71.79644477099302	83.96973090684475	123.97882110562952	126.15604069304615	129.03855340712408	82.81137420273105	90.87687876354184	94.39748153477463	130.11408085554666	80.73533531612884	85.31436184986636	84.11519784858861	77.129993922709	164.29131147017853	69.95815006629266	86.64562380916396	65.14438760205948	70.79772357931071	78.77803150453221	128.22586563794522	100.15845565505316	98.94107449243214	64.19782639580116	54.772959634416736	63.5520170612595	66.16339779514882	123.41117358663949	69.31132443554111	89.55142969652316	76.52799080514004	73.63331338101929	116.9758462108515	122.35722644822337	88.54022392973681	140.3509034785768	142.53010282859898	75.42427688317788	64.5908820374524	92.60269121378722	65.79494709592498	65.72155312176686	66.02822821132952	65.43994222037391	70.94150424553187	71.43009550908884	64.71880388122212	123.95547927357366	126.12817928089619	128.66022639065514	82.42748521150634	90.69440895906942	65.73959343076912	121.54285991512879	69.87085107941823	70.8049253307241	72.31537767192472	76.85264897173374	65.2905885356009	64.13708708827056	70.26779308734498
5000	-2332.4930144576556	-27.021968660993092	-1991.6054090659582	-313.8656367307044	0.28322049445191794	0.3183970400759738	0.089027768288952	0.10861852439692625	0.2689933553301718	0.3675326653109894	0.44499456325005654	0.22954220717590787	0.38303267384527495	0.28733254111351497	0.34897795843044277	0.4901249051672524	1.29396640769107	0.5587305207801597	1	2	0.9695067945620834	163.38918791239277	55.37731248939516	754.1492277858481	72.39200069922336	71.25215528690795	82.04265946486632	128.52624457955926	112.7572777694194	125.98035442913698	156.86244156041968	147.92220486856493	84.94576637447125	101.18535048209768	125.51612827054771	83.537722094625	94.02316731375312	77.20973609677881	75.43280105550205	119.53447478498404	123.05532118365865	88.81460011111876	142.2425077713368	146.8074815718301	89.29129335863595	153.9273266972971	92.80246127407197	83.2275625151365	82.70191098668907	82.17029276372693	84.64699817488643	80.7812106092285	73.69134788518107	84.24005853698439	125.03333871895488	126.20486105689162	131.39729847838305	83.93186136901069	92.00478067129089	95.67809609914246	133.3015959989479	77.51934194981703	82.02727556092005	84.01401803106982	78.03748093737	163.38918791239277	68.82115381743439	85.71424024733103	66.55954133100796	70.46825270253127	79.33827751543815	128.21481190714672	99.67276189878183	99.08835412695817	65.94592777728043	55.37731248939516	65.34440381204989	66.73668110374871	122.80400863622818	63.14809594653027	88.49736419498915	76.38744992816628	73.06116361761423	116.51883170800036	121.06233576194953	88.54517734350803	138.53231953984817	136.48080971940257	68.9661874962047	66.10763179924102	92.29407058141932	66.13466379517364	66.10700200933196	65.58631342642371	65.78240318845855	69.95612740149419	70.30204417205634	66.23971358165092	122.98899843913992	125.30006811563102	128.5880906553533	80.61220271554431	88.81912030356023	63.840886838745014	122.55705187544635	65.6511158471072	72.2564172918869	72.66205757704088	75.71262996491545	65.48718153882218	66.07242625779905	70.63787570072698
10000	-2254.044241179624	-29.009156134682655	-1918.7023941692307	-306.33269087571057	0.11875001470303058	0.19500847531180635	0.11033485212308135	0.16197521177729798	0.477216504427907	0.2161019969171055	0.18087470360280206	0.2031167850570201	0.32099194076468757	0.24135927481849825	0.270610426288624	1.0336747923111864	1.7389308838791908	0.8748754217202319	1	2	2.8853672588862462	157.6497873438113	61.435464856817404	750.7261456375354	73.95898012364924	71.68710890968079	82.4733704930448	129.65627978530082	113.68757384894748	124.99151640893018	156.3507289168907	151.3254006186807	84.64954067741209	101.43806274032873	127.6059676834705	83.07182357670285	92.86757506235365	76.82503646321716	74.50151998559872	123.72730784417345	122.39974925968752	89.18299344479351	142.1343441678297	145.368599976631	91.38747520074264	157.43895453970947	94.07836097790904	84.4226401367586	82.14213567883505	82.45747234611974	84.0830048867732	82.04919267597408	72.97987049327834	83.48299317591525	124.28347664960707	126.6330611501001	132.34890928753316	84.68477071516037	93.02125071684374	95.05272608143265	130.57722307511466	78.14541671184088	82.9541657272581	83.33281090383826	78.0863881955928	157.6497873438113	69.63054579572805	82.52931759548467	65.04953877821534	70.71462137744113	77.7521175393607	124.87608168511544	100.41008797756047	100.53435321365731	65.91320493905529	61.435464856817404	66.091791785082	66.54762764578842	123.27650239554437	66.24134426279507	87.00828659237666	76.54202715746386	72.4231020550478	113.58007575370021	122.3346625348158	87.81515881923383	137.8957382017781	141.74959980689408	69.4055708795263	65.78584082415108	92.45868737578019	66.16834774449671	65.98795350615173	66.00078928571496	66.01004132118165	71.3995969047367	71.23154190946204	65.9901072705091	123.6159099238383	125.67535190729063	127.91331491345886	81.37782677790182	84.29514504215557	66.29093117402859	120.26652873528685	68.02178961045182	73.04438617817651	71.77313094250785	76.72151848398799	66.24655157425663	66.13358988718501	70.62344486116928
15000	-2231.1894777442462	-28.857129976834447	-1897.462868425444	-304.8694793419677	0.301534345156671	0.2991283161640797	0.1525437347640814	0.1636642622394427	0.4394124748537998	0.26596124721150716	0.228664267227272	0.17332010572672937	0.18579419653081616	0.2577025071831133	0.12787300155548298	1.3923366213029351	2.455180766533859	0.9338805091296513	1	2	1.0706476076865734	160.77619544220738	61.18286491484039	762.4234683691604	76.26854736935974	71.21434529923336	82.29742357090286	131.7070309796485	112.28024006965501	125.25389113125141	160.77619544220738	148.3487761235629	88.35512938345086	101.36680929262621	123.56167418451813	85.22531443287724	92.71198862933551	76.5494330506599	74.0435973074206	120.61870741309095	122.95873961792647	90.0725232010645	143.39532528415955	145.63189594111734	90.58594880954355	155.49141197561485	94.65586839823878	92.81515181956982	85.70431481268602	82.14666853699183	83.76960905281813	85.41825394299013	71.57817375120491	84.47943270062426	127.30484113849725	128.7880183736562	132.8040098712282	82.80354140808966	94.42097962991164	95.87718013592077	130.38945741462726	77.07313587853052	82.00559604774443	88.04763352193093	77.25816428221636	157.1159445509588	68.75806888475564	79.12016596825895	65.45433908448703	70.83906781650002	80.2227994008884	128.3545750980737	100.28169986382164	100.44877276684943	66.03029193800592	61.18286491484039	65.57338397832285	66.08617857973776	123.42032626526678	65.795979690892	88.56766938533306	76.54084601873954	73.81172439717756	111.43015600455696	121.6238141883118	86.54328535690053	138.39852277628773	141.11934316395374	78.03249027039224	66.13186753751185	92.32168017359325	65.95205773173629	66.09570341042998	65.95866784579746	65.9750336070315	69.83609212289063	71.5716984465373	65.15432376156252	117.45193837419433	125.38804710068075	128.35552217100374	81.55350053603037	87.80864723741566	65.85115800275389	121.57118225693247	68.30344286804703	72.46168138002511	72.40057980425122	76.38178816722402	65.60928921751965	65.89569145398772	70.83796609502099
20000	-2224.754790182994	-29.34068299390296	-1886.541376582586	-308.8727306065048	0.16064655255398133	0.29886158700808124	0.1401389972255175	0.1914621516682355	0.6405517712748557	0.29464732755949	0.23026414651006002	0.2626885597192887	0.17561630301633988	0.13370341415170847	0.18497382024313666	1.5674685429143447	2.7726134334185115	1.1453719584837714	1	2	1.531621853671454	158.1328344433136	64.65446684155988	739.3460204775055	74.77443517502537	70.92300998778306	82.49795006031984	128.75499528129134	112.85759926534395	125.81836430867321	158.1328344433136	146.26089787331375	82.82755502450442	102.65660752888884	123.59549179898886	87.98184450178016	94.55850292648731	76.6198812772518	74.10544164826482	119.87456657004402	122.46143864837818	93.30976341712255	143.2585373250046	147.44016406474393	93.35669381388331	154.3752941579962	93.79267634940007	90.87956437919946	82.24224700619565	82.30828973017455	84.20478446436456	88.79926172256708	71.84534028998677	83.60823178974098	124.08098250132211	126.39240435925286	128.86266877599112	86.0285955877947	93.58752960481925	99.10451768771563	129.08349323519226	78.04970686786896	82.00251687894902	85.4893132235709	77.10338899996022	156.70152355560353	71.01115610674638	79.68473371014456	66.57929399070674	70.59141759245321	79.58340025496794	127.80697017694146	100.30547436516785	100.51704305187992	66.04338571167285	65.85417356719255	66.1414681556159	66.84111553414176	122.77472119640555	71.35314560956111	89.02902118680835	76.37005417746231	73.11707608460603	112.63683685318418	122.11948384426728	88.29689439026237	136.89033507146732	141.7313619481179	78.03005100560155	66.09365655661121	92.17110041059352	66.16407781632621	65.97927913900335	66.10069050715899	65.8608375819689	68.56074943921169	71.47147938488168	66.25295175989287	119.11107987257193	124.96413293486675	126.0835370651637	82.41318697773231	89.67175716265875	66.9662760682366	119.2997058541607	70.03581471001081	72.02922617936864	72.26279935679177	76.85693984004381	65.55041198900415	64.65446684155988	70.79189423115598
25000	-2227.54640711091	-33.16500190170049	-1899.722107695531	-294.65929751367844	0.2353029911149467	0.3081138393277958	0.15061252141456954	0.2450150264354407	0.8242032848618336	0.20149052338795698	0.21384206262852348	0.4018909992480922	0.389297105999821	0.10938673800160904	0.2624374768937123	1.5109219753043397	2.5838684627875796	1.0557297346825485	1	2	1.6305934048811426	158.0808864523818	65.41574927614894	759.3765772269503	70.93925445317171	71.0863288976978	82.10213868908413	131.31296340468208	111.62269104003035	125.30322294936775	156.6059421272895	148.4243053005555	84.46386936482749	101.37166497720706	123.73541369189819	87.81581051266569	92.94042598175093	77.70790450592575	74.09551210781606	122.298293894594	123.67529330530623	88.72258688384962	144.9236278051722	144.90869044407063	89.68225727432832	157.4233240182158	92.62909949631235	93.61410538301539	82.29270241686964	82.97353224699106	84.15992295670043	93.29988684064246	71.77232169501059	84.67414485266787	124.90667844437148	126.29879047636308	131.48115614498008	84.94983107616837	92.49950850680307	99.85687225810325	130.58649177664097	79.19750059606724	83.50209466724557	84.06002271536939	77.13159928891949	158.0808864523818	72.93763402721659	81.70671122918479	66.1742852588514	70.63987497644058	80.17770957097007	127.36823905788879	100.17849980599517	97.55230431496648	66.04043567180908	65.41574927614894	66.05550770325002	66.17689498353614	123.00639548502168	72.00047714560935	89.15534412175865	75.9626917145958	73.0569846507292	114.44270221532719	121.26030317525179	88.65315474793375	139.592860262921	137.78906882233468	73.65404748609885	66.13968136415068	91.55241364202946	66.10418395830739	65.6950131373034	66.088249652554	66.02146055411261	70.46395307501716	71.43620175938821	65.98555331518183	122.35006270354255	123.59084979395135	128.18129514973992	82.43720900951178	89.16258467439302	69.43176811383016	121.42652505057306	67.52909728035982	72.96568158731161	67.33939832675206	76.84862204609092	66.07105756077644	65.6752560006517	67.54678974761363
30000	-2216.322356482325	-42.08857366901124	-1893.4027737779606	-280.8310090353534	0.24540236520317332	0.2856809970353934	0.25290540693169533	0.13082416619473297	0.5573950735602525	0.262698555346759	0.2531649918936622	0.4795520139797085	0.2303707226105316	0.11982847898782309	0.3700593926042674	1.7540324149957047	3.181680654279443	0.9425302880140891	2	2	2.3152740902026068	158.46276510495784	65.79677053320943	763.7358622808206	70.54334925125791	70.94569440787815	82.10866633568138	132.29658692836534	112.33092383860652	124.92779547931475	156.10427914016518	146.63184433850103	84.22972149598615	105.17582832425879	123.500431235747	92.90908582720186	95.52172853695288	76.60816845745252	74.09368941065075	126.16500240380141	125.37112841242302	90.38716261098696	141.276555671796	147.48862920637256	87.73012670130831	155.6206467451388	93.26592267207259	94.2777420521859	83.10352205789367	82.51470304815186	84.25437819464413	97.72567515597815	71.5745360760144	84.58398536768203	124.65585087391582	126.3351487204859	133.77104883126162	86.52926303096422	92.68441626900733	99.5730898270446	129.26838390594213	78.03255137886322	83.48055911738575	85.62445476795851	77.34826170637507	158.46276510495784	75.8714209953864	80.85407033293878	65.98374986346738	70.58811222091167	78.66161833415437	128.21924983586902	99.49745255646602	99.82511652484757	66.00660503403782	65.98390830696702	65.79677053320943	66.00379207324619	123.22680844343364	71.91727498282015	89.51638730835373	76.41330586225398	72.53344541379373	116.90671084196279	119.24561682959597	87.29845326451644	138.7194131873182	141.6991896627873	76.13019244669445	65.95066225358084	92.58832221358593	66.0236223081729	65.96034584565297	65.87553101389946	65.99749791032181	71.38464108867939	71.55353415857002	65.92463050571871	123.04615155689308	123.93324065706597	128.68737727940513	82.11337286952363	89.0176054699259	69.72211056284056	121.60388496755655	70.26343685680983	72.6400707697	70.77398771586708	77.00151045958852	66.02785812474077	65.98158224794548	69.77878160338518
35000	-2218.139912743723	-40.48883254137367	-1889.7799429502966	-287.8711372520529	0.27104206142617426	0.2923768290349049	0.25526666043508894	0.20512288315843044	0.8103030455533238	0.23232425308130245	0.24276088866793294	0.594700076268072	0.41356862172760306	0.3221711420738637	0.2374627072665812	2.1227746308479354	3.6138069977373997	0.8630228912668589	2	2	1.8191546896534607	160.0186828003693	65.57982059657891	759.3392735964421	72.17977462499437	70.9577502830388	84.44333642375524	129.11443987354835	113.100772073262	124.74681748174334	160.0186828003693	147.29150509682665	83.48478101080227	102.20499297738374	124.58044946636683	88.17363383626135	93.30947520367936	78.18240119071112	74.23534211156327	122.76972930112788	123.79593388814376	90.25803564480509	141.11245809173127	145.1376298052968	89.68690352387544	155.13015067567952	93.92620668993342	94.19052507870995	82.34432090703721	82.8177064775917	84.82209255708757	95.8604804203944	71.66696789571044	86.8195291282482	124.94751233149056	126.15287481630588	137.6476372981603	82.51461695291849	92.74279011730256	97.46641895052021	131.58086336224264	77.81383215494344	82.36280369680689	88.43190612345755	77.84602987084855	159.83295793238875	74.17733986652222	79.78343715469072	65.57982059657891	70.72970039920484	78.88913028899668	128.35415518002287	100.20240802809319	99.66259672529937	66.0542972452834	65.9612631037418	66.07400879491024	66.01215000288622	123.3265513843337	71.85521679108462	89.3785533089863	76.25041981758365	73.81999364755582	117.01326654941234	121.95290844021022	88.71151706646582	138.3468009120689	141.03655089518963	78.3834282676415	66.10828871963892	92.4279500513597	66.11215179261701	66.060833088808	66.06330003332798	65.902037472118	71.29744516628064	71.31051474284979	65.87210814160606	123.52163303249573	126.06932993276456	128.22335358075665	82.35608363286711	87.19352998507348	65.91384006266456	119.62573814851376	67.09806776769139	72.08105823982144	71.21129149480532	76.96048643375946	65.8505409434332	65.7654462753153	69.70480538771702
40000	-2195.102626075715	-31.96830416053769	-1874.03721165418	-289.09711026099717	0.22153683142095157	0.19495502608302015	0.29516200530762987	0.2708273444841223	1.0079995761412068	0.3279040168865398	0.15427476926537803	0.6426911691790909	0.4959493789146378	0.17619434298425404	0.4731211562152328	2.295737794001474	3.619420188752825	0.9773385629141851	1	2	1.8639642940356134	162.9662314679517	65.56960408080138	733.7230575725042	76.03816860747578	71.00226125740625	86.13433310546787	128.40134502218086	113.25362813360869	125.0308098619555	157.2433821038131	146.40984555655257	82.82503562100642	103.9139057479391	124.04767851286128	83.88815291154911	93.47082840801954	76.60730936303693	74.31695414232358	117.55084554424444	122.49814370025362	88.90692789919224	143.99685751762303	145.80907962952725	89.5425746363495	153.35249131181203	93.02090898220021	89.89091797908435	82.07588306713998	82.60321913644991	83.72906409500858	92.43195307760806	71.58865032921281	89.04447081576289	124.96985866356405	127.38377761725556	134.40897848170562	82.45678323414259	91.65336187864078	93.4439486615908	130.2610712576849	76.8675675960126	83.7744359595708	88.70478661903623	77.09410240199733	162.9662314679517	70.49443254565041	78.80768723849867	66.04783556113928	70.85574689895081	76.48548139299396	128.39271212440323	97.56910003292052	100.53184571128628	66.06983635727693	65.81319266947402	66.01521485659767	66.1785836326792	121.66551143231484	71.735255036686	89.68280061626916	76.48097072408441	73.79217159907347	116.79502380612976	122.20196987772796	88.35485586383868	139.11031974494037	142.19805818273247	76.6441128710196	66.11094801380426	92.22095195791516	65.78216587187843	66.1422157578513	65.97405374977221	66.00436722556339	70.95844246108751	71.57334378025932	66.09689063180139	122.59624828054397	124.3772725312642	123.20047386135937	82.37586639593148	90.09141433639735	65.56960408080138	122.14331787640171	68.44934655284881	72.74920863560716	72.60054461992968	76.7683819365498	66.21007064804746	66.17651569920363	71.39734823010569
45000	-2202.3475225921593	-31.478784075500016	-1883.8488321668337	-287.0199063498253	0.21899884080660717	0.3156978647275686	0.2750290517951803	0.1445634780113766	0.8372859934701327	0.2014069033304772	0.21790570184125332	0.4092051801937706	0.403793090221382	0.24776595983728716	0.3657677278706171	1.722057478769742	3.4159490143695836	1.1336275832058758	1	2	0.9969349047541955	159.94932641485372	65.67335038827397	741.3603460736546	71.37197660533889	71.02879356640508	88.51517485509927	130.72906917287904	112.25369322862237	125.4764764896766	156.05210458487537	149.4035595143175	83.66793093008744	100.94697321148689	124.23983829777012	84.41324451608892	93.55257781337347	76.8475155456728	73.8220043283908	120.29500124072362	122.36448563170292	89.36620479037211	143.31708387737478	146.2337036093149	83.22932280608646	155.5454486274053	93.11943614295252	84.87966022505256	84.78141754435904	82.68910949575692	85.83670927929745	91.75935617727	71.59197897733456	86.82306710838272	124.33585372190257	126.48439556674096	139.19509344633383	82.8028195686272	94.68774394401973	92.4014419163781	130.16008712183054	77.44029668859629	83.99934445011154	88.84194107502208	77.06562462147939	159.94932641485372	68.68927682487305	77.99774261597939	65.81431824232766	70.61133443054658	75.80090530753044	127.92416004652458	100.43984129897021	98.95110298071823	65.9645627297777	65.67335038827397	66.08499299208445	66.09535655429505	121.94156925603572	71.62766350386396	88.36711161445153	76.52061467404165	73.74861487556095	116.89103064903126	122.35966968567311	86.79905961843924	134.98254658705108	139.73397860032017	76.29128896828526	66.12587046022004	92.13495411970202	66.0263133174189	66.13618931608956	66.10006166016689	65.99826642206514	71.3136220347049	71.41580120838876	66.06093891484959	119.53038959298374	125.85252453461963	124.57805145487742	82.27297543450838	90.38893453128648	65.69777004608858	120.72989560316488	70.17884178663428	73.08700150460923	72.38278873025995	76.95394054221777	66.01782179903492	66.05934834289313	69.17818573597725
